Abilene Christian,2127,Charleston Southern,2000
4:47,2127,Armel Potter made Layup.,74,76
4:47,2000,Foul on Jovan Crnic.,74,76
4:47,2127,Armel Potter made Free Throw.,74,77
4:39,2127,Foul on Ugo Mmonu.,74,77
4:39,2000,Diamante Langston missed Free Throw.,74,77
4:39,2000,Abilene Christian Deadball Team Rebound.,74,77
4:39,2000,Diamante Langston made Free Throw.,75,77
4:14,2127,Armel Potter made Jumper.,75,79
3:40,2000,Jaren Lewis missed Jumper.,75,79
3:40,2127,Javis Howard Defensive Rebound.,75,79
3:12,2127,Armel Potter missed Three Point Jumper.,75,79
3:12,2000,Diamante Langston Defensive Rebound.,75,79
3:04,2127,Foul on Raemond Robinson.,75,79
3:04,2000,Diamante Langston missed Free Throw.,75,79
3:04,2000,Abilene Christian Deadball Team Rebound.,75,79
3:04,2000,Diamante Langston made Free Throw.,76,79
2:36,2127,Armel Potter made Three Point Jumper. Assisted by Cortez Mitchell.,76,82
2:13,2000,Jalone Friday made Three Point Jumper. Assisted by Drake Green.,79,82
2:09,2000,Abilene Christian  Timeout,79,82
1:50,2127,Cortez Mitchell missed Jumper.,79,82
1:50,2127,Charleston Southern Offensive Rebound.,79,82
1:15,2127,Cortez Mitchell missed Jumper.,79,82
1:15,2000,Jaren Lewis Block.,79,82
1:14,2000,Jovan Crnic Defensive Rebound.,79,82
1:00,2000,Diamante Langston missed Jumper.,79,82
1:00,2000,Jaren Lewis Offensive Rebound.,79,82
0:56,2000,Jaren Lewis made Layup.,81,82
0:45,2127,Charleston Southern  Timeout,81,82
0:28,2127,Raemond Robinson missed Three Point Jumper.,81,82
0:28,2000,Diamante Langston Defensive Rebound.,81,82
0:11,2000,Jaren Lewis made Jumper.,83,82
0:03,2127,Cortez Mitchell missed Jumper.,83,82
0:03,2000,Drake Green Defensive Rebound.,83,82
0:03,2127,Foul on Jamar Martin.,83,82
0:03,2000,Drake Green made Free Throw.,84,82
0:03,2000,Drake Green made Free Throw.,85,82
0:03,2127,Charleston Southern  Timeout,85,82
0:02,2127,Armel Potter missed Three Point Jumper.,85,82
0:02,2000,Jalone Friday Defensive Rebound.,85,82
0:00,2127,End of Game,85,82
