Louisville,2253,Grand Canyon,97
6:15,97,Ray Spalding Defensive Rebound.,14,18
6:06,2253,Foul on Keonta Vernon.,14,18
6:06,97,Matz Stockman made Free Throw.,15,18
6:06,97,Matz Stockman made Free Throw.,16,18
5:49,2253,DeWayne Russell missed Layup.,16,18
5:49,97,Matz Stockman Defensive Rebound.,16,18
5:39,97,Deng Adel made Layup.,18,18
5:14,2253,Fiifi Aidoo made Three Point Jumper. Assisted by Shaq Carr.,18,21
4:53,2253,Foul on Gerard Martin.,18,21
4:53,97,Matz Stockman made Free Throw.,19,21
4:53,97,Matz Stockman missed Free Throw.,19,21
4:53,2253,Darion Clark Defensive Rebound.,19,21
4:28,2253,DeWayne Russell missed Jumper.,19,21
4:28,97,Ray Spalding Block.,19,21
4:27,97,Ray Spalding Defensive Rebound.,19,21
4:27,2253,Foul on DeWayne Russell.,19,21
4:27,97,Ray Spalding made Free Throw.,20,21
4:27,97,Ray Spalding made Free Throw.,21,21
4:19,2253,Darion Clark made Free Throw.,21,23
4:19,97,Foul on Matz Stockman.,21,21
4:19,2253,Darion Clark made Free Throw.,21,22
4:14,97,Matz Stockman made Layup. Assisted by Donovan Mitchell.,23,23
3:49,2253,Shaq Carr Turnover.,23,23
3:49,97,Louisville  Timeout,23,23
3:41,97,Matz Stockman made Layup. Assisted by Quentin Snider.,25,23
3:18,2253,Shaq Carr Turnover.,25,23
3:07,2253,Foul on Darion Clark.,25,23
3:07,97,Ray Spalding made Free Throw.,26,23
3:07,97,Ray Spalding made Free Throw.,27,23
3:06,97,Foul on Ryan McMahon.,27,23
3:06,2253,Fiifi Aidoo made Free Throw.,27,24
3:06,2253,Fiifi Aidoo made Free Throw.,27,25
2:51,97,Matz Stockman made Jumper.,29,25
2:50,2253,Foul on Darion Clark.,29,25
2:50,97,Matz Stockman made Free Throw.,30,25
2:31,2253,DeWayne Russell made Jumper.,30,27
2:10,97,Donovan Mitchell made Layup.,32,27
1:38,2253,DeWayne Russell made Three Point Jumper.,32,30
1:24,97,V.J. King missed Jumper.,32,30
1:24,2253,DeWayne Russell Defensive Rebound.,32,30
1:24,97,Foul on Ray Spalding.,32,30
1:24,2253,DeWayne Russell made Free Throw.,32,31
1:14,97,Ryan McMahon missed Three Point Jumper.,32,31
1:14,2253,Fiifi Aidoo Defensive Rebound.,32,31
1:05,2253,DeWayne Russell missed Jumper.,32,31
1:05,97,Donovan Mitchell Defensive Rebound.,32,31
0:58,2253,Foul on Oscar Frayer.,32,31
0:55,97,V.J. King made Free Throw.,33,31
0:55,97,V.J. King made Free Throw.,34,31
0:32,2253,Oscar Frayer missed Three Point Jumper.,34,31
0:32,2253,Fiifi Aidoo Offensive Rebound.,34,31
0:26,2253,Oscar Frayer made Three Point Jumper. Assisted by DeWayne Russell.,34,34
0:05,97,Donovan Mitchell missed Layup.,34,34
0:05,97,Donovan Mitchell Offensive Rebound.,34,34
0:04,97,Donovan Mitchell made Layup.,36,34
0:04,2253,Grand Canyon  Timeout,36,34
0:01,2253,DeWayne Russell made Three Point Jumper.,36,37
0:00,2253,End of 1st half,36,37
19:44,97,Donovan Mitchell missed Jumper.,36,37
19:44,97,Jaylen Johnson Offensive Rebound.,36,37
19:40,2253,Foul on Keonta Vernon.,36,37
19:40,97,Mangok Mathiang missed Free Throw.,36,37
19:40,97,Louisville Deadball Team Rebound.,36,37
19:40,97,Mangok Mathiang made Free Throw.,37,37
19:15,97,Foul on Quentin Snider.,37,37
18:55,2253,DeWayne Russell missed Jumper.,37,37
18:55,97,Deng Adel Defensive Rebound.,37,37
18:39,97,Deng Adel made Jumper. Assisted by Mangok Mathiang.,39,37
18:24,2253,DeWayne Russell Turnover.,39,37
18:23,97,Mangok Mathiang Steal.,39,37
18:19,97,Jaylen Johnson made Layup. Assisted by Quentin Snider.,41,37
18:18,2253,Grand Canyon  Timeout,41,37
18:02,2253,Keonta Vernon missed Layup.,41,37
18:02,97,Mangok Mathiang Block.,41,37
18:01,2253,Darion Clark Offensive Rebound.,41,37
17:59,2253,Darion Clark made Layup.,41,39
17:50,97,Jaylen Johnson Turnover.,41,39
17:21,2253,Darion Clark made Layup. Assisted by Keonta Vernon.,41,41
17:08,97,Jaylen Johnson missed Layup.,41,41
17:08,97,Deng Adel Offensive Rebound.,41,41
17:02,97,Deng Adel missed Jumper.,41,41
17:02,2253,Darion Clark Defensive Rebound.,41,41
17:00,97,Foul on Mangok Mathiang.,41,41
16:49,2253,DeWayne Russell missed Jumper.,41,41
16:49,97,Donovan Mitchell Defensive Rebound.,41,41
16:39,97,Quentin Snider missed Three Point Jumper.,41,41
16:39,2253,Darion Clark Defensive Rebound.,41,41
16:29,2253,Oscar Frayer missed Three Point Jumper.,41,41
16:29,97,Donovan Mitchell Defensive Rebound.,41,41
16:19,97,Donovan Mitchell missed Three Point Jumper.,41,41
16:19,2253,Keonta Vernon Defensive Rebound.,41,41
16:01,97,Foul on Quentin Snider.,41,41
16:01,2253,DeWayne Russell missed Free Throw.,41,41
16:01,2253,Grand Canyon Deadball Team Rebound.,41,41
16:01,2253,DeWayne Russell made Free Throw.,41,42
15:52,97,Deng Adel Turnover.,41,42
15:52,97,Foul on Deng Adel.,41,42
15:52,2253,Grand Canyon  Timeout,41,42
15:25,2253,Keonta Vernon missed Layup.,41,42
15:25,97,David Levitch Defensive Rebound.,41,42
14:53,97,Ray Spalding made Layup.,43,42
14:38,2253,DeWayne Russell made Jumper.,43,44
14:16,97,Louisville  Timeout,43,44
14:04,97,Ray Spalding made Layup. Assisted by V.J. King.,45,44
13:48,2253,DeWayne Russell made Jumper.,45,46
13:27,97,V.J. King made Layup.,47,46
13:17,2253,Fiifi Aidoo Turnover.,47,46
13:00,97,Donovan Mitchell made Layup.,49,46
12:50,2253,Fiifi Aidoo Turnover.,49,46
12:49,97,Deng Adel Steal.,49,46
12:47,97,Deng Adel made Layup.,51,46
12:31,2253,DeWayne Russell missed Jumper.,51,46
12:31,97,V.J. King Defensive Rebound.,51,46
12:22,97,Deng Adel made Layup.,53,46
11:55,2253,DeWayne Russell made Jumper.,53,48
11:34,97,Ray Spalding made Layup. Assisted by David Levitch.,55,48
11:33,2253,Grand Canyon  Timeout,55,48
11:07,97,Foul on Deng Adel.,55,48
11:07,2253,DeWayne Russell made Free Throw.,55,49
11:07,2253,DeWayne Russell made Free Throw.,55,50
11:07,2253,DeWayne Russell made Free Throw.,55,51
10:59,2253,Foul on DeWayne Russell.,55,51
10:52,2253,Foul on Darion Clark.,55,51
10:52,97,V.J. King made Free Throw.,56,51
10:52,97,V.J. King made Free Throw.,57,51
10:30,2253,Keonta Vernon Turnover.,57,51
10:29,97,David Levitch Steal.,57,51
10:22,97,Deng Adel missed Three Point Jumper.,57,51
10:22,97,Deng Adel Offensive Rebound.,57,51
10:11,97,V.J. King missed Jumper.,57,51
10:11,2253,Kerwin Smith Defensive Rebound.,57,51
9:56,2253,Keonta Vernon missed Jumper.,57,51
9:56,97,Ray Spalding Defensive Rebound.,57,51
9:44,97,Deng Adel made Layup. Assisted by Ray Spalding.,59,51
9:29,2253,DeWayne Russell missed Jumper.,59,51
9:29,97,David Levitch Defensive Rebound.,59,51
9:19,97,Ray Spalding made Dunk. Assisted by David Levitch.,61,51
9:14,2253,Grand Canyon  Timeout,61,51
9:07,97,Foul on Ray Spalding.,61,51
9:02,2253,Kerwin Smith Turnover.,61,51
9:02,2253,Foul on Kerwin Smith.,61,51
8:47,97,Deng Adel made Three Point Jumper. Assisted by V.J. King.,64,51
8:27,97,Foul on Ray Spalding.,64,51
8:27,2253,DeWayne Russell made Free Throw.,64,52
8:27,2253,DeWayne Russell missed Free Throw.,64,52
8:27,97,Jaylen Johnson Defensive Rebound.,64,52
8:15,2253,Foul on Oscar Frayer.,64,52
8:13,97,Jaylen Johnson missed Layup.,64,52
8:13,2253,Gerard Martin Block.,64,52
8:13,97,Mangok Mathiang Offensive Rebound.,64,52
8:13,2253,Foul on Keonta Vernon.,64,52
8:06,97,V.J. King Turnover.,64,52
7:55,2253,DeWayne Russell missed Three Point Jumper.,64,52
7:55,2253,Keonta Vernon Offensive Rebound.,64,52
7:49,2253,Keonta Vernon missed Layup.,64,52
7:49,97,Mangok Mathiang Defensive Rebound.,64,52
7:31,97,Deng Adel missed Jumper.,64,52
7:31,97,Mangok Mathiang Offensive Rebound.,64,52
7:25,97,Deng Adel missed Three Point Jumper.,64,52
7:25,2253,DeWayne Russell Defensive Rebound.,64,52
7:09,2253,Gerard Martin made Three Point Jumper. Assisted by DeWayne Russell.,64,55
6:44,97,Mangok Mathiang missed Jumper.,64,55
6:44,97,V.J. King Offensive Rebound.,64,55
6:41,97,V.J. King made Layup.,66,55
6:26,97,Foul on Mangok Mathiang.,66,55
6:26,2253,Grand Canyon  Timeout,66,55
6:26,2253,DeWayne Russell made Free Throw.,66,56
6:26,2253,DeWayne Russell missed Free Throw.,66,56
6:26,97,Jaylen Johnson Defensive Rebound.,66,56
6:09,97,Quentin Snider missed Three Point Jumper.,66,56
6:09,2253,Shaq Carr Defensive Rebound.,66,56
6:01,2253,DeWayne Russell made Layup. Assisted by Shaq Carr.,66,58
5:47,97,V.J. King made Three Point Jumper. Assisted by Quentin Snider.,69,58
5:27,2253,DeWayne Russell made Layup.,69,60
5:09,2253,Foul on Oscar Frayer.,69,60
5:09,97,Jaylen Johnson missed Free Throw.,69,60
5:09,97,Louisville Deadball Team Rebound.,69,60
5:09,97,Jaylen Johnson made Free Throw.,70,60
4:44,2253,DeWayne Russell Turnover.,70,60
4:32,97,V.J. King made Three Point Jumper. Assisted by Quentin Snider.,73,60
4:17,2253,DeWayne Russell made Jumper.,73,62
3:52,97,Jaylen Johnson made Dunk. Assisted by Ray Spalding.,75,62
3:27,2253,Keonta Vernon made Dunk. Assisted by Gerard Martin.,75,64
3:06,97,Ray Spalding made Dunk. Assisted by V.J. King.,77,64
2:58,2253,Grand Canyon  Timeout,77,64
2:47,2253,Shaq Carr Turnover.,77,64
2:30,97,Deng Adel missed Layup.,77,64
2:30,2253,Darion Clark Defensive Rebound.,77,64
2:09,2253,DeWayne Russell made Three Point Jumper.,77,67
1:47,2253,Foul on DeWayne Russell.,77,67
1:47,97,Quentin Snider made Free Throw.,78,67
1:47,97,Quentin Snider made Free Throw.,79,67
1:34,97,Foul on Quentin Snider.,79,67
1:34,2253,DeWayne Russell missed Free Throw.,79,67
1:34,2253,Grand Canyon Deadball Team Rebound.,79,67
1:34,2253,DeWayne Russell made Free Throw.,79,68
1:04,97,Mangok Mathiang missed Jumper.,79,68
1:04,2253,Darion Clark Defensive Rebound.,79,68
0:48,2253,DeWayne Russell made Layup.,79,70
0:40,97,V.J. King Turnover.,79,70
0:40,2253,DeWayne Russell Steal.,79,70
0:29,2253,DeWayne Russell missed Layup.,79,70
0:29,97,V.J. King Defensive Rebound.,79,70
0:00,2253,End of Game,79,70
