Boise State,339,Evansville,68
4:43,68,Nick Duncan made Layup. Assisted by Paris Austin.,25,25
4:08,339,Ryan Taylor missed Jumper.,25,25
4:08,68,James Reid Defensive Rebound.,25,25
4:05,339,Foul on Ryan Taylor.,25,25
3:51,68,Chandler Hutchison made Three Point Jumper. Assisted by Nick Duncan.,28,25
3:32,339,Sergej Vucetic missed Layup.,28,25
3:32,68,Zach Haney Block.,28,25
3:30,68,Nick Duncan Defensive Rebound.,28,25
3:19,68,Zach Haney missed Jumper.,28,25
3:19,339,Sergej Vucetic Defensive Rebound.,28,25
3:06,339,Foul on Willie Wiley.,28,25
3:06,68,Foul on Nick Duncan.,28,25
3:06,339,Official TV Timeout,28,25
2:55,339,Duane Gibson Turnover.,28,25
2:33,339,Foul on Sergej Vucetic.,28,25
2:33,68,Chandler Hutchison missed Free Throw.,28,25
2:33,68,Boise State Deadball Team Rebound.,28,25
2:33,68,Chandler Hutchison missed Free Throw.,28,25
2:33,339,Duane Gibson Defensive Rebound.,28,25
2:28,339,Duane Gibson Turnover.,28,25
2:26,68,Paris Austin Steal.,28,25
2:25,339,Foul on Sergej Vucetic.,28,25
2:25,68,James Reid missed Free Throw.,28,25
2:25,68,Boise State Deadball Team Rebound.,28,25
2:25,68,James Reid missed Free Throw.,28,25
2:25,339,Dalen Traore Defensive Rebound.,28,25
2:15,68,Foul on Robin Jorch.,28,25
1:56,339,Duane Gibson missed Layup.,28,25
1:56,339,Duane Gibson Offensive Rebound.,28,25
1:46,339,Ryan Taylor Turnover.,28,25
1:46,68,James Reid Steal.,28,25
1:46,339,Foul on Ryan Taylor.,28,25
1:46,68,James Reid made Free Throw.,29,25
1:46,68,James Reid made Free Throw.,30,25
1:23,339,Jaiveon Eaves made Three Point Jumper. Assisted by Duane Gibson.,30,28
1:05,68,Paris Austin Turnover.,30,28
1:04,339,Dalen Traore Steal.,30,28
1:01,339,Duane Gibson made Layup.,30,30
0:38,339,Foul on Jaiveon Eaves.,30,30
0:38,68,Robin Jorch made Free Throw.,31,30
0:38,68,Robin Jorch made Free Throw.,32,30
0:14,339,Jaylon Brown missed Jumper.,32,30
0:14,68,Justinian Jessup Defensive Rebound.,32,30
0:07,68,Boise State  Timeout,32,30
0:02,68,Paris Austin missed Jumper.,32,30
0:02,68,Chandler Hutchison Offensive Rebound.,32,30
0:00,339,End of 1st half,32,30
19:43,68,Justinian Jessup missed Jumper.,32,30
19:43,68,Boise State Offensive Rebound.,32,30
19:15,68,Nick Duncan made Layup.,34,30
19:03,339,Ryan Taylor missed Three Point Jumper.,34,30
19:03,68,Nick Duncan Defensive Rebound.,34,30
18:53,68,Robin Jorch missed Layup.,34,30
18:53,339,Sergej Vucetic Block.,34,30
18:51,339,Ryan Taylor Defensive Rebound.,34,30
18:47,339,Jaylon Brown made Layup.,34,32
18:30,68,Justinian Jessup missed Three Point Jumper.,34,32
18:30,68,Robin Jorch Offensive Rebound.,34,32
18:22,68,Robin Jorch Turnover.,34,32
17:52,339,Ryan Taylor missed Jumper.,34,32
17:52,68,Chandler Hutchison Defensive Rebound.,34,32
17:37,68,Chandler Hutchison missed Layup.,34,32
17:37,339,Ryan Taylor Defensive Rebound.,34,32
17:30,339,Duane Gibson made Layup. Assisted by Ryan Taylor.,34,34
17:12,68,Chandler Hutchison made Layup. Assisted by Robin Jorch.,36,34
16:37,68,Foul on Robin Jorch.,36,34
16:37,339,Ryan Taylor made Free Throw.,36,35
16:37,339,Ryan Taylor made Free Throw.,36,36
16:27,68,Nick Duncan made Three Point Jumper. Assisted by Justinian Jessup.,39,36
16:03,339,Jaylon Brown missed Jumper.,39,36
16:03,68,Nick Duncan Block.,39,36
15:59,68,Nick Duncan Defensive Rebound.,39,36
15:50,68,Justinian Jessup Turnover.,39,36
15:50,339,Ryan Taylor Steal.,39,36
15:50,339,Official TV Timeout,39,36
15:40,339,Willie Wiley made Jumper. Assisted by Duane Gibson.,39,38
15:03,68,Robin Jorch Turnover.,39,38
14:47,339,Duane Gibson missed Jumper.,39,38
14:47,339,Duane Gibson Offensive Rebound.,39,38
14:44,339,Duane Gibson missed Jumper.,39,38
14:44,68,Robin Jorch Defensive Rebound.,39,38
14:30,68,Foul on Chandler Hutchison.,39,38
14:30,68,Chandler Hutchison Turnover.,39,38
14:07,339,Jaylon Brown missed Jumper.,39,38
14:07,339,David Howard Offensive Rebound.,39,38
14:03,339,David Howard missed Layup.,39,38
14:03,68,Nick Duncan Defensive Rebound.,39,38
13:55,339,Foul on David Howard.,39,38
13:55,68,Paris Austin made Free Throw.,40,38
13:55,68,Paris Austin missed Free Throw.,40,38
13:55,339,Dalen Traore Defensive Rebound.,40,38
13:50,339,Jaylon Brown made Layup.,40,40
13:50,339,Jaylon Brown made Free Throw.,40,41
13:44,68,James Reid missed Three Point Jumper.,40,41
13:44,339,Christian Benzon Defensive Rebound.,40,41
13:20,68,Foul on Paris Austin.,40,41
13:12,339,Duane Gibson made Layup.,40,43
13:02,339,Foul on Christian Benzon.,40,43
12:59,68,James Reid missed Three Point Jumper.,40,43
12:59,339,Jaylon Brown Defensive Rebound.,40,43
12:45,339,Jaylon Brown made Layup. Assisted by Duane Gibson.,40,45
12:36,339,Foul on Jaylon Brown.,40,45
12:20,68,Chandler Hutchison missed Three Point Jumper.,40,45
12:20,339,Ryan Taylor Defensive Rebound.,40,45
12:17,68,Foul on Cameron Oluyitan.,40,45
12:03,339,Ryan Taylor missed Jumper.,40,45
12:03,68,Chandler Hutchison Defensive Rebound.,40,45
11:56,339,Foul on Christian Benzon.,40,45
11:35,68,Robin Jorch made Layup.,42,45
11:20,339,Dru Smith made Layup.,42,47
11:05,68,Chandler Hutchison Turnover.,42,47
11:03,339,Dru Smith Steal.,42,47
11:02,68,Foul on Nick Duncan.,42,47
11:02,339,Willie Wiley missed Free Throw.,42,47
11:02,339,Evansville Deadball Team Rebound.,42,47
11:02,339,Willie Wiley made Free Throw.,42,48
10:34,68,Justinian Jessup made Three Point Jumper.,45,48
10:02,339,Jaylon Brown missed Jumper.,45,48
10:02,339,Dalen Traore Offensive Rebound.,45,48
9:59,68,Foul on Robin Jorch.,45,48
9:59,339,Dalen Traore made Free Throw.,45,49
9:59,339,Dalen Traore missed Free Throw.,45,49
9:59,68,Cameron Oluyitan Defensive Rebound.,45,49
9:45,68,Nick Duncan missed Three Point Jumper.,45,49
9:45,339,Ryan Taylor Defensive Rebound.,45,49
9:16,68,Foul on Justinian Jessup.,45,49
9:16,339,Jaylon Brown made Free Throw.,45,50
9:16,339,Jaylon Brown made Free Throw.,45,51
9:04,68,Robin Jorch made Layup. Assisted by Paris Austin.,47,51
8:47,339,Jaylon Brown missed Jumper.,47,51
8:47,68,Robin Jorch Defensive Rebound.,47,51
8:36,68,Paris Austin made Layup.,49,51
8:26,339,Evansville  Timeout,49,51
8:07,339,Ryan Taylor made Three Point Jumper. Assisted by Willie Wiley.,49,54
7:47,68,Paris Austin Turnover.,49,54
7:45,339,Jaylon Brown Steal.,49,54
7:43,339,Jaylon Brown Turnover.,49,54
7:43,339,Official TV Timeout,49,54
7:24,339,Foul on Dalen Traore.,49,54
7:16,68,Paris Austin missed Layup.,49,54
7:16,68,Robin Jorch Offensive Rebound.,49,54
7:14,339,Foul on Duane Gibson.,49,54
7:09,68,Nick Duncan missed Three Point Jumper.,49,54
7:09,339,Jaylon Brown Defensive Rebound.,49,54
6:49,339,Jaylon Brown missed Layup.,49,54
6:49,68,Chandler Hutchison Defensive Rebound.,49,54
6:43,339,Foul on Duane Gibson.,49,54
6:43,68,Paris Austin made Free Throw.,50,54
6:43,68,Paris Austin made Free Throw.,51,54
6:35,68,Foul on Chandler Hutchison.,51,54
6:35,339,Jaylon Brown made Free Throw.,51,55
6:35,339,Jaylon Brown made Free Throw.,51,56
6:15,68,Justinian Jessup missed Three Point Jumper.,51,56
6:15,339,Willie Wiley Defensive Rebound.,51,56
6:05,68,Foul on Justinian Jessup.,51,56
6:05,339,Jaylon Brown made Free Throw.,51,57
6:05,339,Jaylon Brown made Free Throw.,51,58
5:53,68,Chandler Hutchison made Three Point Jumper. Assisted by James Reid.,54,58
5:23,339,Duane Gibson missed Jumper.,54,58
5:23,339,Evansville Offensive Rebound.,54,58
5:16,339,Dalen Traore made Layup. Assisted by Duane Gibson.,54,60
4:59,339,Foul on Ryan Taylor.,54,60
4:59,68,Paris Austin missed Free Throw.,54,60
4:59,68,Boise State Deadball Team Rebound.,54,60
4:59,68,Paris Austin made Free Throw.,55,60
4:38,339,Dalen Traore missed Layup.,55,60
4:38,68,Zach Haney Block.,55,60
4:38,68,Boise State Defensive Rebound.,55,60
4:21,68,Paris Austin Turnover.,55,60
4:19,339,Duane Gibson Steal.,55,60
4:17,339,Willie Wiley made Layup. Assisted by Jaylon Brown.,55,62
4:03,68,James Reid missed Jumper.,55,62
4:03,339,Dalen Traore Defensive Rebound.,55,62
3:40,339,Ryan Taylor made Three Point Jumper. Assisted by Jaylon Brown.,55,65
3:28,68,Boise State  Timeout,55,65
3:28,339,Official TV Timeout,55,65
3:20,68,Chandler Hutchison made Layup.,57,65
3:20,339,Foul on Duane Gibson.,57,65
3:20,68,Chandler Hutchison made Free Throw.,58,65
2:50,339,Jaylon Brown missed Three Point Jumper.,58,65
2:50,68,James Reid Defensive Rebound.,58,65
2:39,68,James Reid missed Three Point Jumper.,58,65
2:39,339,Jaylon Brown Defensive Rebound.,58,65
2:12,339,Jaylon Brown missed Layup.,58,65
2:12,68,Paris Austin Defensive Rebound.,58,65
2:03,339,Foul on Christian Benzon.,58,65
2:03,68,Chandler Hutchison made Free Throw.,59,65
2:03,68,Chandler Hutchison made Free Throw.,60,65
1:58,339,Duane Gibson Turnover.,60,65
1:48,68,Chandler Hutchison Turnover.,60,65
1:48,339,Jaylon Brown Steal.,60,65
1:48,68,Foul on Paris Austin.,60,65
1:48,339,Evansville  Timeout,60,65
1:47,339,Jaylon Brown Turnover.,60,65
1:47,68,Chandler Hutchison Steal.,60,65
1:47,68,Chandler Hutchison made Layup.,62,65
1:47,339,Foul on Duane Gibson.,62,65
1:47,68,Chandler Hutchison made Free Throw.,63,65
1:39,68,Foul on Paris Austin.,63,65
1:39,339,Jaylon Brown missed Free Throw.,63,65
1:39,339,Evansville Deadball Team Rebound.,63,65
1:39,339,Jaylon Brown made Free Throw.,63,66
1:27,68,Nick Duncan made Three Point Jumper. Assisted by Chandler Hutchison.,66,66
0:59,339,Jaylon Brown missed Layup.,66,66
0:59,68,Chandler Hutchison Defensive Rebound.,66,66
0:40,68,Chandler Hutchison missed Jumper.,66,66
0:40,339,Dru Smith Defensive Rebound.,66,66
0:38,68,Foul on Chandler Hutchison.,66,66
0:38,339,Dru Smith made Free Throw.,66,67
0:38,339,Dru Smith made Free Throw.,66,68
0:22,68,James Reid Turnover.,66,68
0:21,339,Willie Wiley Steal.,66,68
0:21,68,Foul on James Reid.,66,68
0:21,339,Willie Wiley made Free Throw.,66,69
0:21,339,Willie Wiley made Free Throw.,66,70
0:16,339,Foul on Jaiveon Eaves.,66,70
0:16,68,Paris Austin missed Free Throw.,66,70
0:16,68,Boise State Deadball Team Rebound.,66,70
0:16,68,Paris Austin made Free Throw.,67,70
0:16,68,Boise State  Timeout,67,70
0:11,68,Foul on Chandler Hutchison.,67,70
0:11,339,Jaylon Brown made Free Throw.,67,71
0:11,339,Jaylon Brown made Free Throw.,67,72
0:05,68,Paris Austin missed Layup.,67,72
0:05,68,Zach Haney Offensive Rebound.,67,72
0:05,68,Zach Haney missed Jumper.,67,72
0:05,339,Jaiveon Eaves Defensive Rebound.,67,72
0:00,339,End of Game,67,72
