Wake Forest,257,Richmond,154
9:12,154,John Collins Defensive Rebound.,52,41
8:49,154,Austin Arians made Layup.,54,41
8:42,257,Nick Sherod made Three Point Jumper. Assisted by T.J. Cline.,54,44
8:13,154,Keyshawn Woods made Jumper.,56,44
8:01,257,Nick Sherod made Three Point Jumper. Assisted by T.J. Cline.,56,47
7:41,154,Austin Arians missed Three Point Jumper.,56,47
7:41,154,John Collins Offensive Rebound.,56,47
7:40,154,John Collins made Two Point Tip Shot.,58,47
7:29,257,Nick Sherod made Jumper. Assisted by ShawnDre' Jones.,58,49
7:06,154,Mitchell Wilbekin missed Three Point Jumper.,58,49
7:06,257,Julius Johnson Defensive Rebound.,58,49
6:54,154,Foul on Austin Arians.,58,49
6:54,257,Official TV Timeout,58,49
6:45,257,Nick Sherod missed Three Point Jumper.,58,49
6:45,154,Bryant Crawford Defensive Rebound.,58,49
6:22,154,Keyshawn Woods missed Three Point Jumper.,58,49
6:22,154,Keyshawn Woods Offensive Rebound.,58,49
6:18,154,Keyshawn Woods Turnover.,58,49
6:17,257,ShawnDre' Jones Steal.,58,49
6:14,154,Foul on Mitchell Wilbekin.,58,49
6:14,257,ShawnDre' Jones missed Free Throw.,58,49
6:14,257,Richmond Deadball Team Rebound.,58,49
6:14,257,ShawnDre' Jones missed Free Throw.,58,49
6:14,154,Konstantinos Mitoglou Defensive Rebound.,58,49
5:49,154,Brandon Childress missed Jumper.,58,49
5:49,154,Konstantinos Mitoglou Offensive Rebound.,58,49
5:39,154,Konstantinos Mitoglou made Jumper. Assisted by Bryant Crawford.,60,49
5:25,257,ShawnDre' Jones made Three Point Jumper. Assisted by T.J. Cline.,60,52
5:04,257,Foul on Nick Sherod.,60,52
5:04,154,Konstantinos Mitoglou made Free Throw.,61,52
5:04,154,Konstantinos Mitoglou made Free Throw.,62,52
4:54,257,Marshall Wood Turnover.,62,52
4:53,154,Bryant Crawford Steal.,62,52
4:51,154,John Collins made Dunk.,64,52
4:42,257,ShawnDre' Jones Turnover.,64,52
4:41,154,Bryant Crawford Steal.,64,52
4:38,257,Foul on ShawnDre' Jones.,64,52
4:38,154,Bryant Crawford missed Free Throw.,64,52
4:38,154,Wake Forest Deadball Team Rebound.,64,52
4:38,154,Bryant Crawford made Free Throw.,65,52
4:24,154,Foul on Bryant Crawford.,65,52
4:24,257,T.J. Cline made Free Throw.,65,53
4:24,257,T.J. Cline made Free Throw.,65,54
4:03,154,Brandon Childress missed Three Point Jumper.,65,54
4:03,257,T.J. Cline Defensive Rebound.,65,54
3:55,154,Foul on Konstantinos Mitoglou.,65,54
3:55,257,Official TV Timeout,65,54
3:55,257,Khwan Fore made Free Throw.,65,55
3:55,257,Khwan Fore missed Free Throw.,65,55
3:55,154,Greg McClinton Defensive Rebound.,65,55
3:31,257,Foul on Khwan Fore.,65,55
3:31,154,Keyshawn Woods made Free Throw.,66,55
3:31,154,Keyshawn Woods made Free Throw.,67,55
3:17,257,T.J. Cline made Jumper.,67,57
2:46,154,Bryant Crawford missed Three Point Jumper.,67,57
2:46,257,De'Monte Buckingham Defensive Rebound.,67,57
2:38,257,Marshall Wood made Jumper. Assisted by ShawnDre' Jones.,67,59
2:38,257,Richmond  Timeout,67,59
2:15,154,Austin Arians Turnover.,67,59
2:14,257,De'Monte Buckingham Steal.,67,59
2:11,154,Foul on Bryant Crawford.,67,59
2:11,257,Khwan Fore missed Free Throw.,67,59
2:11,257,Richmond Deadball Team Rebound.,67,59
2:11,257,Khwan Fore missed Free Throw.,67,59
2:11,154,John Collins Defensive Rebound.,67,59
1:40,154,Keyshawn Woods missed Three Point Jumper.,67,59
1:40,257,ShawnDre' Jones Defensive Rebound.,67,59
1:35,154,Foul on Keyshawn Woods.,67,59
1:35,257,Khwan Fore missed Free Throw.,67,59
1:35,257,Richmond Deadball Team Rebound.,67,59
1:35,257,Khwan Fore made Free Throw.,67,60
1:24,257,Foul on Khwan Fore.,67,60
1:24,154,Bryant Crawford made Free Throw.,68,60
1:24,154,Bryant Crawford made Free Throw.,69,60
1:18,257,T.J. Cline missed Three Point Jumper.,69,60
1:18,154,Keyshawn Woods Defensive Rebound.,69,60
1:09,257,Foul on De'Monte Buckingham.,69,60
1:09,154,Keyshawn Woods made Free Throw.,70,60
1:09,154,Keyshawn Woods missed Free Throw.,70,60
1:09,257,T.J. Cline Defensive Rebound.,70,60
1:01,257,Khwan Fore made Dunk.,70,62
0:43,154,John Collins made Layup. Assisted by Bryant Crawford.,72,62
0:38,257,Marshall Wood missed Three Point Jumper.,72,62
0:38,154,John Collins Defensive Rebound.,72,62
0:36,257,Foul on ShawnDre' Jones.,72,62
0:36,154,John Collins missed Free Throw.,72,62
0:36,154,Wake Forest Deadball Team Rebound.,72,62
0:36,154,John Collins missed Free Throw.,72,62
0:36,257,T.J. Cline Defensive Rebound.,72,62
0:28,257,Nick Sherod made Three Point Jumper. Assisted by T.J. Cline.,72,65
0:27,257,Richmond  Timeout,72,65
0:26,257,Foul on De'Monte Buckingham.,72,65
0:26,154,Brandon Childress made Free Throw.,73,65
0:26,154,Brandon Childress missed Free Throw.,73,65
0:26,257,Nick Sherod Defensive Rebound.,73,65
0:15,257,ShawnDre' Jones missed Three Point Jumper.,73,65
0:15,257,T.J. Cline Offensive Rebound.,73,65
0:11,257,T.J. Cline made Layup.,73,67
0:11,257,Richmond  Timeout,73,67
0:07,257,Foul on T.J. Cline.,73,67
0:07,154,Mitchell Wilbekin made Free Throw.,74,67
0:07,154,Mitchell Wilbekin made Free Throw.,75,67
0:02,257,ShawnDre' Jones missed Three Point Jumper.,75,67
0:02,257,Marshall Wood Offensive Rebound.,75,67
0:00,257,End of Game,75,67
