Milwaukee,149,Montana,270
3:46,270,Jeremiah Bell made Layup.,31,28
3:32,149,Jack Lopez Turnover.,31,28
3:30,270,Dan Studer Steal.,31,28
3:22,270,Dan Studer made Layup. Assisted by Brock Stull.,33,28
2:57,149,Ahmaad Rorie made Jumper.,33,30
2:37,270,Milwaukee  Timeout,33,30
2:25,270,Foul on Brock Stull.,33,30
2:25,270,Brock Stull Turnover.,33,30
2:15,149,Walter Wright missed Jumper.,33,30
2:15,270,Brock Stull Defensive Rebound.,33,30
2:08,270,Brock Stull made Layup.,35,30
1:40,149,Ahmaad Rorie made Three Point Jumper. Assisted by Michael Oguine.,35,33
1:14,270,Cody Wichmann missed Three Point Jumper.,35,33
1:14,149,Fabijan Krslovic Offensive Rebound.,35,33
0:58,149,Jack Lopez made Three Point Jumper. Assisted by Walter Wright.,35,36
0:37,270,Cody Wichmann made Three Point Jumper. Assisted by Cameron Harvey.,38,36
0:07,149,Walter Wright missed Three Point Jumper.,38,36
0:07,149,Michael Oguine Offensive Rebound.,38,36
0:02,270,Foul on Cameron Harvey.,38,36
0:02,149,Michael Oguine missed Free Throw.,38,36
0:02,149,Michael Oguine made Free Throw.,38,37
0:00,270,Jeremiah Bell missed Three Point Jumper.,38,37
0:00,270,Milwaukee Deadball Team Rebound.,38,37
0:00,149,End of 1st half,38,37
19:52,270,Cody Wichmann Turnover.,38,37
19:50,149,Fabijan Krslovic Steal.,38,37
19:40,149,Fabijan Krslovic missed Jumper.,38,37
19:40,270,August Haas Defensive Rebound.,38,37
19:33,270,August Haas missed Layup.,38,37
19:33,149,Fabijan Krslovic Defensive Rebound.,38,37
19:27,149,Ahmaad Rorie made Jumper.,38,39
19:03,270,Brock Stull missed Jumper.,38,39
19:03,149,Fabijan Krslovic Defensive Rebound.,38,39
19:01,270,Foul on Brett Prahl.,38,39
18:44,149,Sayeed Pridgett missed Jumper.,38,39
18:44,270,August Haas Defensive Rebound.,38,39
18:27,270,Brock Stull missed Jumper.,38,39
18:27,149,Fabijan Krslovic Defensive Rebound.,38,39
18:17,149,Ahmaad Rorie made Jumper.,38,41
17:53,270,Cameron Harvey made Three Point Jumper.,41,41
17:39,270,Foul on Cameron Harvey.,41,41
17:30,149,Ahmaad Rorie Turnover.,41,41
17:02,270,Jeremiah Bell missed Layup.,41,41
17:02,270,Bryce Nze Offensive Rebound.,41,41
17:00,270,Milwaukee  Turnover.,41,41
16:46,149,Michael Oguine missed Layup.,41,41
16:46,149,Michael Oguine Offensive Rebound.,41,41
16:43,270,Foul on Bryce Nze.,41,41
16:43,149,Michael Oguine made Free Throw.,41,42
16:43,149,Michael Oguine made Free Throw.,41,43
16:25,270,Cameron Harvey missed Jumper.,41,43
16:25,149,Fabijan Krslovic Defensive Rebound.,41,43
16:04,149,Ahmaad Rorie missed Three Point Jumper.,41,43
16:04,270,Bryce Nze Defensive Rebound.,41,43
16:01,149,Foul on Fabijan Krslovic.,41,43
15:45,270,Brock Stull missed Layup.,41,43
15:45,270,Bryce Nze Offensive Rebound.,41,43
15:40,270,Bryce Nze missed Layup.,41,43
15:40,270,Bryce Nze Offensive Rebound.,41,43
15:34,270,Bryce Nze made Two Point Tip Shot.,43,43
15:25,149,Mario Dunn made Three Point Jumper. Assisted by Walter Wright.,43,46
15:08,270,Jeremiah Bell made Layup.,45,46
14:54,149,Ahmaad Rorie made Three Point Jumper. Assisted by Walter Wright.,45,49
14:27,270,Brock Stull made Jumper.,47,49
14:13,149,Ahmaad Rorie made Three Point Jumper. Assisted by Bobby Moorehead.,47,52
13:54,270,Jeremiah Bell made Jumper.,49,52
13:42,149,Bobby Moorehead made Three Point Jumper. Assisted by Ahmaad Rorie.,49,55
13:32,270,Milwaukee  Timeout,49,55
13:13,270,Bryce Nze missed Layup.,49,55
13:13,149,Mario Dunn Block.,49,55
13:10,270,Bryce Nze Offensive Rebound.,49,55
13:07,270,Bryce Nze made Layup.,51,55
12:50,149,Jared Samuelson missed Jumper.,51,55
12:50,270,Bryce Nze Defensive Rebound.,51,55
12:34,270,Bryce Nze made Layup.,53,55
12:21,149,Walter Wright missed Three Point Jumper.,53,55
12:21,149,Jared Samuelson Offensive Rebound.,53,55
11:57,149,Ahmaad Rorie missed Three Point Jumper.,53,55
11:57,270,August Haas Defensive Rebound.,53,55
11:47,270,Jeremy Johnson missed Jumper.,53,55
11:47,270,Bryce Nze Offensive Rebound.,53,55
11:43,270,Bryce Nze made Layup.,55,55
11:19,149,Jared Samuelson missed Layup.,55,55
11:19,270,Bryce Nze Block.,55,55
11:17,149,Jared Samuelson Offensive Rebound.,55,55
11:14,149,Jared Samuelson made Layup.,55,57
10:45,270,August Haas missed Jumper.,55,57
10:45,149,Mario Dunn Defensive Rebound.,55,57
10:26,149,Walter Wright made Jumper.,55,59
10:05,270,Jeremy Johnson made Layup. Assisted by August Haas.,57,59
9:46,149,Jared Samuelson missed Jumper.,57,59
9:46,270,Jeremy Johnson Defensive Rebound.,57,59
9:35,270,Foul on Cody Wichmann.,57,59
9:35,270,Cody Wichmann Turnover.,57,59
9:35,149,Montana  Timeout,57,59
9:08,149,Walter Wright missed Jumper.,57,59
9:08,149,Fabijan Krslovic Offensive Rebound.,57,59
9:04,149,Official TV Timeout,57,59
8:48,149,Walter Wright made Jumper.,57,61
8:29,270,Jeremiah Bell missed Three Point Jumper.,57,61
8:29,149,Fabijan Krslovic Defensive Rebound.,57,61
8:05,149,Walter Wright made Three Point Jumper.,57,64
7:47,270,Brock Stull made Three Point Jumper. Assisted by Jeremiah Bell.,60,64
7:42,149,Foul on Fabijan Krslovic.,60,64
7:42,149,Fabijan Krslovic Turnover.,60,64
7:42,149,Official TV Timeout,60,64
7:39,270,Bryce Nze Turnover.,60,64
7:37,149,Mario Dunn Steal.,60,64
7:32,149,Mario Dunn made Three Point Jumper. Assisted by Walter Wright.,60,67
6:59,270,Brock Stull missed Jumper.,60,67
6:59,149,Mario Dunn Block.,60,67
6:55,149,Michael Oguine Defensive Rebound.,60,67
6:46,270,Foul on Cameron Harvey.,60,67
6:46,149,Walter Wright made Free Throw.,60,68
6:46,149,Walter Wright made Free Throw.,60,69
6:36,270,August Haas made Layup.,62,69
6:11,149,Ahmaad Rorie missed Jumper.,62,69
6:11,270,Jeremy Johnson Defensive Rebound.,62,69
5:59,270,Jeremiah Bell made Jumper.,64,69
5:44,149,Walter Wright missed Three Point Jumper.,64,69
5:44,270,Brock Stull Defensive Rebound.,64,69
5:42,149,Foul on Michael Oguine.,64,69
5:29,270,August Haas missed Jumper.,64,69
5:29,149,Fabijan Krslovic Defensive Rebound.,64,69
5:25,270,Foul on Jeremiah Bell.,64,69
5:09,149,Fabijan Krslovic Turnover.,64,69
4:54,270,Jeremiah Bell made Layup.,66,69
4:38,149,Ahmaad Rorie missed Jumper.,66,69
4:38,270,Brock Stull Defensive Rebound.,66,69
4:29,270,Jeremiah Bell missed Jumper.,66,69
4:29,149,Fabijan Krslovic Defensive Rebound.,66,69
4:23,149,Montana  Timeout,66,69
4:06,149,Jack Lopez missed Three Point Jumper.,66,69
4:06,270,Bryce Nze Defensive Rebound.,66,69
3:37,270,Brock Stull missed Three Point Jumper.,66,69
3:37,149,Fabijan Krslovic Defensive Rebound.,66,69
3:07,149,Ahmaad Rorie missed Three Point Jumper.,66,69
3:07,270,Brock Stull Defensive Rebound.,66,69
2:56,149,Foul on Jack Lopez.,66,69
2:38,270,Jeremiah Bell missed Three Point Jumper.,66,69
2:38,149,Fabijan Krslovic Defensive Rebound.,66,69
2:18,149,Ahmaad Rorie missed Three Point Jumper.,66,69
2:18,270,Milwaukee Defensive Rebound.,66,69
1:45,270,Bryce Nze made Layup. Assisted by Brock Stull.,68,69
1:31,270,Foul on Jeremiah Bell.,68,69
1:31,149,Walter Wright made Free Throw.,68,70
1:31,149,Walter Wright made Free Throw.,68,71
1:26,270,Milwaukee  Timeout,68,71
1:26,149,Foul on Ahmaad Rorie.,68,71
1:26,270,Cody Wichmann missed Three Point Jumper.,68,71
1:26,270,Bryce Nze Offensive Rebound.,68,71
1:21,149,Foul on Mario Dunn.,68,71
0:53,270,Brock Stull missed Three Point Jumper.,68,71
0:53,149,Michael Oguine Defensive Rebound.,68,71
0:26,149,Michael Oguine made Layup.,68,73
0:26,270,Foul on Bryce Nze.,68,73
0:26,149,Michael Oguine missed Free Throw.,68,73
0:26,270,Brock Stull Defensive Rebound.,68,73
0:19,270,Jeremiah Bell missed Three Point Jumper.,68,73
0:19,270,Bryce Nze Offensive Rebound.,68,73
0:15,149,Foul on Mario Dunn.,68,73
0:15,270,Bryce Nze made Free Throw.,69,73
0:15,270,Bryce Nze missed Free Throw.,69,73
0:15,149,Ahmaad Rorie Defensive Rebound.,69,73
0:12,270,Foul on Jeremiah Bell.,69,73
0:12,149,Ahmaad Rorie made Free Throw.,69,74
0:12,149,Ahmaad Rorie made Free Throw.,69,75
0:05,270,August Haas Turnover.,69,75
0:04,149,Fabijan Krslovic Steal.,69,75
0:00,149,End of Game,69,75
