Bryant,195,Ohio,2803
13:53,195,Gavin Block made Three Point Jumper. Assisted by Kenny Kaminski.,8,11
13:30,2803,Nisre Zouzoua made Jumper.,10,11
13:04,195,Jaaron Simmons made Three Point Jumper. Assisted by Jordan Dartis.,10,14
12:47,2803,Sabastian Townes Turnover.,10,14
12:45,195,Kenny Kaminski Steal.,10,14
12:42,195,Jordan Dartis made Three Point Jumper. Assisted by Jaaron Simmons.,10,17
12:26,195,Foul on Rodney Culver.,10,17
12:24,2803,Marcel Pettway Turnover.,10,17
12:09,2803,Foul on Bosko Kostur.,10,17
11:56,195,Jaaron Simmons made Jumper.,10,19
11:33,195,Foul on Kenny Kaminski.,10,19
11:33,2803,Bryant  Timeout,10,19
11:33,2803,Sabastian Townes made Free Throw.,11,19
11:33,2803,Sabastian Townes missed Free Throw.,11,19
11:33,195,Jordan Dartis Defensive Rebound.,11,19
11:24,195,Jaaron Simmons Turnover.,11,19
11:22,2803,Nisre Zouzoua Steal.,11,19
11:18,2803,Marcel Pettway made Layup.,13,19
10:46,2803,Foul on Hunter Ware.,13,19
10:41,195,Rodney Culver missed Jumper.,13,19
10:41,2803,Nisre Zouzoua Defensive Rebound.,13,19
10:19,195,Foul on Doug Taylor.,13,19
10:19,2803,Adam Grant made Free Throw.,14,19
10:19,2803,Adam Grant missed Free Throw.,14,19
10:19,2803,Marcel Pettway Offensive Rebound.,14,19
10:15,2803,Adam Grant made Dunk.,16,19
9:59,2803,Foul on Bosko Kostur.,16,19
9:59,195,Antonio Campbell made Free Throw.,16,20
9:59,195,Antonio Campbell made Free Throw.,16,21
9:45,2803,Nisre Zouzoua made Three Point Jumper.,19,21
9:27,195,Gavin Block missed Three Point Jumper.,19,21
9:27,195,Doug Taylor Offensive Rebound.,19,21
9:13,195,Jaaron Simmons made Three Point Jumper. Assisted by Doug Taylor.,19,24
8:54,2803,Nisre Zouzoua missed Three Point Jumper.,19,24
8:54,195,Doug Taylor Defensive Rebound.,19,24
8:46,195,Antonio Campbell made Three Point Jumper. Assisted by Jaaron Simmons.,19,27
8:42,2803,Bryant  Timeout,19,27
8:23,2803,Ikenna Ndugba missed Three Point Jumper.,19,27
8:23,195,Jordan Dartis Defensive Rebound.,19,27
8:15,195,Gavin Block Turnover.,19,27
8:14,2803,Marcel Pettway Steal.,19,27
8:09,2803,Nisre Zouzoua made Layup.,21,27
7:53,2803,Foul on Gus Riley.,21,27
7:53,195,Ohio  Timeout,21,27
7:53,195,Antonio Campbell made Free Throw.,21,28
7:53,195,Antonio Campbell missed Free Throw.,21,28
7:53,2803,Gus Riley Defensive Rebound.,21,28
7:40,2803,Adam Grant made Three Point Jumper. Assisted by Ikenna Ndugba.,24,28
7:18,195,Antonio Campbell Turnover.,24,28
7:18,195,Foul on Antonio Campbell.,24,28
7:06,2803,Ikenna Ndugba missed Layup.,24,28
7:06,195,Kenny Kaminski Defensive Rebound.,24,28
6:49,2803,Foul on Gus Riley.,24,28
6:49,195,Mike Laster missed Free Throw.,24,28
6:49,195,Ohio Deadball Team Rebound.,24,28
6:49,195,Mike Laster missed Free Throw.,24,28
6:49,2803,Ikenna Ndugba Defensive Rebound.,24,28
6:36,2803,Gus Riley made Layup. Assisted by Ikenna Ndugba.,26,28
6:08,195,Jordan Dartis made Three Point Jumper.,26,31
5:50,2803,Marcel Pettway Turnover.,26,31
5:50,2803,Foul on Marcel Pettway.,26,31
5:34,195,Antonio Campbell made Jumper. Assisted by Jordan Dartis.,26,33
5:21,2803,Nisre Zouzoua missed Jumper.,26,33
5:21,195,Jaaron Simmons Defensive Rebound.,26,33
5:11,195,Jordan Dartis made Three Point Jumper. Assisted by Antonio Campbell.,26,36
5:08,2803,Bryant  Timeout,26,36
5:00,195,Foul on Jaaron Simmons.,26,36
5:00,2803,Adam Grant made Free Throw.,27,36
5:00,2803,Adam Grant made Free Throw.,28,36
4:51,195,Jordan Dartis made Three Point Jumper. Assisted by Jaaron Simmons.,28,39
4:37,195,Foul on Jaaron Simmons.,28,39
4:37,2803,Adam Grant missed Free Throw.,28,39
4:37,195,Antonio Campbell Defensive Rebound.,28,39
4:19,195,Jordan Dartis missed Three Point Jumper.,28,39
4:19,195,Mike Laster Offensive Rebound.,28,39
4:10,195,Rodney Culver Turnover.,28,39
4:09,2803,Nisre Zouzoua Steal.,28,39
4:05,2803,Nisre Zouzoua missed Layup.,28,39
4:05,195,Rodney Culver Defensive Rebound.,28,39
3:59,195,Rodney Culver made Layup.,28,41
3:35,2803,Adam Grant made Layup.,30,41
3:17,195,Kenny Kaminski missed Three Point Jumper.,30,41
3:17,2803,Nisre Zouzoua Defensive Rebound.,30,41
3:15,2803,Bryant  Timeout,30,41
2:57,2803,Bosko Kostur missed Layup.,30,41
2:57,195,Doug Taylor Block.,30,41
2:54,195,Gavin Block Defensive Rebound.,30,41
2:42,195,Rodney Culver made Jumper. Assisted by Gavin Block.,30,43
2:28,2803,Adam Grant missed Jumper.,30,43
2:28,195,Antonio Campbell Defensive Rebound.,30,43
2:18,195,Antonio Campbell missed Three Point Jumper.,30,43
2:18,195,Doug Taylor Offensive Rebound.,30,43
2:18,2803,Foul on Marcel Pettway.,30,43
2:18,195,Doug Taylor made Free Throw.,30,44
2:18,195,Doug Taylor made Free Throw.,30,45
2:05,2803,Ikenna Ndugba missed Jumper.,30,45
2:05,195,Rodney Culver Defensive Rebound.,30,45
1:56,195,Jordan Dartis missed Three Point Jumper.,30,45
1:56,2803,Ikenna Ndugba Defensive Rebound.,30,45
1:33,2803,Sabastian Townes missed Jumper.,30,45
1:33,195,Gavin Block Defensive Rebound.,30,45
1:21,195,Doug Taylor made Dunk. Assisted by Antonio Campbell.,30,47
0:58,2803,Adam Grant missed Jumper.,30,47
0:58,195,Doug Taylor Defensive Rebound.,30,47
0:39,195,Doug Taylor missed Jumper.,30,47
0:39,2803,Nisre Zouzoua Defensive Rebound.,30,47
0:18,2803,Bosko Kostur made Three Point Jumper. Assisted by Ikenna Ndugba.,33,47
0:15,195,Ohio  Timeout,33,47
0:03,195,Jordan Dartis made Three Point Jumper. Assisted by Jaaron Simmons.,33,50
0:00,195,End of 1st half,33,50
19:42,195,Antonio Campbell Turnover.,33,50
19:40,2803,Bosko Kostur Steal.,33,50
19:25,2803,Adam Grant missed Layup.,33,50
19:25,195,Jordan Dartis Defensive Rebound.,33,50
19:12,195,Antonio Campbell missed Layup.,33,50
19:12,2803,Nisre Zouzoua Defensive Rebound.,33,50
18:55,2803,Nisre Zouzoua Turnover.,33,50
18:43,195,Jordan Dartis missed Three Point Jumper.,33,50
18:43,195,Antonio Campbell Offensive Rebound.,33,50
18:40,195,Antonio Campbell made Layup.,33,52
18:26,2803,Ikenna Ndugba missed Three Point Jumper.,33,52
18:26,195,Jaaron Simmons Defensive Rebound.,33,52
18:19,195,Jaaron Simmons missed Layup.,33,52
18:19,2803,Marcel Pettway Defensive Rebound.,33,52
18:08,2803,Marcel Pettway Turnover.,33,52
17:46,2803,Foul on Nisre Zouzoua.,33,52
17:20,195,Kenny Kaminski missed Jumper.,33,52
17:20,2803,Bryant Deadball Team Rebound.,33,52
17:08,2803,Marcel Pettway made Layup. Assisted by Hunter Ware.,35,52
16:58,2803,Foul on Nisre Zouzoua.,35,52
16:48,195,Gavin Block missed Jumper.,35,52
16:48,2803,Marcel Pettway Defensive Rebound.,35,52
16:35,2803,Nisre Zouzoua missed Jumper.,35,52
16:35,195,Jordan Dartis Defensive Rebound.,35,52
16:26,195,Jaaron Simmons missed Layup.,35,52
16:26,2803,Nisre Zouzoua Defensive Rebound.,35,52
16:20,2803,Hunter Ware Turnover.,35,52
16:20,2803,Foul on Hunter Ware.,35,52
16:05,195,Antonio Campbell made Three Point Jumper. Assisted by Kenny Kaminski.,35,55
15:49,2803,Hunter Ware missed Three Point Jumper.,35,55
15:49,195,Antonio Campbell Defensive Rebound.,35,55
15:40,195,Jaaron Simmons missed Layup.,35,55
15:40,195,Antonio Campbell Offensive Rebound.,35,55
15:37,195,Jordan Dartis made Three Point Jumper. Assisted by Gavin Block.,35,58
15:09,2803,Bosko Kostur missed Three Point Jumper.,35,58
15:09,195,Antonio Campbell Defensive Rebound.,35,58
15:00,2803,Foul on Adam Grant.,35,58
15:00,195,Ohio  Timeout,35,58
14:52,195,Antonio Campbell Turnover.,35,58
14:52,195,Foul on Antonio Campbell.,35,58
14:35,2803,Nisre Zouzoua Turnover.,35,58
14:35,2803,Foul on Nisre Zouzoua.,35,58
14:20,195,Antonio Campbell made Dunk. Assisted by Jaaron Simmons.,35,60
13:59,2803,Nisre Zouzoua made Three Point Jumper. Assisted by Hunter Ware.,38,60
13:34,195,Jason Carter Turnover.,38,60
13:21,2803,Ikenna Ndugba missed Layup.,38,60
13:21,2803,Marcel Pettway Offensive Rebound.,38,60
13:17,2803,Hunter Ware made Layup. Assisted by Marcel Pettway.,40,60
12:59,195,Jaaron Simmons missed Jumper.,40,60
12:59,2803,Marcel Pettway Defensive Rebound.,40,60
12:33,2803,Bosko Kostur missed Three Point Jumper.,40,60
12:33,195,Rodney Culver Defensive Rebound.,40,60
12:25,195,Doug Taylor made Layup. Assisted by Rodney Culver.,40,62
12:00,2803,Hunter Ware missed Three Point Jumper.,40,62
12:00,195,Jordan Dartis Defensive Rebound.,40,62
11:45,195,Doug Taylor missed Jumper.,40,62
11:45,195,Ohio Offensive Rebound.,40,62
11:45,195,Ohio  Timeout,40,62
11:32,195,Rodney Culver made Jumper.,40,64
11:12,195,Foul on Kenny Kaminski.,40,64
11:12,2803,Bosko Kostur missed Free Throw.,40,64
11:12,2803,Bryant Deadball Team Rebound.,40,64
11:12,2803,Bosko Kostur made Free Throw.,41,64
10:56,195,Jordan Dartis missed Layup.,41,64
10:56,195,Ohio Offensive Rebound.,41,64
10:49,195,Rodney Culver missed Three Point Jumper.,41,64
10:49,195,Doug Taylor Offensive Rebound.,41,64
10:43,2803,Foul on Bosko Kostur.,41,64
10:39,195,Rodney Culver missed Layup.,41,64
10:39,2803,Gus Riley Defensive Rebound.,41,64
10:30,2803,Nisre Zouzoua missed Jumper.,41,64
10:30,2803,Adam Grant Offensive Rebound.,41,64
10:27,2803,Adam Grant missed Layup.,41,64
10:27,195,Doug Taylor Defensive Rebound.,41,64
10:20,2803,Foul on Adam Grant.,41,64
10:20,195,Jordan Dartis made Free Throw.,41,65
10:20,195,Jordan Dartis made Free Throw.,41,66
10:05,2803,Nisre Zouzoua missed Layup.,41,66
10:05,195,Doug Taylor Defensive Rebound.,41,66
9:46,195,Doug Taylor missed Layup.,41,66
9:46,2803,Ikenna Ndugba Defensive Rebound.,41,66
9:31,2803,Adam Grant missed Three Point Jumper.,41,66
9:31,195,Gavin Block Defensive Rebound.,41,66
9:13,195,Jordan Dartis missed Layup.,41,66
9:13,195,Doug Taylor Offensive Rebound.,41,66
9:09,195,Doug Taylor made Layup.,41,68
9:00,2803,Marcel Pettway made Layup. Assisted by Ikenna Ndugba.,43,68
8:43,195,Rodney Culver missed Layup.,43,68
8:43,2803,Ikenna Ndugba Defensive Rebound.,43,68
8:38,2803,Ikenna Ndugba made Layup.,45,68
8:17,2803,Foul on Gus Riley.,45,68
8:17,195,Mike Laster made Free Throw.,45,69
8:17,195,Mike Laster made Free Throw.,45,70
8:05,195,Foul on Rodney Culver.,45,70
7:55,2803,Gus Riley missed Jumper.,45,70
7:55,2803,Sabastian Townes Offensive Rebound.,45,70
7:47,2803,Gus Riley made Layup.,47,70
7:16,195,Jaaron Simmons missed Jumper.,47,70
7:16,2803,Nisre Zouzoua Defensive Rebound.,47,70
7:01,2803,Nisre Zouzoua missed Layup.,47,70
7:01,195,Antonio Campbell Block.,47,70
6:59,195,Antonio Campbell Defensive Rebound.,47,70
6:52,195,Antonio Campbell made Three Point Jumper. Assisted by Jaaron Simmons.,47,73
6:32,2803,Ikenna Ndugba missed Three Point Jumper.,47,73
6:32,195,Antonio Campbell Defensive Rebound.,47,73
6:23,195,Ohio  Timeout,47,73
6:20,2803,Foul on Hunter Ware.,47,73
6:20,195,Jason Carter made Free Throw.,47,74
6:20,195,Jason Carter made Free Throw.,47,75
6:01,2803,Marcel Pettway missed Layup.,47,75
6:01,195,Rodney Culver Defensive Rebound.,47,75
5:38,2803,Foul on Ikenna Ndugba.,47,75
5:38,195,Jaaron Simmons made Free Throw.,47,76
5:38,195,Jaaron Simmons missed Free Throw.,47,76
5:38,195,Ellis Dozier Offensive Rebound.,47,76
5:27,195,Mike Laster Turnover.,47,76
5:26,2803,Nisre Zouzoua Steal.,47,76
5:12,2803,Bosko Kostur made Layup.,49,76
4:55,195,Rodney Culver made Layup.,49,78
4:55,2803,Foul on Nisre Zouzoua.,49,78
4:55,195,Rodney Culver made Free Throw.,49,79
4:36,2803,Adam Grant missed Layup.,49,79
4:36,195,Drew Crabtree Defensive Rebound.,49,79
4:24,195,Jason Carter missed Layup.,49,79
4:24,2803,Marcel Pettway Defensive Rebound.,49,79
4:13,2803,Bosko Kostur missed Three Point Jumper.,49,79
4:13,195,Jason Carter Defensive Rebound.,49,79
3:54,195,Jason Carter missed Three Point Jumper.,49,79
3:54,2803,Bosko Kostur Defensive Rebound.,49,79
3:40,2803,Hunter Ware made Layup.,51,79
3:20,195,Ellis Dozier Turnover.,51,79
3:19,2803,Ikenna Ndugba Steal.,51,79
3:16,2803,Adam Grant Turnover.,51,79
3:14,195,Mike Laster Steal.,51,79
3:08,195,Drew Crabtree missed Three Point Jumper.,51,79
3:08,2803,Ikenna Ndugba Defensive Rebound.,51,79
2:59,2803,Adam Grant missed Three Point Jumper.,51,79
2:59,195,Drew Crabtree Defensive Rebound.,51,79
2:44,195,Rodney Culver missed Jumper.,51,79
2:44,2803,Bosko Kostur Defensive Rebound.,51,79
2:30,2803,Bryant  Timeout,51,79
2:17,2803,Sabastian Townes missed Jumper.,51,79
2:17,195,Sam Frayer Defensive Rebound.,51,79
1:57,195,Jaylin McDonald missed Three Point Jumper.,51,79
1:57,2803,Ikenna Ndugba Defensive Rebound.,51,79
1:48,2803,Hunter Ware made Layup.,53,79
1:30,195,Drew Crabtree missed Three Point Jumper.,53,79
1:30,2803,Hunter Ware Defensive Rebound.,53,79
1:16,2803,Sabastian Townes missed Layup.,53,79
1:16,195,Antonio Bisutti Defensive Rebound.,53,79
1:02,195,Sam Frayer missed Three Point Jumper.,53,79
1:02,2803,Sabastian Townes Defensive Rebound.,53,79
0:52,2803,Adam Grant Turnover.,53,79
0:52,195,Ohio  Timeout,53,79
0:42,195,Ellis Dozier missed Layup.,53,79
0:42,2803,Gus Riley Defensive Rebound.,53,79
0:24,2803,Hunter Ware missed Three Point Jumper.,53,79
0:24,195,Ellis Dozier Defensive Rebound.,53,79
0:00,195,End of Game,53,79
