New Orleans,265,Washington State,2443
12:50,2443,Travin Thibodeaux missed Layup.,11,6
12:50,265,Derrien King Defensive Rebound.,11,6
12:43,265,Malachi Flynn missed Three Point Jumper.,11,6
12:43,265,Conor Clifford Offensive Rebound.,11,6
12:39,265,Conor Clifford made Layup.,11,8
12:30,2443,Erik Thomas missed Jumper.,11,8
12:30,265,Malachi Flynn Defensive Rebound.,11,8
12:09,265,Derrien King made Three Point Jumper.,11,11
11:49,2443,Jorge Rosa missed Three Point Jumper.,11,11
11:49,2443,Erik Thomas Offensive Rebound.,11,11
11:45,2443,Erik Thomas missed Layup.,11,11
11:45,2443,Erik Thomas Offensive Rebound.,11,11
11:43,2443,Erik Thomas made Layup.,13,11
11:18,265,Derrien King missed Jumper.,13,11
11:18,2443,Makur Puou Defensive Rebound.,13,11
10:53,2443,Michael Zeno missed Jumper.,13,11
10:53,265,Ike Iroegbu Defensive Rebound.,13,11
10:47,265,Robert Franks made Dunk. Assisted by Ike Iroegbu.,13,13
10:16,2443,Foul on Michael Zeno.,13,13
10:16,2443,Michael Zeno Turnover.,13,13
10:16,265,Official TV Timeout,13,13
9:49,265,Robert Franks missed Three Point Jumper.,13,13
9:49,2443,Makur Puou Defensive Rebound.,13,13
9:17,2443,Tevin Broyles made Three Point Jumper.,16,13
8:59,265,Charles Callison missed Jumper.,16,13
8:59,2443,Tevin Broyles Defensive Rebound.,16,13
8:30,2443,Travin Thibodeaux made Jumper.,18,13
8:09,265,Derrien King missed Three Point Jumper.,18,13
8:09,2443,Erik Thomas Defensive Rebound.,18,13
7:49,2443,Jorge Rosa made Three Point Jumper. Assisted by Tevin Broyles.,21,13
7:39,265,Washington St  Timeout,21,13
7:15,265,Conor Clifford missed Jumper.,21,13
7:15,2443,Erik Thomas Defensive Rebound.,21,13
6:54,2443,Christavious Gill made Layup.,23,13
6:28,265,Charles Callison missed Jumper.,23,13
6:28,2443,Tevin Broyles Defensive Rebound.,23,13
6:23,2443,Christavious Gill made Three Point Jumper. Assisted by Tevin Broyles.,26,13
6:06,265,Josh Hawkinson missed Jumper.,26,13
6:06,2443,Travin Thibodeaux Block.,26,13
6:06,265,Washington St Deadball Team Rebound.,26,13
6:04,265,Ike Iroegbu missed Three Point Jumper.,26,13
6:04,2443,Tevin Broyles Defensive Rebound.,26,13
5:52,2443,Christavious Gill missed Three Point Jumper.,26,13
5:52,265,Ike Iroegbu Defensive Rebound.,26,13
5:31,265,Ike Iroegbu made Layup.,26,15
5:27,2443,Travin Thibodeaux Turnover.,26,15
5:08,265,Ike Iroegbu made Layup.,26,17
4:54,2443,New Orleans  Timeout,26,17
4:30,2443,Christavious Gill missed Layup.,26,17
4:30,265,Josh Hawkinson Defensive Rebound.,26,17
4:19,265,Robert Franks made Layup. Assisted by Malachi Flynn.,26,19
3:43,2443,Christavious Gill missed Three Point Jumper.,26,19
3:43,265,Washington St Deadball Team Rebound.,26,19
3:41,265,Official TV Timeout,26,19
3:24,265,Ike Iroegbu made Three Point Jumper. Assisted by Malachi Flynn.,26,22
2:55,2443,Tevin Broyles Turnover.,26,22
2:54,265,KJ Langston Steal.,26,22
2:52,2443,Foul on Jorge Rosa.,26,22
2:52,265,Ike Iroegbu missed Free Throw.,26,22
2:52,265,Washington St Deadball Team Rebound.,26,22
2:52,265,Ike Iroegbu missed Free Throw.,26,22
2:52,2443,Erik Thomas Defensive Rebound.,26,22
2:28,2443,Jorge Rosa missed Three Point Jumper.,26,22
2:28,2443,Makur Puou Offensive Rebound.,26,22
2:10,2443,Christavious Gill Turnover.,26,22
2:08,265,Josh Hawkinson Steal.,26,22
2:05,265,Ike Iroegbu missed Layup.,26,22
2:05,2443,Makur Puou Block.,26,22
2:03,2443,Erik Thomas Defensive Rebound.,26,22
1:46,2443,Makur Puou made Layup. Assisted by Jorge Rosa.,28,22
1:38,265,Josh Hawkinson made Layup. Assisted by KJ Langston.,28,24
1:08,2443,Tevin Broyles missed Layup.,28,24
1:08,265,Josh Hawkinson Block.,28,24
1:05,265,Josh Hawkinson Defensive Rebound.,28,24
1:01,265,Malachi Flynn Turnover.,28,24
0:59,2443,Jorge Rosa Steal.,28,24
0:41,2443,Erik Thomas made Dunk. Assisted by Tevin Broyles.,30,24
0:20,2443,Foul on Jorge Rosa.,30,24
0:04,265,Josh Hawkinson made Jumper. Assisted by Malachi Flynn.,30,26
0:00,265,End of 1st half,30,26
19:48,2443,Travin Thibodeaux made Layup. Assisted by Erik Thomas.,32,26
19:31,265,KJ Langston missed Three Point Jumper.,32,26
19:31,2443,Makur Puou Defensive Rebound.,32,26
19:05,2443,Makur Puou missed Layup.,32,26
19:05,265,Robert Franks Defensive Rebound.,32,26
18:46,265,Josh Hawkinson made Layup.,32,28
18:08,2443,Travin Thibodeaux missed Three Point Jumper.,32,28
18:08,265,Washington St Defensive Rebound.,32,28
18:07,2443,Foul on Makur Puou.,32,28
17:45,265,Josh Hawkinson missed Jumper.,32,28
17:45,2443,Makur Puou Defensive Rebound.,32,28
17:19,2443,Erik Thomas missed Layup.,32,28
17:19,265,Derrien King Defensive Rebound.,32,28
17:13,265,Derrien King Turnover.,32,28
17:04,2443,Christavious Gill made Three Point Jumper. Assisted by Tevin Broyles.,35,28
16:55,2443,Foul on Travin Thibodeaux.,35,28
16:55,265,Robert Franks made Free Throw.,35,29
16:55,265,Robert Franks missed Free Throw.,35,29
16:55,2443,Erik Thomas Defensive Rebound.,35,29
16:27,2443,Erik Thomas made Jumper. Assisted by Christavious Gill.,37,29
16:07,265,Robert Franks made Three Point Jumper. Assisted by Derrien King.,37,32
15:38,2443,Travin Thibodeaux made Layup. Assisted by Christavious Gill.,39,32
15:30,265,Derrien King missed Layup.,39,32
15:30,2443,Makur Puou Defensive Rebound.,39,32
15:23,2443,Tevin Broyles missed Layup.,39,32
15:23,2443,Erik Thomas Offensive Rebound.,39,32
15:21,2443,Erik Thomas made Layup.,41,32
15:21,265,Foul on Robert Franks.,41,32
15:21,265,Official TV Timeout,41,32
15:20,2443,Erik Thomas made Free Throw.,42,32
14:50,2443,Foul on Erik Thomas.,42,32
14:50,265,Robert Franks missed Free Throw.,42,32
14:50,265,Washington St Deadball Team Rebound.,42,32
14:50,265,Robert Franks made Free Throw.,42,33
14:50,265,Robert Franks made Free Throw.,42,34
14:34,2443,Christavious Gill made Layup.,44,34
14:34,265,Foul on Malachi Flynn.,44,34
14:34,2443,Christavious Gill missed Free Throw.,44,34
14:34,265,Jeff Pollard Defensive Rebound.,44,34
14:21,2443,Foul on Makur Puou.,44,34
14:00,265,Malachi Flynn made Layup.,44,36
13:28,2443,Erik Thomas Turnover.,44,36
13:26,265,Ike Iroegbu Steal.,44,36
13:20,265,Robert Franks made Layup. Assisted by Charles Callison.,44,38
13:09,2443,New Orleans  Timeout,44,38
13:02,2443,Travin Thibodeaux made Layup.,46,38
12:29,265,Ike Iroegbu made Layup.,46,40
12:22,2443,Tevin Broyles made Layup.,48,40
12:22,265,Foul on Ike Iroegbu.,48,40
12:22,2443,Tevin Broyles made Free Throw.,49,40
11:58,265,Josh Hawkinson missed Jumper.,49,40
11:58,2443,Travin Thibodeaux Defensive Rebound.,49,40
11:43,265,Official TV Timeout,49,40
11:29,2443,Tevin Broyles made Layup. Assisted by Travin Thibodeaux.,51,40
11:03,265,Charles Callison made Three Point Jumper. Assisted by Malachi Flynn.,51,43
10:44,2443,Christavious Gill missed Jumper.,51,43
10:44,2443,New Orleans Offensive Rebound.,51,43
10:31,2443,Erik Thomas made Layup.,53,43
10:12,265,Ike Iroegbu Turnover.,53,43
9:58,2443,Travin Thibodeaux Turnover.,53,43
9:41,265,Derrien King Turnover.,53,43
9:22,2443,Travin Thibodeaux missed Layup.,53,43
9:22,2443,Michael Zeno Offensive Rebound.,53,43
9:18,2443,Michael Zeno missed Layup.,53,43
9:18,2443,Travin Thibodeaux Offensive Rebound.,53,43
8:57,2443,Michael Zeno missed Three Point Jumper.,53,43
8:57,2443,Tevin Broyles Offensive Rebound.,53,43
8:32,2443,Christavious Gill made Three Point Jumper.,56,43
8:22,2443,Foul on Erik Thomas.,56,43
8:22,265,Josh Hawkinson missed Free Throw.,56,43
8:22,265,Washington St Deadball Team Rebound.,56,43
8:22,265,Josh Hawkinson made Free Throw.,56,44
7:58,265,Official TV Timeout,56,44
7:52,2443,Travin Thibodeaux Turnover.,56,44
7:50,265,Josh Hawkinson Steal.,56,44
7:44,265,Charles Callison Turnover.,56,44
7:15,2443,Travin Thibodeaux missed Three Point Jumper.,56,44
7:15,265,Charles Callison Defensive Rebound.,56,44
7:09,2443,Foul on Christavious Gill.,56,44
7:09,265,Robert Franks made Free Throw.,56,45
7:09,265,Robert Franks made Free Throw.,56,46
6:52,2443,Tevin Broyles made Layup. Assisted by Travin Thibodeaux.,58,46
6:35,265,Ike Iroegbu missed Three Point Jumper.,58,46
6:35,2443,New Orleans Defensive Rebound.,58,46
6:32,265,Foul on Robert Franks.,58,46
6:10,2443,Christavious Gill missed Three Point Jumper.,58,46
6:10,265,Ike Iroegbu Defensive Rebound.,58,46
5:49,265,Robert Franks missed Three Point Jumper.,58,46
5:49,2443,Michael Zeno Defensive Rebound.,58,46
5:30,2443,Travin Thibodeaux made Layup. Assisted by Tevin Broyles.,60,46
5:24,265,Washington St  Timeout,60,46
5:13,265,Robert Franks made Layup. Assisted by Charles Callison.,60,48
4:47,265,Foul on Derrien King.,60,48
4:28,2443,Erik Thomas missed Layup.,60,48
4:28,265,Josh Hawkinson Defensive Rebound.,60,48
4:27,2443,Foul on Travin Thibodeaux.,60,48
4:27,265,Josh Hawkinson made Free Throw.,60,49
4:27,265,Josh Hawkinson made Free Throw.,60,50
4:13,265,Foul on KJ Langston.,60,50
4:11,2443,Makur Puou Turnover.,60,50
4:11,265,Robert Franks Steal.,60,50
3:54,265,Derrien King Turnover.,60,50
3:50,2443,Erik Thomas Turnover.,60,50
3:50,265,Official TV Timeout,60,50
3:30,265,Malachi Flynn missed Three Point Jumper.,60,50
3:30,2443,Makur Puou Defensive Rebound.,60,50
2:59,2443,Erik Thomas made Layup. Assisted by Travin Thibodeaux.,62,50
2:39,265,Robert Franks missed Three Point Jumper.,62,50
2:39,2443,Travin Thibodeaux Defensive Rebound.,62,50
2:14,2443,Christavious Gill missed Layup.,62,50
2:14,2443,Travin Thibodeaux Offensive Rebound.,62,50
2:04,265,Foul on Josh Hawkinson.,62,50
2:04,2443,Makur Puou made Free Throw.,63,50
2:04,2443,Makur Puou made Free Throw.,64,50
1:49,265,Robert Franks Turnover.,64,50
1:38,265,Foul on Robert Franks.,64,50
1:38,2443,Travin Thibodeaux made Free Throw.,65,50
1:38,2443,Travin Thibodeaux made Free Throw.,66,50
1:23,265,Ike Iroegbu made Layup.,66,52
1:22,265,Washington St  Timeout,66,52
1:17,2443,Erik Thomas made Layup.,68,52
1:06,265,Malachi Flynn missed Three Point Jumper.,68,52
1:06,2443,Travin Thibodeaux Defensive Rebound.,68,52
0:59,2443,Christavious Gill made Layup.,70,52
0:56,265,Ike Iroegbu missed Jumper.,70,52
0:56,265,Josh Hawkinson Offensive Rebound.,70,52
0:53,265,Josh Hawkinson missed Layup.,70,52
0:53,265,Ike Iroegbu Offensive Rebound.,70,52
0:50,265,Ike Iroegbu missed Layup.,70,52
0:50,2443,Travin Thibodeaux Defensive Rebound.,70,52
0:25,2443,Tevin Broyles Turnover.,70,52
0:24,265,KJ Langston Steal.,70,52
0:21,265,Malachi Flynn missed Three Point Jumper.,70,52
0:21,265,Josh Hawkinson Offensive Rebound.,70,52
0:17,265,Josh Hawkinson made Layup.,70,54
0:00,265,End of Game,70,54
