UMKC,2571,South Dakota State,140
9:51,2571,Ian Theisen made Free Throw.,54,66
9:39,140,Broderick Robinson Turnover.,54,66
9:38,2571,Skyler Flatten Steal.,54,66
9:16,2571,Skyler Flatten made Three Point Jumper. Assisted by Reed Tellinghuisen.,54,69
9:02,140,Isaiah Ross Turnover.,54,69
9:01,2571,Andre Wallace Steal.,54,69
8:52,2571,Ian Theisen missed Layup.,54,69
8:52,140,Darnell Tillman Defensive Rebound.,54,69
8:45,2571,Foul on Sergio El Darwich.,54,69
8:37,2571,Foul on Sergio El Darwich.,54,69
8:34,140,LaVell Boyd missed Three Point Jumper.,54,69
8:34,140,Darnell Tillman Offensive Rebound.,54,69
8:23,2571,Foul on Sergio El Darwich.,54,69
7:57,2571,Foul on Reed Tellinghuisen.,54,69
7:57,2571,Official TV Timeout,54,69
7:57,140,LaVell Boyd made Free Throw.,55,69
7:57,140,LaVell Boyd made Free Throw.,56,69
7:57,2571,South Dakota St  Turnover.,56,69
7:53,140,LaVell Boyd missed Three Point Jumper.,56,69
7:53,140,Darnell Tillman Offensive Rebound.,56,69
7:49,140,Darnell Tillman missed Layup.,56,69
7:49,140,UMKC Offensive Rebound.,56,69
7:34,140,Isaiah Ross Turnover.,56,69
7:15,2571,Mike Daum Turnover.,56,69
7:09,140,Broderick Robinson missed Three Point Jumper.,56,69
7:09,140,Darnell Tillman Offensive Rebound.,56,69
6:50,140,Isaiah Ross missed Three Point Jumper.,56,69
6:50,140,Kyle Steward Offensive Rebound.,56,69
6:47,2571,Foul on A.J. Hess.,56,69
6:47,140,Kyle Steward made Free Throw.,57,69
6:47,140,Kyle Steward made Free Throw.,58,69
6:28,2571,Mike Daum missed Jumper.,58,69
6:28,140,Duane Clark Defensive Rebound.,58,69
6:26,2571,Foul on Mike Daum.,58,69
6:26,2571,South Dakota St  Timeout,58,69
6:26,140,Duane Clark made Free Throw.,59,69
6:26,140,Duane Clark missed Free Throw.,59,69
6:26,140,Dashawn King Offensive Rebound.,59,69
6:25,2571,Foul on Reed Tellinghuisen.,59,69
6:25,140,Dashawn King missed Free Throw.,59,69
6:25,140,UMKC Deadball Team Rebound.,59,69
6:25,140,Dashawn King made Free Throw.,60,69
5:57,2571,Reed Tellinghuisen missed Three Point Jumper.,60,69
5:57,2571,Mike Daum Offensive Rebound.,60,69
5:52,2571,Mike Daum Turnover.,60,69
5:52,140,LaVell Boyd Steal.,60,69
5:46,140,LaVell Boyd missed Three Point Jumper.,60,69
5:46,2571,Mike Daum Defensive Rebound.,60,69
5:28,2571,Mike Daum made Layup.,60,71
5:01,140,LaVell Boyd Turnover.,60,71
4:49,2571,Tevin King missed Layup.,60,71
4:49,140,Isaiah Ross Defensive Rebound.,60,71
4:43,140,LaVell Boyd missed Jumper.,60,71
4:43,2571,Mike Daum Defensive Rebound.,60,71
4:23,2571,Mike Daum Turnover.,60,71
4:01,140,Broderick Newbill made Three Point Jumper. Assisted by Isaiah Ross.,63,71
3:53,2571,Reed Tellinghuisen Turnover.,63,71
3:52,140,LaVell Boyd Steal.,63,71
3:49,140,Kyle Steward made Layup. Assisted by LaVell Boyd.,65,71
3:20,140,Foul on Darnell Tillman.,65,71
3:20,2571,Official TV Timeout,65,71
3:20,2571,Mike Daum made Free Throw.,65,72
3:20,2571,Mike Daum made Free Throw.,65,73
3:04,140,LaVell Boyd Turnover.,65,73
3:03,2571,Andre Wallace Steal.,65,73
2:51,2571,Reed Tellinghuisen Turnover.,65,73
2:51,2571,Foul on Reed Tellinghuisen.,65,73
2:45,140,LaVell Boyd missed Three Point Jumper.,65,73
2:45,2571,Tevin King Defensive Rebound.,65,73
2:40,140,Foul on LaVell Boyd.,65,73
2:40,2571,Tevin King missed Free Throw.,65,73
2:40,2571,South Dakota St Deadball Team Rebound.,65,73
2:40,2571,Tevin King missed Free Throw.,65,73
2:40,140,Broderick Robinson Defensive Rebound.,65,73
2:22,140,Broderick Robinson missed Three Point Jumper.,65,73
2:22,2571,Skyler Flatten Defensive Rebound.,65,73
2:04,2571,Andre Wallace missed Three Point Jumper.,65,73
2:04,2571,Mike Daum Offensive Rebound.,65,73
1:51,140,Foul on Isaiah Ross.,65,73
1:51,2571,Andre Wallace made Free Throw.,65,74
1:51,2571,Andre Wallace missed Free Throw.,65,74
1:51,2571,Reed Tellinghuisen Offensive Rebound.,65,74
1:44,140,Foul on Isaiah Ross.,65,74
