Miami,45,George Washington,2390
11:19,45,Bo Zeigler made Layup. Assisted by Terry Nolan Jr..,13,6
10:56,45,Foul on Terry Nolan Jr..,13,6
10:56,45,Official TV Timeout,13,6
10:42,2390,Dejan Vasiljevic made Three Point Jumper. Assisted by Lonnie Walker IV.,16,6
10:12,45,Terry Nolan Jr. made Three Point Jumper. Assisted by Jair Bolden.,16,9
9:47,2390,Chris Lykes made Three Point Jumper. Assisted by Anthony Lawrence II.,19,9
9:23,45,Terry Nolan Jr. Turnover.,19,9
9:23,2390,Ebuka Izundu Steal.,19,9
9:17,2390,Chris Lykes Turnover.,19,9
9:17,45,Terry Nolan Jr. Steal.,19,9
8:55,2390,Foul on Lonnie Walker IV.,19,9
8:53,45,Jair Bolden missed Three Point Jumper.,19,9
8:53,2390,Lonnie Walker IV Defensive Rebound.,19,9
8:45,2390,Chris Lykes missed Three Point Jumper.,19,9
8:45,45,Terry Nolan Jr. Defensive Rebound.,19,9
8:32,2390,Foul on Chris Lykes.,19,9
8:26,45,Yuta Watanabe missed Jumper.,19,9
8:26,45,Terry Nolan Jr. Offensive Rebound.,19,9
8:00,45,Arnaldo Toro missed Jumper.,19,9
8:00,2390,Dewan Huell Defensive Rebound.,19,9
7:36,2390,Ja'Quan Newton made Jumper.,21,9
7:17,45,Justin Williams missed Layup.,21,9
7:17,2390,Lonnie Walker IV Block.,21,9
7:17,2390,Lonnie Walker IV Defensive Rebound.,21,9
7:12,2390,Ja'Quan Newton made Layup. Assisted by Lonnie Walker IV.,23,9
7:08,45,George Washington  Timeout,23,9
7:08,45,Official TV Timeout,23,9
6:45,2390,Foul on Dewan Huell.,23,9
6:45,45,Terry Nolan Jr. made Free Throw.,23,10
6:45,45,Terry Nolan Jr. made Free Throw.,23,11
6:27,2390,Dewan Huell made Jumper.,25,11
6:06,45,Justin Mazzulla missed Layup.,25,11
6:06,2390,Dewan Huell Block.,25,11
6:06,2390,Ja'Quan Newton Defensive Rebound.,25,11
5:59,2390,Lonnie Walker IV made Three Point Jumper. Assisted by Ja'Quan Newton.,28,11
5:37,45,Bo Zeigler Turnover.,28,11
5:37,2390,Lonnie Walker IV Steal.,28,11
5:33,2390,Dejan Vasiljevic made Layup.,30,11
4:58,45,Foul on Arnaldo Toro.,30,11
4:58,45,Arnaldo Toro Turnover.,30,11
4:48,2390,Dejan Vasiljevic missed Three Point Jumper.,30,11
4:48,45,Arnaldo Toro Defensive Rebound.,30,11
4:30,45,Arnaldo Toro missed Layup.,30,11
4:30,45,Arnaldo Toro Offensive Rebound.,30,11
4:27,45,Arnaldo Toro missed Layup.,30,11
4:27,2390,Anthony Lawrence II Defensive Rebound.,30,11
4:22,2390,Ja'Quan Newton missed Layup.,30,11
4:22,45,Yuta Watanabe Block.,30,11
4:22,45,Terry Nolan Jr. Defensive Rebound.,30,11
4:15,45,Terry Nolan Jr. Turnover.,30,11
4:04,2390,Dejan Vasiljevic missed Three Point Jumper.,30,11
4:04,45,Arnaldo Toro Defensive Rebound.,30,11
3:44,2390,Foul on Anthony Lawrence II.,30,11
3:44,45,Official TV Timeout,30,11
3:41,45,Jair Bolden missed Jumper.,30,11
3:41,45,Justin Mazzulla Offensive Rebound.,30,11
3:25,45,Justin Williams missed Jumper.,30,11
3:25,2390,Bruce Brown Jr. Defensive Rebound.,30,11
2:57,2390,Ja'Quan Newton missed Jumper.,30,11
2:57,2390,Dewan Huell Offensive Rebound.,30,11
2:53,2390,Dewan Huell made Jumper.,32,11
2:38,45,Jair Bolden missed Jumper.,32,11
2:38,45,Arnaldo Toro Offensive Rebound.,32,11
2:35,45,Arnaldo Toro missed Layup.,32,11
2:35,2390,Dewan Huell Defensive Rebound.,32,11
2:25,2390,Dewan Huell missed Jumper.,32,11
2:25,45,Justin Williams Defensive Rebound.,32,11
2:10,2390,Foul on Bruce Brown Jr..,32,11
2:10,45,Yuta Watanabe made Free Throw.,32,12
2:10,45,Yuta Watanabe made Free Throw.,32,13
1:43,2390,Lonnie Walker IV missed Layup.,32,13
1:43,45,Yuta Watanabe Defensive Rebound.,32,13
1:36,45,Bo Zeigler made Layup. Assisted by Yuta Watanabe.,32,15
1:28,2390,Miami  Timeout,32,15
1:19,2390,Ja'Quan Newton missed Jumper.,32,15
1:19,2390,Miami Deadball Team Rebound.,32,15
1:15,2390,Dewan Huell Turnover.,32,15
0:52,45,Yuta Watanabe missed Three Point Jumper.,32,15
0:52,45,Terry Nolan Jr. Offensive Rebound.,32,15
0:25,45,Terry Nolan Jr. Turnover.,32,15
0:08,2390,Dejan Vasiljevic Turnover.,32,15
0:08,45,Jair Bolden Steal.,32,15
0:01,45,Terry Nolan Jr. Turnover.,32,15
0:00,45,End of 1st half,32,15
20:00,45,Jump Ball won by George Washington,32,15
19:39,45,Arnaldo Toro made Layup.,32,17
19:12,2390,Dejan Vasiljevic missed Three Point Jumper.,32,17
19:12,45,Arnaldo Toro Defensive Rebound.,32,17
18:53,45,Patrick Steeves made Jumper.,32,19
18:28,45,Foul on Arnaldo Toro.,32,19
18:28,2390,Dewan Huell made Free Throw.,33,19
18:28,2390,Dewan Huell missed Free Throw.,33,19
18:28,45,Yuta Watanabe Defensive Rebound.,33,19
18:10,45,Jair Bolden missed Jumper.,33,19
18:10,45,Patrick Steeves Offensive Rebound.,33,19
18:10,45,Patrick Steeves missed Two Point Tip Shot.,33,19
18:10,45,Yuta Watanabe Offensive Rebound.,33,19
18:01,45,Yuta Watanabe missed Layup.,33,19
18:01,2390,Anthony Lawrence II Block.,33,19
18:01,2390,Dejan Vasiljevic Defensive Rebound.,33,19
17:43,2390,Bruce Brown Jr. missed Three Point Jumper.,33,19
17:43,45,Arnaldo Toro Defensive Rebound.,33,19
17:26,45,Yuta Watanabe missed Jumper.,33,19
17:26,2390,Ja'Quan Newton Defensive Rebound.,33,19
17:12,2390,Bruce Brown Jr. made Layup. Assisted by Ja'Quan Newton.,35,19
16:47,45,Patrick Steeves made Layup. Assisted by Terry Nolan Jr..,35,21
16:29,2390,Bruce Brown Jr. missed Three Point Jumper.,35,21
16:29,45,Arnaldo Toro Defensive Rebound.,35,21
16:16,45,Terry Nolan Jr. missed Three Point Jumper.,35,21
16:16,45,Yuta Watanabe Offensive Rebound.,35,21
16:10,45,Yuta Watanabe made Jumper.,35,23
15:39,2390,Ja'Quan Newton Turnover.,35,23
15:39,45,Terry Nolan Jr. Steal.,35,23
15:39,45,Official TV Timeout,35,23
15:29,45,Patrick Steeves missed Layup.,35,23
15:29,45,Terry Nolan Jr. Offensive Rebound.,35,23
15:29,45,Terry Nolan Jr. made Two Point Tip Shot.,35,25
14:48,2390,Miami  Turnover.,35,25
14:34,45,Patrick Steeves made Jumper.,35,27
14:09,2390,Lonnie Walker IV missed Three Point Jumper.,35,27
14:09,45,Jair Bolden Defensive Rebound.,35,27
14:01,2390,Foul on Anthony Lawrence II.,35,27
14:01,2390,Miami  Timeout,35,27
13:58,45,Jair Bolden missed Jumper.,35,27
13:58,45,Jair Bolden Offensive Rebound.,35,27
13:53,2390,Foul on Chris Lykes.,35,27
13:53,45,Jair Bolden missed Free Throw.,35,27
13:53,45,George Washington Deadball Team Rebound.,35,27
13:53,45,Jair Bolden made Free Throw.,35,28
13:26,2390,Bruce Brown Jr. missed Layup.,35,28
13:26,2390,Ebuka Izundu Offensive Rebound.,35,28
13:21,2390,Jump Ball won by Miami,35,28
13:17,2390,Chris Lykes missed Three Point Jumper.,35,28
13:17,2390,Dewan Huell Offensive Rebound.,35,28
13:00,2390,Lonnie Walker IV missed Three Point Jumper.,35,28
13:00,2390,Bruce Brown Jr. Offensive Rebound.,35,28
12:47,2390,Dewan Huell made Jumper. Assisted by Bruce Brown Jr..,37,28
12:31,45,Arnaldo Toro missed Three Point Jumper.,37,28
12:31,2390,Miami Defensive Rebound.,37,28
12:20,2390,Chris Lykes missed Jumper.,37,28
12:20,2390,Lonnie Walker IV Offensive Rebound.,37,28
12:16,2390,Lonnie Walker IV made Dunk.,39,28
11:56,45,Arnaldo Toro made Jumper. Assisted by Yuta Watanabe.,39,30
11:41,2390,Dewan Huell made Jumper. Assisted by Chris Lykes.,41,30
11:26,45,Jair Bolden made Jumper.,41,32
10:57,45,Official TV Timeout,41,32
10:44,2390,Dewan Huell missed Jumper.,41,32
10:44,45,George Washington Defensive Rebound.,41,32
10:17,45,Bo Zeigler missed Layup.,41,32
10:17,2390,Dewan Huell Defensive Rebound.,41,32
10:00,2390,Ebuka Izundu missed Layup.,41,32
10:00,45,Yuta Watanabe Defensive Rebound.,41,32
9:39,45,Patrick Steeves missed Jumper.,41,32
9:39,2390,Dewan Huell Defensive Rebound.,41,32
9:23,45,Foul on Bo Zeigler.,41,32
9:08,2390,Lonnie Walker IV missed Jumper.,41,32
9:08,2390,Ebuka Izundu Offensive Rebound.,41,32
9:04,45,Foul on Bo Zeigler.,41,32
8:41,45,Foul on Jair Bolden.,41,32
8:35,2390,Anthony Lawrence II missed Jumper.,41,32
8:35,45,Patrick Steeves Defensive Rebound.,41,32
8:29,45,Patrick Steeves Turnover.,41,32
8:29,2390,Bruce Brown Jr. Steal.,41,32
8:20,2390,Anthony Lawrence II made Jumper.,43,32
8:04,45,Jair Bolden missed Three Point Jumper.,43,32
8:04,45,Arnaldo Toro Offensive Rebound.,43,32
7:59,2390,Foul on Ebuka Izundu.,43,32
7:59,45,Official TV Timeout,43,32
7:53,45,Jair Bolden made Three Point Jumper. Assisted by Patrick Steeves.,43,35
7:24,2390,Lonnie Walker IV missed Three Point Jumper.,43,35
7:24,45,Jair Bolden Defensive Rebound.,43,35
7:01,2390,Foul on Lonnie Walker IV.,43,35
7:00,45,Jair Bolden missed Three Point Jumper.,43,35
7:00,45,Patrick Steeves Offensive Rebound.,43,35
6:32,45,Yuta Watanabe missed Jumper.,43,35
6:32,2390,Bruce Brown Jr. Defensive Rebound.,43,35
6:23,2390,Bruce Brown Jr. missed Layup.,43,35
6:23,45,Arnaldo Toro Defensive Rebound.,43,35
6:17,45,Jair Bolden missed Three Point Jumper.,43,35
6:17,2390,Ja'Quan Newton Defensive Rebound.,43,35
6:10,2390,Ja'Quan Newton made Layup.,45,35
5:44,2390,Foul on Anthony Lawrence II.,45,35
5:37,45,Arnaldo Toro missed Jumper.,45,35
5:37,2390,Anthony Lawrence II Defensive Rebound.,45,35
5:28,2390,Ja'Quan Newton missed Jumper.,45,35
5:28,45,Patrick Steeves Defensive Rebound.,45,35
5:09,45,Patrick Steeves missed Jumper.,45,35
5:09,45,Arnaldo Toro Offensive Rebound.,45,35
4:50,45,Arnaldo Toro made Jumper. Assisted by Jair Bolden.,45,37
4:21,2390,Lonnie Walker IV made Layup.,47,37
4:03,45,Jair Bolden Turnover.,47,37
4:03,2390,Ja'Quan Newton Steal.,47,37
3:59,2390,Lonnie Walker IV made Layup. Assisted by Anthony Lawrence II.,49,37
3:39,45,Yuta Watanabe made Jumper.,49,39
3:25,45,Official TV Timeout,49,39
3:16,2390,Dewan Huell missed Layup.,49,39
3:16,45,Yuta Watanabe Block.,49,39
3:16,45,Yuta Watanabe Defensive Rebound.,49,39
3:02,45,Terry Nolan Jr. missed Three Point Jumper.,49,39
3:02,45,Yuta Watanabe Offensive Rebound.,49,39
2:55,2390,Foul on Bruce Brown Jr..,49,39
2:55,45,Yuta Watanabe missed Free Throw.,49,39
2:55,45,George Washington Deadball Team Rebound.,49,39
2:55,45,Yuta Watanabe missed Free Throw.,49,39
2:55,2390,Anthony Lawrence II Defensive Rebound.,49,39
2:46,2390,Dewan Huell made Dunk. Assisted by Lonnie Walker IV.,51,39
2:32,45,Jair Bolden missed Layup.,51,39
2:32,2390,Dewan Huell Defensive Rebound.,51,39
2:24,2390,Dewan Huell made Layup.,53,39
1:57,45,Yuta Watanabe missed Three Point Jumper.,53,39
1:57,2390,Anthony Lawrence II Defensive Rebound.,53,39
1:33,2390,Lonnie Walker IV missed Three Point Jumper.,53,39
1:33,45,Yuta Watanabe Defensive Rebound.,53,39
1:21,45,Jair Bolden made Jumper.,53,41
1:16,45,George Washington  Timeout,53,41
1:14,2390,Lonnie Walker IV Turnover.,53,41
1:14,45,Jair Bolden Steal.,53,41
1:10,2390,Foul on Lonnie Walker IV.,53,41
1:10,2390,Miami  Timeout,53,41
1:10,45,Yuta Watanabe made Free Throw.,53,42
1:10,45,Yuta Watanabe missed Free Throw.,53,42
1:10,45,Jair Bolden Offensive Rebound.,53,42
1:09,45,Jair Bolden made Three Point Jumper.,53,45
0:58,2390,Ja'Quan Newton made Layup.,55,45
0:49,45,Jair Bolden missed Three Point Jumper.,55,45
0:49,2390,Ja'Quan Newton Defensive Rebound.,55,45
0:43,2390,Lonnie Walker IV made Dunk. Assisted by Ja'Quan Newton.,57,45
0:35,45,Terry Nolan Jr. made Three Point Jumper. Assisted by Jair Bolden.,57,48
0:33,45,George Washington  Timeout,57,48
0:28,2390,Bruce Brown Jr. Turnover.,57,48
0:28,45,Terry Nolan Jr. Steal.,57,48
0:21,2390,Foul on Ja'Quan Newton.,57,48
0:21,45,Bo Zeigler made Free Throw.,57,49
0:21,45,Bo Zeigler made Free Throw.,57,50
0:20,45,Foul on Bo Zeigler.,57,50
0:18,2390,Anthony Lawrence II Turnover.,57,50
0:18,45,Terry Nolan Jr. Steal.,57,50
0:18,45,Jump Ball won by George Washington,57,50
0:18,45,Yuta Watanabe missed Jumper.,57,50
0:18,2390,Anthony Lawrence II Defensive Rebound.,57,50
0:13,45,Foul on Terry Nolan Jr..,57,50
0:12,45,Foul on Bo Zeigler.,57,50
0:12,2390,Dejan Vasiljevic made Free Throw.,58,50
0:12,2390,Dejan Vasiljevic made Free Throw.,59,50
0:11,45,Jair Bolden missed Three Point Jumper.,59,50
0:11,2390,Miami Defensive Rebound.,59,50
0:00,45,End of Game,59,50
