Arizona,167,New Mexico,12
11:42,12,Ira Lee Block.,24,16
11:39,12,Dusan Ristic Defensive Rebound.,24,16
11:26,12,Dusan Ristic made Dunk. Assisted by Ira Lee.,26,16
11:13,167,Makuach Maluach missed Three Point Jumper.,26,16
11:13,167,New Mexico Deadball Team Rebound.,26,16
11:13,12,Foul on Dusan Ristic.,26,16
10:43,167,Joe Furstinger missed Three Point Jumper.,26,16
10:43,12,Deandre Ayton Defensive Rebound.,26,16
10:30,167,Foul on Jachai Simmons.,26,16
10:16,12,Dylan Smith made Three Point Jumper. Assisted by Allonzo Trier.,29,16
9:59,167,Sam Logwood missed Layup.,29,16
9:59,12,Dusan Ristic Defensive Rebound.,29,16
9:46,12,Deandre Ayton made Dunk. Assisted by Allonzo Trier.,31,16
9:22,167,Dane Kuiper made Layup.,31,18
9:03,12,Brandon Randolph missed Jumper.,31,18
9:03,167,Joe Furstinger Defensive Rebound.,31,18
8:50,167,Dane Kuiper made Three Point Jumper. Assisted by Sam Logwood.,31,21
8:50,12,Arizona  Timeout,31,21
8:39,167,Foul on Vladimir Pinchuk.,31,21
8:39,12,Allonzo Trier made Free Throw.,32,21
8:39,12,Allonzo Trier made Free Throw.,33,21
8:07,167,Chris McNeal missed Three Point Jumper.,33,21
8:07,12,Dylan Smith Block.,33,21
8:05,12,Dusan Ristic Defensive Rebound.,33,21
7:54,12,Deandre Ayton made Dunk. Assisted by Dylan Smith.,35,21
7:27,167,Troy Simons missed Three Point Jumper.,35,21
7:27,12,Dylan Smith Defensive Rebound.,35,21
7:07,12,Deandre Ayton made Dunk. Assisted by Allonzo Trier.,37,21
6:42,167,Sam Logwood made Layup.,37,23
6:35,12,Rawle Alkins missed Jumper.,37,23
6:35,167,Chris McNeal Defensive Rebound.,37,23
6:20,167,Troy Simons Turnover.,37,23
6:20,167,Official TV Timeout,37,23
6:00,167,Foul on Anthony Mathis.,37,23
5:38,12,Ira Lee missed Jumper.,37,23
5:38,167,Joe Furstinger Defensive Rebound.,37,23
5:27,167,Makuach Maluach missed Three Point Jumper.,37,23
5:27,12,Parker Jackson-Cartwright Defensive Rebound.,37,23
5:20,12,Brandon Randolph missed Three Point Jumper.,37,23
5:20,167,Antino Jackson Defensive Rebound.,37,23
5:09,167,Dane Kuiper made Three Point Jumper. Assisted by Chris McNeal.,37,26
4:53,167,Foul on Makuach Maluach.,37,26
4:53,12,Ira Lee missed Free Throw.,37,26
4:53,12,Arizona Deadball Team Rebound.,37,26
4:53,12,Ira Lee made Free Throw.,38,26
4:37,167,Antino Jackson missed Layup.,38,26
4:37,12,Dusan Ristic Defensive Rebound.,38,26
4:13,12,Rawle Alkins made Three Point Jumper. Assisted by Parker Jackson-Cartwright.,41,26
3:48,167,Antino Jackson made Three Point Jumper. Assisted by Sam Logwood.,41,29
3:38,167,Foul on Dane Kuiper.,41,29
3:38,167,Official TV Timeout,41,29
3:38,12,Brandon Randolph made Free Throw.,42,29
3:38,12,Brandon Randolph made Free Throw.,43,29
3:09,167,Chris McNeal missed Three Point Jumper.,43,29
3:09,12,Dylan Smith Defensive Rebound.,43,29
2:51,12,Deandre Ayton made Jumper. Assisted by Dylan Smith.,45,29
2:14,167,Troy Simons missed Jumper.,45,29
2:14,12,Dusan Ristic Defensive Rebound.,45,29
1:54,12,Rawle Alkins Turnover.,45,29
1:53,167,Troy Simons Steal.,45,29
1:51,167,Troy Simons made Layup.,45,31
1:20,12,Dylan Smith Turnover.,45,31
1:20,167,Chris McNeal Steal.,45,31
1:17,167,Foul on Chris McNeal.,45,31
1:17,167,Chris McNeal Turnover.,45,31
1:03,167,Foul on Dane Kuiper.,45,31
1:03,12,Allonzo Trier made Free Throw.,46,31
1:03,12,Allonzo Trier made Free Throw.,47,31
0:40,167,Anthony Mathis missed Three Point Jumper.,47,31
0:40,167,Vladimir Pinchuk Offensive Rebound.,47,31
0:22,167,Vladimir Pinchuk missed Jumper.,47,31
0:22,12,Deandre Ayton Block.,47,31
0:21,12,Rawle Alkins Defensive Rebound.,47,31
0:18,167,Foul on Troy Simons.,47,31
0:18,12,Allonzo Trier made Free Throw.,48,31
0:18,12,Allonzo Trier made Free Throw.,49,31
0:00,167,Antino Jackson made Jumper.,49,33
0:00,167,End of 1st half,49,33
19:43,167,Sam Logwood missed Layup.,49,33
19:43,12,Deandre Ayton Block.,49,33
19:41,12,Deandre Ayton Defensive Rebound.,49,33
19:32,12,Rawle Alkins Turnover.,49,33
19:31,167,Joe Furstinger Steal.,49,33
19:16,167,Chris McNeal missed Three Point Jumper.,49,33
19:16,167,Sam Logwood Offensive Rebound.,49,33
19:13,167,Sam Logwood missed Two Point Tip Shot.,49,33
19:13,12,Deandre Ayton Defensive Rebound.,49,33
19:06,12,Rawle Alkins missed Jumper.,49,33
19:06,12,Rawle Alkins Offensive Rebound.,49,33
19:05,12,Rawle Alkins made Layup.,51,33
19:05,167,Foul on Antino Jackson.,51,33
19:05,12,Rawle Alkins made Free Throw.,52,33
18:36,167,Troy Simons missed Three Point Jumper.,52,33
18:36,167,Troy Simons Offensive Rebound.,52,33
18:29,167,Joe Furstinger made Layup. Assisted by Sam Logwood.,52,35
18:29,12,Foul on Dusan Ristic.,52,35
18:29,167,Joe Furstinger made Free Throw.,52,36
18:03,12,Dusan Ristic made Layup. Assisted by Allonzo Trier.,54,36
17:58,167,Sam Logwood made Layup. Assisted by Chris McNeal.,54,38
17:43,12,Arizona  Timeout,54,38
17:31,12,Dusan Ristic Turnover.,54,38
17:30,167,Troy Simons Steal.,54,38
16:58,167,Antino Jackson missed Jumper.,54,38
16:58,12,Dusan Ristic Defensive Rebound.,54,38
16:39,12,Allonzo Trier missed Jumper.,54,38
16:39,167,Makuach Maluach Defensive Rebound.,54,38
16:31,167,Antino Jackson missed Three Point Jumper.,54,38
16:31,167,Chris McNeal Offensive Rebound.,54,38
16:25,167,Chris McNeal made Three Point Jumper. Assisted by Antino Jackson.,54,41
16:17,12,Parker Jackson-Cartwright Turnover.,54,41
16:11,167,Joe Furstinger made Jumper. Assisted by Makuach Maluach.,54,43
15:46,12,Parker Jackson-Cartwright made Three Point Jumper. Assisted by Rawle Alkins.,57,43
15:36,167,Dane Kuiper made Three Point Jumper. Assisted by Makuach Maluach.,57,46
15:24,12,Allonzo Trier made Three Point Jumper. Assisted by Parker Jackson-Cartwright.,60,46
15:23,12,Arizona  Timeout,60,46
14:53,167,Chris McNeal missed Three Point Jumper.,60,46
14:53,167,Makuach Maluach Offensive Rebound.,60,46
14:30,167,Dane Kuiper missed Three Point Jumper.,60,46
14:30,12,Ira Lee Defensive Rebound.,60,46
14:21,12,Rawle Alkins made Layup.,62,46
13:59,167,Makuach Maluach missed Three Point Jumper.,62,46
13:59,12,Deandre Ayton Defensive Rebound.,62,46
13:43,12,Allonzo Trier missed Layup.,62,46
13:43,167,Makuach Maluach Block.,62,46
13:41,12,Ira Lee Offensive Rebound.,62,46
13:38,12,Ira Lee missed Layup.,62,46
13:38,167,Dane Kuiper Defensive Rebound.,62,46
13:33,12,Foul on Parker Jackson-Cartwright.,62,46
13:33,167,Dane Kuiper made Free Throw.,62,47
13:33,167,Dane Kuiper made Free Throw.,62,48
13:13,12,Parker Jackson-Cartwright made Jumper.,64,48
12:56,167,Anthony Mathis made Three Point Jumper. Assisted by Troy Simons.,64,51
12:30,12,Dusan Ristic made Layup.,66,51
12:22,167,Troy Simons missed Three Point Jumper.,66,51
12:22,167,Sam Logwood Offensive Rebound.,66,51
12:17,167,Anthony Mathis made Three Point Jumper. Assisted by Sam Logwood.,66,54
11:47,167,Foul on Troy Simons.,66,54
11:47,167,Official TV Timeout,66,54
11:41,12,Deandre Ayton missed Layup.,66,54
11:41,12,Deandre Ayton Offensive Rebound.,66,54
11:16,12,Deandre Ayton made Layup. Assisted by Allonzo Trier.,68,54
10:56,167,Sam Logwood missed Three Point Jumper.,68,54
10:56,12,Dusan Ristic Defensive Rebound.,68,54
10:41,12,Dusan Ristic missed Layup.,68,54
10:41,167,New Mexico Defensive Rebound.,68,54
10:40,12,Foul on Dusan Ristic.,68,54
10:24,167,Anthony Mathis missed Three Point Jumper.,68,54
10:24,12,Dusan Ristic Defensive Rebound.,68,54
10:17,167,Foul on Chris McNeal.,68,54
10:17,12,Allonzo Trier made Free Throw.,69,54
10:17,12,Allonzo Trier made Free Throw.,70,54
9:58,167,Chris McNeal made Three Point Jumper.,70,57
9:43,12,Dylan Smith missed Layup.,70,57
9:43,167,Vladimir Pinchuk Block.,70,57
9:41,167,Chris McNeal Defensive Rebound.,70,57
9:40,167,Chris McNeal Turnover.,70,57
9:28,12,Allonzo Trier made Layup.,72,57
9:28,167,Foul on Dane Kuiper.,72,57
9:28,12,Allonzo Trier missed Free Throw.,72,57
9:28,12,Dusan Ristic Offensive Rebound.,72,57
9:16,12,Foul on Allonzo Trier.,72,57
9:16,12,Allonzo Trier Turnover.,72,57
8:56,167,Troy Simons missed Three Point Jumper.,72,57
8:56,167,Joe Furstinger Offensive Rebound.,72,57
8:50,167,Troy Simons made Layup.,72,59
8:33,167,Foul on Antino Jackson.,72,59
8:31,167,Foul on Antino Jackson.,72,59
8:10,12,Parker Jackson-Cartwright missed Three Point Jumper.,72,59
8:10,12,Rawle Alkins Offensive Rebound.,72,59
7:55,12,Allonzo Trier missed Layup.,72,59
7:55,167,Joe Furstinger Defensive Rebound.,72,59
7:42,167,Antino Jackson missed Layup.,72,59
7:42,167,Sam Logwood Offensive Rebound.,72,59
7:37,167,Sam Logwood made Dunk.,72,61
7:15,12,Rawle Alkins made Jumper.,74,61
7:00,167,Dane Kuiper made Three Point Jumper. Assisted by Joe Furstinger.,74,64
6:48,12,Allonzo Trier Turnover.,74,64
6:47,167,Antino Jackson Steal.,74,64
6:42,12,Foul on Brandon Randolph.,74,64
6:42,167,Official TV Timeout,74,64
6:21,167,Sam Logwood missed Jumper.,74,64
6:21,12,Deandre Ayton Defensive Rebound.,74,64
5:51,12,Deandre Ayton Turnover.,74,64
5:33,12,Foul on Ira Lee.,74,64
5:33,167,Sam Logwood made Free Throw.,74,65
5:33,167,Sam Logwood made Free Throw.,74,66
5:18,167,Foul on Anthony Mathis.,74,66
5:18,12,Rawle Alkins made Free Throw.,75,66
5:18,12,Rawle Alkins made Free Throw.,76,66
5:05,167,Dane Kuiper made Three Point Jumper. Assisted by Sam Logwood.,76,69
4:40,167,Foul on Sam Logwood.,76,69
4:39,167,New Mexico Defensive Rebound.,76,69
4:30,167,Chris McNeal missed Layup.,76,69
4:30,12,Rawle Alkins Block.,76,69
4:29,12,Rawle Alkins Defensive Rebound.,76,69
4:24,12,Rawle Alkins made Layup.,78,69
3:57,167,Vladimir Pinchuk missed Jumper.,78,69
3:56,167,New Mexico Deadball Team Rebound.,78,69
3:56,12,Foul on Parker Jackson-Cartwright.,78,69
3:56,167,Official TV Timeout,78,69
3:56,167,Dane Kuiper made Free Throw.,78,70
3:56,167,Dane Kuiper made Free Throw.,78,71
3:33,12,Parker Jackson-Cartwright missed Three Point Jumper.,78,71
3:33,12,Deandre Ayton Offensive Rebound.,78,71
3:14,12,Allonzo Trier made Layup.,80,71
2:57,167,Antino Jackson Turnover.,80,71
2:56,12,Parker Jackson-Cartwright Steal.,80,71
2:53,12,Deandre Ayton made Dunk.,82,71
2:30,12,Foul on Rawle Alkins.,82,71
2:30,167,Sam Logwood missed Free Throw.,82,71
2:30,12,Dylan Smith Defensive Rebound.,82,71
2:11,12,Dylan Smith missed Three Point Jumper.,82,71
2:11,167,Joe Furstinger Defensive Rebound.,82,71
1:47,167,Dane Kuiper missed Jumper.,82,71
1:47,12,Deandre Ayton Defensive Rebound.,82,71
1:41,12,Dylan Smith Turnover.,82,71
1:29,12,Foul on Deandre Ayton.,82,71
1:29,167,Joe Furstinger made Free Throw.,82,72
1:29,167,Joe Furstinger made Free Throw.,82,73
1:05,12,Brandon Randolph made Three Point Jumper. Assisted by Parker Jackson-Cartwright.,85,73
0:53,167,Chris McNeal missed Three Point Jumper.,85,73
0:53,12,Rawle Alkins Defensive Rebound.,85,73
0:48,167,Foul on Troy Simons.,85,73
0:48,12,Rawle Alkins made Free Throw.,86,73
0:48,12,Rawle Alkins made Free Throw.,87,73
0:41,167,Chris McNeal Turnover.,87,73
0:41,12,Brandon Randolph Steal.,87,73
0:41,167,Foul on Chris McNeal.,87,73
0:41,12,Brandon Randolph missed Free Throw.,87,73
0:41,12,Arizona Deadball Team Rebound.,87,73
0:41,12,Brandon Randolph missed Free Throw.,87,73
0:41,167,Sam Logwood Defensive Rebound.,87,73
0:32,167,Troy Simons missed Three Point Jumper.,87,73
0:32,12,Deandre Ayton Defensive Rebound.,87,73
0:23,12,Allonzo Trier made Dunk.,89,73
0:13,167,Dane Kuiper missed Three Point Jumper.,89,73
0:13,12,Deandre Ayton Defensive Rebound.,89,73
0:00,167,End of Game,89,73
