Wagner,2520,Rider,2681
18:59,2681,AJ Sumbry made Layup. Assisted by JoJo Cooper.,32,36
18:39,2520,Anthony Durham made Jumper.,32,38
18:10,2681,Devin Liggeons missed Layup.,32,38
18:10,2520,Tyere Marshall Defensive Rebound.,32,38
18:04,2520,Anthony Durham missed Layup.,32,38
18:04,2681,Nigel Jackson Block.,32,38
18:01,2681,Devin Liggeons Defensive Rebound.,32,38
17:56,2681,JoJo Cooper made Layup.,34,38
17:42,2520,Jordan Allen made Three Point Jumper. Assisted by Stevie Jordan.,34,41
17:20,2681,AJ Sumbry made Layup. Assisted by JoJo Cooper.,36,41
17:08,2520,Stevie Jordan Turnover.,36,41
17:08,2681,Blake Francis Steal.,36,41
17:03,2681,JoJo Cooper made Layup.,38,41
16:54,2520,Rider  Timeout,38,41
16:54,2520,Official TV Timeout,38,41
16:42,2681,Foul on Nigel Jackson.,38,41
16:42,2520,Dimencio Vaughn missed Free Throw.,38,41
16:42,2520,Rider Deadball Team Rebound.,38,41
16:42,2520,Dimencio Vaughn missed Free Throw.,38,41
16:42,2681,AJ Sumbry Defensive Rebound.,38,41
16:16,2681,AJ Sumbry missed Dunk.,38,41
16:16,2520,Tyere Marshall Defensive Rebound.,38,41
16:09,2520,Anthony Durham missed Three Point Jumper.,38,41
16:09,2520,Rider Offensive Rebound.,38,41
15:59,2520,Stevie Jordan missed Layup.,38,41
15:59,2520,Tyere Marshall Offensive Rebound.,38,41
15:56,2520,Tyere Marshall missed Layup.,38,41
15:56,2681,AJ Sumbry Defensive Rebound.,38,41
15:54,2520,Official TV Timeout,38,41
15:37,2520,Foul on Tyere Marshall.,38,41
15:37,2681,AJ Sumbry made Free Throw.,39,41
15:37,2681,AJ Sumbry made Free Throw.,40,41
15:10,2520,Jordan Allen missed Three Point Jumper.,40,41
15:10,2520,Frederick Scott Offensive Rebound.,40,41
15:00,2520,Frederick Scott made Jumper.,40,43
14:35,2681,Blake Francis missed Three Point Jumper.,40,43
14:35,2520,Jordan Allen Defensive Rebound.,40,43
14:29,2681,Foul on Blake Francis.,40,43
14:22,2681,Foul on Elijah Davis.,40,43
14:22,2520,Frederick Scott missed Free Throw.,40,43
14:22,2520,Rider Deadball Team Rebound.,40,43
14:22,2520,Frederick Scott made Free Throw.,40,44
14:01,2681,JoJo Cooper missed Three Point Jumper.,40,44
14:01,2681,AJ Sumbry Offensive Rebound.,40,44
13:57,2520,Foul on Frederick Scott.,40,44
13:44,2681,Elijah Davis missed Jumper.,40,44
13:44,2520,Frederick Scott Defensive Rebound.,40,44
13:28,2520,Jordan Allen missed Layup.,40,44
13:28,2681,Elijah Davis Defensive Rebound.,40,44
13:21,2681,Romone Saunders missed Jumper.,40,44
13:21,2681,AJ Sumbry Offensive Rebound.,40,44
13:18,2520,Foul on Dimencio Vaughn.,40,44
13:18,2681,AJ Sumbry made Free Throw.,41,44
13:18,2681,AJ Sumbry missed Free Throw.,41,44
13:18,2520,Frederick Scott Defensive Rebound.,41,44
13:00,2520,Dimencio Vaughn missed Jumper.,41,44
13:00,2681,JoJo Cooper Defensive Rebound.,41,44
12:51,2681,Blake Francis Turnover.,41,44
12:51,2520,Jordan Allen Steal.,41,44
12:37,2681,Foul on Nigel Jackson.,41,44
12:33,2681,Foul on AJ Sumbry.,41,44
12:33,2520,Frederick Scott missed Free Throw.,41,44
12:33,2520,Rider Deadball Team Rebound.,41,44
12:33,2520,Frederick Scott made Free Throw.,41,45
12:19,2681,Elijah Davis made Three Point Jumper. Assisted by JoJo Cooper.,44,45
12:08,2520,Jordan Allen missed Three Point Jumper.,44,45
12:08,2681,AJ Sumbry Defensive Rebound.,44,45
11:48,2681,Blake Francis missed Three Point Jumper.,44,45
11:48,2520,Frederick Scott Defensive Rebound.,44,45
11:31,2681,Foul on Elijah Davis.,44,45
11:31,2520,Official TV Timeout,44,45
11:31,2520,Dimencio Vaughn made Free Throw.,44,46
11:31,2520,Dimencio Vaughn missed Free Throw.,44,46
11:31,2681,AJ Sumbry Defensive Rebound.,44,46
11:13,2520,Foul on Kealen Washington-Ives.,44,46
11:13,2681,JoJo Cooper made Free Throw.,45,46
11:13,2681,JoJo Cooper made Free Throw.,46,46
10:57,2520,Frederick Scott made Three Point Jumper. Assisted by Stevie Jordan.,46,49
10:31,2681,Romone Saunders made Three Point Jumper. Assisted by Blake Francis.,49,49
10:14,2520,Frederick Scott missed Three Point Jumper.,49,49
10:14,2681,Romone Saunders Defensive Rebound.,49,49
10:02,2681,Elijah Davis missed Layup.,49,49
10:02,2681,Elijah Davis Offensive Rebound.,49,49
10:00,2681,Elijah Davis missed Layup.,49,49
10:00,2520,Stevie Jordan Block.,49,49
9:59,2681,Wagner Offensive Rebound.,49,49
9:42,2681,Romone Saunders missed Jumper.,49,49
9:42,2681,AJ Sumbry Offensive Rebound.,49,49
9:39,2520,Foul on Paxton Wilson.,49,49
9:39,2681,AJ Sumbry made Free Throw.,50,49
9:39,2681,AJ Sumbry missed Free Throw.,50,49
9:39,2520,Rider Defensive Rebound.,50,49
9:28,2520,Stevie Jordan made Layup.,50,51
9:08,2681,Blake Francis made Three Point Jumper. Assisted by JoJo Cooper.,53,51
8:56,2681,Foul on Blake Francis.,53,51
8:56,2520,Stevie Jordan made Free Throw.,53,52
8:56,2520,Stevie Jordan made Free Throw.,53,53
8:34,2681,Romone Saunders made Three Point Jumper. Assisted by JoJo Cooper.,56,53
8:20,2520,Dimencio Vaughn Turnover.,56,53
8:03,2681,Nick Madray missed Layup.,56,53
8:03,2520,Dimencio Vaughn Block.,56,53
8:02,2520,Tyere Marshall Defensive Rebound.,56,53
7:56,2520,Anthony Durham missed Layup.,56,53
7:56,2520,Dimencio Vaughn Offensive Rebound.,56,53
7:56,2681,Foul on Nick Madray.,56,53
7:56,2520,Official TV Timeout,56,53
7:56,2520,Dimencio Vaughn made Free Throw.,56,54
7:56,2520,Dimencio Vaughn made Free Throw.,56,55
7:34,2681,JoJo Cooper missed Three Point Jumper.,56,55
7:34,2520,Dimencio Vaughn Defensive Rebound.,56,55
7:22,2520,Dimencio Vaughn missed Three Point Jumper.,56,55
7:22,2681,JoJo Cooper Defensive Rebound.,56,55
7:15,2681,Blake Francis missed Layup.,56,55
7:15,2520,Dimencio Vaughn Block.,56,55
7:14,2681,Elijah Davis Offensive Rebound.,56,55
7:13,2520,Foul on Anthony Durham.,56,55
7:13,2681,Elijah Davis made Free Throw.,57,55
7:13,2681,Elijah Davis made Free Throw.,58,55
7:01,2520,Tyere Marshall missed Layup.,58,55
7:01,2520,Rider Offensive Rebound.,58,55
6:48,2520,Stevie Jordan made Jumper.,58,57
6:21,2681,Elijah Davis missed Three Point Jumper.,58,57
6:21,2681,AJ Sumbry Offensive Rebound.,58,57
6:15,2520,Foul on Stevie Jordan.,58,57
6:15,2681,Devin Liggeons made Free Throw.,59,57
6:15,2681,Devin Liggeons made Free Throw.,60,57
6:05,2520,Dimencio Vaughn Turnover.,60,57
5:44,2681,Elijah Davis missed Layup.,60,57
5:44,2681,AJ Sumbry Offensive Rebound.,60,57
5:40,2681,AJ Sumbry made Layup.,62,57
5:29,2520,Jordan Allen made Three Point Jumper. Assisted by Stevie Jordan.,62,60
5:01,2681,AJ Sumbry Turnover.,62,60
4:41,2681,Foul on AJ Sumbry.,62,60
4:41,2520,Dimencio Vaughn made Free Throw.,62,61
4:41,2520,Dimencio Vaughn made Free Throw.,62,62
4:20,2681,Nigel Jackson made Jumper. Assisted by JoJo Cooper.,64,62
4:19,2681,Wagner  Timeout,64,62
4:19,2520,Official TV Timeout,64,62
4:07,2520,Stevie Jordan Turnover.,64,62
4:06,2681,JoJo Cooper Steal.,64,62
4:03,2681,JoJo Cooper made Layup.,66,62
3:52,2520,Dimencio Vaughn Turnover.,66,62
3:52,2520,Foul on Dimencio Vaughn.,66,62
3:25,2681,Blake Francis Turnover.,66,62
3:25,2520,Dimencio Vaughn Steal.,66,62
3:08,2681,Foul on Elijah Davis.,66,62
3:08,2520,Dimencio Vaughn made Free Throw.,66,63
3:08,2520,Dimencio Vaughn made Free Throw.,66,64
2:53,2681,Romone Saunders made Three Point Jumper. Assisted by JoJo Cooper.,69,64
2:41,2520,Rider  Timeout,69,64
2:20,2520,Stevie Jordan missed Three Point Jumper.,69,64
2:20,2681,Romone Saunders Defensive Rebound.,69,64
2:15,2681,Romone Saunders Turnover.,69,64
2:15,2681,Foul on Romone Saunders.,69,64
2:11,2520,Jordan Allen missed Three Point Jumper.,69,64
2:11,2520,Dimencio Vaughn Offensive Rebound.,69,64
2:06,2681,Foul on Romone Saunders.,69,64
2:06,2520,Dimencio Vaughn missed Free Throw.,69,64
2:06,2520,Rider Deadball Team Rebound.,69,64
2:06,2520,Dimencio Vaughn made Free Throw.,69,65
1:54,2681,Nigel Jackson missed Layup.,69,65
1:54,2681,Nigel Jackson Offensive Rebound.,69,65
1:51,2681,Nigel Jackson missed Layup.,69,65
1:51,2681,Devin Liggeons Offensive Rebound.,69,65
1:50,2520,Foul on Jordan Allen.,69,65
1:50,2681,Devin Liggeons missed Free Throw.,69,65
1:50,2681,Romone Saunders Offensive Rebound.,69,65
1:24,2681,Devin Liggeons Turnover.,69,65
1:14,2520,Stevie Jordan missed Layup.,69,65
1:14,2681,Devin Liggeons Defensive Rebound.,69,65
1:11,2681,Devin Liggeons Turnover.,69,65
1:11,2520,Dimencio Vaughn Steal.,69,65
1:10,2681,Foul on Devin Liggeons.,69,65
1:10,2520,Jordan Allen made Free Throw.,69,66
1:10,2520,Jordan Allen made Free Throw.,69,67
0:55,2681,Elijah Davis Turnover.,69,67
0:55,2681,Foul on Elijah Davis.,69,67
0:44,2681,Foul on Romone Saunders.,69,67
0:44,2520,Dimencio Vaughn made Free Throw.,69,68
0:44,2520,Dimencio Vaughn made Free Throw.,69,69
0:41,2681,Wagner  Timeout,69,69
0:17,2520,Foul on Dimencio Vaughn.,69,69
0:17,2681,Blake Francis made Free Throw.,70,69
0:17,2681,Blake Francis made Free Throw.,71,69
0:13,2520,Rider  Timeout,71,69
0:06,2681,Foul on JoJo Cooper.,71,69
0:06,2520,Frederick Scott made Free Throw.,71,70
0:06,2520,Frederick Scott made Free Throw.,71,71
0:06,2681,Wagner  Timeout,71,71
0:04,2681,Romone Saunders missed Three Point Jumper.,71,71
0:04,2681,JoJo Cooper Offensive Rebound.,71,71
0:01,2681,JoJo Cooper missed Three Point Jumper.,71,71
0:01,2681,Wagner Deadball Team Rebound.,71,71
0:00,2520,End of 2nd half,71,71
4:45,2681,Elijah Davis made Layup. Assisted by JoJo Cooper.,73,71
4:19,2520,Frederick Scott made Jumper.,73,73
4:00,2681,JoJo Cooper missed Three Point Jumper.,73,73
4:00,2520,Anthony Durham Defensive Rebound.,73,73
3:38,2520,Frederick Scott made Three Point Jumper. Assisted by Stevie Jordan.,73,76
3:13,2681,Nigel Jackson missed Three Point Jumper.,73,76
3:13,2520,Dimencio Vaughn Defensive Rebound.,73,76
3:02,2520,Stevie Jordan made Layup.,73,78
3:02,2681,Foul on Blake Francis.,73,78
3:02,2520,Stevie Jordan made Free Throw.,73,79
2:46,2681,Blake Francis missed Three Point Jumper.,73,79
2:46,2681,Elijah Davis Offensive Rebound.,73,79
2:38,2520,Foul on Stevie Jordan.,73,79
2:38,2681,JoJo Cooper made Free Throw.,74,79
2:38,2681,JoJo Cooper made Free Throw.,75,79
2:11,2681,Foul on AJ Sumbry.,75,79
2:11,2520,Frederick Scott missed Free Throw.,75,79
2:11,2520,Rider Deadball Team Rebound.,75,79
2:11,2520,Frederick Scott missed Free Throw.,75,79
2:11,2681,JoJo Cooper Defensive Rebound.,75,79
2:06,2520,Foul on Dimencio Vaughn.,75,79
2:06,2681,JoJo Cooper made Free Throw.,76,79
2:06,2681,JoJo Cooper made Free Throw.,77,79
1:51,2520,Stevie Jordan made Layup.,77,81
1:33,2681,Blake Francis made Three Point Jumper. Assisted by JoJo Cooper.,80,81
1:32,2681,Wagner  Timeout,80,81
1:18,2520,Frederick Scott made Layup.,80,83
1:18,2681,Foul on Nigel Jackson.,80,83
1:18,2520,Frederick Scott missed Free Throw.,80,83
1:18,2681,JoJo Cooper Defensive Rebound.,80,83
0:56,2520,Foul on Stevie Jordan.,80,83
0:56,2681,JoJo Cooper made Free Throw.,81,83
0:56,2681,JoJo Cooper made Free Throw.,82,83
0:43,2520,Rider  Timeout,82,83
0:38,2520,Stevie Jordan missed Layup.,82,83
0:38,2520,Dimencio Vaughn Offensive Rebound.,82,83
0:37,2681,Foul on Elijah Davis.,82,83
0:37,2520,Dimencio Vaughn made Free Throw.,82,84
0:37,2520,Dimencio Vaughn made Free Throw.,82,85
0:23,2681,JoJo Cooper Turnover.,82,85
0:23,2520,Dimencio Vaughn Steal.,82,85
0:20,2681,Foul on Tyler Plummer.,82,85
0:20,2520,Kealen Washington-Ives made Free Throw.,82,86
0:20,2520,Kealen Washington-Ives missed Free Throw.,82,86
0:20,2681,JoJo Cooper Defensive Rebound.,82,86
0:14,2681,Chase Freeman missed Three Point Jumper.,82,86
0:14,2520,Frederick Scott Defensive Rebound.,82,86
0:11,2681,Foul on Tyler Plummer.,82,86
0:11,2520,Frederick Scott made Free Throw.,82,87
0:11,2520,Frederick Scott made Free Throw.,82,88
0:05,2520,Foul on Stevie Jordan.,82,88
0:05,2681,Blake Francis made Free Throw.,83,88
0:05,2681,Blake Francis made Free Throw.,84,88
0:04,2681,Foul on Tyler Plummer.,84,88
0:04,2520,Stevie Jordan made Free Throw.,84,89
0:04,2520,Stevie Jordan made Free Throw.,84,90
0:01,2681,JoJo Cooper missed Three Point Jumper.,84,90
0:00,2520,Rider Deadball Team Rebound.,84,90
0:00,2520,End of Game,84,90
