Montreat College,Error,Coastal Carolina,324
13:42,2410,Jalen White missed Layup.,40,53
13:42,324,Jaylen Shaw Defensive Rebound.,40,53
13:35,324,Artur Labinowicz missed Three Point Jumper.,40,53
13:35,2410,Darrian Patterson Defensive Rebound.,40,53
13:24,2410,Zach Davis missed Three Point Jumper.,40,53
13:24,324,Zac Cuthbertson Defensive Rebound.,40,53
13:22,2410,Foul on Jordan Eaton.,40,53
13:10,324,Zac Cuthbertson missed Jumper.,40,53
13:10,324,Coastal Carolina Offensive Rebound.,40,53
13:03,324,Jaylen Shaw made Jumper.,40,55
12:48,2410,Jeron Hemphill missed Jumper.,40,55
12:48,324,Artur Labinowicz Defensive Rebound.,40,55
12:41,324,Artur Labinowicz Turnover.,40,55
12:30,2410,Zach Davis Turnover.,40,55
12:28,324,Jaylen Shaw Steal.,40,55
12:25,324,Jaylen Shaw made Dunk.,40,57
12:23,2410,Montreat  Timeout,40,57
11:49,2410,Jordan Eaton missed Layup.,40,57
11:49,324,Ajay Sanders Defensive Rebound.,40,57
11:44,324,Artur Labinowicz made Dunk. Assisted by Jaylen Shaw.,40,59
11:40,324,Foul on Amidou Bamba.,40,59
11:30,2410,David Everage missed Jumper.,40,59
11:30,324,Matt Lindsey Defensive Rebound.,40,59
11:18,324,Ajay Sanders Turnover.,40,59
11:15,2410,David Everage Steal.,40,59
11:07,2410,Austin Butler missed Three Point Jumper.,40,59
11:07,324,Jaylen Shaw Defensive Rebound.,40,59
10:59,2410,Foul on David Caldwell.,40,59
10:59,324,Artur Labinowicz missed Free Throw.,40,59
10:59,324,Coastal Carolina Deadball Team Rebound.,40,59
10:59,324,Artur Labinowicz made Free Throw.,40,60
10:38,2410,Alonzo Mobley missed Layup.,40,60
10:38,324,Demario Beck Defensive Rebound.,40,60
10:31,324,Zac Cuthbertson missed Dunk.,40,60
10:31,2410,Jalen White Defensive Rebound.,40,60
10:25,2410,David Caldwell missed Three Point Jumper.,40,60
10:25,2410,Austin Butler Offensive Rebound.,40,60
10:20,2410,Alonzo Mobley missed Layup.,40,60
10:20,324,Coastal Carolina Defensive Rebound.,40,60
10:01,2410,Foul on Jalen White.,40,60
10:01,324,Jaylen Shaw made Free Throw.,40,61
10:01,324,Jaylen Shaw made Free Throw.,40,62
9:48,2410,David Caldwell missed Layup.,40,62
9:48,324,Demario Beck Block.,40,62
9:48,2410,Montreat Offensive Rebound.,40,62
9:42,2410,Austin Butler missed Three Point Jumper.,40,62
9:42,324,Artur Labinowicz Block.,40,62
9:42,2410,Montreat Offensive Rebound.,40,62
9:40,2410,Derrick Cusano Turnover.,40,62
9:40,324,Jaylen Shaw Steal.,40,62
9:31,2410,Foul on Jalen White.,40,62
9:29,324,Zac Cuthbertson Turnover.,40,62
9:06,2410,David Everage missed Layup.,40,62
9:06,324,Zac Cuthbertson Block.,40,62
9:06,2410,Montreat Offensive Rebound.,40,62
9:01,2410,David Everage Turnover.,40,62
8:59,324,Demario Beck Steal.,40,62
8:54,324,Demario Beck made Dunk. Assisted by Trevion Brown.,40,64
8:33,2410,Darrian Patterson made Layup. Assisted by Jalen White.,42,64
8:17,324,Matt Lindsey missed Layup.,42,64
8:17,324,Demario Beck Offensive Rebound.,42,64
8:16,324,Demario Beck Turnover.,42,64
8:09,2410,Ej Reed missed Three Point Jumper.,42,64
8:09,2410,Montreat Offensive Rebound.,42,64
7:46,2410,Zach Davis made Layup.,44,64
7:26,324,Artur Labinowicz missed Layup.,44,64
7:26,2410,Darrian Patterson Defensive Rebound.,44,64
7:19,2410,Zach Davis made Three Point Jumper.,47,64
7:02,2410,Foul on Tre'Von Rucker.,47,64
7:02,324,Jaylen Shaw made Free Throw.,47,65
7:02,324,Jaylen Shaw made Free Throw.,47,66
6:49,2410,Ej Reed missed Jumper.,47,66
6:49,324,Artur Labinowicz Defensive Rebound.,47,66
6:33,324,Jaylen Shaw Turnover.,47,66
6:30,2410,Jeron Hemphill Steal.,47,66
6:23,2410,Ej Reed made Jumper.,49,66
6:23,324,Foul on Demario Beck.,49,66
6:23,2410,Ej Reed made Free Throw.,50,66
6:11,324,Artur Labinowicz made Layup. Assisted by Jaylen Shaw.,50,68
5:59,2410,Zach Davis made Three Point Jumper.,53,68
5:44,2410,Foul on Darrian Patterson.,53,68
5:44,324,Jaylen Shaw missed Free Throw.,53,68
5:44,2410,Tre'Von Rucker Defensive Rebound.,53,68
5:37,324,Foul on Jaylen Shaw.,53,68
5:37,2410,Zach Davis made Free Throw.,54,68
5:37,2410,Zach Davis made Free Throw.,55,68
5:16,324,Matt Lindsey missed Three Point Jumper.,55,68
5:16,324,Artur Labinowicz Offensive Rebound.,55,68
5:10,324,Artur Labinowicz Turnover.,55,68
5:07,2410,Jeron Hemphill Steal.,55,68
5:04,2410,Zach Davis made Layup. Assisted by Jeron Hemphill.,57,68
4:52,2410,Foul on Darrian Patterson.,57,68
4:52,324,Demario Beck missed Free Throw.,57,68
4:52,2410,Jeron Hemphill Defensive Rebound.,57,68
4:40,2410,Darrian Patterson made Layup.,59,68
4:40,324,Foul on Demario Beck.,59,68
4:40,2410,Darrian Patterson missed Free Throw.,59,68
4:40,324,Zac Cuthbertson Defensive Rebound.,59,68
4:28,324,Zac Cuthbertson made Three Point Jumper.,59,71
4:20,2410,Zach Davis missed Three Point Jumper.,59,71
4:20,324,Artur Labinowicz Defensive Rebound.,59,71
4:13,2410,Foul on Darrian Patterson.,59,71
4:13,324,Josh Coleman missed Free Throw.,59,71
4:13,324,Coastal Carolina Deadball Team Rebound.,59,71
4:13,324,Josh Coleman missed Free Throw.,59,71
4:13,2410,Zach Davis Defensive Rebound.,59,71
4:12,324,Foul on Artur Labinowicz.,59,71
4:12,2410,Zach Davis made Free Throw.,60,71
4:12,2410,Zach Davis made Free Throw.,61,71
4:08,2410,Foul on Darrian Patterson.,61,71
4:08,324,Demario Beck made Free Throw.,61,72
4:08,324,Demario Beck missed Free Throw.,61,72
4:08,2410,Zach Davis Defensive Rebound.,61,72
4:00,2410,Ej Reed made Jumper.,63,72
3:48,2410,Foul on Zach Davis.,63,72
3:48,324,Demario Beck made Free Throw.,63,73
3:30,324,Matt Lindsey missed Jumper.,63,73
3:30,2410,Jeron Hemphill Defensive Rebound.,63,73
3:22,2410,Ej Reed made Three Point Jumper. Assisted by Jeron Hemphill.,66,73
3:08,324,Jaylen Shaw Turnover.,66,73
3:08,2410,Tre'Von Rucker Steal.,66,73
2:58,2410,Zach Davis missed Three Point Jumper.,66,73
2:58,324,Artur Labinowicz Defensive Rebound.,66,73
2:47,2410,Foul on Darrian Patterson.,66,73
2:47,324,Zac Cuthbertson made Free Throw.,66,74
2:47,324,Zac Cuthbertson made Free Throw.,66,75
2:47,324,Coastal Carolina  Timeout,66,75
2:35,2410,Ej Reed missed Three Point Jumper.,66,75
2:35,324,Artur Labinowicz Defensive Rebound.,66,75
2:14,324,Matt Lindsey missed Three Point Jumper.,66,75
2:14,2410,Jeron Hemphill Defensive Rebound.,66,75
1:44,2410,Ej Reed missed Layup.,66,75
1:44,324,Zac Cuthbertson Defensive Rebound.,66,75
1:39,324,Jaylen Shaw made Layup. Assisted by Zac Cuthbertson.,66,77
1:39,2410,Foul on Alonzo Mobley.,66,77
1:39,324,Jaylen Shaw made Free Throw.,66,78
1:26,2410,Tre'Von Rucker Turnover.,66,78
1:24,324,Matt Lindsey Steal.,66,78
1:06,2410,Foul on Alonzo Mobley.,66,78
1:06,324,Jaylen Shaw made Free Throw.,66,79
1:06,324,Jaylen Shaw made Free Throw.,66,80
0:57,2410,Jeron Hemphill made Layup.,68,80
0:40,324,Artur Labinowicz made Dunk.,68,82
0:34,2410,David Caldwell missed Three Point Jumper.,68,82
0:34,324,Zac Cuthbertson Defensive Rebound.,68,82
0:07,2410,Foul on Tre'Von Rucker.,68,82
0:07,324,Bill Muse missed Free Throw.,68,82
0:07,324,Coastal Carolina Deadball Team Rebound.,68,82
0:07,324,Bill Muse made Free Throw.,68,83
0:01,2410,Ej Reed made Layup.,70,83
0:00,324,End of Game,70,83
