Cornell,2344,Longwood,172
10:33,2344,Kamil Chapman missed Layup.,54,46
10:33,2344,Damarion Geter Offensive Rebound.,54,46
10:27,2344,Jordan Cintron missed Layup.,54,46
10:27,2344,Kamil Chapman Offensive Rebound.,54,46
10:12,2344,Damarion Geter missed Jumper.,54,46
10:12,172,Steven Julian Defensive Rebound.,54,46
9:58,2344,Foul on Spencer Franklin.,54,46
9:57,172,Stone Gettings missed Three Point Jumper.,54,46
9:57,2344,Spencer Franklin Defensive Rebound.,54,46
9:47,2344,B.K. Ashe missed Three Point Jumper.,54,46
9:47,172,Matt Morgan Defensive Rebound.,54,46
9:17,172,Matt Morgan missed Jumper.,54,46
9:17,172,Stone Gettings Offensive Rebound.,54,46
9:13,172,Stone Gettings made Layup.,56,46
8:49,2344,Jordan Cintron made Jumper. Assisted by Damarion Geter.,56,48
8:21,172,Bryan Knapp missed Three Point Jumper.,56,48
8:21,2344,Damarion Geter Defensive Rebound.,56,48
8:03,2344,Damarion Geter missed Layup.,56,48
8:03,172,Joel Davis Block.,56,48
8:00,172,Matt Morgan Defensive Rebound.,56,48
7:58,2344,Foul on Kamil Chapman.,56,48
7:57,172,Cornell  Timeout,56,48
7:57,172,Terrance McBride made Free Throw.,57,48
7:57,172,Terrance McBride made Free Throw.,58,48
7:43,2344,Spencer Franklin made Three Point Jumper. Assisted by Jahleem Montague.,58,51
7:25,172,Stone Gettings missed Three Point Jumper.,58,51
7:25,2344,B.K. Ashe Defensive Rebound.,58,51
6:54,2344,Spencer Franklin made Jumper.,58,53
6:34,172,Matt Morgan made Jumper.,60,53
6:09,2344,Spencer Franklin missed Jumper.,60,53
6:09,172,Steven Julian Block.,60,53
6:07,172,Stone Gettings Defensive Rebound.,60,53
6:04,172,Matt Morgan missed Layup.,60,53
6:04,172,Stone Gettings Offensive Rebound.,60,53
6:00,172,Stone Gettings Turnover.,60,53
6:00,2344,B.K. Ashe Steal.,60,53
6:00,172,Foul on Matt Morgan.,60,53
5:33,2344,Jahleem Montague missed Jumper.,60,53
5:33,172,Jack Gordon Defensive Rebound.,60,53
5:26,172,Joel Davis missed Dunk.,60,53
5:26,172,Stone Gettings Offensive Rebound.,60,53
5:07,172,Matt Morgan missed Jumper.,60,53
5:07,2344,JaShaun Smith Defensive Rebound.,60,53
4:46,2344,Jordan Cintron made Layup. Assisted by Jahleem Montague.,60,55
4:18,172,Matt Morgan Turnover.,60,55
4:17,2344,Jahleem Montague Steal.,60,55
4:17,172,Foul on Stone Gettings.,60,55
4:05,2344,JaShaun Smith missed Three Point Jumper.,60,55
4:05,2344,Damarion Geter Offensive Rebound.,60,55
4:01,172,Foul on Joel Davis.,60,55
4:01,2344,Damarion Geter made Free Throw.,60,56
4:01,2344,Damarion Geter made Free Throw.,60,57
3:42,172,Jack Gordon made Three Point Jumper. Assisted by Josh Warren.,63,57
3:26,2344,B.K. Ashe missed Three Point Jumper.,63,57
3:26,2344,Jordan Cintron Offensive Rebound.,63,57
3:20,2344,Jordan Cintron missed Layup.,63,57
3:20,172,Terrance McBride Defensive Rebound.,63,57
3:09,172,Josh Warren made Layup. Assisted by Joel Davis.,65,57
2:58,2344,Longwood  Timeout,65,57
2:40,2344,Chris Shields made Three Point Jumper. Assisted by B.K. Ashe.,65,60
2:20,172,Cornell  Timeout,65,60
2:20,172,Cornell  Timeout,65,60
2:03,172,Josh Warren missed Layup.,65,60
2:03,2344,B.K. Ashe Defensive Rebound.,65,60
1:32,2344,Chris Shields missed Jumper.,65,60
1:32,172,Terrance McBride Defensive Rebound.,65,60
1:07,2344,Foul on Jordan Cintron.,65,60
1:05,2344,Foul on Jordan Cintron.,65,60
