Point,2643,The Citadel,3179
13:54,-1,Brent Gaither Turnover.,9,13
13:48,2643,Alex Reed made Three Point Jumper. Assisted by Rob Johnson.,9,16
13:17,-1,Lawrence Castor missed Jumper.,9,16
13:17,2643,Rob Johnson Defensive Rebound.,9,16
13:11,2643,Kaelon Harris Turnover.,9,16
13:11,2643,Foul on Kaelon Harris.,9,16
13:08,2643,Foul on Alex Reed.,9,16
12:59,-1,Tyonn Stuckey missed Three Point Jumper.,9,16
12:59,-1,Jamvis Ponder Offensive Rebound.,9,16
12:57,2643,Foul on Leandro Allende.,9,16
12:53,-1,Jamvis Ponder missed Three Point Jumper.,9,16
12:53,2643,Leandro Allende Defensive Rebound.,9,16
12:42,2643,Rob Johnson Turnover.,9,16
12:41,-1,Tyonn Stuckey Steal.,9,16
12:39,-1,Tyonn Stuckey made Jumper.,11,16
12:22,2643,Alex Reed missed Three Point Jumper.,11,16
12:22,-1,Tyonn Stuckey Defensive Rebound.,11,16
12:12,-1,Tyonn Stuckey made Jumper.,13,16
12:00,2643,Rob Johnson missed Three Point Jumper.,13,16
12:00,-1,Xavier Johnson Defensive Rebound.,13,16
11:54,-1,Jamvis Ponder Turnover.,13,16
11:54,-1,Foul on Jamvis Ponder.,13,16
11:54,2643,Official TV Timeout,13,16
11:45,2643,Matt Frierson missed Layup.,13,16
11:45,-1,Chuka Okeke Defensive Rebound.,13,16
11:29,-1,Tyonn Stuckey missed Three Point Jumper.,13,16
11:29,2643,Quayson Williams Defensive Rebound.,13,16
11:22,2643,Matt Frierson missed Three Point Jumper.,13,16
11:22,-1,Point University Defensive Rebound.,13,16
10:51,-1,Xavier Johnson Turnover.,13,16
10:50,2643,Kaiden Rice Steal.,13,16
10:42,2643,Quayson Williams made Layup.,13,18
10:11,-1,Xavier Johnson Turnover.,13,18
10:11,-1,Foul on Xavier Johnson.,13,18
10:01,2643,Hayden Brown made Layup.,13,20
9:34,-1,Xavier Johnson Turnover.,13,20
9:34,2643,Hayden Brown Steal.,13,20
9:30,2643,Hayden Brown Turnover.,13,20
9:28,-1,Tyonn Stuckey Steal.,13,20
9:26,-1,Jamvis Ponder made Three Point Jumper. Assisted by Tyonn Stuckey.,16,20
9:15,2643,Derek Webster Jr. made Layup. Assisted by Hayden Brown.,16,22
9:00,-1,B.J. Brown missed Three Point Jumper.,16,22
9:00,2643,Derek Webster Jr. Defensive Rebound.,16,22
8:52,2643,Kaiden Rice made Three Point Jumper. Assisted by Matt Frierson.,16,25
8:50,-1,Point University  Timeout,16,25
8:31,2643,Foul on Hayden Brown.,16,25
8:31,-1,Lawrence Castor missed Free Throw.,16,25
8:31,2643,Hayden Brown Defensive Rebound.,16,25
8:24,2643,Leandro Allende Turnover.,16,25
8:24,2643,Foul on Leandro Allende.,16,25
8:17,-1,Taboris Griggs missed Three Point Jumper.,16,25
8:17,2643,Matt Frierson Defensive Rebound.,16,25
8:03,2643,Tariq Simmons missed Three Point Jumper.,16,25
8:03,2643,Kaelon Harris Offensive Rebound.,16,25
7:59,2643,Kaelon Harris made Layup.,16,27
7:39,-1,B.J. Brown Turnover.,16,27
7:38,2643,Kaelon Harris Steal.,16,27
7:35,-1,Foul on B.J. Brown.,16,27
7:35,2643,Official TV Timeout,16,27
7:35,2643,Frankie Johnson missed Free Throw.,16,27
7:35,2643,The Citadel Deadball Team Rebound.,16,27
7:35,2643,Frankie Johnson missed Free Throw.,16,27
7:35,-1,Lawrence Castor Defensive Rebound.,16,27
7:25,-1,Jamvis Ponder missed Jumper.,16,27
7:25,2643,Leandro Allende Defensive Rebound.,16,27
7:17,2643,Alex Reed missed Three Point Jumper.,16,27
7:17,2643,Leandro Allende Offensive Rebound.,16,27
7:09,2643,Tariq Simmons made Three Point Jumper. Assisted by Kaelon Harris.,16,30
6:59,-1,Xavier Johnson Turnover.,16,30
6:58,2643,Tariq Simmons Steal.,16,30
6:53,2643,Alex Reed made Three Point Jumper. Assisted by Frankie Johnson.,16,33
6:33,-1,Xavier Johnson made Jumper.,18,33
6:22,2643,Kaelon Harris made Layup.,18,35
6:09,-1,Xavier Johnson missed Layup.,18,35
6:09,2643,Tariq Simmons Defensive Rebound.,18,35
6:03,2643,Kaelon Harris missed Layup.,18,35
6:03,2643,Leandro Allende Offensive Rebound.,18,35
5:57,2643,Alex Reed made Three Point Jumper. Assisted by Kaelon Harris.,18,38
5:42,-1,Tyonn Stuckey missed Three Point Jumper.,18,38
5:42,-1,Xavier Johnson Offensive Rebound.,18,38
5:28,-1,Lawrence Castor missed Jumper.,18,38
5:28,2643,Tariq Simmons Defensive Rebound.,18,38
5:14,2643,Kaelon Harris Turnover.,18,38
4:44,-1,Point University  Turnover.,18,38
4:33,2643,Rob Johnson made Layup. Assisted by Matt Frierson.,18,40
4:18,-1,Taboris Griggs missed Three Point Jumper.,18,40
4:18,2643,Derek Webster Jr. Defensive Rebound.,18,40
4:16,-1,Foul on Jay Shorts.,18,40
4:16,2643,Derek Webster Jr. made Free Throw.,18,41
4:16,2643,Derek Webster Jr. made Free Throw.,18,42
4:10,-1,Hakeem Winters Turnover.,18,42
4:09,2643,Matt Frierson Steal.,18,42
4:01,2643,Kaiden Rice made Layup.,18,44
3:42,-1,Hakeem Winters made Layup. Assisted by Tyonn Stuckey.,20,44
3:34,2643,Kaiden Rice missed Three Point Jumper.,20,44
3:34,-1,Taboris Griggs Defensive Rebound.,20,44
3:27,-1,Jay Shorts missed Three Point Jumper.,20,44
3:27,2643,Derek Webster Jr. Defensive Rebound.,20,44
3:19,2643,Rob Johnson made Layup. Assisted by Quayson Williams.,20,46
3:03,-1,Jay Shorts missed Three Point Jumper.,20,46
3:03,2643,Rob Johnson Defensive Rebound.,20,46
2:52,2643,Quayson Williams made Layup.,20,48
2:52,-1,Foul on Hakeem Winters.,20,48
2:52,2643,Official TV Timeout,20,48
2:52,2643,Quayson Williams made Free Throw.,20,49
2:45,-1,Hakeem Winters Turnover.,20,49
2:39,-1,Foul on B.J. Brown.,20,49
2:39,2643,Kaelon Harris made Free Throw.,20,50
2:39,2643,Kaelon Harris missed Free Throw.,20,50
2:39,-1,Brent Gaither Defensive Rebound.,20,50
2:30,2643,Foul on Hayden Brown.,20,50
2:30,-1,Jay Shorts missed Free Throw.,20,50
2:30,2643,Kaelon Harris Defensive Rebound.,20,50
2:15,2643,Hayden Brown missed Three Point Jumper.,20,50
2:15,-1,Tyonn Stuckey Block.,20,50
2:13,-1,Brent Gaither Defensive Rebound.,20,50
2:06,-1,B.J. Brown made Layup. Assisted by Tyonn Stuckey.,22,50
1:58,2643,Tariq Simmons made Layup.,22,52
1:44,-1,Tyonn Stuckey made Jumper.,24,52
1:27,2643,Frankie Johnson missed Layup.,24,52
1:27,-1,Jay Shorts Defensive Rebound.,24,52
1:01,-1,Tyonn Stuckey made Jumper.,26,52
0:52,2643,Tariq Simmons Turnover.,26,52
0:51,-1,B.J. Brown Steal.,26,52
0:48,-1,B.J. Brown missed Layup.,26,52
0:48,2643,Kaelon Harris Block.,26,52
0:46,-1,Point University Offensive Rebound.,26,52
0:44,-1,Hakeem Winters made Jumper.,28,52
0:34,2643,Derek Webster Jr. missed Layup.,28,52
0:34,-1,Brent Gaither Defensive Rebound.,28,52
0:25,-1,Tyonn Stuckey missed Jumper.,28,52
0:25,-1,Hakeem Winters Offensive Rebound.,28,52
0:19,-1,B.J. Brown made Jumper. Assisted by Tyonn Stuckey.,30,52
0:19,2643,Foul on Leandro Allende.,30,52
0:19,-1,B.J. Brown missed Free Throw.,30,52
0:19,2643,Quayson Williams Defensive Rebound.,30,52
0:03,2643,Leandro Allende made Layup.,30,54
0:03,-1,Foul on Brent Gaither.,30,54
0:03,2643,Leandro Allende missed Free Throw.,30,54
0:03,-1,Jay Shorts Defensive Rebound.,30,54
0:00,2643,End of 1st half,31,54
19:35,2643,Rob Johnson made Jumper. Assisted by Kaelon Harris.,30,56
19:12,-1,Lawrence Castor made Layup.,32,56
19:03,-1,Foul on B.J. Brown.,32,56
19:00,2643,Alex Reed made Three Point Jumper. Assisted by Rob Johnson.,32,59
18:49,-1,B.J. Brown Turnover.,32,59
18:39,2643,Alex Reed missed Three Point Jumper.,32,59
18:39,-1,Lawrence Castor Defensive Rebound.,32,59
18:21,-1,Brent Gaither missed Layup.,32,59
18:21,2643,Rob Johnson Defensive Rebound.,32,59
18:11,2643,Tariq Simmons missed Three Point Jumper.,32,59
18:11,-1,Lawrence Castor Defensive Rebound.,32,59
18:01,2643,Foul on Tariq Simmons.,32,59
18:00,-1,Tyonn Stuckey missed Layup.,32,59
18:00,2643,Rob Johnson Defensive Rebound.,32,59
17:49,2643,Tariq Simmons made Layup.,32,61
17:28,-1,Brent Gaither made Three Point Jumper. Assisted by Xavier Johnson.,35,61
17:08,2643,Matt Frierson missed Three Point Jumper.,35,61
17:08,2643,Kaelon Harris Offensive Rebound.,35,61
17:04,-1,Foul on Tyonn Stuckey.,35,61
17:04,-1,Foul on Hakeem Winters.,35,61
16:59,2643,Matt Frierson missed Three Point Jumper.,35,61
16:59,-1,Brent Gaither Defensive Rebound.,35,61
16:50,-1,Brent Gaither missed Jumper.,35,61
16:50,2643,Kaelon Harris Defensive Rebound.,35,61
16:41,-1,Foul on Xavier Johnson.,35,61
16:41,2643,Hayden Brown made Free Throw.,35,62
16:41,2643,Hayden Brown made Free Throw.,35,63
16:37,2643,Foul on Matt Frierson.,35,63
16:18,-1,Hakeem Winters made Layup. Assisted by Tyonn Stuckey.,37,63
16:07,2643,Matt Frierson Turnover.,37,63
16:06,-1,Brent Gaither Steal.,37,63
16:03,-1,Tyonn Stuckey made Layup.,39,63
15:48,2643,Hayden Brown missed Layup.,39,63
15:48,-1,Hakeem Winters Defensive Rebound.,39,63
15:36,-1,Tyonn Stuckey made Three Point Jumper. Assisted by Brent Gaither.,42,63
15:25,-1,Foul on Hakeem Winters.,42,63
15:25,2643,Official TV Timeout,42,63
15:04,2643,Tariq Simmons missed Three Point Jumper.,42,63
15:04,2643,Alex Reed Offensive Rebound.,42,63
14:58,-1,Foul on Brent Gaither.,42,63
14:53,2643,Hayden Brown missed Layup.,42,63
14:53,-1,Point University Defensive Rebound.,42,63
14:44,2643,Foul on Hayden Brown.,42,63
14:44,-1,Lawrence Castor missed Free Throw.,42,63
14:44,-1,Point University Deadball Team Rebound.,42,63
14:44,-1,Lawrence Castor made Free Throw.,43,63
14:34,2643,Tariq Simmons Turnover.,43,63
14:07,-1,Hakeem Winters Turnover.,43,63
13:54,2643,Rob Johnson missed Layup.,43,63
13:54,-1,Hakeem Winters Block.,43,63
13:53,2643,Rob Johnson Offensive Rebound.,43,63
13:52,-1,Foul on Hakeem Winters.,43,63
13:52,2643,Rob Johnson made Free Throw.,43,64
13:52,2643,Rob Johnson made Free Throw.,43,65
13:51,-1,Tyonn Stuckey Turnover.,43,65
13:50,2643,Derek Webster Jr. Steal.,43,65
13:47,2643,Frankie Johnson made Layup. Assisted by Rob Johnson.,43,67
13:35,-1,Tyonn Stuckey made Layup.,45,67
13:13,2643,Kaelon Harris missed Jumper.,45,67
13:13,-1,Tyonn Stuckey Defensive Rebound.,45,67
13:06,-1,Xavier Johnson Turnover.,45,67
13:05,2643,Matt Frierson Steal.,45,67
13:01,2643,Matt Frierson made Three Point Jumper.,45,70
12:39,-1,Xavier Johnson Turnover.,45,70
12:32,2643,Matt Frierson Turnover.,45,70
12:31,-1,Tyonn Stuckey Steal.,45,70
12:28,-1,Tyonn Stuckey made Layup.,47,70
12:22,2643,Matt Frierson missed Three Point Jumper.,47,70
12:22,-1,Taboris Griggs Defensive Rebound.,47,70
12:12,-1,Taboris Griggs missed Three Point Jumper.,47,70
12:12,2643,Frankie Johnson Defensive Rebound.,47,70
12:06,-1,Foul on Tyonn Stuckey.,47,70
12:06,2643,Frankie Johnson made Free Throw.,47,71
12:06,2643,Frankie Johnson made Free Throw.,47,72
11:53,-1,Taboris Griggs missed Three Point Jumper.,47,72
11:53,-1,Chuka Okeke Offensive Rebound.,47,72
11:50,2643,Foul on Leandro Allende.,47,72
11:26,-1,Jamvis Ponder missed Jumper.,47,72
11:26,-1,B.J. Brown Offensive Rebound.,47,72
11:22,-1,B.J. Brown missed Jumper.,47,72
11:22,2643,Frankie Johnson Defensive Rebound.,47,72
11:15,2643,Kaiden Rice missed Jumper.,47,72
11:15,-1,Taboris Griggs Defensive Rebound.,47,72
11:05,-1,Chuka Okeke made Layup.,49,72
10:52,2643,Alex Reed missed Three Point Jumper.,49,72
10:52,2643,Matt Frierson Offensive Rebound.,49,72
10:47,-1,Foul on Chuka Okeke.,49,72
10:47,2643,Alex Reed made Free Throw.,49,73
10:47,2643,Alex Reed made Free Throw.,49,74
10:40,-1,B.J. Brown Turnover.,49,74
10:40,2643,Matt Frierson Steal.,49,74
10:38,2643,Matt Frierson missed Three Point Jumper.,49,74
10:38,-1,Brent Gaither Defensive Rebound.,49,74
10:24,-1,B.J. Brown made Jumper. Assisted by B.J. Brown.,51,74
10:16,2643,Quayson Williams Turnover.,51,74
10:16,-1,Hakeem Winters Steal.,51,74
10:13,-1,Hakeem Winters Turnover.,51,74
10:12,2643,Alex Reed Steal.,51,74
10:09,2643,Alex Reed missed Layup.,51,74
10:09,-1,Brent Gaither Defensive Rebound.,51,74
9:58,-1,Xavier Johnson made Three Point Jumper. Assisted by Brent Gaither.,54,74
9:46,2643,Matt Frierson missed Three Point Jumper.,54,74
9:46,-1,Tyonn Stuckey Defensive Rebound.,54,74
9:39,-1,Tyonn Stuckey made Layup.,56,74
9:26,2643,Quayson Williams missed Layup.,56,74
9:26,-1,Lawrence Castor Block.,56,74
9:23,-1,Lawrence Castor Defensive Rebound.,56,74
9:17,-1,Xavier Johnson Turnover.,56,74
9:15,2643,Matt Frierson Steal.,56,74
9:08,2643,Tariq Simmons made Layup.,56,76
8:51,-1,Xavier Johnson Turnover.,56,76
8:39,2643,Tariq Simmons made Three Point Jumper. Assisted by Quayson Williams.,56,79
8:17,-1,Xavier Johnson missed Three Point Jumper.,56,79
8:17,2643,Derek Webster Jr. Defensive Rebound.,56,79
8:07,2643,Quayson Williams made Three Point Jumper. Assisted by Tariq Simmons.,56,82
7:56,-1,Tyonn Stuckey Turnover.,56,82
7:56,2643,Official TV Timeout,56,82
7:46,2643,Quayson Williams made Three Point Jumper. Assisted by Tariq Simmons.,56,85
7:17,-1,Lawrence Castor made Layup.,58,85
7:04,2643,Leandro Allende missed Three Point Jumper.,58,85
7:04,2643,Derek Webster Jr. Offensive Rebound.,58,85
6:58,2643,Derek Webster Jr. missed Two Point Tip Shot.,58,85
6:58,-1,Taboris Griggs Defensive Rebound.,58,85
6:50,-1,Lawrence Castor missed Jumper.,58,85
6:50,2643,Leandro Allende Defensive Rebound.,58,85
6:29,2643,Quayson Williams missed Three Point Jumper.,58,85
6:29,-1,Lawrence Castor Defensive Rebound.,58,85
6:15,-1,Tyonn Stuckey Turnover.,58,85
6:15,2643,Kaelon Harris Steal.,58,85
6:11,2643,Tariq Simmons made Layup. Assisted by Kaelon Harris.,58,87
5:55,2643,Foul on Derek Webster Jr..,58,87
5:55,-1,Lawrence Castor missed Free Throw.,58,87
5:55,-1,Point University Deadball Team Rebound.,58,87
5:55,-1,Lawrence Castor missed Free Throw.,58,87
5:55,2643,Derek Webster Jr. Defensive Rebound.,58,87
5:46,2643,Quayson Williams missed Three Point Jumper.,58,87
5:46,2643,Leandro Allende Offensive Rebound.,58,87
5:41,-1,Foul on Lawrence Castor.,58,87
5:41,2643,Leandro Allende made Free Throw.,58,88
5:41,2643,Leandro Allende made Free Throw.,58,89
5:30,-1,Hakeem Winters missed Three Point Jumper.,58,89
5:30,2643,Leandro Allende Defensive Rebound.,58,89
5:07,2643,Matt Frierson made Three Point Jumper. Assisted by Leandro Allende.,58,92
4:43,-1,Chuka Okeke missed Jumper.,58,92
4:43,2643,Derek Webster Jr. Block.,58,92
4:40,-1,Point University Offensive Rebound.,58,92
4:28,-1,Point University  Turnover.,58,92
4:16,2643,Derek Webster Jr. made Layup. Assisted by Hayden Brown.,58,94
4:16,-1,Foul on Hakeem Winters.,58,94
4:16,2643,Derek Webster Jr. made Free Throw.,58,95
4:12,-1,Taboris Griggs Turnover.,58,95
4:12,-1,Foul on Taboris Griggs.,58,95
3:52,2643,Matt Frierson missed Three Point Jumper.,58,95
3:52,2643,Alex Reed Offensive Rebound.,58,95
3:48,2643,Alex Reed made Layup.,58,97
3:35,-1,Chuka Okeke missed Jumper.,58,97
3:35,2643,Derek Webster Jr. Defensive Rebound.,58,97
3:21,2643,Kaiden Rice missed Three Point Jumper.,58,97
3:21,2643,Derek Webster Jr. Offensive Rebound.,58,97
3:18,2643,Derek Webster Jr. made Layup.,58,99
3:00,-1,Chuka Okeke made Jumper. Assisted by Taboris Griggs.,60,99
2:51,2643,Derek Webster Jr. Turnover.,60,99
2:51,2643,Official TV Timeout,60,99
2:44,-1,Kobe Robinson Turnover.,60,99
2:43,2643,Alex Reed Steal.,60,99
2:38,2643,Hayden Brown made Dunk. Assisted by Quayson Williams.,60,101
2:24,-1,Kobe Robinson Turnover.,60,101
2:23,2643,Hayden Brown Steal.,60,101
2:20,2643,Hayden Brown made Layup.,60,103
2:20,-1,Foul on Kobe Robinson.,60,103
2:20,2643,Hayden Brown made Free Throw.,60,104
2:09,-1,Chuka Okeke made Layup. Assisted by Chris Tyler.,62,104
1:48,2643,Kaiden Rice missed Three Point Jumper.,62,104
1:48,-1,Jay Shorts Defensive Rebound.,62,104
1:39,-1,Taboris Griggs missed Three Point Jumper.,62,104
1:39,-1,Jay Shorts Offensive Rebound.,62,104
1:33,-1,Jay Shorts missed Layup.,62,104
1:33,2643,Alex Reed Block.,62,104
1:33,-1,Point University Offensive Rebound.,62,104
1:30,-1,Chris Tyler missed Three Point Jumper.,62,104
1:30,2643,Quayson Williams Defensive Rebound.,62,104
1:23,2643,Kaiden Rice made Layup. Assisted by Quayson Williams.,62,106
1:09,2643,Foul on Derek Webster Jr..,62,106
1:09,-1,Chuka Okeke made Free Throw.,63,106
1:09,-1,Chuka Okeke made Free Throw.,64,106
1:08,-1,Foul on Kobe Robinson.,64,106
1:08,2643,Quayson Williams made Free Throw.,64,107
1:08,2643,Quayson Williams made Free Throw.,64,108
1:01,-1,Chuka Okeke missed Jumper.,64,108
1:01,2643,Kaiden Rice Defensive Rebound.,64,108
0:51,2643,Derek Webster Jr. missed Layup.,64,108
0:51,-1,Chuka Okeke Defensive Rebound.,64,108
0:43,-1,Taboris Griggs missed Three Point Jumper.,64,108
0:43,2643,Alex Reed Defensive Rebound.,64,108
0:34,2643,Kaiden Rice missed Three Point Jumper.,64,108
0:34,2643,Derek Webster Jr. Offensive Rebound.,64,108
0:31,2643,Derek Webster Jr. made Layup.,64,110
0:26,-1,Kobe Robinson made Jumper.,66,110
0:00,2643,End of Game,66,110
