Stephen F. Austin,99,LSU,2617
6:06,2617,John Comeaux missed Three Point Jumper.,27,33
6:06,99,Skylar Mays Defensive Rebound.,27,33
5:59,99,Wayde Sims made Layup. Assisted by Skylar Mays.,27,35
5:59,2617,Foul on John Comeaux.,27,35
5:59,2617,Stephen F. Austin  Timeout,27,35
5:59,99,Wayde Sims made Free Throw.,27,36
5:43,2617,Kevon Harris made Jumper.,29,36
5:31,99,Wayde Sims missed Three Point Jumper.,29,36
5:31,2617,Kevon Harris Defensive Rebound.,29,36
5:19,2617,Kevon Harris made Three Point Jumper.,32,36
4:59,2617,Foul on Samuli Nieminen.,32,36
4:59,99,Aaron Epps made Free Throw.,32,37
4:59,99,Aaron Epps made Free Throw.,32,38
4:39,2617,Shannon Bogues made Jumper.,34,38
4:06,99,Randy Onwuasor missed Jumper.,34,38
4:06,2617,Kevon Harris Defensive Rebound.,34,38
3:49,2617,Kevon Harris made Three Point Jumper. Assisted by Aaron Augustin.,37,38
3:27,99,Tremont Waters missed Three Point Jumper.,37,38
3:27,2617,Shannon Bogues Defensive Rebound.,37,38
3:20,99,Foul on Wayde Sims.,37,38
3:20,99,Official TV Timeout,37,38
3:20,2617,Ty Charles made Free Throw.,38,38
3:20,2617,Ty Charles made Free Throw.,39,38
2:55,99,Brandon Rachal missed Jumper.,39,38
2:55,99,Brandon Rachal Offensive Rebound.,39,38
2:38,2617,Foul on TJ Holyfield.,39,38
2:38,99,Tremont Waters made Free Throw.,39,39
2:38,99,Tremont Waters made Free Throw.,39,40
2:20,2617,Kevon Harris made Three Point Jumper.,42,40
2:03,99,Brandon Rachal missed Three Point Jumper.,42,40
2:03,99,Skylar Mays Offensive Rebound.,42,40
1:58,99,Skylar Mays made Layup.,42,42
1:58,2617,Foul on Samuli Nieminen.,42,42
1:58,99,Skylar Mays missed Free Throw.,42,42
1:58,99,Skylar Mays Offensive Rebound.,42,42
1:52,99,Tremont Waters made Layup. Assisted by Skylar Mays.,42,44
1:36,2617,Kevon Harris missed Three Point Jumper.,42,44
1:36,2617,Aaron Augustin Offensive Rebound.,42,44
1:28,2617,Ivan Canete made Three Point Jumper. Assisted by Aaron Augustin.,45,44
0:57,99,Duop Reath missed Jumper.,45,44
0:57,2617,Samuli Nieminen Defensive Rebound.,45,44
0:45,2617,Aaron Augustin missed Layup.,45,44
0:45,2617,Kevon Harris Offensive Rebound.,45,44
0:33,2617,Ty Charles made Three Point Jumper. Assisted by Ivan Canete.,48,44
0:21,99,Tremont Waters made Three Point Jumper. Assisted by Skylar Mays.,48,47
0:01,2617,Shannon Bogues missed Layup.,48,47
0:01,99,Aaron Epps Defensive Rebound.,48,47
0:00,99,End of 1st half,48,47
19:45,2617,Leon Gilmore III missed Jumper.,48,47
19:45,99,Wayde Sims Defensive Rebound.,48,47
19:31,99,Aaron Epps made Three Point Jumper. Assisted by Tremont Waters.,48,50
19:00,2617,Aaron Augustin missed Jumper.,48,50
19:00,99,Aaron Epps Defensive Rebound.,48,50
18:53,99,Skylar Mays made Layup.,48,52
18:22,2617,Shannon Bogues missed Three Point Jumper.,48,52
18:22,99,Aaron Epps Defensive Rebound.,48,52
17:57,99,Tremont Waters missed Three Point Jumper.,48,52
17:57,2617,Leon Gilmore III Defensive Rebound.,48,52
17:48,2617,Leon Gilmore III Turnover.,48,52
17:48,2617,Stephen F. Austin  Timeout,48,52
17:38,2617,Foul on Leon Gilmore III.,48,52
17:38,99,Aaron Epps made Free Throw.,48,53
17:38,99,Aaron Epps made Free Throw.,48,54
17:26,2617,Ivan Canete Turnover.,48,54
17:12,99,Tremont Waters Turnover.,48,54
17:11,2617,Ty Charles Steal.,48,54
17:01,2617,Ivan Canete missed Three Point Jumper.,48,54
17:01,99,Aaron Epps Defensive Rebound.,48,54
16:53,99,Skylar Mays Turnover.,48,54
16:53,99,Foul on Skylar Mays.,48,54
16:41,2617,TJ Holyfield Turnover.,48,54
16:41,99,Skylar Mays Steal.,48,54
16:25,99,Skylar Mays Turnover.,48,54
16:25,99,Foul on Skylar Mays.,48,54
16:11,2617,Ivan Canete missed Layup.,48,54
16:11,99,Aaron Epps Defensive Rebound.,48,54
15:56,99,Tremont Waters missed Layup.,48,54
15:56,2617,Leon Gilmore III Defensive Rebound.,48,54
15:46,2617,Leon Gilmore III missed Three Point Jumper.,48,54
15:46,99,Tremont Waters Defensive Rebound.,48,54
15:37,99,Aaron Epps missed Jumper.,48,54
15:37,2617,John Comeaux Defensive Rebound.,48,54
15:30,2617,Ty Charles missed Three Point Jumper.,48,54
15:30,99,Randy Onwuasor Defensive Rebound.,48,54
15:13,2617,Foul on Ivan Canete.,48,54
15:13,99,Official TV Timeout,48,54
15:07,99,Duop Reath Turnover.,48,54
14:59,2617,Leon Gilmore III Steal.,48,54
14:56,2617,Aaron Augustin made Layup.,50,54
14:47,99,Daryl Edwards made Three Point Jumper. Assisted by Tremont Waters.,50,57
14:33,2617,Leon Gilmore III made Jumper.,52,57
14:16,2617,Foul on Ty Charles.,52,57
14:01,99,Tremont Waters missed Layup.,52,57
14:01,2617,Leon Gilmore III Defensive Rebound.,52,57
13:46,2617,TJ Holyfield made Layup. Assisted by Aaron Augustin.,54,57
13:30,99,Aaron Epps missed Three Point Jumper.,54,57
13:30,2617,Ty Charles Defensive Rebound.,54,57
13:22,2617,Aaron Augustin missed Jumper.,54,57
13:22,99,Daryl Edwards Defensive Rebound.,54,57
13:15,2617,Foul on TJ Holyfield.,54,57
13:15,99,Daryl Edwards made Free Throw.,54,58
13:15,99,Daryl Edwards made Free Throw.,54,59
12:55,2617,Aaron Augustin made Three Point Jumper. Assisted by TJ Holyfield.,57,59
12:31,2617,Foul on Nathan Bain.,57,59
12:31,99,Brandon Rachal made Free Throw.,57,60
12:31,99,Brandon Rachal made Free Throw.,57,61
12:09,2617,Aaron Augustin made Three Point Jumper. Assisted by Shannon Bogues.,60,61
11:53,2617,Foul on Aaron Augustin.,60,61
11:53,99,Official TV Timeout,60,61
11:33,99,Daryl Edwards missed Three Point Jumper.,60,61
11:33,99,Daryl Edwards Offensive Rebound.,60,61
11:27,99,Skylar Mays missed Three Point Jumper.,60,61
11:27,99,Aaron Epps Offensive Rebound.,60,61
11:24,99,Aaron Epps missed Jumper.,60,61
11:24,2617,Aaron Augustin Defensive Rebound.,60,61
11:05,2617,Ty Charles missed Jumper.,60,61
11:05,99,Skylar Mays Block.,60,61
11:04,99,Tremont Waters Defensive Rebound.,60,61
10:56,99,Brandon Rachal made Jumper. Assisted by Skylar Mays.,60,63
10:31,2617,Samuli Nieminen made Layup. Assisted by Ty Charles.,62,63
10:31,99,Foul on Brandon Rachal.,62,63
10:31,2617,Samuli Nieminen made Free Throw.,63,63
10:14,99,Skylar Mays Turnover.,63,63
9:58,2617,Shannon Bogues Turnover.,63,63
9:57,99,Tremont Waters Steal.,63,63
9:54,99,Skylar Mays missed Layup.,63,63
9:54,99,Aaron Epps Offensive Rebound.,63,63
9:52,99,Aaron Epps missed Layup.,63,63
9:52,2617,Leon Gilmore III Defensive Rebound.,63,63
9:50,2617,Leon Gilmore III Turnover.,63,63
9:50,2617,Foul on Leon Gilmore III.,63,63
9:40,99,Aaron Epps made Dunk. Assisted by Tremont Waters.,63,65
9:28,99,Foul on Daryl Edwards.,63,65
9:28,2617,Samuli Nieminen made Free Throw.,64,65
9:28,2617,Samuli Nieminen made Free Throw.,65,65
9:14,99,Tremont Waters Turnover.,65,65
9:13,2617,TJ Holyfield Steal.,65,65
9:08,2617,John Comeaux missed Layup.,65,65
9:08,2617,John Comeaux Offensive Rebound.,65,65
9:06,99,Foul on Wayde Sims.,65,65
9:01,2617,TJ Holyfield Turnover.,65,65
8:46,99,Tremont Waters made Three Point Jumper.,65,68
8:30,99,Foul on Tremont Waters.,65,68
8:28,2617,Ivan Canete made Three Point Jumper. Assisted by John Comeaux.,68,68
8:06,99,Tremont Waters missed Three Point Jumper.,68,68
8:06,2617,TJ Holyfield Defensive Rebound.,68,68
7:54,2617,Shannon Bogues made Layup.,70,68
7:43,99,Tremont Waters Turnover.,70,68
7:42,2617,John Comeaux Steal.,70,68
7:38,2617,TJ Holyfield Turnover.,70,68
7:38,99,Duop Reath Steal.,70,68
7:36,2617,Foul on Shannon Bogues.,70,68
7:36,99,Official TV Timeout,70,68
7:36,99,Tremont Waters made Free Throw.,70,69
7:36,99,Tremont Waters made Free Throw.,70,70
7:21,2617,Aaron Augustin missed Three Point Jumper.,70,70
7:21,99,Aaron Epps Defensive Rebound.,70,70
7:12,99,Daryl Edwards missed Three Point Jumper.,70,70
7:12,99,Aaron Epps Offensive Rebound.,70,70
7:09,99,Aaron Epps missed Layup.,70,70
7:09,2617,Samuli Nieminen Defensive Rebound.,70,70
6:52,2617,TJ Holyfield missed Three Point Jumper.,70,70
6:52,99,Tremont Waters Defensive Rebound.,70,70
6:46,2617,Foul on Ivan Canete.,70,70
6:46,99,Daryl Edwards made Free Throw.,70,71
6:46,99,Daryl Edwards made Free Throw.,70,72
6:38,2617,Ivan Canete made Jumper.,72,72
6:20,99,Tremont Waters missed Three Point Jumper.,72,72
6:20,2617,Leon Gilmore III Defensive Rebound.,72,72
6:13,2617,Ivan Canete Turnover.,72,72
6:12,99,Tremont Waters Steal.,72,72
6:09,99,Duop Reath made Dunk. Assisted by Skylar Mays.,72,74
5:43,2617,Shannon Bogues Turnover.,72,74
5:43,99,Daryl Edwards Steal.,72,74
5:32,2617,Foul on Aaron Augustin.,72,74
5:32,99,Tremont Waters missed Free Throw.,72,74
5:32,99,LSU Deadball Team Rebound.,72,74
5:32,99,Tremont Waters made Free Throw.,72,75
5:13,2617,Aaron Augustin Turnover.,72,75
5:13,99,Tremont Waters Steal.,72,75
5:01,99,Aaron Epps missed Three Point Jumper.,72,75
5:01,2617,Ty Charles Defensive Rebound.,72,75
4:42,99,Foul on Daryl Edwards.,72,75
4:42,2617,Shannon Bogues made Free Throw.,73,75
4:42,2617,Shannon Bogues made Free Throw.,74,75
4:29,99,Tremont Waters Turnover.,74,75
4:29,2617,TJ Holyfield Steal.,74,75
4:13,99,Foul on Duop Reath.,74,75
4:13,2617,Leon Gilmore III missed Free Throw.,74,75
4:13,2617,Stephen F. Austin Deadball Team Rebound.,74,75
4:13,2617,Leon Gilmore III missed Free Throw.,74,75
4:13,99,Duop Reath Defensive Rebound.,74,75
4:05,99,Aaron Epps Turnover.,74,75
4:05,99,Foul on Aaron Epps.,74,75
3:46,2617,TJ Holyfield missed Dunk.,74,75
3:46,99,Tremont Waters Defensive Rebound.,74,75
3:41,2617,Foul on Leon Gilmore III.,74,75
3:41,99,Official TV Timeout,74,75
3:41,99,Tremont Waters missed Free Throw.,74,75
3:41,99,LSU Deadball Team Rebound.,74,75
3:41,99,Tremont Waters made Free Throw.,74,76
3:24,2617,Ty Charles made Layup. Assisted by TJ Holyfield.,76,76
3:04,2617,Foul on TJ Holyfield.,76,76
3:04,99,Brandon Rachal made Free Throw.,76,77
3:04,99,Brandon Rachal missed Free Throw.,76,77
3:04,2617,Ty Charles Defensive Rebound.,76,77
2:48,2617,TJ Holyfield Turnover.,76,77
2:17,99,Daryl Edwards Turnover.,76,77
2:03,2617,Ty Charles missed Layup.,76,77
2:03,99,Aaron Epps Defensive Rebound.,76,77
1:45,99,Skylar Mays Turnover.,76,77
1:45,99,Foul on Skylar Mays.,76,77
1:42,2617,Stephen F. Austin  Timeout,76,77
1:32,2617,Ivan Canete made Layup.,78,77
1:20,99,Tremont Waters Turnover.,78,77
1:19,2617,Aaron Augustin Steal.,78,77
1:03,2617,TJ Holyfield Turnover.,78,77
1:02,99,Tremont Waters Steal.,78,77
1:01,2617,Foul on TJ Holyfield.,78,77
1:01,99,Tremont Waters made Free Throw.,78,78
1:01,99,Tremont Waters made Free Throw.,78,79
1:01,99,LSU  Timeout,78,79
0:40,2617,Ty Charles missed Jumper.,78,79
0:40,2617,Shannon Bogues Offensive Rebound.,78,79
0:31,2617,Ivan Canete made Three Point Jumper. Assisted by Aaron Augustin.,81,79
0:18,99,Tremont Waters made Three Point Jumper.,81,82
0:04,2617,Ivan Canete made Layup. Assisted by Aaron Augustin.,83,82
0:01,99,Aaron Epps missed Layup.,83,82
0:01,2617,Ivan Canete Defensive Rebound.,83,82
0:00,99,End of Game,83,82
