Winthrop,2011,Alabama State,2737
10:20,2737,Winthrop Offensive Rebound.,9,15
10:20,2011,Tobi Ewuosho made Three Point Jumper. Assisted by Jacoby Ross.,9,18
10:18,2737,Josh Ferguson made Dunk. Assisted by Xavier Cooks.,11,18
10:08,2011,Reginald Gee missed Jumper.,11,18
10:08,2737,Xavier Cooks Defensive Rebound.,11,18
10:04,2737,Winthrop  Turnover.,11,18
9:30,2011,Jacoby Ross missed Three Point Jumper.,11,18
9:30,2737,Xavier Cooks Defensive Rebound.,11,18
9:25,2737,Anders Broman made Three Point Jumper. Assisted by Nych Smith.,14,18
9:06,2011,Tobi Ewuosho Turnover.,14,18
9:04,2737,Nych Smith Steal.,14,18
9:02,2011,Foul on Tobi Ewuosho.,14,18
9:02,2737,Anders Broman made Free Throw.,15,18
9:02,2737,Anders Broman made Free Throw.,16,18
9:02,2737,Foul on Xavier Cooks.,16,18
8:20,2011,Tobi Ewuosho missed Three Point Jumper.,16,18
8:20,2011,Reginald Gee Offensive Rebound.,16,18
8:14,2737,Foul on Anders Broman.,16,18
8:14,2011,Reginald Gee made Free Throw.,16,19
8:14,2011,Reginald Gee made Free Throw.,16,20
8:11,2737,Anders Broman missed Three Point Jumper.,16,20
8:11,2011,Tobi Ewuosho Defensive Rebound.,16,20
7:58,2737,Foul on Josh Ferguson.,16,20
7:55,2011,Alabama State  Timeout,16,20
7:55,2011,Reginald Gee made Free Throw.,16,21
7:55,2011,Reginald Gee made Free Throw.,16,22
7:44,2737,Kyle Zunic Turnover.,16,22
7:17,2011,Gene Davis made Jumper.,16,24
7:11,2737,Kyle Zunic made Three Point Jumper. Assisted by Nych Smith.,19,24
6:52,2011,Branden Johnson made Layup. Assisted by Jacoby Ross.,19,26
6:52,2737,Foul on Anders Broman.,19,26
6:52,2011,Branden Johnson made Free Throw.,19,27
6:40,2737,Xavier Cooks missed Layup.,19,27
6:40,2011,Gene Davis Defensive Rebound.,19,27
6:29,2011,Jacoby Ross missed Layup.,19,27
6:29,2737,Adam Pickett Block.,19,27
6:29,2011,Alabama State Offensive Rebound.,19,27
6:18,2011,Branden Johnson Turnover.,19,27
6:15,2737,Xavier Cooks Steal.,19,27
6:15,2737,Nych Smith missed Layup.,19,27
6:15,2011,Tobi Ewuosho Block.,19,27
6:15,2737,Winthrop Offensive Rebound.,19,27
6:10,2737,Xavier Cooks missed Layup.,19,27
6:10,2011,Alabama State Defensive Rebound.,19,27
5:59,2011,Jacoby Ross made Jumper. Assisted by Reginald Gee.,19,29
5:51,2737,Nych Smith Turnover.,19,29
5:18,2011,Reginald Gee missed Jumper.,19,29
5:18,2737,Jermaine Ukaegbu Defensive Rebound.,19,29
5:09,2011,Foul on Reginald Gee.,19,29
5:09,2737,Jermaine Ukaegbu missed Free Throw.,19,29
5:09,2737,Winthrop Deadball Team Rebound.,19,29
5:09,2737,Jermaine Ukaegbu missed Free Throw.,19,29
5:09,2011,Alabama State Deadball Team Rebound.,19,29
5:09,2737,Foul on Xavier Cooks.,19,29
5:09,2011,Branden Johnson missed Free Throw.,19,29
5:09,2737,Jermaine Ukaegbu Defensive Rebound.,19,29
5:06,2737,Kyle Zunic missed Layup.,19,29
5:06,2011,Branden Johnson Block.,19,29
5:04,2737,Josh Ferguson Offensive Rebound.,19,29
4:56,2737,Josh Ferguson made Dunk.,21,29
4:52,2011,Jacoby Ross missed Three Point Jumper.,21,29
4:52,2737,Adam Pickett Defensive Rebound.,21,29
4:34,2737,Kyle Zunic missed Three Point Jumper.,21,29
4:34,2011,Tobi Ewuosho Defensive Rebound.,21,29
4:09,2011,Gene Davis Turnover.,21,29
3:37,2737,Bjorn Broman missed Three Point Jumper.,21,29
3:37,2737,Josh Ferguson Offensive Rebound.,21,29
3:32,2737,Josh Ferguson missed Layup.,21,29
3:32,2011,Fausto Pichardo Defensive Rebound.,21,29
3:18,2011,Rodney Simeon made Layup.,21,31
3:09,2737,Josh Ferguson made Dunk. Assisted by Josh Ferguson.,23,31
2:59,2011,Rodney Simeon missed Three Point Jumper.,23,31
2:59,2737,Jermaine Ukaegbu Defensive Rebound.,23,31
2:41,2737,Kyle Zunic made Three Point Jumper.,26,31
2:34,2011,Rodney Simeon missed Three Point Jumper.,26,31
2:34,2737,Jermaine Ukaegbu Defensive Rebound.,26,31
2:18,2011,Foul on Fausto Pichardo.,26,31
2:18,2737,Jermaine Ukaegbu made Free Throw.,27,31
2:18,2737,Jermaine Ukaegbu missed Free Throw.,27,31
2:18,2011,Branden Johnson Defensive Rebound.,27,31
1:57,2011,Foul on Reginald Gee.,27,31
1:56,2737,Jermaine Ukaegbu made Dunk. Assisted by Josh Ferguson.,29,31
1:37,2011,Rodney Simeon missed Three Point Jumper.,29,31
1:37,2737,Bjorn Broman Defensive Rebound.,29,31
1:24,2737,Josh Ferguson missed Jumper.,29,31
1:24,2737,Josh Ferguson Offensive Rebound.,29,31
1:18,2737,Josh Ferguson Turnover.,29,31
0:55,2011,Tobi Ewuosho made Layup.,29,33
0:55,2737,Foul on Jermaine Ukaegbu.,29,33
0:55,2011,Tobi Ewuosho missed Free Throw.,29,33
0:55,2737,Jermaine Ukaegbu Defensive Rebound.,29,33
0:51,2011,Foul on Branden Johnson.,29,33
0:41,2737,Nych Smith made Free Throw.,30,33
0:37,2737,Nych Smith made Free Throw.,31,33
0:07,2011,Terrance LeFlore made Jumper.,31,35
0:00,2737,Kyle Zunic missed Three Point Jumper.,31,35
0:00,2011,Tobi Ewuosho Defensive Rebound.,31,35
0:00,2011,End of 1st half,31,35
19:53,2011,Branden Johnson made Layup. Assisted by Reginald Gee.,31,37
19:41,2737,Xavier Cooks made Layup.,33,37
19:11,2011,Tobi Ewuosho made Layup.,33,39
19:03,2737,Bjorn Broman missed Three Point Jumper.,33,39
19:03,2737,Josh Ferguson Offensive Rebound.,33,39
18:58,2737,Bjorn Broman made Three Point Jumper. Assisted by Josh Ferguson.,36,39
18:42,2011,Fausto Pichardo missed Layup.,36,39
18:42,2737,Josh Ferguson Defensive Rebound.,36,39
18:08,2737,Xavier Cooks made Jumper.,38,39
17:52,2011,Branden Johnson Turnover.,38,39
17:49,2737,Bjorn Broman Steal.,38,39
17:38,2737,Anders Broman made Three Point Jumper. Assisted by Bjorn Broman.,41,39
17:35,2011,Alabama State  Timeout,41,39
17:19,2011,Tobi Ewuosho Turnover.,41,39
17:17,2737,Nych Smith Steal.,41,39
17:13,2737,Nych Smith made Jumper.,43,39
17:00,2011,Fausto Pichardo missed Jumper.,43,39
17:00,2737,Josh Ferguson Defensive Rebound.,43,39
17:00,2737,Anders Broman made Layup. Assisted by Bjorn Broman.,45,39
17:00,2011,Reginald Gee Turnover.,45,39
17:00,2737,Nych Smith Steal.,45,39
17:00,2737,Nych Smith made Layup. Assisted by Bjorn Broman.,47,39
16:59,2011,Tobi Ewuosho made Layup.,47,41
15:36,2737,Bjorn Broman made Three Point Jumper.,50,41
15:27,2011,Alabama State  Timeout,50,41
15:27,2011,Ed Jones Turnover.,50,41
15:27,2737,Josh Ferguson made Layup.,52,41
15:27,2011,Foul on Ed Jones.,52,41
15:27,2737,Josh Ferguson made Free Throw.,53,41
15:27,2011,Foul on Ed Jones.,53,41
15:27,2737,Nych Smith Turnover.,53,41
14:45,2737,Foul on Kyle Zunic.,53,41
14:36,2011,Jacoby Ross made Three Point Jumper. Assisted by Gene Davis.,53,44
14:24,2737,Xavier Cooks Turnover.,53,44
14:23,2011,Gene Davis Steal.,53,44
14:14,2011,Reginald Gee made Dunk. Assisted by Gene Davis.,53,46
14:01,2737,Jermaine Ukaegbu missed Layup.,53,46
14:01,2737,Jermaine Ukaegbu Offensive Rebound.,53,46
13:58,2737,Jermaine Ukaegbu missed Layup.,53,46
13:58,2737,Jermaine Ukaegbu Offensive Rebound.,53,46
13:48,2737,Bjorn Broman made Three Point Jumper. Assisted by Jermaine Ukaegbu.,56,46
13:35,2011,Reginald Gee missed Three Point Jumper.,56,46
13:35,2737,Xavier Cooks Defensive Rebound.,56,46
13:27,2011,Foul on Tobi Ewuosho.,56,46
13:27,2737,Nych Smith made Free Throw.,57,46
13:27,2737,Nych Smith missed Free Throw.,57,46
13:27,2011,Fausto Pichardo Defensive Rebound.,57,46
13:05,2011,Jacoby Ross Turnover.,57,46
13:03,2737,Nych Smith Steal.,57,46
12:44,2011,Foul on Tobi Ewuosho.,57,46
12:42,2737,Josh Ferguson made Dunk.,59,46
12:32,2011,Jacoby Ross made Three Point Jumper. Assisted by Tobi Ewuosho.,59,49
12:20,2737,Nych Smith made Jumper.,61,49
12:05,2011,Tobi Ewuosho missed Jumper.,61,49
12:05,2737,Josh Ferguson Block.,61,49
12:05,2011,Tobi Ewuosho Offensive Rebound.,61,49
12:05,2737,Foul on Austin Awad.,61,49
12:05,2011,Alabama State  Timeout,61,49
12:05,2011,Branden Johnson missed Free Throw.,61,49
12:05,2011,Alabama State Deadball Team Rebound.,61,49
12:05,2011,Branden Johnson made Free Throw.,61,50
11:54,2737,Bjorn Broman made Three Point Jumper. Assisted by Anders Broman.,64,50
11:39,2737,Foul on Adam Pickett.,64,50
11:24,2011,Reginald Gee missed Jumper.,64,50
11:24,2737,Winthrop Defensive Rebound.,64,50
11:22,2737,Winthrop  Turnover.,64,50
11:10,2011,Terrance LeFlore missed Three Point Jumper.,64,50
11:10,2737,Bjorn Broman Defensive Rebound.,64,50
11:01,2737,Nych Smith missed Three Point Jumper.,64,50
11:01,2737,Josh Ferguson Offensive Rebound.,64,50
10:49,2737,Nych Smith missed Three Point Jumper.,64,50
10:49,2011,Branden Johnson Defensive Rebound.,64,50
10:45,2737,Foul on Xavier Cooks.,64,50
10:32,2011,Foul on Jacoby Ross.,64,50
10:17,2737,Nych Smith Turnover.,64,50
10:15,2011,Tobi Ewuosho Steal.,64,50
10:11,2011,Branden Johnson missed Jumper.,64,50
10:11,2737,Anders Broman Defensive Rebound.,64,50
10:04,2737,Foul on Xavier Cooks.,64,50
9:47,2011,Jacoby Ross made Jumper.,64,52
9:32,2737,Kyle Zunic Turnover.,64,52
9:30,2011,Tobi Ewuosho Steal.,64,52
9:24,2011,Reginald Gee missed Three Point Jumper.,64,52
9:24,2011,Tobi Ewuosho Offensive Rebound.,64,52
9:16,2011,Reginald Gee made Jumper. Assisted by Tobi Ewuosho.,64,54
8:59,2737,Bjorn Broman made Three Point Jumper. Assisted by Kyle Zunic.,67,54
8:36,2011,Terrance LeFlore missed Jumper.,67,54
8:36,2011,Jacoby Ross Offensive Rebound.,67,54
8:23,2737,Foul on Bjorn Broman.,67,54
8:21,2011,Gene Davis Turnover.,67,54
8:19,2737,Bjorn Broman Steal.,67,54
8:14,2737,Austin Awad missed Jumper.,67,54
8:14,2011,Terrance LeFlore Defensive Rebound.,67,54
8:09,2737,Foul on Anders Broman.,67,54
8:09,2011,Terrance LeFlore missed Free Throw.,67,54
8:09,2737,Austin Awad Defensive Rebound.,67,54
7:58,2737,Bjorn Broman made Three Point Jumper. Assisted by Austin Awad.,70,54
7:38,2737,Foul on Jermaine Ukaegbu.,70,54
7:38,2011,Alabama State  Timeout,70,54
7:33,2011,Ed Jones made Free Throw.,70,55
7:33,2011,Ed Jones missed Free Throw.,70,55
7:33,2737,Jermaine Ukaegbu Defensive Rebound.,70,55
7:17,2737,Winthrop  Timeout,70,55
7:06,2737,Nych Smith missed Layup.,70,55
7:06,2011,Ed Jones Block.,70,55
7:00,2737,Winthrop Defensive Rebound.,70,55
6:45,2011,Reginald Gee made Three Point Jumper. Assisted by Jacoby Ross.,70,58
6:21,2737,Jermaine Ukaegbu made Layup.,72,58
6:08,2011,Tobi Ewuosho made Jumper.,72,60
5:58,2737,Anders Broman made Free Throw.,74,60
5:58,2737,Anders Broman made Free Throw.,73,60
5:52,2011,Reginald Gee missed Three Point Jumper.,74,60
5:52,2011,Tobi Ewuosho Offensive Rebound.,74,60
5:44,2011,Terrance LeFlore made Layup. Assisted by Tobi Ewuosho.,74,62
5:40,2737,Anders Broman missed Jumper.,74,62
5:40,2737,Josh Ferguson Offensive Rebound.,74,62
5:36,2737,Anders Broman made Layup.,76,62
4:54,2011,Jacoby Ross made Layup.,76,64
4:48,2737,Anders Broman made Layup.,78,64
4:46,2737,Foul on Jermaine Ukaegbu.,78,64
4:46,2011,Tobi Ewuosho missed Free Throw.,78,64
4:46,2737,Anders Broman Defensive Rebound.,78,64
4:25,2737,Josh Ferguson missed Three Point Jumper.,78,64
4:25,2011,Branden Johnson Defensive Rebound.,78,64
4:19,2011,Reginald Gee missed Jumper.,78,64
4:19,2737,Xavier Cooks Block.,78,64
4:19,2011,Alabama State Deadball Team Rebound.,78,64
4:11,2737,Foul on Nych Smith.,78,64
4:11,2011,Jacoby Ross made Free Throw.,78,65
4:11,2011,Jacoby Ross made Free Throw.,78,66
4:07,2011,Foul on Reginald Gee.,78,66
4:07,2737,Bjorn Broman missed Free Throw.,78,66
4:07,2737,Xavier Cooks Offensive Rebound.,78,66
3:56,2737,Josh Ferguson missed Layup.,78,66
3:56,2011,Branden Johnson Defensive Rebound.,78,66
3:50,2011,Alabama State  Timeout,78,66
3:50,2011,Tobi Ewuosho made Free Throw.,78,67
3:50,2011,Tobi Ewuosho missed Free Throw.,78,67
3:50,2011,Alabama State Deadball Team Rebound.,78,67
3:37,2011,Terrance LeFlore missed Jumper.,78,67
3:37,2737,Winthrop Deadball Team Rebound.,78,67
3:37,2011,Technical Foul on Alabama State.,78,67
3:37,2737,Anders Broman missed Free Throw.,78,67
3:37,2737,Winthrop Deadball Team Rebound.,78,67
3:37,2737,Anders Broman made Free Throw.,79,67
3:34,2011,Foul on Gene Davis.,79,67
3:34,2737,Anders Broman made Free Throw.,80,67
3:34,2737,Anders Broman made Free Throw.,81,67
3:21,2011,Terrance LeFlore missed Jumper.,81,67
3:21,2737,Xavier Cooks Defensive Rebound.,81,67
3:18,2737,Xavier Cooks Turnover.,81,67
3:01,2011,Tobi Ewuosho Turnover.,81,67
2:59,2737,Anders Broman Steal.,81,67
2:47,2737,Foul on Xavier Cooks.,81,67
2:39,2737,Foul on Bjorn Broman.,81,67
2:39,2011,Jacoby Ross missed Free Throw.,81,67
2:39,2737,Anders Broman Defensive Rebound.,81,67
2:08,2737,Nych Smith made Layup.,83,67
1:49,2011,Jacoby Ross made Three Point Jumper.,83,70
1:49,2011,Jacoby Ross made Layup.,83,72
1:49,2011,Jacoby Ross missed Free Throw.,83,72
1:49,2011,Reginald Gee Offensive Rebound.,83,72
1:49,2737,Foul on Kyle Zunic.,83,72
1:49,2011,Jacoby Ross missed Free Throw.,83,72
1:49,2011,Alabama State Deadball Team Rebound.,83,72
1:49,2011,Jacoby Ross made Free Throw.,83,73
1:04,2737,Nych Smith Turnover.,83,73
1:00,2011,Branden Johnson Steal.,83,73
0:58,2011,Gene Davis missed Jumper.,83,73
0:58,2011,Alabama State Deadball Team Rebound.,83,73
0:58,2011,Foul on Gene Davis.,83,73
0:58,2737,Kyle Zunic missed Free Throw.,83,73
0:58,2737,Winthrop Deadball Team Rebound.,83,73
0:58,2737,Kyle Zunic made Free Throw.,84,73
0:52,2737,Anders Broman missed Layup.,84,73
0:52,2011,Fausto Pichardo Block.,84,73
0:52,2737,Winthrop Deadball Team Rebound.,84,73
0:46,2011,Jacoby Ross made Three Point Jumper. Assisted by Tobi Ewuosho.,84,76
0:43,2011,Alabama State  Timeout,84,76
0:38,2011,Jacoby Ross made Jumper.,84,78
0:38,2737,Nych Smith Turnover.,84,78
0:35,2011,Jacoby Ross missed Three Point Jumper.,84,78
0:35,2737,Josh Ferguson Defensive Rebound.,84,78
0:23,2737,Jermaine Ukaegbu made Dunk.,86,78
0:16,2737,Foul on Jermaine Ukaegbu.,86,78
0:16,2011,Jacoby Ross made Free Throw.,86,79
0:16,2011,Jacoby Ross made Free Throw.,86,80
0:13,2737,Winthrop  Timeout,86,80
0:06,2737,Josh Ferguson made Dunk. Assisted by Nych Smith.,88,80
