North Florida,142,Missouri,2454
5:09,142,Jontay Porter Defensive Rebound.,12,31
4:54,142,Jeremiah Tilmon made Jumper. Assisted by Jontay Porter.,12,33
4:34,2454,Trip Day missed Layup.,12,33
4:34,142,Missouri Defensive Rebound.,12,33
4:20,142,Kassius Robertson missed Three Point Jumper.,12,33
4:20,142,Jeremiah Tilmon Offensive Rebound.,12,33
4:14,142,Jeremiah Tilmon made Layup.,12,35
3:58,2454,Wajid Aminu made Layup. Assisted by Trip Day.,14,35
3:41,142,Jeremiah Tilmon Turnover.,14,35
3:37,2454,Trip Day Steal.,14,35
3:31,142,Foul on Jeremiah Tilmon.,14,35
3:31,142,Official TV Timeout,14,35
3:14,2454,Ivan Gandia-Rosa made Three Point Jumper.,17,35
2:53,142,Kevin Puryear missed Jumper.,17,35
2:53,2454,Wajid Aminu Block.,17,35
2:50,2454,J.T. Escobar Defensive Rebound.,17,35
2:27,2454,Wajid Aminu missed Jumper.,17,35
2:27,142,Jordan Geist Defensive Rebound.,17,35
2:18,142,Cullen VanLeer made Three Point Jumper. Assisted by Jordan Geist.,17,38
1:53,2454,Osborn Blount made Layup.,19,38
1:43,142,Jordan Geist made Three Point Jumper. Assisted by Jontay Porter.,19,41
1:30,2454,Wajid Aminu missed Three Point Jumper.,19,41
1:30,142,Jordan Barnett Defensive Rebound.,19,41
1:21,142,Jontay Porter missed Three Point Jumper.,19,41
1:21,142,Jordan Barnett Offensive Rebound.,19,41
1:12,142,Jordan Barnett missed Dunk.,19,41
1:12,2454,Osborn Blount Defensive Rebound.,19,41
1:07,2454,J.T. Escobar missed Three Point Jumper.,19,41
1:07,142,Jontay Porter Defensive Rebound.,19,41
0:46,142,Jordan Geist made Three Point Jumper.,19,44
0:24,2454,Wajid Aminu Turnover.,19,44
0:23,142,Jordan Barnett Steal.,19,44
0:01,2454,Foul on Ivan Gandia-Rosa.,19,44
0:00,142,Jordan Barnett made Jumper. Assisted by Blake Harris.,19,46
0:00,142,End of 1st half,19,46
19:44,2454,Ivan Gandia-Rosa missed Three Point Jumper.,19,46
19:44,142,Jordan Barnett Defensive Rebound.,19,46
19:19,142,Jeremiah Tilmon Turnover.,19,46
19:09,2454,Noah Horchler made Layup. Assisted by Ivan Gandia-Rosa.,21,46
18:50,142,Jordan Barnett made Three Point Jumper. Assisted by Blake Harris.,21,49
18:37,2454,Noah Horchler missed Three Point Jumper.,21,49
18:37,142,Jordan Barnett Defensive Rebound.,21,49
18:28,142,Kevin Puryear Turnover.,21,49
18:16,142,Foul on Jordan Barnett.,21,49
18:16,2454,Wajid Aminu made Free Throw.,22,49
18:16,2454,Wajid Aminu made Free Throw.,23,49
18:00,142,Jordan Barnett missed Three Point Jumper.,23,49
18:00,142,Missouri Offensive Rebound.,23,49
17:52,142,Kassius Robertson missed Three Point Jumper.,23,49
17:52,2454,Noah Horchler Defensive Rebound.,23,49
17:40,2454,Wajid Aminu missed Jumper.,23,49
17:40,142,Jontay Porter Block.,23,49
17:39,2454,North Florida Offensive Rebound.,23,49
17:33,142,Foul on Reed Nikko.,23,49
17:33,2454,Noah Horchler made Free Throw.,24,49
17:33,2454,Noah Horchler missed Free Throw.,24,49
17:33,142,Reed Nikko Defensive Rebound.,24,49
17:19,142,Jontay Porter missed Three Point Jumper.,24,49
17:19,142,Reed Nikko Offensive Rebound.,24,49
17:00,142,Kassius Robertson made Three Point Jumper. Assisted by Jontay Porter.,24,52
16:45,2454,J.T. Escobar missed Three Point Jumper.,24,52
16:45,142,Jordan Barnett Defensive Rebound.,24,52
16:33,142,Reed Nikko made Dunk. Assisted by Jordan Barnett.,24,54
16:19,2454,Ivan Gandia-Rosa missed Three Point Jumper.,24,54
16:19,142,Jontay Porter Block.,24,54
16:17,142,Jontay Porter Defensive Rebound.,24,54
16:12,142,Jontay Porter missed Layup.,24,54
16:12,2454,Wajid Aminu Defensive Rebound.,24,54
16:11,142,Foul on Reed Nikko.,24,54
15:46,2454,Wajid Aminu missed Jumper.,24,54
15:46,142,Jontay Porter Defensive Rebound.,24,54
15:27,142,Jontay Porter made Layup. Assisted by Reed Nikko.,24,56
15:19,2454,North Florida  Timeout,24,56
15:09,2454,Wajid Aminu missed Layup.,24,56
15:09,142,Jontay Porter Defensive Rebound.,24,56
14:57,142,Reed Nikko made Layup. Assisted by Jontay Porter.,24,58
14:45,2454,Wajid Aminu made Jumper.,26,58
14:22,142,Reed Nikko missed Layup.,26,58
14:22,2454,Noah Horchler Defensive Rebound.,26,58
14:20,142,Foul on Jontay Porter.,26,58
14:20,142,Official TV Timeout,26,58
14:20,2454,Wajid Aminu made Free Throw.,27,58
14:20,2454,Wajid Aminu missed Free Throw.,27,58
14:20,142,Kevin Puryear Defensive Rebound.,27,58
14:12,142,Blake Harris missed Layup.,27,58
14:12,2454,Noah Horchler Block.,27,58
14:10,2454,Noah Horchler Defensive Rebound.,27,58
13:50,2454,Osborn Blount Turnover.,27,58
13:48,142,Jordan Geist Steal.,27,58
13:41,142,Cullen VanLeer made Three Point Jumper. Assisted by Kevin Puryear.,27,61
13:04,2454,Ivan Gandia-Rosa made Jumper.,29,61
12:52,142,Kevin Puryear missed Jumper.,29,61
12:52,2454,Noah Horchler Block.,29,61
12:50,142,Kevin Puryear Offensive Rebound.,29,61
12:49,142,Kevin Puryear missed Jumper.,29,61
12:49,2454,North Florida Defensive Rebound.,29,61
12:41,2454,J.T. Escobar made Three Point Jumper.,32,61
12:25,142,Jeremiah Tilmon made Jumper.,32,63
12:15,2454,Osborn Blount missed Three Point Jumper.,32,63
12:15,142,Cullen VanLeer Defensive Rebound.,32,63
12:07,142,Cullen VanLeer missed Three Point Jumper.,32,63
12:07,2454,Noah Horchler Defensive Rebound.,32,63
12:04,142,Foul on Kevin Puryear.,32,63
11:46,2454,Trip Day made Jumper.,34,63
11:31,142,Jeremiah Tilmon made Jumper.,34,65
11:14,2454,Trip Day missed Layup.,34,65
11:14,142,Kevin Puryear Defensive Rebound.,34,65
11:04,142,Jeremiah Tilmon made Layup.,34,67
10:52,2454,Osborn Blount made Jumper.,36,67
10:39,142,Jeremiah Tilmon Turnover.,36,67
10:27,2454,Osborn Blount missed Layup.,36,67
10:27,142,Jordan Barnett Defensive Rebound.,36,67
10:21,142,Kassius Robertson missed Three Point Jumper.,36,67
10:21,2454,Osborn Blount Defensive Rebound.,36,67
10:14,2454,J.T. Escobar missed Three Point Jumper.,36,67
10:14,142,Jordan Geist Defensive Rebound.,36,67
10:04,142,Jordan Geist Turnover.,36,67
10:04,142,Official TV Timeout,36,67
9:41,2454,Wajid Aminu made Layup. Assisted by Ivan Gandia-Rosa.,38,67
9:25,142,Reed Nikko made Dunk. Assisted by Blake Harris.,38,69
9:00,2454,Wajid Aminu made Jumper.,40,69
8:47,2454,Foul on Osborn Blount.,40,69
8:32,142,Reed Nikko missed Jumper.,40,69
8:32,2454,Wajid Aminu Defensive Rebound.,40,69
8:21,2454,Ivan Gandia-Rosa Turnover.,40,69
8:16,142,Blake Harris Steal.,40,69
8:14,142,Blake Harris missed Layup.,40,69
8:14,2454,Emmanuel Lambright Defensive Rebound.,40,69
7:53,2454,Osborn Blount missed Three Point Jumper.,40,69
7:53,142,Jontay Porter Defensive Rebound.,40,69
7:35,2454,Foul on Osborn Blount.,40,69
7:31,2454,Foul on Emmanuel Lambright.,40,69
7:31,142,Jontay Porter made Free Throw.,40,70
7:31,142,Jontay Porter made Free Throw.,40,71
7:16,2454,J.T. Escobar made Three Point Jumper. Assisted by Ryan Burkhardt.,43,71
7:05,2454,Foul on Emmanuel Lambright.,43,71
6:59,142,Kevin Puryear Turnover.,43,71
6:29,2454,Ryan Burkhardt missed Three Point Jumper.,43,71
6:29,2454,Noah Horchler Offensive Rebound.,43,71
5:56,2454,Trip Day missed Jumper.,43,71
5:56,142,Jordan Geist Defensive Rebound.,43,71
5:49,142,Jordan Geist made Layup.,43,73
5:49,2454,Foul on Trip Day.,43,73
5:49,142,Jordan Geist made Free Throw.,43,74
5:43,142,Foul on Jordan Barnett.,43,74
5:41,2454,Ivan Gandia-Rosa missed Three Point Jumper.,43,74
5:41,142,Kevin Puryear Defensive Rebound.,43,74
5:29,142,Jontay Porter Turnover.,43,74
5:00,2454,Trip Day Turnover.,43,74
4:51,142,Foul on Kevin Puryear.,43,74
4:51,142,Kevin Puryear Turnover.,43,74
4:26,142,Official TV Timeout,43,74
4:20,2454,Trip Day missed Jumper.,43,74
4:20,142,Jordan Geist Defensive Rebound.,43,74
4:05,142,Jordan Geist missed Three Point Jumper.,43,74
4:05,2454,Noah Horchler Defensive Rebound.,43,74
3:50,2454,Trip Day made Jumper.,45,74
3:19,142,Jordan Barnett made Dunk. Assisted by Blake Harris.,45,76
3:07,2454,Trip Day missed Three Point Jumper.,45,76
3:07,2454,Noah Horchler Offensive Rebound.,45,76
3:04,2454,Noah Horchler made Layup.,47,76
2:47,142,Reed Nikko made Dunk. Assisted by Blake Harris.,47,78
2:34,2454,North Florida  Timeout,47,78
2:06,2454,Trip Day missed Jumper.,47,78
2:06,142,Blake Harris Defensive Rebound.,47,78
1:47,142,Adam Wolf made Three Point Jumper. Assisted by Blake Harris.,47,81
1:22,2454,Osborn Blount missed Three Point Jumper.,47,81
1:22,2454,Brian Coffey II Offensive Rebound.,47,81
1:05,2454,Emmanuel Lambright Turnover.,47,81
1:03,142,Adam Wolf Steal.,47,81
1:01,2454,Foul on Osborn Blount.,47,81
1:00,142,Brett Rau missed Three Point Jumper.,47,81
1:00,142,Reed Nikko Offensive Rebound.,47,81
0:55,142,Reed Nikko made Layup.,47,83
0:40,2454,Trip Day made Jumper.,49,83
0:28,142,Brett Rau made Jumper.,49,85
0:14,2454,Trip Day made Layup.,51,85
0:00,142,End of Game,51,85
