North Texas,301,San Diego,249
10:34,249,Shane Temara missed Three Point Jumper.,14,15
10:34,301,Isaiah Pineiro Defensive Rebound.,14,15
10:23,301,Isaiah Pineiro made Jumper.,14,17
10:23,249,Foul on Zachary Simmons.,14,17
10:23,301,Isaiah Pineiro made Free Throw.,14,18
10:03,249,Ryan Woolridge missed Jumper.,14,18
10:03,249,Shane Temara Offensive Rebound.,14,18
9:54,301,Foul on Cameron Neubauer.,14,18
9:54,249,A.J. Lawson made Free Throw.,15,18
9:54,249,Zachary Simmons Turnover.,15,18
9:31,301,Cameron Neubauer made Three Point Jumper. Assisted by Olin Carter III.,15,21
9:03,249,Foul on Shane Temara.,15,21
9:03,249,Shane Temara Turnover.,15,21
8:51,301,Cameron Neubauer missed Three Point Jumper.,15,21
8:51,249,Shane Temara Defensive Rebound.,15,21
8:37,249,A.J. Lawson made Layup. Assisted by Ryan Woolridge.,17,21
8:19,301,Olin Carter III made Three Point Jumper. Assisted by Isaiah Wright.,17,24
8:07,249,Roosevelt Smart missed Jumper.,17,24
8:07,301,Olin Carter III Defensive Rebound.,17,24
8:05,249,Foul on A.J. Lawson.,17,24
7:51,301,Official TV Timeout,17,24
7:46,301,Tyler Williams missed Jumper.,17,24
7:46,249,Roosevelt Smart Defensive Rebound.,17,24
7:46,249,Allante Holston missed Layup.,17,24
7:46,249,A.J. Lawson Offensive Rebound.,17,24
7:39,301,Foul on Cameron Neubauer.,17,24
7:31,249,Ryan Woolridge made Free Throw.,18,24
7:20,249,Ryan Woolridge made Free Throw.,19,24
6:48,249,Foul on Ryan Woolridge.,19,24
6:48,301,Isaiah Wright made Free Throw.,19,25
6:48,301,Isaiah Wright missed Free Throw.,19,25
6:48,301,San Diego Deadball Team Rebound.,19,25
6:48,301,Isaiah Wright made Free Throw.,19,26
6:40,249,Shane Temara missed Jumper.,19,26
6:40,301,Isaiah Pineiro Block.,19,26
6:39,301,Olin Carter III Defensive Rebound.,19,26
6:39,249,Foul on Shane Temara.,19,26
6:39,301,Isaiah Pineiro missed Free Throw.,19,26
6:39,249,Allante Holston Defensive Rebound.,19,26
6:29,249,Tope Arikawe made Layup. Assisted by Ryan Woolridge.,21,26
6:07,301,Isaiah Wright made Jumper.,21,28
6:02,301,Foul on Olin Carter III.,21,28
6:02,249,Ryan Woolridge made Free Throw.,22,28
6:02,249,Ryan Woolridge missed Free Throw.,22,28
6:02,249,North Texas Offensive Rebound.,22,28
6:02,301,Foul on Alex Floresca.,22,28
6:02,249,Tope Arikawe made Free Throw.,23,28
6:02,249,Tope Arikawe made Free Throw.,24,28
5:48,301,Isaiah Wright missed Three Point Jumper.,24,28
5:48,249,Ryan Woolridge Defensive Rebound.,24,28
5:29,249,Allante Holston Turnover.,24,28
5:22,301,Foul on Juwan Gray.,24,28
5:22,301,Juwan Gray Turnover.,24,28
5:10,249,A.J. Lawson missed Jumper.,24,28
5:10,301,Juwan Gray Defensive Rebound.,24,28
4:47,301,Olin Carter III missed Jumper.,24,28
4:47,249,Roosevelt Smart Defensive Rebound.,24,28
4:40,249,Roosevelt Smart made Layup.,26,28
4:22,249,Foul on A.J. Lawson.,26,28
4:22,301,Juwan Gray made Free Throw.,26,29
4:22,301,Juwan Gray made Free Throw.,26,30
3:57,249,Roosevelt Smart Turnover.,26,30
3:57,301,Official TV Timeout,26,30
3:45,301,Cameron Neubauer Turnover.,26,30
3:29,249,Foul on Tope Arikawe.,26,30
3:29,249,Tope Arikawe Turnover.,26,30
3:16,301,Isaiah Wright Turnover.,26,30
2:55,249,Tope Arikawe made Layup. Assisted by Allante Holston.,28,30
2:36,301,Tyler Williams missed Three Point Jumper.,28,30
2:36,249,Allante Holston Defensive Rebound.,28,30
2:29,249,Allante Holston made Jumper.,30,30
2:29,301,Foul on Juwan Gray.,30,30
2:29,249,Allante Holston made Free Throw.,31,30
2:16,301,Juwan Gray Turnover.,31,30
1:54,249,Tope Arikawe Turnover.,31,30
1:52,301,Juwan Gray Steal.,31,30
1:47,301,Olin Carter III missed Three Point Jumper.,31,30
1:47,301,Juwan Gray Offensive Rebound.,31,30
1:46,249,Foul on Tope Arikawe.,31,30
1:46,301,Juwan Gray missed Free Throw.,31,30
1:46,301,San Diego Deadball Team Rebound.,31,30
1:46,301,Juwan Gray made Free Throw.,31,31
1:37,249,Ryan Woolridge missed Jumper.,31,31
1:37,301,Olin Carter III Defensive Rebound.,31,31
1:21,301,Cameron Neubauer missed Three Point Jumper.,31,31
1:21,249,Michael Miller Defensive Rebound.,31,31
1:06,249,Roosevelt Smart made Three Point Jumper. Assisted by Michael Miller.,34,31
0:44,301,Isaiah Wright missed Jumper.,34,31
0:44,301,Alex Floresca Offensive Rebound.,34,31
0:44,249,Foul on Roosevelt Smart.,34,31
0:44,301,Alex Floresca made Free Throw.,34,32
0:44,301,Alex Floresca made Free Throw.,34,33
0:36,249,North Texas  Timeout,34,33
0:26,249,Roosevelt Smart made Three Point Jumper. Assisted by Allante Holston.,37,33
0:18,301,San Diego  Timeout,37,33
0:01,301,Isaiah Wright missed Layup.,37,33
0:01,301,Isaiah Wright Offensive Rebound.,37,33
0:01,249,Foul on Zachary Simmons.,37,33
0:01,301,Isaiah Wright made Free Throw.,37,34
0:01,301,Isaiah Wright made Free Throw.,37,35
0:00,301,End of 1st half,37,35
19:50,249,Ryan Woolridge made Layup. Assisted by Zachary Simmons.,39,35
19:28,301,Isaiah Wright missed Three Point Jumper.,39,35
19:28,249,North Texas Defensive Rebound.,39,35
19:07,249,Shane Temara made Layup. Assisted by Ryan Woolridge.,41,35
18:49,301,Tyler Williams made Jumper.,41,37
18:20,249,A.J. Lawson missed Three Point Jumper.,41,37
18:20,301,San Diego Defensive Rebound.,41,37
18:00,301,Olin Carter III missed Jumper.,41,37
18:00,249,Shane Temara Defensive Rebound.,41,37
17:36,301,Foul on Isaiah Wright.,41,37
17:36,249,A.J. Lawson made Free Throw.,42,37
17:36,249,A.J. Lawson made Free Throw.,43,37
17:17,301,Yauhen Massalski Turnover.,43,37
17:16,249,Ryan Woolridge Steal.,43,37
17:13,249,Ryan Woolridge missed Layup.,43,37
17:13,301,Cameron Neubauer Defensive Rebound.,43,37
17:01,301,Tyler Williams missed Jumper.,43,37
17:01,301,Yauhen Massalski Offensive Rebound.,43,37
17:00,249,Foul on Zachary Simmons.,43,37
17:00,249,Foul on A.J. Lawson.,43,37
17:00,301,Isaiah Pineiro missed Three Point Jumper.,43,37
17:00,249,Roosevelt Smart Defensive Rebound.,43,37
16:34,249,Ryan Woolridge Turnover.,43,37
16:25,249,Foul on Tope Arikawe.,43,37
16:22,301,Isaiah Pineiro made Jumper. Assisted by Isaiah Wright.,43,39
16:22,249,Foul on Michael Miller.,43,39
16:22,301,Isaiah Pineiro made Free Throw.,43,40
16:15,301,Foul on Isaiah Wright.,43,40
15:58,249,Ryan Woolridge made Jumper.,45,40
15:58,301,Foul on Isaiah Wright.,45,40
15:58,301,Official TV Timeout,45,40
15:56,249,Ryan Woolridge made Free Throw.,46,40
15:36,301,Olin Carter III missed Jumper.,46,40
15:36,249,Khalil Fuller Defensive Rebound.,46,40
15:14,249,Roosevelt Smart made Three Point Jumper. Assisted by Ryan Woolridge.,49,40
14:54,301,Juwan Gray made Three Point Jumper. Assisted by Olin Carter III.,49,43
14:43,249,Khalil Fuller made Jumper. Assisted by Roosevelt Smart.,51,43
14:27,249,Foul on Michael Miller.,51,43
14:27,301,Juwan Gray made Free Throw.,51,44
14:27,301,Juwan Gray made Free Throw.,51,45
14:24,249,Foul on Khalil Fuller.,51,45
14:23,249,Khalil Fuller Turnover.,51,45
13:58,249,Foul on Michael Miller.,51,45
13:58,301,Tyler Williams made Free Throw.,51,46
13:58,301,Tyler Williams made Free Throw.,51,47
13:36,249,Roosevelt Smart made Jumper.,53,47
13:17,301,Isaiah Pineiro missed Jumper.,53,47
13:17,249,A.J. Lawson Defensive Rebound.,53,47
13:05,249,North Texas  Timeout,53,47
12:53,249,Allante Holston missed Jumper.,53,47
12:53,301,Cameron Neubauer Defensive Rebound.,53,47
12:40,249,Foul on A.J. Lawson.,53,47
12:40,301,Juwan Gray made Free Throw.,53,48
12:40,301,Juwan Gray made Free Throw.,53,49
12:29,249,Roosevelt Smart missed Three Point Jumper.,53,49
12:29,301,Tyler Williams Defensive Rebound.,53,49
11:48,301,Olin Carter III missed Dunk.,53,49
11:48,249,Khalil Fuller Defensive Rebound.,53,49
11:32,249,DJ Draper missed Three Point Jumper.,53,49
11:32,301,Olin Carter III Defensive Rebound.,53,49
11:31,249,Foul on Khalil Fuller.,53,49
11:31,301,Official TV Timeout,53,49
11:31,301,Yauhen Massalski made Free Throw.,53,50
11:31,301,Yauhen Massalski missed Free Throw.,53,50
11:31,249,Zachary Simmons Defensive Rebound.,53,50
11:10,301,Foul on Olin Carter III.,53,50
11:10,249,Ryan Woolridge missed Free Throw.,53,50
11:10,249,North Texas Deadball Team Rebound.,53,50
11:10,249,Ryan Woolridge made Free Throw.,54,50
10:53,301,Tyler Williams made Three Point Jumper. Assisted by Isaiah Wright.,54,53
10:27,249,Shane Temara made Three Point Jumper. Assisted by Roosevelt Smart.,57,53
9:59,301,Yauhen Massalski made Jumper. Assisted by Juwan Gray.,57,55
9:34,249,Ryan Woolridge made Layup.,59,55
9:18,301,Cameron Neubauer Turnover.,59,55
9:02,249,Roosevelt Smart missed Three Point Jumper.,59,55
9:02,249,Zachary Simmons Offensive Rebound.,59,55
8:44,249,Ryan Woolridge made Jumper.,61,55
8:22,249,Foul on Shane Temara.,61,55
8:22,301,Juwan Gray made Free Throw.,61,56
8:22,301,Juwan Gray made Free Throw.,61,57
8:10,249,Roosevelt Smart made Layup.,63,57
7:54,301,Yauhen Massalski Turnover.,63,57
7:54,301,Official TV Timeout,63,57
7:36,301,Foul on Juwan Gray.,63,57
7:30,249,Zachary Simmons missed Jumper.,63,57
7:30,301,Yauhen Massalski Block.,63,57
7:28,301,Yauhen Massalski Defensive Rebound.,63,57
7:13,301,Yauhen Massalski Turnover.,63,57
7:00,249,Roosevelt Smart missed Jumper.,63,57
7:00,301,Yauhen Massalski Defensive Rebound.,63,57
7:00,249,Foul on Roosevelt Smart.,63,57
7:00,301,Yauhen Massalski made Free Throw.,63,58
7:00,301,Yauhen Massalski made Free Throw.,63,59
6:49,249,Zachary Simmons Turnover.,63,59
6:47,301,Juwan Gray Steal.,63,59
6:45,301,Isaiah Pineiro made Dunk. Assisted by Juwan Gray.,63,61
6:43,249,North Texas  Timeout,63,61
6:17,249,Roosevelt Smart made Three Point Jumper. Assisted by Ryan Woolridge.,66,61
6:10,301,Juwan Gray made Jumper.,66,63
5:39,249,Roosevelt Smart missed Three Point Jumper.,66,63
5:39,249,DJ Draper Offensive Rebound.,66,63
5:34,249,Ryan Woolridge missed Jumper.,66,63
5:34,301,Isaiah Pineiro Block.,66,63
5:34,301,Isaiah Pineiro Defensive Rebound.,66,63
5:34,301,Tyler Williams missed Three Point Jumper.,66,63
5:34,249,Ryan Woolridge Defensive Rebound.,66,63
5:33,249,Ryan Woolridge made Jumper.,68,63
5:29,301,Foul on Cameron Neubauer.,68,63
5:06,249,Ryan Woolridge made Free Throw.,69,63
4:51,301,Isaiah Pineiro Turnover.,69,63
4:25,249,Ryan Woolridge missed Jumper.,69,63
4:25,301,Cameron Neubauer Block.,69,63
4:23,249,Ryan Woolridge Offensive Rebound.,69,63
4:22,249,North Texas  Turnover.,69,63
4:10,301,Tyler Williams made Layup.,69,65
3:46,249,A.J. Lawson missed Jumper.,69,65
3:46,301,Juwan Gray Block.,69,65
3:44,301,Olin Carter III Defensive Rebound.,69,65
3:22,301,Tyler Williams missed Three Point Jumper.,69,65
3:22,249,Ryan Woolridge Defensive Rebound.,69,65
2:49,249,A.J. Lawson made Layup.,71,65
2:44,301,San Diego  Timeout,71,65
2:32,301,Cameron Neubauer missed Three Point Jumper.,71,65
2:32,301,Isaiah Wright Offensive Rebound.,71,65
2:29,301,Olin Carter III made Three Point Jumper. Assisted by Isaiah Wright.,71,68
2:09,301,Foul on Olin Carter III.,71,68
2:09,249,A.J. Lawson made Free Throw.,72,68
2:09,249,A.J. Lawson missed Free Throw.,72,68
2:09,301,Isaiah Wright Defensive Rebound.,72,68
1:55,301,Tyler Williams made Jumper.,72,70
1:31,249,Roosevelt Smart made Three Point Jumper. Assisted by Allante Holston.,75,70
1:24,301,San Diego  Timeout,75,70
1:13,301,Tyler Williams Turnover.,75,70
1:12,249,DJ Draper Steal.,75,70
0:50,249,A.J. Lawson missed Jumper.,75,70
0:50,301,San Diego Defensive Rebound.,75,70
0:30,301,Tyler Williams made Jumper. Assisted by Isaiah Wright.,75,72
0:28,301,Foul on Cameron Neubauer.,75,72
0:28,249,Roosevelt Smart made Free Throw.,76,72
0:28,249,Roosevelt Smart made Free Throw.,77,72
0:25,249,Foul on Ryan Woolridge.,77,72
0:25,301,Isaiah Wright made Free Throw.,77,73
0:25,301,Isaiah Wright made Free Throw.,77,74
0:25,249,North Texas  Turnover.,77,74
0:18,301,Olin Carter III made Three Point Jumper. Assisted by Isaiah Wright.,77,77
0:11,249,North Texas  Timeout,77,77
0:00,249,Roosevelt Smart missed Jumper.,77,77
0:00,301,San Diego Defensive Rebound.,77,77
0:00,301,End of 2nd half,77,77
4:48,301,Juwan Gray missed Jumper.,77,77
4:48,249,A.J. Lawson Defensive Rebound.,77,77
4:23,249,Roosevelt Smart missed Jumper.,77,77
4:23,249,North Texas Offensive Rebound.,77,77
4:11,301,Foul on Cameron Neubauer.,77,77
4:11,249,Ryan Woolridge made Free Throw.,78,77
4:11,249,Ryan Woolridge made Free Throw.,79,77
3:49,301,Olin Carter III missed Three Point Jumper.,79,77
3:49,249,Allante Holston Defensive Rebound.,79,77
3:31,249,Shane Temara Turnover.,79,77
3:08,301,Isaiah Wright made Layup.,79,79
2:35,249,Roosevelt Smart made Three Point Jumper.,82,79
2:14,301,Juwan Gray missed Three Point Jumper.,82,79
2:14,249,Roosevelt Smart Defensive Rebound.,82,79
1:49,249,Roosevelt Smart missed Three Point Jumper.,82,79
1:49,301,Isaiah Pineiro Defensive Rebound.,82,79
1:35,249,Foul on Roosevelt Smart.,82,79
1:35,301,Isaiah Pineiro made Free Throw.,82,80
1:35,301,Isaiah Pineiro made Free Throw.,82,81
1:21,249,A.J. Lawson missed Three Point Jumper.,82,81
1:21,249,Ryan Woolridge Offensive Rebound.,82,81
1:04,249,Roosevelt Smart missed Three Point Jumper.,82,81
1:04,249,Ryan Woolridge Offensive Rebound.,82,81
0:50,249,North Texas  Timeout,82,81
0:35,249,Roosevelt Smart made Jumper.,84,81
0:14,301,Isaiah Pineiro missed Three Point Jumper.,84,81
0:14,249,A.J. Lawson Defensive Rebound.,84,81
0:12,301,Foul on Isaiah Wright.,84,81
0:12,249,A.J. Lawson missed Free Throw.,84,81
0:12,249,North Texas Deadball Team Rebound.,84,81
0:12,249,A.J. Lawson made Free Throw.,85,81
0:06,249,Foul on DJ Draper.,85,81
0:06,301,Tyler Williams made Free Throw.,85,82
0:06,301,Tyler Williams made Free Throw.,85,83
0:04,301,Foul on Isaiah Wright.,85,83
0:04,249,DJ Draper missed Free Throw.,85,83
0:04,249,North Texas Deadball Team Rebound.,85,83
0:04,301,San Diego  Timeout,85,83
0:04,249,DJ Draper made Free Throw.,86,83
0:04,301,San Diego  Timeout,86,83
0:03,301,Isaiah Pineiro Turnover.,86,83
0:00,249,Allante Holston Turnover.,86,83
0:00,301,Yauhen Massalski Steal.,86,83
0:00,301,Yauhen Massalski missed Three Point Jumper.,86,83
0:00,249,North Texas Defensive Rebound.,86,83
0:00,301,End of Game,86,83
