Indiana State,98,Western Kentucky,282
11:49,282,Bronson Kessinger missed Jumper.,10,19
11:49,98,Justin Johnson Block.,10,19
11:48,98,Lamonte Bearden Defensive Rebound.,10,19
11:36,98,Justin Johnson made Jumper.,10,21
11:12,282,Bronson Kessinger Turnover.,10,21
11:11,98,Justin Johnson Steal.,10,21
11:04,98,Darius Thompson Turnover.,10,21
10:43,282,Qiydar Davis missed Jumper.,10,21
10:43,98,Dwight Coleby Defensive Rebound.,10,21
10:33,98,Lamonte Bearden missed Jumper.,10,21
10:33,282,Emondre Rickman Defensive Rebound.,10,21
10:25,282,Qiydar Davis missed Layup.,10,21
10:25,282,Qiydar Davis Offensive Rebound.,10,21
10:20,282,Qiydar Davis Turnover.,10,21
10:19,98,Jake Ohmer Steal.,10,21
10:16,98,Jake Ohmer Turnover.,10,21
10:16,98,Foul on Justin Johnson.,10,21
9:58,282,Emondre Rickman missed Jumper.,10,21
9:58,98,Justin Johnson Defensive Rebound.,10,21
9:39,98,Justin Johnson made Jumper.,10,23
9:22,282,Emondre Rickman missed Dunk.,10,23
9:22,98,Dwight Coleby Block.,10,23
9:20,282,Bronson Kessinger Offensive Rebound.,10,23
9:18,282,Bronson Kessinger made Layup.,12,23
9:05,98,Lamonte Bearden Turnover.,12,23
9:04,282,Brenton Scott Steal.,12,23
8:48,282,Brenton Scott made Three Point Jumper. Assisted by Jordan Barnes.,15,23
8:23,98,Taveion Hollingsworth made Jumper.,15,25
8:07,282,Tyreke Key missed Jumper.,15,25
8:07,98,Dwight Coleby Block.,15,25
8:06,98,Taveion Hollingsworth Defensive Rebound.,15,25
7:54,98,Jake Ohmer missed Three Point Jumper.,15,25
7:54,282,Brenton Scott Defensive Rebound.,15,25
7:28,282,Tyreke Key missed Three Point Jumper.,15,25
7:28,98,Darius Thompson Defensive Rebound.,15,25
7:21,98,Darius Thompson Turnover.,15,25
7:19,282,Tyreke Key Steal.,15,25
7:15,282,Tyreke Key Turnover.,15,25
7:14,98,Taveion Hollingsworth Steal.,15,25
7:06,98,Taveion Hollingsworth made Jumper.,15,27
6:43,282,Qiydar Davis made Layup.,17,27
6:20,98,Dwight Coleby made Jumper. Assisted by Taveion Hollingsworth.,17,29
6:08,282,Tyreke Key made Dunk.,19,29
6:03,98,Western Kentucky  Timeout,19,29
6:03,98,Official TV Timeout,19,29
5:54,98,Darius Thompson made Layup. Assisted by Lamonte Bearden.,19,31
5:41,98,Foul on Taveion Hollingsworth.,19,31
5:34,282,Qiydar Davis made Jumper.,21,31
5:34,98,Foul on Darius Thompson.,21,31
5:34,282,Qiydar Davis missed Free Throw.,21,31
5:34,282,Bronson Kessinger Offensive Rebound.,21,31
5:32,282,Bronson Kessinger Turnover.,21,31
5:13,98,Lamonte Bearden made Jumper.,21,33
5:13,282,Foul on Tyreke Key.,21,33
5:13,98,Lamonte Bearden made Free Throw.,21,34
5:02,282,Bronson Kessinger made Layup. Assisted by Jordan Barnes.,23,34
4:40,98,Lamonte Bearden made Layup. Assisted by Darius Thompson.,23,36
4:17,282,Jordan Barnes missed Three Point Jumper.,23,36
4:17,98,Lamonte Bearden Defensive Rebound.,23,36
4:11,98,Taveion Hollingsworth missed Layup.,23,36
4:11,282,Brenton Scott Defensive Rebound.,23,36
3:57,282,Jordan Barnes missed Three Point Jumper.,23,36
3:57,98,Dwight Coleby Defensive Rebound.,23,36
3:56,282,Foul on Bronson Kessinger.,23,36
3:56,98,Official TV Timeout,23,36
3:56,98,Dwight Coleby made Free Throw.,23,37
3:56,98,Dwight Coleby missed Free Throw.,23,37
3:56,282,Qiydar Davis Defensive Rebound.,23,37
3:38,282,Qiydar Davis missed Three Point Jumper.,23,37
3:38,98,Dwight Coleby Defensive Rebound.,23,37
3:24,98,Lamonte Bearden Turnover.,23,37
3:06,282,Demonte Ojinnaka Turnover.,23,37
3:05,98,Darius Thompson Steal.,23,37
2:49,98,Dwight Coleby Turnover.,23,37
2:36,282,Qiydar Davis made Dunk. Assisted by Jordan Barnes.,25,37
2:17,98,Lamonte Bearden missed Jumper.,25,37
2:17,282,Clayton Hughes Block.,25,37
2:15,98,Dwight Coleby Offensive Rebound.,25,37
2:13,282,Foul on Clayton Hughes.,25,37
2:13,98,Dwight Coleby made Free Throw.,25,38
2:13,98,Dwight Coleby missed Free Throw.,25,38
2:13,282,Emondre Rickman Defensive Rebound.,25,38
2:03,282,Jordan Barnes missed Three Point Jumper.,25,38
2:03,98,Darius Thompson Defensive Rebound.,25,38
1:42,98,Jake Ohmer missed Three Point Jumper.,25,38
1:42,282,Brenton Scott Defensive Rebound.,25,38
1:34,282,Brenton Scott missed Jumper.,25,38
1:34,98,Darius Thompson Defensive Rebound.,25,38
1:25,98,Dwight Coleby made Dunk. Assisted by Darius Thompson.,25,40
1:17,282,Indiana State  Timeout,25,40
1:01,282,Jordan Barnes Turnover.,25,40
1:00,98,Taveion Hollingsworth Steal.,25,40
0:37,98,Darius Thompson made Three Point Jumper.,25,43
0:28,282,Jordan Barnes made Three Point Jumper.,28,43
0:01,98,Jake Ohmer missed Three Point Jumper.,28,43
0:01,282,Qiydar Davis Block.,28,43
0:00,282,Brenton Scott Defensive Rebound.,28,43
0:00,98,End of 1st half,28,43
19:49,282,Brenton Scott missed Jumper.,28,43
19:49,98,Lamonte Bearden Defensive Rebound.,28,43
19:37,98,Justin Johnson made Jumper.,28,45
19:19,282,Brenton Scott missed Three Point Jumper.,28,45
19:19,98,Darius Thompson Defensive Rebound.,28,45
19:09,98,Taveion Hollingsworth missed Three Point Jumper.,28,45
19:09,282,Brenton Scott Defensive Rebound.,28,45
18:48,282,Qiydar Davis missed Three Point Jumper.,28,45
18:48,98,Lamonte Bearden Defensive Rebound.,28,45
18:43,282,Foul on Jordan Barnes.,28,45
18:43,98,Lamonte Bearden missed Free Throw.,28,45
18:43,98,Western Kentucky Deadball Team Rebound.,28,45
18:43,98,Lamonte Bearden made Free Throw.,28,46
18:27,98,Foul on Dwight Coleby.,28,46
18:27,282,Tyreke Key missed Free Throw.,28,46
18:27,282,Indiana State Deadball Team Rebound.,28,46
18:27,282,Tyreke Key made Free Throw.,29,46
18:07,282,Foul on Demonte Ojinnaka.,29,46
18:07,98,Dwight Coleby missed Free Throw.,29,46
18:07,98,Western Kentucky Deadball Team Rebound.,29,46
18:07,98,Dwight Coleby missed Free Throw.,29,46
18:07,282,Emondre Rickman Defensive Rebound.,29,46
17:45,282,Jordan Barnes Turnover.,29,46
17:23,282,Foul on Emondre Rickman.,29,46
17:15,98,Darius Thompson made Jumper.,29,48
16:54,282,Brandon Murphy made Jumper.,31,48
16:43,98,Darius Thompson missed Three Point Jumper.,31,48
16:43,282,Clayton Hughes Defensive Rebound.,31,48
16:29,282,Tyreke Key made Layup. Assisted by Brandon Murphy.,33,48
16:00,282,Foul on Clayton Hughes.,33,48
15:46,282,Foul on Demonte Ojinnaka.,33,48
15:46,98,Official TV Timeout,33,48
15:46,98,Taveion Hollingsworth missed Free Throw.,33,48
15:46,98,Western Kentucky Deadball Team Rebound.,33,48
15:46,98,Taveion Hollingsworth made Free Throw.,33,49
15:19,282,Jordan Barnes Turnover.,33,49
15:11,98,Lamonte Bearden Turnover.,33,49
14:54,282,Brandon Murphy made Layup.,35,49
14:28,98,Justin Johnson made Jumper.,35,51
14:15,282,Qiydar Davis made Layup.,37,51
14:15,98,Foul on Dwight Coleby.,37,51
14:15,282,Qiydar Davis made Free Throw.,38,51
13:48,98,Darius Thompson made Three Point Jumper.,38,54
13:40,282,Qiydar Davis Turnover.,38,54
13:24,98,Darius Thompson missed Three Point Jumper.,38,54
13:24,282,Indiana State Defensive Rebound.,38,54
13:05,282,Qiydar Davis missed Jumper.,38,54
13:05,98,Dwight Coleby Defensive Rebound.,38,54
12:34,98,Jake Ohmer missed Jumper.,38,54
12:34,282,Tyreke Key Block.,38,54
12:33,282,Bronson Kessinger Defensive Rebound.,38,54
12:29,282,Bronson Kessinger Turnover.,38,54
12:28,98,Taveion Hollingsworth Steal.,38,54
12:26,282,Foul on Jordan Barnes.,38,54
12:15,98,Western Kentucky  Turnover.,38,54
11:54,282,Tyreke Key missed Three Point Jumper.,38,54
11:54,98,Dwight Coleby Defensive Rebound.,38,54
11:51,98,Official TV Timeout,38,54
11:35,98,Justin Johnson Turnover.,38,54
11:17,98,Foul on Darius Thompson.,38,54
11:03,282,Brandon Murphy made Layup. Assisted by Qiydar Davis.,40,54
10:36,98,Taveion Hollingsworth made Three Point Jumper. Assisted by Justin Johnson.,40,57
10:24,98,Foul on Dwight Coleby.,40,57
10:24,282,Brandon Murphy made Free Throw.,41,57
10:24,282,Brandon Murphy made Free Throw.,42,57
10:02,98,Jake Ohmer missed Three Point Jumper.,42,57
10:02,282,Qiydar Davis Block.,42,57
10:00,282,Brenton Scott Defensive Rebound.,42,57
9:47,98,Foul on Marek Nelson.,42,57
9:42,282,Brandon Murphy Turnover.,42,57
9:18,282,Foul on Bronson Kessinger.,42,57
9:18,98,Marek Nelson missed Free Throw.,42,57
9:18,282,Bronson Kessinger Defensive Rebound.,42,57
9:03,282,Brenton Scott missed Jumper.,42,57
9:03,98,Marek Nelson Defensive Rebound.,42,57
8:36,98,Jake Ohmer missed Three Point Jumper.,42,57
8:36,282,Brenton Scott Defensive Rebound.,42,57
8:27,282,Jordan Barnes made Three Point Jumper. Assisted by Brenton Scott.,45,57
8:06,98,Taveion Hollingsworth missed Jumper.,45,57
8:06,282,Bronson Kessinger Defensive Rebound.,45,57
7:53,282,Jordan Barnes missed Three Point Jumper.,45,57
7:53,98,Darius Thompson Defensive Rebound.,45,57
7:29,282,Foul on Brandon Murphy.,45,57
7:29,98,Official TV Timeout,45,57
7:29,98,Taveion Hollingsworth made Free Throw.,45,58
7:29,98,Taveion Hollingsworth made Free Throw.,45,59
7:22,282,Tyreke Key Turnover.,45,59
7:21,98,Marek Nelson Steal.,45,59
7:18,98,Marek Nelson made Layup.,45,61
6:58,282,Brenton Scott Turnover.,45,61
6:32,98,Jake Ohmer missed Three Point Jumper.,45,61
6:32,282,Brenton Scott Defensive Rebound.,45,61
6:23,282,Jordan Barnes made Three Point Jumper. Assisted by Tyreke Key.,48,61
6:00,98,Marek Nelson made Layup. Assisted by Taveion Hollingsworth.,48,63
5:46,282,Demonte Ojinnaka Turnover.,48,63
5:45,98,Jake Ohmer Steal.,48,63
5:43,98,Jake Ohmer made Layup.,48,65
5:32,282,Brenton Scott made Jumper. Assisted by Jordan Barnes.,50,65
5:13,98,Taveion Hollingsworth made Three Point Jumper. Assisted by Darius Thompson.,50,68
4:57,282,Brenton Scott made Three Point Jumper. Assisted by Jordan Barnes.,53,68
4:42,98,Jake Ohmer made Three Point Jumper. Assisted by Marek Nelson.,53,71
4:38,98,Western Kentucky  Timeout,53,71
4:38,98,Official TV Timeout,53,71
4:34,282,Qiydar Davis made Three Point Jumper. Assisted by Tyreke Key.,56,71
4:03,98,Taveion Hollingsworth made Jumper. Assisted by Marek Nelson.,56,73
3:53,282,Jordan Barnes missed Three Point Jumper.,56,73
3:53,282,Qiydar Davis Offensive Rebound.,56,73
3:49,282,Qiydar Davis missed Jumper.,56,73
3:49,98,Dwight Coleby Defensive Rebound.,56,73
3:33,98,Darius Thompson made Layup. Assisted by Jake Ohmer.,56,75
3:33,282,Foul on Tyreke Key.,56,75
3:33,98,Official TV Timeout,56,75
3:33,98,Darius Thompson made Free Throw.,56,76
3:23,282,Brenton Scott made Three Point Jumper. Assisted by Qiydar Davis.,59,76
2:53,98,Taveion Hollingsworth made Jumper.,59,78
2:39,282,Brenton Scott made Three Point Jumper. Assisted by Qiydar Davis.,62,78
2:22,282,Foul on Brandon Murphy.,62,78
2:22,98,Justin Johnson made Free Throw.,62,79
2:22,98,Justin Johnson made Free Throw.,62,80
2:13,282,Jordan Barnes missed Three Point Jumper.,62,80
2:13,98,Lamonte Bearden Defensive Rebound.,62,80
1:51,98,Lamonte Bearden missed Jumper.,62,80
1:51,282,Bronson Kessinger Defensive Rebound.,62,80
1:38,282,Bronson Kessinger missed Layup.,62,80
1:38,98,Justin Johnson Block.,62,80
1:36,98,Justin Johnson Defensive Rebound.,62,80
1:21,282,Foul on Tyreke Key.,62,80
1:21,98,Justin Johnson missed Free Throw.,62,80
1:21,98,Western Kentucky Deadball Team Rebound.,62,80
1:21,98,Justin Johnson made Free Throw.,62,81
1:10,282,Tyreke Key missed Layup.,62,81
1:10,98,Tyler Miller Defensive Rebound.,62,81
0:53,98,Justin Johnson missed Jumper.,62,81
0:53,282,Bronson Kessinger Defensive Rebound.,62,81
0:47,282,Brenton Scott missed Layup.,62,81
0:47,98,Marek Nelson Block.,62,81
0:46,282,Indiana State Offensive Rebound.,62,81
0:41,282,Clayton Hughes made Three Point Jumper. Assisted by Demonte Ojinnaka.,65,81
0:18,98,Lamonte Bearden missed Jumper.,65,81
0:18,282,Tyreke Key Block.,65,81
0:17,282,Demonte Ojinnaka Defensive Rebound.,65,81
0:09,282,Tyreke Key missed Three Point Jumper.,65,81
0:09,98,Jake Ohmer Defensive Rebound.,65,81
0:00,98,End of Game,65,81
