Saint Louis,204,Oregon State,139
4:17,139,Rashed Anthony Block.,20,22
4:14,139,Javon Bess Defensive Rebound.,20,22
3:52,139,Rashed Anthony made Jumper.,22,22
3:42,204,Official TV Timeout,22,22
3:20,204,Alfred Hollins missed Jumper.,22,22
3:20,204,Oregon State Offensive Rebound.,22,22
3:19,139,Foul on Rashed Anthony.,22,22
3:19,204,Gligorije Rakocevic missed Free Throw.,22,22
3:19,204,Gligorije Rakocevic Offensive Rebound.,22,22
3:19,204,Gligorije Rakocevic missed Free Throw.,22,22
3:19,139,Javon Bess Defensive Rebound.,22,22
2:59,139,Javon Bess made Jumper.,24,22
2:43,204,Tres Tinkle missed Layup.,24,22
2:43,139,D.J. Foreman Defensive Rebound.,24,22
2:32,139,D.J. Foreman missed Layup.,24,22
2:32,139,Jordan Goodwin Offensive Rebound.,24,22
2:29,139,Jordan Goodwin missed Layup.,24,22
2:29,204,Alfred Hollins Block.,24,22
2:25,204,Alfred Hollins Defensive Rebound.,24,22
2:19,204,Alfred Hollins missed Layup.,24,22
2:19,204,Gligorije Rakocevic Offensive Rebound.,24,22
2:13,204,Ethan Thompson Turnover.,24,22
1:56,139,D.J. Foreman made Layup.,26,22
1:46,204,Kendal Manuel missed Three Point Jumper.,26,22
1:46,139,Saint Louis Defensive Rebound.,26,22
1:17,204,Foul on Stephen Thompson Jr..,26,22
1:17,139,Javon Bess made Free Throw.,27,22
1:17,139,Javon Bess missed Free Throw.,27,22
1:17,204,Tres Tinkle Defensive Rebound.,27,22
0:54,204,Drew Eubanks missed Layup.,27,22
0:54,139,Jalen Johnson Defensive Rebound.,27,22
0:30,139,D.J. Foreman Turnover.,27,22
0:18,139,Foul on D.J. Foreman.,27,22
0:18,204,Ethan Thompson made Free Throw.,27,23
0:18,204,Ethan Thompson made Free Throw.,27,24
0:05,204,Foul on Kendal Manuel.,27,24
0:05,139,Javon Bess made Free Throw.,28,24
0:05,139,Javon Bess made Free Throw.,29,24
0:00,204,Ronnie Stacy made Layup.,29,26
0:00,204,End of 1st half,29,26
19:43,139,Hasahn French missed Layup.,29,26
19:43,204,Drew Eubanks Block.,29,26
19:42,139,Saint Louis Offensive Rebound.,29,26
19:37,139,Davell Roby Turnover.,29,26
19:21,204,Stephen Thompson Jr. missed Three Point Jumper.,29,26
19:21,139,Hasahn French Defensive Rebound.,29,26
18:57,139,Jordan Goodwin Turnover.,29,26
18:57,204,Drew Eubanks Steal.,29,26
18:55,204,Drew Eubanks Turnover.,29,26
18:54,139,Javon Bess Steal.,29,26
18:51,204,Foul on Tres Tinkle.,29,26
18:43,139,Jalen Johnson made Layup.,31,26
18:29,204,Tres Tinkle Turnover.,31,26
18:27,139,Hasahn French Steal.,31,26
18:21,139,Davell Roby made Three Point Jumper. Assisted by Jordan Goodwin.,34,26
18:20,139,Foul on Javon Bess.,34,26
18:20,204,Oregon State  Timeout,34,26
18:06,204,Ethan Thompson made Three Point Jumper. Assisted by Stephen Thompson Jr..,34,29
18:04,139,Foul on Davell Roby.,34,29
18:04,204,Ethan Thompson made Free Throw.,34,30
17:41,139,Davell Roby missed Three Point Jumper.,34,30
17:41,139,Jordan Goodwin Offensive Rebound.,34,30
17:36,139,Jordan Goodwin made Layup.,36,30
17:20,204,Seth Berger missed Layup.,36,30
17:20,139,Jalen Johnson Defensive Rebound.,36,30
17:12,139,Davell Roby made Jumper.,38,30
16:58,204,Tres Tinkle missed Three Point Jumper.,38,30
16:58,204,Seth Berger Offensive Rebound.,38,30
16:51,204,Drew Eubanks made Layup. Assisted by Seth Berger.,38,32
16:17,139,Saint Louis  Turnover.,38,32
16:10,204,Foul on Ethan Thompson.,38,32
16:10,204,Ethan Thompson Turnover.,38,32
15:43,139,Jordan Goodwin made Three Point Jumper.,41,32
15:24,139,Foul on Hasahn French.,41,32
15:24,204,Official TV Timeout,41,32
15:24,204,Ethan Thompson made Free Throw.,41,33
15:24,204,Ethan Thompson made Free Throw.,41,34
15:01,139,Jordan Goodwin missed Three Point Jumper.,41,34
15:01,204,Stephen Thompson Jr. Defensive Rebound.,41,34
14:55,139,Foul on Jalen Johnson.,41,34
14:53,204,Ethan Thompson missed Three Point Jumper.,41,34
14:53,204,Zach Reichle Offensive Rebound.,41,34
14:46,204,Tres Tinkle missed Three Point Jumper.,41,34
14:46,139,Jalen Johnson Defensive Rebound.,41,34
14:32,139,Javon Bess missed Jumper.,41,34
14:32,139,Saint Louis Offensive Rebound.,41,34
14:06,139,Jordan Goodwin missed Jumper.,41,34
14:06,139,Javon Bess Offensive Rebound.,41,34
14:03,139,Javon Bess missed Jumper.,41,34
14:03,139,Javon Bess Offensive Rebound.,41,34
13:39,204,Foul on Gligorije Rakocevic.,41,34
13:39,139,Javon Bess missed Free Throw.,41,34
13:39,139,Saint Louis Deadball Team Rebound.,41,34
13:39,139,Javon Bess missed Free Throw.,41,34
13:39,204,Tres Tinkle Defensive Rebound.,41,34
13:18,139,Foul on Aaron Hines.,41,34
13:18,204,Tres Tinkle made Free Throw.,41,35
13:18,204,Tres Tinkle made Free Throw.,41,36
12:53,139,Aaron Hines missed Jumper.,41,36
12:53,139,Jalen Johnson Offensive Rebound.,41,36
12:31,139,Jalen Johnson missed Three Point Jumper.,41,36
12:31,139,Jordan Goodwin Offensive Rebound.,41,36
12:27,139,Jordan Goodwin missed Layup.,41,36
12:27,204,Tres Tinkle Defensive Rebound.,41,36
12:26,139,Foul on Rashed Anthony.,41,36
12:24,139,Foul on Jordan Goodwin.,41,36
12:24,204,Stephen Thompson Jr. missed Free Throw.,41,36
12:24,139,Jalen Johnson Defensive Rebound.,41,36
11:59,139,Aaron Hines Turnover.,41,36
11:58,204,Alfred Hollins Steal.,41,36
11:57,139,Foul on Javon Bess.,41,36
11:57,204,Official TV Timeout,41,36
11:57,204,Alfred Hollins missed Free Throw.,41,36
11:57,204,Oregon State Deadball Team Rebound.,41,36
11:57,204,Alfred Hollins missed Free Throw.,41,36
11:57,139,Javon Bess Defensive Rebound.,41,36
11:50,204,Foul on Alfred Hollins.,41,36
11:44,139,Aaron Hines Turnover.,41,36
11:20,204,Alfred Hollins missed Jumper.,41,36
11:20,139,Saint Louis Deadball Team Rebound.,41,36
11:08,204,Foul on Gligorije Rakocevic.,41,36
11:08,139,Hasahn French missed Free Throw.,41,36
11:08,139,Saint Louis Deadball Team Rebound.,41,36
11:08,139,Hasahn French missed Free Throw.,41,36
11:08,204,Drew Eubanks Defensive Rebound.,41,36
10:34,204,Tres Tinkle made Jumper.,41,38
10:03,139,Javon Bess missed Jumper.,41,38
10:03,204,Tres Tinkle Block.,41,38
10:02,204,Tres Tinkle Defensive Rebound.,41,38
9:47,204,Drew Eubanks made Layup.,41,40
9:44,139,Saint Louis  Timeout,41,40
9:30,139,Jordan Goodwin made Layup. Assisted by Javon Bess.,43,40
8:59,204,Kendal Manuel made Three Point Jumper. Assisted by Tres Tinkle.,43,43
8:34,204,Foul on Gligorije Rakocevic.,43,43
8:23,204,Foul on Ben Kone.,43,43
8:23,139,Hasahn French missed Free Throw.,43,43
8:23,204,Ben Kone Defensive Rebound.,43,43
8:21,139,Foul on Hasahn French.,43,43
8:21,204,Ben Kone made Free Throw.,43,44
8:21,204,Ben Kone made Free Throw.,43,45
8:01,204,Foul on Kendal Manuel.,43,45
8:01,139,Davell Roby made Free Throw.,44,45
8:01,139,Davell Roby made Free Throw.,45,45
7:43,139,Foul on Jordan Goodwin.,45,45
7:43,204,Official TV Timeout,45,45
7:43,204,Stephen Thompson Jr. made Free Throw.,45,46
7:43,204,Stephen Thompson Jr. made Free Throw.,45,47
7:16,139,Jordan Goodwin made Jumper.,47,47
6:50,204,Stephen Thompson Jr. Turnover.,47,47
6:36,139,Jordan Goodwin made Three Point Jumper. Assisted by Davell Roby.,50,47
6:17,204,Stephen Thompson Jr. made Three Point Jumper.,50,50
5:47,139,Jalen Johnson missed Three Point Jumper.,50,50
5:47,204,Tres Tinkle Defensive Rebound.,50,50
5:32,139,Foul on Davell Roby.,50,50
5:32,204,Tres Tinkle made Free Throw.,50,51
5:32,204,Tres Tinkle made Free Throw.,50,52
5:16,204,Foul on Drew Eubanks.,50,52
5:16,139,Jalen Johnson made Free Throw.,51,52
5:16,139,Jalen Johnson made Free Throw.,52,52
4:59,204,Drew Eubanks made Dunk. Assisted by Ethan Thompson.,52,54
4:41,139,Davell Roby made Jumper. Assisted by Jordan Goodwin.,54,54
4:18,204,Ben Kone missed Three Point Jumper.,54,54
4:18,139,Saint Louis Defensive Rebound.,54,54
4:00,139,Jalen Johnson missed Three Point Jumper.,54,54
4:00,204,Ben Kone Defensive Rebound.,54,54
3:37,204,Drew Eubanks made Jumper.,54,56
3:10,139,Jalen Johnson missed Three Point Jumper.,54,56
3:10,204,Ben Kone Defensive Rebound.,54,56
2:50,204,Tres Tinkle missed Layup.,54,56
2:50,204,Ben Kone Offensive Rebound.,54,56
2:47,204,Ben Kone missed Layup.,54,56
2:47,139,Javon Bess Defensive Rebound.,54,56
2:42,139,Saint Louis  Timeout,54,56
2:18,139,Javon Bess missed Layup.,54,56
2:18,204,Drew Eubanks Defensive Rebound.,54,56
1:48,204,Tres Tinkle made Layup.,54,58
1:26,139,Jordan Goodwin made Layup.,56,58
1:26,204,Foul on Ben Kone.,56,58
1:26,139,Jordan Goodwin made Free Throw.,57,58
1:06,139,Foul on Hasahn French.,57,58
1:06,204,Ethan Thompson made Free Throw.,57,59
1:06,204,Ethan Thompson missed Free Throw.,57,59
1:06,204,Stephen Thompson Jr. Offensive Rebound.,57,59
0:46,204,Ethan Thompson missed Three Point Jumper.,57,59
0:46,204,Drew Eubanks Offensive Rebound.,57,59
0:21,204,Drew Eubanks made Layup. Assisted by Stephen Thompson Jr..,57,61
0:14,139,Saint Louis  Timeout,57,61
0:14,204,Oregon State  Timeout,57,61
0:14,204,Foul on Ben Kone.,57,61
0:14,139,Davell Roby made Free Throw.,58,61
0:14,139,Davell Roby made Free Throw.,59,61
0:11,139,Foul on Aaron Hines.,59,61
0:11,204,Stephen Thompson Jr. made Free Throw.,59,62
0:11,204,Stephen Thompson Jr. made Free Throw.,59,63
0:03,139,Jordan Goodwin missed Three Point Jumper.,59,63
0:03,139,Jalen Johnson Offensive Rebound.,59,63
0:02,204,Foul on Stephen Thompson Jr..,59,63
0:02,139,Jalen Johnson made Free Throw.,60,63
0:02,139,Jalen Johnson missed Free Throw.,60,63
0:02,204,Tres Tinkle Defensive Rebound.,60,63
0:00,204,End of Game,59,63
