Utah,252,BYU,254
4:35,252,Yoeli Childs Block.,22,29
4:35,252,McKay Cannon Defensive Rebound.,22,29
4:27,252,Elijah Bryant made Three Point Jumper. Assisted by Jahshire Hardnett.,22,32
3:56,254,Gabe Bealer missed Three Point Jumper.,22,32
3:56,252,Jahshire Hardnett Defensive Rebound.,22,32
3:45,252,Elijah Bryant made Three Point Jumper. Assisted by Zac Seljaas.,22,35
3:36,254,Utah  Timeout,22,35
3:17,254,Parker Van Dyke missed Three Point Jumper.,22,35
3:17,252,Elijah Bryant Defensive Rebound.,22,35
2:52,252,Foul on Jahshire Hardnett.,22,35
2:52,252,Jahshire Hardnett Turnover.,22,35
2:40,254,Justin Bibbins missed Three Point Jumper.,22,35
2:40,252,Elijah Bryant Defensive Rebound.,22,35
2:29,252,Luke Worthington Turnover.,22,35
2:21,254,Jayce Johnson made Dunk. Assisted by Tyler Rawson.,24,35
1:46,252,Yoeli Childs missed Jumper.,24,35
1:46,254,Tyler Rawson Defensive Rebound.,24,35
1:36,252,Foul on Yoeli Childs.,24,35
1:36,254,Jayce Johnson made Free Throw.,25,35
1:36,254,Jayce Johnson made Free Throw.,26,35
1:27,252,Yoeli Childs made Dunk. Assisted by TJ Haws.,26,37
1:06,254,Sedrick Barefield missed Three Point Jumper.,26,37
1:06,252,TJ Haws Defensive Rebound.,26,37
0:57,252,Zac Seljaas Turnover.,26,37
0:57,254,Tyler Rawson Steal.,26,37
0:51,254,Parker Van Dyke missed Layup.,26,37
0:51,254,Tyler Rawson Offensive Rebound.,26,37
0:51,254,Tyler Rawson made Two Point Tip Shot.,28,37
0:17,252,TJ Haws Turnover.,28,37
0:03,254,Justin Bibbins Turnover.,28,37
0:03,252,TJ Haws Steal.,28,37
0:00,252,End of 1st half,28,37
20:00,252,Jump Ball won by BYU,28,37
19:46,252,TJ Haws missed Layup.,28,37
19:46,254,David Collette Defensive Rebound.,28,37
19:36,254,David Collette made Jumper. Assisted by Tyler Rawson.,30,37
19:10,252,Zac Seljaas missed Jumper.,30,37
19:10,254,Tyler Rawson Defensive Rebound.,30,37
18:54,254,Gabe Bealer made Layup. Assisted by Tyler Rawson.,32,37
18:37,252,TJ Haws made Three Point Jumper. Assisted by Jahshire Hardnett.,32,40
18:16,252,Foul on Zac Seljaas.,32,40
18:07,254,Kolbe Caldwell made Three Point Jumper. Assisted by Tyler Rawson.,35,40
17:53,254,Foul on Sedrick Barefield.,35,40
17:50,252,Yoeli Childs missed Jumper.,35,40
17:50,254,Gabe Bealer Defensive Rebound.,35,40
17:34,254,David Collette Turnover.,35,40
17:34,252,Elijah Bryant Steal.,35,40
17:27,252,Foul on Elijah Bryant.,35,40
17:27,252,Elijah Bryant Turnover.,35,40
17:11,254,David Collette missed Jumper.,35,40
17:11,252,Zac Seljaas Defensive Rebound.,35,40
17:02,252,Elijah Bryant made Three Point Jumper.,35,43
16:35,254,David Collette Turnover.,35,43
16:35,252,Elijah Bryant Steal.,35,43
16:22,252,Foul on Jahshire Hardnett.,35,43
16:22,252,Jahshire Hardnett Turnover.,35,43
16:00,254,Tyler Rawson Turnover.,35,43
16:00,252,Yoeli Childs Steal.,35,43
16:00,254,Foul on Gabe Bealer.,35,43
16:00,252,Official TV Timeout,35,43
16:00,252,Elijah Bryant made Free Throw.,35,44
16:00,252,Elijah Bryant made Free Throw.,35,45
15:47,254,Gabe Bealer made Layup.,37,45
15:30,252,Yoeli Childs made Dunk. Assisted by TJ Haws.,37,47
15:11,254,Gabe Bealer made Three Point Jumper. Assisted by Tyler Rawson.,40,47
14:47,254,Foul on Justin Bibbins.,40,47
14:37,252,Elijah Bryant made Jumper.,40,49
14:29,252,Foul on McKay Cannon.,40,49
14:16,254,Sedrick Barefield made Jumper.,42,49
14:03,252,McKay Cannon made Jumper.,42,51
13:46,254,Justin Bibbins missed Three Point Jumper.,42,51
13:46,252,Elijah Bryant Defensive Rebound.,42,51
13:17,252,McKay Cannon missed Three Point Jumper.,42,51
13:17,254,Gabe Bealer Defensive Rebound.,42,51
13:09,254,David Collette made Layup. Assisted by Gabe Bealer.,44,51
13:09,252,Foul on Zac Seljaas.,44,51
13:09,254,David Collette missed Free Throw.,44,51
13:09,252,Elijah Bryant Defensive Rebound.,44,51
12:54,252,Luke Worthington missed Jumper.,44,51
12:54,252,Luke Worthington Offensive Rebound.,44,51
12:45,252,TJ Haws Turnover.,44,51
12:45,254,Gabe Bealer Steal.,44,51
12:31,254,Jayce Johnson missed Jumper.,44,51
12:31,252,Luke Worthington Block.,44,51
12:31,252,Zac Seljaas Defensive Rebound.,44,51
12:16,252,Zac Seljaas missed Three Point Jumper.,44,51
12:16,252,Elijah Bryant Offensive Rebound.,44,51
12:10,252,Elijah Bryant Turnover.,44,51
12:10,254,Kolbe Caldwell Steal.,44,51
12:05,252,Foul on TJ Haws.,44,51
12:05,254,Kolbe Caldwell made Free Throw.,45,51
12:05,254,Kolbe Caldwell made Free Throw.,46,51
11:53,254,Foul on Tyler Rawson.,46,51
11:53,252,Official TV Timeout,46,51
11:41,252,Payton Dastrup missed Jumper.,46,51
11:41,252,Payton Dastrup Offensive Rebound.,46,51
11:36,252,Payton Dastrup made Layup.,46,53
11:19,254,Jayce Johnson Turnover.,46,53
11:19,252,McKay Cannon Steal.,46,53
11:09,252,TJ Haws missed Three Point Jumper.,46,53
11:09,254,Jayce Johnson Defensive Rebound.,46,53
11:05,252,Foul on Luke Worthington.,46,53
11:05,254,Jayce Johnson missed Free Throw.,46,53
11:05,252,Payton Dastrup Defensive Rebound.,46,53
10:49,252,Yoeli Childs missed Jumper.,46,53
10:49,254,Tyler Rawson Defensive Rebound.,46,53
10:40,254,Foul on Tyler Rawson.,46,53
10:40,254,Tyler Rawson Turnover.,46,53
10:28,254,Foul on Justin Bibbins.,46,53
10:22,252,Payton Dastrup made Three Point Jumper. Assisted by TJ Haws.,46,56
10:08,254,Jayce Johnson Turnover.,46,56
10:08,252,TJ Haws Steal.,46,56
10:04,252,TJ Haws missed Three Point Jumper.,46,56
10:04,254,Kolbe Caldwell Defensive Rebound.,46,56
9:58,254,Kolbe Caldwell missed Layup.,46,56
9:58,254,Jayce Johnson Offensive Rebound.,46,56
9:53,254,Jayce Johnson made Layup.,48,56
9:27,252,Elijah Bryant missed Jumper.,48,56
9:27,252,Elijah Bryant Offensive Rebound.,48,56
9:22,252,Elijah Bryant made Layup.,48,58
9:04,254,Sedrick Barefield missed Three Point Jumper.,48,58
9:04,252,Elijah Bryant Defensive Rebound.,48,58
8:51,254,Foul on Jayce Johnson.,48,58
8:51,252,Elijah Bryant made Free Throw.,48,59
8:51,252,Elijah Bryant made Free Throw.,48,60
8:38,254,Tyler Rawson missed Three Point Jumper.,48,60
8:38,252,Payton Dastrup Defensive Rebound.,48,60
8:24,252,McKay Cannon Turnover.,48,60
8:24,254,David Collette Steal.,48,60
8:11,254,David Collette made Layup.,50,60
7:58,252,Payton Dastrup made Three Point Jumper. Assisted by Elijah Bryant.,50,63
7:30,254,Foul on Gabe Bealer.,50,63
7:30,254,Gabe Bealer Turnover.,50,63
7:30,252,Official TV Timeout,50,63
7:14,252,Jahshire Hardnett Turnover.,50,63
7:14,254,Justin Bibbins Steal.,50,63
7:09,254,Justin Bibbins made Layup.,52,63
6:53,254,Foul on Justin Bibbins.,52,63
6:53,252,Yoeli Childs made Free Throw.,52,64
6:53,252,Yoeli Childs missed Free Throw.,52,64
6:53,254,David Collette Defensive Rebound.,52,64
6:38,254,David Collette missed Layup.,52,64
6:38,252,Yoeli Childs Block.,52,64
6:38,252,Payton Dastrup Defensive Rebound.,52,64
6:19,252,Yoeli Childs Turnover.,52,64
6:13,254,Gabe Bealer missed Three Point Jumper.,52,64
6:13,252,Yoeli Childs Block.,52,64
6:13,254,Gabe Bealer Offensive Rebound.,52,64
5:57,254,Sedrick Barefield missed Jumper.,52,64
5:57,254,Tyler Rawson Offensive Rebound.,52,64
5:52,252,Foul on McKay Cannon.,52,64
5:52,254,Tyler Rawson made Free Throw.,53,64
5:52,254,Tyler Rawson made Free Throw.,54,64
5:36,252,Elijah Bryant made Three Point Jumper. Assisted by Jahshire Hardnett.,54,67
5:16,254,Gabe Bealer missed Three Point Jumper.,54,67
5:16,252,TJ Haws Defensive Rebound.,54,67
4:53,252,Yoeli Childs Turnover.,54,67
4:41,254,Sedrick Barefield made Jumper.,56,67
4:17,254,Foul on Jayce Johnson.,56,67
4:17,252,Yoeli Childs missed Free Throw.,56,67
4:17,252,BYU Deadball Team Rebound.,56,67
4:17,252,Yoeli Childs missed Free Throw.,56,67
4:17,254,Jayce Johnson Defensive Rebound.,56,67
3:54,252,Official TV Timeout,56,67
3:46,254,Sedrick Barefield missed Three Point Jumper.,56,67
3:46,254,Tyler Rawson Offensive Rebound.,56,67
3:44,252,Foul on Elijah Bryant.,56,67
3:44,254,Tyler Rawson missed Free Throw.,56,67
3:44,254,Utah Deadball Team Rebound.,56,67
3:44,254,Tyler Rawson made Free Throw.,57,67
3:17,252,Jahshire Hardnett made Layup.,57,69
3:17,254,Foul on Kolbe Caldwell.,57,69
3:17,252,Jahshire Hardnett made Free Throw.,57,70
3:12,252,Foul on Jahshire Hardnett.,57,70
3:12,254,Justin Bibbins made Free Throw.,58,70
3:12,254,Justin Bibbins missed Free Throw.,58,70
3:12,252,Elijah Bryant Defensive Rebound.,58,70
2:52,252,Jahshire Hardnett missed Three Point Jumper.,58,70
2:52,254,Tyler Rawson Defensive Rebound.,58,70
2:35,254,David Collette missed Jumper.,58,70
2:35,254,David Collette Offensive Rebound.,58,70
2:24,254,David Collette missed Three Point Jumper.,58,70
2:24,252,Elijah Bryant Defensive Rebound.,58,70
2:04,252,Jahshire Hardnett missed Jumper.,58,70
2:04,254,David Collette Defensive Rebound.,58,70
1:56,254,Gabe Bealer made Layup. Assisted by Justin Bibbins.,60,70
1:49,254,Utah  Timeout,60,70
1:47,254,Foul on Kolbe Caldwell.,60,70
1:47,252,Elijah Bryant made Free Throw.,60,71
1:47,252,Elijah Bryant made Free Throw.,60,72
1:37,254,Christian Popoola missed Layup.,60,72
1:37,252,Elijah Bryant Block.,60,72
1:37,252,Luke Worthington Defensive Rebound.,60,72
1:29,254,Foul on Justin Bibbins.,60,72
1:29,252,McKay Cannon made Free Throw.,60,73
1:29,252,McKay Cannon made Free Throw.,60,74
1:20,254,Parker Van Dyke missed Jumper.,60,74
1:20,252,Zac Seljaas Defensive Rebound.,60,74
0:54,252,Luke Worthington made Layup. Assisted by Zac Seljaas.,60,76
0:42,254,Gabe Bealer made Jumper.,62,76
0:42,252,Foul on Luke Worthington.,62,76
0:42,254,Gabe Bealer missed Free Throw.,62,76
0:42,252,Zac Seljaas Defensive Rebound.,62,76
0:40,254,Foul on Gabe Bealer.,62,76
0:40,252,TJ Haws missed Free Throw.,62,76
0:40,252,BYU Deadball Team Rebound.,62,76
0:40,252,TJ Haws made Free Throw.,62,77
0:30,254,Tyler Rawson made Three Point Jumper. Assisted by Parker Van Dyke.,65,77
0:27,254,Utah  Timeout,65,77
0:00,252,End of Game,65,77
