North Dakota,2250,Gonzaga,155
3:33,155,North Dakota Offensive Rebound.,26,24
3:29,2250,Official TV Timeout,26,24
3:05,155,Dale Jones missed Three Point Jumper.,26,24
3:05,2250,Johnathan Williams Defensive Rebound.,26,24
2:48,2250,Jacob Larsen missed Jumper.,26,24
2:48,155,Dale Jones Defensive Rebound.,26,24
2:35,155,Conner Avants made Layup. Assisted by Geno Crandall.,28,24
2:20,2250,Rui Hachimura Turnover.,28,24
2:05,155,Jump Ball won by North Dakota,28,24
1:55,155,Geno Crandall made Jumper.,30,24
1:33,2250,Rui Hachimura made Layup. Assisted by Jacob Larsen.,30,26
1:05,155,Cortez Seales made Jumper. Assisted by Geno Crandall.,32,26
0:48,2250,Johnathan Williams made Layup.,32,28
0:27,155,Marlon Stewart made Layup.,34,28
0:16,2250,Gonzaga  Timeout,34,28
0:08,2250,Silas Melson made Jumper.,34,30
0:05,155,Geno Crandall Turnover.,34,30
0:05,2250,Zach Norvell Jr. Steal.,34,30
0:05,2250,Zach Norvell Jr. missed Jumper.,34,30
0:05,155,Cortez Seales Block.,34,30
0:05,155,North Dakota Defensive Rebound.,34,30
0:00,2250,End of 1st half,34,30
20:00,2250,Jump Ball won by Gonzaga,34,30
19:50,2250,Josh Perkins missed Jumper.,34,30
19:50,155,Dale Jones Block.,34,30
19:50,155,Geno Crandall Defensive Rebound.,34,30
19:36,155,Dale Jones made Three Point Jumper. Assisted by Cortez Seales.,37,30
19:12,2250,Killian Tillie missed Jumper.,37,30
19:12,155,Geno Crandall Defensive Rebound.,37,30
18:52,155,Marlon Stewart made Layup.,39,30
18:29,155,Foul on Conner Avants.,39,30
18:29,2250,Johnathan Williams missed Free Throw.,39,30
18:29,2250,Gonzaga Deadball Team Rebound.,39,30
18:29,2250,Johnathan Williams made Free Throw.,39,31
18:06,155,Geno Crandall made Jumper.,41,31
17:51,2250,Johnathan Williams made Dunk. Assisted by Zach Norvell Jr..,41,33
17:30,155,Marlon Stewart made Layup.,43,33
17:20,155,Foul on Marlon Stewart.,43,33
17:13,2250,Foul on Killian Tillie.,43,33
17:13,2250,Killian Tillie Turnover.,43,33
17:03,155,Dale Jones missed Three Point Jumper.,43,33
17:03,2250,Rui Hachimura Defensive Rebound.,43,33
16:52,2250,Silas Melson missed Three Point Jumper.,43,33
16:52,155,Marlon Stewart Defensive Rebound.,43,33
16:21,155,Cortez Seales made Jumper.,45,33
16:16,2250,Gonzaga  Timeout,45,33
16:04,2250,Josh Perkins made Jumper.,45,35
15:35,155,Conner Avants Turnover.,45,35
15:35,2250,Zach Norvell Jr. Steal.,45,35
15:31,2250,Josh Perkins made Three Point Jumper. Assisted by Zach Norvell Jr..,45,38
15:07,2250,Official TV Timeout,45,38
15:07,2250,Foul on Josh Perkins.,45,38
14:55,155,Conner Avants missed Jumper.,45,38
14:55,2250,Zach Norvell Jr. Defensive Rebound.,45,38
14:46,155,Conner Avants Steal.,45,38
14:36,2250,Zach Norvell Jr. Turnover.,45,38
14:13,155,Cortez Seales missed Jumper.,45,38
14:13,2250,Josh Perkins Defensive Rebound.,45,38
14:05,2250,Josh Perkins missed Three Point Jumper.,45,38
14:05,155,Cortez Seales Defensive Rebound.,45,38
13:45,155,Geno Crandall Turnover.,45,38
13:45,2250,Josh Perkins Steal.,45,38
13:41,2250,Rui Hachimura made Layup. Assisted by Josh Perkins.,45,40
13:12,155,Marlon Stewart missed Jumper.,45,40
13:12,2250,Rui Hachimura Defensive Rebound.,45,40
12:56,155,Foul on Dale Jones.,45,40
12:56,2250,Killian Tillie made Free Throw.,45,41
12:56,2250,Killian Tillie made Free Throw.,45,42
12:55,155,Geno Crandall Turnover.,45,42
12:55,2250,Silas Melson Steal.,45,42
12:43,155,Foul on Geno Crandall.,45,42
12:43,2250,Zach Norvell Jr. made Free Throw.,45,43
12:43,2250,Zach Norvell Jr. made Free Throw.,45,44
12:34,155,Dale Jones missed Three Point Jumper.,45,44
12:34,2250,Zach Norvell Jr. Defensive Rebound.,45,44
12:23,2250,Rui Hachimura made Layup. Assisted by Josh Perkins.,45,46
12:07,155,North Dakota  Timeout,45,46
11:57,155,Conner Avants Turnover.,45,46
11:57,2250,Rui Hachimura Steal.,45,46
11:49,2250,Josh Perkins missed Layup.,45,46
11:49,155,Conner Avants Defensive Rebound.,45,46
11:46,2250,Foul on Josh Perkins.,45,46
11:33,155,Marlon Stewart missed Three Point Jumper.,45,46
11:33,2250,Gonzaga Defensive Rebound.,45,46
11:13,2250,Rui Hachimura missed Layup.,45,46
11:13,2250,Rui Hachimura Offensive Rebound.,45,46
11:13,2250,Rui Hachimura missed Two Point Tip Shot.,45,46
11:13,155,Marlon Stewart Defensive Rebound.,45,46
10:54,155,Cortez Seales made Jumper.,47,46
10:33,155,Foul on Geno Crandall.,47,46
10:32,2250,Zach Norvell Jr. missed Three Point Jumper.,47,46
10:32,155,Marlon Stewart Defensive Rebound.,47,46
10:22,155,Kienan Walter Turnover.,47,46
10:22,2250,Zach Norvell Jr. Steal.,47,46
10:17,2250,Josh Perkins missed Three Point Jumper.,47,46
10:17,2250,Killian Tillie Offensive Rebound.,47,46
10:12,2250,Killian Tillie Turnover.,47,46
10:12,155,Cortez Seales Steal.,47,46
10:00,2250,Foul on Zach Norvell Jr..,47,46
10:00,155,Geno Crandall made Free Throw.,48,46
10:00,155,Geno Crandall made Free Throw.,49,46
9:49,2250,Silas Melson missed Jumper.,49,46
9:49,2250,Gonzaga Offensive Rebound.,49,46
9:45,2250,Josh Perkins missed Three Point Jumper.,49,46
9:45,155,Conner Avants Defensive Rebound.,49,46
9:37,155,Geno Crandall missed Layup.,49,46
9:37,2250,Josh Perkins Defensive Rebound.,49,46
9:09,155,Geno Crandall made Layup.,51,46
8:57,155,Foul on Conner Avants.,51,46
8:57,155,Foul on Cortez Seales.,51,46
8:57,2250,Jeremy Jones made Free Throw.,51,47
8:57,2250,Jeremy Jones made Free Throw.,51,48
8:45,155,Foul on Marlon Stewart.,51,48
8:45,155,Marlon Stewart Turnover.,51,48
8:32,2250,Flagrant foul on Johnathan Williams.,51,48
8:32,2250,Johnathan Williams Turnover.,51,48
8:32,155,Conner Avants missed Free Throw.,51,48
8:32,155,North Dakota Deadball Team Rebound.,51,48
8:32,155,Conner Avants made Free Throw.,52,48
8:26,155,Marlon Stewart Turnover.,52,48
8:26,2250,Josh Perkins Steal.,52,48
8:22,2250,Josh Perkins made Layup.,52,50
8:22,155,Foul on Geno Crandall.,52,50
8:22,2250,Josh Perkins missed Free Throw.,52,50
8:22,155,Dale Jones Defensive Rebound.,52,50
8:03,155,Geno Crandall made Layup.,54,50
7:49,2250,Killian Tillie Turnover.,54,50
7:49,155,Dale Jones Steal.,54,50
7:19,155,Dale Jones made Three Point Jumper. Assisted by Geno Crandall.,57,50
7:02,2250,Silas Melson missed Jumper.,57,50
7:02,2250,Josh Perkins Offensive Rebound.,57,50
6:55,2250,Josh Perkins made Three Point Jumper.,57,53
6:39,2250,Foul on Silas Melson.,57,53
6:39,2250,Official TV Timeout,57,53
6:39,155,Marlon Stewart made Free Throw.,58,53
6:39,155,Marlon Stewart made Free Throw.,59,53
6:30,2250,Killian Tillie missed Three Point Jumper.,59,53
6:30,155,Geno Crandall Defensive Rebound.,59,53
6:01,155,Geno Crandall made Three Point Jumper. Assisted by Cortez Seales.,62,53
5:32,2250,Rui Hachimura missed Jumper.,62,53
5:32,2250,Killian Tillie Offensive Rebound.,62,53
5:23,2250,Zach Norvell Jr. made Layup.,62,55
4:50,155,Cortez Seales made Layup.,64,55
4:43,2250,Rui Hachimura missed Three Point Jumper.,64,55
4:43,155,Geno Crandall Defensive Rebound.,64,55
4:17,155,Geno Crandall missed Layup.,64,55
4:17,155,Conner Avants Offensive Rebound.,64,55
4:12,155,Conner Avants missed Layup.,64,55
4:12,2250,Rui Hachimura Defensive Rebound.,64,55
4:12,155,Foul on Geno Crandall.,64,55
4:12,2250,Rui Hachimura missed Free Throw.,64,55
4:12,2250,Gonzaga Deadball Team Rebound.,64,55
4:12,2250,Rui Hachimura made Free Throw.,64,56
3:53,155,Marlon Stewart missed Three Point Jumper.,64,56
3:53,155,Cortez Seales Offensive Rebound.,64,56
3:40,155,Dale Jones missed Three Point Jumper.,64,56
3:40,2250,Killian Tillie Defensive Rebound.,64,56
3:40,2250,Silas Melson missed Three Point Jumper.,64,56
3:40,2250,Zach Norvell Jr. Offensive Rebound.,64,56
3:31,2250,Zach Norvell Jr. made Three Point Jumper.,64,59
3:31,2250,Gonzaga  Timeout,64,59
3:23,155,Marlon Stewart Turnover.,64,59
3:23,2250,Josh Perkins Steal.,64,59
3:18,2250,Silas Melson made Layup. Assisted by Josh Perkins.,64,61
3:03,155,Cortez Seales Turnover.,64,61
3:03,2250,Josh Perkins Steal.,64,61
2:55,2250,Josh Perkins made Three Point Jumper.,64,64
2:17,155,Cortez Seales missed Three Point Jumper.,64,64
2:17,2250,Johnathan Williams Defensive Rebound.,64,64
1:49,2250,Johnathan Williams made Layup.,64,66
1:33,155,North Dakota  Timeout,64,66
1:19,155,Conner Avants missed Jumper.,64,66
1:19,2250,Silas Melson Block.,64,66
1:19,2250,Silas Melson Defensive Rebound.,64,66
1:08,2250,Zach Norvell Jr. made Layup.,64,68
1:05,2250,Foul on Silas Melson.,64,68
1:05,155,Geno Crandall made Free Throw.,65,68
1:05,155,Geno Crandall made Free Throw.,66,68
0:50,2250,Zach Norvell Jr. missed Jumper.,66,68
0:50,2250,Josh Perkins Offensive Rebound.,66,68
0:15,155,Foul on Conner Avants.,66,68
0:15,2250,Johnathan Williams made Free Throw.,66,69
0:15,2250,Gonzaga  Timeout,66,69
0:15,2250,Johnathan Williams missed Free Throw.,66,69
0:15,155,Marlon Stewart Defensive Rebound.,66,69
0:06,155,Geno Crandall made Three Point Jumper.,69,69
0:00,2250,End of 2nd half,69,69
5:00,2250,Jump Ball won by Gonzaga,69,69
4:47,2250,Johnathan Williams made Layup. Assisted by Silas Melson.,69,71
4:28,155,Cortez Seales missed Layup.,69,71
4:28,2250,Killian Tillie Defensive Rebound.,69,71
4:13,2250,Zach Norvell Jr. made Three Point Jumper. Assisted by Josh Perkins.,69,74
3:42,155,Cortez Seales Turnover.,69,74
3:42,2250,Josh Perkins Steal.,69,74
3:34,2250,Zach Norvell Jr. made Layup. Assisted by Josh Perkins.,69,76
3:23,155,North Dakota  Timeout,69,76
3:16,155,Geno Crandall Turnover.,69,76
3:16,2250,Johnathan Williams Steal.,69,76
3:12,2250,Johnathan Williams missed Layup.,69,76
3:09,155,North Dakota Offensive Rebound.,69,76
2:51,2250,Josh Perkins made Layup.,69,78
2:43,155,Dale Jones missed Three Point Jumper.,69,78
2:43,2250,Silas Melson Defensive Rebound.,69,78
2:15,2250,Silas Melson missed Jumper.,69,78
2:15,2250,Killian Tillie Offensive Rebound.,69,78
2:13,155,Foul on Dale Jones.,69,78
2:13,2250,Killian Tillie made Free Throw.,69,79
2:13,2250,Killian Tillie made Free Throw.,69,80
2:10,155,Geno Crandall made Three Point Jumper. Assisted by Marlon Stewart.,72,80
1:36,2250,Gonzaga  Turnover.,72,80
1:28,155,Cortez Seales made Layup.,74,80
0:59,2250,Josh Perkins made Layup.,74,82
0:47,155,Marlon Stewart made Three Point Jumper. Assisted by Dale Jones.,77,82
0:35,155,Foul on Marlon Stewart.,77,82
0:35,2250,Silas Melson made Free Throw.,77,83
0:35,2250,Silas Melson made Free Throw.,77,84
0:27,2250,Foul on Jeremy Jones.,77,84
0:27,155,Cortez Seales missed Free Throw.,77,84
0:27,155,North Dakota Deadball Team Rebound.,77,84
0:27,155,Cortez Seales made Free Throw.,78,84
0:23,155,Foul on Tray Buchanan.,78,84
0:23,2250,Zach Norvell Jr. made Free Throw.,78,85
0:23,2250,Zach Norvell Jr. made Free Throw.,78,86
0:20,155,Geno Crandall made Three Point Jumper. Assisted by Marlon Stewart.,81,86
0:17,155,Foul on Cortez Seales.,81,86
0:17,2250,Silas Melson made Free Throw.,81,87
0:17,2250,Silas Melson made Free Throw.,81,88
0:14,155,Geno Crandall missed Three Point Jumper.,81,88
0:14,2250,Gonzaga Defensive Rebound.,81,88
0:10,155,Foul on Cortez Seales.,81,88
0:10,2250,Josh Perkins missed Free Throw.,81,88
0:10,2250,Gonzaga Deadball Team Rebound.,81,88
0:10,2250,Josh Perkins made Free Throw.,81,89
0:09,155,Geno Crandall made Dunk.,83,89
0:00,2250,End of Game,83,89
