Loyola-Chicago,270,Milwaukee,2350
17:55,2350,Marques Townes missed Layup.,28,46
17:55,270,Brett Prahl Defensive Rebound.,28,46
17:40,270,Jeremiah Bell Turnover.,28,46
17:39,2350,Marques Townes Steal.,28,46
17:27,270,Foul on Brett Prahl.,28,46
17:27,2350,Lucas Williamson missed Free Throw.,28,46
17:27,2350,Loyola-Chicago Deadball Team Rebound.,28,46
17:27,2350,Lucas Williamson made Free Throw.,29,46
17:08,270,Jeremy Johnson missed Three Point Jumper.,29,46
17:08,2350,Cameron Krutwig Defensive Rebound.,29,46
17:00,2350,Aundre Jackson missed Layup.,29,46
17:00,270,Jeremy Johnson Block.,29,46
16:59,270,Jeremy Johnson Defensive Rebound.,29,46
16:40,2350,Foul on Lucas Williamson.,29,46
16:40,270,Bryce Barnes missed Free Throw.,29,46
16:40,270,Milwaukee Deadball Team Rebound.,29,46
16:40,270,Bryce Barnes made Free Throw.,29,47
16:28,2350,Aundre Jackson missed Three Point Jumper.,29,47
16:28,270,Bryce Nze Defensive Rebound.,29,47
16:14,270,Brock Stull missed Three Point Jumper.,29,47
16:14,2350,Donte Ingram Defensive Rebound.,29,47
16:06,2350,Foul on Cameron Satterwhite.,29,47
16:06,2350,Cameron Satterwhite Turnover.,29,47
15:41,270,Brock Stull missed Jumper.,29,47
15:41,2350,Aundre Jackson Defensive Rebound.,29,47
15:39,270,Foul on Bryce Nze.,29,47
15:39,270,Official TV Timeout,29,47
15:22,270,Foul on Bryce Nze.,29,47
15:22,2350,Marques Townes made Free Throw.,30,47
15:22,2350,Marques Townes made Free Throw.,31,47
14:58,2350,Foul on Donte Ingram.,31,47
14:49,270,Jeremiah Bell missed Jumper.,31,47
14:49,2350,Bruno Skokna Defensive Rebound.,31,47
14:36,2350,Aundre Jackson missed Layup.,31,47
14:36,270,Bryce Nze Defensive Rebound.,31,47
14:15,270,Bryce Nze made Layup. Assisted by August Haas.,31,49
13:48,2350,Marques Townes missed Layup.,31,49
13:48,270,Jeremy Johnson Defensive Rebound.,31,49
13:28,270,Jeremy Johnson missed Three Point Jumper.,31,49
13:28,2350,Lucas Williamson Defensive Rebound.,31,49
13:12,2350,Lucas Williamson made Layup.,33,49
12:43,270,Brock Stull missed Three Point Jumper.,33,49
12:43,270,Milwaukee Deadball Team Rebound.,33,49
12:18,2350,Aundre Jackson missed Jumper.,33,49
12:18,270,Bryce Nze Block.,33,49
12:18,2350,Aundre Jackson Offensive Rebound.,33,49
12:13,270,Foul on Bryce Nze.,33,49
12:13,2350,Aundre Jackson missed Free Throw.,33,49
12:13,2350,Loyola-Chicago Deadball Team Rebound.,33,49
12:13,2350,Aundre Jackson made Free Throw.,34,49
11:47,270,Jeremiah Bell made Three Point Jumper.,34,52
11:18,2350,Aundre Jackson Turnover.,34,52
11:17,270,August Haas Steal.,34,52
11:11,270,Brock Stull missed Jumper.,34,52
11:11,2350,Adarius Avery Defensive Rebound.,34,52
11:04,2350,Donte Ingram missed Three Point Jumper.,34,52
11:04,270,Brock Stull Defensive Rebound.,34,52
10:38,270,Brock Stull made Layup.,34,54
10:33,2350,Loyola-Chicago  Timeout,34,54
10:33,270,Official TV Timeout,34,54
10:10,2350,Cameron Krutwig missed Layup.,34,54
10:10,270,Brett Prahl Block.,34,54
10:09,2350,Cameron Krutwig Offensive Rebound.,34,54
10:07,2350,Cameron Krutwig made Layup.,36,54
9:41,270,Brett Prahl missed Layup.,36,54
9:41,2350,Cameron Krutwig Block.,36,54
9:39,2350,Donte Ingram Defensive Rebound.,36,54
9:34,2350,Lucas Williamson missed Three Point Jumper.,36,54
9:34,270,Brett Prahl Defensive Rebound.,36,54
9:13,270,Jeremiah Bell missed Three Point Jumper.,36,54
9:13,2350,Donte Ingram Defensive Rebound.,36,54
9:00,2350,Donte Ingram made Jumper.,38,54
8:30,270,Brett Prahl made Three Point Jumper. Assisted by August Haas.,38,57
8:03,2350,Lucas Williamson made Three Point Jumper. Assisted by Donte Ingram.,41,57
7:36,270,Jeremiah Bell missed Three Point Jumper.,41,57
7:36,2350,Cameron Krutwig Defensive Rebound.,41,57
7:27,2350,Marques Townes made Layup.,43,57
7:27,270,Foul on Jeremiah Bell.,43,57
7:27,270,Official TV Timeout,43,57
7:27,2350,Marques Townes made Free Throw.,44,57
7:12,270,Brock Stull made Jumper.,44,59
6:55,2350,Cameron Krutwig made Layup.,46,59
6:16,270,Jeremy Johnson made Jumper.,46,61
6:01,2350,Marques Townes missed Layup.,46,61
6:01,270,Jeremiah Bell Block.,46,61
6:00,2350,Cameron Krutwig Offensive Rebound.,46,61
5:58,2350,Cameron Krutwig made Layup.,48,61
5:56,2350,Loyola-Chicago  Timeout,48,61
5:56,270,Official TV Timeout,48,61
5:30,270,Brock Stull made Layup.,48,63
5:30,2350,Foul on Aundre Jackson.,48,63
5:30,270,Brock Stull missed Free Throw.,48,63
5:30,2350,Cameron Krutwig Defensive Rebound.,48,63
5:21,2350,Donte Ingram made Layup.,50,63
5:02,270,Milwaukee  Timeout,50,63
4:52,270,Bryce Barnes missed Three Point Jumper.,50,63
4:52,2350,Donte Ingram Defensive Rebound.,50,63
4:29,270,Foul on Bryce Nze.,50,63
4:29,2350,Lucas Williamson made Free Throw.,51,63
4:29,2350,Lucas Williamson made Free Throw.,52,63
4:03,270,Brock Stull missed Layup.,52,63
4:03,2350,Marques Townes Defensive Rebound.,52,63
3:55,2350,Bruno Skokna missed Three Point Jumper.,52,63
3:55,270,Brock Stull Defensive Rebound.,52,63
3:41,270,Bryce Barnes made Three Point Jumper. Assisted by Jeremiah Bell.,52,66
3:13,2350,Cameron Krutwig missed Layup.,52,66
3:13,270,Bryce Barnes Defensive Rebound.,52,66
2:42,270,Brock Stull missed Layup.,52,66
2:42,2350,Donte Ingram Block.,52,66
2:41,270,Milwaukee Offensive Rebound.,52,66
2:41,270,Official TV Timeout,52,66
2:39,270,Milwaukee  Turnover.,52,66
2:30,270,Foul on Brock Stull.,52,66
2:30,2350,Cameron Satterwhite made Free Throw.,53,66
2:30,2350,Cameron Satterwhite made Free Throw.,54,66
2:22,2350,Foul on Lucas Williamson.,54,66
2:17,2350,Foul on Donte Ingram.,54,66
2:17,270,Brett Prahl made Free Throw.,54,67
2:17,270,Brett Prahl missed Free Throw.,54,67
2:17,2350,Donte Ingram Defensive Rebound.,54,67
2:02,2350,Cameron Krutwig missed Layup.,54,67
2:02,2350,Loyola-Chicago Offensive Rebound.,54,67
1:53,2350,Donte Ingram missed Three Point Jumper.,54,67
1:53,270,Bryce Barnes Defensive Rebound.,54,67
1:46,2350,Foul on Bruno Skokna.,54,67
1:46,270,Bryce Barnes missed Free Throw.,54,67
1:46,2350,Cameron Krutwig Defensive Rebound.,54,67
1:36,2350,Donte Ingram missed Three Point Jumper.,54,67
1:36,270,Bryce Nze Defensive Rebound.,54,67
1:24,270,Bryce Nze made Layup. Assisted by Brock Stull.,54,69
1:16,2350,Lucas Williamson missed Three Point Jumper.,54,69
1:16,270,Bryce Nze Block.,54,69
1:16,2350,Loyola-Chicago Offensive Rebound.,54,69
1:09,2350,Marques Townes made Layup. Assisted by Cameron Satterwhite.,56,69
0:58,2350,Foul on Donte Ingram.,56,69
0:58,270,August Haas made Free Throw.,56,70
0:58,270,August Haas made Free Throw.,56,71
0:50,270,Foul on Bryce Barnes.,56,71
0:50,2350,Bruno Skokna missed Free Throw.,56,71
0:50,270,Brock Stull Defensive Rebound.,56,71
0:47,2350,Foul on Cameron Satterwhite.,56,71
0:47,270,Brock Stull missed Free Throw.,56,71
0:47,2350,Donte Ingram Defensive Rebound.,56,71
0:38,2350,Cameron Satterwhite missed Three Point Jumper.,56,71
0:38,270,Brock Stull Defensive Rebound.,56,71
0:32,2350,Foul on Lucas Williamson.,56,71
0:32,270,Brock Stull made Free Throw.,56,72
0:32,270,Brock Stull made Free Throw.,56,73
0:26,2350,Donte Ingram missed Layup.,56,73
0:26,270,Jeremy Johnson Defensive Rebound.,56,73
0:00,270,End of Game,56,73
