Marist,93,Murray State,2368
13:02,93,Murray State Offensive Rebound.,46,68
12:59,93,Jonathan Stark Turnover.,46,68
12:59,93,Foul on Jonathan Stark.,46,68
12:49,2368,Aleksandar Dozic missed Three Point Jumper.,46,68
12:49,93,Jonathan Stark Defensive Rebound.,46,68
12:34,2368,Foul on Aleksandar Dozic.,46,68
12:16,93,Byron Hawkins made Jumper.,46,70
12:00,2368,Aleksandar Dozic missed Layup.,46,70
12:00,93,Byron Hawkins Defensive Rebound.,46,70
11:43,2368,Foul on Austin Williams.,46,70
11:43,93,Murray State  Timeout,46,70
11:42,93,Byron Hawkins made Three Point Jumper. Assisted by Ja Morant.,46,73
11:15,2368,Isaiah Lamb Turnover.,46,73
11:15,2368,Foul on Isaiah Lamb.,46,73
11:03,93,Shaq Buchanan made Dunk. Assisted by Ja Morant.,46,75
10:34,2368,David Knudsen missed Three Point Jumper.,46,75
10:34,2368,Austin Williams Offensive Rebound.,46,75
10:28,2368,Austin Williams Turnover.,46,75
10:27,93,Anthony Smith Steal.,46,75
10:22,93,Ja Morant made Layup.,46,77
10:18,2368,Marist  Timeout,46,77
9:57,93,Foul on Brion Sanchious.,46,77
9:57,2368,Brian Parker missed Free Throw.,46,77
9:57,2368,Marist Deadball Team Rebound.,46,77
9:57,2368,Brian Parker made Free Throw.,47,77
9:38,93,Byron Hawkins missed Three Point Jumper.,47,77
9:38,93,Brion Sanchious Offensive Rebound.,47,77
9:12,2368,Foul on Tobias Sjoberg.,47,77
9:12,93,Ja Morant made Free Throw.,47,78
9:12,93,Ja Morant made Free Throw.,47,79
9:00,93,Foul on Brion Sanchious.,47,79
8:56,93,Foul on Anthony Smith.,47,79
8:56,2368,Brian Parker made Free Throw.,48,79
8:56,2368,Brian Parker made Free Throw.,49,79
8:27,93,Ja Morant missed Three Point Jumper.,49,79
8:27,2368,Tobias Sjoberg Defensive Rebound.,49,79
8:18,2368,Ryan Funk missed Three Point Jumper.,49,79
8:18,93,Anthony Smith Block.,49,79
8:16,93,Anthony Smith Defensive Rebound.,49,79
8:08,93,Byron Hawkins made Layup.,49,81
7:53,2368,David Knudsen missed Three Point Jumper.,49,81
7:53,93,Shaq Buchanan Defensive Rebound.,49,81
7:44,93,Anthony Smith made Jumper. Assisted by Ja Morant.,49,83
7:33,93,Foul on Byron Hawkins.,49,83
7:32,2368,Marist  Timeout,49,83
7:20,93,Foul on Jalen Dupree.,49,83
7:20,2368,Connor McClenaghan missed Free Throw.,49,83
7:20,2368,Marist Deadball Team Rebound.,49,83
7:20,2368,Connor McClenaghan made Free Throw.,50,83
7:01,93,Byron Hawkins missed Three Point Jumper.,50,83
7:01,93,Jalen Dupree Offensive Rebound.,50,83
6:41,93,Byron Hawkins Turnover.,50,83
6:39,2368,Austin Williams Steal.,50,83
6:32,2368,Austin Williams Turnover.,50,83
