Rice,2641,Texas Tech,242
5:05,2641,Jarrett Culver Defensive Rebound.,22,19
4:59,2641,Jarrett Culver made Dunk.,22,21
4:49,2641,Foul on Zhaire Smith.,22,21
4:49,242,Austin Meyer missed Free Throw.,22,21
4:49,2641,Norense Odiase Defensive Rebound.,22,21
4:29,2641,Davide Moretti made Three Point Jumper. Assisted by Justin Gray.,22,24
4:22,242,Austin Meyer Turnover.,22,24
3:57,2641,Keenan Evans made Three Point Jumper.,22,27
3:37,2641,Official TV Timeout,22,27
3:22,242,Robert Martin missed Jumper.,22,27
3:22,2641,Zach Smith Defensive Rebound.,22,27
3:10,2641,Keenan Evans missed Layup.,22,27
3:10,2641,Norense Odiase Offensive Rebound.,22,27
3:08,242,Foul on Austin Meyer.,22,27
3:08,2641,Norense Odiase missed Free Throw.,22,27
3:08,2641,Texas Tech Deadball Team Rebound.,22,27
3:08,2641,Norense Odiase missed Free Throw.,22,27
3:08,242,Connor Cashaw Defensive Rebound.,22,27
2:44,242,Rice  Timeout,22,27
2:40,242,Bishop Mency missed Three Point Jumper.,22,27
2:40,2641,Norense Odiase Defensive Rebound.,22,27
2:16,2641,Keenan Evans missed Three Point Jumper.,22,27
2:16,2641,Jarrett Culver Offensive Rebound.,22,27
2:12,2641,Jarrett Culver missed Two Point Tip Shot.,22,27
2:12,242,Connor Cashaw Defensive Rebound.,22,27
2:03,2641,Foul on Norense Odiase.,22,27
2:03,242,Connor Cashaw made Free Throw.,23,27
2:03,242,Connor Cashaw made Free Throw.,24,27
1:51,2641,Davide Moretti missed Three Point Jumper.,24,27
1:51,242,Connor Cashaw Defensive Rebound.,24,27
1:24,242,Connor Cashaw Turnover.,24,27
1:11,2641,Zach Smith made Layup. Assisted by Tommy Hamilton IV.,24,29
1:01,2641,Foul on Davide Moretti.,24,29
1:01,242,Robert Martin missed Free Throw.,24,29
1:01,2641,Davide Moretti Defensive Rebound.,24,29
0:52,2641,Keenan Evans missed Dunk.,24,29
0:52,2641,Texas Tech Deadball Team Rebound.,24,29
0:51,2641,Technical Foul on Keenan Evans.,24,29
0:51,242,Connor Cashaw made Free Throw.,25,29
0:51,2641,Foul on Keenan Evans.,25,29
0:37,2641,Zach Smith missed Jumper.,25,29
0:37,2641,Justin Gray Offensive Rebound.,25,29
0:34,2641,Justin Gray missed Layup.,25,29
0:34,242,Connor Cashaw Block.,25,29
0:32,2641,Keenan Evans Offensive Rebound.,25,29
0:28,2641,Keenan Evans missed Jumper.,25,29
0:28,242,Rice Defensive Rebound.,25,29
0:02,242,Bishop Mency missed Three Point Jumper.,25,29
0:02,2641,Jarrett Culver Defensive Rebound.,25,29
0:00,2641,End of 1st half,25,29
19:34,2641,Justin Gray missed Three Point Jumper.,25,29
19:34,242,Malik Osborne Defensive Rebound.,25,29
19:06,242,Ako Adams Turnover.,25,29
19:04,2641,Justin Gray Steal.,25,29
19:02,2641,Justin Gray made Layup.,25,31
18:43,242,Robert Martin Turnover.,25,31
18:42,2641,Norense Odiase Steal.,25,31
18:30,2641,Keenan Evans missed Three Point Jumper.,25,31
18:30,242,Connor Cashaw Defensive Rebound.,25,31
18:17,242,Robert Martin made Three Point Jumper. Assisted by Bishop Mency.,28,31
18:05,2641,Justin Gray Turnover.,28,31
18:03,242,Malik Osborne Steal.,28,31
17:52,242,Connor Cashaw made Three Point Jumper. Assisted by Ako Adams.,31,31
17:50,2641,Foul on Zach Smith.,31,31
17:50,242,Connor Cashaw made Free Throw.,32,31
17:30,2641,Zhaire Smith missed Layup.,32,31
17:30,242,Bishop Mency Defensive Rebound.,32,31
17:11,242,Connor Cashaw made Three Point Jumper. Assisted by Robert Martin.,35,31
16:51,2641,Zach Smith made Layup. Assisted by Keenan Evans.,35,33
16:51,242,Foul on Malik Osborne.,35,33
16:51,2641,Zach Smith missed Free Throw.,35,33
16:51,242,Bishop Mency Defensive Rebound.,35,33
16:36,242,Robert Martin missed Three Point Jumper.,35,33
16:36,2641,Zach Smith Defensive Rebound.,35,33
16:18,2641,Foul on Zach Smith.,35,33
16:18,2641,Zach Smith Turnover.,35,33
16:02,2641,Foul on Justin Gray.,35,33
15:57,242,Austin Meyer Turnover.,35,33
15:57,2641,Official TV Timeout,35,33
15:56,2641,Official TV Timeout,35,33
15:54,242,Foul on Austin Meyer.,35,33
15:48,2641,Brandone Francis made Jumper.,35,35
15:48,242,Foul on Austin Meyer.,35,35
15:48,2641,Brandone Francis missed Free Throw.,35,35
15:48,2641,Justin Gray Offensive Rebound.,35,35
15:38,2641,Davide Moretti missed Layup.,35,35
15:38,242,Robert Martin Block.,35,35
15:38,2641,Texas Tech Offensive Rebound.,35,35
15:22,2641,Davide Moretti missed Three Point Jumper.,35,35
15:22,242,Rice Defensive Rebound.,35,35
14:56,242,Robert Martin missed Layup.,35,35
14:56,242,Rice Deadball Team Rebound.,35,35
14:48,242,Rice  Turnover.,35,35
14:44,2641,Jarrett Culver made Layup.,35,37
14:44,242,Foul on Malik Osborne.,35,37
14:44,2641,Jarrett Culver made Free Throw.,35,38
14:36,242,Bishop Mency Turnover.,35,38
14:34,2641,Jarrett Culver Steal.,35,38
14:31,2641,Jarrett Culver made Layup.,35,40
14:24,2641,Foul on Keenan Evans.,35,40
14:15,242,Tim Harrison made Layup. Assisted by Ako Adams.,37,40
13:55,2641,Zhaire Smith made Dunk.,37,42
13:29,242,Connor Cashaw Turnover.,37,42
13:27,2641,Davide Moretti Steal.,37,42
13:25,2641,Keenan Evans made Layup. Assisted by Davide Moretti.,37,44
13:25,242,Foul on Ako Adams.,37,44
13:25,2641,Keenan Evans made Free Throw.,37,45
13:19,242,Rice  Timeout,37,45
12:59,242,Bishop Mency Turnover.,37,45
12:58,2641,Keenan Evans Steal.,37,45
12:55,242,Foul on Connor Cashaw.,37,45
12:55,2641,Brandone Francis missed Free Throw.,37,45
12:55,2641,Texas Tech Deadball Team Rebound.,37,45
12:55,2641,Brandone Francis missed Free Throw.,37,45
12:55,242,Bishop Mency Defensive Rebound.,37,45
12:48,2641,Foul on Davide Moretti.,37,45
12:30,242,Connor Cashaw Turnover.,37,45
12:29,2641,Jarrett Culver Steal.,37,45
12:27,2641,Keenan Evans made Dunk. Assisted by Jarrett Culver.,37,47
12:07,242,Bishop Mency made Three Point Jumper. Assisted by Connor Cashaw.,40,47
11:50,2641,Zach Smith made Dunk. Assisted by Davide Moretti.,40,49
11:27,242,Robert Martin Turnover.,40,49
11:26,2641,Jarrett Culver Steal.,40,49
11:26,242,Foul on Ako Adams.,40,49
11:26,2641,Official TV Timeout,40,49
11:26,2641,Jarrett Culver made Free Throw.,40,50
11:26,2641,Jarrett Culver missed Free Throw.,40,50
11:26,242,Connor Cashaw Defensive Rebound.,40,50
11:00,242,Bishop Mency missed Three Point Jumper.,40,50
11:00,242,Ako Adams Offensive Rebound.,40,50
10:46,242,Tim Harrison Turnover.,40,50
10:37,242,Foul on Tim Harrison.,40,50
10:37,2641,Tommy Hamilton IV made Free Throw.,40,51
10:37,2641,Tommy Hamilton IV missed Free Throw.,40,51
10:37,242,Connor Cashaw Defensive Rebound.,40,51
10:15,242,Malik Osborne missed Three Point Jumper.,40,51
10:15,2641,Keenan Evans Defensive Rebound.,40,51
9:58,2641,Justin Gray missed Jumper.,40,51
9:58,2641,Texas Tech Deadball Team Rebound.,40,51
9:57,2641,Foul on Jarrett Culver.,40,51
9:33,242,Malik Osborne made Jumper.,42,51
9:02,2641,Justin Gray missed Jumper.,42,51
9:02,242,Rice Defensive Rebound.,42,51
8:44,242,Connor Cashaw missed Jumper.,42,51
8:44,2641,Jarrett Culver Defensive Rebound.,42,51
8:25,2641,Tommy Hamilton IV Turnover.,42,51
8:24,242,Bishop Mency Steal.,42,51
8:16,2641,Foul on Tommy Hamilton IV.,42,51
8:16,242,Malik Osborne made Free Throw.,43,51
8:16,242,Malik Osborne made Free Throw.,44,51
8:07,2641,Davide Moretti missed Three Point Jumper.,44,51
8:07,242,Ako Adams Defensive Rebound.,44,51
7:59,242,Bishop Mency missed Three Point Jumper.,44,51
7:59,242,Malik Osborne Offensive Rebound.,44,51
7:57,242,Malik Osborne missed Layup.,44,51
7:57,242,Connor Cashaw Offensive Rebound.,44,51
7:54,2641,Foul on Keenan Evans.,44,51
7:54,2641,Official TV Timeout,44,51
7:54,242,Connor Cashaw missed Free Throw.,44,51
7:54,2641,Zach Smith Defensive Rebound.,44,51
7:27,2641,Niem Stevenson made Layup.,44,53
7:13,2641,Foul on Zhaire Smith.,44,53
7:13,242,Bishop Mency missed Free Throw.,44,53
7:13,242,Rice Deadball Team Rebound.,44,53
7:13,242,Bishop Mency made Free Throw.,45,53
6:59,2641,Zhaire Smith missed Layup.,45,53
6:59,2641,Zhaire Smith Offensive Rebound.,45,53
6:58,2641,Zhaire Smith made Layup.,45,55
6:44,242,Najja Hunter Turnover.,45,55
6:43,2641,Jarrett Culver Steal.,45,55
6:42,2641,Zhaire Smith made Layup.,45,57
6:29,242,Rice  Timeout,45,57
6:27,242,Connor Cashaw Turnover.,45,57
6:25,2641,Jarrett Culver Steal.,45,57
6:13,242,Foul on Robert Martin.,45,57
6:13,2641,Zach Smith missed Free Throw.,45,57
6:13,2641,Texas Tech Deadball Team Rebound.,45,57
6:13,2641,Zach Smith missed Free Throw.,45,57
6:13,242,Connor Cashaw Defensive Rebound.,45,57
6:01,242,Connor Cashaw made Three Point Jumper.,48,57
5:43,2641,Zhaire Smith made Dunk. Assisted by Jarrett Culver.,48,59
5:25,242,Ako Adams missed Three Point Jumper.,48,59
5:25,2641,Niem Stevenson Defensive Rebound.,48,59
5:18,2641,Keenan Evans made Dunk. Assisted by Zhaire Smith.,48,61
5:04,242,Robert Martin Turnover.,48,61
4:49,242,Foul on Malik Osborne.,48,61
4:49,2641,Keenan Evans missed Free Throw.,48,61
4:49,2641,Texas Tech Deadball Team Rebound.,48,61
4:49,2641,Keenan Evans made Free Throw.,48,62
4:28,242,Robert Martin Turnover.,48,62
4:26,2641,Keenan Evans Steal.,48,62
4:07,2641,Jarrett Culver missed Three Point Jumper.,48,62
4:07,242,Connor Cashaw Defensive Rebound.,48,62
3:50,242,Connor Cashaw Turnover.,48,62
3:48,2641,Jarrett Culver Steal.,48,62
3:45,2641,Zhaire Smith made Dunk. Assisted by Keenan Evans.,48,64
3:34,242,Connor Cashaw missed Three Point Jumper.,48,64
3:34,2641,Jarrett Culver Defensive Rebound.,48,64
3:28,2641,Official TV Timeout,48,64
3:23,2641,Zach Smith Turnover.,48,64
3:21,242,Robert Martin Steal.,48,64
3:18,242,Miles Lester Turnover.,48,64
3:17,2641,Keenan Evans Steal.,48,64
2:57,2641,Niem Stevenson made Layup. Assisted by Zhaire Smith.,48,66
2:37,242,Miles Lester made Three Point Jumper. Assisted by Najja Hunter.,51,66
2:16,2641,Niem Stevenson made Three Point Jumper. Assisted by Keenan Evans.,51,69
2:04,242,Miles Lester missed Layup.,51,69
2:04,2641,Jarrett Culver Block.,51,69
2:02,242,Miles Lester Offensive Rebound.,51,69
1:59,242,Robert Martin missed Layup.,51,69
1:59,2641,Niem Stevenson Defensive Rebound.,51,69
1:47,2641,Niem Stevenson made Layup. Assisted by Zhaire Smith.,51,71
1:18,242,Miles Lester missed Three Point Jumper.,51,71
1:18,2641,Keenan Evans Block.,51,71
1:16,242,Miles Lester Offensive Rebound.,51,71
1:13,242,Miles Lester missed Jumper.,51,71
1:13,2641,Zach Smith Defensive Rebound.,51,71
1:07,2641,Texas Tech  Timeout,51,71
0:51,2641,Parker Hicks made Jumper. Assisted by Andrew Sorrells.,51,73
0:39,242,Najja Hunter Turnover.,51,73
0:38,2641,Davide Moretti Steal.,51,73
0:24,2641,Andrew Sorrells missed Jumper.,51,73
0:24,242,Robert Martin Defensive Rebound.,51,73
0:16,242,Robert Martin missed Layup.,51,73
0:16,242,Robert Martin Offensive Rebound.,51,73
0:12,242,Bishop Mency made Layup. Assisted by Robert Martin.,53,73
0:12,2641,Foul on Andrew Sorrells.,53,73
0:12,242,Bishop Mency missed Free Throw.,53,73
0:12,2641,Justin Gray Defensive Rebound.,53,73
0:00,2641,End of Game,53,73
