Tenn-Martin,344,Mississippi State,2630
6:13,2630,Matthew Butler Steal.,52,81
6:11,2630,Matthew Butler missed Three Point Jumper.,52,81
6:11,344,Xavian Stapleton Defensive Rebound.,52,81
5:48,344,Nick Weatherspoon Turnover.,52,81
5:47,2630,Darius Thompson Steal.,52,81
5:40,2630,Darius Thompson missed Layup.,52,81
5:40,344,Xavian Stapleton Defensive Rebound.,52,81
5:18,344,Mississippi State  Timeout,52,81
5:11,344,Xavian Stapleton made Dunk. Assisted by Tyson Carter.,52,83
4:53,2630,Jailen Gill missed Jumper.,52,83
4:53,344,Nick Weatherspoon Defensive Rebound.,52,83
4:39,344,Xavian Stapleton made Three Point Jumper. Assisted by Nick Weatherspoon.,52,86
4:08,2630,Jailen Gill Turnover.,52,86
4:07,344,Nick Weatherspoon Steal.,52,86
4:03,344,Xavian Stapleton made Dunk. Assisted by Tyson Carter.,52,88
3:38,2630,DelFincko Bogan Turnover.,52,88
3:19,344,Xavian Stapleton missed Three Point Jumper.,52,88
3:19,344,KeyShawn Feazell Offensive Rebound.,52,88
3:14,344,KeyShawn Feazell made Layup.,52,90
2:57,344,Foul on Xavian Stapleton.,52,90
2:57,344,Official TV Timeout,52,90
2:49,2630,Kahari Beaufort made Three Point Jumper. Assisted by Matthew Butler.,55,90
2:39,344,KeyShawn Feazell Turnover.,55,90
2:36,2630,Matthew Butler made Jumper.,57,90
2:18,344,Nick Singleton made Jumper. Assisted by E.J. Datcher.,57,92
2:07,2630,Matthew Butler missed Three Point Jumper.,57,92
2:07,2630,Parrish Hewitt Offensive Rebound.,57,92
1:45,2630,Matthew Butler missed Three Point Jumper.,57,92
1:45,344,E.J. Datcher Defensive Rebound.,57,92
1:34,344,Nick Singleton Turnover.,57,92
1:13,2630,Mike Fofana missed Jumper.,57,92
1:13,344,Nick Singleton Defensive Rebound.,57,92
1:04,344,Mitch Storm missed Three Point Jumper.,57,92
1:04,2630,Mike Fofana Defensive Rebound.,57,92
0:57,2630,Kahari Beaufort made Layup. Assisted by Matthew Butler.,59,92
0:54,2630,Foul on Kahari Beaufort.,59,92
0:54,344,KeyShawn Feazell missed Free Throw.,59,92
0:54,2630,Terrence Parker Defensive Rebound.,59,92
0:48,2630,Kahari Beaufort missed Three Point Jumper.,59,92
0:48,344,KeyShawn Feazell Defensive Rebound.,59,92
0:43,344,Nick Singleton Turnover.,59,92
0:29,2630,Matthew Butler missed Three Point Jumper.,59,92
0:29,344,KeyShawn Feazell Defensive Rebound.,59,92
0:14,344,Drew Davis Turnover.,59,92
0:13,2630,Matthew Butler Steal.,59,92
0:11,2630,Matthew Butler made Layup.,61,92
0:08,344,Mitch Storm Turnover.,61,92
0:07,2630,Parrish Hewitt Steal.,61,92
0:05,2630,Parrish Hewitt missed Three Point Jumper.,61,92
0:05,2630,Kahari Beaufort Offensive Rebound.,61,92
0:00,2630,Kahari Beaufort missed Three Point Jumper.,61,92
0:00,344,Mitch Storm Defensive Rebound.,61,92
0:00,344,End of Game,61,92
