Cincinnati,26,UCLA,2132
13:59,2132,Cane Broome made Free Throw.,10,12
13:59,2132,Cane Broome made Free Throw.,11,12
13:41,26,Aaron Holiday Turnover.,11,12
13:40,2132,Kyle Washington Steal.,11,12
13:34,2132,Jacob Evans Turnover.,11,12
13:33,26,Kris Wilkes Steal.,11,12
13:31,26,Kris Wilkes made Layup.,11,14
13:03,26,Foul on Aaron Holiday.,11,14
13:02,2132,Cane Broome Turnover.,11,14
12:42,26,Jaylen Hands missed Layup.,11,14
12:42,2132,Gary Clark Defensive Rebound.,11,14
12:24,26,Foul on Gyorgy Goloman.,11,14
12:24,2132,Jarron Cumberland missed Free Throw.,11,14
12:24,2132,Cincinnati Deadball Team Rebound.,11,14
12:24,2132,Jarron Cumberland missed Free Throw.,11,14
12:24,26,Alex Olesinski Defensive Rebound.,11,14
12:05,26,Kris Wilkes made Jumper.,11,16
11:45,2132,Kyle Washington missed Jumper.,11,16
11:45,26,Kris Wilkes Defensive Rebound.,11,16
11:34,26,Kris Wilkes missed Three Point Jumper.,11,16
11:34,26,Jaylen Hands Offensive Rebound.,11,16
11:28,26,Kris Wilkes Turnover.,11,16
11:28,26,Official TV Timeout,11,16
11:14,2132,Keith Williams made Jumper.,13,16
11:03,26,Jaylen Hands Turnover.,13,16
11:01,2132,Kyle Washington Steal.,13,16
11:00,26,Foul on Jaylen Hands.,13,16
11:00,2132,Kyle Washington made Free Throw.,14,16
11:00,2132,Kyle Washington missed Free Throw.,14,16
11:00,26,Alex Olesinski Defensive Rebound.,14,16
10:38,26,Chris Smith Turnover.,14,16
10:25,2132,Kyle Washington missed Jumper.,14,16
10:25,2132,Jacob Evans Offensive Rebound.,14,16
10:19,2132,Kyle Washington made Layup. Assisted by Jacob Evans.,16,16
10:09,26,Aaron Holiday made Jumper.,16,18
9:52,2132,Justin Jenifer missed Three Point Jumper.,16,18
9:52,2132,Tre Scott Offensive Rebound.,16,18
9:47,2132,Foul on Keith Williams.,16,18
9:47,2132,Keith Williams Turnover.,16,18
9:37,26,Aaron Holiday missed Three Point Jumper.,16,18
9:37,2132,Keith Williams Defensive Rebound.,16,18
9:15,2132,Jacob Evans missed Three Point Jumper.,16,18
9:15,26,Alex Olesinski Defensive Rebound.,16,18
9:13,2132,Foul on Tre Scott.,16,18
8:53,26,Gyorgy Goloman Turnover.,16,18
8:48,2132,Keith Williams made Layup. Assisted by Gary Clark.,18,18
8:33,26,Jaylen Hands Turnover.,18,18
8:33,2132,Eliel Nsoseme Steal.,18,18
8:14,2132,Gary Clark missed Jumper.,18,18
8:14,26,Jaylen Hands Defensive Rebound.,18,18
8:06,26,Jaylen Hands Turnover.,18,18
8:05,2132,Justin Jenifer Steal.,18,18
7:57,2132,Keith Williams missed Three Point Jumper.,18,18
7:57,26,Gyorgy Goloman Defensive Rebound.,18,18
7:53,26,Official TV Timeout,18,18
7:33,26,Gyorgy Goloman Turnover.,18,18
7:32,2132,Gary Clark Steal.,18,18
7:11,2132,Gary Clark missed Jumper.,18,18
7:11,26,Alex Olesinski Defensive Rebound.,18,18
6:59,26,Prince Ali made Three Point Jumper. Assisted by Jaylen Hands.,18,21
6:41,2132,Jarron Cumberland made Three Point Jumper. Assisted by Cane Broome.,21,21
6:13,26,Jaylen Hands missed Three Point Jumper.,21,21
6:13,2132,Gary Clark Defensive Rebound.,21,21
5:50,2132,Jarron Cumberland made Layup.,23,21
5:31,26,Gyorgy Goloman missed Layup.,23,21
5:31,2132,Jarron Cumberland Defensive Rebound.,23,21
5:10,2132,Keith Williams missed Layup.,23,21
5:10,26,Alex Olesinski Defensive Rebound.,23,21
5:03,26,Aaron Holiday missed Three Point Jumper.,23,21
5:03,2132,Eliel Nsoseme Defensive Rebound.,23,21
5:01,26,Foul on Gyorgy Goloman.,23,21
4:48,2132,Jarron Cumberland missed Jumper.,23,21
4:48,26,Kris Wilkes Defensive Rebound.,23,21
4:34,26,Prince Ali missed Three Point Jumper.,23,21
4:34,26,Thomas Welsh Offensive Rebound.,23,21
4:27,26,Thomas Welsh Turnover.,23,21
4:25,2132,Kyle Washington Steal.,23,21
4:24,26,Foul on Kris Wilkes.,23,21
4:17,2132,Jarron Cumberland Turnover.,23,21
4:06,26,Chris Smith Turnover.,23,21
3:54,2132,Kyle Washington made Three Point Jumper. Assisted by Cane Broome.,26,21
3:35,26,Aaron Holiday Turnover.,26,21
3:33,2132,Kyle Washington Steal.,26,21
3:16,2132,Cane Broome made Three Point Jumper. Assisted by Jacob Evans.,29,21
3:14,26,UCLA  Timeout,29,21
3:14,26,Official TV Timeout,29,21
2:50,26,Thomas Welsh missed Three Point Jumper.,29,21
2:50,2132,Gary Clark Block.,29,21
2:50,26,UCLA Offensive Rebound.,29,21
2:46,26,Prince Ali Turnover.,29,21
2:28,2132,Gary Clark made Jumper.,31,21
2:08,26,Chris Smith missed Three Point Jumper.,31,21
2:08,2132,Jacob Evans Defensive Rebound.,31,21
1:59,2132,Jarron Cumberland missed Layup.,31,21
1:59,26,Jaylen Hands Block.,31,21
1:56,2132,Gary Clark Offensive Rebound.,31,21
1:54,2132,Jacob Evans made Three Point Jumper. Assisted by Gary Clark.,34,21
1:52,26,UCLA  Timeout,34,21
1:40,26,Jaylen Hands missed Layup.,34,21
1:40,2132,Kyle Washington Block.,34,21
1:37,2132,Gary Clark Defensive Rebound.,34,21
1:23,26,Foul on Jaylen Hands.,34,21
1:23,2132,Cane Broome made Free Throw.,35,21
1:23,2132,Cane Broome made Free Throw.,36,21
0:59,2132,Foul on Jarron Cumberland.,36,21
0:59,26,Chris Smith missed Free Throw.,36,21
0:59,2132,Gary Clark Defensive Rebound.,36,21
0:37,2132,Cane Broome missed Three Point Jumper.,36,21
0:37,26,Alex Olesinski Defensive Rebound.,36,21
0:17,2132,Foul on Jarron Cumberland.,36,21
0:17,26,Alex Olesinski made Free Throw.,36,22
0:17,26,Alex Olesinski made Free Throw.,36,23
0:14,2132,Cincinnati  Timeout,36,23
0:07,2132,Gary Clark missed Three Point Jumper.,36,23
0:07,26,Prince Ali Defensive Rebound.,36,23
0:00,26,End of 1st half,36,23
19:40,2132,Jacob Evans missed Jumper.,36,23
19:40,2132,Gary Clark Offensive Rebound.,36,23
19:36,2132,Gary Clark missed Layup.,36,23
19:36,26,Alex Olesinski Defensive Rebound.,36,23
19:19,26,Aaron Holiday made Jumper.,36,25
18:50,2132,Jacob Evans made Three Point Jumper. Assisted by Justin Jenifer.,39,25
18:39,26,Thomas Welsh missed Jumper.,39,25
18:39,2132,Justin Jenifer Defensive Rebound.,39,25
18:31,2132,Jacob Evans missed Dunk.,39,25
18:31,26,UCLA Defensive Rebound.,39,25
18:20,26,Prince Ali missed Three Point Jumper.,39,25
18:20,2132,Gary Clark Defensive Rebound.,39,25
17:59,2132,Kyle Washington made Jumper.,41,25
17:50,26,Kris Wilkes missed Layup.,41,25
17:50,2132,Jacob Evans Defensive Rebound.,41,25
17:26,2132,Kyle Washington made Jumper. Assisted by Jarron Cumberland.,43,25
17:19,2132,Foul on Jacob Evans.,43,25
17:13,26,Kris Wilkes missed Three Point Jumper.,43,25
17:13,2132,Gary Clark Block.,43,25
17:11,2132,Cane Broome Defensive Rebound.,43,25
17:04,2132,Jarron Cumberland missed Layup.,43,25
17:04,26,Kris Wilkes Block.,43,25
17:01,26,UCLA Defensive Rebound.,43,25
16:46,26,Alex Olesinski made Three Point Jumper. Assisted by Aaron Holiday.,43,28
16:25,26,Foul on Alex Olesinski.,43,28
16:19,2132,Gary Clark made Dunk. Assisted by Kyle Washington.,45,28
16:02,26,Kris Wilkes missed Three Point Jumper.,45,28
16:02,2132,Jarron Cumberland Defensive Rebound.,45,28
15:40,2132,Kyle Washington made Jumper.,47,28
15:25,2132,Foul on Jacob Evans.,47,28
15:24,26,Official TV Timeout,47,28
15:24,26,UCLA  Timeout,47,28
15:21,26,Aaron Holiday missed Three Point Jumper.,47,28
15:21,26,Thomas Welsh Offensive Rebound.,47,28
15:15,2132,Foul on Jarron Cumberland.,47,28
15:09,26,Thomas Welsh made Jumper. Assisted by Aaron Holiday.,47,30
14:36,2132,Kyle Washington missed Three Point Jumper.,47,30
14:36,2132,Cane Broome Offensive Rebound.,47,30
14:20,2132,Cane Broome missed Layup.,47,30
14:20,26,Kris Wilkes Defensive Rebound.,47,30
14:13,26,Kris Wilkes made Layup.,47,32
13:58,26,Foul on Kris Wilkes.,47,32
13:45,2132,Jacob Evans made Three Point Jumper. Assisted by Gary Clark.,50,32
13:17,26,Kris Wilkes made Three Point Jumper. Assisted by Thomas Welsh.,50,35
13:02,2132,Nysier Brooks made Layup. Assisted by Keith Williams.,52,35
12:48,26,Alex Olesinski missed Three Point Jumper.,52,35
12:48,26,Thomas Welsh Offensive Rebound.,52,35
12:41,26,Aaron Holiday Turnover.,52,35
12:39,2132,Cane Broome Steal.,52,35
12:38,2132,Cane Broome made Layup.,54,35
12:20,2132,Foul on Nysier Brooks.,54,35
12:09,26,Aaron Holiday made Three Point Jumper. Assisted by Thomas Welsh.,54,38
11:46,2132,Cane Broome missed Jumper.,54,38
11:46,26,Thomas Welsh Defensive Rebound.,54,38
11:46,2132,Foul on Nysier Brooks.,54,38
11:46,26,Official TV Timeout,54,38
11:24,26,Jaylen Hands made Three Point Jumper. Assisted by Kris Wilkes.,54,41
10:56,2132,Keith Williams missed Jumper.,54,41
10:56,2132,Keith Williams Offensive Rebound.,54,41
10:50,2132,Keith Williams missed Jumper.,54,41
10:50,26,Kris Wilkes Block.,54,41
10:48,2132,Keith Williams Offensive Rebound.,54,41
10:46,2132,Justin Jenifer missed Three Point Jumper.,54,41
10:46,2132,Gary Clark Offensive Rebound.,54,41
10:42,26,Foul on Gyorgy Goloman.,54,41
10:38,2132,Gary Clark missed Jumper.,54,41
10:38,26,Gyorgy Goloman Block.,54,41
10:36,26,Kris Wilkes Defensive Rebound.,54,41
10:31,26,Thomas Welsh missed Three Point Jumper.,54,41
10:31,2132,Jarron Cumberland Defensive Rebound.,54,41
10:28,26,Foul on Gyorgy Goloman.,54,41
10:07,2132,Gary Clark missed Jumper.,54,41
10:07,26,Thomas Welsh Defensive Rebound.,54,41
10:05,2132,Foul on Gary Clark.,54,41
9:46,26,Jaylen Hands missed Jumper.,54,41
9:46,26,Thomas Welsh Offensive Rebound.,54,41
9:42,26,Aaron Holiday missed Three Point Jumper.,54,41
9:42,26,Gyorgy Goloman Offensive Rebound.,54,41
9:41,2132,Foul on Kyle Washington.,54,41
9:41,26,Gyorgy Goloman missed Free Throw.,54,41
9:41,2132,Gary Clark Defensive Rebound.,54,41
9:26,2132,Jacob Evans Turnover.,54,41
9:25,26,Jaylen Hands Steal.,54,41
9:22,26,Jaylen Hands missed Layup.,54,41
9:22,26,Kris Wilkes Offensive Rebound.,54,41
9:19,26,Kris Wilkes missed Layup.,54,41
9:19,2132,Gary Clark Block.,54,41
9:17,26,Kris Wilkes Offensive Rebound.,54,41
9:15,26,Kris Wilkes Turnover.,54,41
9:13,2132,Jacob Evans Steal.,54,41
8:46,2132,Cane Broome missed Jumper.,54,41
8:46,26,Jaylen Hands Defensive Rebound.,54,41
8:37,26,Jaylen Hands Turnover.,54,41
8:35,2132,Gary Clark Steal.,54,41
8:21,2132,Kyle Washington made Jumper.,56,41
7:57,26,Thomas Welsh made Jumper.,56,43
7:34,2132,Jarron Cumberland made Three Point Jumper. Assisted by Cane Broome.,59,43
7:18,26,Aaron Holiday made Three Point Jumper. Assisted by Thomas Welsh.,59,46
6:40,2132,Cincinnati  Turnover.,59,46
6:40,26,Official TV Timeout,59,46
6:28,26,Jaylen Hands made Three Point Jumper.,59,49
5:55,2132,Kyle Washington missed Jumper.,59,49
5:55,2132,Jacob Evans Offensive Rebound.,59,49
5:53,2132,Jacob Evans made Layup.,61,49
5:42,26,Thomas Welsh missed Jumper.,61,49
5:42,2132,Kyle Washington Defensive Rebound.,61,49
5:27,26,Foul on Alex Olesinski.,61,49
5:14,2132,Jacob Evans missed Jumper.,61,49
5:14,2132,Cincinnati Offensive Rebound.,61,49
4:56,26,Foul on Alex Olesinski.,61,49
4:43,2132,Jarron Cumberland made Jumper.,63,49
4:32,2132,Foul on Jacob Evans.,63,49
4:32,26,Aaron Holiday made Free Throw.,63,50
4:32,26,Aaron Holiday made Free Throw.,63,51
4:15,2132,Kyle Washington made Layup. Assisted by Jarron Cumberland.,65,51
4:05,26,Aaron Holiday made Layup.,65,53
3:35,26,Foul on Prince Ali.,65,53
3:35,26,Official TV Timeout,65,53
3:35,2132,Kyle Washington made Free Throw.,66,53
3:35,2132,Kyle Washington made Free Throw.,67,53
3:22,26,Thomas Welsh missed Jumper.,67,53
3:22,2132,Gary Clark Defensive Rebound.,67,53
2:49,2132,Gary Clark made Jumper. Assisted by Jarron Cumberland.,69,53
2:35,26,Kris Wilkes missed Jumper.,69,53
2:35,26,Kris Wilkes Offensive Rebound.,69,53
2:30,26,Kris Wilkes made Two Point Tip Shot.,69,55
2:16,26,Foul on Aaron Holiday.,69,55
2:16,2132,Justin Jenifer made Free Throw.,70,55
2:16,2132,Justin Jenifer made Free Throw.,71,55
2:13,26,Jaylen Hands made Three Point Jumper.,71,58
2:03,26,Foul on Jaylen Hands.,71,58
2:03,2132,Jarron Cumberland missed Free Throw.,71,58
2:03,26,Thomas Welsh Defensive Rebound.,71,58
2:01,26,Jaylen Hands made Three Point Jumper.,71,61
1:39,26,Foul on Chris Smith.,71,61
1:39,2132,Jarron Cumberland missed Free Throw.,71,61
1:39,2132,Cincinnati Deadball Team Rebound.,71,61
1:39,2132,Jarron Cumberland missed Free Throw.,71,61
1:39,26,Thomas Welsh Defensive Rebound.,71,61
1:32,26,Jaylen Hands missed Three Point Jumper.,71,61
1:32,2132,Justin Jenifer Defensive Rebound.,71,61
1:30,26,Foul on Thomas Welsh.,71,61
1:30,2132,Justin Jenifer missed Free Throw.,71,61
1:30,2132,Cincinnati Deadball Team Rebound.,71,61
1:30,2132,Justin Jenifer made Free Throw.,72,61
1:23,26,Kris Wilkes missed Jumper.,72,61
1:23,2132,Kyle Washington Defensive Rebound.,72,61
1:22,26,Foul on Thomas Welsh.,72,61
1:22,2132,Kyle Washington missed Free Throw.,72,61
1:22,2132,Cincinnati Deadball Team Rebound.,72,61
1:22,2132,Kyle Washington made Free Throw.,73,61
1:14,26,Jaylen Hands missed Jumper.,73,61
1:14,2132,Kyle Washington Block.,73,61
1:12,2132,Jacob Evans Defensive Rebound.,73,61
1:12,26,Foul on Thomas Welsh.,73,61
1:12,2132,Jacob Evans made Free Throw.,74,61
1:12,2132,Jacob Evans made Free Throw.,75,61
1:02,26,Kris Wilkes missed Three Point Jumper.,75,61
1:02,2132,Gary Clark Defensive Rebound.,75,61
0:29,2132,Jacob Evans missed Three Point Jumper.,75,61
0:29,26,Jaylen Hands Defensive Rebound.,75,61
0:22,26,Jaylen Hands made Layup.,75,63
0:20,26,Foul on Chris Smith.,75,63
0:20,2132,Justin Jenifer made Free Throw.,76,63
0:20,2132,Justin Jenifer made Free Throw.,77,63
0:14,26,Jaylen Hands missed Three Point Jumper.,77,63
0:14,2132,Kyle Washington Defensive Rebound.,77,63
0:00,26,End of Game,77,63
