Northwestern,305,DePaul,77
13:49,77,Scottie Lindsey made Three Point Jumper. Assisted by Gavin Skelly.,16,13
13:39,77,Foul on Scottie Lindsey.,16,13
13:39,305,Peter Ryckbosch made Free Throw.,16,14
13:39,305,Peter Ryckbosch missed Free Throw.,16,14
13:39,77,Northwestern Deadball Team Rebound.,16,14
13:20,77,Scottie Lindsey missed Jumper.,16,14
13:20,77,Scottie Lindsey Offensive Rebound.,16,14
13:20,77,Scottie Lindsey missed Jumper.,16,14
13:20,305,DePaul Defensive Rebound.,16,14
13:20,77,Foul on Scottie Lindsey.,16,14
13:20,305,Tre'Darius McCallum Turnover.,16,14
12:52,77,Bryant McIntosh missed Jumper.,16,14
12:52,305,Tre'Darius McCallum Defensive Rebound.,16,14
12:52,77,Foul on Gavin Skelly.,16,14
12:30,305,Max Strus made Three Point Jumper. Assisted by Justin Roberts.,16,17
12:01,77,Foul on Anthony Gaines.,16,17
12:01,77,Anthony Gaines Turnover.,16,17
11:48,305,Foul on Jaylen Butz.,16,17
11:48,305,Jaylen Butz Turnover.,16,17
11:48,305,Official TV Timeout,16,17
11:18,77,Bryant McIntosh missed Three Point Jumper.,16,17
11:18,77,Northwestern Offensive Rebound.,16,17
11:18,77,Northwestern  Turnover.,16,17
11:01,305,Max Strus made Jumper.,16,19
10:39,77,Aaron Falzon missed Three Point Jumper.,16,19
10:39,305,Brandon Cyrus Defensive Rebound.,16,19
10:11,305,Brandon Cyrus missed Jumper.,16,19
10:11,305,Brandon Cyrus Offensive Rebound.,16,19
10:05,305,Tre'Darius McCallum made Layup. Assisted by Brandon Cyrus.,16,21
9:44,77,Dererk Pardon Turnover.,16,21
9:44,305,Jaylen Butz Steal.,16,21
9:16,305,Jaylen Butz Turnover.,16,21
8:54,77,Scottie Lindsey missed Layup.,16,21
8:54,77,Aaron Falzon Offensive Rebound.,16,21
8:46,77,Isiah Brown missed Jumper.,16,21
8:46,305,Austin Grandstaff Block.,16,21
8:46,77,Isiah Brown Offensive Rebound.,16,21
8:42,77,Isiah Brown made Jumper.,18,21
8:16,305,Foul on Eli Cain.,18,21
8:16,305,Eli Cain Turnover.,18,21
7:56,77,Scottie Lindsey missed Jumper.,18,21
7:56,305,Max Strus Defensive Rebound.,18,21
7:50,77,Foul on Barret Benson.,18,21
7:50,305,Official TV Timeout,18,21
7:37,305,Eli Cain missed Jumper.,18,21
7:37,305,Jaylen Butz Offensive Rebound.,18,21
7:35,305,Jaylen Butz made Layup.,18,23
7:15,77,Bryant McIntosh missed Jumper.,18,23
7:15,305,Eli Cain Defensive Rebound.,18,23
7:14,305,Foul on Eli Cain.,18,23
7:14,305,Eli Cain Turnover.,18,23
7:11,77,Vic Law Turnover.,18,23
7:02,77,Foul on Vic Law.,18,23
7:02,305,Jaylen Butz missed Free Throw.,18,23
7:02,305,DePaul Deadball Team Rebound.,18,23
7:02,305,Jaylen Butz made Free Throw.,18,24
6:48,77,Vic Law Turnover.,18,24
6:46,305,Jaylen Butz Steal.,18,24
6:44,305,Tre'Darius McCallum missed Dunk.,18,24
6:44,77,Northwestern Defensive Rebound.,18,24
6:33,77,Foul on Dererk Pardon.,18,24
6:33,77,Dererk Pardon Turnover.,18,24
6:16,305,Austin Grandstaff missed Three Point Jumper.,18,24
6:16,77,Scottie Lindsey Defensive Rebound.,18,24
6:05,77,Scottie Lindsey missed Three Point Jumper.,18,24
6:05,305,DePaul Defensive Rebound.,18,24
5:52,305,Max Strus Turnover.,18,24
5:38,77,Scottie Lindsey made Three Point Jumper. Assisted by Gavin Skelly.,21,24
5:23,305,Max Strus made Three Point Jumper. Assisted by Austin Grandstaff.,21,27
5:07,77,Foul on Vic Law.,21,27
5:07,77,Vic Law Turnover.,21,27
4:51,305,Max Strus made Three Point Jumper. Assisted by Tre'Darius McCallum.,21,30
4:36,305,Foul on Jaylen Butz.,21,30
4:20,77,Vic Law made Three Point Jumper. Assisted by Bryant McIntosh.,24,30
4:12,305,DePaul  Turnover.,24,30
3:51,77,Vic Law missed Jumper.,24,30
3:51,305,Tre'Darius McCallum Defensive Rebound.,24,30
3:42,77,Foul on Bryant McIntosh.,24,30
3:42,305,Official TV Timeout,24,30
3:42,305,Justin Roberts missed Free Throw.,24,30
3:42,305,DePaul Deadball Team Rebound.,24,30
3:42,305,Justin Roberts missed Free Throw.,24,30
3:42,77,Scottie Lindsey Defensive Rebound.,24,30
3:27,77,Vic Law made Three Point Jumper. Assisted by Scottie Lindsey.,27,30
3:16,305,Justin Roberts Turnover.,27,30
3:15,77,Gavin Skelly Steal.,27,30
3:04,77,Scottie Lindsey missed Three Point Jumper.,27,30
3:04,305,Tre'Darius McCallum Defensive Rebound.,27,30
2:48,305,Max Strus missed Jumper.,27,30
2:48,305,Peter Ryckbosch Offensive Rebound.,27,30
2:45,305,Peter Ryckbosch made Layup.,27,32
2:26,77,Bryant McIntosh missed Jumper.,27,32
2:26,305,Tre'Darius McCallum Defensive Rebound.,27,32
2:18,305,Justin Roberts missed Layup.,27,32
2:18,77,Dererk Pardon Block.,27,32
2:18,77,Northwestern Defensive Rebound.,27,32
2:00,77,Dererk Pardon missed Layup.,27,32
2:00,305,Peter Ryckbosch Defensive Rebound.,27,32
1:41,305,Max Strus missed Three Point Jumper.,27,32
1:41,77,Gavin Skelly Defensive Rebound.,27,32
1:35,305,Foul on Max Strus.,27,32
1:35,77,Vic Law made Free Throw.,28,32
1:35,77,Vic Law missed Free Throw.,28,32
1:35,305,Tre'Darius McCallum Defensive Rebound.,28,32
1:35,77,Foul on Gavin Skelly.,28,32
1:35,305,Tre'Darius McCallum made Free Throw.,28,33
1:35,305,Tre'Darius McCallum missed Free Throw.,28,33
1:35,77,Anthony Gaines Defensive Rebound.,28,33
1:19,77,Bryant McIntosh missed Three Point Jumper.,28,33
1:19,77,Vic Law Offensive Rebound.,28,33
1:16,77,Vic Law Turnover.,28,33
1:03,305,Brandon Cyrus missed Three Point Jumper.,28,33
1:03,305,Austin Grandstaff Offensive Rebound.,28,33
1:02,77,Foul on Bryant McIntosh.,28,33
1:02,305,Austin Grandstaff missed Free Throw.,28,33
1:02,305,DePaul Deadball Team Rebound.,28,33
1:02,305,Austin Grandstaff missed Free Throw.,28,33
1:02,77,Dererk Pardon Defensive Rebound.,28,33
0:50,77,Foul on Dererk Pardon.,28,33
0:50,77,Dererk Pardon Turnover.,28,33
0:26,305,Max Strus missed Three Point Jumper.,28,33
0:26,77,Anthony Gaines Defensive Rebound.,28,33
0:21,77,Northwestern  Timeout,28,33
0:01,77,Aaron Falzon missed Three Point Jumper.,28,33
0:01,305,Brandon Cyrus Defensive Rebound.,28,33
0:00,305,End of 1st half,28,33
19:43,77,Foul on Vic Law.,28,33
19:43,305,Tre'Darius McCallum missed Free Throw.,28,33
19:43,305,DePaul Deadball Team Rebound.,28,33
19:43,305,Tre'Darius McCallum missed Free Throw.,28,33
19:43,77,Dererk Pardon Defensive Rebound.,28,33
19:31,77,Aaron Falzon missed Three Point Jumper.,28,33
19:31,305,Jaylen Butz Defensive Rebound.,28,33
19:20,305,Eli Cain missed Jumper.,28,33
19:20,77,Scottie Lindsey Block.,28,33
19:20,77,Scottie Lindsey Defensive Rebound.,28,33
19:17,77,Vic Law missed Layup.,28,33
19:17,77,Bryant McIntosh Offensive Rebound.,28,33
19:11,305,Jaylen Butz Defensive Rebound.,28,33
19:11,77,Bryant McIntosh missed Jumper.,28,33
19:02,305,Max Strus made Three Point Jumper. Assisted by Eli Cain.,28,36
18:44,77,Scottie Lindsey made Three Point Jumper. Assisted by Bryant McIntosh.,31,36
18:20,305,Tre'Darius McCallum missed Jumper.,31,36
18:20,305,Max Strus Offensive Rebound.,31,36
18:07,305,Eli Cain Turnover.,31,36
17:55,305,Foul on Jaylen Butz.,31,36
17:47,77,Bryant McIntosh missed Jumper.,31,36
17:47,77,Northwestern Offensive Rebound.,31,36
17:39,77,Scottie Lindsey missed Three Point Jumper.,31,36
17:39,305,Brandon Cyrus Defensive Rebound.,31,36
17:29,305,Max Strus made Three Point Jumper. Assisted by Brandon Cyrus.,31,39
17:06,77,Bryant McIntosh missed Three Point Jumper.,31,39
17:06,305,Tre'Darius McCallum Defensive Rebound.,31,39
16:41,305,Max Strus missed Three Point Jumper.,31,39
16:41,77,Anthony Gaines Defensive Rebound.,31,39
16:34,305,Tre'Darius McCallum Defensive Rebound.,31,39
16:34,77,Anthony Gaines missed Jumper.,31,39
16:14,77,Foul on Anthony Gaines.,31,39
15:56,305,Max Strus Turnover.,31,39
15:55,77,Scottie Lindsey Steal.,31,39
15:52,77,Foul on Gavin Skelly.,31,39
15:52,77,Gavin Skelly Turnover.,31,39
15:52,305,Official TV Timeout,31,39
15:23,305,Eli Cain missed Jumper.,31,39
15:23,305,Brandon Cyrus Offensive Rebound.,31,39
15:19,305,Brandon Cyrus missed Jumper.,31,39
15:19,77,Scottie Lindsey Defensive Rebound.,31,39
15:01,77,Scottie Lindsey made Three Point Jumper. Assisted by Isiah Brown.,34,39
14:53,305,Eli Cain missed Jumper.,34,39
14:53,305,Brandon Cyrus Offensive Rebound.,34,39
14:51,305,Brandon Cyrus made Layup.,34,41
14:39,305,Foul on Brandon Cyrus.,34,41
14:25,77,Bryant McIntosh missed Jumper.,34,41
14:25,77,Dererk Pardon Offensive Rebound.,34,41
14:25,305,Foul on Brandon Cyrus.,34,41
14:22,77,Dererk Pardon made Layup. Assisted by Bryant McIntosh.,36,41
14:12,305,Eli Cain missed Jumper.,36,41
14:12,305,Eli Cain Offensive Rebound.,36,41
14:00,305,Max Strus made Layup.,36,43
14:00,77,Foul on Scottie Lindsey.,36,43
14:00,305,Max Strus missed Free Throw.,36,43
14:00,77,Dererk Pardon Defensive Rebound.,36,43
13:39,77,Jordan Ash made Three Point Jumper. Assisted by Bryant McIntosh.,39,43
13:08,305,Brandon Cyrus missed Three Point Jumper.,39,43
13:08,77,Northwestern Defensive Rebound.,39,43
12:49,77,Dererk Pardon made Layup.,41,43
12:40,77,Foul on Jordan Ash.,41,43
12:23,77,Foul on Scottie Lindsey.,41,43
12:09,305,Brandon Cyrus missed Three Point Jumper.,41,43
12:09,77,Jordan Ash Defensive Rebound.,41,43
12:04,77,Isiah Brown made Three Point Jumper. Assisted by Jordan Ash.,44,43
11:40,305,Eli Cain missed Jumper.,44,43
11:40,77,Dererk Pardon Block.,44,43
11:40,305,DePaul Offensive Rebound.,44,43
11:40,305,Official TV Timeout,44,43
11:37,305,Max Strus made Jumper. Assisted by Brandon Cyrus.,44,45
11:18,77,Isiah Brown made Jumper.,46,45
11:01,305,Max Strus missed Three Point Jumper.,46,45
11:01,305,Peter Ryckbosch Offensive Rebound.,46,45
10:57,305,Peter Ryckbosch made Layup.,46,47
10:41,305,Foul on Peter Ryckbosch.,46,47
10:33,77,Bryant McIntosh made Jumper.,48,47
10:06,305,Foul on Eli Cain.,48,47
10:06,305,Eli Cain Turnover.,48,47
9:37,77,Bryant McIntosh missed Jumper.,48,47
9:37,305,Tre'Darius McCallum Defensive Rebound.,48,47
9:10,305,Max Strus missed Three Point Jumper.,48,47
9:10,77,Isiah Brown Defensive Rebound.,48,47
9:05,77,Northwestern  Timeout,48,47
8:43,77,Bryant McIntosh missed Three Point Jumper.,48,47
8:43,305,Jaylen Butz Defensive Rebound.,48,47
8:20,305,Brandon Cyrus missed Layup.,48,47
8:20,305,Justin Roberts Offensive Rebound.,48,47
8:15,77,Foul on Bryant McIntosh.,48,47
8:15,305,Jaylen Butz missed Free Throw.,48,47
8:15,77,Anthony Gaines Defensive Rebound.,48,47
8:05,77,Jordan Ash missed Three Point Jumper.,48,47
8:05,77,Dererk Pardon Offensive Rebound.,48,47
7:58,305,Foul on Eli Cain.,48,47
7:58,305,Official TV Timeout,48,47
7:41,77,Scottie Lindsey made Three Point Jumper. Assisted by Bryant McIntosh.,51,47
7:14,305,Tre'Darius McCallum missed Three Point Jumper.,51,47
7:14,77,Scottie Lindsey Defensive Rebound.,51,47
6:56,77,Scottie Lindsey missed Three Point Jumper.,51,47
6:56,305,Tre'Darius McCallum Defensive Rebound.,51,47
6:36,305,Brandon Cyrus missed Layup.,51,47
6:36,77,Gavin Skelly Block.,51,47
6:36,77,Northwestern Defensive Rebound.,51,47
6:36,305,DePaul  Timeout,51,47
6:17,77,Gavin Skelly Turnover.,51,47
5:57,305,Tre'Darius McCallum missed Jumper.,51,47
5:57,77,Anthony Gaines Defensive Rebound.,51,47
5:23,77,Bryant McIntosh missed Jumper.,51,47
5:23,305,Max Strus Defensive Rebound.,51,47
5:17,77,Foul on Anthony Gaines.,51,47
5:17,305,Max Strus made Free Throw.,51,48
5:17,305,Max Strus missed Free Throw.,51,48
5:17,77,Anthony Gaines Defensive Rebound.,51,48
4:53,77,Anthony Gaines missed Three Point Jumper.,51,48
4:53,305,Justin Roberts Defensive Rebound.,51,48
4:46,305,Justin Roberts made Layup.,51,50
4:32,305,Foul on Brandon Cyrus.,51,50
4:32,77,Anthony Gaines made Free Throw.,52,50
4:32,77,Anthony Gaines made Free Throw.,53,50
4:21,77,Foul on Jordan Ash.,53,50
4:21,305,Justin Roberts missed Free Throw.,53,50
4:21,77,Gavin Skelly Defensive Rebound.,53,50
4:20,305,Foul on Tre'Darius McCallum.,53,50
4:20,77,Gavin Skelly missed Free Throw.,53,50
4:20,77,Jordan Ash Offensive Rebound.,53,50
4:13,77,Bryant McIntosh missed Three Point Jumper.,53,50
4:13,305,Tre'Darius McCallum Defensive Rebound.,53,50
4:10,77,Foul on Gavin Skelly.,53,50
4:10,305,Tre'Darius McCallum missed Free Throw.,53,50
4:10,305,DePaul Deadball Team Rebound.,53,50
4:10,305,Tre'Darius McCallum made Free Throw.,53,51
4:00,77,Dererk Pardon made Dunk. Assisted by Bryant McIntosh.,55,51
3:44,305,Max Strus made Three Point Jumper. Assisted by Brandon Cyrus.,55,54
3:12,77,Bryant McIntosh missed Jumper.,55,54
3:12,77,Anthony Gaines Offensive Rebound.,55,54
3:11,305,Official TV Timeout,55,54
2:48,77,Anthony Gaines Turnover.,55,54
2:46,305,Max Strus Steal.,55,54
2:23,305,Max Strus Turnover.,55,54
2:22,77,Jordan Ash Steal.,55,54
2:22,77,Jordan Ash Steal.,55,54
2:19,77,Jordan Ash made Layup.,57,54
1:57,305,Max Strus made Jumper.,57,56
1:36,77,Scottie Lindsey made Jumper.,59,56
1:22,77,Foul on Anthony Gaines.,59,56
1:22,305,Max Strus made Free Throw.,59,57
1:22,305,Max Strus missed Free Throw.,59,57
1:22,77,Scottie Lindsey Defensive Rebound.,59,57
0:55,77,Scottie Lindsey made Three Point Jumper.,62,57
0:54,305,DePaul  Timeout,62,57
0:43,305,Eli Cain missed Three Point Jumper.,62,57
0:43,77,Jordan Ash Defensive Rebound.,62,57
0:40,77,Jordan Ash Turnover.,62,57
0:40,305,Max Strus Steal.,62,57
0:35,77,Foul on Anthony Gaines.,62,57
0:35,305,Max Strus made Free Throw.,62,58
0:35,305,Max Strus made Free Throw.,62,59
0:35,305,Max Strus made Free Throw.,62,60
0:04,77,Dererk Pardon missed Jumper.,62,60
0:04,305,Peter Ryckbosch Block.,62,60
0:04,77,Northwestern Offensive Rebound.,62,60
0:04,77,Northwestern  Turnover.,62,60
0:04,305,DePaul  Timeout,62,60
0:04,77,Northwestern  Timeout,62,60
0:02,305,Eli Cain missed Jumper.,62,60
0:02,77,Jordan Ash Defensive Rebound.,62,60
0:00,305,End of 2nd half,62,60
