Louisiana Tech,251,Texas,2348
19:14,2348,DaQuan Bracey Offensive Rebound.,26,38
19:11,251,Foul on Matt Coleman.,26,38
19:03,2348,DaQuan Bracey missed Layup.,26,38
19:03,251,Dylan Osetkowski Defensive Rebound.,26,38
18:54,251,Dylan Osetkowski Turnover.,26,38
18:46,2348,Jy'lan Washington missed Layup.,26,38
18:46,251,Kerwin Roach II Defensive Rebound.,26,38
18:39,2348,Foul on Jy'lan Washington.,26,38
18:30,251,Kerwin Roach II made Three Point Jumper. Assisted by Jacob Young.,26,41
18:05,2348,Jacobi Boykins missed Three Point Jumper.,26,41
18:05,251,Kerwin Roach II Defensive Rebound.,26,41
18:05,2348,Foul on Joniah White.,26,41
17:55,2348,Foul on Jy'lan Washington.,26,41
17:46,251,Jericho Sims missed Jumper.,26,41
17:46,2348,Louisiana Tech Defensive Rebound.,26,41
17:35,251,Foul on Jericho Sims.,26,41
17:35,2348,DaQuan Bracey missed Free Throw.,26,41
17:35,2348,Louisiana Tech Deadball Team Rebound.,26,41
17:35,2348,DaQuan Bracey missed Free Throw.,26,41
17:35,251,Dylan Osetkowski Defensive Rebound.,26,41
17:30,251,Jacob Young missed Three Point Jumper.,26,41
17:30,2348,Joniah White Defensive Rebound.,26,41
17:21,2348,DaQuan Bracey made Jumper.,28,41
17:11,251,Dylan Osetkowski made Dunk. Assisted by Jacob Young.,28,43
16:49,2348,Jalen Harris missed Jumper.,28,43
16:49,2348,Joniah White Offensive Rebound.,28,43
16:43,2348,Jacobi Boykins missed Three Point Jumper.,28,43
16:43,251,Jericho Sims Defensive Rebound.,28,43
16:39,251,Jericho Sims Turnover.,28,43
16:20,2348,Anthony Duruji missed Jumper.,28,43
16:20,251,Mohamed Bamba Defensive Rebound.,28,43
16:11,251,Mohamed Bamba missed Jumper.,28,43
16:11,2348,Joniah White Defensive Rebound.,28,43
15:56,2348,Foul on Derric Jean.,28,43
15:56,2348,Derric Jean Turnover.,28,43
15:56,251,Official TV Timeout,28,43
15:49,251,Matt Coleman Turnover.,28,43
15:49,2348,Derric Jean Steal.,28,43
15:26,2348,Anthony Duruji made Layup.,30,43
15:07,251,Mohamed Bamba made Dunk. Assisted by Dylan Osetkowski.,30,45
14:54,251,Foul on Mohamed Bamba.,30,45
14:54,2348,Derric Jean missed Free Throw.,30,45
14:54,2348,Louisiana Tech Deadball Team Rebound.,30,45
14:54,2348,Derric Jean made Free Throw.,31,45
14:45,2348,Foul on Anthony Duruji.,31,45
14:45,251,Matt Coleman made Free Throw.,31,46
14:45,251,Matt Coleman missed Free Throw.,31,46
14:45,2348,Anthony Duruji Defensive Rebound.,31,46
14:32,2348,JaColby Pemberton made Jumper.,33,46
14:19,251,Texas  Turnover.,33,46
14:09,2348,DaQuan Bracey made Three Point Jumper. Assisted by Jalen Harris.,36,46
14:01,2348,Foul on Jalen Harris.,36,46
13:53,2348,Foul on JaColby Pemberton.,36,46
13:53,251,Dylan Osetkowski made Free Throw.,36,47
13:53,251,Dylan Osetkowski missed Free Throw.,36,47
13:53,251,Jericho Sims Offensive Rebound.,36,47
13:48,251,Jericho Sims Turnover.,36,47
13:39,2348,Derric Jean made Three Point Jumper. Assisted by Jalen Harris.,39,47
13:14,251,Dylan Osetkowski Turnover.,39,47
13:14,251,Texas  Timeout,39,47
13:14,251,Official TV Timeout,39,47
12:57,2348,JaColby Pemberton missed Jumper.,39,47
12:57,251,Dylan Osetkowski Defensive Rebound.,39,47
12:31,251,Dylan Osetkowski made Jumper.,39,49
11:59,2348,DaQuan Bracey made Jumper.,41,49
11:48,251,Jacob Young made Layup.,41,51
11:48,2348,Foul on JaColby Pemberton.,41,51
11:48,251,Official TV Timeout,41,51
11:48,251,Jacob Young made Free Throw.,41,52
11:39,251,Foul on Kerwin Roach II.,41,52
11:39,2348,DaQuan Bracey made Free Throw.,42,52
11:39,2348,DaQuan Bracey made Free Throw.,43,52
11:25,251,Kerwin Roach II missed Layup.,43,52
11:25,2348,Joniah White Defensive Rebound.,43,52
11:19,2348,DaQuan Bracey made Layup.,45,52
11:19,251,Foul on Kerwin Roach II.,45,52
11:19,2348,DaQuan Bracey made Free Throw.,46,52
11:00,251,Dylan Osetkowski Turnover.,46,52
10:48,2348,DaQuan Bracey made Layup.,48,52
10:22,2348,Foul on Anthony Duruji.,48,52
10:22,251,Dylan Osetkowski made Free Throw.,48,53
10:22,251,Dylan Osetkowski made Free Throw.,48,54
10:00,2348,Derric Jean missed Jumper.,48,54
10:00,251,Jericho Sims Defensive Rebound.,48,54
9:50,251,Jericho Sims missed Jumper.,48,54
9:50,2348,Joniah White Defensive Rebound.,48,54
9:30,2348,Exavian Christon made Layup. Assisted by Derric Jean.,50,54
9:05,251,Jericho Sims made Layup. Assisted by Kerwin Roach II.,50,56
8:44,2348,Jacobi Boykins missed Three Point Jumper.,50,56
8:44,251,Jericho Sims Defensive Rebound.,50,56
8:25,251,Jericho Sims made Layup.,50,58
8:25,2348,Foul on Exavian Christon.,50,58
8:25,251,Jericho Sims missed Free Throw.,50,58
8:25,2348,Jy'lan Washington Defensive Rebound.,50,58
8:01,251,Foul on Kerwin Roach II.,50,58
7:56,251,Official TV Timeout,50,58
7:41,2348,DaQuan Bracey missed Three Point Jumper.,50,58
7:41,251,Jacob Young Defensive Rebound.,50,58
7:14,251,Dylan Osetkowski Turnover.,50,58
7:14,251,Foul on Matt Coleman.,50,58
7:14,2348,DaQuan Bracey missed Free Throw.,50,58
7:14,251,Mohamed Bamba Defensive Rebound.,50,58
6:54,251,Jacob Young missed Jumper.,50,58
6:54,2348,Exavian Christon Defensive Rebound.,50,58
6:45,2348,Exavian Christon made Layup.,52,58
6:29,2348,Foul on Jacobi Boykins.,52,58
6:29,251,Mohamed Bamba made Free Throw.,52,59
6:29,251,Mohamed Bamba made Free Throw.,52,60
6:09,2348,Exavian Christon Turnover.,52,60
6:09,251,Kerwin Roach II Steal.,52,60
6:01,251,Mohamed Bamba made Dunk. Assisted by Jase Febres.,52,62
5:32,2348,Exavian Christon missed Jumper.,52,62
5:32,251,Mohamed Bamba Block.,52,62
5:31,251,Mohamed Bamba Defensive Rebound.,52,62
5:08,251,Mohamed Bamba made Layup. Assisted by Jase Febres.,52,64
5:06,2348,Louisiana Tech  Timeout,52,64
4:52,2348,Jalen Harris Turnover.,52,64
4:48,251,Kerwin Roach II Turnover.,52,64
4:47,2348,Derric Jean Steal.,52,64
4:45,251,Foul on Dylan Osetkowski.,52,64
4:45,2348,DaQuan Bracey made Free Throw.,53,64
4:45,2348,DaQuan Bracey made Free Throw.,54,64
4:37,251,Dylan Osetkowski missed Layup.,54,64
4:37,2348,Anthony Duruji Block.,54,64
4:34,2348,Anthony Duruji Defensive Rebound.,54,64
4:31,2348,DaQuan Bracey made Layup.,56,64
3:56,251,Mohamed Bamba made Dunk. Assisted by Dylan Osetkowski.,56,66
3:31,2348,Derric Jean missed Layup.,56,66
3:31,251,Texas Defensive Rebound.,56,66
3:30,251,Official TV Timeout,56,66
2:59,251,Jacob Young made Three Point Jumper. Assisted by Dylan Osetkowski.,56,69
2:39,2348,Jalen Harris made Layup.,58,69
2:13,251,Matt Coleman missed Layup.,58,69
2:13,2348,Anthony Duruji Defensive Rebound.,58,69
2:02,2348,Derric Jean missed Layup.,58,69
2:02,251,Mohamed Bamba Defensive Rebound.,58,69
1:49,251,Dylan Osetkowski missed Layup.,58,69
1:49,251,Mohamed Bamba Offensive Rebound.,58,69
1:48,2348,Foul on Jalen Harris.,58,69
1:48,251,Mohamed Bamba missed Free Throw.,58,69
1:48,251,Texas Deadball Team Rebound.,58,69
1:48,251,Mohamed Bamba missed Free Throw.,58,69
1:48,2348,Anthony Duruji Defensive Rebound.,58,69
1:39,2348,DaQuan Bracey made Jumper.,60,69
1:25,251,Dylan Osetkowski Turnover.,60,69
1:24,2348,Anthony Duruji Steal.,60,69
1:22,2348,Jacobi Boykins missed Three Point Jumper.,60,69
1:22,251,Dylan Osetkowski Defensive Rebound.,60,69
1:22,2348,Foul on Anthony Duruji.,60,69
1:22,251,Dylan Osetkowski made Free Throw.,60,70
1:22,251,Dylan Osetkowski made Free Throw.,60,71
1:12,2348,DaQuan Bracey missed Three Point Jumper.,60,71
1:12,251,Mohamed Bamba Defensive Rebound.,60,71
1:12,2348,Foul on Derric Jean.,60,71
1:12,251,Mohamed Bamba made Free Throw.,60,72
1:12,251,Mohamed Bamba made Free Throw.,60,73
1:06,2348,Jacobi Boykins missed Three Point Jumper.,60,73
1:06,251,Mohamed Bamba Defensive Rebound.,60,73
0:49,2348,Foul on Jacobi Boykins.,60,73
0:49,251,Matt Coleman made Free Throw.,60,74
0:49,251,Matt Coleman made Free Throw.,60,75
0:34,2348,JaColby Pemberton missed Layup.,60,75
0:34,2348,Jy'lan Washington Offensive Rebound.,60,75
0:31,2348,Jy'lan Washington missed Jumper.,60,75
0:31,251,Mohamed Bamba Block.,60,75
0:30,2348,Louisiana Tech Offensive Rebound.,60,75
0:18,2348,JaColby Pemberton missed Jumper.,60,75
0:18,251,Jacob Young Defensive Rebound.,60,75
0:00,251,End of Game,60,75
