Bradley,2130,Chicago State,71
12:43,2130,Fred Sims Jr. missed Layup.,21,9
12:43,2130,Cameron Bowles Offensive Rebound.,21,9
12:41,2130,Cameron Bowles made Layup.,21,11
12:23,71,Darrell Brown missed Three Point Jumper.,21,11
12:23,2130,Glen Burns Defensive Rebound.,21,11
12:08,71,Foul on Elijah Childs.,21,11
12:08,2130,Glen Burns made Free Throw.,21,12
12:08,2130,Glen Burns made Free Throw.,21,13
11:50,2130,Foul on Rob Shaw.,21,13
11:50,2130,Official TV Timeout,21,13
11:34,2130,Foul on Deionte Simmons.,21,13
11:34,71,Elijah Childs made Free Throw.,22,13
11:34,71,Elijah Childs made Free Throw.,23,13
11:13,2130,Montana Byrd made Three Point Jumper. Assisted by Rob Shaw.,23,16
10:49,71,Luuk van Bree made Jumper. Assisted by Darrell Brown.,25,16
10:23,2130,Fred Sims Jr. missed Layup.,25,16
10:23,71,Elijah Childs Defensive Rebound.,25,16
10:14,71,Luuk van Bree made Three Point Jumper. Assisted by Jayden Hodgson.,28,16
9:49,71,Foul on Jayden Hodgson.,28,16
9:49,71,Foul on Ryan Stipanovich.,28,16
9:48,2130,Travon Bell missed Three Point Jumper.,28,16
9:48,71,Nate Kennell Defensive Rebound.,28,16
9:45,71,Nate Kennell Turnover.,28,16
9:40,2130,Rob Shaw Turnover.,28,16
9:39,71,Nate Kennell Steal.,28,16
9:15,71,Elijah Childs Turnover.,28,16
9:13,2130,Deionte Simmons Steal.,28,16
9:10,2130,Travon Bell made Layup. Assisted by Rob Shaw.,28,18
9:00,71,Bradley  Timeout,28,18
8:56,71,Donte Thomas made Layup. Assisted by Luuk van Bree.,30,18
8:38,2130,Rob Shaw missed Jumper.,30,18
8:38,71,Donte Thomas Defensive Rebound.,30,18
8:29,71,Luuk van Bree made Three Point Jumper. Assisted by Dwayne Lautier-Ogunleye.,33,18
8:02,2130,Cameron Bowles made Three Point Jumper. Assisted by Rob Shaw.,33,21
7:35,2130,Foul on Travon Bell.,33,21
7:35,2130,Official TV Timeout,33,21
7:35,71,Ryan Stipanovich made Free Throw.,34,21
7:35,71,Ryan Stipanovich made Free Throw.,35,21
7:16,71,Foul on Donte Thomas.,35,21
7:04,2130,Montana Byrd Turnover.,35,21
6:58,2130,Foul on Cameron Bowles.,35,21
6:56,71,Dwayne Lautier-Ogunleye Turnover.,35,21
6:53,2130,Deionte Simmons Steal.,35,21
6:35,2130,Foul on Deionte Simmons.,35,21
6:35,2130,Deionte Simmons Turnover.,35,21
6:17,71,Luuk van Bree Turnover.,35,21
5:59,2130,Montana Byrd missed Jumper.,35,21
5:59,71,Donte Thomas Defensive Rebound.,35,21
5:51,71,Dwayne Lautier-Ogunleye made Three Point Jumper. Assisted by Darrell Brown.,38,21
5:30,71,Foul on Elijah Childs.,38,21
5:30,2130,Glen Burns made Free Throw.,38,22
5:30,2130,Glen Burns made Free Throw.,38,23
5:06,71,Koch Bar Turnover.,38,23
4:41,2130,Jelani Pruitt Turnover.,38,23
4:40,71,Donte Thomas Steal.,38,23
4:37,71,Donte Thomas made Dunk.,40,23
4:13,2130,Fred Sims Jr. Turnover.,40,23
3:55,71,Nate Kennell missed Three Point Jumper.,40,23
3:55,2130,Glen Burns Defensive Rebound.,40,23
3:35,2130,Glen Burns missed Layup.,40,23
3:35,71,Koch Bar Block.,40,23
3:33,71,Darrell Brown Defensive Rebound.,40,23
3:27,71,Donte Thomas made Dunk. Assisted by Darrell Brown.,42,23
3:26,2130,Chicago State  Timeout,42,23
3:26,2130,Official TV Timeout,42,23
3:14,2130,Fred Sims Jr. made Three Point Jumper. Assisted by Jelani Pruitt.,42,26
2:53,71,Darrell Brown missed Jumper.,42,26
2:53,2130,Patrick Szpir Defensive Rebound.,42,26
2:40,2130,Fred Sims Jr. missed Three Point Jumper.,42,26
2:40,71,Bradley Defensive Rebound.,42,26
2:18,2130,Foul on Patrick Szpir.,42,26
2:18,71,Ryan Stipanovich made Free Throw.,43,26
2:18,71,Ryan Stipanovich made Free Throw.,44,26
2:05,2130,Jelani Pruitt Turnover.,44,26
1:49,71,Darrell Brown made Layup.,46,26
1:35,2130,Jelani Pruitt made Dunk. Assisted by Glen Burns.,46,28
1:12,71,Darrell Brown Turnover.,46,28
1:11,2130,Jelani Pruitt Steal.,46,28
1:07,71,Foul on Darrell Brown.,46,28
1:07,2130,Glen Burns missed Free Throw.,46,28
1:07,2130,Chicago State Deadball Team Rebound.,46,28
1:07,2130,Glen Burns made Free Throw.,46,29
0:41,71,Donte Thomas missed Jumper.,46,29
0:41,2130,Fred Sims Jr. Defensive Rebound.,46,29
0:18,71,Foul on Luuk van Bree.,46,29
0:18,2130,Fred Sims Jr. made Free Throw.,46,30
0:02,2130,Foul on Patrick Szpir.,46,30
0:02,71,Donte Thomas made Free Throw.,47,30
0:02,71,Donte Thomas made Free Throw.,48,30
0:00,2130,End of 1st half,48,30
19:49,2130,Montana Byrd made Three Point Jumper. Assisted by Glen Burns.,48,33
19:10,71,Dwayne Lautier-Ogunleye missed Three Point Jumper.,48,33
19:10,2130,Fred Sims Jr. Defensive Rebound.,48,33
18:59,2130,Montana Byrd missed Three Point Jumper.,48,33
18:59,71,Darrell Brown Defensive Rebound.,48,33
18:53,2130,Foul on Glen Burns.,48,33
18:53,71,Darrell Brown made Free Throw.,49,33
18:53,71,Darrell Brown made Free Throw.,50,33
18:37,71,Foul on Dwayne Lautier-Ogunleye.,50,33
18:32,2130,Fred Sims Jr. missed Layup.,50,33
18:32,2130,Deionte Simmons Offensive Rebound.,50,33
18:31,2130,Deionte Simmons made Layup.,50,35
18:25,2130,Foul on Deionte Simmons.,50,35
18:16,71,Nate Kennell missed Three Point Jumper.,50,35
18:16,71,Donte Thomas Offensive Rebound.,50,35
18:16,2130,Foul on Cameron Bowles.,50,35
18:16,71,Donte Thomas missed Free Throw.,50,35
18:16,71,Bradley Deadball Team Rebound.,50,35
18:16,71,Donte Thomas made Free Throw.,51,35
17:56,2130,Fred Sims Jr. missed Three Point Jumper.,51,35
17:56,71,Darrell Brown Defensive Rebound.,51,35
17:51,2130,Foul on Cameron Bowles.,51,35
17:51,71,Darrell Brown missed Free Throw.,51,35
17:51,71,Bradley Deadball Team Rebound.,51,35
17:51,71,Darrell Brown missed Free Throw.,51,35
17:51,2130,Deionte Simmons Defensive Rebound.,51,35
17:42,2130,Fred Sims Jr. missed Layup.,51,35
17:42,71,Koch Bar Block.,51,35
17:42,2130,Chicago State Offensive Rebound.,51,35
17:38,2130,Montana Byrd made Three Point Jumper. Assisted by Glen Burns.,51,38
17:31,71,Bradley  Timeout,51,38
17:31,2130,Official TV Timeout,51,38
17:05,71,Jayden Hodgson made Three Point Jumper. Assisted by Donte Thomas.,54,38
16:53,2130,Deionte Simmons made Layup. Assisted by Glen Burns.,54,40
16:38,71,Dwayne Lautier-Ogunleye missed Layup.,54,40
16:38,2130,Deionte Simmons Defensive Rebound.,54,40
16:23,2130,Travon Bell missed Three Point Jumper.,54,40
16:23,2130,Deionte Simmons Offensive Rebound.,54,40
16:21,2130,Deionte Simmons missed Layup.,54,40
16:21,71,Dwayne Lautier-Ogunleye Defensive Rebound.,54,40
16:06,71,Jayden Hodgson missed Three Point Jumper.,54,40
16:06,2130,Deionte Simmons Defensive Rebound.,54,40
15:53,2130,Travon Bell Turnover.,54,40
15:53,2130,Official TV Timeout,54,40
15:34,71,Elijah Childs Turnover.,54,40
15:33,2130,Glen Burns Steal.,54,40
15:16,2130,Travon Bell missed Layup.,54,40
15:16,71,Elijah Childs Block.,54,40
15:13,71,Elijah Childs Defensive Rebound.,54,40
15:03,71,Koch Bar missed Layup.,54,40
15:03,2130,Fred Sims Jr. Defensive Rebound.,54,40
14:57,2130,Fred Sims Jr. Turnover.,54,40
14:33,71,Darrell Brown made Layup. Assisted by Dwayne Lautier-Ogunleye.,56,40
14:13,2130,Deionte Simmons made Layup. Assisted by Glen Burns.,56,42
14:01,71,Foul on Koch Bar.,56,42
14:01,71,Koch Bar Turnover.,56,42
13:48,2130,Deionte Simmons made Dunk. Assisted by Glen Burns.,56,44
13:35,71,Darrell Brown missed Layup.,56,44
13:35,2130,Deionte Simmons Defensive Rebound.,56,44
13:32,2130,Foul on Glen Burns.,56,44
13:32,2130,Glen Burns Turnover.,56,44
13:15,71,Donte Thomas missed Jumper.,56,44
13:15,2130,Cameron Bowles Defensive Rebound.,56,44
12:52,71,Foul on Dwayne Lautier-Ogunleye.,56,44
12:50,2130,Cameron Bowles missed Layup.,56,44
12:50,71,Donte Thomas Block.,56,44
12:50,71,Donte Thomas Defensive Rebound.,56,44
12:44,71,Jayden Hodgson missed Layup.,56,44
12:44,2130,Montana Byrd Defensive Rebound.,56,44
12:33,2130,Patrick Szpir Turnover.,56,44
12:32,71,Dwayne Lautier-Ogunleye Steal.,56,44
12:21,71,Dwayne Lautier-Ogunleye missed Three Point Jumper.,56,44
12:21,2130,Cameron Bowles Defensive Rebound.,56,44
12:13,2130,Glen Burns missed Layup.,56,44
12:13,71,Dwayne Lautier-Ogunleye Defensive Rebound.,56,44
11:52,71,Dwayne Lautier-Ogunleye made Jumper.,58,44
11:40,2130,Foul on Deionte Simmons.,58,44
11:31,2130,Fred Sims Jr. missed Layup.,58,44
11:31,71,Luuk van Bree Defensive Rebound.,58,44
11:26,71,Jayden Hodgson made Layup. Assisted by Nate Kennell.,60,44
11:11,2130,Chicago State  Timeout,60,44
10:56,71,Foul on Jayden Hodgson.,60,44
10:49,2130,Fred Sims Jr. missed Three Point Jumper.,60,44
10:49,71,Donte Thomas Defensive Rebound.,60,44
10:25,71,Dwayne Lautier-Ogunleye Turnover.,60,44
10:25,2130,Glen Burns Steal.,60,44
10:20,2130,Glen Burns missed Layup.,60,44
10:20,2130,Jelani Pruitt Offensive Rebound.,60,44
10:18,2130,Jelani Pruitt made Layup.,60,46
10:03,71,Jayden Hodgson made Jumper. Assisted by Nate Kennell.,62,46
9:48,2130,Jelani Pruitt missed Layup.,62,46
9:48,71,Dwayne Lautier-Ogunleye Defensive Rebound.,62,46
9:29,71,Dwayne Lautier-Ogunleye missed Three Point Jumper.,62,46
9:29,71,Bradley Offensive Rebound.,62,46
9:16,71,Nate Kennell missed Jumper.,62,46
9:16,2130,Montana Byrd Block.,62,46
9:16,71,Bradley Offensive Rebound.,62,46
9:09,71,Darrell Brown Turnover.,62,46
9:07,2130,Jelani Pruitt Steal.,62,46
9:03,2130,Jelani Pruitt missed Layup.,62,46
9:03,2130,Montana Byrd Offensive Rebound.,62,46
9:02,2130,Fred Sims Jr. Turnover.,62,46
8:44,71,Elijah Childs made Layup. Assisted by Darrell Brown.,64,46
8:28,2130,Glen Burns missed Three Point Jumper.,64,46
8:28,71,Nate Kennell Defensive Rebound.,64,46
8:21,71,Jayden Hodgson made Three Point Jumper. Assisted by Darrell Brown.,67,46
7:53,2130,Montana Byrd missed Three Point Jumper.,67,46
7:53,71,Luuk van Bree Defensive Rebound.,67,46
7:40,71,Luuk van Bree made Three Point Jumper. Assisted by Darrell Brown.,70,46
7:23,2130,Glen Burns Turnover.,70,46
7:22,71,Luuk van Bree Steal.,70,46
7:19,71,Luuk van Bree Turnover.,70,46
7:18,2130,Fred Sims Jr. Steal.,70,46
7:15,2130,Foul on Fred Sims Jr..,70,46
7:15,2130,Fred Sims Jr. Turnover.,70,46
7:15,2130,Official TV Timeout,70,46
6:52,71,Jayden Hodgson made Three Point Jumper. Assisted by Darrell Brown.,73,46
6:20,71,Foul on Elijah Childs.,73,46
6:20,2130,Cameron Bowles made Free Throw.,73,47
6:20,2130,Cameron Bowles made Free Throw.,73,48
6:07,71,Jayden Hodgson Turnover.,73,48
6:06,2130,Jelani Pruitt Steal.,73,48
6:04,2130,Jelani Pruitt made Dunk.,73,50
5:47,71,Luuk van Bree made Layup. Assisted by Nate Kennell.,75,50
5:23,2130,Deionte Simmons made Layup. Assisted by Jelani Pruitt.,75,52
5:03,71,Darrell Brown missed Layup.,75,52
5:03,2130,Alex Dubovitskiy Defensive Rebound.,75,52
4:52,2130,Alex Dubovitskiy missed Three Point Jumper.,75,52
4:52,71,Nate Kennell Defensive Rebound.,75,52
4:35,71,Luuk van Bree made Jumper.,77,52
4:20,2130,Deionte Simmons missed Layup.,77,52
4:20,71,Elijah Childs Block.,77,52
4:18,71,Jayden Hodgson Defensive Rebound.,77,52
4:13,71,Nate Kennell missed Three Point Jumper.,77,52
4:13,2130,Deionte Simmons Defensive Rebound.,77,52
3:47,2130,Jelani Pruitt made Layup.,77,54
3:34,71,Nate Kennell made Layup.,79,54
3:34,2130,Foul on Alex Dubovitskiy.,79,54
3:34,2130,Official TV Timeout,79,54
3:34,71,Nate Kennell made Free Throw.,80,54
3:07,2130,Glen Burns Turnover.,80,54
3:06,71,Donte Thomas Steal.,80,54
3:02,71,Donte Thomas missed Layup.,80,54
3:02,2130,Montana Byrd Defensive Rebound.,80,54
2:49,2130,Glen Burns Turnover.,80,54
2:47,71,Dwayne Lautier-Ogunleye Steal.,80,54
2:45,2130,Foul on Montana Byrd.,80,54
2:45,71,Donte Thomas made Free Throw.,81,54
2:45,71,Donte Thomas made Free Throw.,82,54
2:35,2130,Deionte Simmons missed Layup.,82,54
2:35,71,Koch Bar Block.,82,54
2:35,2130,Chicago State Offensive Rebound.,82,54
2:30,2130,Deionte Simmons made Layup.,82,56
2:11,71,Ryan Stipanovich Turnover.,82,56
2:10,2130,Montana Byrd Steal.,82,56
2:08,2130,Jelani Pruitt made Layup. Assisted by Nathan Townsen Jr..,82,58
1:35,2130,Foul on Deionte Simmons.,82,58
1:35,71,Koch Bar made Free Throw.,83,58
1:35,71,Koch Bar made Free Throw.,84,58
1:22,2130,Nathan Townsen Jr. missed Three Point Jumper.,84,58
1:22,2130,Jelani Pruitt Offensive Rebound.,84,58
1:13,2130,Jelani Pruitt missed Three Point Jumper.,84,58
1:13,71,Bradley Defensive Rebound.,84,58
