Vermont,179,St. Bonaventure,261
11:29,261,Ernie Duncan missed Layup.,11,12
11:29,179,St. Bonaventure Defensive Rebound.,11,12
11:26,179,Official TV Timeout,11,12
10:58,179,Amadi Ikpeze made Layup. Assisted by Courtney Stockard.,11,14
10:42,261,Anthony Lamb Turnover.,11,14
10:20,179,Izaiah Brockington made Three Point Jumper. Assisted by Courtney Stockard.,11,17
9:51,261,Anthony Lamb made Three Point Jumper. Assisted by Cam Ward.,14,17
9:39,261,Foul on Cam Ward.,14,17
9:29,179,Amadi Ikpeze made Layup. Assisted by Izaiah Brockington.,14,19
9:04,261,Anthony Lamb made Three Point Jumper. Assisted by Cam Ward.,17,19
8:45,179,Amadi Ikpeze made Jumper. Assisted by Izaiah Brockington.,17,21
8:18,261,Stef Smith missed Layup.,17,21
8:18,261,Nate Rohrer Offensive Rebound.,17,21
8:14,261,Nate Rohrer made Layup.,19,21
7:50,179,Amadi Ikpeze made Jumper.,19,23
7:27,261,Payton Henson made Three Point Jumper. Assisted by Cam Ward.,22,23
7:14,179,Official TV Timeout,22,23
7:10,179,Jaylen Adams missed Three Point Jumper.,22,23
7:10,261,Anthony Lamb Defensive Rebound.,22,23
6:47,261,Anthony Lamb missed Three Point Jumper.,22,23
6:47,179,Izaiah Brockington Defensive Rebound.,22,23
6:41,179,Izaiah Brockington made Layup.,22,25
6:41,261,Foul on Trae Bell-Haynes.,22,25
6:41,179,Izaiah Brockington missed Free Throw.,22,25
6:41,179,Tshiefu Ngalakulondi Offensive Rebound.,22,25
6:35,179,Jaylen Adams made Three Point Jumper. Assisted by Izaiah Brockington.,22,28
6:18,261,Ernie Duncan made Three Point Jumper. Assisted by Anthony Lamb.,25,28
6:04,179,Tshiefu Ngalakulondi Turnover.,25,28
5:37,261,Anthony Lamb made Layup. Assisted by Ernie Duncan.,27,28
5:26,261,Foul on Trae Bell-Haynes.,27,28
5:26,179,Jaylen Adams made Free Throw.,27,29
5:26,179,Jaylen Adams made Free Throw.,27,30
5:12,261,Anthony Lamb Turnover.,27,30
4:54,179,Izaiah Brockington made Three Point Jumper. Assisted by Jaylen Adams.,27,33
4:25,261,Payton Henson made Layup. Assisted by Ernie Duncan.,29,33
4:25,179,Foul on Josh Ayeni.,29,33
4:25,261,Payton Henson missed Free Throw.,29,33
4:25,179,Matt Mobley Defensive Rebound.,29,33
4:10,179,Josh Ayeni missed Jumper.,29,33
4:10,261,Everett Duncan Defensive Rebound.,29,33
3:55,261,Cam Ward missed Jumper.,29,33
3:55,179,Izaiah Brockington Block.,29,33
3:53,261,Ernie Duncan Offensive Rebound.,29,33
3:50,179,Foul on Jaylen Adams.,29,33
3:50,179,Jaylen Adams Turnover.,29,33
3:50,179,Official TV Timeout,29,33
3:32,179,Foul on Courtney Stockard.,29,33
3:29,261,Foul on Drew Urquhart.,29,33
3:29,261,Drew Urquhart Turnover.,29,33
3:19,179,Izaiah Brockington made Layup.,29,35
2:58,261,Anthony Lamb Turnover.,29,35
2:58,179,Courtney Stockard Steal.,29,35
2:44,179,Josh Ayeni made Jumper. Assisted by Jaylen Adams.,29,37
2:23,261,Stef Smith made Three Point Jumper. Assisted by Payton Henson.,32,37
2:00,179,Josh Ayeni made Jumper. Assisted by Matt Mobley.,32,39
1:37,261,Anthony Lamb missed Layup.,32,39
1:37,179,Courtney Stockard Block.,32,39
1:35,179,Matt Mobley Defensive Rebound.,32,39
1:29,179,Courtney Stockard missed Layup.,32,39
1:29,261,Anthony Lamb Block.,32,39
1:27,261,Anthony Lamb Defensive Rebound.,32,39
1:12,261,Foul on Payton Henson.,32,39
1:12,261,Payton Henson Turnover.,32,39
1:11,179,Josh Ayeni missed Jumper.,32,39
1:11,261,Anthony Lamb Defensive Rebound.,32,39
0:47,261,Stef Smith made Three Point Jumper. Assisted by Payton Henson.,35,39
0:40,179,St. Bonaventure  Timeout,35,39
0:30,179,Josh Ayeni missed Jumper.,35,39
0:30,261,Ernie Duncan Defensive Rebound.,35,39
0:21,261,Vermont  Timeout,35,39
0:03,261,Payton Henson missed Three Point Jumper.,35,39
0:03,179,St. Bonaventure Defensive Rebound.,35,39
0:00,179,End of 1st half,35,39
19:46,261,Anthony Lamb made Layup. Assisted by Payton Henson.,37,39
19:27,179,Josh Ayeni missed Jumper.,37,39
19:27,261,Ernie Duncan Defensive Rebound.,37,39
19:13,261,Trae Bell-Haynes missed Jumper.,37,39
19:13,179,Jaylen Adams Block.,37,39
19:11,179,St. Bonaventure Defensive Rebound.,37,39
18:51,179,Jaylen Adams missed Three Point Jumper.,37,39
18:51,179,LaDarien Griffin Offensive Rebound.,37,39
18:45,179,LaDarien Griffin made Dunk.,37,41
18:21,261,Anthony Lamb missed Three Point Jumper.,37,41
18:21,261,Anthony Lamb Offensive Rebound.,37,41
18:18,179,Foul on Idris Taqqee.,37,41
18:18,261,Anthony Lamb made Free Throw.,38,41
18:18,261,Anthony Lamb made Free Throw.,39,41
18:03,179,LaDarien Griffin Turnover.,39,41
17:41,261,Everett Duncan made Three Point Jumper. Assisted by Trae Bell-Haynes.,42,41
17:30,179,Jaylen Adams Turnover.,42,41
17:27,261,Ernie Duncan Steal.,42,41
17:09,179,Foul on Josh Ayeni.,42,41
17:08,261,Ernie Duncan made Jumper. Assisted by Trae Bell-Haynes.,44,41
16:53,179,Izaiah Brockington missed Three Point Jumper.,44,41
16:53,179,LaDarien Griffin Offensive Rebound.,44,41
16:48,261,Foul on Ernie Duncan.,44,41
16:48,179,LaDarien Griffin made Free Throw.,44,42
16:48,179,LaDarien Griffin made Free Throw.,44,43
16:28,179,Foul on Josh Ayeni.,44,43
16:07,261,Anthony Lamb made Dunk. Assisted by Trae Bell-Haynes.,46,43
15:55,179,LaDarien Griffin missed Jumper.,46,43
15:55,261,Stef Smith Defensive Rebound.,46,43
15:38,179,Foul on Matt Mobley.,46,43
15:38,179,Official TV Timeout,46,43
15:38,261,Anthony Lamb made Layup. Assisted by Stef Smith.,48,43
15:17,179,Jaylen Adams made Three Point Jumper. Assisted by Izaiah Brockington.,48,46
14:58,261,Trae Bell-Haynes Turnover.,48,46
14:42,261,Foul on Ernie Duncan.,48,46
14:31,179,Jaylen Adams missed Three Point Jumper.,48,46
14:31,261,Ernie Duncan Defensive Rebound.,48,46
14:07,179,Foul on Courtney Stockard.,48,46
14:07,261,Anthony Lamb made Free Throw.,49,46
14:07,261,Anthony Lamb made Free Throw.,50,46
13:52,179,Foul on Izaiah Brockington.,50,46
13:52,179,Izaiah Brockington Turnover.,50,46
13:24,261,Ernie Duncan missed Three Point Jumper.,50,46
13:24,179,Jaylen Adams Defensive Rebound.,50,46
13:16,179,Izaiah Brockington made Three Point Jumper. Assisted by Jaylen Adams.,50,49
12:57,261,Cam Ward made Three Point Jumper. Assisted by Ernie Duncan.,53,49
12:48,261,Foul on Drew Urquhart.,53,49
12:45,261,Foul on Drew Urquhart.,53,49
12:45,179,Amadi Ikpeze missed Free Throw.,53,49
12:45,179,St. Bonaventure Deadball Team Rebound.,53,49
12:45,179,Amadi Ikpeze made Free Throw.,53,50
12:30,261,Trae Bell-Haynes made Layup.,55,50
12:04,261,Foul on Payton Henson.,55,50
12:04,179,LaDarien Griffin made Free Throw.,55,51
12:04,179,LaDarien Griffin made Free Throw.,55,52
11:51,261,Stef Smith missed Three Point Jumper.,55,52
11:51,179,Courtney Stockard Defensive Rebound.,55,52
11:49,261,Foul on Nate Rohrer.,55,52
11:49,179,Official TV Timeout,55,52
11:33,179,Amadi Ikpeze made Jumper. Assisted by Matt Mobley.,55,54
11:20,179,Foul on Jaylen Adams.,55,54
11:20,261,Trae Bell-Haynes missed Free Throw.,55,54
11:20,261,Vermont Deadball Team Rebound.,55,54
11:20,261,Trae Bell-Haynes made Free Throw.,56,54
11:03,179,Amadi Ikpeze made Layup. Assisted by Jaylen Adams.,56,56
10:46,261,Payton Henson missed Layup.,56,56
10:46,261,Anthony Lamb Offensive Rebound.,56,56
10:44,179,Foul on Amadi Ikpeze.,56,56
10:44,261,Anthony Lamb made Free Throw.,57,56
10:44,261,Anthony Lamb made Free Throw.,58,56
10:25,179,Jaylen Adams missed Layup.,58,56
10:25,261,Payton Henson Defensive Rebound.,58,56
10:17,261,Trae Bell-Haynes made Layup.,60,56
10:03,261,Foul on Payton Henson.,60,56
10:03,179,LaDarien Griffin made Free Throw.,60,57
10:03,179,LaDarien Griffin made Free Throw.,60,58
9:42,261,Anthony Lamb Turnover.,60,58
9:27,179,Courtney Stockard made Jumper.,60,60
9:08,261,Anthony Lamb missed Layup.,60,60
9:08,179,Courtney Stockard Defensive Rebound.,60,60
9:02,179,Courtney Stockard made Layup.,60,62
8:38,261,Drew Urquhart made Layup. Assisted by Ernie Duncan.,62,62
8:14,179,Jaylen Adams made Jumper.,62,64
8:14,261,Foul on Anthony Lamb.,62,64
8:14,179,Jaylen Adams made Free Throw.,62,65
7:53,261,Everett Duncan missed Three Point Jumper.,62,65
7:53,261,Anthony Lamb Offensive Rebound.,62,65
7:47,179,Foul on Josh Ayeni.,62,65
7:47,179,Official TV Timeout,62,65
7:47,261,Anthony Lamb made Free Throw.,63,65
7:47,261,Anthony Lamb made Free Throw.,64,65
7:22,179,Courtney Stockard Turnover.,64,65
6:58,261,Trae Bell-Haynes made Jumper.,66,65
6:24,261,Foul on Trae Bell-Haynes.,66,65
6:24,179,Jaylen Adams missed Free Throw.,66,65
6:24,179,St. Bonaventure Deadball Team Rebound.,66,65
6:24,179,Jaylen Adams made Free Throw.,66,66
6:06,179,Foul on Courtney Stockard.,66,66
6:06,261,Ernie Duncan missed Free Throw.,66,66
6:06,261,Vermont Deadball Team Rebound.,66,66
6:06,261,Ernie Duncan made Free Throw.,67,66
5:51,179,LaDarien Griffin missed Jumper.,67,66
5:51,179,Josh Ayeni Offensive Rebound.,67,66
5:45,179,Josh Ayeni Turnover.,67,66
5:45,261,Everett Duncan Steal.,67,66
5:45,179,Foul on Josh Ayeni.,67,66
5:45,261,Everett Duncan made Free Throw.,68,66
5:45,261,Everett Duncan made Free Throw.,69,66
5:22,179,Courtney Stockard made Three Point Jumper. Assisted by LaDarien Griffin.,69,69
4:47,261,Cam Ward missed Three Point Jumper.,69,69
4:47,179,Amadi Ikpeze Defensive Rebound.,69,69
4:30,179,Jaylen Adams made Three Point Jumper. Assisted by LaDarien Griffin.,69,72
4:18,261,Vermont  Timeout,69,72
4:18,179,Official TV Timeout,69,72
4:18,261,Ernie Duncan Turnover.,69,72
4:05,261,Foul on Ernie Duncan.,69,72
4:05,179,LaDarien Griffin made Free Throw.,69,73
4:05,179,LaDarien Griffin missed Free Throw.,69,73
4:05,261,Payton Henson Defensive Rebound.,69,73
3:49,179,Foul on LaDarien Griffin.,69,73
3:49,179,Official TV Timeout,69,73
3:49,261,Anthony Lamb made Free Throw.,70,73
3:49,261,Anthony Lamb made Free Throw.,71,73
3:34,179,Courtney Stockard missed Layup.,71,73
3:34,261,Anthony Lamb Block.,71,73
3:34,179,Courtney Stockard Offensive Rebound.,71,73
3:34,179,Courtney Stockard Turnover.,71,73
3:18,261,Trae Bell-Haynes made Jumper.,73,73
2:46,179,Courtney Stockard made Jumper.,73,75
2:17,179,Foul on Courtney Stockard.,73,75
2:17,261,Trae Bell-Haynes made Free Throw.,74,75
2:17,261,Trae Bell-Haynes made Free Throw.,75,75
2:05,179,Courtney Stockard made Layup. Assisted by Matt Mobley.,75,77
2:05,261,Foul on Everett Duncan.,75,77
2:05,179,Courtney Stockard made Free Throw.,75,78
1:44,179,Foul on Jaylen Adams.,75,78
1:44,261,Anthony Lamb made Free Throw.,76,78
1:44,261,Anthony Lamb made Free Throw.,77,78
1:39,179,St. Bonaventure  Timeout,77,78
1:14,179,LaDarien Griffin missed Layup.,77,78
1:14,261,Anthony Lamb Defensive Rebound.,77,78
0:53,261,Drew Urquhart missed Layup.,77,78
0:53,179,LaDarien Griffin Block.,77,78
0:51,179,Jaylen Adams Defensive Rebound.,77,78
0:42,179,St. Bonaventure  Timeout,77,78
0:24,179,Courtney Stockard missed Jumper.,77,78
0:24,261,Vermont Defensive Rebound.,77,78
0:06,261,Trae Bell-Haynes missed Layup.,77,78
0:06,261,Payton Henson Offensive Rebound.,77,78
0:05,261,Payton Henson made Two Point Tip Shot.,79,78
0:01,179,Matt Mobley made Three Point Jumper.,79,81
0:00,179,End of Game,79,81
