Georgia State,2168,Dayton,2247
5:08,2247,Kane Williams missed Free Throw.,28,32
5:08,2247,Kane Williams made Free Throw.,29,32
5:08,2168,Foul on Jalen Crutcher.,29,32
4:37,2168,John Crosby missed Three Point Jumper.,29,32
4:37,2168,Trey Landers Offensive Rebound.,29,32
4:16,2168,Josh Cunningham Turnover.,29,32
4:15,2247,Malik Benlevi Steal.,29,32
4:12,2168,Official TV Timeout,36,35
4:12,2168,Official TV Timeout,29,32
4:12,2247,D'Marcus Simonds made Layup.,31,32
4:12,2168,Dayton  Timeout,31,32
3:46,2168,Jordan Davis missed Three Point Jumper.,31,32
3:46,2247,Jordan Session Defensive Rebound.,31,32
3:36,2247,D'Marcus Simonds made Jumper.,33,32
3:04,2168,Trey Landers Turnover.,33,32
2:51,2168,Foul on John Crosby.,33,32
2:51,2247,Jordan Session made Free Throw.,34,32
2:51,2247,Jordan Session missed Free Throw.,34,32
2:51,2168,Josh Cunningham Defensive Rebound.,34,32
2:30,2168,Jordan Davis missed Three Point Jumper.,34,32
2:30,2247,Malik Benlevi Defensive Rebound.,34,32
2:23,2247,Foul on D'Marcus Simonds.,34,32
2:23,2247,D'Marcus Simonds Turnover.,34,32
2:01,2168,Matej Svoboda missed Three Point Jumper.,34,32
2:01,2247,Malik Benlevi Defensive Rebound.,34,32
1:46,2247,Kane Williams made Layup.,36,32
1:26,2168,Jalen Crutcher missed Three Point Jumper.,36,32
1:26,2168,Josh Cunningham Offensive Rebound.,36,32
1:22,2168,Josh Cunningham made Free Throw.,36,33
1:22,2247,Foul on Malik Benlevi.,36,33
1:22,2168,Josh Cunningham missed Free Throw.,36,33
1:22,2247,Devin Mitchell Defensive Rebound.,36,33
1:08,2168,Foul on Matej Svoboda.,36,33
1:08,2247,Kane Williams missed Free Throw.,36,33
1:08,2247,Georgia State Deadball Team Rebound.,36,33
1:08,2247,Kane Williams missed Free Throw.,36,33
1:08,2168,Xeyrius Williams Defensive Rebound.,36,33
0:51,2168,Darrell Davis made Three Point Jumper. Assisted by Jordan Davis.,36,36
0:50,2247,Georgia State  Timeout,36,36
0:42,2168,Foul on Jalen Crutcher.,36,36
0:42,2247,Jordan Session missed Free Throw.,36,36
0:42,2247,Georgia State Deadball Team Rebound.,36,36
0:42,2247,Jordan Session missed Free Throw.,36,36
0:42,2168,Josh Cunningham Defensive Rebound.,36,36
0:41,2168,Josh Cunningham made Free Throw.,36,38
0:41,2168,Josh Cunningham made Free Throw.,36,37
0:41,2247,Foul on Kane Williams.,36,37
0:33,2247,Jordan Session missed Jumper.,36,38
0:33,2168,Josh Cunningham Defensive Rebound.,36,38
0:32,2247,Foul on Jordan Session.,36,38
0:32,2168,Josh Cunningham made Free Throw.,36,39
0:32,2168,Josh Cunningham made Free Throw.,36,40
0:02,2247,D'Marcus Simonds missed Three Point Jumper.,36,40
0:02,2168,Jordan Davis Defensive Rebound.,36,40
0:00,2168,End of 1st half,36,40
19:47,2168,John Crosby made Jumper.,36,42
19:27,2247,Foul on D'Marcus Simonds.,36,42
19:27,2247,D'Marcus Simonds Turnover.,36,42
18:59,2168,Trey Landers missed Three Point Jumper.,36,42
18:59,2247,Isaiah Williams Defensive Rebound.,36,42
18:48,2168,Foul on Josh Cunningham.,36,42
18:41,2247,Devin Mitchell missed Three Point Jumper.,36,42
18:41,2247,Georgia State Offensive Rebound.,36,42
18:29,2247,Jeff Thomas made Jumper. Assisted by Malik Benlevi.,38,42
18:04,2168,Trey Landers Turnover.,38,42
17:48,2247,Devin Mitchell made Layup.,40,42
17:23,2168,Darrell Davis made Three Point Jumper. Assisted by Trey Landers.,40,45
17:10,2247,Foul on Malik Benlevi.,40,45
17:10,2247,Malik Benlevi Turnover.,40,45
16:58,2247,Foul on Malik Benlevi.,40,45
16:51,2168,Darrell Davis missed Three Point Jumper.,40,45
16:51,2168,Josh Cunningham Offensive Rebound.,40,45
16:50,2247,Foul on Malik Benlevi.,40,45
16:33,2168,John Crosby made Three Point Jumper. Assisted by Darrell Davis.,40,48
16:10,2247,Jeff Thomas made Jumper. Assisted by Devin Mitchell.,42,48
15:38,2168,John Crosby made Layup.,42,50
15:24,2247,Jeff Thomas made Three Point Jumper. Assisted by Devin Mitchell.,45,50
15:21,2247,Georgia State  Timeout,45,50
15:13,2168,Jordan Davis made Three Point Jumper. Assisted by John Crosby.,45,53
14:49,2247,Jordan Session Turnover.,45,53
14:49,2168,Official TV Timeout,45,53
14:32,2168,John Crosby made Jumper.,45,55
14:18,2247,Devin Mitchell made Three Point Jumper. Assisted by Kane Williams.,48,55
13:52,2168,Darrell Davis Turnover.,48,55
13:51,2247,Kane Williams Steal.,48,55
13:47,2247,Kane Williams Turnover.,48,55
13:34,2168,Darrell Davis missed Three Point Jumper.,48,55
13:34,2247,Jordan Session Defensive Rebound.,48,55
13:18,2247,Isaiah Williams made Layup.,50,55
12:55,2247,Foul on Kane Williams.,50,55
12:55,2168,John Crosby missed Free Throw.,50,55
12:55,2168,Dayton Deadball Team Rebound.,50,55
12:55,2168,John Crosby missed Free Throw.,50,55
12:55,2247,Jeff Thomas Defensive Rebound.,50,55
12:47,2247,Isaiah Williams made Jumper.,52,55
12:13,2168,Jordan Davis missed Three Point Jumper.,52,55
12:13,2247,Jeff Thomas Defensive Rebound.,52,55
12:04,2247,Isaiah Williams missed Three Point Jumper.,52,55
12:04,2168,Trey Landers Defensive Rebound.,52,55
11:57,2247,Foul on Kane Williams.,52,55
11:57,2168,Official TV Timeout,52,55
11:33,2168,Xeyrius Williams made Jumper. Assisted by John Crosby.,52,57
11:14,2168,Foul on Jordan Davis.,52,57
11:14,2247,Isaiah Williams made Free Throw.,53,57
11:14,2247,Isaiah Williams made Free Throw.,54,57
10:59,2247,Foul on Jordan Tyson.,54,57
10:59,2168,Josh Cunningham missed Free Throw.,54,57
10:59,2247,Kane Williams Defensive Rebound.,54,57
10:39,2247,Jeff Thomas missed Jumper.,54,57
10:39,2247,Jordan Tyson Offensive Rebound.,54,57
10:35,2247,Jordan Tyson made Jumper.,56,57
10:16,2168,Jordan Davis missed Three Point Jumper.,56,57
10:16,2247,Isaiah Williams Defensive Rebound.,56,57
10:03,2247,Jeff Thomas missed Layup.,56,57
10:03,2247,Jordan Tyson Offensive Rebound.,56,57
9:58,2247,Devin Mitchell missed Three Point Jumper.,56,57
9:58,2168,Josh Cunningham Defensive Rebound.,56,57
9:40,2168,Josh Cunningham made Dunk. Assisted by Darrell Davis.,56,59
9:18,2247,Jeff Thomas missed Jumper.,56,59
9:18,2168,John Crosby Defensive Rebound.,56,59
9:06,2168,Darrell Davis made Three Point Jumper.,56,62
9:04,2247,Georgia State  Timeout,56,62
8:48,2247,D'Marcus Simonds missed Jumper.,56,62
8:48,2168,Xeyrius Williams Defensive Rebound.,56,62
8:38,2168,Xeyrius Williams missed Three Point Jumper.,56,62
8:38,2247,D'Marcus Simonds Defensive Rebound.,56,62
8:27,2168,Foul on Xeyrius Williams.,56,62
8:27,2247,Devin Mitchell missed Free Throw.,56,62
8:27,2247,Georgia State Deadball Team Rebound.,56,62
8:27,2247,Devin Mitchell made Free Throw.,57,62
8:05,2168,Darrell Davis made Three Point Jumper.,57,65
7:50,2247,Isaiah Williams missed Three Point Jumper.,57,65
7:50,2168,Darrell Davis Defensive Rebound.,57,65
7:31,2168,Foul on Josh Cunningham.,57,65
7:31,2168,Josh Cunningham Turnover.,57,65
7:31,2168,Official TV Timeout,57,65
7:07,2247,Devin Mitchell made Jumper.,59,65
6:41,2168,Kostas Antetokounmpo Turnover.,59,65
6:20,2247,Isaiah Williams missed Jumper.,59,65
6:20,2247,Jordan Tyson Offensive Rebound.,59,65
6:15,2247,Jordan Tyson missed Jumper.,59,65
6:15,2168,Kostas Antetokounmpo Block.,59,65
6:13,2247,Jordan Tyson Offensive Rebound.,59,65
6:09,2247,D'Marcus Simonds made Three Point Jumper. Assisted by Jordan Tyson.,62,65
5:47,2168,Jalen Crutcher Turnover.,62,65
5:46,2247,Isaiah Williams Steal.,62,65
5:39,2247,Isaiah Williams missed Jumper.,62,65
5:39,2168,Josh Cunningham Defensive Rebound.,62,65
5:11,2168,Jalen Crutcher missed Jumper.,62,65
5:11,2247,Malik Benlevi Defensive Rebound.,62,65
4:58,2247,Isaiah Williams made Three Point Jumper. Assisted by D'Marcus Simonds.,65,65
4:50,2168,Dayton  Timeout,65,65
4:32,2168,Trey Landers Turnover.,65,65
4:31,2247,Jordan Tyson Steal.,65,65
4:25,2168,Foul on Trey Landers.,65,65
4:25,2247,D'Marcus Simonds made Free Throw.,66,65
4:25,2247,D'Marcus Simonds made Free Throw.,67,65
4:04,2168,Josh Cunningham made Jumper.,67,67
4:04,2247,Foul on Jordan Tyson.,67,67
4:04,2168,Josh Cunningham missed Free Throw.,67,67
4:04,2168,Trey Landers Offensive Rebound.,67,67
4:03,2247,Foul on Jeff Thomas.,67,67
4:03,2168,Trey Landers made Free Throw.,67,68
4:03,2168,Trey Landers made Free Throw.,67,69
3:36,2247,D'Marcus Simonds Turnover.,67,69
3:35,2168,Jordan Davis Steal.,67,69
3:09,2168,Darrell Davis missed Three Point Jumper.,67,69
3:09,2168,Trey Landers Offensive Rebound.,67,69
2:47,2168,John Crosby made Jumper.,67,71
2:33,2247,D'Marcus Simonds missed Jumper.,67,71
2:33,2168,Josh Cunningham Block.,67,71
2:31,2168,Darrell Davis Defensive Rebound.,67,71
2:02,2168,Trey Landers missed Jumper.,67,71
2:02,2247,Jordan Session Defensive Rebound.,67,71
1:52,2247,Devin Mitchell made Three Point Jumper.,70,71
1:49,2247,Georgia State  Timeout,70,71
1:49,2168,Official TV Timeout,70,71
1:28,2168,Darrell Davis missed Three Point Jumper.,70,71
1:28,2168,Trey Landers Offensive Rebound.,70,71
1:24,2168,Trey Landers missed Jumper.,70,71
1:24,2168,Josh Cunningham Offensive Rebound.,70,71
1:23,2168,Josh Cunningham made Two Point Tip Shot.,70,73
1:08,2168,Foul on Josh Cunningham.,70,73
1:08,2247,Devin Mitchell made Free Throw.,71,73
1:08,2247,Devin Mitchell missed Free Throw.,71,73
1:08,2168,Jordan Davis Defensive Rebound.,71,73
0:45,2168,Darrell Davis Turnover.,71,73
0:44,2247,D'Marcus Simonds Steal.,71,73
0:44,2168,Foul on John Crosby.,71,73
0:44,2247,D'Marcus Simonds made Free Throw.,72,73
0:44,2247,D'Marcus Simonds made Free Throw.,73,73
0:28,2247,Foul on Jordan Tyson.,73,73
0:28,2168,Josh Cunningham made Free Throw.,73,74
0:28,2168,Josh Cunningham made Free Throw.,73,75
0:28,2168,Dayton  Timeout,73,75
0:03,2247,D'Marcus Simonds made Layup.,75,75
0:02,2168,Dayton  Timeout,75,75
0:00,2168,End of 2nd half,75,75
4:41,2247,D'Marcus Simonds missed Jumper.,75,75
4:41,2168,John Crosby Defensive Rebound.,75,75
4:07,2168,Darrell Davis Turnover.,75,75
3:46,2247,Devin Mitchell made Three Point Jumper. Assisted by D'Marcus Simonds.,78,75
3:19,2168,John Crosby missed Jumper.,78,75
3:19,2247,Jordan Session Block.,78,75
3:19,2168,Dayton Offensive Rebound.,78,75
3:14,2168,John Crosby missed Three Point Jumper.,78,75
3:14,2247,D'Marcus Simonds Defensive Rebound.,78,75
2:55,2247,Devin Mitchell missed Three Point Jumper.,78,75
2:55,2168,John Crosby Defensive Rebound.,78,75
2:47,2168,Josh Cunningham made Dunk. Assisted by John Crosby.,78,77
2:20,2247,Devin Mitchell missed Jumper.,78,77
2:20,2168,Trey Landers Defensive Rebound.,78,77
2:13,2247,Foul on Malik Benlevi.,78,77
2:13,2168,Josh Cunningham made Free Throw.,78,78
2:13,2168,Josh Cunningham made Free Throw.,78,79
1:46,2247,Jordan Tyson Turnover.,78,79
1:30,2168,Darrell Davis missed Three Point Jumper.,78,79
1:30,2247,Devin Mitchell Defensive Rebound.,78,79
1:15,2247,D'Marcus Simonds Turnover.,78,79
1:14,2168,Trey Landers Steal.,78,79
1:09,2168,Jordan Davis made Three Point Jumper. Assisted by John Crosby.,78,82
0:48,2247,D'Marcus Simonds missed Three Point Jumper.,78,82
0:48,2168,Jordan Davis Defensive Rebound.,78,82
0:25,2247,Foul on Devin Mitchell.,78,82
0:25,2168,John Crosby missed Free Throw.,78,82
0:25,2168,Dayton Deadball Team Rebound.,78,82
0:25,2168,John Crosby missed Free Throw.,78,82
0:25,2247,Georgia State Defensive Rebound.,78,82
0:21,2168,Foul on Trey Landers.,78,82
0:21,2247,Kane Williams made Free Throw.,79,82
0:21,2247,Kane Williams made Free Throw.,80,82
0:21,2247,Georgia State  Timeout,80,82
0:21,2168,Official TV Timeout,80,82
0:21,2168,Dayton  Timeout,80,82
0:20,2247,Foul on Kane Williams.,80,82
0:20,2168,Darrell Davis made Free Throw.,80,83
0:20,2168,Darrell Davis made Free Throw.,80,84
0:16,2168,Foul on Trey Landers.,80,84
0:16,2247,Devin Mitchell made Free Throw.,81,84
0:16,2247,Devin Mitchell missed Free Throw.,81,84
0:16,2247,Jordan Session Offensive Rebound.,81,84
0:12,2247,Jordan Session missed Jumper.,81,84
0:12,2168,Josh Cunningham Defensive Rebound.,81,84
0:12,2247,Foul on Kane Williams.,81,84
0:12,2168,Josh Cunningham made Free Throw.,81,85
0:12,2168,Josh Cunningham made Free Throw.,81,86
0:06,2168,Foul on Josh Cunningham.,81,86
0:06,2247,D'Marcus Simonds made Free Throw.,82,86
0:06,2247,D'Marcus Simonds made Free Throw.,83,86
0:06,2247,Foul on D'Marcus Simonds.,83,86
0:06,2168,Darrell Davis made Free Throw.,83,87
0:06,2168,Darrell Davis made Free Throw.,83,88
0:00,2168,End of Game,83,88
