Charleston,227,Rhode Island,232
6:25,227,Jeff Dowtin Defensive Rebound.,21,19
6:21,227,E.C. Matthews missed Free Throw.,21,19
6:21,227,Rhode Island Deadball Team Rebound.,21,19
6:21,227,E.C. Matthews made Free Throw.,21,20
6:20,232,Foul on Jaylen McManus.,21,19
6:01,232,Cameron Johnson Turnover.,21,20
6:01,227,Stanford Robinson Steal.,21,20
5:42,227,Andre Berry made Jumper.,21,22
5:09,232,Grant Riller made Jumper.,23,22
4:48,227,Andre Berry missed Jumper.,23,22
4:48,232,Cameron Johnson Defensive Rebound.,23,22
4:29,227,Foul on Fatts Russell.,23,22
4:10,232,Joe Chealey Turnover.,23,22
3:54,227,Jared Terrell made Three Point Jumper. Assisted by Fatts Russell.,23,25
3:32,232,Grant Riller made Layup.,25,25
3:09,227,Jared Terrell missed Three Point Jumper.,25,25
3:09,227,Stanford Robinson Offensive Rebound.,25,25
3:05,227,Fatts Russell missed Three Point Jumper.,25,25
3:05,232,Cameron Johnson Defensive Rebound.,25,25
2:42,232,Grant Riller missed Layup.,25,25
2:42,232,Osinachi Smart Offensive Rebound.,25,25
2:38,232,Osinachi Smart made Layup.,27,25
2:21,227,Stanford Robinson made Three Point Jumper. Assisted by Jarvis Garrett.,27,28
1:45,232,Cameron Johnson Turnover.,27,28
1:45,227,Official TV Timeout,27,28
1:33,227,Jared Terrell made Layup. Assisted by Stanford Robinson.,27,30
1:06,232,Cameron Johnson missed Three Point Jumper.,27,30
1:06,227,Rhode Island Defensive Rebound.,27,30
0:48,227,Jared Terrell missed Three Point Jumper.,27,30
0:48,232,Cameron Johnson Defensive Rebound.,27,30
0:40,232,Cameron Johnson Turnover.,27,30
0:40,232,Foul on Cameron Johnson.,27,30
0:40,227,Rhode Island  Timeout,27,30
0:19,227,Andre Berry Turnover.,27,30
0:05,227,Foul on Jarvis Garrett.,27,30
0:00,232,Jaylen McManus missed Three Point Jumper.,27,30
0:00,227,Nicola Akele Defensive Rebound.,27,30
0:00,227,End of 1st half,27,30
19:41,232,Nick Harris missed Jumper.,27,30
19:41,227,Jared Terrell Defensive Rebound.,27,30
19:23,227,Andre Berry missed Jumper.,27,30
19:23,232,Nick Harris Defensive Rebound.,27,30
19:13,232,Jaylen McManus missed Three Point Jumper.,27,30
19:13,227,Jeff Dowtin Defensive Rebound.,27,30
18:55,227,Stanford Robinson missed Jumper.,27,30
18:55,232,Nick Harris Defensive Rebound.,27,30
18:37,227,Foul on Andre Berry.,27,30
18:37,232,Nick Harris missed Free Throw.,27,30
18:37,232,Charleston Deadball Team Rebound.,27,30
18:37,232,Nick Harris missed Free Throw.,27,30
18:37,232,Cameron Johnson Offensive Rebound.,27,30
18:28,227,Foul on Stanford Robinson.,27,30
18:28,232,Grant Riller made Free Throw.,28,30
18:28,232,Grant Riller made Free Throw.,29,30
18:08,227,Stanford Robinson Turnover.,29,30
18:07,232,Grant Riller Steal.,29,30
18:05,232,Grant Riller made Layup.,31,30
17:34,227,Stanford Robinson missed Layup.,31,30
17:34,232,Jaylen McManus Block.,31,30
17:32,232,Jaylen McManus Defensive Rebound.,31,30
17:22,227,Foul on Jarvis Garrett.,31,30
17:11,227,Foul on Cyril Langevine.,31,30
17:11,232,Joe Chealey made Free Throw.,32,30
17:11,232,Joe Chealey made Free Throw.,33,30
16:53,227,Stanford Robinson missed Three Point Jumper.,33,30
16:53,232,Joe Chealey Defensive Rebound.,33,30
16:39,232,Cameron Johnson made Three Point Jumper. Assisted by Joe Chealey.,36,30
16:35,227,Rhode Island  Timeout,36,30
16:14,227,Nicola Akele made Layup.,36,32
15:46,232,Cameron Johnson missed Layup.,36,32
15:46,227,Rhode Island Defensive Rebound.,36,32
15:46,227,Official TV Timeout,36,32
15:32,227,Jared Terrell missed Jumper.,36,32
15:32,227,Cyril Langevine Offensive Rebound.,36,32
15:28,227,Cyril Langevine made Layup.,36,34
14:59,232,Grant Riller missed Layup.,36,34
14:59,227,Nicola Akele Defensive Rebound.,36,34
14:43,227,Jeff Dowtin made Dunk. Assisted by Nicola Akele.,36,36
14:29,232,Joe Chealey missed Jumper.,36,36
14:29,227,Nicola Akele Defensive Rebound.,36,36
14:23,227,Jared Terrell Turnover.,36,36
14:22,232,Joe Chealey Steal.,36,36
14:16,232,Grant Riller made Layup.,38,36
14:15,232,Charleston  Timeout,38,36
14:04,227,Nicola Akele missed Three Point Jumper.,38,36
14:04,232,Cameron Johnson Defensive Rebound.,38,36
13:44,232,Foul on Nick Harris.,38,36
13:44,232,Cameron Johnson missed Layup.,38,36
13:44,227,Nicola Akele Defensive Rebound.,38,36
13:22,227,Fatts Russell missed Jumper.,38,36
13:22,232,Osinachi Smart Defensive Rebound.,38,36
13:16,232,Jaylen McManus made Three Point Jumper. Assisted by Grant Riller.,41,36
12:54,232,Foul on Cameron Johnson.,41,36
12:42,227,E.C. Matthews missed Jumper.,41,36
12:42,227,Cyril Langevine Offensive Rebound.,41,36
12:38,232,Foul on Jaylen McManus.,41,36
12:19,232,Foul on Marquise Pointer.,41,36
12:19,227,Cyril Langevine missed Free Throw.,41,36
12:19,227,Rhode Island Deadball Team Rebound.,41,36
12:19,227,Cyril Langevine missed Free Throw.,41,36
12:19,227,E.C. Matthews Offensive Rebound.,41,36
11:58,227,Cyril Langevine missed Layup.,41,36
11:58,227,Cyril Langevine Offensive Rebound.,41,36
11:55,227,Official TV Timeout,41,36
11:51,227,E.C. Matthews made Three Point Jumper. Assisted by Stanford Robinson.,41,39
11:24,232,Marquise Pointer missed Three Point Jumper.,41,39
11:24,227,Jeff Dowtin Defensive Rebound.,41,39
11:15,232,Foul on Osinachi Smart.,41,39
11:07,227,Jared Terrell Turnover.,41,39
11:05,232,Grant Riller Steal.,41,39
11:02,232,Grant Riller made Layup.,43,39
11:02,227,Foul on Jarvis Garrett.,43,39
11:02,232,Grant Riller made Free Throw.,44,39
10:42,227,E.C. Matthews missed Layup.,44,39
10:42,227,Stanford Robinson Offensive Rebound.,44,39
10:40,227,Stanford Robinson made Layup.,44,41
10:40,232,Foul on Jaylen McManus.,44,41
10:39,227,Stanford Robinson made Free Throw.,44,42
10:22,227,Foul on Stanford Robinson.,44,42
10:22,232,Grant Riller missed Free Throw.,44,42
10:22,232,Charleston Deadball Team Rebound.,44,42
10:21,232,Grant Riller made Free Throw.,45,42
9:34,227,Jared Terrell made Three Point Jumper.,45,45
9:06,232,Grant Riller missed Layup.,45,45
9:06,232,Grant Riller Offensive Rebound.,45,45
9:01,232,Grant Riller missed Layup.,45,45
9:01,227,Stanford Robinson Block.,45,45
9:01,232,Charleston Offensive Rebound.,45,45
8:57,232,Joe Chealey made Jumper.,47,45
8:33,227,Jared Terrell made Jumper.,47,47
8:07,232,Joe Chealey missed Jumper.,47,47
8:07,227,Cyril Langevine Defensive Rebound.,47,47
7:46,227,Jared Terrell missed Three Point Jumper.,47,47
7:46,232,Joe Chealey Defensive Rebound.,47,47
7:28,232,Joe Chealey missed Three Point Jumper.,47,47
7:28,227,Stanford Robinson Defensive Rebound.,47,47
7:00,227,Jeff Dowtin made Jumper.,47,49
6:30,232,Nick Harris missed Layup.,47,49
6:30,227,Stanford Robinson Defensive Rebound.,47,49
6:30,232,Foul on Joe Chealey.,47,49
6:30,227,Stanford Robinson made Free Throw.,47,50
6:30,227,Stanford Robinson made Free Throw.,47,51
6:13,232,Joe Chealey missed Jumper.,47,51
6:13,227,Cyril Langevine Defensive Rebound.,47,51
6:10,232,Foul on Cameron Johnson.,47,51
6:10,227,Cyril Langevine made Free Throw.,47,52
6:10,227,Cyril Langevine made Free Throw.,47,53
5:51,227,Foul on Stanford Robinson.,47,53
5:51,232,Nick Harris made Free Throw.,48,53
5:51,232,Nick Harris made Free Throw.,49,53
5:32,227,Jared Terrell made Layup.,49,55
5:10,232,Grant Riller made Three Point Jumper. Assisted by Evan Bailey.,52,55
4:49,227,Fatts Russell missed Jumper.,52,55
4:49,227,Cyril Langevine Offensive Rebound.,52,55
4:42,227,Cyril Langevine missed Layup.,52,55
4:42,232,Nick Harris Block.,52,55
4:40,232,Nick Harris Defensive Rebound.,52,55
4:37,232,Grant Riller Turnover.,52,55
4:36,227,Jared Terrell Steal.,52,55
4:33,227,Fatts Russell made Layup. Assisted by Jared Terrell.,52,57
4:25,227,Foul on Fatts Russell.,52,57
4:25,232,Joe Chealey made Free Throw.,53,57
4:25,232,Joe Chealey made Free Throw.,54,57
4:00,227,Jared Terrell missed Jumper.,54,57
4:00,232,Joe Chealey Defensive Rebound.,54,57
3:48,232,Nick Harris made Dunk. Assisted by Joe Chealey.,56,57
3:23,227,Cyril Langevine made Layup. Assisted by Jeff Dowtin.,56,59
3:04,232,Nick Harris made Dunk. Assisted by Joe Chealey.,58,59
2:35,227,Jared Terrell missed Three Point Jumper.,58,59
2:35,232,Grant Riller Defensive Rebound.,58,59
2:26,227,Foul on Jared Terrell.,58,59
2:26,227,Official TV Timeout,58,59
2:26,232,Joe Chealey made Free Throw.,59,59
2:26,232,Joe Chealey made Free Throw.,60,59
2:06,232,Foul on Joe Chealey.,60,59
2:06,227,Cyril Langevine made Free Throw.,60,60
2:06,227,Cyril Langevine made Free Throw.,60,61
1:52,232,Grant Riller missed Three Point Jumper.,60,61
1:52,232,Nick Harris Offensive Rebound.,60,61
1:45,232,Joe Chealey missed Layup.,60,61
1:45,227,Cyril Langevine Block.,60,61
1:43,227,Cyril Langevine Defensive Rebound.,60,61
1:17,227,Cyril Langevine missed Layup.,60,61
1:17,232,Cameron Johnson Block.,60,61
1:17,227,Cyril Langevine Offensive Rebound.,60,61
1:17,232,Foul on Cameron Johnson.,60,61
1:17,227,Cyril Langevine made Free Throw.,60,62
1:17,227,Cyril Langevine made Free Throw.,60,63
1:00,232,Evan Bailey missed Three Point Jumper.,60,63
1:00,227,Jared Terrell Defensive Rebound.,60,63
0:56,232,Foul on Joe Chealey.,60,63
0:56,227,Jared Terrell made Free Throw.,60,64
0:56,227,Jared Terrell made Free Throw.,60,65
0:46,232,Joe Chealey missed Layup.,60,65
0:46,227,Cyril Langevine Block.,60,65
0:42,227,Stanford Robinson Defensive Rebound.,60,65
0:42,232,Foul on Evan Bailey.,60,65
0:42,227,Stanford Robinson missed Free Throw.,60,65
0:42,227,Rhode Island Deadball Team Rebound.,60,65
0:42,227,Stanford Robinson missed Free Throw.,60,65
0:42,232,Joe Chealey Defensive Rebound.,60,65
0:42,232,Grant Riller Turnover.,60,65
0:42,227,Jared Terrell Steal.,60,65
0:29,232,Foul on Marquise Pointer.,60,65
0:29,227,Jared Terrell made Free Throw.,60,66
0:29,227,Jared Terrell made Free Throw.,60,67
0:22,232,Charleston  Timeout,60,67
0:21,232,Joe Chealey made Layup.,62,67
0:12,227,Rhode Island  Timeout,62,67
0:10,232,Foul on Marquise Pointer.,62,67
0:10,227,Jared Terrell missed Free Throw.,62,67
0:10,227,Rhode Island Deadball Team Rebound.,62,67
0:10,227,Jared Terrell made Free Throw.,62,68
0:08,232,Joe Chealey missed Three Point Jumper.,62,68
0:08,232,Joe Chealey Offensive Rebound.,62,68
0:03,232,Joe Chealey missed Three Point Jumper.,62,68
0:03,227,Stanford Robinson Defensive Rebound.,62,68
0:00,227,End of Game,62,68
