Culver-Stockton,Error,Nicholls,2447
19:35,2447,Jahvaughn Powell made Three Point Jumper. Assisted by Kevin Johnson.,14,55
19:21,-1,Campbell Millar Turnover.,14,55
19:04,2447,Ryghe Lyons missed Jumper.,14,55
19:04,-1,Culver-Stockton Defensive Rebound.,14,55
18:53,-1,Tarae Potter missed Three Point Jumper.,14,55
18:53,2447,Tevon Saddler Defensive Rebound.,14,55
18:46,2447,Jahvaughn Powell missed Three Point Jumper.,14,55
18:46,2447,Kevin Johnson Offensive Rebound.,14,55
18:40,2447,Ryghe Lyons made Layup. Assisted by Kevin Johnson.,14,57
18:25,-1,Tarae Potter made Three Point Jumper. Assisted by Campbell Millar.,17,57
18:03,2447,Ryghe Lyons missed Jumper.,17,57
18:03,-1,Thaddeus Newby Defensive Rebound.,17,57
17:53,2447,Foul on Tevon Saddler.,17,57
17:53,-1,Campbell Millar made Free Throw.,18,57
17:53,-1,Campbell Millar made Free Throw.,19,57
17:28,2447,Kevin Johnson missed Three Point Jumper.,19,57
17:28,2447,Ryghe Lyons Offensive Rebound.,19,57
17:19,2447,Ryghe Lyons Turnover.,19,57
17:10,-1,Cullen Smith made Layup. Assisted by Tarae Potter.,21,57
16:55,2447,Tevon Saddler missed Layup.,21,57
16:55,-1,Culver-Stockton Defensive Rebound.,21,57
16:54,2447,Foul on Kimani Jackson.,21,57
16:49,-1,Thaddeus Newby Turnover.,21,57
16:48,2447,Jahvaughn Powell Steal.,21,57
16:40,2447,Jahvaughn Powell missed Three Point Jumper.,21,57
16:40,-1,Culver-Stockton Defensive Rebound.,21,57
16:29,-1,Adrian Fernandez made Three Point Jumper. Assisted by Cullen Smith.,24,57
16:19,2447,Nicholls  Timeout,24,57
16:19,2447,Official TV Timeout,24,57
16:12,-1,Foul on Campbell Millar.,24,57
16:01,2447,Kevin Johnson missed Jumper.,24,57
16:01,2447,Nicholls Offensive Rebound.,24,57
15:56,2447,Official TV Timeout,24,57
15:53,2447,Lafayette Rutledge missed Three Point Jumper.,24,57
15:53,-1,Cullen Smith Defensive Rebound.,24,57
15:43,-1,Tarae Potter missed Layup.,24,57
15:43,-1,Cullen Smith Offensive Rebound.,24,57
15:41,-1,Cullen Smith made Layup.,26,57
15:17,2447,Roddy Peters missed Jumper.,26,57
15:17,2447,Kimani Jackson Offensive Rebound.,26,57
15:12,2447,Kimani Jackson missed Dunk.,26,57
15:12,-1,Tarae Potter Defensive Rebound.,26,57
15:06,-1,Campbell Millar made Layup. Assisted by Tarae Potter.,28,57
14:34,2447,Roddy Peters missed Three Point Jumper.,28,57
14:34,2447,Kimani Jackson Offensive Rebound.,28,57
14:29,2447,Kimani Jackson made Layup.,28,59
14:07,2447,Foul on Stevie Repichowski.,28,59
14:00,-1,Adrian Fernandez made Layup.,30,59
13:49,-1,Thaddeus Newby made Three Point Jumper.,33,59
13:45,2447,Roddy Peters made Layup.,33,61
13:25,-1,Tarae Potter Turnover.,33,61
12:52,2447,Kimani Jackson Turnover.,33,61
12:43,-1,Tarae Potter missed Three Point Jumper.,33,61
12:43,-1,Adrian Fernandez Offensive Rebound.,33,61
12:31,-1,Tarae Potter missed Layup.,33,61
12:31,2447,Ryghe Lyons Block.,33,61
12:30,2447,Ryghe Lyons Defensive Rebound.,33,61
12:24,2447,Lafayette Rutledge missed Three Point Jumper.,33,61
12:24,-1,Cullen Smith Defensive Rebound.,33,61
12:12,-1,Wyatt Harkins Turnover.,33,61
12:11,2447,Ryghe Lyons Steal.,33,61
12:07,2447,Roddy Peters made Layup.,33,63
12:07,-1,Foul on Adrian Fernandez.,33,63
12:07,2447,Roddy Peters made Free Throw.,33,64
11:53,-1,Tarae Potter missed Three Point Jumper.,33,64
11:53,2447,Tevon Saddler Defensive Rebound.,33,64
11:41,2447,Tevon Saddler made Three Point Jumper. Assisted by Roddy Peters.,33,67
11:24,-1,Colin Jones Turnover.,33,67
11:24,2447,Official TV Timeout,33,67
11:11,2447,Tevon Saddler made Jumper.,33,69
11:07,-1,Colin Jones Turnover.,33,69
10:45,2447,Tevon Saddler made Jumper. Assisted by Jahvaughn Powell.,33,71
10:33,-1,Grant Fischer made Three Point Jumper. Assisted by Tarae Potter.,36,71
10:15,2447,Stevie Repichowski missed Three Point Jumper.,36,71
10:14,-1,Cullen Smith Defensive Rebound.,36,71
9:59,2447,Foul on Stevie Repichowski.,36,71
9:59,-1,Cullen Smith made Free Throw.,37,71
9:59,-1,Cullen Smith made Free Throw.,38,71
9:40,2447,Kevin Johnson Turnover.,38,71
9:16,-1,Tarae Potter Turnover.,38,71
9:16,-1,Foul on Tarae Potter.,38,71
8:59,2447,Tevon Saddler made Jumper. Assisted by Roddy Peters.,38,73
8:47,-1,Grant Fischer missed Three Point Jumper.,38,73
8:47,2447,Nicholls Defensive Rebound.,38,73
8:31,2447,Tevon Saddler missed Jumper.,38,73
8:31,2447,Roddy Peters Offensive Rebound.,38,73
8:17,2447,Roddy Peters Turnover.,38,73
8:16,-1,Tarae Potter Steal.,38,73
8:13,-1,Tarae Potter made Layup.,40,73
7:47,2447,Stevie Repichowski missed Three Point Jumper.,40,73
7:47,-1,Dion Collins Defensive Rebound.,40,73
7:33,-1,Thaddeus Newby made Layup.,42,73
7:33,2447,Foul on Stevie Repichowski.,42,73
7:33,2447,Official TV Timeout,42,73
7:33,-1,Thaddeus Newby made Free Throw.,43,73
7:11,2447,Tevon Saddler missed Three Point Jumper.,43,73
7:11,2447,Kevin Johnson Offensive Rebound.,43,73
7:07,2447,Kevin Johnson missed Layup.,43,73
7:07,2447,Kevin Johnson Offensive Rebound.,43,73
7:05,2447,Kevin Johnson made Layup.,43,75
6:46,-1,Campbell Millar missed Three Point Jumper.,43,75
6:46,-1,Adrian Fernandez Offensive Rebound.,43,75
6:38,-1,Thaddeus Newby missed Three Point Jumper.,43,75
6:38,2447,Tevon Saddler Defensive Rebound.,43,75
6:01,2447,Kimani Jackson Turnover.,43,75
5:59,-1,Tarae Potter Steal.,43,75
5:44,-1,Tarae Potter Turnover.,43,75
5:43,2447,Kevin Johnson Steal.,43,75
5:37,2447,Stevie Repichowski made Three Point Jumper. Assisted by Lafayette Rutledge.,43,78
5:28,-1,Thaddeus Newby made Jumper.,45,78
4:52,2447,Zach Young missed Three Point Jumper.,45,78
4:52,2447,Ryghe Lyons Offensive Rebound.,45,78
4:47,2447,Ryghe Lyons made Layup.,45,80
4:32,-1,Tarae Potter Turnover.,45,80
4:32,-1,Foul on Tarae Potter.,45,80
4:07,2447,Kevin Johnson Turnover.,45,80
4:06,-1,Adrian Fernandez Steal.,45,80
3:56,-1,Thaddeus Newby made Three Point Jumper. Assisted by Campbell Millar.,48,80
3:30,2447,Zach Young missed Three Point Jumper.,48,80
3:30,-1,Thaddeus Newby Defensive Rebound.,48,80
3:17,-1,Cullen Smith Turnover.,48,80
3:15,2447,Kevin Johnson Steal.,48,80
3:12,2447,Ryghe Lyons made Layup. Assisted by Kevin Johnson.,48,82
3:01,-1,Tarae Potter missed Three Point Jumper.,48,82
3:01,-1,Campbell Millar Offensive Rebound.,48,82
2:55,2447,Foul on Ryghe Lyons.,48,82
2:55,2447,Official TV Timeout,48,82
2:55,-1,Campbell Millar made Free Throw.,49,82
2:55,-1,Campbell Millar missed Free Throw.,49,82
2:55,2447,Ryghe Lyons Defensive Rebound.,49,82
2:40,2447,Ryghe Lyons made Layup. Assisted by Jahvaughn Powell.,49,84
2:23,-1,Javier March made Layup. Assisted by Travis Witt.,51,84
2:18,-1,Foul on Campbell Millar.,51,84
2:02,2447,Lafayette Rutledge made Three Point Jumper. Assisted by Jahvaughn Powell.,51,87
1:43,-1,Jose Fernandez missed Three Point Jumper.,51,87
1:43,2447,Jahvaughn Powell Defensive Rebound.,51,87
1:29,2447,Ryghe Lyons Turnover.,51,87
1:20,-1,Javier March missed Layup.,51,87
1:20,-1,Javier March Offensive Rebound.,51,87
1:16,-1,Javier March missed Layup.,51,87
1:16,2447,Nicholls Defensive Rebound.,51,87
1:04,2447,Jahvaughn Powell made Layup. Assisted by Ryghe Lyons.,51,89
0:56,-1,Jose Fernandez missed Layup.,51,89
0:56,2447,Ryghe Lyons Block.,51,89
0:55,2447,Jahvaughn Powell Defensive Rebound.,51,89
0:52,2447,Jahvaughn Powell Turnover.,51,89
0:33,2447,Foul on Jahvaughn Powell.,51,89
0:33,-1,Jose Fernandez missed Free Throw.,51,89
0:33,2447,Jahvaughn Powell Defensive Rebound.,51,89
0:05,2447,Lafayette Rutledge made Three Point Jumper. Assisted by Zach Young.,51,92
