South Carolina Upstate,55,Jacksonville State,2908
9:31,2908,South Carolina Upstate  Timeout,41,59
9:18,2908,Malik Moore missed Three Point Jumper.,41,59
9:18,2908,Malik Moore Offensive Rebound.,41,59
9:12,2908,Malik Moore made Free Throw.,42,59
9:12,2908,Malik Moore made Free Throw.,43,59
9:11,55,Foul on Jason Burnell.,43,59
8:54,55,Jacara Cross missed Layup.,43,59
8:54,55,Jacara Cross Offensive Rebound.,43,59
8:50,55,Jacara Cross Turnover.,43,59
8:50,2908,Mike Cunningham Steal.,43,59
8:43,2908,Mike Cunningham Turnover.,43,59
8:42,55,Malcolm Drumwright Steal.,43,59
8:36,55,Jacara Cross made Layup. Assisted by Malcolm Drumwright.,43,61
8:18,55,Foul on Jacara Cross.,43,61
8:18,2908,Avery Diggs missed Free Throw.,43,61
8:18,55,Ashton Spears Defensive Rebound.,43,61
8:09,55,Jason Burnell missed Three Point Jumper.,43,61
8:09,2908,South Carolina Upstate Defensive Rebound.,43,61
7:45,2908,Carson Smith missed Three Point Jumper.,43,61
7:45,55,Ashton Spears Defensive Rebound.,43,61
7:37,55,Official TV Timeout,43,61
7:24,55,Jacara Cross Turnover.,43,61
7:09,2908,Jure Span made Three Point Jumper. Assisted by Malik Moore.,46,61
6:58,55,Jacksonville State  Timeout,46,61
6:49,2908,Mike Cunningham made Free Throw.,47,61
6:49,2908,Mike Cunningham made Free Throw.,48,61
6:48,55,Jason Burnell Turnover.,48,61
6:48,2908,Mike Cunningham Steal.,48,61
6:48,55,Foul on Jason Burnell.,48,61
6:32,55,Jamall Gregory missed Jumper.,48,61
6:32,55,Jason Burnell Offensive Rebound.,48,61
6:28,55,Jason Burnell made Layup.,48,63
6:17,2908,Deion Holmes missed Layup.,48,63
6:17,55,Jason Burnell Block.,48,63
6:16,55,Jamall Gregory Defensive Rebound.,48,63
5:59,2908,Foul on Mike Cunningham.,48,63
5:59,55,Malcolm Drumwright made Free Throw.,48,64
5:59,55,Malcolm Drumwright made Free Throw.,48,65
5:47,2908,Mike Cunningham made Layup.,50,65
5:16,55,Malcolm Drumwright made Three Point Jumper. Assisted by Jamall Gregory.,50,68
4:57,2908,Jure Span missed Three Point Jumper.,50,68
4:57,2908,Deion Holmes Offensive Rebound.,50,68
4:54,2908,Deion Holmes made Layup.,52,68
4:37,55,Malcolm Drumwright Turnover.,52,68
4:16,2908,Malik Moore made Layup. Assisted by Deion Holmes.,54,68
3:47,55,Malcolm Drumwright missed Jumper.,54,68
3:47,55,Christian Cunningham Offensive Rebound.,54,68
3:44,55,Christian Cunningham made Free Throw.,54,69
3:44,55,Christian Cunningham made Free Throw.,54,70
3:28,2908,Malik Moore missed Three Point Jumper.,54,70
3:28,55,Christian Cunningham Defensive Rebound.,54,70
3:04,55,Marlon Hunter missed Three Point Jumper.,54,70
3:04,2908,Mike Cunningham Defensive Rebound.,54,70
2:54,2908,Mike Cunningham missed Jumper.,54,70
2:54,55,Christian Cunningham Defensive Rebound.,54,70
2:27,55,Jamall Gregory Turnover.,54,70
2:14,2908,Jure Span missed Three Point Jumper.,54,70
2:14,55,Marlon Hunter Defensive Rebound.,54,70
1:53,55,Marlon Hunter made Three Point Jumper. Assisted by Jamall Gregory.,54,73
1:30,2908,Deion Holmes made Layup.,56,73
1:17,55,Malcolm Drumwright made Free Throw.,56,75
1:17,55,Malcolm Drumwright made Free Throw.,56,74
1:17,2908,Foul on Jure Span.,56,74
1:05,55,Foul on Malcolm Drumwright.,56,75
1:05,2908,Mike Cunningham made Free Throw.,57,75
1:05,2908,Mike Cunningham made Free Throw.,58,75
0:39,55,Jason Burnell missed Layup.,58,75
0:39,55,Norbertas Giga Offensive Rebound.,58,75
0:37,55,Norbertas Giga Turnover.,58,75
0:37,2908,Malik Moore Steal.,58,75
0:35,2908,Foul on Deion Holmes.,58,75
0:35,2908,Deion Holmes Turnover.,58,75
0:10,55,Des Curry missed Three Point Jumper.,58,75
0:10,55,Jason Burnell Offensive Rebound.,58,75
0:06,55,Jason Burnell missed Layup.,58,75
0:06,55,Jason Burnell Offensive Rebound.,58,75
0:04,55,Jason Burnell made Layup.,58,77
0:00,2908,Jure Span made Three Point Jumper.,61,77
0:00,55,End of Game,61,77
