UT Arlington,292,UT Rio Grande Valley,250
16:00,292,Nick Dixon Defensive Rebound.,10,0
15:35,292,Dan Kimasa made Layup. Assisted by Nick Dixon.,10,2
15:33,292,Foul on Lew Stallworth.,10,2
15:33,292,Official TV Timeout,10,2
15:25,250,Mairega Clarke missed Three Point Jumper.,10,2
15:25,292,Lesley Varner Jr. Defensive Rebound.,10,2
15:07,292,Lew Stallworth missed Layup.,10,2
15:07,250,Kevin Hervey Block.,10,2
15:04,292,Mike Hoffman Offensive Rebound.,10,2
14:57,292,Lew Stallworth missed Jumper.,10,2
14:57,250,Johnny Hamilton Block.,10,2
14:55,250,Johnny Hamilton Defensive Rebound.,10,2
14:51,250,Johnny Hamilton Turnover.,10,2
14:49,292,Lew Stallworth Steal.,10,2
14:30,250,Foul on DJ Bryant.,10,2
14:19,292,Mike Hoffman made Three Point Jumper. Assisted by Nick Dixon.,10,5
14:09,250,Kaelon Wilson missed Layup.,10,5
14:09,292,Nick Dixon Defensive Rebound.,10,5
14:06,292,Nick Dixon Turnover.,10,5
14:05,250,Kevin Hervey missed Three Point Jumper.,10,5
14:05,292,Lesley Varner Jr. Defensive Rebound.,10,5
13:55,250,Foul on Johnny Hamilton.,10,5
13:55,292,Nick Dixon made Free Throw.,10,6
13:55,292,Nick Dixon missed Free Throw.,10,6
13:55,250,Link Kabadyundi Defensive Rebound.,10,6
13:39,250,Kaelon Wilson missed Layup.,10,6
13:39,292,Lew Stallworth Defensive Rebound.,10,6
13:33,292,Lesley Varner Jr. missed Jumper.,10,6
13:33,250,Mairega Clarke Defensive Rebound.,10,6
13:18,250,Nathan Hawkins Turnover.,10,6
12:49,292,John Crnogorac missed Jumper.,10,6
12:49,250,Mairega Clarke Defensive Rebound.,10,6
12:40,250,Mairega Clarke missed Jumper.,10,6
12:40,250,Link Kabadyundi Offensive Rebound.,10,6
12:38,250,Link Kabadyundi Turnover.,10,6
12:30,250,Foul on Mairega Clarke.,10,6
12:25,292,John Crnogorac missed Jumper.,10,6
12:25,250,Julian Harris Defensive Rebound.,10,6
12:02,250,Julian Harris missed Layup.,10,6
12:02,292,Mike Hoffman Defensive Rebound.,10,6
11:34,292,Moe McDonald missed Three Point Jumper.,10,6
11:34,250,Link Kabadyundi Defensive Rebound.,10,6
11:23,292,Official TV Timeout,10,6
11:15,250,Kevin Hervey missed Three Point Jumper.,10,6
11:15,292,Moe McDonald Defensive Rebound.,10,6
10:54,292,Xavier McDaniel Jr. missed Jumper.,10,6
10:54,250,Nathan Hawkins Defensive Rebound.,10,6
10:37,250,Kevin Hervey made Jumper. Assisted by DJ Bryant.,12,6
10:18,292,Foul on Xavier McDaniel Jr..,12,6
10:18,292,Xavier McDaniel Jr. Turnover.,12,6
10:09,250,Kevin Hervey missed Layup.,12,6
10:09,292,Dan Kimasa Defensive Rebound.,12,6
10:02,292,Moe McDonald missed Layup.,12,6
10:02,250,Johnny Hamilton Defensive Rebound.,12,6
9:53,250,Johnny Hamilton Turnover.,12,6
9:44,292,Greg Bowie made Jumper. Assisted by Lesley Varner Jr..,12,8
9:25,250,Kevin Hervey made Jumper. Assisted by Nathan Hawkins.,14,8
9:07,292,Dan Kimasa made Layup. Assisted by Greg Bowie.,14,10
8:44,250,Kevin Hervey missed Three Point Jumper.,14,10
8:44,250,Kaelon Wilson Offensive Rebound.,14,10
8:31,292,Foul on Dan Kimasa.,14,10
8:31,250,Kevin Hervey made Free Throw.,15,10
8:31,250,Kevin Hervey made Free Throw.,16,10
8:18,250,Foul on Johnny Hamilton.,16,10
8:18,292,Nick Dixon made Free Throw.,16,11
8:18,292,Nick Dixon made Free Throw.,16,12
8:03,250,Nathan Hawkins made Three Point Jumper. Assisted by DJ Bryant.,19,12
7:47,292,Greg Bowie made Jumper.,19,14
7:35,292,Foul on Moe McDonald.,19,14
7:35,292,Official TV Timeout,19,14
7:35,250,Kaelon Wilson made Free Throw.,20,14
7:35,250,Kaelon Wilson made Free Throw.,21,14
7:20,250,Foul on DJ Bryant.,21,14
7:10,292,Nick Dixon missed Jumper.,21,14
7:10,250,UT Arlington Defensive Rebound.,21,14
6:52,250,Kevin Hervey missed Jumper.,21,14
6:52,292,Lesley Varner Jr. Defensive Rebound.,21,14
6:40,250,Foul on Kevin Hervey.,21,14
6:40,292,Moe McDonald made Free Throw.,21,15
6:40,292,Moe McDonald missed Free Throw.,21,15
6:40,250,Link Kabadyundi Defensive Rebound.,21,15
6:33,250,Nathan Hawkins made Three Point Jumper. Assisted by Mairega Clarke.,24,15
6:11,292,Nick Dixon missed Three Point Jumper.,24,15
6:11,250,Kaelon Wilson Defensive Rebound.,24,15
6:05,250,Kevin Hervey made Dunk. Assisted by Mairega Clarke.,26,15
5:48,292,Nick Dixon Turnover.,26,15
5:46,250,Nathan Hawkins Steal.,26,15
5:45,292,Foul on Moe McDonald.,26,15
5:45,250,Mairega Clarke missed Free Throw.,26,15
5:45,250,UT Arlington Deadball Team Rebound.,26,15
5:45,250,Mairega Clarke missed Free Throw.,26,15
5:45,292,Lew Stallworth Defensive Rebound.,26,15
5:20,292,Greg Bowie made Jumper.,26,17
5:19,250,Foul on Mairega Clarke.,26,17
5:19,292,Greg Bowie made Free Throw.,26,18
5:09,250,Nathan Hawkins missed Three Point Jumper.,26,18
5:09,250,Julian Harris Offensive Rebound.,26,18
5:08,292,Foul on John Crnogorac.,26,18
5:08,250,Julian Harris made Free Throw.,27,18
5:08,250,Julian Harris made Free Throw.,28,18
4:59,292,Nick Dixon made Jumper. Assisted by Lew Stallworth.,28,20
4:39,250,Julian Harris missed Layup.,28,20
4:39,250,Julian Harris Offensive Rebound.,28,20
4:31,250,Kaelon Wilson made Jumper.,30,20
4:14,292,Foul on Greg Bowie.,30,20
4:14,292,Greg Bowie Turnover.,30,20
3:50,250,Kaelon Wilson missed Layup.,30,20
3:50,292,John Crnogorac Block.,30,20
3:49,250,UT Arlington Offensive Rebound.,30,20
3:49,292,Official TV Timeout,30,20
3:44,250,Kevin Hervey missed Jumper.,30,20
3:44,250,Johnny Hamilton Offensive Rebound.,30,20
3:39,250,Johnny Hamilton missed Layup.,30,20
3:39,292,Mike Hoffman Defensive Rebound.,30,20
3:35,250,Foul on Nathan Hawkins.,30,20
3:35,292,Nick Dixon made Free Throw.,30,21
3:35,292,Nick Dixon made Free Throw.,30,22
3:26,250,Kevin Hervey Turnover.,30,22
3:19,292,Lesley Varner Jr. missed Jumper.,30,22
3:19,250,Kevin Hervey Defensive Rebound.,30,22
3:12,250,Kaelon Wilson made Three Point Jumper. Assisted by Kevin Hervey.,33,22
2:48,292,John Crnogorac missed Jumper.,33,22
2:48,250,Nathan Hawkins Defensive Rebound.,33,22
2:37,250,Kevin Hervey missed Layup.,33,22
2:37,292,John Crnogorac Defensive Rebound.,33,22
2:26,292,Lew Stallworth made Layup.,33,24
2:26,250,Foul on Link Kabadyundi.,33,24
2:26,292,Lew Stallworth missed Free Throw.,33,24
2:26,250,UT Arlington Defensive Rebound.,33,24
2:17,250,Kaelon Wilson made Dunk. Assisted by Kevin Hervey.,35,24
2:09,292,Mike Hoffman missed Jumper.,35,24
2:09,250,Kaelon Wilson Defensive Rebound.,35,24
2:02,250,Nathan Hawkins made Layup. Assisted by Kaelon Wilson.,37,24
2:01,292,UT Rio Grande Valley  Timeout,37,24
1:41,292,Nick Dixon made Three Point Jumper. Assisted by Lew Stallworth.,37,27
1:28,250,Julian Harris Turnover.,37,27
1:18,292,Lesley Varner Jr. Turnover.,37,27
1:15,250,Julian Harris Steal.,37,27
1:06,250,Kevin Hervey missed Three Point Jumper.,37,27
1:06,292,Adonis Rwabigwi Defensive Rebound.,37,27
0:57,292,Mike Hoffman missed Jumper.,37,27
0:57,250,Nathan Hawkins Defensive Rebound.,37,27
0:49,250,Foul on Kaelon Wilson.,37,27
0:49,250,Kaelon Wilson Turnover.,37,27
0:36,292,Nick Dixon missed Jumper.,37,27
0:36,292,Lesley Varner Jr. Offensive Rebound.,37,27
0:31,292,Mike Hoffman made Jumper. Assisted by Nick Dixon.,37,29
0:17,250,Kevin Hervey Turnover.,37,29
0:15,292,Lesley Varner Jr. Steal.,37,29
0:13,292,Lesley Varner Jr. missed Layup.,37,29
0:13,250,Julian Harris Defensive Rebound.,37,29
0:01,250,Link Kabadyundi made Dunk. Assisted by Kaelon Wilson.,39,29
0:00,292,End of 1st half,39,29
19:43,292,Nick Dixon Turnover.,39,29
19:40,250,Johnny Hamilton Steal.,39,29
19:39,292,Foul on Nick Dixon.,39,29
19:39,250,Nathan Hawkins missed Free Throw.,39,29
19:39,250,UT Arlington Deadball Team Rebound.,39,29
19:39,250,Nathan Hawkins missed Free Throw.,39,29
19:39,250,UT Arlington Deadball Team Rebound.,39,29
19:34,250,Kevin Hervey missed Three Point Jumper.,39,29
19:34,292,Dan Kimasa Defensive Rebound.,39,29
19:23,292,Xavier McDaniel Jr. made Jumper. Assisted by Greg Bowie.,39,31
18:56,250,Johnny Hamilton made Dunk. Assisted by DJ Bryant.,41,31
18:49,292,Moe McDonald Turnover.,41,31
18:47,250,DJ Bryant Steal.,41,31
18:29,250,DJ Bryant Turnover.,41,31
18:27,292,Xavier McDaniel Jr. Steal.,41,31
18:24,292,Xavier McDaniel Jr. made Dunk.,41,33
18:14,292,Foul on Xavier McDaniel Jr..,41,33
18:03,250,Nathan Hawkins made Jumper.,43,33
17:57,292,Greg Bowie made Three Point Jumper. Assisted by Lew Stallworth.,43,36
17:45,250,Nathan Hawkins missed Three Point Jumper.,43,36
17:45,292,Xavier McDaniel Jr. Defensive Rebound.,43,36
17:20,292,Greg Bowie missed Jumper.,43,36
17:20,250,Kevin Hervey Block.,43,36
17:18,250,Kevin Hervey Defensive Rebound.,43,36
17:18,292,Foul on Greg Bowie.,43,36
16:57,250,DJ Bryant missed Three Point Jumper.,43,36
16:57,292,Nick Dixon Defensive Rebound.,43,36
16:47,292,Lew Stallworth made Layup.,43,38
16:25,250,Johnny Hamilton made Jumper.,45,38
16:03,292,Dan Kimasa missed Layup.,45,38
16:03,292,Dan Kimasa Offensive Rebound.,45,38
15:59,292,Dan Kimasa made Layup.,45,40
15:51,250,Foul on Johnny Hamilton.,45,40
15:51,250,Johnny Hamilton Turnover.,45,40
15:51,292,Official TV Timeout,45,40
15:42,292,Dan Kimasa made Jumper. Assisted by Lew Stallworth.,45,42
15:11,250,Kaelon Wilson made Layup.,47,42
14:42,292,Dan Kimasa missed Layup.,47,42
14:42,250,Kevin Hervey Defensive Rebound.,47,42
14:34,250,Kevin Hervey made Layup.,49,42
14:17,292,Lew Stallworth made Layup.,49,44
14:10,250,DJ Bryant missed Layup.,49,44
14:10,292,Nick Dixon Defensive Rebound.,49,44
13:48,250,Foul on Kaelon Wilson.,49,44
13:48,292,Nick Dixon made Free Throw.,49,45
13:48,292,Nick Dixon missed Free Throw.,49,45
13:48,250,Kevin Hervey Defensive Rebound.,49,45
13:40,250,Nathan Hawkins missed Layup.,49,45
13:40,250,Julian Harris Offensive Rebound.,49,45
13:33,250,Julian Harris made Layup. Assisted by Kevin Hervey.,51,45
13:33,292,Foul on Lesley Varner Jr..,51,45
13:33,250,Julian Harris missed Free Throw.,51,45
13:33,292,Mike Hoffman Defensive Rebound.,51,45
13:19,292,Lew Stallworth Turnover.,51,45
13:17,250,DJ Bryant Steal.,51,45
13:14,250,DJ Bryant missed Layup.,51,45
13:14,250,Kaelon Wilson Offensive Rebound.,51,45
12:58,250,Kevin Hervey made Layup. Assisted by Nathan Hawkins.,53,45
12:44,292,Lesley Varner Jr. Turnover.,53,45
12:42,250,Nathan Hawkins Steal.,53,45
12:39,250,Kaelon Wilson made Layup. Assisted by Nathan Hawkins.,55,45
12:37,292,Official TV Timeout,55,45
12:28,292,Lew Stallworth missed Jumper.,55,45
12:28,292,Nick Dixon Offensive Rebound.,55,45
12:07,292,Foul on Dan Kimasa.,55,45
12:07,292,Dan Kimasa Turnover.,55,45
11:47,250,DJ Bryant missed Three Point Jumper.,55,45
11:47,292,UT Rio Grande Valley Defensive Rebound.,55,45
11:44,250,Foul on Mairega Clarke.,55,45
11:44,292,Official TV Timeout,55,45
11:27,292,Dan Kimasa missed Jumper.,55,45
11:27,250,DJ Bryant Defensive Rebound.,55,45
11:18,250,Mairega Clarke missed Layup.,55,45
11:18,292,Xavier McDaniel Jr. Block.,55,45
11:18,292,Nick Dixon Defensive Rebound.,55,45
11:18,292,Nick Dixon Turnover.,55,45
11:17,250,Kevin Hervey made Three Point Jumper. Assisted by DJ Bryant.,58,45
11:01,292,Greg Bowie made Jumper. Assisted by Mike Hoffman.,58,47
10:49,250,Kaelon Wilson missed Three Point Jumper.,58,47
10:49,250,Kevin Hervey Offensive Rebound.,58,47
10:44,250,Kevin Hervey made Layup.,60,47
10:38,292,Foul on Nick Dixon.,60,47
10:38,292,Nick Dixon Turnover.,60,47
10:24,250,Julian Harris missed Layup.,60,47
10:24,292,UT Rio Grande Valley Defensive Rebound.,60,47
10:16,292,Greg Bowie Turnover.,60,47
10:05,250,Nathan Hawkins Turnover.,60,47
10:03,292,Xavier McDaniel Jr. Steal.,60,47
10:01,250,Foul on Kaelon Wilson.,60,47
10:01,292,Nick Dixon missed Free Throw.,60,47
10:01,292,UT Rio Grande Valley Deadball Team Rebound.,60,47
10:01,292,Nick Dixon missed Free Throw.,60,47
10:01,250,Julian Harris Defensive Rebound.,60,47
9:50,292,Foul on Dan Kimasa.,60,47
9:50,250,Julian Harris missed Free Throw.,60,47
9:50,250,UT Arlington Deadball Team Rebound.,60,47
9:50,250,Julian Harris made Free Throw.,61,47
9:40,292,Xavier McDaniel Jr. missed Three Point Jumper.,61,47
9:40,292,Mike Hoffman Offensive Rebound.,61,47
9:31,250,Foul on Nathan Hawkins.,61,47
9:31,292,Adonis Rwabigwi made Free Throw.,61,48
9:31,292,Adonis Rwabigwi made Free Throw.,61,49
9:22,292,Foul on Adonis Rwabigwi.,61,49
9:22,250,Mairega Clarke missed Free Throw.,61,49
9:22,250,UT Arlington Deadball Team Rebound.,61,49
9:22,250,Mairega Clarke made Free Throw.,62,49
9:02,292,Xavier McDaniel Jr. Turnover.,62,49
8:50,250,Mairega Clarke missed Layup.,62,49
8:50,292,UT Rio Grande Valley Defensive Rebound.,62,49
8:38,292,Xavier McDaniel Jr. missed Three Point Jumper.,62,49
8:38,250,Kevin Hervey Defensive Rebound.,62,49
8:29,250,Kaelon Wilson made Layup. Assisted by Kevin Hervey.,64,49
8:12,292,Greg Bowie made Jumper. Assisted by Mike Hoffman.,64,51
7:52,250,Kevin Hervey made Jumper. Assisted by Kaelon Wilson.,66,51
7:42,250,Foul on Johnny Hamilton.,66,51
7:42,292,Official TV Timeout,66,51
7:42,292,Xavier McDaniel Jr. made Free Throw.,66,52
7:42,292,Xavier McDaniel Jr. made Free Throw.,66,53
7:37,292,Foul on Adonis Rwabigwi.,66,53
7:37,250,Kaelon Wilson made Free Throw.,67,53
7:37,250,Kaelon Wilson missed Free Throw.,67,53
7:37,292,Adonis Rwabigwi Defensive Rebound.,67,53
7:23,292,Xavier McDaniel Jr. missed Three Point Jumper.,67,53
7:23,250,DJ Bryant Defensive Rebound.,67,53
7:16,250,Kevin Hervey missed Three Point Jumper.,67,53
7:16,292,Adonis Rwabigwi Defensive Rebound.,67,53
7:00,292,Greg Bowie made Three Point Jumper. Assisted by Moe McDonald.,67,56
6:50,250,UT Arlington  Timeout,67,56
6:43,250,Nathan Hawkins missed Layup.,67,56
6:43,292,Adonis Rwabigwi Defensive Rebound.,67,56
6:41,250,Foul on Link Kabadyundi.,67,56
6:41,292,Adonis Rwabigwi made Free Throw.,67,57
6:41,292,Adonis Rwabigwi missed Free Throw.,67,57
6:41,250,Kevin Hervey Defensive Rebound.,67,57
6:17,250,Nathan Hawkins missed Jumper.,67,57
6:17,292,UT Rio Grande Valley Defensive Rebound.,67,57
6:04,292,Mike Hoffman Turnover.,67,57
6:00,250,Kevin Hervey made Dunk. Assisted by Julian Harris.,69,57
5:54,292,Nick Dixon missed Three Point Jumper.,69,57
5:54,292,Xavier McDaniel Jr. Offensive Rebound.,69,57
5:53,250,Foul on Kaelon Wilson.,69,57
5:53,292,Xavier McDaniel Jr. missed Free Throw.,69,57
5:53,250,Kevin Hervey Defensive Rebound.,69,57
5:32,250,Kevin Hervey made Layup. Assisted by Kaelon Wilson.,71,57
5:18,292,Mike Hoffman missed Three Point Jumper.,71,57
5:18,250,DJ Bryant Defensive Rebound.,71,57
5:08,250,Kaelon Wilson missed Layup.,71,57
5:08,292,UT Rio Grande Valley Defensive Rebound.,71,57
5:08,250,Foul on Julian Harris.,71,57
5:08,292,Mike Hoffman missed Free Throw.,71,57
5:08,250,Kevin Hervey Defensive Rebound.,71,57
4:48,250,Nathan Hawkins made Three Point Jumper. Assisted by DJ Bryant.,74,57
4:31,292,Xavier McDaniel Jr. missed Layup.,74,57
4:31,250,Kevin Hervey Defensive Rebound.,74,57
4:25,250,Mairega Clarke Turnover.,74,57
4:23,292,Moe McDonald Steal.,74,57
4:08,292,Dan Kimasa missed Jumper.,74,57
4:08,292,UT Rio Grande Valley Offensive Rebound.,74,57
3:51,250,Foul on Mairega Clarke.,74,57
3:51,292,Official TV Timeout,74,57
3:51,292,Nick Dixon made Free Throw.,74,58
3:51,292,Nick Dixon missed Free Throw.,74,58
3:51,250,Kevin Hervey Defensive Rebound.,74,58
3:39,250,Kaelon Wilson made Jumper.,76,58
3:23,292,Dan Kimasa missed Jumper.,76,58
3:23,250,Kevin Hervey Defensive Rebound.,76,58
3:15,292,Foul on Dan Kimasa.,76,58
3:15,250,Kaelon Wilson missed Free Throw.,76,58
3:15,250,UT Arlington Deadball Team Rebound.,76,58
3:15,250,Kaelon Wilson missed Free Throw.,76,58
3:15,250,Johnny Hamilton Offensive Rebound.,76,58
2:49,250,Nathan Hawkins made Three Point Jumper. Assisted by DJ Bryant.,79,58
2:31,292,Nick Dixon made Three Point Jumper. Assisted by Greg Bowie.,79,61
2:19,250,Kaelon Wilson missed Layup.,79,61
2:19,292,John Crnogorac Block.,79,61
2:19,250,UT Arlington Offensive Rebound.,79,61
2:15,250,DJ Bryant made Three Point Jumper. Assisted by Nathan Hawkins.,82,61
2:04,292,John Crnogorac made Dunk. Assisted by Lew Stallworth.,82,63
1:55,250,DJ Bryant Turnover.,82,63
1:45,292,Nick Dixon missed Three Point Jumper.,82,63
1:45,250,UT Arlington Defensive Rebound.,82,63
1:19,250,Kevin Hervey made Jumper. Assisted by Kaelon Wilson.,84,63
1:11,292,UT Rio Grande Valley  Timeout,84,63
1:02,292,John Crnogorac made Jumper. Assisted by Greg Bowie.,84,65
0:40,250,Johnny Hamilton made Layup.,86,65
0:27,292,Marlon Williams missed Three Point Jumper.,86,65
0:27,250,UT Arlington Defensive Rebound.,86,65
0:21,250,Julian Harris Turnover.,86,65
0:11,292,Greg Bowie missed Three Point Jumper.,86,65
0:11,250,Julian Harris Defensive Rebound.,86,65
0:00,292,End of Game,86,65
