Kansas,158,Nebraska,2305
14:14,158,Thomas Allen made Three Point Jumper. Assisted by Isaac Copeland.,13,11
13:52,2305,Sviatoslav Mykhailiuk missed Three Point Jumper.,13,11
13:52,158,Isaac Copeland Defensive Rebound.,13,11
13:40,158,James Palmer Jr. missed Jumper.,13,11
13:40,2305,Mitch Lightfoot Defensive Rebound.,13,11
13:32,2305,Devonte' Graham made Three Point Jumper.,16,11
13:09,158,Thomas Allen Turnover.,16,11
13:09,2305,Lagerald Vick Steal.,16,11
13:03,2305,Devonte' Graham made Three Point Jumper. Assisted by Lagerald Vick.,19,11
12:36,158,Evan Taylor missed Three Point Jumper.,19,11
12:36,2305,Devonte' Graham Defensive Rebound.,19,11
12:25,158,Foul on Anton Gill.,19,11
12:19,2305,Malik Newman Turnover.,19,11
12:09,158,Evan Taylor made Jumper. Assisted by Anton Gill.,19,13
11:45,2305,Udoka Azubuike made Jumper. Assisted by Marcus Garrett.,21,13
11:33,158,Thomas Allen made Jumper.,21,15
11:11,2305,Sviatoslav Mykhailiuk Turnover.,21,15
11:11,158,Official TV Timeout,21,15
11:01,158,Thomas Allen made Three Point Jumper. Assisted by Evan Taylor.,21,18
10:40,2305,Devonte' Graham missed Three Point Jumper.,21,18
10:40,2305,Udoka Azubuike Offensive Rebound.,21,18
10:35,2305,Udoka Azubuike made Layup.,23,18
10:19,158,Thomas Allen missed Three Point Jumper.,23,18
10:19,2305,Malik Newman Defensive Rebound.,23,18
10:05,2305,Malik Newman Turnover.,23,18
9:49,158,Thomas Allen Turnover.,23,18
9:49,2305,Malik Newman Steal.,23,18
9:34,2305,Udoka Azubuike made Jumper. Assisted by Devonte' Graham.,25,18
9:11,158,Glynn Watson Jr. missed Three Point Jumper.,25,18
9:11,2305,Udoka Azubuike Defensive Rebound.,25,18
9:09,158,Foul on Jordy Tshimanga.,25,18
8:51,2305,Marcus Garrett missed Jumper.,25,18
8:51,158,Isaiah Roby Block.,25,18
8:51,158,Thomas Allen Defensive Rebound.,25,18
8:43,158,Thomas Allen missed Layup.,25,18
8:43,2305,Mitch Lightfoot Block.,25,18
8:43,158,Nebraska Offensive Rebound.,25,18
8:29,158,Glynn Watson Jr. missed Jumper.,25,18
8:29,158,Isaac Copeland Offensive Rebound.,25,18
8:24,158,Isaac Copeland made Dunk.,25,20
8:13,2305,Mitch Lightfoot missed Jumper.,25,20
8:13,158,Isaiah Roby Defensive Rebound.,25,20
8:05,158,Anton Gill made Layup.,25,22
7:51,2305,Lagerald Vick made Three Point Jumper. Assisted by Mitch Lightfoot.,28,22
7:29,158,Glynn Watson Jr. made Jumper.,28,24
7:09,2305,Malik Newman missed Three Point Jumper.,28,24
7:09,158,Isaiah Roby Defensive Rebound.,28,24
6:58,158,Anton Gill missed Three Point Jumper.,28,24
6:58,2305,Malik Newman Defensive Rebound.,28,24
6:38,158,Official TV Timeout,28,24
6:33,2305,Devonte' Graham Turnover.,28,24
6:22,158,Evan Taylor made Layup.,28,26
6:04,2305,Lagerald Vick made Layup.,30,26
5:48,158,Anton Gill made Layup.,30,28
5:23,2305,Kansas  Turnover.,30,28
5:00,158,Anton Gill missed Jumper.,30,28
5:00,2305,Marcus Garrett Defensive Rebound.,30,28
4:52,2305,Udoka Azubuike missed Dunk.,30,28
4:52,158,Duby Okeke Block.,30,28
4:52,158,Isaiah Roby Defensive Rebound.,30,28
4:42,158,Evan Taylor missed Three Point Jumper.,30,28
4:42,158,Isaiah Roby Offensive Rebound.,30,28
4:39,158,Foul on Duby Okeke.,30,28
4:39,158,Duby Okeke Turnover.,30,28
4:31,2305,Devonte' Graham missed Jumper.,30,28
4:31,2305,Mitch Lightfoot Offensive Rebound.,30,28
4:17,2305,Sviatoslav Mykhailiuk missed Three Point Jumper.,30,28
4:17,158,James Palmer Jr. Defensive Rebound.,30,28
4:04,158,Thomas Allen made Layup. Assisted by Isaiah Roby.,30,30
3:46,2305,Sviatoslav Mykhailiuk made Jumper.,32,30
3:34,158,Thomas Allen Turnover.,32,30
3:34,2305,Marcus Garrett Steal.,32,30
3:30,2305,Marcus Garrett missed Layup.,32,30
3:30,158,Isaiah Roby Block.,32,30
3:30,158,Isaac Copeland Defensive Rebound.,32,30
3:17,2305,Foul on Sviatoslav Mykhailiuk.,32,30
3:17,158,Official TV Timeout,32,30
3:17,158,James Palmer Jr. missed Free Throw.,32,30
3:17,158,Nebraska Deadball Team Rebound.,32,30
3:17,158,James Palmer Jr. made Free Throw.,32,31
3:06,2305,Devonte' Graham Turnover.,32,31
3:06,158,James Palmer Jr. Steal.,32,31
2:43,158,Isaac Copeland missed Three Point Jumper.,32,31
2:43,2305,Lagerald Vick Defensive Rebound.,32,31
2:36,2305,Lagerald Vick missed Layup.,32,31
2:36,158,Isaac Copeland Defensive Rebound.,32,31
2:32,2305,Foul on Devonte' Graham.,32,31
2:28,158,Isaiah Roby missed Three Point Jumper.,32,31
2:28,2305,Udoka Azubuike Defensive Rebound.,32,31
2:09,2305,Udoka Azubuike made Dunk. Assisted by Sviatoslav Mykhailiuk.,34,31
1:48,2305,Foul on Udoka Azubuike.,34,31
1:42,158,Isaiah Roby made Layup. Assisted by James Palmer Jr..,34,33
1:27,2305,Lagerald Vick missed Three Point Jumper.,34,33
1:27,2305,Mitch Lightfoot Offensive Rebound.,34,33
1:25,158,Foul on Isaiah Roby.,34,33
1:25,2305,Mitch Lightfoot made Free Throw.,35,33
1:25,2305,Mitch Lightfoot made Free Throw.,36,33
1:10,158,Nebraska  Timeout,36,33
1:09,158,Isaiah Roby missed Three Point Jumper.,36,33
1:09,2305,Devonte' Graham Defensive Rebound.,36,33
0:47,2305,Devonte' Graham missed Layup.,36,33
0:47,2305,Lagerald Vick Offensive Rebound.,36,33
0:47,2305,Lagerald Vick missed Two Point Tip Shot.,36,33
0:47,158,Nebraska Defensive Rebound.,36,33
0:31,2305,Foul on Lagerald Vick.,36,33
0:30,158,Isaiah Roby Turnover.,36,33
0:30,2305,Mitch Lightfoot Steal.,36,33
0:20,2305,Kansas  Timeout,36,33
0:03,2305,Mitch Lightfoot missed Jumper.,36,33
0:03,158,James Palmer Jr. Defensive Rebound.,36,33
0:00,158,End of 1st half,36,33
20:00,2305,Jump Ball won by Kansas,36,33
19:51,2305,Sviatoslav Mykhailiuk made Layup. Assisted by Udoka Azubuike.,38,33
19:31,158,Isaac Copeland made Jumper. Assisted by Evan Taylor.,38,35
19:11,2305,Malik Newman missed Three Point Jumper.,38,35
19:11,158,Isaac Copeland Defensive Rebound.,38,35
19:00,158,Glynn Watson Jr. Turnover.,38,35
19:00,2305,Lagerald Vick Steal.,38,35
18:56,2305,Sviatoslav Mykhailiuk missed Jumper.,38,35
18:56,2305,Udoka Azubuike Offensive Rebound.,38,35
18:52,158,Foul on Jordy Tshimanga.,38,35
18:46,2305,Devonte' Graham missed Jumper.,38,35
18:46,2305,Udoka Azubuike Offensive Rebound.,38,35
18:40,2305,Udoka Azubuike made Layup.,40,35
18:21,158,Glynn Watson Jr. made Jumper.,40,37
18:07,2305,Devonte' Graham made Three Point Jumper. Assisted by Sviatoslav Mykhailiuk.,43,37
17:55,158,Jordy Tshimanga made Layup. Assisted by Glynn Watson Jr..,43,39
17:25,2305,Malik Newman missed Three Point Jumper.,43,39
17:25,158,Evan Taylor Defensive Rebound.,43,39
17:13,158,Isaac Copeland made Jumper. Assisted by Isaiah Roby.,43,41
16:46,2305,Udoka Azubuike made Layup. Assisted by Devonte' Graham.,45,41
16:21,158,Anton Gill missed Three Point Jumper.,45,41
16:21,158,Evan Taylor Offensive Rebound.,45,41
16:13,158,Evan Taylor made Layup.,45,43
15:58,2305,Udoka Azubuike made Layup. Assisted by Sviatoslav Mykhailiuk.,47,43
15:45,2305,Foul on Devonte' Graham.,47,43
15:45,158,Official TV Timeout,47,43
15:38,158,James Palmer Jr. Turnover.,47,43
15:38,2305,Marcus Garrett Steal.,47,43
15:32,2305,Marcus Garrett missed Layup.,47,43
15:32,158,James Palmer Jr. Block.,47,43
15:32,2305,Sviatoslav Mykhailiuk Offensive Rebound.,47,43
15:17,2305,Marcus Garrett missed Three Point Jumper.,47,43
15:17,158,Anton Gill Defensive Rebound.,47,43
15:13,2305,Foul on Devonte' Graham.,47,43
15:10,158,Anton Gill missed Jumper.,47,43
15:10,2305,Marcus Garrett Defensive Rebound.,47,43
14:41,2305,Mitch Lightfoot Turnover.,47,43
14:41,158,James Palmer Jr. Steal.,47,43
14:34,2305,Foul on Sviatoslav Mykhailiuk.,47,43
14:31,158,Isaiah Roby Turnover.,47,43
14:31,2305,Lagerald Vick Steal.,47,43
14:26,2305,Lagerald Vick made Layup.,49,43
14:07,158,Isaiah Roby Turnover.,49,43
14:07,158,Foul on Isaiah Roby.,49,43
13:51,2305,Sviatoslav Mykhailiuk Turnover.,49,43
13:51,158,Isaac Copeland Steal.,49,43
13:43,158,Isaac Copeland made Three Point Jumper. Assisted by Evan Taylor.,49,46
13:25,158,Foul on Evan Taylor.,49,46
13:25,2305,Devonte' Graham made Free Throw.,50,46
13:25,2305,Devonte' Graham made Free Throw.,51,46
13:08,158,James Palmer Jr. missed Jumper.,51,46
13:08,2305,Lagerald Vick Defensive Rebound.,51,46
13:04,2305,Lagerald Vick Turnover.,51,46
12:54,158,Isaac Copeland Turnover.,51,46
12:54,2305,Udoka Azubuike Steal.,51,46
12:46,2305,Marcus Garrett missed Three Point Jumper.,51,46
12:46,158,Thomas Allen Defensive Rebound.,51,46
12:34,158,Isaiah Roby made Layup.,51,48
12:14,2305,Devonte' Graham missed Three Point Jumper.,51,48
12:14,158,Evan Taylor Defensive Rebound.,51,48
12:06,158,Thomas Allen made Three Point Jumper. Assisted by Evan Taylor.,51,51
12:05,2305,Kansas  Timeout,51,51
11:35,2305,Kansas  Turnover.,51,51
11:35,158,Official TV Timeout,51,51
11:21,2305,Foul on Udoka Azubuike.,51,51
11:12,158,James Palmer Jr. missed Layup.,51,51
11:12,2305,Lagerald Vick Block.,51,51
11:12,158,James Palmer Jr. Offensive Rebound.,51,51
11:00,158,James Palmer Jr. missed Layup.,51,51
11:00,2305,Lagerald Vick Defensive Rebound.,51,51
10:50,2305,Lagerald Vick missed Three Point Jumper.,51,51
10:50,2305,Marcus Garrett Offensive Rebound.,51,51
10:41,2305,Sviatoslav Mykhailiuk missed Three Point Jumper.,51,51
10:41,158,Isaac Copeland Defensive Rebound.,51,51
10:26,158,Evan Taylor Turnover.,51,51
10:23,2305,Lagerald Vick missed Layup.,51,51
10:23,158,Isaiah Roby Block.,51,51
10:23,158,James Palmer Jr. Defensive Rebound.,51,51
10:13,158,Foul on James Palmer Jr..,51,51
10:13,158,James Palmer Jr. Turnover.,51,51
10:02,2305,Sviatoslav Mykhailiuk made Dunk.,53,51
9:52,158,Glynn Watson Jr. made Three Point Jumper.,53,54
9:28,158,Foul on Isaiah Roby.,53,54
9:28,158,Foul on Glynn Watson Jr..,53,54
9:26,2305,Udoka Azubuike made Dunk. Assisted by Devonte' Graham.,55,54
9:01,158,Anton Gill Turnover.,55,54
8:50,158,Foul on Jordy Tshimanga.,55,54
8:50,2305,Devonte' Graham made Free Throw.,56,54
8:50,2305,Devonte' Graham made Free Throw.,57,54
8:37,158,Isaac Copeland made Three Point Jumper. Assisted by Glynn Watson Jr..,57,57
8:17,2305,Sviatoslav Mykhailiuk made Three Point Jumper. Assisted by Malik Newman.,60,57
7:47,158,Glynn Watson Jr. missed Jumper.,60,57
7:47,2305,Sviatoslav Mykhailiuk Defensive Rebound.,60,57
7:25,2305,Mitch Lightfoot made Layup. Assisted by Devonte' Graham.,62,57
7:13,158,Nebraska  Timeout,62,57
7:04,158,Isaac Copeland missed Jumper.,62,57
7:04,2305,Mitch Lightfoot Defensive Rebound.,62,57
6:43,2305,Sviatoslav Mykhailiuk missed Layup.,62,57
6:43,158,Isaac Copeland Defensive Rebound.,62,57
6:39,2305,Foul on Malik Newman.,62,57
6:31,158,Isaiah Roby made Jumper.,62,59
6:02,2305,Udoka Azubuike made Dunk. Assisted by Devonte' Graham.,64,59
5:46,158,Glynn Watson Jr. missed Layup.,64,59
5:46,2305,Udoka Azubuike Defensive Rebound.,64,59
5:39,2305,Sviatoslav Mykhailiuk made Layup. Assisted by Devonte' Graham.,66,59
5:14,158,Isaiah Roby missed Three Point Jumper.,66,59
5:14,2305,Sviatoslav Mykhailiuk Defensive Rebound.,66,59
4:50,2305,Devonte' Graham missed Three Point Jumper.,66,59
4:50,158,Isaiah Roby Defensive Rebound.,66,59
4:48,2305,Foul on Sviatoslav Mykhailiuk.,66,59
4:31,158,Glynn Watson Jr. made Jumper. Assisted by Isaiah Roby.,66,61
4:16,2305,Sviatoslav Mykhailiuk missed Three Point Jumper.,66,61
4:16,158,James Palmer Jr. Defensive Rebound.,66,61
4:07,158,Isaac Copeland missed Three Point Jumper.,66,61
4:07,158,James Palmer Jr. Offensive Rebound.,66,61
4:03,2305,Foul on Malik Newman.,66,61
4:03,158,James Palmer Jr. made Free Throw.,66,62
4:03,158,James Palmer Jr. made Free Throw.,66,63
3:42,2305,Udoka Azubuike missed Layup.,66,63
3:42,158,Isaiah Roby Block.,66,63
3:42,158,Isaiah Roby Defensive Rebound.,66,63
3:42,158,Official TV Timeout,66,63
3:29,158,Isaiah Roby missed Layup.,66,63
3:29,2305,Udoka Azubuike Defensive Rebound.,66,63
3:11,2305,Lagerald Vick Turnover.,66,63
3:01,158,Isaiah Roby made Jumper. Assisted by Glynn Watson Jr..,66,65
2:47,2305,Sviatoslav Mykhailiuk missed Three Point Jumper.,66,65
2:47,158,Glynn Watson Jr. Defensive Rebound.,66,65
2:33,158,James Palmer Jr. made Three Point Jumper.,66,68
2:33,2305,Kansas  Timeout,66,68
2:29,2305,Lagerald Vick made Dunk. Assisted by Devonte' Graham.,68,68
1:53,2305,Foul on Devonte' Graham.,68,68
1:53,158,Anton Gill made Free Throw.,68,69
1:53,158,Anton Gill made Free Throw.,68,70
1:34,2305,Sviatoslav Mykhailiuk missed Jumper.,68,70
1:34,158,James Palmer Jr. Defensive Rebound.,68,70
1:16,158,Isaiah Roby missed Three Point Jumper.,68,70
1:16,2305,Malik Newman Defensive Rebound.,68,70
1:06,2305,Malik Newman missed Layup.,68,70
1:06,2305,Udoka Azubuike Offensive Rebound.,68,70
1:06,2305,Udoka Azubuike made Two Point Tip Shot.,70,70
0:42,158,James Palmer Jr. made Layup.,70,72
0:40,2305,Kansas  Timeout,70,72
0:23,2305,Sviatoslav Mykhailiuk made Three Point Jumper. Assisted by Devonte' Graham.,73,72
0:07,158,Anton Gill missed Three Point Jumper.,73,72
0:07,158,James Palmer Jr. Offensive Rebound.,73,72
0:07,158,James Palmer Jr. missed Jumper.,73,72
0:07,2305,Udoka Azubuike Block.,73,72
0:07,2305,Udoka Azubuike Defensive Rebound.,73,72
0:00,158,End of Game,73,72
