Bucknell,2670,VCU,2083
15:10,2083,Stephen Brown missed Three Point Jumper.,50,52
15:10,2670,Marcus Santos-Silva Defensive Rebound.,50,52
15:00,2670,Malik Crowfield missed Three Point Jumper.,50,52
15:00,2083,Zach Thomas Defensive Rebound.,50,52
14:47,2083,Zach Thomas made Three Point Jumper. Assisted by Stephen Brown.,53,52
14:11,2083,Foul on Nate Sestina.,53,52
14:11,2670,Justin Tillman made Free Throw.,53,53
14:11,2670,Justin Tillman missed Free Throw.,53,53
14:11,2670,VCU Deadball Team Rebound.,53,53
14:11,2670,Justin Tillman made Free Throw.,53,54
14:03,2083,Nate Jones missed Three Point Jumper.,53,54
14:03,2670,Sean Mobley Defensive Rebound.,53,54
13:52,2083,Foul on Zach Thomas.,53,54
13:52,2670,Sean Mobley made Free Throw.,53,55
13:52,2670,Sean Mobley made Free Throw.,53,56
13:32,2083,Zach Thomas missed Layup.,53,56
13:32,2083,Nate Sestina Offensive Rebound.,53,56
13:30,2083,Nate Sestina made Jumper.,55,56
13:14,2670,De'Riante Jenkins made Jumper.,55,58
13:14,2083,Foul on Nate Jones.,55,58
13:14,2670,De'Riante Jenkins made Free Throw.,55,59
12:54,2670,Foul on Sean Mobley.,55,59
12:41,2083,John Meeks made Dunk. Assisted by Nana Foulland.,57,59
12:20,2670,De'Riante Jenkins missed Jumper.,57,59
12:20,2083,Nate Sestina Defensive Rebound.,57,59
12:03,2083,John Meeks missed Jumper.,57,59
12:03,2670,Justin Tillman Defensive Rebound.,57,59
11:56,2670,Malik Crowfield missed Three Point Jumper.,57,59
11:56,2083,John Meeks Defensive Rebound.,57,59
11:44,2083,Ben Robertson Turnover.,57,59
11:44,2670,Official TV Timeout,57,59
11:26,2670,Tyler Maye Turnover.,57,59
11:24,2083,Stephen Brown Steal.,57,59
11:12,2083,Jimmy Sotos made Three Point Jumper.,60,59
10:57,2670,Justin Tillman made Jumper. Assisted by Tyler Maye.,60,61
10:26,2083,Nana Foulland made Jumper.,62,61
10:13,2670,Khris Lane Turnover.,62,61
10:13,2670,Foul on Khris Lane.,62,61
10:13,2670,Foul on Malik Crowfield.,62,61
9:57,2670,Foul on Khris Lane.,62,61
9:48,2083,Stephen Brown made Jumper.,64,61
9:37,2670,Justin Tillman made Jumper.,64,63
9:22,2083,Stephen Brown Turnover.,64,63
9:00,2670,Marcus Santos-Silva made Jumper.,64,65
8:46,2083,Zach Thomas Turnover.,64,65
8:45,2670,Jonathan Williams Steal.,64,65
8:41,2670,Mike'l Simms made Three Point Jumper. Assisted by Jonathan Williams.,64,68
8:38,2083,Bucknell  Timeout,64,68
8:12,2083,Stephen Brown missed Three Point Jumper.,64,68
8:12,2670,Mike'l Simms Defensive Rebound.,64,68
8:03,2670,Jonathan Williams missed Layup.,64,68
8:03,2083,Nate Jones Defensive Rebound.,64,68
7:51,2083,Zach Thomas Turnover.,64,68
7:50,2670,Marcus Santos-Silva Steal.,64,68
7:44,2670,Marcus Santos-Silva made Layup. Assisted by Malik Crowfield.,64,70
7:43,2083,Foul on Ben Robertson.,64,70
7:42,2670,Official TV Timeout,64,70
7:42,2670,Marcus Santos-Silva made Free Throw.,64,71
7:19,2083,Nate Jones made Layup. Assisted by Nana Foulland.,66,71
7:19,2670,Foul on Jonathan Williams.,66,71
7:19,2083,Nate Jones missed Free Throw.,66,71
7:19,2670,Justin Tillman Defensive Rebound.,66,71
6:48,2670,Jonathan Williams missed Jumper.,66,71
6:48,2083,Nana Foulland Defensive Rebound.,66,71
6:27,2083,Nate Sestina made Layup. Assisted by Nana Foulland.,68,71
5:57,2670,Justin Tillman missed Jumper.,68,71
5:57,2670,Mike'l Simms Offensive Rebound.,68,71
5:53,2670,Mike'l Simms made Two Point Tip Shot.,68,73
5:31,2670,Foul on Marcus Santos-Silva.,68,73
5:31,2083,Jimmy Sotos made Free Throw.,69,73
5:31,2083,Jimmy Sotos made Free Throw.,70,73
5:18,2670,Jonathan Williams made Layup.,70,75
5:05,2083,Nate Sestina Turnover.,70,75
4:36,2670,Justin Tillman missed Jumper.,70,75
4:36,2670,VCU Offensive Rebound.,70,75
4:36,2083,Foul on Nate Jones.,70,75
4:34,2083,Foul on Zach Thomas.,70,75
4:12,2670,Jonathan Williams missed Three Point Jumper.,70,75
4:12,2083,Jimmy Sotos Defensive Rebound.,70,75
3:46,2083,Stephen Brown missed Three Point Jumper.,70,75
3:46,2083,Nana Foulland Offensive Rebound.,70,75
3:39,2083,Ben Robertson missed Layup.,70,75
3:39,2670,Marcus Santos-Silva Defensive Rebound.,70,75
3:26,2670,Foul on De'Riante Jenkins.,70,75
3:26,2670,De'Riante Jenkins Turnover.,70,75
3:26,2670,Official TV Timeout,70,75
3:05,2083,Zach Thomas made Layup.,72,75
2:44,2670,Marcus Santos-Silva made Layup.,72,77
2:27,2083,Jimmy Sotos made Three Point Jumper. Assisted by Stephen Brown.,75,77
1:58,2670,Malik Crowfield made Three Point Jumper. Assisted by Marcus Santos-Silva.,75,80
1:55,2670,VCU  Timeout,75,80
1:35,2083,Foul on Stephen Brown.,75,80
1:35,2083,Stephen Brown Turnover.,75,80
1:24,2670,De'Riante Jenkins Turnover.,75,80
1:06,2083,Zach Thomas missed Three Point Jumper.,75,80
1:06,2083,Jimmy Sotos Offensive Rebound.,75,80
1:04,2083,Jimmy Sotos missed Layup.,75,80
1:04,2083,Nate Jones Offensive Rebound.,75,80
0:53,2083,Nana Foulland made Layup.,77,80
0:21,2670,Justin Tillman missed Jumper.,77,80
0:21,2083,Nana Foulland Block.,77,80
0:20,2670,Justin Tillman Offensive Rebound.,77,80
0:18,2670,Justin Tillman made Layup.,77,82
0:17,2083,Bucknell  Timeout,77,82
0:12,2670,Foul on Mike'l Simms.,77,82
0:12,2083,Zach Thomas made Free Throw.,78,82
0:12,2083,Zach Thomas missed Free Throw.,78,82
0:12,2083,Bucknell Deadball Team Rebound.,78,82
0:12,2083,Zach Thomas made Free Throw.,79,82
0:10,2083,Foul on Stephen Brown.,79,82
0:10,2670,Jonathan Williams made Free Throw.,79,83
0:10,2670,Jonathan Williams missed Free Throw.,79,83
0:10,2083,Nana Foulland Defensive Rebound.,79,83
0:03,2083,Stephen Brown missed Three Point Jumper.,79,83
0:03,2670,Justin Tillman Defensive Rebound.,79,83
0:01,2083,Foul on Zach Thomas.,79,83
0:01,2670,Justin Tillman made Free Throw.,79,84
0:01,2670,Justin Tillman made Free Throw.,79,85
0:00,2083,Stephen Brown missed Three Point Jumper.,79,85
0:00,2083,Bucknell Deadball Team Rebound.,79,85
0:00,2670,End of Game,79,85
