William Carey,Error,Southern Miss,2572
6:50,-1,Foul on Artis Cleveland.,18,12
6:50,2572,Anfernee Hampton made Free Throw.,18,13
6:50,2572,Anfernee Hampton made Free Throw.,18,14
6:44,-1,John Cornish made Three Point Jumper. Assisted by Maurice Stephens.,21,14
6:28,2572,Dominic Magee made Layup.,21,16
6:20,-1,Jared Tillman missed Jumper.,21,16
6:20,2572,Kevin Holland Defensive Rebound.,21,16
6:13,-1,Foul on Maurice Stephens.,21,16
6:13,2572,Cortez Edwards made Free Throw.,21,17
6:13,2572,Cortez Edwards made Free Throw.,21,18
5:52,-1,Jared Tillman Turnover.,21,18
5:42,2572,Dominic Magee missed Layup.,21,18
5:42,-1,Brandon Sheppard Defensive Rebound.,21,18
5:32,-1,Maurice Stephens missed Layup.,21,18
5:32,2572,Cortez Edwards Defensive Rebound.,21,18
5:27,2572,Dominic Magee made Layup. Assisted by D'Angelo Richardson.,21,20
5:25,-1,William Carey  Timeout,21,20
5:12,-1,Brandon Sheppard Turnover.,21,20
4:54,2572,Dominic Magee missed Three Point Jumper.,21,20
4:54,-1,Jaylen Moore Defensive Rebound.,21,20
4:47,2572,Foul on Anfernee Hampton.,21,20
4:39,-1,John Cornish made Three Point Jumper. Assisted by Maurice Stephens.,24,20
4:14,2572,Cortez Edwards made Jumper.,24,22
3:53,-1,Jaylen Moore Turnover.,24,22
3:52,2572,Cortez Edwards Steal.,24,22
3:45,-1,Foul on Maurice Stephens.,24,22
3:45,2572,Official TV Timeout,24,22
3:45,2572,Dominic Magee missed Free Throw.,24,22
3:45,2572,Southern Miss Deadball Team Rebound.,24,22
3:45,2572,Dominic Magee made Free Throw.,24,23
3:22,-1,Troy Salvant Turnover.,24,23
3:21,2572,Dominic Magee Steal.,24,23
3:16,2572,Anfernee Hampton missed Dunk.,24,23
3:16,-1,Brandon Sheppard Defensive Rebound.,24,23
3:12,-1,Brandon Sheppard Turnover.,24,23
3:10,2572,Tyree Griffin Steal.,24,23
2:54,2572,D'Angelo Richardson missed Jumper.,24,23
2:54,-1,Brandon Sheppard Block.,24,23
2:52,-1,Brandon Sheppard Defensive Rebound.,24,23
2:45,-1,Brandon Sheppard Turnover.,24,23
2:29,2572,Foul on Tyree Griffin.,24,23
2:29,2572,Tyree Griffin Turnover.,24,23
2:18,-1,Jaylen Moore Turnover.,24,23
2:17,2572,Dominic Magee Steal.,24,23
2:01,2572,Dominic Magee made Layup.,24,25
1:43,2572,Foul on Cortez Edwards.,24,25
1:43,-1,Brandon Sheppard missed Free Throw.,24,25
1:43,-1,William Carey Deadball Team Rebound.,24,25
1:43,-1,Brandon Sheppard missed Free Throw.,24,25
1:43,2572,Dominic Magee Defensive Rebound.,24,25
1:16,2572,Dominic Magee made Three Point Jumper.,24,28
1:06,-1,Troy Salvant missed Three Point Jumper.,24,28
1:06,-1,Jaylen Moore Offensive Rebound.,24,28
1:03,-1,Adrian Williams made Jumper. Assisted by Jaylen Moore.,26,28
0:51,2572,Southern Miss  Timeout,26,28
0:28,2572,Anfernee Hampton missed Jumper.,26,28
0:28,-1,Brandon Sheppard Defensive Rebound.,26,28
0:03,2572,Foul on Anfernee Hampton.,26,28
0:00,2572,End of 1st half,26,28
19:46,2572,Anfernee Hampton Defensive Rebound.,26,28
19:33,2572,Foul on Anfernee Hampton.,26,28
19:33,2572,Anfernee Hampton Turnover.,26,28
19:28,-1,Brandon Sheppard made Jumper.,28,28
19:04,2572,Kevin Holland missed Three Point Jumper.,28,28
19:04,-1,William Carey Defensive Rebound.,28,28
18:52,-1,Brandon Sheppard made Jumper.,30,28
18:29,2572,Anfernee Hampton missed Jumper.,30,28
18:29,-1,Jaylen Moore Defensive Rebound.,30,28
18:21,-1,Adrian Williams Turnover.,30,28
17:51,2572,Tyree Griffin missed Three Point Jumper.,30,28
17:51,-1,Jaylen Moore Defensive Rebound.,30,28
17:44,-1,Jaylen Moore made Layup.,32,28
17:35,2572,Southern Miss  Timeout,32,28
17:35,2572,Official TV Timeout,32,28
17:10,2572,Tyree Griffin made Three Point Jumper. Assisted by Kevin Holland.,32,31
16:59,-1,Jaylen Moore Turnover.,32,31
16:58,2572,Cortez Edwards Steal.,32,31
16:56,2572,Cortez Edwards made Dunk. Assisted by Dominic Magee.,32,33
16:37,-1,Jaylen Moore made Jumper. Assisted by Quinton Williams.,34,33
16:37,2572,Foul on Eddie Davis III.,34,33
16:37,-1,Jaylen Moore missed Free Throw.,34,33
16:37,2572,Dominic Magee Defensive Rebound.,34,33
16:26,-1,Foul on Adrian Williams.,34,33
16:26,2572,Cortez Edwards missed Free Throw.,34,33
16:26,2572,Southern Miss Deadball Team Rebound.,34,33
16:26,2572,Cortez Edwards made Free Throw.,34,34
16:12,-1,Quinton Williams Turnover.,34,34
16:10,2572,Dominic Magee Steal.,34,34
16:07,-1,Foul on Jaylen Moore.,34,34
16:07,2572,Cortez Edwards made Free Throw.,34,35
16:07,2572,Cortez Edwards made Free Throw.,34,36
16:00,-1,Troy Salvant missed Jumper.,34,36
16:00,-1,William Carey Offensive Rebound.,34,36
16:00,2572,Foul on Dominic Magee.,34,36
15:57,2572,Official TV Timeout,34,36
15:47,-1,Quinton Williams missed Layup.,34,36
15:47,2572,Tyree Griffin Defensive Rebound.,34,36
15:43,2572,Dominic Magee made Dunk. Assisted by Tyree Griffin.,34,38
15:26,2572,Foul on Eddie Davis III.,34,38
15:26,-1,Jaylen Moore made Free Throw.,35,38
15:26,-1,Jaylen Moore made Free Throw.,36,38
15:00,2572,Eddie Davis III made Jumper. Assisted by Dominic Magee.,36,40
14:41,-1,Quinton Williams missed Three Point Jumper.,36,40
14:41,2572,Cortez Edwards Defensive Rebound.,36,40
14:37,-1,Foul on Quinton Williams.,36,40
14:37,2572,Dominic Magee made Jumper. Assisted by Tyree Griffin.,36,42
14:21,2572,Foul on Dominic Magee.,36,42
14:17,-1,Foul on Brandon Sheppard.,36,42
14:17,-1,Brandon Sheppard Turnover.,36,42
14:00,2572,Dominic Magee missed Three Point Jumper.,36,42
14:00,2572,Dominic Magee Offensive Rebound.,36,42
13:57,2572,Dominic Magee made Jumper.,36,44
13:44,-1,Jamarri Johnson missed Three Point Jumper.,36,44
13:44,-1,Troy Salvant Offensive Rebound.,36,44
13:36,2572,Foul on Eddie Davis III.,36,44
13:36,-1,Jaylen Moore made Free Throw.,37,44
13:36,-1,Jaylen Moore made Free Throw.,38,44
13:14,2572,D'Angelo Richardson missed Three Point Jumper.,38,44
13:14,2572,Dominic Magee Offensive Rebound.,38,44
13:09,2572,Cortez Edwards made Dunk. Assisted by Dominic Magee.,38,46
12:56,-1,Jaylen Moore missed Jumper.,38,46
12:56,-1,Maurice Stephens Offensive Rebound.,38,46
12:53,-1,Jared Tillman missed Three Point Jumper.,38,46
12:53,2572,Cortez Edwards Defensive Rebound.,38,46
12:44,2572,Tyree Griffin made Layup.,38,48
12:44,-1,Foul on Peyton Owen.,38,48
12:44,2572,Tyree Griffin made Free Throw.,38,49
12:28,-1,Troy Salvant missed Three Point Jumper.,38,49
12:28,-1,Jaylen Moore Offensive Rebound.,38,49
12:19,-1,Jaylen Moore made Layup.,40,49
11:57,2572,Tyree Griffin missed Three Point Jumper.,40,49
11:57,2572,Cortez Edwards Offensive Rebound.,40,49
11:50,2572,Kevin Holland made Three Point Jumper. Assisted by Cortez Edwards.,40,52
11:29,2572,Foul on D'Angelo Richardson.,40,52
11:29,2572,Official TV Timeout,40,52
11:29,-1,Troy Salvant made Free Throw.,41,52
11:29,-1,Troy Salvant made Free Throw.,42,52
11:11,2572,Dominic Magee missed Three Point Jumper.,42,52
11:11,-1,Troy Salvant Defensive Rebound.,42,52
11:03,2572,Foul on Cortez Edwards.,42,52
11:03,-1,Troy Salvant made Free Throw.,43,52
11:03,-1,Troy Salvant made Free Throw.,44,52
10:41,2572,Kevin Holland missed Three Point Jumper.,44,52
10:41,2572,Dominic Magee Offensive Rebound.,44,52
10:35,-1,Foul on Adrian Williams.,44,52
10:31,2572,Tyree Griffin missed Three Point Jumper.,44,52
10:31,2572,Kevin Holland Offensive Rebound.,44,52
10:31,2572,Kevin Holland Turnover.,44,52
10:28,-1,Peyton Owen Steal.,44,52
10:21,-1,Brandon Sheppard Turnover.,44,52
10:20,2572,Dominic Magee Steal.,44,52
10:18,-1,Foul on Adrian Williams.,44,52
10:18,2572,Cortez Edwards missed Free Throw.,44,52
10:18,2572,Southern Miss Deadball Team Rebound.,44,52
10:18,2572,Cortez Edwards made Free Throw.,44,53
9:55,-1,Troy Salvant made Jumper.,46,53
9:29,2572,Foul on Tyree Griffin.,46,53
9:29,-1,Jaylen Moore made Free Throw.,47,53
9:29,-1,Jaylen Moore made Free Throw.,48,53
9:04,2572,D'Angelo Richardson missed Three Point Jumper.,48,53
9:04,2572,Tyree Griffin Offensive Rebound.,48,53
8:44,2572,Dominic Magee Turnover.,48,53
8:33,-1,Jaylen Moore missed Three Point Jumper.,48,53
8:33,2572,Tyree Griffin Defensive Rebound.,48,53
8:14,2572,Dominic Magee made Three Point Jumper. Assisted by D'Angelo Richardson.,48,56
8:00,-1,Troy Salvant missed Three Point Jumper.,48,56
8:00,-1,Troy Salvant Offensive Rebound.,48,56
7:56,-1,Troy Salvant missed Jumper.,48,56
7:56,2572,Cortez Edwards Defensive Rebound.,48,56
7:50,2572,Tyree Griffin made Layup.,48,58
7:50,-1,Foul on John Cornish.,48,58
7:50,2572,Official TV Timeout,48,58
7:50,2572,Official TV Timeout,48,58
7:50,2572,Tyree Griffin made Free Throw.,48,59
7:33,2572,Foul on D'Angelo Richardson.,48,59
7:32,-1,Troy Salvant missed Free Throw.,48,59
7:31,-1,William Carey Deadball Team Rebound.,48,59
7:30,-1,Troy Salvant made Free Throw.,49,59
7:18,2572,Cortez Edwards made Layup. Assisted by Dominic Magee.,49,61
7:01,-1,Jaylen Moore made Layup.,51,61
6:50,2572,Dominic Magee missed Three Point Jumper.,51,61
6:50,2572,Cortez Edwards Offensive Rebound.,51,61
6:38,2572,Cortez Edwards made Jumper. Assisted by D'Angelo Richardson.,51,63
6:20,-1,Jaylen Moore missed Jumper.,51,63
6:20,2572,Dominic Magee Defensive Rebound.,51,63
5:53,2572,D'Angelo Richardson made Jumper. Assisted by Dominic Magee.,51,65
5:40,-1,Troy Salvant Turnover.,51,65
5:39,2572,Tyree Griffin Steal.,51,65
5:21,2572,Tyree Griffin made Layup.,51,67
5:20,-1,Foul on Artis Cleveland.,51,67
5:13,-1,William Carey  Timeout,51,67
5:13,2572,Tyree Griffin missed Free Throw.,51,67
5:13,-1,Brandon Sheppard Defensive Rebound.,51,67
5:04,-1,John Cornish missed Three Point Jumper.,51,67
5:04,-1,Brandon Sheppard Offensive Rebound.,51,67
5:00,2572,Foul on D'Angelo Richardson.,51,67
5:00,-1,Brandon Sheppard made Free Throw.,52,67
5:00,-1,Brandon Sheppard missed Free Throw.,52,67
5:00,2572,Dominic Magee Defensive Rebound.,52,67
4:46,2572,Tyree Griffin missed Layup.,52,67
4:46,2572,Cortez Edwards Offensive Rebound.,52,67
4:17,2572,Dominic Magee missed Three Point Jumper.,52,67
4:17,-1,John Cornish Defensive Rebound.,52,67
4:08,-1,Quinton Williams missed Three Point Jumper.,52,67
4:08,2572,Southern Miss Defensive Rebound.,52,67
3:49,-1,Foul on Quinton Williams.,52,67
3:49,2572,Official TV Timeout,52,67
3:49,2572,Dominic Magee missed Free Throw.,52,67
3:49,2572,Southern Miss Deadball Team Rebound.,52,67
3:49,2572,Dominic Magee missed Free Throw.,52,67
3:49,-1,Quinton Williams Defensive Rebound.,52,67
3:26,-1,Jared Tillman missed Three Point Jumper.,52,67
3:26,2572,Dominic Magee Defensive Rebound.,52,67
3:03,2572,Cortez Edwards made Layup.,52,69
2:35,-1,Jaylen Moore missed Jumper.,52,69
2:35,-1,Brandon Sheppard Offensive Rebound.,52,69
2:32,-1,Brandon Sheppard made Jumper.,54,69
2:09,2572,Tyree Griffin made Three Point Jumper.,54,72
1:55,-1,Quinton Williams made Jumper.,56,72
1:32,2572,D'Angelo Richardson made Three Point Jumper. Assisted by Dominic Magee.,56,75
1:18,-1,Brandon Sheppard made Jumper. Assisted by Jared Tillman.,58,75
0:44,2572,Dominic Magee missed Three Point Jumper.,58,75
0:44,2572,Kevin Holland Offensive Rebound.,58,75
0:15,2572,Cortez Edwards missed Jumper.,58,75
0:15,-1,Brandon Sheppard Defensive Rebound.,58,75
0:07,-1,Jared Tillman missed Layup.,58,75
0:07,2572,D'Angelo Richardson Block.,58,75
0:07,-1,William Carey Offensive Rebound.,58,75
0:02,-1,Jaylen Moore missed Three Point Jumper.,58,75
0:02,2572,D'Angelo Richardson Defensive Rebound.,58,75
0:00,2572,End of Game,58,75
