Life Pacific,Error,Utah State,328
13:25,328,Foul on Daron Henson.,14,14
13:25,-1,James Noble made Free Throw.,15,14
13:25,-1,James Noble made Free Throw.,16,14
13:09,-1,Foul on Trey Huckabay.,16,14
12:54,328,Crew Ainge missed Layup.,16,14
12:54,328,Crew Ainge Offensive Rebound.,16,14
12:52,328,Sam Merrill made Three Point Jumper. Assisted by Crew Ainge.,16,17
12:37,-1,Elias Zedan Turnover.,16,17
12:37,328,Crew Ainge Steal.,16,17
12:33,328,Julion Pearre Turnover.,16,17
12:16,-1,James Noble missed Layup.,16,17
12:16,328,Sam Merrill Defensive Rebound.,16,17
12:10,328,Julion Pearre missed Layup.,16,17
12:10,328,Quinn Taylor Offensive Rebound.,16,17
12:07,328,Quinn Taylor made Layup.,16,19
11:44,-1,James Noble Turnover.,16,19
11:44,328,Official TV Timeout,16,19
11:22,328,DeAngelo Isby Turnover.,16,19
11:00,-1,Jacob Brummett missed Layup.,16,19
11:00,-1,Life Pacific Offensive Rebound.,16,19
10:51,-1,Mark Eden missed Three Point Jumper.,16,19
10:51,328,DeAngelo Isby Defensive Rebound.,16,19
10:29,-1,Foul on Chez Lister.,16,19
10:24,328,DeAngelo Isby missed Three Point Jumper.,16,19
10:24,-1,Jonathan Cortez Defensive Rebound.,16,19
10:00,-1,Jonathan Cortez Turnover.,16,19
9:59,328,Quinn Taylor Steal.,16,19
9:55,328,Koby McEwen made Layup. Assisted by Quinn Taylor.,16,21
9:42,-1,Chez Lister made Three Point Jumper. Assisted by Mark Eden.,19,21
9:21,328,Quinn Taylor made Three Point Jumper. Assisted by DeAngelo Isby.,19,24
8:54,-1,Jacob Brummett missed Jumper.,19,24
8:54,328,DeAngelo Isby Defensive Rebound.,19,24
8:44,-1,Foul on Jacob Brummett.,19,24
8:44,328,Julion Pearre made Free Throw.,19,25
8:44,328,Julion Pearre made Free Throw.,19,26
8:26,-1,Mark Eden Turnover.,19,26
8:25,328,Sam Merrill Steal.,19,26
8:19,328,Diogo Brito missed Three Point Jumper.,19,26
8:19,-1,Life Pacific Defensive Rebound.,19,26
7:53,-1,Jonathan Cortez missed Jumper.,19,26
7:53,328,Quinn Taylor Block.,19,26
7:51,-1,Jonathan Cortez Offensive Rebound.,19,26
7:39,-1,Mark Eden made Three Point Jumper.,22,26
7:29,-1,Foul on Elijah Todd.,22,26
7:29,328,Official TV Timeout,22,26
7:18,328,Koby McEwen Turnover.,22,26
7:17,-1,James Noble Steal.,22,26
7:13,-1,Chez Lister missed Three Point Jumper.,22,26
7:13,328,Koby McEwen Defensive Rebound.,22,26
6:59,328,Dwayne Brown Jr. missed Jumper.,22,26
6:59,-1,Jonathan Cortez Defensive Rebound.,22,26
6:39,-1,Mark Eden made Three Point Jumper.,25,26
6:25,328,Koby McEwen made Three Point Jumper.,25,29
6:01,-1,Chez Lister missed Layup.,25,29
6:01,328,Dwayne Brown Jr. Defensive Rebound.,25,29
5:51,328,Dwayne Brown Jr. made Jumper.,25,31
5:38,-1,Elijah Todd missed Three Point Jumper.,25,31
5:38,328,Diogo Brito Defensive Rebound.,25,31
5:27,328,Koby McEwen missed Three Point Jumper.,25,31
5:27,-1,Life Pacific Defensive Rebound.,25,31
5:10,-1,Jonathan Cortez made Three Point Jumper. Assisted by James Noble.,28,31
4:52,328,Dwayne Brown Jr. made Three Point Jumper. Assisted by Diogo Brito.,28,34
4:30,-1,Trey Huckabay Turnover.,28,34
4:13,328,Quinn Taylor Turnover.,28,34
4:13,-1,James Noble Steal.,28,34
3:49,-1,James Noble missed Three Point Jumper.,28,34
3:49,328,Utah State Deadball Team Rebound.,28,34
3:48,328,Official TV Timeout,28,34
3:36,328,DeAngelo Isby made Layup.,28,36
3:07,-1,Mark Eden missed Three Point Jumper.,28,36
3:07,-1,Adam Saavedra Offensive Rebound.,28,36
2:49,-1,James Noble missed Three Point Jumper.,28,36
2:49,328,DeAngelo Isby Defensive Rebound.,28,36
2:44,328,DeAngelo Isby Turnover.,28,36
2:43,-1,Jonathan Cortez Steal.,28,36
2:38,328,Foul on DeAngelo Isby.,28,36
2:35,-1,Adam Saavedra made Three Point Jumper. Assisted by Jonathan Cortez.,31,36
2:05,328,DeAngelo Isby made Jumper. Assisted by Quinn Taylor.,31,38
1:40,328,Foul on Crew Ainge.,31,38
1:23,-1,Mark Eden made Layup.,33,38
1:03,328,Crew Ainge missed Jumper.,33,38
1:03,328,Quinn Taylor Offensive Rebound.,33,38
0:56,328,DeAngelo Isby made Jumper. Assisted by Quinn Taylor.,33,40
0:36,-1,Jonathan Cortez made Jumper. Assisted by Mark Eden.,35,40
0:19,328,Utah State  Timeout,35,40
0:12,328,Sam Merrill Turnover.,35,40
0:11,-1,Mark Eden Steal.,35,40
0:01,-1,Trey Huckabay missed Three Point Jumper.,35,40
0:01,328,DeAngelo Isby Defensive Rebound.,35,40
0:00,328,End of 1st half,35,40
19:43,328,Quinn Taylor missed Layup.,35,40
19:43,-1,Trey Huckabay Block.,35,40
19:43,328,Utah State Offensive Rebound.,35,40
19:39,328,Dwayne Brown Jr. Turnover.,35,40
19:18,328,Foul on Sam Merrill.,35,40
19:11,-1,Trey Huckabay missed Three Point Jumper.,35,40
19:11,328,Sam Merrill Defensive Rebound.,35,40
19:01,328,Sam Merrill made Layup.,35,42
19:01,-1,Foul on Jonathan Cortez.,35,42
19:01,328,Sam Merrill made Free Throw.,35,43
18:47,-1,Adam Saavedra Turnover.,35,43
18:46,328,Koby McEwen Steal.,35,43
18:41,328,Koby McEwen missed Three Point Jumper.,35,43
18:41,-1,James Noble Defensive Rebound.,35,43
18:27,-1,Trey Huckabay made Layup.,37,43
18:11,-1,Foul on Adam Saavedra.,37,43
18:10,328,Dwayne Brown Jr. missed Three Point Jumper.,37,43
18:10,-1,Jonathan Cortez Defensive Rebound.,37,43
17:42,-1,Mark Eden missed Three Point Jumper.,37,43
17:42,328,Utah State Deadball Team Rebound.,37,43
17:28,328,Koby McEwen made Three Point Jumper. Assisted by Julion Pearre.,37,46
17:10,-1,Trey Huckabay made Layup.,39,46
16:55,328,Dwayne Brown Jr. made Layup. Assisted by Koby McEwen.,39,48
16:30,-1,Trey Huckabay missed Three Point Jumper.,39,48
16:30,328,Utah State Defensive Rebound.,39,48
16:15,328,Koby McEwen made Three Point Jumper.,39,51
15:52,-1,James Noble made Three Point Jumper. Assisted by Mark Eden.,42,51
15:34,-1,Foul on James Noble.,42,51
15:34,328,Official TV Timeout,42,51
15:34,328,Julion Pearre made Free Throw.,42,52
15:34,328,Julion Pearre made Free Throw.,42,53
15:19,-1,Trey Huckabay missed Three Point Jumper.,42,53
15:19,-1,Adam Saavedra Offensive Rebound.,42,53
15:11,328,Foul on Koby McEwen.,42,53
14:59,-1,James Noble missed Jumper.,42,53
14:59,328,Diogo Brito Defensive Rebound.,42,53
14:51,328,Koby McEwen Turnover.,42,53
14:51,-1,James Noble Steal.,42,53
14:44,328,Foul on Koby McEwen.,42,53
14:30,-1,Adam Saavedra missed Three Point Jumper.,42,53
14:30,-1,Chez Lister Offensive Rebound.,42,53
14:28,-1,Chez Lister Turnover.,42,53
14:11,-1,Foul on Mark Eden.,42,53
14:03,328,Daron Henson made Three Point Jumper. Assisted by Koby McEwen.,42,56
13:37,-1,Adam Saavedra missed Layup.,42,56
13:37,328,DeAngelo Isby Defensive Rebound.,42,56
13:21,328,Quinn Taylor missed Layup.,42,56
13:21,-1,Jonathan Cortez Defensive Rebound.,42,56
13:11,-1,Chez Lister made Layup. Assisted by Mark Eden.,44,56
13:04,328,Utah State  Timeout,44,56
12:57,328,Julion Pearre made Layup.,44,58
12:57,-1,Foul on James Noble.,44,58
12:57,328,Julion Pearre made Free Throw.,44,59
12:41,328,Foul on Julion Pearre.,44,59
12:20,-1,Jonathan Cortez made Layup.,46,59
12:03,328,Sam Merrill made Three Point Jumper. Assisted by Daron Henson.,46,62
11:43,-1,Jonathan Cortez missed Layup.,46,62
11:43,328,Sam Merrill Defensive Rebound.,46,62
11:38,-1,Foul on Chez Lister.,46,62
11:38,328,Official TV Timeout,46,62
11:38,328,Sam Merrill made Free Throw.,46,63
11:38,328,Sam Merrill made Free Throw.,46,64
11:21,-1,James Noble missed Three Point Jumper.,46,64
11:21,-1,Chez Lister Offensive Rebound.,46,64
11:15,-1,Chez Lister missed Layup.,46,64
11:15,-1,Chez Lister Offensive Rebound.,46,64
11:04,-1,Mark Eden missed Layup.,46,64
11:04,328,Julion Pearre Block.,46,64
11:03,328,Koby McEwen Defensive Rebound.,46,64
10:50,328,Daron Henson made Layup.,46,66
10:43,-1,Trey Huckabay made Jumper.,48,66
10:38,328,Daron Henson Turnover.,48,66
10:21,-1,Mark Eden missed Three Point Jumper.,48,66
10:21,328,Dwayne Brown Jr. Defensive Rebound.,48,66
10:01,328,Koby McEwen missed Three Point Jumper.,48,66
10:01,-1,Elijah Todd Defensive Rebound.,48,66
9:45,-1,Trey Huckabay missed Layup.,48,66
9:45,328,Julion Pearre Defensive Rebound.,48,66
9:37,328,Julion Pearre made Layup. Assisted by Diogo Brito.,48,68
9:19,-1,Chez Lister missed Layup.,48,68
9:19,328,Diogo Brito Defensive Rebound.,48,68
9:12,328,Diogo Brito missed Layup.,48,68
9:12,-1,Jacob Brummett Defensive Rebound.,48,68
9:02,-1,Chez Lister missed Layup.,48,68
9:02,328,Julion Pearre Defensive Rebound.,48,68
8:53,328,Daron Henson made Three Point Jumper. Assisted by Julion Pearre.,48,71
8:53,328,Foul on Dwayne Brown Jr..,48,71
8:34,-1,Jonathan Cortez made Three Point Jumper. Assisted by Mark Eden.,51,71
8:19,328,Diogo Brito missed Layup.,51,71
8:19,-1,Trey Huckabay Block.,51,71
8:19,-1,Life Pacific Defensive Rebound.,51,71
8:00,-1,Trey Huckabay missed Jumper.,51,71
8:00,328,Quinn Taylor Defensive Rebound.,51,71
7:50,328,Koby McEwen made Three Point Jumper. Assisted by Sam Merrill.,51,74
7:36,-1,Mark Eden made Layup.,53,74
7:22,328,Dwayne Brown Jr. made Layup.,53,76
7:07,-1,Jonathan Cortez missed Three Point Jumper.,53,76
7:07,328,Quinn Taylor Defensive Rebound.,53,76
6:49,328,Sam Merrill made Three Point Jumper. Assisted by Koby McEwen.,53,79
6:19,-1,Chez Lister missed Three Point Jumper.,53,79
6:19,328,Koby McEwen Defensive Rebound.,53,79
6:10,328,Koby McEwen made Layup.,53,81
6:10,-1,Foul on Trey Huckabay.,53,81
6:10,328,Official TV Timeout,53,81
6:10,328,Koby McEwen made Free Throw.,53,82
5:59,-1,Jonathan Cortez made Three Point Jumper. Assisted by Trey Huckabay.,56,82
5:36,328,Quinn Taylor missed Layup.,56,82
5:36,328,Quinn Taylor Offensive Rebound.,56,82
5:33,328,Koby McEwen made Three Point Jumper. Assisted by Quinn Taylor.,56,85
5:04,-1,Jonathan Cortez missed Three Point Jumper.,56,85
5:04,328,Diogo Brito Defensive Rebound.,56,85
4:54,328,Diogo Brito made Layup.,56,87
4:23,-1,Trey Huckabay missed Jumper.,56,87
4:23,-1,Life Pacific Offensive Rebound.,56,87
4:18,-1,Jonathan Cortez missed Jumper.,56,87
4:18,328,Quinn Taylor Defensive Rebound.,56,87
4:06,328,Dwayne Brown Jr. made Layup.,56,89
3:46,-1,Mark Eden missed Layup.,56,89
3:46,328,Dwayne Brown Jr. Defensive Rebound.,56,89
3:30,328,Quinn Taylor Turnover.,56,89
3:29,-1,Trey Huckabay Steal.,56,89
3:23,-1,Jonathan Cortez missed Three Point Jumper.,56,89
3:23,328,Diogo Brito Defensive Rebound.,56,89
3:13,328,Diogo Brito missed Three Point Jumper.,56,89
3:13,328,Quinn Taylor Offensive Rebound.,56,89
3:06,328,Dwayne Brown Jr. missed Layup.,56,89
3:06,-1,Jonathan Cortez Defensive Rebound.,56,89
2:50,328,Foul on Julion Pearre.,56,89
2:50,328,Official TV Timeout,56,89
2:50,-1,James Noble missed Free Throw.,56,89
2:50,-1,Life Pacific Deadball Team Rebound.,56,89
2:50,-1,James Noble missed Free Throw.,56,89
2:50,328,Dwayne Brown Jr. Defensive Rebound.,56,89
2:35,328,Dwayne Brown Jr. made Layup. Assisted by Abel Porter.,56,91
2:18,-1,Elijah Todd missed Three Point Jumper.,56,91
2:18,328,Crew Ainge Defensive Rebound.,56,91
2:08,328,Crew Ainge Turnover.,56,91
2:08,328,Foul on Crew Ainge.,56,91
1:58,-1,Dean Waltz missed Three Point Jumper.,56,91
1:58,-1,Jacob Brummett Offensive Rebound.,56,91
1:55,328,Foul on Julion Pearre.,56,91
1:55,-1,Dean Waltz made Free Throw.,57,91
1:55,-1,Dean Waltz made Free Throw.,58,91
1:36,328,Daron Henson missed Three Point Jumper.,58,91
1:36,328,Dwayne Brown Jr. Offensive Rebound.,58,91
1:34,-1,Foul on Jacob Brummett.,58,91
1:34,328,Dwayne Brown Jr. missed Free Throw.,58,91
1:34,-1,Timothy Johnson Defensive Rebound.,58,91
1:33,328,Foul on Abel Porter.,58,91
1:33,-1,Timothy Johnson missed Free Throw.,58,91
1:33,328,Dwayne Brown Jr. Defensive Rebound.,58,91
1:26,328,Julion Pearre made Three Point Jumper. Assisted by Abel Porter.,58,94
1:05,-1,Elias Zedan made Jumper.,60,94
0:41,328,Daron Henson missed Three Point Jumper.,60,94
0:41,328,Dwayne Brown Jr. Offensive Rebound.,60,94
0:38,328,Dwayne Brown Jr. made Layup.,60,96
0:28,328,Foul on Julion Pearre.,60,96
0:28,-1,Elijah Todd made Free Throw.,61,96
0:28,-1,Elijah Todd made Free Throw.,62,96
0:00,328,End of Game,62,96
