Troy,8,Arkansas,2653
7:03,8,Jaylen Barford Defensive Rebound.,21,32
6:55,8,Daryl Macon made Three Point Jumper. Assisted by Jaylen Barford.,21,35
6:24,2653,B.J. Miller missed Jumper.,21,35
6:24,2653,Alex Hicks Offensive Rebound.,21,35
6:22,8,Foul on Jaylen Barford.,21,35
6:20,2653,Wesley Person missed Three Point Jumper.,21,35
6:20,8,Arkansas Defensive Rebound.,21,35
5:55,8,Jaylen Barford missed Three Point Jumper.,21,35
5:55,2653,Wesley Person Defensive Rebound.,21,35
5:39,2653,Kevin Baker missed Jumper.,21,35
5:39,8,Jaylen Barford Defensive Rebound.,21,35
5:32,8,Anton Beard made Layup.,21,37
5:03,2653,Juan Davis Jr. Turnover.,21,37
4:53,8,Anton Beard made Jumper. Assisted by Arlando Cook.,21,39
4:21,2653,Kevin Baker missed Layup.,21,39
4:21,8,Arlando Cook Defensive Rebound.,21,39
4:18,2653,Technical Foul on Kevin Baker.,21,39
4:18,2653,Foul on Kevin Baker.,21,39
4:18,8,Daryl Macon made Free Throw.,21,40
4:18,8,Daryl Macon made Free Throw.,21,41
4:04,2653,Foul on Juan Davis Jr..,21,41
4:04,8,Daniel Gafford missed Free Throw.,21,41
4:04,8,Arkansas Deadball Team Rebound.,21,41
4:04,8,Daniel Gafford missed Free Throw.,21,41
4:04,2653,Juan Davis Jr. Defensive Rebound.,21,41
3:42,2653,Wesley Person missed Three Point Jumper.,21,41
3:41,8,Daniel Gafford Block.,21,41
3:40,8,Dustin Thomas Defensive Rebound.,21,41
3:34,8,Daryl Macon missed Three Point Jumper.,21,41
3:34,2653,B.J. Miller Block.,21,41
3:32,2653,Darian Adams Defensive Rebound.,21,41
3:06,8,Foul on Dustin Thomas.,21,41
3:06,8,Official TV Timeout,21,41
3:06,2653,Juan Davis Jr. made Free Throw.,22,41
3:06,2653,Juan Davis Jr. missed Free Throw.,22,41
3:06,8,Daryl Macon Defensive Rebound.,22,41
2:43,8,Daryl Macon missed Jumper.,22,41
2:43,8,Dustin Thomas Offensive Rebound.,22,41
2:34,8,Daniel Gafford made Layup.,22,43
2:13,8,Foul on Daniel Gafford.,22,43
2:13,2653,Wesley Person made Free Throw.,23,43
2:13,2653,Wesley Person missed Free Throw.,23,43
2:13,2653,Alex Hicks Offensive Rebound.,23,43
2:11,2653,Alex Hicks missed Layup.,23,43
2:11,2653,Alex Hicks Offensive Rebound.,23,43
1:58,2653,Darian Adams missed Layup.,23,43
1:58,8,Dustin Thomas Defensive Rebound.,23,43
1:50,8,Anton Beard made Layup.,23,45
1:25,8,Foul on Daniel Gafford.,23,45
1:10,2653,Juan Davis Jr. missed Three Point Jumper.,23,45
1:10,8,Daryl Macon Defensive Rebound.,23,45
0:57,8,Trey Thompson Turnover.,23,45
0:50,2653,B.J. Miller missed Layup.,23,45
0:50,2653,Alex Hicks Offensive Rebound.,23,45
0:47,2653,Alex Hicks made Two Point Tip Shot.,25,45
0:23,8,Anton Beard missed Three Point Jumper.,25,45
0:23,2653,Alex Hicks Defensive Rebound.,25,45
0:01,2653,Wesley Person missed Three Point Jumper.,25,45
0:01,8,Trey Thompson Block.,25,45
0:01,8,Arkansas Deadball Team Rebound.,25,45
0:00,8,End of 1st half,25,45
19:39,8,Daryl Macon missed Jumper.,25,45
19:39,2653,Shawn Hopkins Block.,25,45
19:38,8,Dustin Thomas Offensive Rebound.,25,45
19:20,2653,Foul on Juan Davis Jr..,25,45
19:06,8,Anton Beard missed Jumper.,25,45
19:06,2653,Kevin Baker Defensive Rebound.,25,45
18:35,2653,Kevin Baker Turnover.,25,45
18:34,8,Anton Beard Steal.,25,45
18:30,8,Jaylen Barford missed Three Point Jumper.,25,45
18:30,2653,Alex Hicks Defensive Rebound.,25,45
18:07,2653,Alex Hicks missed Jumper.,25,45
18:07,8,Daniel Gafford Defensive Rebound.,25,45
17:49,8,Daniel Gafford missed Jumper.,25,45
17:49,2653,Juan Davis Jr. Defensive Rebound.,25,45
17:34,2653,Alex Hicks made Jumper.,27,45
17:14,2653,Foul on Alex Hicks.,27,45
17:14,8,Daniel Gafford missed Free Throw.,27,45
17:14,8,Arkansas Deadball Team Rebound.,27,45
17:14,8,Daniel Gafford missed Free Throw.,27,45
17:14,2653,Juan Davis Jr. Defensive Rebound.,27,45
17:11,8,Foul on Daniel Gafford.,27,45
17:00,8,Foul on Dustin Thomas.,27,45
16:42,2653,Wesley Person made Three Point Jumper.,30,45
16:36,8,Trey Thompson made Layup. Assisted by Daryl Macon.,30,47
16:24,2653,Wesley Person Turnover.,30,47
16:23,8,Daryl Macon Steal.,30,47
16:20,8,Anton Beard made Layup. Assisted by Daryl Macon.,30,49
16:11,8,Foul on Anton Beard.,30,49
15:51,2653,Wesley Person missed Three Point Jumper.,30,49
15:51,8,Jaylen Barford Defensive Rebound.,30,49
15:44,8,Trey Thompson made Dunk. Assisted by Jaylen Barford.,30,51
15:26,2653,Juan Davis Jr. missed Three Point Jumper.,30,51
15:26,2653,Troy Offensive Rebound.,30,51
15:23,8,Official TV Timeout,30,51
15:17,2653,B.J. Miller made Layup.,32,51
15:07,2653,Foul on B.J. Miller.,32,51
15:07,8,Daryl Macon made Free Throw.,32,52
15:07,8,Daryl Macon made Free Throw.,32,53
14:47,8,Foul on Adrio Bailey.,32,53
14:47,2653,Kevin Baker made Free Throw.,33,53
14:47,2653,Kevin Baker missed Free Throw.,33,53
14:47,8,Trey Thompson Defensive Rebound.,33,53
14:30,8,Anton Beard Turnover.,33,53
14:29,2653,Darian Adams Steal.,33,53
14:19,8,Foul on Trey Thompson.,33,53
14:19,2653,Wesley Person made Free Throw.,34,53
14:19,2653,Wesley Person made Free Throw.,35,53
14:06,8,Daryl Macon missed Three Point Jumper.,35,53
14:06,2653,Kevin Baker Defensive Rebound.,35,53
13:45,2653,Juan Davis Jr. missed Jumper.,35,53
13:45,2653,Troy Deadball Team Rebound.,35,53
13:44,8,Foul on Daryl Macon.,35,53
13:32,2653,Kevin Baker missed Three Point Jumper.,35,53
13:32,8,C.J. Jones Defensive Rebound.,35,53
13:07,8,C.J. Jones missed Three Point Jumper.,35,53
13:07,8,Trey Thompson Offensive Rebound.,35,53
13:04,8,Adrio Bailey made Dunk. Assisted by Trey Thompson.,35,55
12:51,8,Foul on Anton Beard.,35,55
12:51,2653,B.J. Miller made Free Throw.,36,55
12:51,2653,B.J. Miller made Free Throw.,37,55
12:33,8,Jaylen Barford missed Three Point Jumper.,37,55
12:33,2653,B.J. Miller Defensive Rebound.,37,55
12:26,8,Foul on Darious Hall.,37,55
12:26,2653,Kevin Baker missed Free Throw.,37,55
12:26,2653,Troy Deadball Team Rebound.,37,55
12:26,2653,Kevin Baker missed Free Throw.,37,55
12:26,8,Jaylen Barford Defensive Rebound.,37,55
12:20,8,Jaylen Barford missed Layup.,37,55
12:20,8,Adrio Bailey Offensive Rebound.,37,55
12:19,8,Adrio Bailey missed Layup.,37,55
12:16,8,Adrio Bailey Offensive Rebound.,37,55
12:12,8,Adrio Bailey made Two Point Tip Shot.,37,57
12:03,2653,Wesley Person made Three Point Jumper. Assisted by Kevin Baker.,40,57
11:47,8,C.J. Jones made Jumper. Assisted by Adrio Bailey.,40,59
11:38,2653,Kevin Baker Turnover.,40,59
11:38,8,Trey Thompson Steal.,40,59
11:38,8,Official TV Timeout,40,59
11:28,8,C.J. Jones Turnover.,40,59
11:23,2653,Shawn Hopkins Steal.,40,59
10:57,2653,Wesley Person missed Layup.,40,59
10:57,8,Darious Hall Defensive Rebound.,40,59
10:50,8,C.J. Jones missed Three Point Jumper.,40,59
10:50,2653,Wesley Person Defensive Rebound.,40,59
10:33,8,Foul on Adrio Bailey.,40,59
10:33,2653,Alex Hicks made Free Throw.,41,59
10:33,2653,Alex Hicks made Free Throw.,42,59
10:23,8,Daniel Gafford missed Jumper.,42,59
10:23,8,Adrio Bailey Offensive Rebound.,42,59
10:21,8,Adrio Bailey made Dunk.,42,61
9:56,2653,Wesley Person missed Jumper.,42,61
9:56,2653,Alex Hicks Offensive Rebound.,42,61
9:54,2653,Alex Hicks made Two Point Tip Shot.,44,61
9:42,2653,Foul on Wesley Person.,44,61
9:20,8,Daryl Macon made Jumper.,44,63
8:55,2653,B.J. Miller missed Jumper.,44,63
8:55,8,Daniel Gafford Block.,44,63
8:53,8,Daniel Gafford Defensive Rebound.,44,63
8:46,2653,Foul on Alex Hicks.,44,63
8:46,8,C.J. Jones made Free Throw.,44,64
8:46,8,C.J. Jones made Free Throw.,44,65
8:23,8,Foul on Daryl Macon.,44,65
8:23,2653,Wesley Person made Free Throw.,45,65
8:23,2653,Wesley Person made Free Throw.,46,65
8:23,2653,Wesley Person made Free Throw.,47,65
8:00,8,Official TV Timeout,47,65
7:56,8,Daniel Gafford made Jumper.,47,67
7:46,2653,B.J. Miller made Layup.,49,67
7:40,8,Daniel Gafford made Dunk. Assisted by Daryl Macon.,49,69
7:29,2653,Kevin Baker Turnover.,49,69
7:23,8,Daryl Macon made Three Point Jumper.,49,72
7:02,2653,Kevin Baker missed Three Point Jumper.,49,72
7:02,8,Jaylen Barford Defensive Rebound.,49,72
6:54,8,Anton Beard missed Three Point Jumper.,49,72
6:54,2653,Alex Hicks Defensive Rebound.,49,72
6:29,2653,Alex Hicks missed Three Point Jumper.,49,72
6:29,8,Arlando Cook Defensive Rebound.,49,72
6:20,8,Jaylen Barford missed Jumper.,49,72
6:20,2653,Juan Davis Jr. Block.,49,72
6:18,2653,Troy Defensive Rebound.,49,72
6:01,8,Foul on Daniel Gafford.,49,72
6:01,2653,Alex Hicks made Free Throw.,50,72
6:01,2653,Alex Hicks made Free Throw.,51,72
5:42,8,Arlando Cook missed Layup.,51,72
5:42,2653,Alex Hicks Block.,51,72
5:40,2653,Wesley Person Defensive Rebound.,51,72
5:36,2653,Wesley Person made Layup.,53,72
5:26,8,Anton Beard missed Three Point Jumper.,53,72
5:26,2653,B.J. Miller Defensive Rebound.,53,72
5:15,2653,Alex Hicks made Layup. Assisted by B.J. Miller.,55,72
5:09,8,Arkansas  Timeout,55,72
4:45,8,Daryl Macon made Three Point Jumper.,55,75
4:26,2653,Wesley Person missed Three Point Jumper.,55,75
4:26,8,Adrio Bailey Defensive Rebound.,55,75
4:09,8,Adrio Bailey missed Jumper.,55,75
4:09,2653,Darian Adams Defensive Rebound.,55,75
3:52,2653,Juan Davis Jr. missed Layup.,55,75
3:52,8,Jaylen Barford Defensive Rebound.,55,75
3:46,2653,Foul on B.J. Miller.,55,75
3:46,8,Official TV Timeout,55,75
3:46,8,Jaylen Barford missed Free Throw.,55,75
3:46,8,Arkansas Deadball Team Rebound.,55,75
3:46,8,Jaylen Barford made Free Throw.,55,76
3:30,2653,B.J. Miller missed Layup.,55,76
3:30,8,Daniel Gafford Defensive Rebound.,55,76
3:25,8,Anton Beard missed Three Point Jumper.,55,76
3:25,8,Daniel Gafford Offensive Rebound.,55,76
3:21,2653,Foul on Juan Davis Jr..,55,76
3:21,8,Daniel Gafford made Free Throw.,55,77
3:21,8,Daniel Gafford made Free Throw.,55,78
3:04,8,Foul on Darious Hall.,55,78
3:04,2653,Wesley Person missed Free Throw.,55,78
3:04,2653,Troy Deadball Team Rebound.,55,78
3:04,2653,Wesley Person made Free Throw.,56,78
2:55,8,Adrio Bailey missed Jumper.,56,78
2:55,2653,Wesley Person Defensive Rebound.,56,78
2:42,2653,Alex Hicks missed Jumper.,56,78
2:42,8,Daniel Gafford Block.,56,78
2:40,8,Adrio Bailey Defensive Rebound.,56,78
2:36,8,Darious Hall made Layup.,56,80
2:16,8,Foul on Darious Hall.,56,80
2:16,2653,Wesley Person made Free Throw.,57,80
2:16,2653,Wesley Person made Free Throw.,58,80
2:06,8,Gabe Osabuohien made Layup.,58,82
2:06,2653,Foul on Alex Hicks.,58,82
2:06,8,Gabe Osabuohien missed Free Throw.,58,82
2:06,2653,Javan Johnson Defensive Rebound.,58,82
1:49,2653,Wesley Person missed Jumper.,58,82
1:49,8,Adrio Bailey Block.,58,82
1:48,8,Gabe Osabuohien Defensive Rebound.,58,82
1:43,2653,Foul on Javan Johnson.,58,82
1:43,8,Jaylen Barford made Free Throw.,58,83
1:43,8,Jaylen Barford missed Free Throw.,58,83
1:43,2653,Juan Davis Jr. Defensive Rebound.,58,83
1:10,8,Foul on Darious Hall.,58,83
1:10,2653,Wesley Person made Free Throw.,59,83
1:10,2653,Wesley Person made Free Throw.,60,83
1:00,8,Adrio Bailey Turnover.,60,83
0:44,2653,Juan Davis Jr. missed Three Point Jumper.,60,83
0:44,8,Darious Hall Defensive Rebound.,60,83
0:34,8,Jonathan Holmes missed Jumper.,60,83
0:34,2653,Wesley Person Defensive Rebound.,60,83
0:26,2653,Malik Burnett made Three Point Jumper. Assisted by Wesley Person.,63,83
0:15,8,Jonathan Holmes made Three Point Jumper.,63,86
0:11,2653,B.J. Miller missed Jumper.,63,86
0:11,8,C.J. Jones Block.,63,86
0:09,8,Adrio Bailey Defensive Rebound.,63,86
0:05,8,Adrio Bailey made Dunk. Assisted by Gabe Osabuohien.,63,88
0:02,2653,Javan Johnson missed Three Point Jumper.,63,88
0:02,8,Gabe Osabuohien Defensive Rebound.,63,88
0:00,8,End of Game,63,88
