Wisc. Parkside,Error,Green Bay,2739
14:13,-1,Cody McIntyre missed Layup.,5,12
14:13,2739,Trevian Bell Block.,5,12
14:08,2739,Sukhjot Bains Defensive Rebound.,5,12
14:05,-1,Foul on Adam Bonk.,5,12
14:05,2739,Hunter Crist made Free Throw.,5,13
14:05,2739,Hunter Crist made Free Throw.,5,14
13:53,-1,Foul on Jonah Matulle.,5,14
13:53,-1,Jonah Matulle Turnover.,5,14
13:43,2739,Khalil Small made Jumper. Assisted by PJ Pipes.,5,16
13:30,2739,Foul on Khalil Small.,5,16
13:20,-1,Jameel Moore missed Jumper.,5,16
13:20,2739,Khalil Small Defensive Rebound.,5,16
13:10,2739,Trevian Bell made Layup. Assisted by Khalil Small.,5,18
13:05,-1,UW-Parkside  Timeout,5,18
12:53,-1,Jameel Moore made Layup.,7,18
12:45,2739,Hunter Crist made Three Point Jumper. Assisted by PJ Pipes.,7,21
12:19,-1,Espen Fjaerestad missed Jumper.,7,21
12:19,2739,Hunter Crist Defensive Rebound.,7,21
11:55,2739,Trevian Bell Turnover.,7,21
11:54,-1,Cody McIntyre Steal.,7,21
11:38,-1,Jameel Moore missed Three Point Jumper.,7,21
11:38,2739,Trevian Bell Defensive Rebound.,7,21
11:33,-1,Foul on Jameel Moore.,7,21
11:33,2739,Official TV Timeout,7,21
11:33,2739,Green Bay  Timeout,7,21
11:16,2739,Kameron Hankerson made Three Point Jumper. Assisted by Trevian Bell.,7,24
10:57,-1,Bret Barclay Turnover.,7,24
10:49,2739,Trevian Bell made Jumper. Assisted by Kameron Hankerson.,7,26
10:29,-1,Jameel Moore missed Three Point Jumper.,7,26
10:29,2739,Hunter Crist Defensive Rebound.,7,26
10:01,2739,PJ Pipes made Jumper.,7,28
9:39,2739,Foul on PJ Pipes.,7,28
9:24,-1,Espen Fjaerestad missed Three Point Jumper.,7,28
9:24,2739,Khalil Small Defensive Rebound.,7,28
9:14,2739,Trevian Bell missed Three Point Jumper.,7,28
9:14,-1,Espen Fjaerestad Defensive Rebound.,7,28
9:00,2739,Foul on PJ Pipes.,7,28
9:00,-1,Goran Zagorac missed Free Throw.,7,28
9:00,-1,UW-Parkside Deadball Team Rebound.,7,28
9:00,-1,Goran Zagorac missed Free Throw.,7,28
9:00,-1,UW-Parkside Deadball Team Rebound.,7,28
8:46,2739,Manny Patterson Turnover.,7,28
8:26,-1,Linwood Lee missed Layup.,7,28
8:26,2739,Manny Patterson Defensive Rebound.,7,28
8:15,2739,Khalil Small Turnover.,7,28
8:12,-1,Jonah Matulle Steal.,7,28
7:59,2739,Foul on Sukhjot Bains.,7,28
7:59,2739,Official TV Timeout,7,28
7:59,-1,UW-Parkside  Timeout,7,28
7:59,-1,Ramar Evans made Free Throw.,8,28
7:59,-1,Ramar Evans made Free Throw.,9,28
7:35,2739,Kameron Hankerson missed Three Point Jumper.,9,28
7:35,2739,David Jesperson Offensive Rebound.,9,28
7:29,2739,David Jesperson missed Jumper.,9,28
7:29,2739,David Jesperson Offensive Rebound.,9,28
7:25,2739,David Jesperson made Layup.,9,30
7:01,-1,Jonah Matulle missed Three Point Jumper.,9,30
7:01,2739,Kameron Hankerson Defensive Rebound.,9,30
6:51,2739,Hunter Crist Turnover.,9,30
6:31,-1,Linwood Lee missed Three Point Jumper.,9,30
6:31,2739,Hunter Crist Defensive Rebound.,9,30
6:22,2739,Khalil Small made Layup.,9,32
6:20,-1,Foul on Jonah Matulle.,9,32
6:20,2739,Khalil Small missed Free Throw.,9,32
6:20,-1,Ramar Evans Defensive Rebound.,9,32
6:09,-1,Bret Barclay Turnover.,9,32
5:52,2739,Manny Patterson made Layup. Assisted by Kameron Hankerson.,9,34
5:39,2739,Foul on Kameron Hankerson.,9,34
5:39,-1,Jonah Matulle missed Free Throw.,9,34
5:39,-1,UW-Parkside Deadball Team Rebound.,9,34
5:39,-1,Jonah Matulle made Free Throw.,10,34
5:39,-1,Jonah Matulle made Free Throw.,11,34
5:36,2739,PJ Pipes made Three Point Jumper. Assisted by Khalil Small.,11,37
5:00,2739,Foul on Khalil Small.,11,37
5:00,-1,Jameel Moore made Free Throw.,12,37
5:00,-1,Jameel Moore made Free Throw.,13,37
4:49,2739,Khalil Small missed Three Point Jumper.,13,37
4:49,-1,Ramar Evans Defensive Rebound.,13,37
4:34,-1,Jameel Moore missed Jumper.,13,37
4:34,2739,PJ Pipes Defensive Rebound.,13,37
4:25,2739,Will Chevalier made Three Point Jumper. Assisted by PJ Pipes.,13,40
4:12,2739,Foul on Hunter Crist.,13,40
4:12,-1,Ramar Evans made Free Throw.,14,40
4:12,-1,Ramar Evans missed Free Throw.,14,40
4:12,-1,Ramar Evans Offensive Rebound.,14,40
4:05,-1,Ramar Evans made Free Throw.,15,40
4:05,2739,PJ Pipes missed Three Point Jumper.,15,40
4:05,-1,Jameel Moore Defensive Rebound.,15,40
3:57,-1,Ramar Evans Turnover.,15,40
3:56,2739,Trevian Bell Steal.,15,40
3:37,-1,Foul on Jameel Moore.,15,40
3:37,2739,Official TV Timeout,15,40
3:37,2739,Trevian Bell missed Free Throw.,15,40
3:37,2739,Green Bay Deadball Team Rebound.,15,40
3:37,2739,Trevian Bell missed Free Throw.,15,40
3:37,-1,Espen Fjaerestad Defensive Rebound.,15,40
3:19,-1,Jameel Moore made Layup. Assisted by Cody McIntyre.,17,40
3:10,2739,Kameron Hankerson made Layup.,17,42
2:51,-1,Cody McIntyre Turnover.,17,42
2:31,2739,Kameron Hankerson missed Jumper.,17,42
2:31,-1,Espen Fjaerestad Defensive Rebound.,17,42
2:15,2739,Foul on Will Chevalier.,17,42
2:15,-1,Goran Zagorac missed Free Throw.,17,42
2:15,-1,UW-Parkside Deadball Team Rebound.,17,42
2:15,-1,Goran Zagorac missed Free Throw.,17,42
2:15,2739,Will Chevalier Defensive Rebound.,17,42
2:03,-1,Foul on Jonah Matulle.,17,42
2:03,2739,Sukhjot Bains missed Free Throw.,17,42
2:03,2739,Green Bay Deadball Team Rebound.,17,42
2:03,2739,Sukhjot Bains made Free Throw.,17,43
1:48,-1,Jonah Matulle missed Jumper.,17,43
1:48,2739,Trevian Bell Defensive Rebound.,17,43
1:41,2739,Sukhjot Bains made Layup.,17,45
1:21,2739,Foul on Hunter Crist.,17,45
1:21,-1,Jameel Moore missed Free Throw.,17,45
1:21,-1,UW-Parkside Deadball Team Rebound.,17,45
1:21,-1,Jameel Moore made Free Throw.,18,45
1:11,2739,Trevian Bell made Three Point Jumper. Assisted by Sukhjot Bains.,18,48
1:07,2739,Green Bay  Timeout,18,48
1:07,-1,Espen Fjaerestad Turnover.,18,48
1:05,2739,Kameron Hankerson made Layup. Assisted by Hunter Crist.,18,50
0:44,-1,Goran Zagorac made Jumper.,20,50
0:33,2739,Trevian Bell made Layup. Assisted by Will Chevalier.,20,52
0:14,-1,Goran Zagorac missed Layup.,20,52
0:06,-1,Chavares Flanigan Defensive Rebound.,20,52
0:01,2739,Will Chevalier missed Jumper.,20,52
0:01,-1,Joe Borcia Defensive Rebound.,20,52
0:00,2739,End of 1st half,20,52
19:46,-1,Espen Fjaerestad made Three Point Jumper. Assisted by Adam Bonk.,23,52
19:32,2739,Kameron Hankerson missed Three Point Jumper.,23,52
19:32,-1,Jameel Moore Defensive Rebound.,23,52
19:10,-1,Adam Bonk Turnover.,23,52
19:08,2739,Khalil Small Steal.,23,52
18:52,2739,Khalil Small missed Three Point Jumper.,23,52
18:52,-1,Ramar Evans Defensive Rebound.,23,52
18:39,-1,Jameel Moore made Three Point Jumper.,26,52
18:29,2739,PJ Pipes made Layup.,26,54
17:57,-1,Ramar Evans missed Layup.,26,54
17:57,2739,PJ Pipes Block.,26,54
17:55,2739,Manny Patterson Defensive Rebound.,26,54
17:53,-1,Foul on Espen Fjaerestad.,26,54
17:42,2739,Manny Patterson missed Layup.,26,54
17:42,2739,David Jesperson Offensive Rebound.,26,54
17:40,2739,David Jesperson made Layup.,26,56
17:18,-1,Bret Barclay made Layup. Assisted by Jameel Moore.,28,56
17:04,2739,PJ Pipes missed Three Point Jumper.,28,56
17:04,-1,Adam Bonk Defensive Rebound.,28,56
16:51,-1,Jameel Moore Turnover.,28,56
16:50,2739,David Jesperson Steal.,28,56
16:46,2739,David Jesperson Turnover.,28,56
16:45,-1,Espen Fjaerestad Steal.,28,56
16:32,-1,Espen Fjaerestad missed Three Point Jumper.,28,56
16:32,2739,Hunter Crist Defensive Rebound.,28,56
16:12,2739,Manny Patterson Turnover.,28,56
16:10,-1,Jameel Moore Steal.,28,56
15:55,2739,Foul on Manny Patterson.,28,56
15:55,2739,Official TV Timeout,28,56
15:55,2739,Official TV Timeout,28,56
15:39,-1,Linwood Lee missed Three Point Jumper.,28,56
15:39,2739,Hunter Crist Defensive Rebound.,28,56
15:33,-1,Foul on Linwood Lee.,28,56
15:33,-1,Foul on Cody McIntyre.,28,56
15:23,-1,Foul on Linwood Lee.,28,56
15:12,2739,Hunter Crist made Jumper.,28,58
14:54,2739,Foul on Hunter Crist.,28,58
14:40,-1,Linwood Lee Turnover.,28,58
14:39,2739,Trevian Bell Steal.,28,58
14:33,2739,Trevian Bell missed Three Point Jumper.,28,58
14:33,-1,Goran Zagorac Defensive Rebound.,28,58
14:21,-1,Goran Zagorac missed Dunk.,28,58
14:21,2739,Trevian Bell Block.,28,58
14:18,-1,Cody McIntyre Offensive Rebound.,28,58
14:06,-1,Linwood Lee missed Jumper.,28,58
14:06,2739,Khalil Small Defensive Rebound.,28,58
13:57,2739,Khalil Small missed Jumper.,28,58
13:57,-1,Cody McIntyre Block.,28,58
13:54,2739,Green Bay Offensive Rebound.,28,58
13:51,2739,Trevian Bell missed Jumper.,28,58
13:51,-1,Goran Zagorac Block.,28,58
13:48,2739,Green Bay Offensive Rebound.,28,58
13:34,2739,Kameron Hankerson missed Three Point Jumper.,28,58
13:34,2739,Green Bay Offensive Rebound.,28,58
13:22,-1,Jonah Matulle made Layup. Assisted by Cody McIntyre.,30,58
13:00,2739,Sukhjot Bains missed Three Point Jumper.,30,58
13:00,2739,Khalil Small Offensive Rebound.,30,58
12:57,-1,Foul on Ramar Evans.,30,58
12:52,2739,Trevian Bell missed Three Point Jumper.,30,58
12:52,-1,Jonah Matulle Defensive Rebound.,30,58
12:38,-1,Linwood Lee missed Jumper.,30,58
12:38,2739,Kameron Hankerson Defensive Rebound.,30,58
12:31,2739,Trevian Bell missed Dunk.,30,58
12:31,-1,Ramar Evans Defensive Rebound.,30,58
12:06,2739,Foul on Trevian Bell.,30,58
12:06,-1,Ramar Evans made Free Throw.,31,58
12:06,-1,Ramar Evans missed Free Throw.,31,58
12:06,2739,Green Bay Defensive Rebound.,31,58
11:55,2739,David Jesperson made Layup. Assisted by Sukhjot Bains.,31,60
11:28,-1,Cody McIntyre made Layup.,33,60
11:23,2739,David Jesperson Turnover.,33,60
11:20,-1,Ramar Evans Steal.,33,60
11:17,-1,Ramar Evans missed Layup.,33,60
11:17,2739,David Jesperson Defensive Rebound.,33,60
11:07,2739,Kameron Hankerson missed Three Point Jumper.,33,60
11:07,-1,Ramar Evans Defensive Rebound.,33,60
10:48,-1,Ramar Evans Turnover.,33,60
10:47,2739,David Jesperson Steal.,33,60
10:43,2739,Kameron Hankerson made Jumper.,33,62
10:22,2739,Foul on Sukhjot Bains.,33,62
10:22,2739,Official TV Timeout,33,62
10:22,2739,Official TV Timeout,33,62
10:08,-1,Bret Barclay missed Layup.,33,62
10:08,2739,David Jesperson Block.,33,62
10:06,-1,Bret Barclay Offensive Rebound.,33,62
10:02,-1,Bret Barclay made Layup.,35,62
9:59,2739,David Jesperson Turnover.,35,62
9:43,-1,Foul on Jameel Moore.,35,62
9:43,-1,Jameel Moore Turnover.,35,62
9:30,2739,Khalil Small made Layup.,35,64
9:22,2739,Foul on PJ Pipes.,35,64
9:11,-1,Espen Fjaerestad missed Three Point Jumper.,35,64
9:11,-1,Bret Barclay Offensive Rebound.,35,64
9:01,2739,Foul on Sukhjot Bains.,35,64
9:01,-1,Jameel Moore Turnover.,35,64
9:01,2739,Will Chevalier Steal.,35,64
9:01,2739,Hunter Crist made Jumper.,35,66
8:44,-1,Adam Bonk made Layup. Assisted by Bret Barclay.,37,66
8:24,2739,Will Chevalier made Three Point Jumper. Assisted by Kameron Hankerson.,37,69
8:18,-1,Espen Fjaerestad Turnover.,37,69
8:16,2739,Kameron Hankerson Steal.,37,69
7:56,-1,Foul on Espen Fjaerestad.,37,69
7:50,2739,Official TV Timeout,37,69
7:50,2739,PJ Pipes made Free Throw.,37,70
7:50,2739,PJ Pipes made Free Throw.,37,71
7:36,-1,Jameel Moore made Layup.,39,71
7:33,2739,Foul on PJ Pipes.,39,71
7:33,-1,Jameel Moore made Free Throw.,40,71
7:13,2739,Hunter Crist made Jumper.,40,73
6:45,-1,Goran Zagorac Turnover.,40,73
6:44,2739,PJ Pipes Steal.,40,73
6:40,2739,David Jesperson made Layup. Assisted by PJ Pipes.,40,75
6:27,-1,Cody McIntyre missed Layup.,40,75
6:27,2739,Kameron Hankerson Defensive Rebound.,40,75
6:21,2739,Hunter Crist missed Jumper.,40,75
6:21,-1,Goran Zagorac Defensive Rebound.,40,75
5:55,-1,Goran Zagorac missed Layup.,40,75
5:55,2739,Trevian Bell Defensive Rebound.,40,75
5:31,-1,Jonah Matulle missed Three Point Jumper.,40,75
5:31,-1,Goran Zagorac Offensive Rebound.,40,75
5:21,-1,Goran Zagorac made Layup. Assisted by Cody McIntyre.,42,75
5:11,2739,Trevian Bell Turnover.,42,75
5:10,-1,Jonah Matulle Steal.,42,75
5:00,-1,Riley Keckeisen missed Three Point Jumper.,42,75
5:00,2739,Hunter Crist Defensive Rebound.,42,75
4:48,2739,Will Chevalier missed Three Point Jumper.,42,75
4:48,-1,Linwood Lee Defensive Rebound.,42,75
4:37,-1,Jonah Matulle missed Three Point Jumper.,42,75
4:37,2739,Trevian Bell Defensive Rebound.,42,75
4:17,2739,Hunter Crist made Jumper.,42,77
4:04,-1,Goran Zagorac made Dunk.,44,77
3:42,2739,Hunter Crist made Three Point Jumper. Assisted by Trevian Bell.,44,80
3:27,-1,Linwood Lee missed Jumper.,44,80
3:27,-1,Goran Zagorac Offensive Rebound.,44,80
3:16,-1,Espen Fjaerestad made Three Point Jumper. Assisted by Linwood Lee.,47,80
2:53,-1,Foul on Riley Keckeisen.,47,80
2:53,2739,Official TV Timeout,47,80
2:53,2739,PJ Pipes made Free Throw.,47,81
2:53,2739,PJ Pipes made Free Throw.,47,82
2:36,-1,Bret Barclay Turnover.,47,82
2:26,2739,Will Chevalier missed Three Point Jumper.,47,82
2:26,-1,Ramar Evans Defensive Rebound.,47,82
2:08,-1,Espen Fjaerestad missed Three Point Jumper.,47,82
2:08,2739,Tyrone Powell Defensive Rebound.,47,82
1:51,-1,Foul on Linwood Lee.,47,82
1:51,2739,Manny Patterson made Free Throw.,47,83
1:51,2739,Manny Patterson made Free Throw.,47,84
1:29,-1,Bret Barclay made Three Point Jumper. Assisted by Linwood Lee.,50,84
1:02,2739,Tyrone Powell made Jumper. Assisted by Trevian Bell.,50,86
0:50,-1,Cody McIntyre missed Three Point Jumper.,50,86
0:50,2739,Tyrone Powell Defensive Rebound.,50,86
0:39,2739,Manny Patterson missed Layup.,50,86
0:39,-1,Cody McIntyre Defensive Rebound.,50,86
0:29,-1,Bret Barclay missed Three Point Jumper.,50,86
0:29,2739,Tyrone Powell Defensive Rebound.,50,86
0:00,2739,End of Game,50,86
