UNLV,279,Pacific,2439
6:04,279,Roberto Gallinat made Dunk. Assisted by Jahlil Tripp.,35,23
5:48,2439,Brandon McCoy Turnover.,35,23
5:42,279,Jahlil Tripp missed Three Point Jumper.,35,23
5:42,279,Roberto Gallinat Offensive Rebound.,35,23
5:19,279,Jahlil Tripp Turnover.,35,23
5:13,2439,Shakur Juiston Turnover.,35,23
5:11,279,Anthony Townes Steal.,35,23
5:09,279,Roberto Gallinat made Layup. Assisted by Anthony Townes.,35,25
4:52,2439,Shakur Juiston Turnover.,35,25
4:47,279,Miles Reynolds missed Jumper.,35,25
4:47,2439,Shakur Juiston Defensive Rebound.,35,25
4:31,2439,Brandon McCoy missed Dunk.,35,25
4:30,2439,Brandon McCoy Offensive Rebound.,35,25
4:29,279,Foul on Jack Williams.,35,25
4:29,2439,Brandon McCoy made Free Throw.,36,25
4:29,2439,Brandon McCoy made Free Throw.,37,25
4:14,279,Miles Reynolds made Layup.,37,27
4:00,2439,Jovan Mooring made Three Point Jumper.,40,27
3:45,279,Roberto Gallinat missed Three Point Jumper.,40,27
3:45,279,Anthony Townes Offensive Rebound.,40,27
3:34,279,Roberto Gallinat missed Layup.,40,27
3:34,279,Anthony Townes Offensive Rebound.,40,27
3:30,279,Official TV Timeout,40,27
3:16,279,Jahlil Tripp Turnover.,40,27
3:14,2439,Brandon McCoy Steal.,40,27
2:43,2439,Shakur Juiston made Layup. Assisted by Amauri Hardy.,42,27
2:28,279,Anthony Townes missed Jumper.,42,27
2:28,2439,Jordan Johnson Defensive Rebound.,42,27
2:21,2439,Amauri Hardy missed Three Point Jumper.,42,27
2:21,279,Pacific Defensive Rebound.,42,27
2:04,279,Miles Reynolds missed Jumper.,42,27
2:04,2439,Brandon McCoy Defensive Rebound.,42,27
2:04,2439,Brandon McCoy Defensive Rebound.,42,27
1:53,2439,Jordan Johnson missed Three Point Jumper.,42,27
1:53,279,Jahlil Tripp Defensive Rebound.,42,27
1:44,279,Jahlil Tripp missed Jumper.,42,27
1:44,2439,Jordan Johnson Defensive Rebound.,42,27
1:35,2439,Brandon McCoy made Layup. Assisted by Jordan Johnson.,44,27
1:35,279,Foul on Anthony Townes.,44,27
1:35,2439,Brandon McCoy made Free Throw.,45,27
1:35,279,Pacific  Timeout,45,27
1:15,279,Roberto Gallinat made Dunk. Assisted by Lafayette Dorsey.,45,29
0:44,2439,UNLV  Turnover.,45,29
0:20,279,Jack Williams missed Three Point Jumper.,45,29
0:20,279,Roberto Gallinat Offensive Rebound.,45,29
0:15,279,Roberto Gallinat made Two Point Tip Shot.,45,31
0:02,2439,Jordan Johnson missed Three Point Jumper.,45,31
0:02,279,Pacific Deadball Team Rebound.,45,31
0:00,279,End of 1st half,45,31
19:42,2439,Brandon McCoy missed Jumper.,45,31
19:42,2439,Shakur Juiston Offensive Rebound.,45,31
19:40,2439,Shakur Juiston made Layup.,47,31
19:26,279,Jahlil Tripp missed Layup.,47,31
19:26,2439,Brandon McCoy Defensive Rebound.,47,31
19:16,2439,Shakur Juiston made Layup. Assisted by Jovan Mooring.,49,31
18:58,279,Jack Williams missed Jumper.,49,31
18:58,2439,Brandon McCoy Defensive Rebound.,49,31
18:37,2439,Jordan Johnson Turnover.,49,31
18:36,279,Jahlil Tripp Steal.,49,31
18:32,279,Kendall Small missed Jumper.,49,31
18:32,279,Roberto Gallinat Offensive Rebound.,49,31
18:28,279,Roberto Gallinat made Layup.,49,33
18:00,2439,Jovan Mooring missed Three Point Jumper.,49,33
18:00,279,Jahlil Tripp Defensive Rebound.,49,33
17:50,279,Jack Williams missed Three Point Jumper.,49,33
17:50,2439,Kris Clyburn Defensive Rebound.,49,33
17:18,2439,Jordan Johnson made Three Point Jumper.,52,33
16:56,279,Anthony Townes made Layup. Assisted by Roberto Gallinat.,52,35
16:47,279,Foul on Anthony Townes.,52,35
16:47,2439,Brandon McCoy missed Free Throw.,52,35
16:47,2439,UNLV Deadball Team Rebound.,52,35
16:47,2439,Brandon McCoy missed Free Throw.,52,35
16:47,2439,Kris Clyburn Offensive Rebound.,52,35
16:46,2439,Kris Clyburn missed Jumper.,52,35
16:46,279,Jahlil Tripp Defensive Rebound.,52,35
16:41,279,Kendall Small made Layup. Assisted by Jahlil Tripp.,52,37
16:39,2439,Foul on Jovan Mooring.,52,37
16:38,279,Kendall Small missed Free Throw.,52,37
16:38,2439,Shakur Juiston Defensive Rebound.,52,37
16:31,2439,Kris Clyburn Turnover.,52,37
16:23,279,Jahlil Tripp Turnover.,52,37
16:23,279,Foul on Jahlil Tripp.,52,37
16:05,279,Foul on Kendall Small.,52,37
16:05,2439,Shakur Juiston missed Free Throw.,52,37
16:05,2439,UNLV Deadball Team Rebound.,52,37
16:05,2439,Shakur Juiston made Free Throw.,53,37
15:55,279,Jahlil Tripp missed Jumper.,53,37
15:55,2439,Brandon McCoy Defensive Rebound.,53,37
15:47,2439,Shakur Juiston missed Layup.,53,37
15:47,279,Namdi Okonkwo Defensive Rebound.,53,37
15:22,279,Roberto Gallinat missed Jumper.,53,37
15:22,279,Jack Williams Offensive Rebound.,53,37
15:17,279,Jack Williams made Jumper.,53,39
15:03,2439,Shakur Juiston made Layup. Assisted by Jovan Mooring.,55,39
14:43,279,Kendall Small made Jumper.,55,41
14:31,2439,Jovan Mooring missed Three Point Jumper.,55,41
14:31,2439,Brandon McCoy Offensive Rebound.,55,41
14:28,2439,Brandon McCoy made Layup.,57,41
14:04,279,Kendall Small made Jumper.,57,43
13:52,279,Foul on Kendall Small.,57,43
13:52,279,Official TV Timeout,57,43
13:41,2439,Jordan Johnson missed Layup.,57,43
13:41,279,Jahlil Tripp Defensive Rebound.,57,43
13:35,279,Jahlil Tripp missed Jumper.,57,43
13:35,2439,Shakur Juiston Defensive Rebound.,57,43
13:35,279,Miles Reynolds missed Layup.,57,43
13:35,2439,Cheickna Dembele Block.,57,43
13:35,279,Pacific Offensive Rebound.,57,43
13:26,2439,Shakur Juiston Turnover.,57,43
13:05,2439,Foul on Shakur Juiston.,57,43
12:54,279,Kendall Small Turnover.,57,43
12:53,2439,Anthony Smith Steal.,57,43
12:51,2439,Anthony Smith Turnover.,57,43
12:50,279,Miles Reynolds Steal.,57,43
12:47,279,Lafayette Dorsey missed Three Point Jumper.,57,43
12:47,279,Namdi Okonkwo Offensive Rebound.,57,43
12:44,279,Namdi Okonkwo made Dunk.,57,45
12:41,2439,Jordan Johnson missed Jumper.,57,45
12:41,279,Namdi Okonkwo Block.,57,45
12:41,279,Miles Reynolds Defensive Rebound.,57,45
12:41,2439,Foul on Amauri Hardy.,57,45
12:15,279,Kendall Small missed Free Throw.,57,45
12:15,279,Pacific Deadball Team Rebound.,57,45
12:15,279,Kendall Small made Free Throw.,57,46
11:53,2439,Jordan Johnson made Three Point Jumper. Assisted by Amauri Hardy.,60,46
11:38,279,Namdi Okonkwo made Dunk. Assisted by Lafayette Dorsey.,60,48
11:14,279,Foul on Namdi Okonkwo.,60,48
11:04,279,Foul on Namdi Okonkwo.,60,48
11:04,2439,Tervell Beck made Free Throw.,61,48
11:04,2439,Tervell Beck missed Free Throw.,61,48
11:04,279,Lafayette Dorsey Defensive Rebound.,61,48
10:50,279,Miles Reynolds missed Layup.,61,48
10:50,279,Namdi Okonkwo Offensive Rebound.,61,48
10:47,279,Namdi Okonkwo made Dunk.,61,50
10:32,2439,Tervell Beck made Layup.,63,50
10:09,279,Foul on Miles Reynolds.,63,50
10:09,279,Miles Reynolds Turnover.,63,50
9:48,2439,Jovan Mooring Turnover.,63,50
9:47,279,Jahlil Tripp Steal.,63,50
9:44,279,Miles Reynolds made Layup. Assisted by Jahlil Tripp.,63,52
9:31,2439,Jovan Mooring missed Jumper.,63,52
9:31,279,Miles Reynolds Defensive Rebound.,63,52
9:08,2439,Foul on Tervell Beck.,63,52
8:52,279,Jahlil Tripp missed Three Point Jumper.,63,52
8:52,2439,Jordan Johnson Defensive Rebound.,63,52
8:37,2439,Shakur Juiston missed Layup.,63,52
8:37,279,Namdi Okonkwo Block.,63,52
8:37,279,Namdi Okonkwo Defensive Rebound.,63,52
8:32,279,Lafayette Dorsey made Layup. Assisted by Namdi Okonkwo.,63,54
8:19,2439,UNLV  Timeout,63,54
8:19,279,Official TV Timeout,63,54
8:04,279,Foul on Namdi Okonkwo.,63,54
8:04,2439,Brandon McCoy made Free Throw.,64,54
8:04,2439,Brandon McCoy made Free Throw.,65,54
7:52,279,Kendall Small made Jumper.,65,56
7:38,279,Foul on Anthony Townes.,65,56
7:38,279,Official TV Timeout,65,56
7:38,2439,Shakur Juiston missed Free Throw.,65,56
7:38,279,Anthony Townes Defensive Rebound.,65,56
7:23,2439,Foul on Kris Clyburn.,65,56
7:23,279,Jahlil Tripp missed Free Throw.,65,56
7:23,279,Pacific Deadball Team Rebound.,65,56
7:23,279,Jahlil Tripp made Free Throw.,65,57
7:07,279,Foul on Roberto Gallinat.,65,57
7:07,2439,Jovan Mooring made Free Throw.,66,57
7:07,2439,Jovan Mooring made Free Throw.,67,57
6:53,279,Jahlil Tripp Turnover.,67,57
6:53,279,Foul on Jahlil Tripp.,67,57
6:32,2439,Brandon McCoy missed Layup.,67,57
6:32,279,Jack Williams Defensive Rebound.,67,57
6:24,279,Jahlil Tripp made Layup. Assisted by Kendall Small.,67,59
6:05,2439,Brandon McCoy made Layup. Assisted by Jovan Mooring.,69,59
5:56,279,Kendall Small made Jumper.,69,61
5:30,2439,Jovan Mooring missed Three Point Jumper.,69,61
5:30,2439,Jordan Johnson Offensive Rebound.,69,61
5:24,279,Foul on Kendall Small.,69,61
5:24,2439,Jordan Johnson made Free Throw.,70,61
5:24,2439,Jordan Johnson made Free Throw.,71,61
5:00,279,Roberto Gallinat missed Layup.,71,61
5:00,279,Namdi Okonkwo Offensive Rebound.,71,61
5:00,279,Namdi Okonkwo Offensive Rebound.,71,61
4:55,2439,Foul on Cheickna Dembele.,71,61
4:55,279,Namdi Okonkwo made Free Throw.,71,62
4:55,279,Namdi Okonkwo made Free Throw.,71,63
4:29,2439,Jordan Johnson made Jumper.,73,63
4:12,279,Roberto Gallinat missed Jumper.,73,63
4:12,2439,Jordan Johnson Defensive Rebound.,73,63
3:54,2439,Shakur Juiston missed Layup.,73,63
3:54,279,Namdi Okonkwo Block.,73,63
3:54,279,Jack Williams Defensive Rebound.,73,63
3:49,279,Official TV Timeout,73,63
3:41,279,Jack Williams Turnover.,73,63
3:40,279,Roberto Gallinat made Layup.,73,65
3:17,2439,Foul on Brandon McCoy.,73,65
3:17,2439,Brandon McCoy Turnover.,73,65
3:05,279,Roberto Gallinat missed Jumper.,73,65
3:05,2439,Jordan Johnson Defensive Rebound.,73,65
2:59,279,Foul on Roberto Gallinat.,73,65
2:59,2439,Brandon McCoy made Free Throw.,74,65
2:59,2439,Brandon McCoy made Free Throw.,75,65
2:23,2439,Shakur Juiston missed Jumper.,75,65
2:23,2439,Brandon McCoy Offensive Rebound.,75,65
2:20,2439,Brandon McCoy made Two Point Tip Shot.,77,65
1:59,2439,Foul on Jovan Mooring.,77,65
1:59,279,Kendall Small made Free Throw.,77,66
1:59,279,Kendall Small made Free Throw.,77,67
1:53,2439,Jordan Johnson Turnover.,77,67
1:42,279,Kendall Small missed Jumper.,77,67
1:42,2439,Brandon McCoy Defensive Rebound.,77,67
1:26,2439,Jovan Mooring Turnover.,77,67
1:26,2439,Foul on Jovan Mooring.,77,67
1:19,279,Jack Williams missed Three Point Jumper.,77,67
1:19,279,Jack Williams Offensive Rebound.,77,67
1:14,2439,Foul on Shakur Juiston.,77,67
1:14,279,Miles Reynolds made Free Throw.,77,68
1:14,279,Miles Reynolds missed Free Throw.,77,68
1:14,2439,Brandon McCoy Defensive Rebound.,77,68
0:50,2439,Jordan Johnson Turnover.,77,68
0:43,279,Roberto Gallinat missed Three Point Jumper.,77,68
0:43,279,Jahlil Tripp Offensive Rebound.,77,68
0:39,279,Jahlil Tripp missed Layup.,77,68
0:39,2439,Brandon McCoy Defensive Rebound.,77,68
0:29,279,Foul on Roberto Gallinat.,77,68
0:29,2439,Jordan Johnson made Free Throw.,78,68
0:29,2439,Jordan Johnson made Free Throw.,79,68
0:29,279,Pacific  Timeout,79,68
0:11,279,Namdi Okonkwo made Layup.,79,70
0:11,2439,Foul on Brandon McCoy.,79,70
0:11,279,Namdi Okonkwo made Free Throw.,79,71
0:11,2439,Shakur Juiston Turnover.,79,71
0:11,279,Kendall Small Steal.,79,71
0:10,279,Kendall Small made Three Point Jumper.,79,74
0:08,279,Foul on Miles Reynolds.,79,74
0:08,2439,Jovan Mooring made Free Throw.,80,74
0:08,2439,Jovan Mooring made Free Throw.,81,74
0:04,2439,Foul on Shakur Juiston.,81,74
0:04,279,Kendall Small made Free Throw.,81,75
0:04,279,Kendall Small made Free Throw.,81,76
0:00,279,End of 2nd half,81,76
