Arkansas State,2226,Florida Atlantic,2032
10:38,2032,Ty Cockfield missed Jumper.,19,8
10:38,2032,Arkansas State Offensive Rebound.,19,8
10:37,2226,Foul on Je'Quan Perry.,19,8
10:31,2032,Grantham Gillard missed Three Point Jumper.,19,8
10:31,2226,Gerdarius Troutman Defensive Rebound.,19,8
10:16,2226,Ronald Delph made Jumper. Assisted by Gerdarius Troutman.,19,10
9:59,2032,Deven Simms Turnover.,19,10
9:58,2226,Justin Massey Steal.,19,10
9:49,2226,Justin Massey missed Layup.,19,10
9:49,2032,Tamas Bruce Defensive Rebound.,19,10
9:45,2032,Grantham Gillard missed Layup.,19,10
9:45,2226,Ronald Delph Defensive Rebound.,19,10
9:23,2032,Foul on Tamas Bruce.,19,10
9:23,2226,Anthony Adger made Free Throw.,19,11
9:23,2226,Anthony Adger made Free Throw.,19,12
9:13,2032,Marquis Eaton made Jumper.,21,12
8:46,2226,Foul on Anthony Adger.,21,12
8:46,2226,Anthony Adger Turnover.,21,12
8:29,2032,Salif Boudie made Layup. Assisted by Marquis Eaton.,23,12
8:12,2226,Ronald Delph made Layup. Assisted by Anthony Adger.,23,14
7:46,2032,Grantham Gillard missed Three Point Jumper.,23,14
7:46,2226,Gerdarius Troutman Defensive Rebound.,23,14
7:34,2226,Anthony Adger missed Three Point Jumper.,23,14
7:34,2032,Salif Boudie Defensive Rebound.,23,14
7:10,2032,Rashad Lindsey missed Layup.,23,14
7:10,2032,Salif Boudie Offensive Rebound.,23,14
7:02,2032,Marquis Eaton made Layup.,25,14
6:37,2226,Justin Massey missed Layup.,25,14
6:37,2032,Grantham Gillard Defensive Rebound.,25,14
6:30,2032,Rashad Lindsey missed Jumper.,25,14
6:30,2032,Grantham Gillard Offensive Rebound.,25,14
6:25,2032,Connor Kern missed Three Point Jumper.,25,14
6:25,2032,Grantham Gillard Offensive Rebound.,25,14
6:17,2226,Foul on Ronald Delph.,25,14
6:17,2226,Official TV Timeout,25,14
6:17,2032,Salif Boudie made Free Throw.,26,14
6:17,2032,Salif Boudie missed Free Throw.,26,14
6:17,2226,William Pfister Defensive Rebound.,26,14
6:02,2226,Jailyn Ingram missed Jumper.,26,14
6:02,2032,Salif Boudie Block.,26,14
5:59,2032,Connor Kern Defensive Rebound.,26,14
5:34,2032,Rashad Lindsey missed Three Point Jumper.,26,14
5:34,2032,Arkansas State Offensive Rebound.,26,14
5:33,2226,Foul on William Pfister.,26,14
5:33,2032,Salif Boudie missed Free Throw.,26,14
5:33,2226,Jailyn Ingram Defensive Rebound.,26,14
5:10,2226,William Pfister made Layup. Assisted by Gerdarius Troutman.,26,16
4:47,2032,Connor Kern Turnover.,26,16
4:30,2226,Jailyn Ingram made Layup.,26,18
4:19,2032,Deven Simms missed Jumper.,26,18
4:19,2226,Jailyn Ingram Defensive Rebound.,26,18
4:12,2226,Anthony Adger missed Jumper.,26,18
4:12,2032,Deven Simms Defensive Rebound.,26,18
3:55,2032,Foul on Jake Scoggins.,26,18
3:55,2032,Jake Scoggins Turnover.,26,18
3:55,2226,Official TV Timeout,26,18
3:41,2032,Foul on Ty Cockfield.,26,18
3:41,2226,Anthony Adger missed Free Throw.,26,18
3:41,2226,Anthony Adger made Free Throw.,26,19
3:30,2032,Tristin Walley made Three Point Jumper. Assisted by Deven Simms.,29,19
3:10,2226,Justin Massey missed Three Point Jumper.,29,19
3:10,2032,Tristin Walley Defensive Rebound.,29,19
2:59,2032,Ty Cockfield missed Layup.,29,19
2:59,2226,William Pfister Defensive Rebound.,29,19
2:49,2226,Anthony Adger made Jumper.,29,21
2:24,2032,Marquis Eaton Turnover.,29,21
2:08,2226,Jailyn Ingram missed Jumper.,29,21
2:08,2032,Deven Simms Defensive Rebound.,29,21
2:03,2032,Technical Foul on Arkansas State.,29,21
2:03,2226,Gerdarius Troutman made Free Throw.,29,22
2:03,2226,Gerdarius Troutman made Free Throw.,29,23
1:51,2226,Foul on William Pfister.,29,23
1:51,2032,Tristin Walley missed Free Throw.,29,23
1:51,2032,Arkansas State Deadball Team Rebound.,29,23
1:51,2032,Tristin Walley missed Free Throw.,29,23
1:51,2226,Ronald Delph Defensive Rebound.,29,23
1:22,2032,Foul on Jake Scoggins.,29,23
1:22,2226,Justin Massey Turnover.,29,23
1:01,2032,Deven Simms missed Layup.,29,23
1:01,2226,Ronald Delph Defensive Rebound.,29,23
0:52,2226,Gerdarius Troutman made Three Point Jumper.,29,26
0:42,2032,Arkansas State  Timeout,29,26
0:32,2226,Foul on Amir Smith.,29,26
0:32,2032,Deven Simms missed Free Throw.,29,26
0:32,2032,Arkansas State Deadball Team Rebound.,29,26
0:32,2032,Deven Simms missed Free Throw.,29,26
0:32,2226,Amir Smith Defensive Rebound.,29,26
0:05,2226,Gerdarius Troutman made Three Point Jumper. Assisted by Anthony Adger.,29,29
0:00,2226,End of 1st half,29,29
19:48,2032,Deven Simms made Jumper.,31,29
19:17,2226,Anthony Adger made Jumper.,31,31
19:02,2032,Tamas Bruce made Layup. Assisted by Tristin Walley.,33,31
18:43,2226,Foul on Ronald Delph.,33,31
18:43,2226,Ronald Delph Turnover.,33,31
18:26,2226,Foul on Simeon Lepichev.,33,31
18:26,2032,Tamas Bruce made Free Throw.,34,31
18:26,2032,Tamas Bruce missed Free Throw.,34,31
18:26,2032,Arkansas State Deadball Team Rebound.,34,31
18:01,2226,Jailyn Ingram made Jumper. Assisted by Anthony Adger.,34,33
17:14,2226,Foul on William Pfister.,34,33
17:00,2032,Tristin Walley Turnover.,34,33
16:51,2226,Gerdarius Troutman missed Jumper.,34,33
16:51,2032,Deven Simms Defensive Rebound.,34,33
16:46,2032,Deven Simms made Jumper.,36,33
16:24,2226,Jailyn Ingram Turnover.,36,33
16:22,2032,Ty Cockfield Steal.,36,33
16:22,2226,Foul on Gerdarius Troutman.,36,33
16:13,2032,Deven Simms Turnover.,36,33
16:13,2226,Jailyn Ingram Steal.,36,33
16:08,2226,Justin Massey made Three Point Jumper. Assisted by Anthony Adger.,36,36
15:47,2032,Rashad Lindsey missed Three Point Jumper.,36,36
15:47,2032,Arkansas State Offensive Rebound.,36,36
15:45,2226,Foul on Justin Massey.,36,36
15:44,2226,Official TV Timeout,36,36
15:24,2032,Ty Cockfield missed Jumper.,36,36
15:24,2032,Deven Simms Offensive Rebound.,36,36
15:15,2032,Tristin Walley missed Layup.,36,36
15:15,2226,Defensive Rebound.,36,36
15:15,2032,Foul on Tamas Bruce.,36,36
15:15,2032,Tamas Bruce Turnover.,36,36
14:57,2032,Foul on Salif Boudie.,36,36
14:57,2226,Simeon Lepichev missed Free Throw.,36,36
14:57,2226,Simeon Lepichev made Free Throw.,36,37
14:41,2032,Deven Simms missed Three Point Jumper.,36,37
14:41,2032,Arkansas State Offensive Rebound.,36,37
14:40,2226,Foul on Simeon Lepichev.,36,37
14:33,2032,Tristin Walley Turnover.,36,37
14:26,2226,Jailyn Ingram Turnover.,36,37
14:25,2032,Rashad Lindsey Steal.,36,37
14:24,2032,Rashad Lindsey missed Layup.,36,37
14:24,2226,Jailyn Ingram Defensive Rebound.,36,37
14:05,2226,Gerdarius Troutman made Three Point Jumper. Assisted by Justin Massey.,36,40
13:42,2032,Ty Cockfield made Three Point Jumper.,39,40
13:39,2032,Arkansas State  Timeout,39,40
13:37,2226,Jailyn Ingram missed Jumper.,39,40
13:37,2032,Salif Boudie Defensive Rebound.,39,40
12:57,2226,Foul on Jailyn Ingram.,39,40
12:57,2032,Salif Boudie made Free Throw.,40,40
12:57,2032,Salif Boudie made Free Throw.,41,40
12:39,2226,Jailyn Ingram missed Layup.,41,40
12:39,2226,Offensive Rebound.,41,40
12:39,2032,Foul on Deven Simms.,41,40
12:39,2226,Devorious Brown Turnover.,41,40
12:21,2032,Marquis Eaton Turnover.,41,40
12:20,2226,Gerdarius Troutman Steal.,41,40
12:17,2226,Gerdarius Troutman Turnover.,41,40
12:14,2032,Marquis Eaton Steal.,41,40
12:11,2032,Ty Cockfield made Layup. Assisted by Marquis Eaton.,43,40
11:58,2226,Jailyn Ingram made Jumper. Assisted by Justin Massey.,43,42
11:58,2032,Foul on Salif Boudie.,43,42
11:58,2226,Official TV Timeout,43,42
11:58,2226,Jailyn Ingram made Free Throw.,43,43
11:46,2032,Marquis Eaton Turnover.,43,43
11:30,2226,Jailyn Ingram Turnover.,43,43
11:17,2032,Ty Cockfield missed Three Point Jumper.,43,43
11:17,2226,Jailyn Ingram Defensive Rebound.,43,43
11:11,2226,Jailyn Ingram Turnover.,43,43
11:10,2032,Deven Simms Steal.,43,43
11:04,2032,Grantham Gillard missed Three Point Jumper.,43,43
11:04,2032,Ty Cockfield Offensive Rebound.,43,43
10:46,2032,Ty Cockfield made Layup.,45,43
10:46,2226,Foul on Amir Smith.,45,43
10:46,2032,Ty Cockfield missed Free Throw.,45,43
10:46,2226,Ronald Delph Defensive Rebound.,45,43
10:27,2226,Gerdarius Troutman missed Three Point Jumper.,45,43
10:27,2032,Deven Simms Defensive Rebound.,45,43
10:16,2032,Ty Cockfield Turnover.,45,43
10:15,2226,Ronald Delph Steal.,45,43
10:11,2226,Justin Massey missed Three Point Jumper.,45,43
10:11,2226,Ronald Delph Offensive Rebound.,45,43
10:07,2226,Ronald Delph made Jumper.,45,45
9:58,2032,Deven Simms made Jumper.,47,45
9:51,2226,Ronald Delph missed Jumper.,47,45
9:51,2226,Je'Quan Perry Offensive Rebound.,47,45
9:48,2226,Je'Quan Perry missed Layup.,47,45
9:48,2226,Ronald Delph Offensive Rebound.,47,45
9:46,2226,Ronald Delph made Dunk.,47,47
9:37,2032,Deven Simms missed Jumper.,47,47
9:37,2032,Deven Simms Offensive Rebound.,47,47
9:33,2032,Deven Simms missed Layup.,47,47
9:33,2226,Justin Massey Defensive Rebound.,47,47
9:13,2032,Foul on Deven Simms.,47,47
9:08,2226,Ronald Delph made Jumper. Assisted by Justin Massey.,47,49
8:42,2226,Foul on Devorious Brown.,47,49
8:42,2032,Ty Cockfield made Free Throw.,48,49
8:42,2032,Ty Cockfield missed Free Throw.,48,49
8:42,2226,Gerdarius Troutman Defensive Rebound.,48,49
8:23,2226,Ronald Delph made Jumper. Assisted by Justin Massey.,48,51
8:01,2032,Tamas Bruce made Layup. Assisted by Marquis Eaton.,50,51
8:01,2032,Foul on Tamas Bruce.,50,51
8:01,2032,Technical Foul on Tamas Bruce.,50,51
8:01,2226,Gerdarius Troutman missed Free Throw.,50,51
8:01,2226,Gerdarius Troutman made Free Throw.,50,52
7:51,2226,Official TV Timeout,50,52
7:41,2032,Foul on Salif Boudie.,50,52
7:41,2226,Ronald Delph made Free Throw.,50,53
7:41,2226,Ronald Delph made Free Throw.,50,54
7:22,2226,Foul on Gerdarius Troutman.,50,54
7:22,2032,Marquis Eaton made Free Throw.,51,54
7:22,2032,Marquis Eaton missed Free Throw.,51,54
7:22,2226,Je'Quan Perry Defensive Rebound.,51,54
6:53,2226,Je'Quan Perry missed Jumper.,51,54
6:53,2032,Deven Simms Defensive Rebound.,51,54
6:23,2032,Deven Simms made Three Point Jumper. Assisted by Marquis Eaton.,54,54
6:18,2226,Florida Atlantic  Timeout,54,54
5:53,2226,William Pfister made Layup. Assisted by Justin Massey.,54,56
5:31,2032,Deven Simms made Jumper.,56,56
5:20,2226,William Pfister Turnover.,56,56
5:18,2032,Deven Simms Steal.,56,56
5:13,2032,Salif Boudie missed Jumper.,56,56
5:13,2226,Ronald Delph Defensive Rebound.,56,56
4:53,2226,Anthony Adger missed Layup.,56,56
4:53,2226,William Pfister Offensive Rebound.,56,56
4:49,2226,Justin Massey missed Three Point Jumper.,56,56
4:49,2032,Tristin Walley Defensive Rebound.,56,56
4:25,2032,Marquis Eaton made Layup.,58,56
4:16,2226,William Pfister Turnover.,58,56
4:15,2032,Tristin Walley Steal.,58,56
3:53,2032,Deven Simms missed Three Point Jumper.,58,56
3:53,2226,Anthony Adger Defensive Rebound.,58,56
3:47,2226,Anthony Adger made Jumper.,58,58
3:24,2032,Ty Cockfield missed Jumper.,58,58
3:24,2226,Ronald Delph Block.,58,58
3:22,2032,Tristin Walley Offensive Rebound.,58,58
3:19,2032,Tristin Walley missed Three Point Jumper.,58,58
3:19,2226,Gerdarius Troutman Defensive Rebound.,58,58
3:02,2226,Official TV Timeout,58,58
2:56,2032,Foul on Tamas Bruce.,58,58
2:56,2226,Gerdarius Troutman made Free Throw.,58,59
2:56,2226,Gerdarius Troutman made Free Throw.,58,60
2:56,2226,Gerdarius Troutman made Free Throw.,58,61
2:40,2032,Arkansas State  Timeout,58,61
2:26,2032,Deven Simms missed Three Point Jumper.,58,61
2:26,2226,Gerdarius Troutman Defensive Rebound.,58,61
1:59,2226,Anthony Adger missed Three Point Jumper.,58,61
1:59,2032,Deven Simms Defensive Rebound.,58,61
1:39,2032,Rashad Lindsey made Jumper.,60,61
1:35,2226,Florida Atlantic  Timeout,60,61
1:07,2226,Gerdarius Troutman missed Three Point Jumper.,60,61
1:07,2032,Salif Boudie Defensive Rebound.,60,61
0:48,2032,Rashad Lindsey missed Three Point Jumper.,60,61
0:48,2226,Defensive Rebound.,60,61
0:45,2032,Foul on Salif Boudie.,60,61
0:45,2226,Justin Massey made Free Throw.,60,62
0:45,2226,Justin Massey made Free Throw.,60,63
0:32,2032,Deven Simms made Jumper.,62,63
0:31,2032,Arkansas State  Timeout,62,63
0:21,2226,Gerdarius Troutman Turnover.,62,63
0:19,2032,Rashad Lindsey Steal.,62,63
0:06,2032,Ty Cockfield missed Layup.,62,63
0:06,2032,Ty Cockfield Offensive Rebound.,62,63
0:00,2032,Rashad Lindsey made Jumper.,64,63
0:00,2226,End of Game,64,63
