Arkansas-Pine Bluff,2692,Weber State,2029
15:32,2692,Jerrick Harding Turnover.,39,60
15:29,2692,Official TV Timeout,39,60
15:07,2692,Foul on Jerrick Harding.,39,60
15:07,2029,Martaveous McKnight missed Free Throw.,39,60
15:07,2029,Arkansas-Pine Bluff Deadball Team Rebound.,39,60
15:07,2029,Martaveous McKnight made Free Throw.,40,60
15:07,2029,Martaveous McKnight made Free Throw.,41,60
14:51,2692,Michal Kozak missed Three Point Jumper.,41,60
14:51,2029,Christian Robertson Defensive Rebound.,41,60
14:34,2029,Terrance Banyard missed Jumper.,41,60
14:34,2029,Christian Robertson Offensive Rebound.,41,60
14:28,2029,Charles Jackson missed Three Point Jumper.,41,60
14:28,2692,Ryan Richardson Defensive Rebound.,41,60
14:21,2692,Jerrick Harding made Three Point Jumper. Assisted by Dusty Baker.,41,63
13:54,2692,Foul on Michal Kozak.,41,63
13:54,2029,Christian Robertson missed Free Throw.,41,63
13:54,2029,Arkansas-Pine Bluff Deadball Team Rebound.,41,63
13:54,2029,Christian Robertson missed Free Throw.,41,63
13:54,2692,Dusty Baker Defensive Rebound.,41,63
13:49,2029,Foul on Trent Steen.,41,63
13:39,2029,Foul on Christian Robertson.,41,63
13:39,2692,Jerrick Harding made Free Throw.,41,64
13:39,2692,Jerrick Harding made Free Throw.,41,65
13:39,2692,Jerrick Harding made Free Throw.,41,66
13:29,2029,Joe'Randle Toliver missed Three Point Jumper.,41,66
13:29,2692,Michal Kozak Defensive Rebound.,41,66
13:12,2029,Foul on William Ridgell.,41,66
13:12,2692,Jerrick Harding made Free Throw.,41,67
13:12,2692,Jerrick Harding made Free Throw.,41,68
13:12,2692,Jerrick Harding made Free Throw.,41,69
12:53,2692,Foul on Jordan Dallas.,41,69
12:53,2029,Trent Steen made Free Throw.,42,69
12:53,2029,Trent Steen missed Free Throw.,42,69
12:53,2692,Dusty Baker Defensive Rebound.,42,69
12:44,2029,Foul on Joe'Randle Toliver.,42,69
12:44,2692,Dusty Baker made Free Throw.,42,70
12:44,2692,Dusty Baker made Free Throw.,42,71
12:35,2029,Trent Steen missed Three Point Jumper.,42,71
12:35,2029,Christian Robertson Offensive Rebound.,42,71
12:32,2692,Foul on Ricky Nelson.,42,71
12:27,2029,Martaveous McKnight made Jumper.,44,71
12:27,2692,Foul on Jerrick Harding.,44,71
12:27,2029,Martaveous McKnight made Free Throw.,45,71
12:13,2692,Ryan Richardson missed Jumper.,45,71
12:13,2692,Jordan Dallas Offensive Rebound.,45,71
12:09,2692,Jordan Dallas missed Jumper.,45,71
12:09,2692,Weber State Offensive Rebound.,45,71
11:53,2692,Ricky Nelson made Three Point Jumper. Assisted by Michal Kozak.,45,74
11:37,2029,Martaveous McKnight missed Three Point Jumper.,45,74
11:37,2692,Trevon Ary-Turner Defensive Rebound.,45,74
11:28,2692,Ryan Richardson Turnover.,45,74
11:26,2029,Trent Steen Steal.,45,74
11:23,2029,Trent Steen missed Layup.,45,74
11:23,2029,Cameron Posey Offensive Rebound.,45,74
11:19,2029,Christian Robertson missed Layup.,45,74
11:19,2692,Jordan Dallas Defensive Rebound.,45,74
11:02,2692,Ryan Richardson made Three Point Jumper. Assisted by Ricky Nelson.,45,77
10:50,2692,Official TV Timeout,45,77
10:22,2029,Charles Jackson made Jumper.,47,77
9:57,2692,Dusty Baker missed Three Point Jumper.,47,77
9:57,2029,Martaveous McKnight Defensive Rebound.,47,77
9:54,2692,Foul on Zach Braxton.,47,77
9:54,2029,Martaveous McKnight made Free Throw.,48,77
9:54,2029,Martaveous McKnight made Free Throw.,49,77
9:54,2029,Foul on Joe'Randle Toliver.,49,77
9:54,2692,Ricky Nelson made Free Throw.,49,78
9:54,2692,Ricky Nelson made Free Throw.,49,79
9:30,2029,Martaveous McKnight made Three Point Jumper.,52,79
9:16,2692,Zach Braxton made Dunk. Assisted by Dusty Baker.,52,81
8:52,2029,Martaveous McKnight made Three Point Jumper.,55,81
8:47,2029,Arkansas-Pine Bluff  Timeout,55,81
8:38,2692,Ryan Richardson missed Jumper.,55,81
8:38,2029,Artavious Mcdyees Defensive Rebound.,55,81
8:18,2029,Cameron Posey Turnover.,55,81
8:16,2692,Zach Braxton Steal.,55,81
8:13,2692,Trevon Ary-Turner missed Three Point Jumper.,55,81
8:13,2029,Charles Jackson Defensive Rebound.,55,81
8:01,2029,Martaveous McKnight made Three Point Jumper.,58,81
7:46,2692,Zach Braxton made Dunk. Assisted by Trevon Ary-Turner.,58,83
7:24,2029,Martaveous McKnight missed Jumper.,58,83
7:24,2692,Trevon Ary-Turner Defensive Rebound.,58,83
7:14,2029,Foul on Charles Jackson.,58,83
7:14,2692,Official TV Timeout,58,83
7:14,2692,Zach Braxton made Free Throw.,58,84
7:14,2692,Zach Braxton missed Free Throw.,58,84
7:14,2029,Travon Harper Defensive Rebound.,58,84
6:53,2029,Artavious Mcdyees missed Layup.,58,84
6:53,2029,Artavious Mcdyees Offensive Rebound.,58,84
6:49,2029,Martaveous McKnight Turnover.,58,84
6:26,2692,Ryan Richardson missed Three Point Jumper.,58,84
6:26,2692,Zach Braxton Offensive Rebound.,58,84
6:23,2029,Foul on Travon Harper.,58,84
6:23,2692,Zach Braxton made Free Throw.,58,85
6:23,2692,Zach Braxton missed Free Throw.,58,85
6:23,2029,Joe'Randle Toliver Defensive Rebound.,58,85
6:01,2029,Trent Steen made Layup.,60,85
5:49,2692,Dusty Baker missed Three Point Jumper.,60,85
5:49,2692,Zach Braxton Offensive Rebound.,60,85
5:47,2029,Foul on Charles Jackson.,60,85
5:47,2692,Zach Braxton missed Free Throw.,60,85
5:47,2692,Weber State Deadball Team Rebound.,60,85
5:47,2692,Zach Braxton missed Free Throw.,60,85
5:47,2029,Trent Steen Defensive Rebound.,60,85
5:35,2029,Martaveous McKnight made Three Point Jumper. Assisted by Charles Jackson.,63,85
5:13,2692,Jordan Dallas made Layup. Assisted by Trevon Ary-Turner.,63,87
5:13,2029,Foul on Trent Steen.,63,87
5:13,2692,Jordan Dallas missed Free Throw.,63,87
5:13,2029,Travon Harper Defensive Rebound.,63,87
4:56,2029,Martaveous McKnight missed Three Point Jumper.,63,87
4:56,2029,Joe'Randle Toliver Offensive Rebound.,63,87
4:46,2029,Trent Steen missed Layup.,63,87
4:46,2692,Zach Braxton Defensive Rebound.,63,87
4:38,2692,Jordan Dallas made Layup. Assisted by Ricky Nelson.,63,89
4:14,2029,Travon Harper made Layup. Assisted by Trent Steen.,65,89
3:53,2692,Jordan Dallas Turnover.,65,89
3:53,2692,Official TV Timeout,65,89
3:37,2029,Joe'Randle Toliver missed Three Point Jumper.,65,89
3:37,2692,Zach Braxton Defensive Rebound.,65,89
3:00,2692,Riley Court made Layup. Assisted by Jordan Dallas.,65,91
2:41,2029,Travon Harper made Dunk. Assisted by Trent Steen.,67,91
2:26,2692,Riley Court made Three Point Jumper. Assisted by Ricky Nelson.,67,94
1:57,2029,Martaveous McKnight missed Three Point Jumper.,67,94
1:57,2692,Zach Braxton Defensive Rebound.,67,94
1:53,2029,Foul on Travon Harper.,67,94
1:53,2692,Zach Braxton made Free Throw.,67,95
1:53,2692,Zach Braxton made Free Throw.,67,96
1:42,2029,Artavious Mcdyees made Layup. Assisted by Martaveous McKnight.,69,96
1:22,2692,Ricky Nelson missed Three Point Jumper.,69,96
1:22,2029,Artavious Mcdyees Defensive Rebound.,69,96
1:14,2029,Joe'Randle Toliver made Three Point Jumper. Assisted by Martaveous McKnight.,72,96
0:54,2692,Jordan Dallas Turnover.,72,96
0:52,2029,Joe'Randle Toliver Steal.,72,96
0:48,2692,Foul on Brenden Morris.,72,96
0:48,2029,Terrance Banyard missed Free Throw.,72,96
0:48,2029,Arkansas-Pine Bluff Deadball Team Rebound.,72,96
0:48,2029,Terrance Banyard made Free Throw.,73,96
0:24,2029,Foul on Artavious Mcdyees.,73,96
0:24,2692,Ricky Nelson missed Free Throw.,73,96
0:24,2692,Weber State Deadball Team Rebound.,73,96
0:24,2692,Ricky Nelson missed Free Throw.,73,96
0:24,2029,Terrance Banyard Defensive Rebound.,73,96
0:03,2692,Foul on Jordan Dallas.,73,96
0:03,2029,Terrance Banyard made Free Throw.,74,96
0:03,2029,Terrance Banyard missed Free Throw.,74,96
0:03,2692,Brenden Morris Defensive Rebound.,74,96
0:00,2692,End of Game,74,96
