Linfield College,Error,Portland St,2502
15:59,-1,Tyler Watts Defensive Rebound.,4,5
15:52,-1,Dempsey Roggenbuck missed Layup.,4,5
15:52,2502,Bryce Canda Block.,4,5
15:51,-1,Parker Collins Offensive Rebound.,4,5
15:36,-1,Sandor Rodriguez missed Three Point Jumper.,4,5
15:36,2502,Bryce Canda Defensive Rebound.,4,5
15:22,2502,Brandon Hollins missed Layup.,4,5
15:22,-1,Sandor Rodriguez Defensive Rebound.,4,5
15:18,2502,Foul on Michael Mayhew.,4,5
15:09,-1,Dempsey Roggenbuck missed Jumper.,4,5
15:09,-1,Linfield College Offensive Rebound.,4,5
15:08,2502,Foul on Bryce Canda.,4,5
14:49,-1,Austin Hilton made Layup. Assisted by Tyler Watts.,6,5
14:39,-1,Foul on Sandor Rodriguez.,6,5
14:24,2502,Deontae North made Jumper.,6,7
14:20,-1,Tyler Watts Turnover.,6,7
14:19,2502,Deante Strickland Steal.,6,7
14:16,2502,Michael Mayhew missed Three Point Jumper.,6,7
14:16,2502,Deontae North Offensive Rebound.,6,7
14:08,2502,Deontae North made Layup.,6,9
14:03,-1,Sandor Rodriguez Turnover.,6,9
14:02,2502,Michael Mayhew Steal.,6,9
14:01,2502,Deontae North made Layup. Assisted by Michael Mayhew.,6,11
13:55,-1,Linfield College  Timeout,6,11
13:44,-1,Liam O'Reilly missed Three Point Jumper.,6,11
13:44,2502,Deante Strickland Defensive Rebound.,6,11
13:38,2502,Deante Strickland Turnover.,6,11
13:37,-1,Riley Bruil Steal.,6,11
13:28,-1,Liam O'Reilly made Layup. Assisted by Troy Arce.,8,11
13:17,2502,Michael Mayhew made Three Point Jumper. Assisted by Deante Strickland.,8,14
12:57,-1,Riley Bruil made Jumper. Assisted by Troy Arce.,10,14
12:43,2502,Ryan Edwards made Jumper.,10,16
12:25,-1,Riley Bruil missed Three Point Jumper.,10,16
12:25,2502,Deontae North Defensive Rebound.,10,16
12:17,2502,Michael Mayhew missed Three Point Jumper.,10,16
12:17,-1,Jordan Clark Defensive Rebound.,10,16
12:10,2502,Foul on Michael Mayhew.,10,16
12:10,-1,Liam O'Reilly made Free Throw.,11,16
12:10,-1,Liam O'Reilly missed Free Throw.,11,16
12:10,2502,Holland Woods Defensive Rebound.,11,16
11:56,2502,Deante Strickland missed Three Point Jumper.,11,16
11:56,-1,Troy Arce Defensive Rebound.,11,16
11:51,2502,Foul on Deante Strickland.,11,16
11:51,2502,Official TV Timeout,11,16
11:48,-1,Jordan Clark missed Three Point Jumper.,11,16
11:48,2502,Holland Woods Defensive Rebound.,11,16
11:29,2502,Ryan Edwards made Layup. Assisted by Bryce Canda.,11,18
11:12,-1,Negasi Hart made Layup. Assisted by Troy Arce.,13,18
11:05,2502,Ryan Edwards made Layup. Assisted by Deante Strickland.,13,20
10:56,-1,Austin Hilton Turnover.,13,20
10:54,2502,Jamie Orme Steal.,13,20
10:51,2502,Deante Strickland missed Three Point Jumper.,13,20
10:51,2502,Portland State Offensive Rebound.,13,20
10:42,-1,Foul on Negasi Hart.,13,20
10:31,2502,Holland Woods missed Free Throw.,13,20
10:31,2502,Portland State Deadball Team Rebound.,13,20
10:31,2502,Holland Woods missed Free Throw.,13,20
10:31,-1,Negasi Hart Defensive Rebound.,13,20
10:28,2502,Foul on Jamie Orme.,13,20
10:17,-1,Parker Collins missed Three Point Jumper.,13,20
10:17,2502,Ryan Edwards Defensive Rebound.,13,20
10:10,2502,Deontae North made Three Point Jumper. Assisted by Bryce Canda.,13,23
9:59,-1,Parker Collins missed Three Point Jumper.,13,23
9:59,2502,Bryce Canda Defensive Rebound.,13,23
9:49,2502,Deontae North missed Three Point Jumper.,13,23
9:49,-1,Austin Hilton Defensive Rebound.,13,23
9:32,2502,Foul on Deontae North.,13,23
9:18,-1,Negasi Hart Turnover.,13,23
9:17,2502,Holland Woods Steal.,13,23
9:12,2502,Brandon Hollins Turnover.,13,23
9:10,-1,Tyler Watts Steal.,13,23
8:53,-1,Riley Bruil made Three Point Jumper. Assisted by Tyler Watts.,16,23
8:34,-1,Foul on Troy Arce.,16,23
8:26,2502,Holland Woods missed Jumper.,16,23
8:26,-1,Tyler Watts Defensive Rebound.,16,23
8:01,-1,Tyler Watts missed Three Point Jumper.,16,23
8:01,-1,Austin Hilton Offensive Rebound.,16,23
7:57,-1,Riley Bruil missed Three Point Jumper.,16,23
7:57,-1,Austin Hilton Offensive Rebound.,16,23
7:50,-1,Negasi Hart made Jumper.,18,23
7:49,-1,Linfield College  Timeout,18,23
7:41,2502,Bryce Canda made Three Point Jumper. Assisted by Jamie Orme.,18,26
7:26,-1,Liam O'Reilly missed Jumper.,18,26
7:26,2502,Bryce Canda Defensive Rebound.,18,26
7:22,2502,Holland Woods made Layup. Assisted by Bryce Canda.,18,28
7:05,-1,Troy Arce made Three Point Jumper. Assisted by Liam O'Reilly.,21,28
6:47,-1,Foul on Liam O'Reilly.,21,28
6:31,2502,Jamie Orme missed Free Throw.,21,28
6:31,2502,Portland State Deadball Team Rebound.,21,28
6:31,2502,Jamie Orme made Free Throw.,21,29
6:25,-1,Tyler Watts Turnover.,21,29
6:18,2502,Jamie Orme missed Layup.,21,29
6:18,2502,Ryan Edwards Offensive Rebound.,21,29
6:15,-1,Foul on Riley Bruil.,21,29
6:12,2502,Deontae North made Three Point Jumper. Assisted by Jamie Orme.,21,32
5:50,-1,Tyler Watts missed Three Point Jumper.,21,32
5:50,2502,Bryce Canda Defensive Rebound.,21,32
5:28,2502,Jamie Orme missed Three Point Jumper.,21,32
5:28,2502,Ryan Edwards Offensive Rebound.,21,32
5:21,2502,Jamie Orme missed Jumper.,21,32
5:21,-1,Tyler Watts Defensive Rebound.,21,32
5:14,-1,Troy Arce Turnover.,21,32
5:13,2502,Bryce Canda Steal.,21,32
5:07,2502,Ryan Edwards made Three Point Jumper. Assisted by Bryce Canda.,21,35
5:00,2502,Foul on Deontae North.,21,35
5:00,-1,Troy Arce made Free Throw.,22,35
5:00,-1,Troy Arce made Free Throw.,23,35
4:52,2502,Ryan Edwards Turnover.,23,35
4:37,-1,Austin Hilton Turnover.,23,35
4:36,2502,Ryan Edwards Steal.,23,35
4:33,-1,Foul on Austin Hilton.,23,35
4:33,2502,Bryce Canda made Free Throw.,23,36
4:33,2502,Bryce Canda missed Free Throw.,23,36
4:33,-1,Dempsey Roggenbuck Defensive Rebound.,23,36
4:09,-1,Jordan Clark made Jumper. Assisted by Sandor Rodriguez.,25,36
3:56,2502,Ryan Edwards made Layup. Assisted by Deante Strickland.,25,38
3:47,2502,Official TV Timeout,25,38
3:25,-1,Riley Bruil Turnover.,25,38
3:23,2502,Deante Strickland Steal.,25,38
3:20,2502,Bryce Canda made Dunk. Assisted by Deante Strickland.,25,40
3:09,-1,Sandor Rodriguez Turnover.,25,40
3:08,2502,Holland Woods Steal.,25,40
3:05,2502,Deontae North made Layup. Assisted by Bryce Canda.,25,42
2:51,-1,Riley Bruil missed Three Point Jumper.,25,42
2:51,2502,Portland State Defensive Rebound.,25,42
2:43,2502,Deontae North missed Three Point Jumper.,25,42
2:43,2502,Portland State Offensive Rebound.,25,42
2:41,-1,Foul on Jordan Clark.,25,42
2:37,2502,Ryan Edwards missed Free Throw.,25,42
2:37,-1,Troy Arce Defensive Rebound.,25,42
2:29,-1,Riley Bruil Turnover.,25,42
2:28,2502,Deante Strickland Steal.,25,42
2:27,-1,Foul on Riley Bruil.,25,42
2:27,2502,Deante Strickland missed Free Throw.,25,42
2:27,2502,Portland State Deadball Team Rebound.,25,42
2:27,2502,Deante Strickland made Free Throw.,25,43
2:16,-1,Dempsey Roggenbuck missed Three Point Jumper.,25,43
2:16,2502,Bryce Canda Defensive Rebound.,25,43
2:09,2502,Holland Woods made Layup. Assisted by Bryce Canda.,25,45
1:51,-1,Dempsey Roggenbuck made Layup. Assisted by Tyler Watts.,27,45
1:30,2502,Deante Strickland Turnover.,27,45
1:28,-1,Troy Arce Steal.,27,45
1:17,-1,Jordan Clark missed Three Point Jumper.,27,45
1:17,2502,Deante Strickland Defensive Rebound.,27,45
1:06,2502,Ryan Edwards missed Layup.,27,45
1:06,-1,Jordan Clark Defensive Rebound.,27,45
1:01,-1,Troy Arce Turnover.,27,45
1:01,2502,Deontae North Steal.,27,45
0:57,2502,Michael Mayhew Turnover.,27,45
0:56,-1,Troy Arce Steal.,27,45
0:49,2502,Foul on Michael Mayhew.,27,45
0:42,2502,Portland State  Timeout,27,45
0:42,-1,Jordan Clark missed Free Throw.,27,45
0:42,-1,Linfield College Deadball Team Rebound.,27,45
0:42,-1,Jordan Clark made Free Throw.,28,45
0:32,2502,Holland Woods missed Three Point Jumper.,28,45
0:32,2502,Jamie Orme Offensive Rebound.,28,45
0:27,-1,Foul on Liam O'Reilly.,28,45
0:27,2502,Jamie Orme missed Free Throw.,28,45
0:27,2502,Portland State Deadball Team Rebound.,28,45
0:27,2502,Jamie Orme missed Free Throw.,28,45
0:27,2502,Deontae North Offensive Rebound.,28,45
0:24,2502,Deontae North made Layup.,28,47
0:04,-1,Dempsey Roggenbuck missed Three Point Jumper.,28,47
0:04,-1,Jordan Clark Offensive Rebound.,28,47
0:01,-1,Jordan Clark made Jumper.,30,47
0:00,2502,End of 1st half,30,47
19:35,2502,Deontae North missed Three Point Jumper.,30,47
19:35,-1,Linfield College Defensive Rebound.,30,47
19:24,-1,Jordan Clark made Jumper.,32,47
19:13,2502,Bryce Canda missed Three Point Jumper.,32,47
19:13,2502,Jamie Orme Offensive Rebound.,32,47
19:09,2502,Jamie Orme missed Layup.,32,47
19:09,-1,Tyler Watts Block.,32,47
19:09,2502,Portland State Offensive Rebound.,32,47
18:55,-1,Foul on Tyler Watts.,32,47
18:45,-1,Foul on Jordan Clark.,32,47
18:45,2502,Jamie Orme missed Free Throw.,32,47
18:45,2502,Portland State Deadball Team Rebound.,32,47
18:45,2502,Jamie Orme missed Free Throw.,32,47
18:45,2502,Jamie Orme made Free Throw.,32,48
18:28,-1,Jordan Clark Turnover.,32,48
18:27,2502,Deontae North Steal.,32,48
18:21,2502,Deontae North Turnover.,32,48
18:19,-1,Troy Arce Steal.,32,48
18:13,-1,Liam O'Reilly made Layup. Assisted by Jordan Clark.,34,48
17:56,2502,Holland Woods Turnover.,34,48
17:55,-1,Riley Bruil Steal.,34,48
17:53,-1,Troy Arce made Layup. Assisted by Riley Bruil.,36,48
17:25,2502,Jamie Orme made Three Point Jumper. Assisted by Deontae North.,36,51
17:01,-1,Troy Arce Turnover.,36,51
17:00,2502,Deontae North Steal.,36,51
16:57,-1,Foul on Riley Bruil.,36,51
16:57,2502,Holland Woods made Free Throw.,36,52
16:57,2502,Holland Woods made Free Throw.,36,53
16:50,-1,Liam O'Reilly Turnover.,36,53
16:48,2502,Deontae North Steal.,36,53
16:45,2502,Deontae North made Layup.,36,55
16:45,-1,Foul on Liam O'Reilly.,36,55
16:45,2502,Deontae North made Free Throw.,36,56
16:19,-1,Tyler Watts Turnover.,36,56
16:18,2502,Deontae North Steal.,36,56
16:05,2502,Deontae North missed Three Point Jumper.,36,56
16:05,-1,Sandor Rodriguez Defensive Rebound.,36,56
15:59,2502,Official TV Timeout,36,56
15:50,-1,Jordan Clark made Layup. Assisted by Troy Arce.,38,56
15:39,2502,Brandon Hollins missed Jumper.,38,56
15:39,-1,Jordan Clark Defensive Rebound.,38,56
15:21,-1,Riley Bruil made Three Point Jumper. Assisted by Parker Collins.,41,56
14:50,2502,Deontae North missed Jumper.,41,56
14:50,2502,Portland State Offensive Rebound.,41,56
14:40,2502,Deante Strickland made Three Point Jumper. Assisted by Ryan Edwards.,41,59
14:34,-1,Troy Arce Turnover.,41,59
14:32,2502,Michael Mayhew Steal.,41,59
14:27,2502,Deontae North made Layup. Assisted by Michael Mayhew.,41,61
14:27,-1,Foul on Austin Hilton.,41,61
14:27,2502,Deontae North made Free Throw.,41,62
14:23,-1,Troy Arce Turnover.,41,62
14:22,2502,Deante Strickland Steal.,41,62
14:16,2502,Deontae North made Layup.,41,64
14:06,2502,Foul on Michael Mayhew.,41,64
14:01,-1,Troy Arce made Layup.,43,64
14:01,-1,Troy Arce made Free Throw.,44,64
13:56,2502,Bryce Canda missed Three Point Jumper.,44,64
13:56,-1,Troy Arce Defensive Rebound.,44,64
13:48,-1,Riley Bruil missed Three Point Jumper.,44,64
13:48,2502,Deontae North Defensive Rebound.,44,64
13:41,2502,Deante Strickland made Three Point Jumper. Assisted by Holland Woods.,44,67
13:26,-1,Parker Collins made Three Point Jumper. Assisted by Troy Arce.,47,67
13:18,2502,Deontae North made Three Point Jumper. Assisted by Holland Woods.,47,70
13:06,2502,Foul on Deontae North.,47,70
13:01,-1,Dempsey Roggenbuck Turnover.,47,70
12:55,2502,Ryan Edwards made Jumper. Assisted by Holland Woods.,47,72
12:46,-1,Austin Hilton Turnover.,47,72
12:43,2502,Holland Woods Turnover.,47,72
12:42,-1,Riley Bruil Steal.,47,72
12:39,-1,Riley Bruil made Layup.,49,72
12:39,2502,Foul on Holland Woods.,49,72
12:39,-1,Riley Bruil missed Free Throw.,49,72
12:39,2502,Ryan Edwards Defensive Rebound.,49,72
12:22,2502,Deante Strickland missed Three Point Jumper.,49,72
12:22,-1,Marcus Lord Defensive Rebound.,49,72
12:06,-1,Riley Bruil made Three Point Jumper. Assisted by Sandor Rodriguez.,52,72
11:52,2502,Bryce Canda made Three Point Jumper. Assisted by Deante Strickland.,52,75
11:38,2502,Foul on Jamie Orme.,52,75
11:38,2502,Official TV Timeout,52,75
11:38,-1,Marcus Lord missed Free Throw.,52,75
11:38,-1,Linfield College Deadball Team Rebound.,52,75
11:38,-1,Marcus Lord missed Free Throw.,52,75
11:38,2502,Bryce Canda Defensive Rebound.,52,75
11:32,-1,Foul on Marcus Lord.,52,75
11:25,-1,Foul on Marcus Lord.,52,75
11:25,2502,Ryan Edwards made Free Throw.,52,76
11:25,2502,Ryan Edwards made Free Throw.,52,77
11:20,-1,Liam O'Reilly Turnover.,52,77
11:19,2502,Holland Woods Steal.,52,77
11:17,2502,Bryce Canda made Three Point Jumper. Assisted by Holland Woods.,52,80
11:07,-1,Liam O'Reilly Turnover.,52,80
11:02,2502,Holland Woods Turnover.,52,80
11:02,-1,Marcus Lord Steal.,52,80
10:37,-1,Cameron Jones missed Jumper.,52,80
10:37,2502,Jamie Orme Defensive Rebound.,52,80
10:31,2502,Devyn Wilson Turnover.,52,80
10:11,-1,Cameron Jones made Jumper. Assisted by Riley Bruil.,54,80
9:51,2502,Jamie Orme made Three Point Jumper. Assisted by Bryce Canda.,54,83
9:36,-1,Aiden Phizackerly missed Jumper.,54,83
9:36,2502,Jamie Orme Defensive Rebound.,54,83
9:28,2502,Bryce Canda made Three Point Jumper. Assisted by Devyn Wilson.,54,86
8:55,-1,Cameron Jones missed Jumper.,54,86
8:55,-1,Cameron Jones Offensive Rebound.,54,86
8:52,-1,Cameron Jones made Layup.,56,86
8:40,2502,Bryce Canda missed Three Point Jumper.,56,86
8:40,2502,Devyn Wilson Offensive Rebound.,56,86
8:36,-1,Foul on Cameron Jones.,56,86
8:36,2502,Brandon Hollins made Free Throw.,56,87
8:36,2502,Brandon Hollins made Free Throw.,56,88
8:23,-1,Troy Arce missed Layup.,56,88
8:23,2502,Devyn Wilson Defensive Rebound.,56,88
8:15,2502,Bryce Canda missed Three Point Jumper.,56,88
8:15,-1,Dempsey Roggenbuck Defensive Rebound.,56,88
8:12,2502,Foul on Jamie Orme.,56,88
7:57,-1,Dempsey Roggenbuck made Layup. Assisted by Cameron Jones.,58,88
7:57,2502,Foul on Jamie Orme.,58,88
7:57,2502,Official TV Timeout,58,88
7:57,-1,Dempsey Roggenbuck made Free Throw.,59,88
7:51,-1,Foul on Matthew Berger.,59,88
7:49,2502,Ryan Edwards made Free Throw.,59,89
7:49,2502,Ryan Edwards made Free Throw.,59,90
7:33,-1,Dempsey Roggenbuck missed Jumper.,59,90
7:33,2502,Ryan Edwards Defensive Rebound.,59,90
7:23,2502,Devyn Wilson missed Three Point Jumper.,59,90
7:23,-1,Matthew Berger Defensive Rebound.,59,90
7:22,2502,Foul on Ryan Edwards.,59,90
7:22,-1,Sandor Rodriguez missed Free Throw.,59,90
7:22,2502,Ryan Edwards Defensive Rebound.,59,90
7:15,2502,Holland Woods made Three Point Jumper. Assisted by Bryce Canda.,59,93
7:03,-1,Aiden Phizackerly missed Three Point Jumper.,59,93
7:03,2502,Bryce Canda Defensive Rebound.,59,93
6:54,2502,Ryan Edwards missed Jumper.,59,93
6:54,-1,Aiden Phizackerly Defensive Rebound.,59,93
6:42,-1,Dempsey Roggenbuck missed Jumper.,59,93
6:42,-1,Dempsey Roggenbuck Offensive Rebound.,59,93
6:38,-1,Dempsey Roggenbuck missed Three Point Jumper.,59,93
6:38,2502,Bryce Canda Defensive Rebound.,59,93
6:30,2502,Deontae North missed Three Point Jumper.,59,93
6:30,2502,Ryan Edwards Offensive Rebound.,59,93
6:22,2502,Ryan Edwards made Jumper.,59,95
6:12,2502,Foul on Bryce Canda.,59,95
6:12,-1,Sandor Rodriguez missed Free Throw.,59,95
6:12,2502,Ryan Edwards Defensive Rebound.,59,95
6:00,2502,Michael Mayhew made Three Point Jumper. Assisted by Derek Brown.,59,98
5:43,-1,Max Martin made Three Point Jumper. Assisted by Matthew Berger.,62,98
5:36,2502,Derek Brown made Layup. Assisted by Bryce Canda.,62,100
5:36,-1,Foul on Marcus Lord.,62,100
5:36,2502,Derek Brown missed Free Throw.,62,100
5:36,-1,Negasi Hart Defensive Rebound.,62,100
5:29,-1,Negasi Hart missed Jumper.,62,100
5:29,2502,Devyn Wilson Defensive Rebound.,62,100
5:11,2502,Michael Mayhew missed Three Point Jumper.,62,100
5:11,2502,Portland State Offensive Rebound.,62,100
5:03,-1,Linfield College  Timeout,62,100
4:50,-1,Negasi Hart missed Layup.,62,100
4:50,2502,Derek Brown Defensive Rebound.,62,100
4:42,2502,Derek Brown made Dunk.,62,102
4:34,2502,Foul on Derek Brown.,62,102
4:34,-1,Sandor Rodriguez made Free Throw.,63,102
4:34,-1,Sandor Rodriguez missed Free Throw.,63,102
4:34,2502,Vonte Carter Defensive Rebound.,63,102
4:18,2502,Devyn Wilson missed Three Point Jumper.,63,102
4:18,2502,Jamie Orme Offensive Rebound.,63,102
4:13,-1,Foul on Matthew Berger.,63,102
4:13,2502,Jamie Orme made Free Throw.,63,103
4:13,2502,Jamie Orme missed Free Throw.,63,103
4:13,-1,Marcus Lord Defensive Rebound.,63,103
4:10,2502,Foul on Devyn Wilson.,63,103
4:10,-1,Marcus Lord made Free Throw.,64,103
4:10,-1,Marcus Lord missed Free Throw.,64,103
4:10,2502,Devyn Wilson Defensive Rebound.,64,103
4:01,2502,Jamie Orme made Jumper. Assisted by Michael Mayhew.,64,105
3:53,-1,Sandor Rodriguez Turnover.,64,105
3:51,2502,Michael Mayhew Steal.,64,105
3:47,2502,Devyn Wilson Turnover.,64,105
3:46,-1,Max Martin Steal.,64,105
3:46,2502,Foul on Derek Brown.,64,105
3:46,2502,Official TV Timeout,64,105
3:46,-1,Sandor Rodriguez made Free Throw.,65,105
3:46,-1,Sandor Rodriguez made Free Throw.,66,105
3:34,2502,Vonte Carter Turnover.,66,105
3:33,-1,Sandor Rodriguez Steal.,66,105
3:28,-1,Max Martin made Three Point Jumper. Assisted by Grant Henderson.,69,105
3:12,2502,Derek Brown Turnover.,69,105
3:04,-1,Marcus Lord missed Layup.,69,105
3:04,2502,Jamie Orme Defensive Rebound.,69,105
2:54,2502,Vonte Carter made Three Point Jumper. Assisted by Michael Mayhew.,69,108
2:31,2502,Foul on Derek Brown.,69,108
2:31,-1,Cameron Jones missed Free Throw.,69,108
2:31,-1,Linfield College Deadball Team Rebound.,69,108
2:31,-1,Cameron Jones missed Free Throw.,69,108
2:31,2502,Jamie Orme Defensive Rebound.,69,108
2:24,2502,Michael Mayhew made Three Point Jumper. Assisted by Derek Brown.,69,111
2:10,2502,Foul on Vonte Carter.,69,111
2:10,-1,Sandor Rodriguez made Free Throw.,70,111
2:10,-1,Sandor Rodriguez made Free Throw.,71,111
1:53,2502,Vonte Carter missed Layup.,71,111
1:53,2502,Devyn Wilson Offensive Rebound.,71,111
1:44,2502,Michael Mayhew missed Three Point Jumper.,71,111
1:44,-1,Linfield College Defensive Rebound.,71,111
1:43,2502,Foul on Jamie Orme.,71,111
1:43,-1,Matthew Berger missed Free Throw.,71,111
1:43,-1,Linfield College Deadball Team Rebound.,71,111
1:43,-1,Matthew Berger missed Free Throw.,71,111
1:43,2502,Vonte Carter Defensive Rebound.,71,111
1:29,2502,Vonte Carter missed Three Point Jumper.,71,111
1:29,-1,Aiden Phizackerly Defensive Rebound.,71,111
1:24,-1,Aiden Phizackerly Turnover.,71,111
1:24,2502,Devyn Wilson Steal.,71,111
1:09,2502,Devyn Wilson made Layup. Assisted by Michael Mayhew.,71,113
1:03,-1,Matthew Berger Turnover.,71,113
1:02,2502,Michael Mayhew Steal.,71,113
1:00,2502,Michael Mayhew Turnover.,71,113
0:59,-1,Parker Collins Offensive Rebound.,71,113
0:49,2502,Deante Strickland made Three Point Jumper. Assisted by Devyn Wilson.,71,116
0:47,-1,Matthew Berger Turnover.,71,116
0:27,2502,Vonte Carter missed Jumper.,71,116
0:27,-1,Cameron Jones Defensive Rebound.,71,116
0:11,-1,Aiden Phizackerly missed Three Point Jumper.,71,116
0:11,2502,Vonte Carter Defensive Rebound.,71,116
0:00,2502,End of Game,71,116
