LSU Shreveport,Error,Northwestern State,2466
12:48,2466,Foul on Larry Owens.,14,12
12:48,-1,Rakim Lubin made Free Throw.,15,12
12:48,-1,Rakim Lubin missed Free Throw.,15,12
12:48,2466,Malik Metoyer Defensive Rebound.,15,12
12:25,2466,Larry Owens missed Layup.,15,12
12:25,2466,Larry Owens Offensive Rebound.,15,12
12:23,2466,Larry Owens missed Jumper.,15,12
12:23,2466,C.J. Jones Offensive Rebound.,15,12
12:23,-1,Foul on Benjamin Batts.,15,12
12:23,2466,C.J. Jones missed Free Throw.,15,12
12:23,2466,Northwestern State Deadball Team Rebound.,15,12
12:23,2466,C.J. Jones made Free Throw.,15,13
12:12,-1,Rakim Lubin made Layup. Assisted by Stevie Clark.,17,13
11:47,2466,Jalan West missed Three Point Jumper.,17,13
11:47,-1,Benjamin Batts Defensive Rebound.,17,13
11:40,2466,Official TV Timeout,17,13
11:35,-1,D'Angelo McClinton Turnover.,17,13
11:33,2466,Jalan West Steal.,17,13
11:31,2466,Malik Metoyer made Layup. Assisted by Jalan West.,17,15
11:20,-1,DJ Clayton missed Three Point Jumper.,17,15
11:20,2466,Brandon Hutton Defensive Rebound.,17,15
11:06,2466,Brandon Hutton Turnover.,17,15
11:06,-1,Benjamin Batts Steal.,17,15
11:06,2466,Foul on Brandon Hutton.,17,15
11:06,-1,D'Angelo McClinton missed Free Throw.,17,15
11:06,2466,Malik Metoyer Defensive Rebound.,17,15
10:57,2466,Larry Owens made Layup. Assisted by Malik Metoyer.,17,17
10:50,-1,Stevie Clark missed Jumper.,17,17
10:50,2466,Brandon Hutton Block.,17,17
10:48,2466,Brandon Hutton Defensive Rebound.,17,17
10:46,-1,Foul on D'Angelo McClinton.,17,17
10:46,-1,Foul on Stevie Clark.,17,17
10:46,2466,Foul on Jalan West.,17,17
10:46,2466,Technical Foul on Jalan West.,17,17
10:46,-1,Technical Foul on Stevie Clark.,17,17
10:38,-1,Foul on Rakim Lubin.,17,17
10:38,2466,Larry Owens missed Free Throw.,17,17
10:38,-1,DJ Clayton Defensive Rebound.,17,17
10:25,-1,Rakim Lubin made Layup. Assisted by D'Angelo McClinton.,19,17
10:07,-1,Foul on DJ Clayton.,19,17
10:07,2466,Iziahiah Sweeney missed Free Throw.,19,17
10:07,-1,Rakim Lubin Defensive Rebound.,19,17
9:59,2466,Foul on Iziahiah Sweeney.,19,17
9:59,-1,Stevie Clark made Free Throw.,20,17
9:59,-1,Stevie Clark made Free Throw.,21,17
9:36,2466,Malik Metoyer missed Jumper.,21,17
9:36,-1,Louisiana State Shreveport Defensive Rebound.,21,17
9:25,-1,D'Angelo McClinton missed Jumper.,21,17
9:25,2466,Caleb Starks Defensive Rebound.,21,17
9:18,2466,Iziahiah Sweeney made Layup. Assisted by Jalan West.,21,19
9:04,-1,Stevie Clark missed Jumper.,21,19
9:04,2466,Northwestern State Deadball Team Rebound.,21,19
9:04,-1,Foul on Rakim Lubin.,21,19
9:04,2466,Ishmael Lane made Free Throw.,21,20
9:04,2466,Ishmael Lane made Free Throw.,21,21
8:47,-1,Jamal Ray missed Jumper.,21,21
8:47,2466,Northwestern State Defensive Rebound.,21,21
8:22,2466,Darian Dixon missed Layup.,21,21
8:22,2466,Ishmael Lane Offensive Rebound.,21,21
8:19,2466,Ishmael Lane made Layup.,21,23
8:11,-1,Jamal Ray missed Layup.,21,23
8:11,2466,Jalan West Defensive Rebound.,21,23
8:05,-1,Foul on CJ McGill.,21,23
8:05,2466,Iziahiah Sweeney missed Free Throw.,21,23
8:05,2466,Northwestern State Deadball Team Rebound.,21,23
8:05,2466,Iziahiah Sweeney missed Free Throw.,21,23
8:05,2466,Darian Dixon Offensive Rebound.,21,23
7:56,2466,Ishmael Lane missed Three Point Jumper.,21,23
7:56,-1,Jamal Ray Defensive Rebound.,21,23
7:48,-1,Josh Robinson missed Three Point Jumper.,21,23
7:48,-1,Josh Robinson Offensive Rebound.,21,23
7:43,-1,Josh Robinson made Layup.,23,23
7:32,2466,Ishmael Lane missed Layup.,23,23
7:32,-1,CJ McGill Defensive Rebound.,23,23
7:20,-1,Stevie Clark missed Three Point Jumper.,23,23
7:20,-1,Josh Robinson Offensive Rebound.,23,23
7:16,-1,Jamal Ray made Layup. Assisted by Josh Robinson.,25,23
7:07,2466,Iziahiah Sweeney missed Jumper.,25,23
7:07,-1,Anthony Walker Defensive Rebound.,25,23
6:57,2466,Official TV Timeout,25,23
6:57,2466,Foul on Darian Dixon.,25,23
6:57,-1,Josh Robinson missed Three Point Jumper.,25,23
6:57,-1,Stevie Clark Offensive Rebound.,25,23
6:57,2466,Official TV Timeout,25,23
6:57,-1,Stevie Clark missed Free Throw.,25,23
6:57,-1,Louisiana State Shreveport Deadball Team Rebound.,25,23
6:57,-1,Stevie Clark made Free Throw.,26,23
6:43,2466,Ishmael Lane made Jumper. Assisted by Jalan West.,26,25
6:37,-1,Jamal Ray Turnover.,26,25
6:37,2466,Jalan West Steal.,26,25
6:10,2466,Jacob Guest missed Three Point Jumper.,26,25
6:10,2466,Ishmael Lane Offensive Rebound.,26,25
6:09,-1,Foul on Anthony Walker.,26,25
6:09,2466,Ishmael Lane made Free Throw.,26,26
6:09,2466,Ishmael Lane made Free Throw.,26,27
5:49,-1,Stevie Clark missed Jumper.,26,27
5:49,2466,Northwestern State Deadball Team Rebound.,26,27
5:27,-1,Foul on Jamal Ray.,26,27
5:27,2466,Jalan West made Free Throw.,26,28
5:27,2466,Jalan West made Free Throw.,26,29
5:07,-1,Anthony Walker made Layup. Assisted by Rakim Lubin.,28,29
5:01,2466,Jacob Guest missed Three Point Jumper.,28,29
5:01,2466,Caleb Starks Offensive Rebound.,28,29
4:52,-1,Foul on Anthony Walker.,28,29
4:52,2466,Caleb Starks made Free Throw.,28,30
4:52,2466,Caleb Starks made Free Throw.,28,31
4:49,2466,Foul on Brandon Hutton.,28,31
4:49,-1,Foul on Anthony Walker.,28,31
4:49,2466,Technical Foul on Brandon Hutton.,28,31
4:49,-1,Technical Foul on Anthony Walker.,28,31
4:43,-1,Rakim Lubin Turnover.,28,31
4:31,2466,Larry Owens made Layup. Assisted by Jalan West.,28,33
4:13,-1,Benjamin Batts missed Three Point Jumper.,28,33
4:13,2466,Larry Owens Defensive Rebound.,28,33
4:07,-1,Foul on Rakim Lubin.,28,33
4:07,2466,Larry Owens made Free Throw.,28,34
4:07,2466,Larry Owens made Free Throw.,28,35
3:50,-1,DJ Clayton made Layup.,30,35
3:50,2466,Foul on Brandon Hutton.,30,35
3:50,2466,Official TV Timeout,30,35
3:50,-1,DJ Clayton made Free Throw.,31,35
3:45,-1,Foul on Malik Andrus.,31,35
3:45,2466,Jalan West made Free Throw.,31,36
3:45,2466,Jalan West made Free Throw.,31,37
3:35,-1,DJ Clayton Turnover.,31,37
3:35,2466,Jalan West Steal.,31,37
3:19,2466,Malik Metoyer made Layup.,31,39
3:04,-1,Benjamin Batts missed Jumper.,31,39
3:04,2466,Vontay Ott Defensive Rebound.,31,39
2:56,2466,Caleb Starks missed Three Point Jumper.,31,39
2:56,-1,Louisiana State Shreveport Defensive Rebound.,31,39
2:46,2466,Northwestern State  Timeout,31,39
2:28,-1,Benjamin Batts made Layup.,33,39
2:13,2466,Jalan West missed Three Point Jumper.,33,39
2:13,2466,Vontay Ott Offensive Rebound.,33,39
2:08,2466,Vontay Ott made Layup.,33,41
1:57,-1,DJ Clayton missed Three Point Jumper.,33,41
1:57,-1,Stevie Clark Offensive Rebound.,33,41
1:53,-1,Benjamin Batts made Three Point Jumper.,36,41
1:31,2466,Ishmael Lane missed Jumper.,36,41
1:31,-1,Josh Robinson Defensive Rebound.,36,41
1:15,-1,Benjamin Batts Turnover.,36,41
0:57,-1,Foul on Stevie Clark.,36,41
0:57,2466,Ishmael Lane made Free Throw.,36,42
0:57,2466,Ishmael Lane made Free Throw.,36,43
0:43,-1,Josh Robinson missed Three Point Jumper.,36,43
0:43,-1,DJ Clayton Offensive Rebound.,36,43
0:42,2466,Foul on Jalan West.,36,43
0:41,-1,DJ Clayton missed Free Throw.,36,43
0:41,-1,Louisiana State Shreveport Deadball Team Rebound.,36,43
0:41,-1,DJ Clayton missed Free Throw.,36,43
0:41,2466,Ishmael Lane Defensive Rebound.,36,43
0:13,2466,Caleb Starks missed Layup.,36,43
0:13,-1,Josh Robinson Defensive Rebound.,36,43
0:04,-1,Benjamin Batts missed Jumper.,36,43
0:04,-1,Josh Robinson Offensive Rebound.,36,43
0:01,-1,Josh Robinson missed Layup.,36,43
0:01,2466,Ishmael Lane Defensive Rebound.,36,43
0:00,2466,End of 1st half,36,43
19:56,2466,Foul on Caleb Starks.,36,43
19:47,-1,Jamal Ray missed Layup.,36,43
19:47,2466,Iziahiah Sweeney Defensive Rebound.,36,43
19:42,2466,Caleb Starks Turnover.,36,43
19:31,-1,Stevie Clark made Three Point Jumper.,39,43
19:26,2466,Ishmael Lane Turnover.,39,43
19:25,-1,Josh Robinson Steal.,39,43
19:18,-1,Josh Robinson made Layup.,41,43
19:10,2466,Jalan West made Three Point Jumper.,41,46
19:01,-1,Benjamin Batts missed Three Point Jumper.,41,46
19:01,2466,Ishmael Lane Defensive Rebound.,41,46
18:44,2466,Darian Dixon made Layup.,41,48
18:27,-1,Stevie Clark made Three Point Jumper.,44,48
18:15,2466,Darian Dixon made Layup. Assisted by Jalan West.,44,50
18:02,-1,Benjamin Batts made Layup.,46,50
17:48,2466,Ishmael Lane missed Jumper.,46,50
17:48,-1,Jamal Ray Defensive Rebound.,46,50
17:43,-1,Josh Robinson made Three Point Jumper. Assisted by Benjamin Batts.,49,50
17:23,2466,Jalan West made Layup.,49,52
17:17,-1,Stevie Clark missed Three Point Jumper.,49,52
17:17,-1,Jamal Ray Offensive Rebound.,49,52
17:12,-1,Jamal Ray made Two Point Tip Shot.,51,52
17:05,2466,Iziahiah Sweeney missed Three Point Jumper.,51,52
17:05,-1,Louisiana State Shreveport Deadball Team Rebound.,51,52
17:03,2466,Foul on Vontay Ott.,51,52
17:03,2466,Northwestern State  Timeout,51,52
17:03,2466,Official TV Timeout,51,52
16:58,-1,Stevie Clark made Layup. Assisted by Benjamin Batts.,53,52
16:57,-1,Stevie Clark made Free Throw.,54,52
16:57,2466,Foul on Brandon Hutton.,54,52
16:41,2466,Malik Metoyer made Layup.,54,54
16:25,2466,Ishmael Lane missed Layup.,54,54
16:25,2466,Northwestern State Defensive Rebound.,54,54
16:11,2466,Jalan West missed Layup.,54,54
16:11,-1,Josh Robinson Defensive Rebound.,54,54
16:07,-1,Benjamin Batts missed Three Point Jumper.,54,54
16:07,2466,Northwestern State Deadball Team Rebound.,54,54
15:51,2466,Official TV Timeout,54,54
15:32,2466,Jalan West made Layup.,54,56
15:19,-1,Stevie Clark missed Three Point Jumper.,54,56
15:19,2466,Iziahiah Sweeney Defensive Rebound.,54,56
15:07,2466,Jalan West missed Layup.,54,56
15:07,-1,Stevie Clark Defensive Rebound.,54,56
15:06,-1,Stevie Clark Turnover.,54,56
14:55,2466,Jalan West missed Three Point Jumper.,54,56
14:55,-1,Benjamin Batts Defensive Rebound.,54,56
14:45,2466,Foul on Malik Metoyer.,54,56
14:35,-1,D'Angelo McClinton missed Layup.,54,56
14:35,2466,Larry Owens Block.,54,56
14:35,-1,Louisiana State Shreveport Offensive Rebound.,54,56
14:28,-1,Benjamin Batts missed Jumper.,54,56
14:28,2466,Northwestern State Defensive Rebound.,54,56
14:03,2466,Malik Metoyer missed Layup.,54,56
14:03,-1,DJ Clayton Block.,54,56
14:03,2466,Northwestern State Offensive Rebound.,54,56
13:58,2466,Larry Owens Turnover.,54,56
13:57,-1,Josh Robinson Steal.,54,56
13:50,-1,DJ Clayton made Jumper.,56,56
13:29,-1,Foul on D'Angelo McClinton.,56,56
13:10,2466,C.J. Jones missed Three Point Jumper.,56,56
13:10,-1,Rakim Lubin Defensive Rebound.,56,56
12:58,-1,DJ Clayton missed Layup.,56,56
12:58,2466,Larry Owens Defensive Rebound.,56,56
12:40,2466,Larry Owens missed Layup.,56,56
12:40,-1,Josh Robinson Defensive Rebound.,56,56
12:31,-1,Josh Robinson made Three Point Jumper.,59,56
12:08,-1,Foul on D'Angelo McClinton.,59,56
11:59,2466,Jalan West missed Three Point Jumper.,59,56
11:59,-1,DJ Clayton Defensive Rebound.,59,56
11:48,2466,Foul on Malik Metoyer.,59,56
11:48,2466,Official TV Timeout,59,56
11:48,-1,Josh Robinson made Free Throw.,60,56
11:48,-1,Josh Robinson missed Free Throw.,60,56
11:48,-1,Louisiana State Shreveport Deadball Team Rebound.,60,56
11:48,-1,Josh Robinson made Free Throw.,61,56
11:33,2466,Iziahiah Sweeney made Layup.,61,58
11:23,-1,Rakim Lubin missed Layup.,61,58
11:23,2466,Ishmael Lane Block.,61,58
11:23,2466,Northwestern State Defensive Rebound.,61,58
11:09,2466,Ishmael Lane made Jumper. Assisted by Iziahiah Sweeney.,61,60
11:02,-1,DJ Clayton made Layup.,63,60
10:43,2466,Caleb Starks missed Layup.,63,60
10:43,-1,Stevie Clark Defensive Rebound.,63,60
10:39,-1,Stevie Clark Turnover.,63,60
10:21,-1,Foul on Anthony Walker.,63,60
10:21,2466,Ishmael Lane made Free Throw.,63,61
10:21,2466,Ishmael Lane made Free Throw.,63,62
10:07,-1,Josh Robinson missed Layup.,63,62
10:07,2466,Northwestern State Deadball Team Rebound.,63,62
10:07,-1,Foul on Anthony Walker.,63,62
9:39,2466,Vontay Ott missed Jumper.,63,62
9:39,2466,C.J. Jones Offensive Rebound.,63,62
9:34,2466,C.J. Jones missed Jumper.,63,62
9:34,2466,Ishmael Lane Offensive Rebound.,63,62
9:31,2466,Ishmael Lane made Layup.,63,64
9:31,2466,Foul on Iziahiah Sweeney.,63,64
9:31,-1,DJ Clayton made Free Throw.,64,64
9:31,-1,DJ Clayton missed Free Throw.,64,64
9:31,2466,Darian Dixon Defensive Rebound.,64,64
9:10,-1,Foul on Stevie Clark.,64,64
9:00,2466,Iziahiah Sweeney missed Jumper.,64,64
9:00,-1,Jamal Ray Defensive Rebound.,64,64
8:54,-1,Stevie Clark made Jumper.,66,64
8:54,2466,Foul on Jalan West.,66,64
8:54,-1,Stevie Clark made Free Throw.,67,64
8:33,2466,Vontay Ott made Three Point Jumper. Assisted by Ishmael Lane.,67,67
8:26,-1,D'Angelo McClinton missed Three Point Jumper.,67,67
8:26,2466,Ishmael Lane Defensive Rebound.,67,67
8:11,2466,Iziahiah Sweeney made Jumper.,67,69
8:09,2466,Northwestern State  Timeout,67,69
8:09,2466,Official TV Timeout,67,69
8:09,2466,Ishmael Lane Block.,67,69
8:09,-1,Stevie Clark missed Jumper.,67,69
8:09,2466,Ishmael Lane Block.,67,69
8:09,2466,Northwestern State Defensive Rebound.,67,69
8:09,2466,Vontay Ott made Layup.,67,71
8:09,-1,Jamal Ray missed Layup.,67,71
8:09,2466,Iziahiah Sweeney Defensive Rebound.,67,71
8:02,2466,Jalan West made Jumper.,67,73
7:53,-1,Louisiana State Shreveport  Timeout,67,73
7:12,-1,Josh Robinson missed Three Point Jumper.,67,73
7:12,-1,Jamal Ray Offensive Rebound.,67,73
7:04,-1,DJ Clayton made Layup.,69,73
6:33,2466,Darian Dixon missed Layup.,69,73
6:33,-1,Josh Robinson Defensive Rebound.,69,73
6:30,-1,Benjamin Batts made Layup. Assisted by Josh Robinson.,71,73
6:10,2466,Iziahiah Sweeney Turnover.,71,73
6:02,-1,Josh Robinson missed Layup.,71,73
6:02,2466,Ishmael Lane Block.,71,73
6:02,-1,Louisiana State Shreveport Offensive Rebound.,71,73
5:50,-1,Benjamin Batts made Jumper.,73,73
5:28,2466,Vontay Ott missed Three Point Jumper.,73,73
5:28,-1,Louisiana State Shreveport Defensive Rebound.,73,73
5:07,-1,Stevie Clark missed Jumper.,73,73
5:07,2466,Malik Metoyer Defensive Rebound.,73,73
5:01,2466,Jalan West made Layup.,73,75
5:01,-1,Foul on DJ Clayton.,73,75
5:01,2466,Jalan West made Free Throw.,73,76
4:54,-1,Stevie Clark missed Three Point Jumper.,73,76
4:54,-1,DJ Clayton Offensive Rebound.,73,76
4:43,-1,Benjamin Batts missed Three Point Jumper.,73,76
4:43,2466,Malik Metoyer Defensive Rebound.,73,76
4:12,2466,Jalan West missed Jumper.,73,76
4:12,2466,Malik Metoyer Offensive Rebound.,73,76
4:01,2466,Brandon Hutton missed Three Point Jumper.,73,76
4:01,-1,Jamal Ray Defensive Rebound.,73,76
3:50,-1,Jamal Ray missed Layup.,73,76
3:50,-1,DJ Clayton Offensive Rebound.,73,76
3:47,-1,DJ Clayton made Dunk.,75,76
3:24,2466,Jalan West Turnover.,75,76
3:24,-1,DJ Clayton Steal.,75,76
3:14,-1,DJ Clayton made Layup. Assisted by Stevie Clark.,77,76
3:14,2466,Foul on Ishmael Lane.,77,76
3:14,2466,Official TV Timeout,77,76
3:04,-1,DJ Clayton made Free Throw.,78,76
2:40,2466,Malik Metoyer made Jumper.,78,78
2:34,2466,Foul on Caleb Starks.,78,78
2:34,-1,Stevie Clark made Free Throw.,79,78
2:34,-1,Stevie Clark made Free Throw.,80,78
2:04,2466,Caleb Starks missed Jumper.,80,78
2:04,2466,Malik Metoyer Offensive Rebound.,80,78
1:50,2466,Malik Metoyer made Jumper.,80,80
1:39,-1,Benjamin Batts missed Layup.,80,80
1:39,2466,Ishmael Lane Block.,80,80
1:37,2466,Malik Metoyer Defensive Rebound.,80,80
1:34,2466,Iziahiah Sweeney made Dunk. Assisted by Malik Metoyer.,80,82
1:21,-1,Josh Robinson missed Three Point Jumper.,80,82
1:21,2466,Ishmael Lane Defensive Rebound.,80,82
1:09,-1,Foul on DJ Clayton.,80,82
1:09,2466,Jalan West made Free Throw.,80,83
1:09,2466,Jalan West made Free Throw.,80,84
1:09,-1,Louisiana State Shreveport  Timeout,80,84
0:59,-1,Benjamin Batts made Three Point Jumper. Assisted by Josh Robinson.,83,84
0:26,-1,Louisiana State Shreveport  Turnover.,83,84
0:14,-1,DJ Clayton made Layup.,85,84
0:05,2466,Ishmael Lane missed Three Point Jumper.,85,84
0:05,-1,Stevie Clark Defensive Rebound.,85,84
0:00,2466,End of Game,83,86
