Ohio,276,Marshall,195
5:19,276,Foul on Ajdin Penava.,28,35
5:19,195,Teyvion Kirk made Free Throw.,29,35
5:03,276,Jarrod West missed Three Point Jumper.,29,35
5:03,276,Ajdin Penava Offensive Rebound.,29,35
4:59,276,Ajdin Penava made Layup.,29,37
4:43,195,Jason Carter missed Layup.,29,37
4:43,276,Ajdin Penava Defensive Rebound.,29,37
4:36,276,C.J. Burks missed Jumper.,29,37
4:36,195,Kevin Mickle Defensive Rebound.,29,37
4:28,195,Kevin Mickle missed Layup.,29,37
4:28,276,Darius George Block.,29,37
4:26,276,Darius George Defensive Rebound.,29,37
4:21,276,Ajdin Penava made Three Point Jumper. Assisted by Jarrod West.,29,40
3:44,195,Gavin Block missed Three Point Jumper.,29,40
3:42,276,Official TV Timeout,29,40
3:42,276,Foul on Dani Koljanin.,29,40
3:26,195,Zach Butler missed Three Point Jumper.,29,40
3:26,276,Ajdin Penava Defensive Rebound.,29,40
3:08,195,Foul on James Gollon.,29,40
3:08,276,Ajdin Penava made Free Throw.,29,41
3:08,276,Ajdin Penava made Free Throw.,29,42
2:57,195,James Gollon made Jumper.,31,42
2:43,276,Dani Koljanin missed Three Point Jumper.,31,42
2:43,195,James Gollon Defensive Rebound.,31,42
2:24,195,Jordan Dartis made Three Point Jumper. Assisted by Gavin Block.,34,42
2:12,276,C.J. Burks Turnover.,34,42
2:10,195,Kevin Mickle Steal.,34,42
2:05,195,Jordan Dartis made Three Point Jumper. Assisted by Gavin Block.,37,42
1:33,276,C.J. Burks made Jumper. Assisted by Jarrod West.,37,44
1:19,195,Gavin Block missed Three Point Jumper.,37,44
1:19,276,Ajdin Penava Defensive Rebound.,37,44
1:11,276,Darius George missed Three Point Jumper.,37,44
1:11,195,Jordan Dartis Defensive Rebound.,37,44
0:53,195,Jordan Dartis missed Three Point Jumper.,37,44
0:53,276,Jarrod West Defensive Rebound.,37,44
0:32,195,Foul on Zach Butler.,37,44
0:32,276,Jarrod West made Free Throw.,37,45
0:32,276,Jarrod West made Free Throw.,37,46
0:06,195,Kevin Mickle Turnover.,37,46
0:00,276,End of 1st half,37,46
19:50,195,Mike Laster missed Three Point Jumper.,37,46
19:50,276,Ajdin Penava Defensive Rebound.,37,46
19:32,195,Foul on Teyvion Kirk.,37,46
19:15,276,Jon Elmore missed Layup.,37,46
19:15,195,Gavin Block Block.,37,46
19:14,195,Gavin Block Defensive Rebound.,37,46
18:51,195,Gavin Block Turnover.,37,46
18:50,276,Jon Elmore Steal.,37,46
18:47,276,Jon Elmore Turnover.,37,46
18:37,195,Doug Taylor Turnover.,37,46
18:37,195,Foul on Doug Taylor.,37,46
18:22,276,C.J. Burks made Layup.,37,48
18:08,195,Teyvion Kirk missed Three Point Jumper.,37,48
18:08,276,Jon Elmore Defensive Rebound.,37,48
17:58,276,C.J. Burks missed Three Point Jumper.,37,48
17:58,195,Doug Taylor Defensive Rebound.,37,48
17:49,195,Mike Laster missed Layup.,37,48
17:49,276,Ajdin Penava Block.,37,48
17:48,195,Mike Laster Defensive Rebound.,37,48
17:44,195,Jordan Dartis made Three Point Jumper. Assisted by Mike Laster.,40,48
17:33,276,Dani Koljanin missed Three Point Jumper.,40,48
17:33,195,Teyvion Kirk Defensive Rebound.,40,48
17:25,195,Jordan Dartis made Three Point Jumper.,43,48
17:10,276,Dani Koljanin missed Three Point Jumper.,43,48
17:10,195,Doug Taylor Defensive Rebound.,43,48
17:00,276,Foul on Ajdin Penava.,43,48
16:49,195,Mike Laster made Dunk.,45,48
16:49,276,Foul on Ajdin Penava.,45,48
16:49,195,Mike Laster made Free Throw.,46,48
16:41,276,Jon Elmore missed Layup.,46,48
16:41,195,Jordan Dartis Defensive Rebound.,46,48
16:27,195,Jordan Dartis made Three Point Jumper. Assisted by Gavin Block.,49,48
16:18,195,Foul on Gavin Block.,49,48
16:10,195,Foul on Teyvion Kirk.,49,48
16:10,276,Jon Elmore made Free Throw.,49,49
16:10,276,Jon Elmore made Free Throw.,49,50
16:01,195,Teyvion Kirk made Layup.,51,50
15:50,276,Jon Elmore missed Layup.,51,50
15:50,195,Doug Taylor Defensive Rebound.,51,50
15:42,195,Jordan Dartis made Three Point Jumper. Assisted by Gavin Block.,54,50
15:22,276,C.J. Burks made Free Throw.,54,51
15:22,276,Official TV Timeout,54,51
15:22,276,C.J. Burks made Free Throw.,54,52
15:21,195,Foul on Gavin Block.,54,52
15:21,276,Official TV Timeout,54,50
15:11,195,Mike Laster missed Jumper.,54,52
15:11,276,C.J. Burks Block.,54,52
15:08,195,Ohio Offensive Rebound.,54,52
15:05,195,Jordan Dartis missed Three Point Jumper.,54,52
15:05,195,James Gollon Offensive Rebound.,54,52
14:54,195,Kevin Mickle Turnover.,54,52
14:53,276,Jon Elmore Steal.,54,52
14:38,276,Foul on Milan Mijovic.,54,52
14:38,276,Milan Mijovic Turnover.,54,52
14:18,195,Kevin Mickle made Layup. Assisted by Mike Laster.,56,52
13:56,195,Foul on Jordan Dartis.,56,52
13:56,276,Jon Elmore made Free Throw.,56,53
13:56,276,Jon Elmore made Free Throw.,56,54
13:56,276,Jon Elmore made Free Throw.,56,55
13:35,195,Kevin Mickle missed Jumper.,56,55
13:35,276,Jon Elmore Defensive Rebound.,56,55
13:23,276,Milan Mijovic missed Layup.,56,55
13:23,195,Zach Butler Defensive Rebound.,56,55
13:20,276,Foul on Darius George.,56,55
13:07,195,Mike Laster made Layup.,58,55
12:50,276,Foul on Milan Mijovic.,58,55
12:50,276,Milan Mijovic Turnover.,58,55
12:33,195,Jordan Dartis made Three Point Jumper. Assisted by James Gollon.,61,55
12:16,276,C.J. Burks missed Layup.,61,55
12:16,195,James Gollon Defensive Rebound.,61,55
12:10,276,Foul on Jon Elmore.,61,55
12:10,195,Mike Laster missed Free Throw.,61,55
12:10,195,Ohio Deadball Team Rebound.,61,55
12:10,195,Mike Laster missed Free Throw.,61,55
12:10,276,Darius George Defensive Rebound.,61,55
12:01,276,Darius George missed Layup.,61,55
12:01,195,James Gollon Defensive Rebound.,61,55
11:56,195,Kevin Mickle made Dunk. Assisted by James Gollon.,63,55
11:35,276,Ajdin Penava made Three Point Jumper. Assisted by Darius George.,63,58
11:13,276,Foul on Darius George.,63,58
11:13,276,Official TV Timeout,63,58
11:13,195,James Gollon made Free Throw.,64,58
11:13,195,James Gollon missed Free Throw.,64,58
11:13,276,Jon Elmore Defensive Rebound.,64,58
11:00,276,C.J. Burks made Three Point Jumper. Assisted by Jon Elmore.,64,61
10:39,195,Doug Taylor made Dunk. Assisted by Teyvion Kirk.,66,61
10:29,276,Jon Elmore made Layup.,66,63
10:29,195,Foul on Jordan Dartis.,66,63
10:29,276,Jon Elmore made Free Throw.,66,64
10:13,195,Kevin Mickle made Jumper.,68,64
10:03,276,Jarrod West missed Three Point Jumper.,68,64
10:03,276,Marshall Offensive Rebound.,68,64
9:47,276,C.J. Burks made Layup. Assisted by Jon Elmore.,68,66
9:28,195,Gavin Block Turnover.,68,66
9:10,276,Jon Elmore made Jumper. Assisted by Jarrod West.,68,68
8:54,195,Jordan Dartis missed Three Point Jumper.,68,68
8:54,195,Mike Laster Offensive Rebound.,68,68
8:46,195,Mike Laster missed Layup.,68,68
8:46,276,Ajdin Penava Block.,68,68
8:45,195,Ohio Offensive Rebound.,68,68
8:43,195,Teyvion Kirk made Layup. Assisted by Gavin Block.,70,68
8:31,276,Jon Elmore Turnover.,70,68
8:29,195,Gavin Block Steal.,70,68
8:24,195,Teyvion Kirk made Jumper.,72,68
8:13,276,C.J. Burks missed Three Point Jumper.,72,68
8:13,195,Jordan Dartis Defensive Rebound.,72,68
8:02,195,Doug Taylor Turnover.,72,68
7:39,195,Foul on Doug Taylor.,72,68
7:39,276,Official TV Timeout,72,68
7:39,276,Jon Elmore made Free Throw.,72,69
7:39,276,Jon Elmore made Free Throw.,72,70
7:30,195,Jordan Dartis missed Layup.,72,70
7:30,276,Ajdin Penava Block.,72,70
7:27,195,Kevin Mickle Offensive Rebound.,72,70
7:25,195,Kevin Mickle made Layup.,74,70
7:17,276,C.J. Burks made Layup.,74,72
7:07,276,Foul on Darius George.,74,72
7:07,195,James Gollon made Free Throw.,75,72
7:07,195,James Gollon made Free Throw.,76,72
6:54,276,C.J. Burks missed Three Point Jumper.,76,72
6:54,276,C.J. Burks Offensive Rebound.,76,72
6:43,276,Ajdin Penava made Layup. Assisted by C.J. Burks.,76,74
6:43,195,Foul on Gavin Block.,76,74
6:43,276,Ajdin Penava made Free Throw.,76,75
6:29,195,Teyvion Kirk missed Jumper.,76,75
6:29,276,Jarrod West Defensive Rebound.,76,75
6:15,276,Jon Elmore Turnover.,76,75
6:14,195,Kevin Mickle Steal.,76,75
6:11,195,Teyvion Kirk made Jumper.,78,75
6:02,276,C.J. Burks Turnover.,78,75
6:01,195,Kevin Mickle Steal.,78,75
5:59,195,Kevin Mickle made Dunk.,80,75
5:50,195,Foul on Kevin Mickle.,80,75
5:50,276,Ajdin Penava made Free Throw.,80,76
5:50,276,Ajdin Penava made Free Throw.,80,77
5:38,195,Teyvion Kirk Turnover.,80,77
5:38,276,Ajdin Penava Steal.,80,77
5:38,195,Foul on Teyvion Kirk.,80,77
5:38,276,Ajdin Penava made Free Throw.,80,78
5:38,276,Ajdin Penava made Free Throw.,80,79
5:23,195,Teyvion Kirk missed Jumper.,80,79
5:23,276,Ajdin Penava Block.,80,79
5:20,276,C.J. Burks Defensive Rebound.,80,79
5:17,276,C.J. Burks made Layup.,80,81
5:09,195,Ohio  Timeout,80,81
4:55,276,Foul on C.J. Burks.,80,81
4:55,195,Jordan Dartis made Free Throw.,81,81
4:55,195,Jordan Dartis made Free Throw.,82,81
4:44,276,C.J. Burks made Three Point Jumper. Assisted by Jon Elmore.,82,84
4:18,195,Jordan Dartis missed Jumper.,82,84
4:18,276,Jannson Williams Defensive Rebound.,82,84
4:07,276,C.J. Burks missed Three Point Jumper.,82,84
4:07,195,Ohio Defensive Rebound.,82,84
4:00,276,Foul on C.J. Burks.,82,84
3:58,276,Official TV Timeout,82,84
3:58,195,Jordan Dartis made Free Throw.,83,84
3:58,195,Jordan Dartis made Free Throw.,84,84
3:46,276,Ajdin Penava made Jumper. Assisted by Jon Elmore.,84,86
3:22,195,Jordan Dartis made Jumper.,86,86
3:09,276,Ajdin Penava made Layup. Assisted by Jon Elmore.,86,88
3:05,276,Marshall  Timeout,86,88
2:43,195,Mike Laster missed Three Point Jumper.,86,88
2:43,195,Kevin Mickle Offensive Rebound.,86,88
2:32,195,Teyvion Kirk Turnover.,86,88
2:31,276,Ajdin Penava Steal.,86,88
2:17,276,Ajdin Penava missed Layup.,86,88
2:17,195,Mike Laster Defensive Rebound.,86,88
2:09,195,Gavin Block made Layup. Assisted by Teyvion Kirk.,88,88
1:46,276,Ajdin Penava made Layup. Assisted by Jon Elmore.,88,90
1:29,195,Jordan Dartis missed Three Point Jumper.,88,90
1:29,195,Gavin Block Offensive Rebound.,88,90
1:19,195,Jordan Dartis missed Three Point Jumper.,88,90
1:19,276,Jon Elmore Defensive Rebound.,88,90
0:55,276,C.J. Burks missed Three Point Jumper.,88,90
0:55,195,Kevin Mickle Defensive Rebound.,88,90
0:42,195,Gavin Block Turnover.,88,90
0:41,276,Jon Elmore Steal.,88,90
0:10,276,C.J. Burks missed Three Point Jumper.,88,90
0:10,276,Marshall Offensive Rebound.,88,90
0:08,276,Marshall  Turnover.,88,90
0:08,195,Ohio  Timeout,88,90
0:01,195,Teyvion Kirk missed Layup.,88,90
0:01,276,Ajdin Penava Block.,88,90
0:00,195,Kevin Mickle Offensive Rebound.,88,90
0:00,195,Kevin Mickle made Layup.,90,90
0:00,276,End of 2nd half,90,90
4:45,276,Ajdin Penava missed Three Point Jumper.,90,90
4:45,195,Mike Laster Defensive Rebound.,90,90
4:20,195,Doug Taylor missed Layup.,90,90
4:20,276,Ajdin Penava Defensive Rebound.,90,90
4:02,276,Jarrod West missed Three Point Jumper.,90,90
4:02,195,Teyvion Kirk Defensive Rebound.,90,90
3:59,276,Foul on Darius George.,90,90
3:59,195,Teyvion Kirk made Free Throw.,91,90
3:59,195,Teyvion Kirk made Free Throw.,92,90
3:48,276,Milan Mijovic made Layup. Assisted by Jon Elmore.,92,92
3:12,195,Teyvion Kirk missed Layup.,92,92
3:12,276,Ajdin Penava Defensive Rebound.,92,92
2:55,195,Foul on Doug Taylor.,92,92
2:55,276,C.J. Burks made Free Throw.,92,93
2:55,276,C.J. Burks made Free Throw.,92,94
2:39,195,Kevin Mickle missed Layup.,92,94
2:39,276,Ajdin Penava Block.,92,94
2:38,276,Ajdin Penava Defensive Rebound.,92,94
2:22,276,Darius George Turnover.,92,94
2:03,195,James Gollon missed Three Point Jumper.,92,94
2:03,195,James Gollon Offensive Rebound.,92,94
1:50,195,Jordan Dartis missed Three Point Jumper.,92,94
1:50,276,Jon Elmore Defensive Rebound.,92,94
1:26,276,Jon Elmore Turnover.,92,94
1:24,195,Teyvion Kirk Steal.,92,94
1:22,195,Teyvion Kirk missed Layup.,92,94
1:22,276,Darius George Block.,92,94
1:20,195,Kevin Mickle Offensive Rebound.,92,94
1:17,195,Gavin Block missed Three Point Jumper.,92,94
1:17,276,Ajdin Penava Defensive Rebound.,92,94
0:49,276,Ajdin Penava made Layup.,92,96
0:47,276,Marshall  Timeout,92,96
0:37,276,Foul on Ajdin Penava.,92,96
0:37,195,Kevin Mickle made Free Throw.,93,96
0:37,195,Kevin Mickle missed Free Throw.,93,96
0:37,276,Ajdin Penava Defensive Rebound.,93,96
0:31,276,Marshall  Timeout,93,96
0:27,195,Foul on Jordan Dartis.,93,96
0:27,195,Ohio  Timeout,93,96
0:27,276,Ajdin Penava made Free Throw.,93,97
0:27,276,Ajdin Penava missed Free Throw.,93,97
0:27,195,Kevin Mickle Defensive Rebound.,93,97
0:17,195,Teyvion Kirk made Three Point Jumper. Assisted by James Gollon.,96,97
0:14,195,Ohio  Timeout,96,97
0:11,195,Foul on James Gollon.,96,97
0:11,276,Jon Elmore made Free Throw.,96,98
0:11,276,Jon Elmore made Free Throw.,96,99
0:11,276,Marshall  Timeout,96,99
0:00,276,End of Game,96,99
