Kentucky Christian,Error,Liberty,2335
5:23,2335,Caleb Homesley Defensive Rebound.,9,37
5:12,2335,Lovell Cabbil made Layup.,9,39
5:05,-1,Brandon Barnes made Layup. Assisted by Connor Maddox.,11,39
4:51,-1,Foul on Owens Crawford.,11,39
4:51,2335,Scottie James made Free Throw.,11,40
4:51,2335,Scottie James made Free Throw.,11,41
4:24,-1,Owens Crawford missed Three Point Jumper.,11,41
4:24,2335,Liberty Defensive Rebound.,11,41
3:58,2335,Georgie Pacheco-Ortiz made Layup.,11,43
3:46,-1,Cole Gilliland made Layup. Assisted by Chase Porter.,13,43
3:21,2335,Elijah Cuffee made Three Point Jumper. Assisted by Georgie Pacheco-Ortiz.,13,46
2:59,-1,Cole Gilliland missed Jumper.,13,46
2:59,2335,Keegan McDowell Defensive Rebound.,13,46
2:42,-1,Foul on Matthew Lee.,13,46
2:42,2335,Official TV Timeout,13,46
2:42,2335,Isaiah Williams made Free Throw.,13,47
2:42,2335,Isaiah Williams made Free Throw.,13,48
2:24,-1,Chase Porter missed Jumper.,13,48
2:24,2335,Elijah Cuffee Defensive Rebound.,13,48
2:04,2335,Keegan McDowell missed Three Point Jumper.,13,48
2:04,-1,Hayden Dunn Defensive Rebound.,13,48
1:53,-1,Chase Porter made Three Point Jumper. Assisted by Brandon Barnes.,16,48
1:34,2335,Keegan McDowell Turnover.,16,48
1:33,-1,Hayden Dunn Steal.,16,48
1:30,-1,Brandon Barnes missed Three Point Jumper.,16,48
1:30,-1,Connor Maddox Offensive Rebound.,16,48
1:22,2335,Foul on Myo Baxter-Bell.,16,48
1:22,-1,Brandon Barnes made Free Throw.,17,48
1:22,-1,Brandon Barnes made Free Throw.,18,48
1:09,2335,Zach Farquhar made Three Point Jumper. Assisted by Caleb Homesley.,18,51
0:58,-1,Hayden Dunn made Three Point Jumper.,21,51
0:30,2335,Elijah Cuffee missed Three Point Jumper.,21,51
0:30,2335,Brody Hicks Offensive Rebound.,21,51
0:03,2335,Elijah Cuffee missed Three Point Jumper.,21,51
0:03,-1,Hayden Dunn Defensive Rebound.,21,51
0:00,2335,End of 1st half,21,51
19:39,-1,Hayden Dunn missed Three Point Jumper.,21,51
19:39,2335,Lovell Cabbil Defensive Rebound.,21,51
19:13,2335,Isaiah Williams Turnover.,21,51
19:01,-1,Cole Gilliland missed Three Point Jumper.,21,51
19:01,2335,Lovell Cabbil Defensive Rebound.,21,51
18:45,2335,Isaiah Williams missed Layup.,21,51
18:45,-1,Hayden Dunn Defensive Rebound.,21,51
18:36,-1,Brandon Barnes missed Layup.,21,51
18:36,2335,Scottie James Block.,21,51
18:33,2335,Isaiah Williams Defensive Rebound.,21,51
18:30,-1,Foul on Hayden Dunn.,21,51
18:30,2335,Isaiah Williams made Free Throw.,21,52
18:30,2335,Isaiah Williams missed Free Throw.,21,52
18:30,-1,Chase Porter Defensive Rebound.,21,52
18:10,-1,Owens Crawford made Three Point Jumper. Assisted by Brandon Barnes.,24,52
17:55,2335,Ryan Kemrite made Three Point Jumper. Assisted by Lovell Cabbil.,24,55
17:42,-1,Owens Crawford made Jumper.,26,55
17:27,2335,Georgie Pacheco-Ortiz made Layup.,26,57
17:07,-1,Owens Crawford missed Layup.,26,57
17:07,2335,Scottie James Defensive Rebound.,26,57
16:59,2335,Scottie James Turnover.,26,57
16:58,-1,Brandon Barnes Steal.,26,57
16:57,-1,Brandon Barnes made Layup.,28,57
16:36,2335,Scottie James made Layup. Assisted by Lovell Cabbil.,28,59
16:16,-1,Chase Porter made Three Point Jumper. Assisted by Hayden Dunn.,31,59
15:52,2335,Ryan Kemrite missed Three Point Jumper.,31,59
15:52,2335,Liberty Offensive Rebound.,31,59
15:48,2335,Official TV Timeout,31,59
15:41,2335,Lovell Cabbil made Three Point Jumper. Assisted by Scottie James.,31,62
15:29,-1,Hayden Dunn missed Jumper.,31,62
15:29,2335,Scottie James Defensive Rebound.,31,62
15:10,2335,Lovell Cabbil made Three Point Jumper. Assisted by Isaiah Williams.,31,65
14:45,-1,Owens Crawford made Jumper.,33,65
14:26,2335,Lovell Cabbil made Three Point Jumper.,33,68
14:13,-1,Owens Crawford Turnover.,33,68
13:52,2335,Caleb Homesley made Jumper.,33,70
13:34,-1,Owens Crawford missed Three Point Jumper.,33,70
13:34,2335,Georgie Pacheco-Ortiz Defensive Rebound.,33,70
13:16,2335,Lovell Cabbil missed Three Point Jumper.,33,70
13:16,-1,Hayden Dunn Defensive Rebound.,33,70
13:07,-1,Brandon Barnes missed Three Point Jumper.,33,70
13:07,2335,Caleb Homesley Defensive Rebound.,33,70
12:44,2335,Lovell Cabbil missed Layup.,33,70
12:44,-1,Hayden Dunn Defensive Rebound.,33,70
12:33,-1,Chase Porter missed Jumper.,33,70
12:33,2335,Myo Baxter-Bell Defensive Rebound.,33,70
12:26,2335,Elijah Cuffee made Layup. Assisted by Myo Baxter-Bell.,33,72
12:07,-1,Chase Porter missed Three Point Jumper.,33,72
12:07,2335,Caleb Homesley Defensive Rebound.,33,72
11:51,2335,Caleb Homesley Turnover.,33,72
11:50,-1,Brandon Barnes Steal.,33,72
11:45,-1,Brandon Barnes made Layup.,35,72
11:22,-1,Foul on Owens Crawford.,35,72
11:22,2335,Official TV Timeout,35,72
11:19,2335,Keegan McDowell missed Three Point Jumper.,35,72
11:19,2335,Caleb Homesley Offensive Rebound.,35,72
11:14,2335,Caleb Homesley made Layup.,35,74
10:48,-1,Hayden Dunn missed Jumper.,35,74
10:48,2335,Elijah Cuffee Defensive Rebound.,35,74
10:39,2335,Elijah Cuffee missed Three Point Jumper.,35,74
10:39,-1,Hayden Dunn Defensive Rebound.,35,74
10:32,-1,Connor Maddox missed Three Point Jumper.,35,74
10:32,2335,Ezra Talbert Defensive Rebound.,35,74
10:05,2335,Myo Baxter-Bell missed Three Point Jumper.,35,74
10:05,-1,Trenton Walker Defensive Rebound.,35,74
10:02,2335,Foul on Ezra Talbert.,35,74
9:45,-1,Connor Maddox missed Layup.,35,74
9:45,2335,Myo Baxter-Bell Defensive Rebound.,35,74
9:25,2335,Keegan McDowell made Jumper.,35,76
9:06,-1,Hayden Dunn Turnover.,35,76
9:04,2335,Elijah Cuffee Steal.,35,76
9:01,2335,Elijah Cuffee missed Layup.,35,76
9:01,-1,Brandon Barnes Defensive Rebound.,35,76
8:48,-1,Trenton Walker Turnover.,35,76
8:46,2335,Myo Baxter-Bell Steal.,35,76
8:43,2335,Myo Baxter-Bell made Dunk. Assisted by Elijah Cuffee.,35,78
8:21,2335,Foul on Myo Baxter-Bell.,35,78
8:18,-1,Hayden Dunn missed Three Point Jumper.,35,78
8:18,-1,Cole Gilliland Offensive Rebound.,35,78
8:01,-1,Cole Gilliland missed Jumper.,35,78
8:01,2335,Elijah Cuffee Block.,35,78
7:59,-1,Brandon Barnes Offensive Rebound.,35,78
7:53,-1,Chase Porter Turnover.,35,78
7:52,2335,Elijah Cuffee Steal.,35,78
7:45,-1,Chase Porter missed Layup.,35,78
7:45,2335,Caleb Homesley Defensive Rebound.,35,78
7:31,2335,Elijah Cuffee missed Three Point Jumper.,35,78
7:31,-1,Kentucky Christian Defensive Rebound.,35,78
7:31,2335,Foul on Ezra Talbert.,35,78
7:31,2335,Official TV Timeout,35,78
7:17,-1,Jared Shoemaker missed Jumper.,35,78
7:17,2335,Liberty Defensive Rebound.,35,78
6:59,2335,Ryan Kemrite made Three Point Jumper. Assisted by Lovell Cabbil.,35,81
6:40,-1,Cole Gilliland missed Jumper.,35,81
6:40,2335,Keegan McDowell Defensive Rebound.,35,81
6:19,2335,Lovell Cabbil made Layup.,35,83
6:06,-1,Chase Porter made Jumper.,37,83
5:48,2335,Ezra Talbert missed Jumper.,37,83
5:48,2335,Ryan Kemrite Offensive Rebound.,37,83
5:43,2335,Ryan Kemrite missed Layup.,37,83
5:43,2335,Ryan Kemrite Offensive Rebound.,37,83
5:43,2335,Ryan Kemrite made Layup.,37,85
5:43,-1,Foul on Cole Gilliland.,37,85
5:43,2335,Ryan Kemrite made Free Throw.,37,86
5:30,-1,Chase Porter made Layup.,39,86
5:14,2335,Scottie James made Layup.,39,88
5:14,-1,Foul on Sam Robinson.,39,88
5:14,2335,Scottie James made Free Throw.,39,89
4:55,-1,Sam Robinson missed Three Point Jumper.,39,89
4:55,2335,Caleb Homesley Defensive Rebound.,39,89
4:31,2335,Scottie James made Layup. Assisted by Elijah Cuffee.,39,91
4:18,-1,Jared Shoemaker missed Jumper.,39,91
4:18,2335,Brody Hicks Defensive Rebound.,39,91
4:04,2335,Elijah Cuffee missed Layup.,39,91
4:04,-1,Brandon Barnes Defensive Rebound.,39,91
3:56,2335,Foul on Scottie James.,39,91
3:56,2335,Official TV Timeout,39,91
3:56,-1,Patrick Bray missed Free Throw.,39,91
3:56,-1,Kentucky Christian Deadball Team Rebound.,39,91
3:56,-1,Patrick Bray made Free Throw.,40,91
3:41,2335,Elijah Cuffee Turnover.,40,91
3:40,-1,Jared Shoemaker Steal.,40,91
3:33,-1,Chase Porter missed Jumper.,40,91
3:33,2335,Brody Hicks Defensive Rebound.,40,91
3:23,2335,Elijah Cuffee missed Three Point Jumper.,40,91
3:23,2335,Brody Hicks Offensive Rebound.,40,91
3:12,2335,Myo Baxter-Bell Turnover.,40,91
3:10,-1,Chase Porter Steal.,40,91
2:46,-1,Sam Robinson missed Jumper.,40,91
2:46,2335,Brody Hicks Defensive Rebound.,40,91
2:32,2335,Myo Baxter-Bell made Dunk. Assisted by Keegan McDowell.,40,93
2:24,-1,Kentucky Christian  Timeout,40,93
2:11,2335,Foul on Myo Baxter-Bell.,40,93
2:11,-1,Hayden Dunn missed Free Throw.,40,93
2:11,-1,Kentucky Christian Deadball Team Rebound.,40,93
2:11,-1,Hayden Dunn missed Free Throw.,40,93
2:11,2335,Ezra Talbert Defensive Rebound.,40,93
1:42,2335,Myo Baxter-Bell made Three Point Jumper. Assisted by Brody Hicks.,40,96
1:12,-1,Matthew Lee Turnover.,40,96
1:08,2335,Myo Baxter-Bell Steal.,40,96
0:59,2335,Brody Hicks missed Dunk.,40,96
0:59,2335,Ezra Talbert Offensive Rebound.,40,96
0:53,2335,Ezra Talbert Turnover.,40,96
0:52,-1,Sam Robinson Steal.,40,96
0:49,-1,Cameron Thomas missed Jumper.,40,96
0:49,2335,Liberty Defensive Rebound.,40,96
0:35,-1,Foul on Cameron Thomas.,40,96
0:33,2335,Keegan McDowell Turnover.,40,96
0:31,-1,Hayden Dunn Steal.,40,96
0:24,-1,Matthew Lee missed Three Point Jumper.,40,96
0:24,2335,Ezra Talbert Defensive Rebound.,40,96
0:00,2335,End of Game,40,96
