VCU,239,Baylor,2670
14:07,239,Terry Maston missed Layup.,42,36
14:07,2670,Justin Tillman Defensive Rebound.,42,36
13:55,2670,Jordan Burgess missed Three Point Jumper.,42,36
13:55,239,Wendell Mitchell Defensive Rebound.,42,36
13:44,2670,Foul on Mo Alie-Cox.,42,36
13:44,239,Terry Maston made Free Throw.,42,37
13:44,239,Terry Maston made Free Throw.,42,38
13:26,2670,Jordan Burgess Turnover.,42,38
13:16,239,Wendell Mitchell missed Layup.,42,38
13:16,2670,Justin Tillman Block.,42,38
13:16,239,Baylor Offensive Rebound.,42,38
13:10,239,Jake Lindsey made Three Point Jumper. Assisted by Wendell Mitchell.,42,41
12:41,2670,Justin Tillman Turnover.,42,41
12:27,239,Terry Maston missed Layup.,42,41
12:27,2670,Jordan Burgess Block.,42,41
12:25,2670,VCU Defensive Rebound.,42,41
12:14,2670,Jonathan Williams made Jumper. Assisted by Jordan Burgess.,44,41
11:51,239,Al Freeman missed Layup.,44,41
11:51,239,Johnathan Motley Offensive Rebound.,44,41
11:48,239,Johnathan Motley made Two Point Tip Shot.,44,43
11:26,239,Foul on Johnathan Motley.,44,43
11:26,239,Official TV Timeout,44,43
11:09,2670,Ahmed Hamdy-Mohamed missed Layup.,44,43
11:09,239,Johnathan Motley Defensive Rebound.,44,43
10:59,2670,Foul on Ahmed Hamdy-Mohamed.,44,43
10:59,239,Johnathan Motley made Free Throw.,44,44
10:59,239,Johnathan Motley made Free Throw.,44,45
10:40,2670,Ahmed Hamdy-Mohamed missed Layup.,44,45
10:40,239,Ishmail Wainright Defensive Rebound.,44,45
10:34,239,Manu Lecomte Turnover.,44,45
10:33,2670,Jonathan Williams Steal.,44,45
10:28,2670,JeQuan Lewis made Three Point Jumper. Assisted by Jonathan Williams.,47,45
10:05,2670,Foul on Jordan Burgess.,47,45
10:05,239,Johnathan Motley made Free Throw.,47,46
10:05,239,Johnathan Motley made Free Throw.,47,47
9:58,2670,Mo Alie-Cox made Dunk. Assisted by Jordan Burgess.,49,47
9:42,239,Terry Maston made Jumper. Assisted by Manu Lecomte.,49,49
9:17,2670,Doug Brooks Turnover.,49,49
8:57,239,Manu Lecomte missed Jumper.,49,49
8:57,2670,Mo Alie-Cox Defensive Rebound.,49,49
8:53,2670,Jonathan Williams Turnover.,49,49
8:53,2670,Foul on Jonathan Williams.,49,49
8:41,2670,Foul on Mo Alie-Cox.,49,49
8:38,239,Terry Maston missed Jumper.,49,49
8:38,239,Ishmail Wainright Offensive Rebound.,49,49
8:18,239,Terry Maston made Jumper. Assisted by Johnathan Motley.,49,51
7:47,2670,Ahmed Hamdy-Mohamed made Layup. Assisted by JeQuan Lewis.,51,51
7:16,239,Manu Lecomte missed Layup.,51,51
7:16,2670,Jonathan Williams Defensive Rebound.,51,51
7:06,2670,Ahmed Hamdy-Mohamed Turnover.,51,51
7:05,239,Ishmail Wainright Steal.,51,51
7:01,239,Manu Lecomte missed Three Point Jumper.,51,51
7:01,239,Johnathan Motley Offensive Rebound.,51,51
6:57,2670,Foul on Jordan Burgess.,51,51
6:57,239,Official TV Timeout,51,51
6:57,239,Johnathan Motley made Free Throw.,51,52
6:57,239,Johnathan Motley made Free Throw.,51,53
6:40,2670,JeQuan Lewis missed Three Point Jumper.,51,53
6:40,239,Jake Lindsey Defensive Rebound.,51,53
6:10,239,Al Freeman made Layup.,51,55
5:47,2670,Samir Doughty Turnover.,51,55
5:44,239,Jo Lual-Acuil Jr. Steal.,51,55
5:20,239,Jo Lual-Acuil Jr. Turnover.,51,55
5:01,2670,Samir Doughty missed Layup.,51,55
5:01,2670,Mo Alie-Cox Offensive Rebound.,51,55
4:59,239,Foul on Ishmail Wainright.,51,55
4:59,2670,Mo Alie-Cox made Free Throw.,52,55
4:59,2670,Mo Alie-Cox made Free Throw.,53,55
4:33,239,Al Freeman made Three Point Jumper. Assisted by Ishmail Wainright.,53,58
4:04,2670,Doug Brooks missed Three Point Jumper.,53,58
4:04,239,Manu Lecomte Defensive Rebound.,53,58
3:59,239,Manu Lecomte Turnover.,53,58
3:59,239,Official TV Timeout,53,58
3:36,2670,JeQuan Lewis Turnover.,53,58
3:35,239,Jo Lual-Acuil Jr. Steal.,53,58
3:12,239,Al Freeman made Layup. Assisted by Ishmail Wainright.,53,60
2:49,2670,Samir Doughty missed Layup.,53,60
2:49,2670,Mo Alie-Cox Offensive Rebound.,53,60
2:45,2670,Jordan Burgess missed Three Point Jumper.,53,60
2:45,2670,VCU Offensive Rebound.,53,60
2:44,239,Foul on Johnathan Motley.,53,60
2:44,2670,Samir Doughty made Free Throw.,54,60
2:44,2670,Samir Doughty made Free Throw.,55,60
2:16,239,Al Freeman missed Three Point Jumper.,55,60
2:16,2670,Jonathan Williams Defensive Rebound.,55,60
2:09,2670,Jonathan Williams missed Layup.,55,60
2:09,2670,VCU Offensive Rebound.,55,60
2:01,239,Foul on Jo Lual-Acuil Jr..,55,60
2:01,2670,Ahmed Hamdy-Mohamed missed Free Throw.,55,60
2:01,2670,VCU Deadball Team Rebound.,55,60
2:01,2670,Ahmed Hamdy-Mohamed made Free Throw.,56,60
1:42,239,Johnathan Motley missed Layup.,56,60
1:42,2670,Ahmed Hamdy-Mohamed Block.,56,60
1:41,239,Baylor Offensive Rebound.,56,60
1:36,2670,Foul on Samir Doughty.,56,60
1:36,239,Manu Lecomte made Free Throw.,56,61
1:36,239,Manu Lecomte made Free Throw.,56,62
1:12,2670,Ahmed Hamdy-Mohamed made Jumper. Assisted by Jonathan Williams.,58,62
1:10,2670,VCU  Timeout,58,62
1:10,239,Official TV Timeout,58,62
0:51,239,Manu Lecomte made Layup.,58,64
0:51,239,Manu Lecomte made Free Throw.,58,65
0:51,2670,Foul on Ahmed Hamdy-Mohamed.,58,64
0:41,2670,JeQuan Lewis made Three Point Jumper.,61,65
0:41,2670,VCU  Timeout,61,65
0:38,2670,Foul on JeQuan Lewis.,61,65
0:38,239,Manu Lecomte made Free Throw.,61,66
0:38,239,Manu Lecomte made Free Throw.,61,67
0:33,2670,JeQuan Lewis missed Three Point Jumper.,61,67
0:33,239,Manu Lecomte Defensive Rebound.,61,67
0:28,2670,Foul on Doug Brooks.,61,67
0:28,239,Manu Lecomte made Free Throw.,61,68
0:28,239,Manu Lecomte made Free Throw.,61,69
0:23,239,Foul on Johnathan Motley.,61,69
0:23,2670,JeQuan Lewis made Free Throw.,62,69
0:23,2670,JeQuan Lewis made Free Throw.,63,69
0:23,2670,JeQuan Lewis missed Free Throw.,63,69
0:23,239,Ishmail Wainright Defensive Rebound.,63,69
0:20,2670,Foul on Jordan Burgess.,63,69
0:20,239,Manu Lecomte made Free Throw.,63,70
0:20,239,Manu Lecomte made Free Throw.,63,71
0:16,2670,JeQuan Lewis missed Three Point Jumper.,63,71
0:16,239,Ishmail Wainright Defensive Rebound.,63,71
0:00,239,End of Game,63,71
