Drexel,315,Niagara,2182
10:27,2182,Jeremy Peck Defensive Rebound.,13,19
10:09,2182,Kari Jonsson missed Three Point Jumper.,13,19
10:09,315,James Towns Defensive Rebound.,13,19
9:54,315,Kahlil Dukes missed Jumper.,13,19
9:54,2182,Jeremy Peck Defensive Rebound.,13,19
9:45,2182,Tyshawn Myles missed Layup.,13,19
9:45,315,Dominic Robb Block.,13,19
9:44,2182,Tyshawn Myles Offensive Rebound.,13,19
9:41,2182,Tyshawn Myles made Layup.,15,19
9:20,315,Matt Scott made Jumper. Assisted by Kahlil Dukes.,15,21
9:15,2182,Drexel  Timeout,15,21
9:15,315,Official TV Timeout,15,21
8:48,2182,Kurk Lee made Layup.,17,21
8:21,315,Maurice Taylor Jr. Turnover.,17,21
8:03,2182,Sammy Mojica made Layup.,19,21
7:33,315,James Towns made Three Point Jumper.,19,24
7:17,2182,Mohamed Bah made Layup. Assisted by Kurk Lee.,21,24
7:00,315,Ali Tew made Layup. Assisted by Matt Scott.,21,26
6:47,2182,Kurk Lee missed Jumper.,21,26
6:47,315,Niagara Defensive Rebound.,21,26
6:47,2182,Foul on Mohamed Bah.,21,26
6:45,315,Official TV Timeout,21,26
6:31,315,Matt Scott Turnover.,21,26
6:30,2182,Kurk Lee Steal.,21,26
6:28,2182,Kurk Lee missed Layup.,21,26
6:28,315,Ali Tew Block.,21,26
6:28,2182,Drexel Offensive Rebound.,21,26
6:15,2182,Sammy Mojica made Three Point Jumper. Assisted by Kurk Lee.,24,26
6:06,315,Chris Barton Turnover.,24,26
5:55,2182,Miles Overton missed Three Point Jumper.,24,26
5:55,315,Chris Barton Defensive Rebound.,24,26
5:29,315,Chris Barton missed Layup.,24,26
5:29,315,Ali Tew Offensive Rebound.,24,26
5:26,315,Ali Tew Turnover.,24,26
5:09,2182,Miles Overton missed Jumper.,24,26
5:09,2182,Miles Overton Offensive Rebound.,24,26
5:08,2182,Miles Overton missed Two Point Tip Shot.,24,26
5:08,315,Kahlil Dukes Defensive Rebound.,24,26
5:04,315,James Towns made Three Point Jumper. Assisted by Kahlil Dukes.,24,29
4:46,2182,Rodney Williams Turnover.,24,29
4:46,2182,Foul on Rodney Williams.,24,29
4:34,2182,Foul on Miles Overton.,24,29
4:16,315,Marvin Prochet missed Jumper.,24,29
4:16,2182,Austin Williams Defensive Rebound.,24,29
4:06,2182,Sammy Mojica made Three Point Jumper. Assisted by Kurk Lee.,27,29
3:39,315,James Towns made Three Point Jumper.,27,32
3:21,2182,Kurk Lee made Three Point Jumper. Assisted by Rodney Williams.,30,32
3:12,315,James Towns missed Three Point Jumper.,30,32
3:12,2182,Sammy Mojica Defensive Rebound.,30,32
3:03,2182,Austin Williams missed Layup.,30,32
3:03,315,James Towns Defensive Rebound.,30,32
2:59,315,Shane Gatling made Layup. Assisted by James Towns.,30,34
2:46,2182,Rodney Williams made Dunk. Assisted by Kurk Lee.,32,34
2:46,315,Foul on Dominic Robb.,32,34
2:46,315,Official TV Timeout,32,34
2:46,2182,Rodney Williams made Free Throw.,33,34
2:30,315,Marvin Prochet made Three Point Jumper. Assisted by Matt Scott.,33,37
2:06,2182,Austin Williams made Jumper.,35,37
1:47,315,Kahlil Dukes missed Layup.,35,37
1:47,2182,Drexel Defensive Rebound.,35,37
1:45,315,Foul on Dominic Robb.,35,37
1:24,2182,Kari Jonsson missed Three Point Jumper.,35,37
1:24,2182,Rodney Williams Offensive Rebound.,35,37
1:21,2182,Rodney Williams made Layup.,37,37
0:50,315,Maurice Taylor Jr. missed Layup.,37,37
0:50,2182,Austin Williams Defensive Rebound.,37,37
0:42,2182,Kurk Lee missed Layup.,37,37
0:42,315,James Towns Defensive Rebound.,37,37
0:41,2182,Foul on Rodney Williams.,37,37
0:18,2182,Foul on Kari Jonsson.,37,37
0:18,315,Matt Scott made Free Throw.,37,38
0:18,315,Matt Scott missed Free Throw.,37,38
0:18,2182,Mohamed Bah Defensive Rebound.,37,38
0:06,2182,Kurk Lee missed Jumper.,37,38
0:06,2182,Drexel Offensive Rebound.,37,38
0:00,315,End of 1st half,37,38
19:47,2182,Foul on Austin Williams.,37,38
19:47,315,Dominic Robb missed Free Throw.,37,38
19:47,315,Niagara Deadball Team Rebound.,37,38
19:47,315,Dominic Robb made Free Throw.,37,39
19:37,2182,Sammy Mojica missed Three Point Jumper.,37,39
19:37,315,Dominic Robb Defensive Rebound.,37,39
19:28,2182,Foul on Kurk Lee.,37,39
19:28,315,Niagara  Timeout,37,39
19:22,315,Marvin Prochet made Jumper. Assisted by Matt Scott.,37,41
18:53,2182,Kurk Lee missed Three Point Jumper.,37,41
18:53,2182,Rodney Williams Offensive Rebound.,37,41
18:51,2182,Rodney Williams missed Layup.,37,41
18:51,315,Marvin Prochet Defensive Rebound.,37,41
18:35,315,Marvin Prochet made Three Point Jumper. Assisted by Matt Scott.,37,44
18:15,2182,Miles Overton missed Three Point Jumper.,37,44
18:15,2182,Kurk Lee Offensive Rebound.,37,44
18:13,2182,Kurk Lee missed Layup.,37,44
18:13,315,Marvin Prochet Block.,37,44
18:13,2182,Drexel Offensive Rebound.,37,44
18:04,2182,Sammy Mojica missed Three Point Jumper.,37,44
18:04,315,Marvin Prochet Defensive Rebound.,37,44
17:53,315,Marvin Prochet missed Jumper.,37,44
17:53,2182,Austin Williams Block.,37,44
17:49,315,Dominic Robb Offensive Rebound.,37,44
17:33,315,Dominic Robb missed Layup.,37,44
17:33,2182,Austin Williams Defensive Rebound.,37,44
17:26,2182,Kurk Lee made Jumper.,39,44
17:08,315,Matt Scott made Three Point Jumper. Assisted by Dwayne Pow.,39,47
16:51,315,Foul on Dominic Robb.,39,47
16:43,2182,Rodney Williams missed Jumper.,39,47
16:43,315,Dominic Robb Block.,39,47
16:41,315,Matt Scott Defensive Rebound.,39,47
16:33,2182,Foul on Rodney Williams.,39,47
16:33,315,Marvin Prochet made Free Throw.,39,48
16:33,315,Marvin Prochet made Free Throw.,39,49
16:29,2182,Sammy Mojica made Layup.,41,49
15:57,315,Marvin Prochet missed Jumper.,41,49
15:57,2182,Kari Jonsson Defensive Rebound.,41,49
15:50,2182,Kurk Lee missed Layup.,41,49
15:50,2182,Sammy Mojica Offensive Rebound.,41,49
15:46,2182,Sammy Mojica made Two Point Tip Shot.,43,49
15:39,315,Dwayne Pow missed Layup.,43,49
15:39,315,Ali Tew Offensive Rebound.,43,49
15:39,315,Ali Tew made Layup.,43,51
15:39,2182,Foul on Rodney Williams.,43,51
15:39,315,Official TV Timeout,43,51
15:39,315,Ali Tew made Free Throw.,43,52
15:27,2182,Austin Williams Turnover.,43,52
15:26,315,Marvin Prochet Steal.,43,52
15:11,315,Ali Tew made Layup. Assisted by Dwayne Pow.,43,54
14:51,2182,Kari Jonsson missed Three Point Jumper.,43,54
14:51,315,Shane Gatling Defensive Rebound.,43,54
14:31,315,Marvin Prochet made Jumper. Assisted by Dwayne Pow.,43,56
14:09,2182,Sammy Mojica missed Three Point Jumper.,43,56
14:09,2182,Austin Williams Offensive Rebound.,43,56
14:08,2182,Austin Williams made Two Point Tip Shot.,45,56
14:07,2182,Drexel  Timeout,45,56
13:45,315,Marvin Prochet made Jumper. Assisted by Dwayne Pow.,45,58
13:28,2182,Kari Jonsson missed Layup.,45,58
13:28,2182,Drexel Offensive Rebound.,45,58
13:13,2182,Austin Williams made Dunk. Assisted by John Moran.,47,58
13:12,315,Foul on Marvin Prochet.,47,58
13:12,2182,Austin Williams made Free Throw.,48,58
12:55,315,Dwayne Pow Turnover.,48,58
12:54,2182,John Moran Steal.,48,58
12:48,2182,Sammy Mojica missed Layup.,48,58
12:48,315,Matt Scott Defensive Rebound.,48,58
12:29,315,Marvin Prochet Turnover.,48,58
12:29,315,Foul on Marvin Prochet.,48,58
12:13,315,Foul on Ali Tew.,48,58
12:13,2182,Mohamed Bah missed Free Throw.,48,58
12:13,2182,Drexel Deadball Team Rebound.,48,58
12:13,2182,Mohamed Bah missed Free Throw.,48,58
12:13,315,Ali Tew Defensive Rebound.,48,58
11:56,315,Marvin Prochet missed Three Point Jumper.,48,58
11:56,315,Matt Scott Offensive Rebound.,48,58
11:53,2182,Foul on Mohamed Bah.,48,58
11:53,315,Official TV Timeout,48,58
11:53,315,Matt Scott made Free Throw.,48,59
11:53,315,Matt Scott made Free Throw.,48,60
11:44,2182,John Moran missed Layup.,48,60
11:44,315,Matt Scott Defensive Rebound.,48,60
11:17,2182,Foul on Austin Williams.,48,60
11:17,315,Marvin Prochet made Free Throw.,48,61
11:17,315,Marvin Prochet made Free Throw.,48,62
10:51,2182,Austin Williams made Jumper. Assisted by Kurk Lee.,50,62
10:26,315,Kahlil Dukes made Jumper.,50,64
10:19,2182,Kurk Lee Turnover.,50,64
10:03,315,Marvin Prochet made Three Point Jumper. Assisted by Matt Scott.,50,67
9:54,315,Foul on Ali Tew.,50,67
9:38,2182,Kari Jonsson made Jumper.,52,67
9:19,315,James Towns made Three Point Jumper. Assisted by Kahlil Dukes.,52,70
8:58,315,Foul on Ali Tew.,52,70
8:58,2182,Rodney Williams made Free Throw.,53,70
8:58,2182,Rodney Williams made Free Throw.,54,70
8:42,2182,Foul on Sammy Mojica.,54,70
8:42,315,Ali Tew made Free Throw.,54,71
8:42,315,Ali Tew missed Free Throw.,54,71
8:42,2182,Sammy Mojica Defensive Rebound.,54,71
8:27,2182,Miles Overton missed Jumper.,54,71
8:27,315,Ali Tew Defensive Rebound.,54,71
8:15,315,Ali Tew missed Layup.,54,71
8:15,2182,Miles Overton Defensive Rebound.,54,71
8:07,2182,Sammy Mojica made Layup.,56,71
7:58,315,Matt Scott Turnover.,56,71
7:58,315,Foul on Matt Scott.,56,71
7:58,315,Official TV Timeout,56,71
7:45,2182,Kari Jonsson made Three Point Jumper.,59,71
7:10,2182,Foul on Austin Williams.,59,71
7:10,315,Matt Scott made Free Throw.,59,72
7:10,315,Matt Scott made Free Throw.,59,73
7:04,2182,Miles Overton made Layup. Assisted by Kurk Lee.,61,73
6:43,315,Kahlil Dukes made Jumper.,61,75
6:28,2182,Kari Jonsson Turnover.,61,75
6:28,2182,Foul on Kari Jonsson.,61,75
6:28,315,Kahlil Dukes made Free Throw.,61,76
6:28,315,Kahlil Dukes made Free Throw.,61,77
6:17,2182,Sammy Mojica missed Three Point Jumper.,61,77
6:17,2182,Kurk Lee Offensive Rebound.,61,77
6:06,2182,Sammy Mojica missed Layup.,61,77
6:06,315,Matt Scott Defensive Rebound.,61,77
6:03,2182,Foul on Sammy Mojica.,61,77
6:03,315,Matt Scott made Free Throw.,61,78
6:03,315,Matt Scott missed Free Throw.,61,78
6:03,2182,Sammy Mojica Defensive Rebound.,61,78
5:47,2182,Miles Overton missed Three Point Jumper.,61,78
5:47,315,James Towns Defensive Rebound.,61,78
5:41,315,James Towns Turnover.,61,78
5:40,2182,Sammy Mojica Steal.,61,78
5:37,315,Foul on James Towns.,61,78
5:37,2182,Sammy Mojica made Free Throw.,62,78
5:37,2182,Sammy Mojica missed Free Throw.,62,78
5:37,2182,Rodney Williams Offensive Rebound.,62,78
5:35,2182,Rodney Williams made Layup.,64,78
5:26,315,Matt Scott missed Layup.,64,78
5:26,315,Dominic Robb Offensive Rebound.,64,78
5:25,315,Dominic Robb made Two Point Tip Shot.,64,80
5:16,2182,Miles Overton missed Layup.,64,80
5:16,2182,Drexel Offensive Rebound.,64,80
5:14,2182,Drexel  Timeout,64,80
5:07,2182,Miles Overton missed Layup.,64,80
5:07,315,Dominic Robb Block.,64,80
5:07,2182,Rodney Williams Offensive Rebound.,64,80
5:07,315,Foul on Kahlil Dukes.,64,80
5:07,2182,Rodney Williams made Free Throw.,65,80
5:07,2182,Rodney Williams made Free Throw.,66,80
4:36,315,Kahlil Dukes made Three Point Jumper.,66,83
4:15,2182,Sammy Mojica missed Layup.,66,83
4:15,2182,Sammy Mojica Offensive Rebound.,66,83
4:13,2182,Sammy Mojica missed Layup.,66,83
4:13,315,Dominic Robb Defensive Rebound.,66,83
3:48,315,Matt Scott made Jumper. Assisted by Kahlil Dukes.,66,85
3:37,2182,Miles Overton missed Three Point Jumper.,66,85
3:37,2182,Sammy Mojica Offensive Rebound.,66,85
3:34,2182,Sammy Mojica made Layup.,68,85
2:56,315,Marvin Prochet missed Jumper.,68,85
2:56,315,Matt Scott Offensive Rebound.,68,85
2:50,315,Matt Scott Turnover.,68,85
2:50,315,Foul on Matt Scott.,68,85
2:42,315,Foul on Marvin Prochet.,68,85
2:42,2182,Austin Williams missed Free Throw.,68,85
2:42,2182,Drexel Deadball Team Rebound.,68,85
2:42,2182,Austin Williams made Free Throw.,69,85
2:23,315,Marvin Prochet made Layup. Assisted by Dwayne Pow.,69,87
2:10,2182,Kurk Lee missed Layup.,69,87
2:10,2182,Austin Williams Offensive Rebound.,69,87
2:08,2182,Austin Williams made Layup.,71,87
2:08,315,Foul on Dwayne Pow.,71,87
2:08,2182,Austin Williams missed Free Throw.,71,87
2:08,315,Marvin Prochet Defensive Rebound.,71,87
2:00,2182,Foul on Kurk Lee.,71,87
2:00,315,Dwayne Pow made Free Throw.,71,88
2:00,315,Dwayne Pow made Free Throw.,71,89
1:54,2182,Miles Overton missed Layup.,71,89
1:54,315,Marvin Prochet Block.,71,89
1:53,315,Dwayne Pow Defensive Rebound.,71,89
1:31,315,Dwayne Pow made Layup.,71,91
1:22,2182,Kurk Lee made Three Point Jumper.,74,91
1:14,315,Niagara  Timeout,74,91
0:48,315,James Towns missed Layup.,74,91
0:48,2182,Kari Jonsson Defensive Rebound.,74,91
0:42,2182,John Moran missed Three Point Jumper.,74,91
0:42,2182,Drexel Offensive Rebound.,74,91
0:35,2182,Kurk Lee missed Three Point Jumper.,74,91
0:35,2182,Mohamed Bah Offensive Rebound.,74,91
0:34,315,Foul on Ali Tew.,74,91
0:34,2182,Mohamed Bah missed Free Throw.,74,91
0:34,2182,Drexel Deadball Team Rebound.,74,91
0:34,2182,Mohamed Bah missed Free Throw.,74,91
0:34,315,Maurice Taylor Jr. Defensive Rebound.,74,91
0:11,315,James Towns made Jumper.,74,93
0:05,2182,Kurk Lee missed Jumper.,74,93
