Maryland-Eastern Shore,36,Colorado State,2379
6:38,2379,Bakari Copeland made Free Throw.,19,22
6:24,36,Anthony Bonner made Layup.,19,24
5:56,2379,Thomas Rivera missed Jumper.,19,24
5:56,36,Che Bob Defensive Rebound.,19,24
5:54,2379,Foul on Dontae Caldwell.,19,24
5:54,36,Che Bob made Free Throw.,19,25
5:54,36,Che Bob made Free Throw.,19,26
5:41,2379,Ryan Andino missed Three Point Jumper.,19,26
5:41,2379,Derrico Peck Offensive Rebound.,19,26
5:29,2379,Bakari Copeland missed Three Point Jumper.,19,26
5:29,2379,Logan McIntosh Offensive Rebound.,19,26
5:10,2379,Bakari Copeland missed Layup.,19,26
5:10,36,Nico Carvacho Block.,19,26
5:10,36,Nico Carvacho Defensive Rebound.,19,26
4:57,36,Emmanuel Omogbo Turnover.,19,26
4:30,2379,Bakari Copeland missed Jumper.,19,26
4:30,36,Che Bob Defensive Rebound.,19,26
4:19,36,J.D. Paige made Three Point Jumper. Assisted by Prentiss Nixon.,19,29
4:05,2379,Maryland-Eastern Shore  Timeout,19,29
4:05,36,Official TV Timeout,19,29
3:45,2379,Randell Pickett made Three Point Jumper. Assisted by Bakari Copeland.,22,29
3:32,36,Che Bob Turnover.,22,29
3:17,2379,Derrico Peck made Layup. Assisted by Ryan Andino.,24,29
2:53,36,Prentiss Nixon made Three Point Jumper. Assisted by Che Bob.,24,32
2:44,2379,Randell Pickett made Layup.,26,32
2:36,36,Colorado St  Timeout,26,32
2:32,2379,Foul on Logan McIntosh.,26,32
2:32,36,J.D. Paige missed Free Throw.,26,32
2:32,2379,Bakari Copeland Defensive Rebound.,26,32
2:22,2379,Randell Pickett made Three Point Jumper. Assisted by Derrico Peck.,29,32
2:02,36,Prentiss Nixon missed Three Point Jumper.,29,32
2:02,36,Che Bob Offensive Rebound.,29,32
1:53,36,Che Bob made Dunk.,29,34
1:43,2379,Randell Pickett missed Three Point Jumper.,29,34
1:43,36,Nico Carvacho Defensive Rebound.,29,34
1:28,36,Prentiss Nixon Turnover.,29,34
1:10,36,Foul on Prentiss Nixon.,29,34
1:04,2379,Bakari Copeland missed Jumper.,29,34
1:04,36,Che Bob Block.,29,34
1:02,36,J.D. Paige Defensive Rebound.,29,34
0:54,36,Che Bob made Three Point Jumper. Assisted by J.D. Paige.,29,37
0:27,2379,Randell Pickett missed Three Point Jumper.,29,37
0:27,36,J.D. Paige Defensive Rebound.,29,37
0:19,36,Devocio Butler made Layup. Assisted by J.D. Paige.,29,39
0:02,2379,Logan McIntosh made Jumper.,31,39
0:00,36,End of 1st half,31,39
19:45,2379,Isaac Taylor made Jumper.,33,39
19:21,36,Prentiss Nixon made Jumper.,33,41
18:54,2379,Isaac Taylor missed Jumper.,33,41
18:54,36,Emmanuel Omogbo Defensive Rebound.,33,41
18:43,2379,Foul on Isaac Taylor.,33,41
18:41,36,Braden Koelliker Turnover.,33,41
18:20,2379,Dontae Caldwell missed Three Point Jumper.,33,41
18:20,36,Emmanuel Omogbo Defensive Rebound.,33,41
18:08,36,Emmanuel Omogbo made Layup.,33,43
17:55,2379,Ryan Andino missed Three Point Jumper.,33,43
17:55,36,Emmanuel Omogbo Defensive Rebound.,33,43
17:54,2379,Foul on Isaac Taylor.,33,43
17:27,2379,Foul on Derrico Peck.,33,43
17:27,36,Nico Carvacho missed Free Throw.,33,43
17:27,36,Colorado St Deadball Team Rebound.,33,43
17:27,36,Nico Carvacho missed Free Throw.,33,43
17:27,2379,Derrico Peck Defensive Rebound.,33,43
17:21,2379,Bakari Copeland made Jumper. Assisted by Dontae Caldwell.,35,43
17:06,36,J.D. Paige made Jumper.,35,45
16:45,2379,Bakari Copeland missed Jumper.,35,45
16:45,36,Braden Koelliker Defensive Rebound.,35,45
16:29,36,Emmanuel Omogbo missed Three Point Jumper.,35,45
16:29,2379,Dontae Caldwell Defensive Rebound.,35,45
16:21,2379,Thomas Rivera Turnover.,35,45
16:16,36,Nico Carvacho Steal.,35,45
16:10,36,Braden Koelliker missed Three Point Jumper.,35,45
16:10,2379,Dontae Caldwell Defensive Rebound.,35,45
15:53,2379,Ryan Andino Turnover.,35,45
15:50,36,Prentiss Nixon Steal.,35,45
15:45,36,Colorado St  Timeout,35,45
15:45,36,Official TV Timeout,35,45
15:31,36,Che Bob made Layup.,35,47
14:57,2379,Randell Pickett missed Jumper.,35,47
14:57,36,Emmanuel Omogbo Defensive Rebound.,35,47
14:34,36,Che Bob missed Three Point Jumper.,35,47
14:34,36,Che Bob Offensive Rebound.,35,47
14:29,36,Che Bob Turnover.,35,47
14:29,36,Official TV Timeout,35,47
14:18,36,Foul on Braden Koelliker.,35,47
14:18,2379,Deven Dorsett missed Free Throw.,35,47
14:18,2379,Maryland-Eastern Shore Deadball Team Rebound.,35,47
14:18,2379,Deven Dorsett made Free Throw.,36,47
13:55,2379,Foul on Derrico Peck.,36,47
13:55,36,Braden Koelliker missed Free Throw.,36,47
13:55,36,Colorado St Deadball Team Rebound.,36,47
13:55,36,Braden Koelliker made Free Throw.,36,48
13:43,36,Foul on Kimani Jackson.,36,48
13:43,2379,Bakari Copeland made Free Throw.,37,48
13:43,2379,Bakari Copeland made Free Throw.,38,48
13:20,36,Anthony Bonner made Layup. Assisted by Kimani Jackson.,38,50
13:11,2379,Deven Dorsett missed Jumper.,38,50
13:11,36,Braden Koelliker Defensive Rebound.,38,50
13:00,2379,Foul on Bakari Copeland.,38,50
13:00,36,Devocio Butler missed Free Throw.,38,50
13:00,36,Colorado St Deadball Team Rebound.,38,50
13:00,36,Devocio Butler made Free Throw.,38,51
13:00,36,Devocio Butler Turnover.,38,51
12:59,2379,Logan McIntosh Steal.,38,51
12:58,2379,Logan McIntosh missed Layup.,38,51
12:58,2379,Ryan Andino Offensive Rebound.,38,51
12:58,2379,Ryan Andino made Layup.,40,51
12:58,36,Kimani Jackson made Jumper. Assisted by Che Bob.,40,53
12:58,2379,Randell Pickett made Layup.,42,53
12:17,36,Kimani Jackson made Jumper. Assisted by Emmanuel Omogbo.,42,55
12:10,2379,Logan McIntosh missed Layup.,42,55
12:10,36,Emmanuel Omogbo Defensive Rebound.,42,55
11:59,36,Kimani Jackson missed Jumper.,42,55
11:59,2379,Deven Dorsett Defensive Rebound.,42,55
11:49,36,Official TV Timeout,42,55
11:49,2379,Maryland-Eastern Shore  Timeout,42,55
11:32,36,Foul on Devocio Butler.,42,55
11:20,2379,Logan McIntosh made Jumper.,44,55
10:50,36,Emmanuel Omogbo missed Layup.,44,55
10:50,2379,Isaac Taylor Defensive Rebound.,44,55
10:42,36,Foul on Anthony Bonner.,44,55
10:42,2379,Ryan Andino made Free Throw.,45,55
10:42,2379,Ryan Andino made Free Throw.,46,55
10:33,36,Emmanuel Omogbo made Dunk. Assisted by Che Bob.,46,57
10:33,2379,Foul on Derrico Peck.,46,57
10:33,36,Emmanuel Omogbo made Free Throw.,46,58
10:22,36,Foul on Kimani Jackson.,46,58
10:04,2379,Ryan Andino missed Layup.,46,58
10:04,36,Che Bob Block.,46,58
10:02,36,J.D. Paige Defensive Rebound.,46,58
9:50,36,Anthony Bonner missed Jumper.,46,58
9:50,2379,Randell Pickett Defensive Rebound.,46,58
9:42,2379,Logan McIntosh made Layup.,48,58
9:42,36,Foul on Che Bob.,48,58
9:42,2379,Logan McIntosh missed Free Throw.,48,58
9:42,36,Emmanuel Omogbo Defensive Rebound.,48,58
9:23,36,J.D. Paige missed Three Point Jumper.,48,58
9:23,36,Emmanuel Omogbo Offensive Rebound.,48,58
9:10,36,Nico Carvacho made Dunk. Assisted by J.D. Paige.,48,60
9:00,36,Foul on Nico Carvacho.,48,60
9:00,2379,Bakari Copeland made Free Throw.,49,60
9:00,2379,Bakari Copeland made Free Throw.,50,60
8:46,36,Che Bob made Dunk. Assisted by Nico Carvacho.,50,62
8:32,2379,Bakari Copeland missed Layup.,50,62
8:32,36,J.D. Paige Defensive Rebound.,50,62
8:24,36,J.D. Paige Turnover.,50,62
8:24,2379,Logan McIntosh Steal.,50,62
8:22,2379,Ryan Andino missed Layup.,50,62
8:22,36,Che Bob Block.,50,62
8:20,36,Colorado St Defensive Rebound.,50,62
8:08,36,Devocio Butler made Dunk.,50,64
7:48,2379,Bakari Copeland made Layup. Assisted by Thomas Rivera.,52,64
7:46,2379,Technical Foul on Bakari Copeland.,52,64
7:46,36,Official TV Timeout,52,64
7:45,36,J.D. Paige missed Free Throw.,52,64
7:45,36,Colorado St Deadball Team Rebound.,52,64
7:45,36,J.D. Paige missed Free Throw.,52,64
7:45,36,Colorado St Deadball Team Rebound.,52,64
7:33,36,Devocio Butler missed Layup.,52,64
7:33,2379,Ryan Andino Defensive Rebound.,52,64
7:22,2379,Foul on Dontae Caldwell.,52,64
7:22,2379,Dontae Caldwell Turnover.,52,64
7:22,36,Colorado St  Timeout,52,64
6:59,36,J.D. Paige made Three Point Jumper. Assisted by Che Bob.,52,67
6:36,2379,Derrico Peck made Layup. Assisted by Dontae Caldwell.,54,67
6:04,36,Devocio Butler Turnover.,54,67
5:51,2379,Logan McIntosh made Jumper.,56,67
5:43,2379,Foul on Logan McIntosh.,56,67
5:43,36,J.D. Paige made Free Throw.,56,68
5:43,36,J.D. Paige made Free Throw.,56,69
5:29,2379,Randell Pickett missed Three Point Jumper.,56,69
5:29,2379,Dontae Caldwell Offensive Rebound.,56,69
5:16,2379,Logan McIntosh made Jumper.,58,69
5:02,36,Emmanuel Omogbo made Layup. Assisted by Prentiss Nixon.,58,71
4:49,2379,Dontae Caldwell missed Three Point Jumper.,58,71
4:49,2379,Logan McIntosh Offensive Rebound.,58,71
4:45,2379,Logan McIntosh made Layup.,60,71
4:19,36,Prentiss Nixon missed Jumper.,60,71
4:19,2379,Bakari Copeland Defensive Rebound.,60,71
3:59,2379,Bakari Copeland missed Three Point Jumper.,60,71
3:59,36,Che Bob Defensive Rebound.,60,71
3:29,36,Emmanuel Omogbo Turnover.,60,71
3:29,36,Official TV Timeout,60,71
3:03,2379,Foul on Bakari Copeland.,60,71
3:03,36,Foul on Emmanuel Omogbo.,60,71
2:58,2379,Dontae Caldwell missed Layup.,60,71
2:58,36,Che Bob Block.,60,71
2:58,36,Colorado St Defensive Rebound.,60,71
2:35,36,Che Bob missed Jumper.,60,71
2:35,2379,Dontae Caldwell Defensive Rebound.,60,71
2:27,36,Foul on Devocio Butler.,60,71
2:27,2379,Logan McIntosh missed Free Throw.,60,71
2:27,2379,Maryland-Eastern Shore Deadball Team Rebound.,60,71
2:27,2379,Logan McIntosh made Free Throw.,61,71
2:01,36,J.D. Paige made Three Point Jumper.,61,74
1:42,2379,Logan McIntosh made Jumper.,63,74
1:24,2379,Foul on Logan McIntosh.,63,74
1:24,36,Prentiss Nixon made Free Throw.,63,75
1:24,36,Prentiss Nixon made Free Throw.,63,76
1:08,2379,Marc Seylan made Jumper.,65,76
0:33,36,J.D. Paige missed Three Point Jumper.,65,76
0:33,36,Emmanuel Omogbo Offensive Rebound.,65,76
0:29,36,Emmanuel Omogbo missed Layup.,65,76
0:29,2379,Randell Pickett Defensive Rebound.,65,76
0:23,2379,Ryan Andino missed Three Point Jumper.,65,76
0:23,36,Prentiss Nixon Defensive Rebound.,65,76
0:00,36,End of Game,65,76
