SE Louisiana,2638,UTEP,2545
12:20,2545,Marlain Veal Defensive Rebound.,16,9
12:14,2545,Dimi Cook missed Three Point Jumper.,16,9
12:14,2638,Dominic Artis Defensive Rebound.,16,9
11:54,2638,Dominic Artis made Jumper.,16,11
11:48,2545,Foul on Dimi Cook.,16,11
11:48,2545,Dimi Cook Turnover.,16,11
11:48,2638,Official TV Timeout,16,11
11:33,2638,Matt Willms made Jumper. Assisted by Dominic Artis.,16,13
11:11,2545,Eddy Polanco made Jumper.,18,13
10:49,2545,Foul on Marlain Veal.,18,13
10:34,2638,Matt Willms missed Jumper.,18,13
10:34,2545,SE Louisiana Defensive Rebound.,18,13
10:20,2638,Trey Touchet Turnover.,18,13
10:19,2545,Dominic Nelson Steal.,18,13
10:03,2545,Dimi Cook missed Layup.,18,13
10:03,2545,Dominic Nelson Offensive Rebound.,18,13
9:59,2545,Dominic Nelson made Two Point Tip Shot.,20,13
9:35,2638,Trey Touchet made Three Point Jumper. Assisted by Matt Willms.,20,16
9:23,2545,Dimi Cook made Three Point Jumper. Assisted by Davon Hayes.,23,16
9:10,2638,Matt Willms missed Layup.,23,16
9:10,2545,Dominic Nelson Block.,23,16
9:10,2638,UTEP Offensive Rebound.,23,16
9:06,2638,Dominic Artis made Jumper. Assisted by Omega Harris.,23,18
8:52,2545,Davon Hayes Turnover.,23,18
8:47,2638,Omega Harris made Layup.,23,20
8:32,2545,Marlain Veal Turnover.,23,20
8:30,2638,Omega Harris Steal.,23,20
8:25,2638,Trey Touchet made Three Point Jumper. Assisted by Jake Flaggert.,23,23
8:09,2545,Dominic Nelson made Layup. Assisted by Eddy Polanco.,25,23
8:09,2638,Foul on Jake Flaggert.,25,23
8:09,2545,Dominic Nelson missed Free Throw.,25,23
8:09,2638,Dominic Artis Defensive Rebound.,25,23
8:00,2638,Trey Touchet missed Three Point Jumper.,25,23
8:00,2545,Davon Hayes Defensive Rebound.,25,23
7:51,2545,Davon Hayes made Three Point Jumper. Assisted by Jabbar Singleton.,28,23
7:15,2638,Jake Flaggert missed Three Point Jumper.,28,23
7:15,2638,Kelvin Jones Offensive Rebound.,28,23
7:10,2638,Kelvin Jones missed Jumper.,28,23
7:10,2545,Dominic Nelson Defensive Rebound.,28,23
6:59,2545,Eddy Polanco missed Jumper.,28,23
6:59,2638,Jake Flaggert Defensive Rebound.,28,23
6:48,2638,Jake Flaggert made Three Point Jumper. Assisted by Trey Touchet.,28,26
6:26,2545,Davon Hayes missed Layup.,28,26
6:26,2545,Dominic Nelson Offensive Rebound.,28,26
6:23,2545,Dominic Nelson made Dunk.,30,26
6:03,2638,Trey Touchet missed Three Point Jumper.,30,26
6:03,2638,Kelvin Jones Offensive Rebound.,30,26
5:39,2638,Omega Harris Turnover.,30,26
5:39,2638,Official TV Timeout,30,26
5:23,2638,Foul on Paul Thomas.,30,26
5:22,2638,Foul on Omega Harris.,30,26
5:22,2545,Moses Greenwood made Free Throw.,31,26
5:22,2545,Moses Greenwood made Free Throw.,32,26
4:59,2545,Foul on Davon Hayes.,32,26
4:40,2638,Matt Willms missed Layup.,32,26
4:40,2638,Paul Thomas Offensive Rebound.,32,26
4:34,2638,Trey Touchet missed Three Point Jumper.,32,26
4:34,2638,Deon Barrett Offensive Rebound.,32,26
4:27,2545,Foul on Moses Greenwood.,32,26
4:27,2638,Matt Willms missed Free Throw.,32,26
4:27,2545,Moses Greenwood Defensive Rebound.,32,26
4:03,2545,Marlain Veal made Layup. Assisted by Eddy Polanco.,34,26
3:51,2638,Omega Harris missed Jumper.,34,26
3:51,2638,UTEP Offensive Rebound.,34,26
3:48,2638,Official TV Timeout,34,26
3:34,2638,Omega Harris missed Three Point Jumper.,34,26
3:34,2545,Marlain Veal Defensive Rebound.,34,26
3:29,2545,Marlain Veal made Layup.,36,26
3:12,2638,Paul Thomas Turnover.,36,26
3:02,2545,Davon Hayes missed Jumper.,36,26
3:02,2638,Jake Flaggert Defensive Rebound.,36,26
2:52,2638,Matt Willms missed Layup.,36,26
2:52,2545,Marlain Veal Defensive Rebound.,36,26
2:44,2545,Eddy Polanco missed Three Point Jumper.,36,26
2:44,2638,Matt Willms Defensive Rebound.,36,26
2:29,2638,Paul Thomas missed Jumper.,36,26
2:29,2638,Matt Willms Offensive Rebound.,36,26
2:26,2545,Foul on Marlain Veal.,36,26
2:26,2638,Matt Willms made Free Throw.,36,27
2:26,2638,Matt Willms missed Free Throw.,36,27
2:26,2545,Dominic Nelson Defensive Rebound.,36,27
2:05,2545,Davon Hayes made Three Point Jumper. Assisted by Jabbar Singleton.,39,27
1:53,2638,Dominic Artis missed Jumper.,39,27
1:53,2545,Jabbar Singleton Defensive Rebound.,39,27
1:44,2545,Davon Hayes missed Three Point Jumper.,39,27
1:44,2638,Jake Flaggert Defensive Rebound.,39,27
1:24,2638,Dominic Artis missed Three Point Jumper.,39,27
1:24,2545,Michael Corchiani Defensive Rebound.,39,27
0:59,2638,Foul on Matt Willms.,39,27
0:40,2545,Jabbar Singleton missed Jumper.,39,27
0:40,2545,Jabbar Singleton Offensive Rebound.,39,27
0:35,2545,Eddy Polanco made Three Point Jumper. Assisted by Jabbar Singleton.,42,27
0:05,2638,Omega Harris missed Jumper.,42,27
0:05,2545,Dimi Cook Defensive Rebound.,42,27
0:00,2545,Michael Corchiani missed Three Point Jumper.,42,27
0:00,2638,UTEP Defensive Rebound.,42,27
0:00,2638,End of 1st half,42,27
19:35,2545,Foul on Moses Greenwood.,42,27
19:35,2545,Moses Greenwood Turnover.,42,27
19:26,2638,Dominic Artis missed Jumper.,42,27
19:26,2545,Dominic Nelson Defensive Rebound.,42,27
19:15,2545,Marlain Veal Turnover.,42,27
19:06,2638,Jake Flaggert made Three Point Jumper. Assisted by Dominic Artis.,42,30
18:50,2545,Jabbar Singleton missed Layup.,42,30
18:50,2545,Dominic Nelson Offensive Rebound.,42,30
18:41,2545,Davon Hayes Turnover.,42,30
18:41,2545,SE Louisiana  Timeout,42,30
18:30,2638,Matt Willms made Dunk. Assisted by Dominic Artis.,42,32
18:13,2545,Dominic Nelson Turnover.,42,32
18:12,2638,Omega Harris Steal.,42,32
18:00,2638,Jake Flaggert missed Three Point Jumper.,42,32
18:00,2545,Marlain Veal Defensive Rebound.,42,32
17:44,2545,Marlain Veal made Jumper.,44,32
17:29,2638,Dominic Artis Turnover.,44,32
17:27,2545,Moses Greenwood Steal.,44,32
17:08,2638,Foul on Matt Willms.,44,32
17:08,2545,Moses Greenwood made Free Throw.,45,32
17:08,2545,Moses Greenwood missed Free Throw.,45,32
17:08,2638,Matt Willms Defensive Rebound.,45,32
16:46,2638,Dominic Artis made Jumper. Assisted by Matt Willms.,45,34
16:35,2545,Moses Greenwood made Jumper. Assisted by Marlain Veal.,47,34
16:18,2638,Matt Willms made Layup. Assisted by Paul Thomas.,47,36
16:00,2545,Marlain Veal missed Jumper.,47,36
16:00,2545,Dominic Nelson Offensive Rebound.,47,36
15:56,2545,Dominic Nelson made Jumper.,49,36
15:39,2638,Dominic Artis missed Jumper.,49,36
15:39,2545,Jabbar Singleton Defensive Rebound.,49,36
15:37,2638,Foul on Dominic Artis.,49,36
15:37,2638,Official TV Timeout,49,36
15:24,2545,Foul on Davon Hayes.,49,36
15:24,2545,Davon Hayes Turnover.,49,36
15:06,2638,Matt Willms missed Jumper.,49,36
15:06,2638,Kelvin Jones Offensive Rebound.,49,36
15:02,2638,Kelvin Jones made Layup.,49,38
14:51,2545,Jabbar Singleton Turnover.,49,38
14:49,2638,Dominic Artis Steal.,49,38
14:47,2638,Matt Willms made Dunk. Assisted by Dominic Artis.,49,40
14:37,2545,SE Louisiana  Timeout,49,40
14:30,2638,Foul on Kelvin Jones.,49,40
14:28,2545,Davon Hayes made Three Point Jumper. Assisted by Eddy Polanco.,52,40
13:58,2638,Dominic Artis missed Jumper.,52,40
13:58,2545,Jabbar Singleton Defensive Rebound.,52,40
13:49,2545,Marlain Veal missed Three Point Jumper.,52,40
13:49,2638,UTEP Defensive Rebound.,52,40
13:34,2638,Omega Harris missed Layup.,52,40
13:34,2545,Marlain Veal Defensive Rebound.,52,40
13:09,2545,Davon Hayes made Jumper.,54,40
12:58,2638,Paul Thomas missed Layup.,54,40
12:58,2545,Dominic Nelson Block.,54,40
12:56,2545,Marlain Veal Defensive Rebound.,54,40
12:40,2545,Davon Hayes made Layup. Assisted by Marlain Veal.,56,40
12:30,2545,Foul on Marlain Veal.,56,40
12:16,2638,Omega Harris made Layup.,56,42
11:55,2545,Eddy Polanco missed Layup.,56,42
11:55,2638,Jake Flaggert Block.,56,42
11:50,2638,Omega Harris Defensive Rebound.,56,42
11:50,2638,Foul on Kelvin Jones.,56,42
11:50,2638,Kelvin Jones Turnover.,56,42
11:50,2638,Official TV Timeout,56,42
11:25,2545,Jabbar Singleton missed Jumper.,56,42
11:25,2638,Paul Thomas Defensive Rebound.,56,42
11:12,2638,Kelvin Jones missed Jumper.,56,42
11:12,2545,Dominic Nelson Block.,56,42
11:08,2638,Paul Thomas Offensive Rebound.,56,42
11:05,2638,Paul Thomas Turnover.,56,42
11:04,2545,Moses Greenwood Steal.,56,42
10:59,2638,Foul on Kelvin Jones.,56,42
10:59,2545,Moses Greenwood made Free Throw.,57,42
10:59,2545,Moses Greenwood made Free Throw.,58,42
10:32,2638,Paul Thomas missed Layup.,58,42
10:32,2638,Kelvin Jones Offensive Rebound.,58,42
10:32,2638,Kelvin Jones Turnover.,58,42
10:17,2545,Eddy Polanco missed Jumper.,58,42
10:17,2638,UTEP Defensive Rebound.,58,42
10:03,2638,Omega Harris made Three Point Jumper. Assisted by Dominic Artis.,58,45
9:50,2638,Foul on Dominic Artis.,58,45
9:28,2545,Dimi Cook made Layup. Assisted by Marlain Veal.,60,45
9:11,2638,Omega Harris made Jumper.,60,47
8:39,2545,Marlain Veal missed Three Point Jumper.,60,47
8:39,2638,Paul Thomas Defensive Rebound.,60,47
8:18,2638,Omega Harris missed Three Point Jumper.,60,47
8:18,2545,Marlain Veal Defensive Rebound.,60,47
8:10,2545,Marlain Veal made Layup.,62,47
7:52,2638,Dominic Artis made Jumper.,62,49
7:35,2638,Foul on Jake Flaggert.,62,49
7:35,2638,Official TV Timeout,62,49
7:35,2545,Dimi Cook missed Free Throw.,62,49
7:35,2545,Dimi Cook Offensive Rebound.,62,49
7:21,2545,Marlain Veal Turnover.,62,49
7:20,2638,Dominic Artis Steal.,62,49
7:11,2638,Trey Touchet missed Three Point Jumper.,62,49
7:11,2545,Dominic Nelson Defensive Rebound.,62,49
6:56,2545,Marlain Veal Turnover.,62,49
6:45,2638,Omega Harris missed Layup.,62,49
6:45,2545,Dominic Nelson Block.,62,49
6:45,2545,Davon Hayes Defensive Rebound.,62,49
6:45,2545,Foul on Dominic Nelson.,62,49
6:45,2545,Technical Foul on Dominic Nelson.,62,49
6:45,2638,Omega Harris made Free Throw.,62,50
6:45,2638,Omega Harris missed Free Throw.,62,50
6:45,2638,UTEP Deadball Team Rebound.,62,50
6:27,2638,Foul on Jake Flaggert.,62,50
6:27,2545,Marlain Veal missed Free Throw.,62,50
6:27,2545,SE Louisiana Deadball Team Rebound.,62,50
6:27,2545,Marlain Veal made Free Throw.,63,50
6:10,2545,Foul on Dominic Nelson.,63,50
6:10,2638,Matt Willms made Free Throw.,63,51
6:10,2638,Matt Willms missed Free Throw.,63,51
6:10,2545,Davon Hayes Defensive Rebound.,63,51
5:52,2638,Foul on Jake Flaggert.,63,51
5:52,2545,Marlain Veal made Free Throw.,64,51
5:52,2545,Marlain Veal made Free Throw.,65,51
5:31,2638,Trey Touchet missed Three Point Jumper.,65,51
5:31,2545,Moses Greenwood Defensive Rebound.,65,51
5:02,2545,Davon Hayes made Jumper.,67,51
4:48,2545,Foul on Dimi Cook.,67,51
4:48,2638,Dominic Artis missed Free Throw.,67,51
4:48,2638,UTEP Deadball Team Rebound.,67,51
4:48,2638,Dominic Artis missed Free Throw.,67,51
4:48,2545,Davon Hayes Defensive Rebound.,67,51
4:34,2545,Jabbar Singleton Turnover.,67,51
4:33,2638,Jake Flaggert Steal.,67,51
4:30,2638,Dominic Artis Turnover.,67,51
4:17,2545,Davon Hayes missed Layup.,67,51
4:17,2545,Moses Greenwood Offensive Rebound.,67,51
4:12,2545,Moses Greenwood Turnover.,67,51
4:11,2638,Paul Thomas Steal.,67,51
4:06,2638,Dominic Artis missed Jumper.,67,51
4:06,2638,Dominic Artis Offensive Rebound.,67,51
4:03,2638,Dominic Artis missed Jumper.,67,51
4:03,2638,Paul Thomas Offensive Rebound.,67,51
4:03,2545,Foul on Jabbar Singleton.,67,51
4:03,2638,Paul Thomas made Free Throw.,67,52
4:03,2638,Paul Thomas made Free Throw.,67,53
3:44,2545,Moses Greenwood missed Jumper.,67,53
3:44,2545,Dimi Cook Offensive Rebound.,67,53
3:39,2545,Dimi Cook made Layup.,69,53
3:17,2638,Deon Barrett missed Jumper.,69,53
3:17,2545,Jabbar Singleton Defensive Rebound.,69,53
3:08,2545,Eddy Polanco missed Three Point Jumper.,69,53
3:08,2638,Dominic Artis Defensive Rebound.,69,53
3:01,2638,Dominic Artis missed Layup.,69,53
3:01,2545,Davon Hayes Defensive Rebound.,69,53
2:43,2638,Foul on Jake Flaggert.,69,53
2:43,2638,Official TV Timeout,69,53
2:43,2545,Dimi Cook missed Free Throw.,69,53
2:43,2545,SE Louisiana Deadball Team Rebound.,69,53
2:43,2545,Dimi Cook made Free Throw.,70,53
2:30,2638,Dominic Artis made Jumper.,70,55
2:13,2545,Davon Hayes Turnover.,70,55
2:12,2638,Chris Barnes Steal.,70,55
2:09,2638,Deon Barrett missed Layup.,70,55
2:09,2545,Marlain Veal Defensive Rebound.,70,55
2:04,2545,Davon Hayes made Dunk. Assisted by Marlain Veal.,72,55
1:51,2638,Chris Barnes missed Jumper.,72,55
1:51,2545,Marlain Veal Defensive Rebound.,72,55
1:29,2545,Davon Hayes missed Layup.,72,55
1:29,2545,Dimi Cook Offensive Rebound.,72,55
1:20,2545,Dimi Cook missed Jumper.,72,55
1:20,2638,Paul Thomas Defensive Rebound.,72,55
1:08,2638,Dominic Artis missed Layup.,72,55
1:08,2638,Dominic Artis Offensive Rebound.,72,55
1:06,2545,Foul on Marlain Veal.,72,55
1:06,2638,Dominic Artis missed Free Throw.,72,55
1:06,2638,UTEP Deadball Team Rebound.,72,55
1:06,2638,Dominic Artis made Free Throw.,72,56
0:37,2545,Jabbar Singleton missed Three Point Jumper.,72,56
0:37,2545,Eddy Polanco Offensive Rebound.,72,56
0:09,2545,George Brock missed Three Point Jumper.,72,56
0:09,2638,Ivan Venegas Defensive Rebound.,72,56
0:01,2638,Chris Barnes missed Layup.,72,56
0:01,2638,Kelvin Jones Offensive Rebound.,72,56
0:00,2638,End of Game,72,56
