Wisconsin,153,North Carolina,275
6:08,153,Isaiah Hicks made Jumper. Assisted by Joel Berry II.,36,56
5:58,275,Bronson Koenig Turnover.,36,56
5:58,153,Kennedy Meeks Steal.,36,56
5:48,153,Justin Jackson made Jumper.,36,58
5:29,275,Bronson Koenig missed Three Point Jumper.,36,58
5:29,153,Kenny Williams Defensive Rebound.,36,58
5:07,275,Foul on Vitto Brown.,36,58
5:07,153,Isaiah Hicks made Free Throw.,36,59
5:07,153,Isaiah Hicks made Free Throw.,36,60
4:59,275,Vitto Brown made Three Point Jumper. Assisted by Ethan Happ.,39,60
4:36,153,Tony Bradley made Dunk. Assisted by Isaiah Hicks.,39,62
4:13,275,Vitto Brown made Three Point Jumper. Assisted by Ethan Happ.,42,62
4:10,275,Wisconsin  Timeout,42,62
3:48,153,Joel Berry II made Jumper.,42,64
3:28,275,Nigel Hayes missed Jumper.,42,64
3:28,153,Joel Berry II Defensive Rebound.,42,64
3:08,153,Joel Berry II made Layup.,42,66
2:55,153,Foul on Justin Jackson.,42,66
2:55,153,Official TV Timeout,42,66
2:55,275,D'Mitrik Trice made Free Throw.,43,66
2:55,275,D'Mitrik Trice made Free Throw.,44,66
2:28,153,Joel Berry II made Jumper.,44,68
2:28,275,Foul on Charles Thomas IV.,44,68
2:28,153,Joel Berry II made Free Throw.,44,69
2:16,275,D'Mitrik Trice made Jumper.,46,69
2:16,153,Foul on Joel Berry II.,46,69
2:16,275,D'Mitrik Trice made Free Throw.,47,69
1:47,153,Nate Britt Turnover.,47,69
1:47,275,Ethan Happ Steal.,47,69
1:42,275,Ethan Happ made Layup.,49,69
1:34,153,North Carolina  Timeout,49,69
1:22,153,Brandon Robinson Turnover.,49,69
1:22,275,Aaron Moesch Steal.,49,69
1:12,275,Ethan Happ made Layup. Assisted by Jordan Hill.,51,69
0:56,153,Tony Bradley missed Layup.,51,69
0:56,275,Ethan Happ Block.,51,69
0:56,275,D'Mitrik Trice Defensive Rebound.,51,69
0:49,275,Ethan Happ made Layup. Assisted by Jordan Hill.,53,69
0:48,275,Wisconsin  Timeout,53,69
0:30,153,Shea Rush made Jumper.,53,71
0:02,275,Brevin Pritzl made Three Point Jumper. Assisted by Matt Ferris.,56,71
0:00,153,End of Game,56,71
