Kent State,2747,Wofford,2309
9:28,2309,Jimmy Hall made Free Throw.,18,12
9:05,2747,Fletcher Magee missed Three Point Jumper.,18,12
9:05,2309,Adonis De La Rosa Defensive Rebound.,18,12
8:46,2309,Jerrelle DeBerry missed Jumper.,18,12
8:46,2747,Cameron Jackson Defensive Rebound.,18,12
8:34,2747,Ryan Sawvell made Three Point Jumper. Assisted by Nathan Hoover.,18,15
8:12,2309,Jimmy Hall missed Jumper.,18,15
8:12,2747,Donovan Theme-Love Defensive Rebound.,18,15
8:05,2747,Nathan Hoover made Jumper.,18,17
7:58,2747,Foul on Ryan Sawvell.,18,17
7:58,2747,Official TV Timeout,18,17
7:58,2309,Jerrelle DeBerry made Free Throw.,19,17
7:58,2309,Jerrelle DeBerry made Free Throw.,20,17
7:46,2747,Ryan Sawvell made Layup. Assisted by Fletcher Magee.,20,19
7:29,2309,Jerrelle DeBerry made Three Point Jumper. Assisted by Jalen Avery.,23,19
7:12,2747,Eric Garcia missed Jumper.,23,19
7:12,2309,Jalen Avery Defensive Rebound.,23,19
7:03,2309,Desmond Ridenour made Layup. Assisted by Jalen Avery.,25,19
6:59,2747,Wofford  Timeout,25,19
6:32,2747,Cameron Jackson made Layup. Assisted by Eric Garcia.,25,21
6:11,2309,Jerrelle DeBerry missed Three Point Jumper.,25,21
6:11,2747,Fletcher Magee Defensive Rebound.,25,21
6:00,2747,Cameron Jackson Turnover.,25,21
5:58,2309,Leo Edwards Steal.,25,21
5:55,2309,Jalen Avery missed Three Point Jumper.,25,21
5:55,2747,Wofford Defensive Rebound.,25,21
5:52,2309,Foul on Leo Edwards.,25,21
5:44,2747,Fletcher Magee missed Jumper.,25,21
5:44,2309,Jaylin Walker Defensive Rebound.,25,21
5:34,2309,Jimmy Hall missed Layup.,25,21
5:34,2309,Alonzo Walker Offensive Rebound.,25,21
5:30,2747,Foul on Dishon Lowery.,25,21
5:30,2309,Alonzo Walker missed Free Throw.,25,21
5:30,2309,Kent State Offensive Rebound.,25,21
5:13,2309,Jerrelle DeBerry missed Layup.,25,21
5:13,2747,Dishon Lowery Defensive Rebound.,25,21
4:49,2747,Nathan Hoover missed Three Point Jumper.,25,21
4:49,2309,Jimmy Hall Defensive Rebound.,25,21
4:39,2309,Jaylin Walker missed Three Point Jumper.,25,21
4:39,2747,Eric Garcia Defensive Rebound.,25,21
4:30,2747,Fletcher Magee missed Layup.,25,21
4:30,2309,Jimmy Hall Defensive Rebound.,25,21
4:16,2309,Alonzo Walker missed Three Point Jumper.,25,21
4:16,2309,Jimmy Hall Offensive Rebound.,25,21
4:11,2309,Kevin Zabo missed Three Point Jumper.,25,21
4:11,2747,Wofford Defensive Rebound.,25,21
3:53,2747,Derrick Brooks made Layup.,25,23
3:32,2747,Foul on Nathan Hoover.,25,23
3:32,2747,Official TV Timeout,25,23
3:32,2309,Adonis De La Rosa missed Free Throw.,25,23
3:32,2309,Kent State Deadball Team Rebound.,25,23
3:32,2309,Adonis De La Rosa made Free Throw.,26,23
3:17,2747,Foul on Cameron Jackson.,26,23
3:17,2747,Cameron Jackson Turnover.,26,23
2:59,2309,Jimmy Hall missed Three Point Jumper.,26,23
2:59,2309,Deon Edwin Offensive Rebound.,26,23
2:52,2309,Deon Edwin missed Layup.,26,23
2:52,2309,Jaylin Walker Offensive Rebound.,26,23
2:44,2309,Jaylin Walker missed Layup.,26,23
2:44,2309,Adonis De La Rosa Offensive Rebound.,26,23
2:39,2309,Adonis De La Rosa missed Layup.,26,23
2:39,2309,Kent State Offensive Rebound.,26,23
2:30,2309,Deon Edwin missed Layup.,26,23
2:30,2747,Matthew Pegram Defensive Rebound.,26,23
2:15,2747,Nathan Hoover missed Three Point Jumper.,26,23
2:15,2309,Deon Edwin Defensive Rebound.,26,23
2:07,2747,Foul on Derrick Brooks.,26,23
2:07,2309,Kevin Zabo made Free Throw.,27,23
2:07,2309,Kevin Zabo made Free Throw.,28,23
1:47,2747,Eric Garcia made Three Point Jumper. Assisted by Derrick Brooks.,28,26
1:25,2309,Jimmy Hall Turnover.,28,26
1:25,2747,Eric Garcia Steal.,28,26
1:25,2309,Foul on Jimmy Hall.,28,26
1:15,2747,Nathan Hoover missed Jumper.,28,26
1:15,2747,Wofford Offensive Rebound.,28,26
1:00,2747,Fletcher Magee Turnover.,28,26
0:58,2309,Jaylin Walker Steal.,28,26
0:55,2309,Jaylin Walker made Dunk.,30,26
0:39,2747,Ryan Sawvell made Layup. Assisted by Eric Garcia.,30,28
0:25,2309,Kevin Zabo missed Three Point Jumper.,30,28
0:25,2747,Jaylen Allen Defensive Rebound.,30,28
0:22,2309,Foul on Adonis De La Rosa.,30,28
0:00,2747,End of 1st half,30,28
19:40,2747,Cameron Jackson missed Layup.,30,28
19:40,2309,Adonis De La Rosa Defensive Rebound.,30,28
19:29,2309,Desmond Ridenour missed Three Point Jumper.,30,28
19:29,2747,Cameron Jackson Defensive Rebound.,30,28
19:18,2747,Jaylen Allen missed Three Point Jumper.,30,28
19:18,2309,Adonis De La Rosa Defensive Rebound.,30,28
18:52,2309,Adonis De La Rosa made Jumper. Assisted by Desmond Ridenour.,32,28
18:52,2747,Foul on Cameron Jackson.,32,28
18:52,2309,Adonis De La Rosa missed Free Throw.,32,28
18:52,2747,Fletcher Magee Defensive Rebound.,32,28
18:30,2747,Eric Garcia missed Three Point Jumper.,32,28
18:30,2309,Desmond Ridenour Defensive Rebound.,32,28
18:24,2309,Deon Edwin made Layup. Assisted by Desmond Ridenour.,34,28
18:24,2747,Foul on Jaylen Allen.,34,28
18:24,2309,Deon Edwin made Free Throw.,35,28
17:59,2747,Fletcher Magee made Three Point Jumper. Assisted by Ryan Sawvell.,35,31
17:28,2309,Desmond Ridenour missed Three Point Jumper.,35,31
17:28,2747,Eric Garcia Defensive Rebound.,35,31
17:14,2309,Foul on Desmond Ridenour.,35,31
17:07,2747,Jaylen Allen made Three Point Jumper. Assisted by Ryan Sawvell.,35,34
16:48,2309,Adonis De La Rosa missed Jumper.,35,34
16:48,2747,Matthew Pegram Defensive Rebound.,35,34
16:36,2747,Fletcher Magee Turnover.,35,34
16:32,2309,Jalen Avery Steal.,35,34
16:27,2309,Jalen Avery missed Three Point Jumper.,35,34
16:27,2747,Eric Garcia Defensive Rebound.,35,34
16:01,2747,Jaylen Allen made Three Point Jumper. Assisted by Fletcher Magee.,35,37
15:45,2747,Foul on Matthew Pegram.,35,37
15:45,2747,Official TV Timeout,35,37
15:45,2309,Adonis De La Rosa made Free Throw.,36,37
15:45,2309,Adonis De La Rosa missed Free Throw.,36,37
15:45,2747,Ryan Sawvell Defensive Rebound.,36,37
15:37,2747,Eric Garcia missed Jumper.,36,37
15:37,2309,Kent State Defensive Rebound.,36,37
15:16,2747,Foul on Matthew Pegram.,36,37
15:16,2309,Kevin Zabo made Free Throw.,37,37
15:16,2309,Kevin Zabo made Free Throw.,38,37
14:50,2309,Jimmy Hall missed Layup.,38,37
14:50,2747,Justin Tucker Defensive Rebound.,38,37
14:28,2747,Foul on Ryan Sawvell.,38,37
14:21,2309,Jimmy Hall missed Jumper.,38,37
14:21,2747,Donovan Theme-Love Defensive Rebound.,38,37
13:57,2747,Derrick Brooks missed Jumper.,38,37
13:57,2309,Alonzo Walker Block.,38,37
13:54,2309,Jimmy Hall Defensive Rebound.,38,37
13:50,2309,Jimmy Hall Turnover.,38,37
13:48,2747,Derrick Brooks Steal.,38,37
13:43,2747,Nathan Hoover made Three Point Jumper. Assisted by Donovan Theme-Love.,38,40
13:30,2309,Kent State  Timeout,38,40
13:18,2309,Jaylin Walker missed Three Point Jumper.,38,40
13:18,2309,Jimmy Hall Offensive Rebound.,38,40
13:10,2309,Alonzo Walker made Jumper.,40,40
12:50,2747,Justin Tucker missed Layup.,40,40
12:50,2309,Alonzo Walker Defensive Rebound.,40,40
12:42,2309,Jerrelle DeBerry made Three Point Jumper. Assisted by Kevin Zabo.,43,40
12:10,2747,Nathan Hoover made Three Point Jumper. Assisted by Derrick Brooks.,43,43
11:55,2309,Jerrelle DeBerry Turnover.,43,43
11:55,2747,Official TV Timeout,43,43
11:41,2747,Matthew Pegram Turnover.,43,43
11:40,2309,Jaylin Walker Steal.,43,43
11:38,2747,Jaylen Allen Offensive Rebound.,43,43
11:38,2309,Jaylin Walker missed Free Throw.,43,43
11:38,2309,Kent State Deadball Team Rebound.,43,43
11:38,2309,Jaylin Walker missed Free Throw.,43,43
11:38,2747,Matthew Pegram Defensive Rebound.,43,43
11:33,2747,Foul on Jaylen Allen.,43,43
11:12,2747,Matthew Pegram missed Layup.,43,43
11:12,2309,Alonzo Walker Defensive Rebound.,43,43
10:52,2309,Alonzo Walker Turnover.,43,43
10:51,2747,Matthew Pegram Steal.,43,43
10:26,2747,Eric Garcia made Three Point Jumper. Assisted by Fletcher Magee.,43,46
10:01,2309,Kevin Zabo made Three Point Jumper.,46,46
9:47,2309,Foul on Kevin Zabo.,46,46
9:38,2747,Jaylen Allen missed Jumper.,46,46
9:38,2309,Jalen Avery Defensive Rebound.,46,46
9:29,2747,Foul on Dishon Lowery.,46,46
9:29,2309,Adonis De La Rosa made Free Throw.,47,46
9:29,2309,Adonis De La Rosa made Free Throw.,48,46
8:59,2747,Fletcher Magee missed Jumper.,48,46
8:59,2309,Jalen Avery Defensive Rebound.,48,46
8:34,2309,Jaylin Walker made Jumper.,50,46
8:09,2747,Fletcher Magee missed Three Point Jumper.,50,46
8:09,2747,Matthew Pegram Offensive Rebound.,50,46
8:05,2747,Matthew Pegram made Layup.,50,48
7:52,2309,Jaylin Walker made Layup.,52,48
7:29,2747,Fletcher Magee made Three Point Jumper. Assisted by Jaylen Allen.,52,51
6:59,2309,Adonis De La Rosa missed Jumper.,52,51
6:59,2747,Jaylen Allen Defensive Rebound.,52,51
6:46,2747,Eric Garcia Turnover.,52,51
6:46,2747,Official TV Timeout,52,51
6:17,2309,Jimmy Hall made Layup. Assisted by Deon Edwin.,54,51
6:03,2747,Cameron Jackson missed Layup.,54,51
6:03,2309,Jimmy Hall Defensive Rebound.,54,51
5:33,2309,Jalen Avery missed Three Point Jumper.,54,51
5:33,2747,Ryan Sawvell Defensive Rebound.,54,51
5:30,2309,Foul on Jimmy Hall.,54,51
5:09,2747,Cameron Jackson missed Jumper.,54,51
5:09,2309,Jerrelle DeBerry Defensive Rebound.,54,51
4:50,2747,Nathan Hoover Turnover.,54,51
4:50,2747,Derrick Brooks Steal.,54,51
4:46,2747,Derrick Brooks Turnover.,54,51
4:30,2309,Jaylin Walker made Jumper.,56,51
4:04,2747,Jaylen Allen missed Three Point Jumper.,56,51
4:04,2747,Wofford Offensive Rebound.,56,51
3:50,2309,Foul on Deon Edwin.,56,51
3:50,2747,Official TV Timeout,56,51
3:40,2747,Fletcher Magee missed Three Point Jumper.,56,51
3:38,2747,Eric Garcia Offensive Rebound.,56,51
3:35,2747,Fletcher Magee made Three Point Jumper.,56,54
2:52,2309,Jimmy Hall made Jumper.,58,54
2:29,2747,Fletcher Magee missed Three Point Jumper.,58,54
2:29,2747,Eric Garcia Offensive Rebound.,58,54
2:22,2747,Jaylen Allen missed Three Point Jumper.,58,54
2:22,2309,Jimmy Hall Defensive Rebound.,58,54
1:48,2309,Kevin Zabo missed Jumper.,58,54
1:48,2747,Jaylen Allen Defensive Rebound.,58,54
1:47,2309,Foul on Alonzo Walker.,58,54
1:36,2747,Ryan Sawvell missed Three Point Jumper.,58,54
1:36,2309,Deon Edwin Defensive Rebound.,58,54
1:04,2309,Jaylin Walker made Jumper.,60,54
0:59,2747,Wofford  Timeout,60,54
0:45,2747,Eric Garcia made Three Point Jumper. Assisted by Fletcher Magee.,60,57
0:43,2747,Wofford  Timeout,60,57
0:40,2747,Foul on Eric Garcia.,60,57
0:40,2309,Jalen Avery made Free Throw.,61,57
0:40,2309,Jalen Avery made Free Throw.,62,57
0:34,2309,Jerrelle DeBerry missed Three Point Jumper.,62,57
0:30,2309,Foul on Deon Edwin.,62,57
0:30,2747,Nathan Hoover missed Free Throw.,62,57
0:30,2747,Wofford Deadball Team Rebound.,62,57
0:30,2747,Nathan Hoover made Free Throw.,62,58
0:30,2747,Nathan Hoover made Free Throw.,62,59
0:27,2747,Foul on Ryan Sawvell.,62,59
0:27,2309,Jalen Avery made Free Throw.,63,59
0:27,2309,Jalen Avery made Free Throw.,64,59
0:27,2309,Kent State  Timeout,64,59
0:17,2747,Fletcher Magee missed Three Point Jumper.,64,59
0:17,2309,Jimmy Hall Defensive Rebound.,64,59
0:13,2747,Foul on Matthew Pegram.,64,59
0:13,2309,Jimmy Hall made Free Throw.,65,59
0:13,2309,Jimmy Hall made Free Throw.,66,59
0:10,2747,Eric Garcia missed Three Point Jumper.,66,59
0:10,2309,Jaylin Walker Defensive Rebound.,66,59
0:00,2747,End of Game,66,59
