UMBC,2426,Navy,2378
16:10,2378,Jairus Lyles made Free Throw.,35,52
15:39,2426,Nourse Fox missed Jumper.,35,52
15:39,2426,Nourse Fox Offensive Rebound.,35,52
15:24,2378,Foul on Jairus Lyles.,35,52
15:24,2426,Official TV Timeout,35,52
15:18,2426,Bryce Dulin made Jumper.,35,54
15:02,2378,Jourdan Grant Turnover.,35,54
15:01,2426,Ryan Pearson Steal.,35,54
14:58,2426,Bryce Dulin made Dunk. Assisted by Ryan Pearson.,35,56
14:44,2378,Jourdan Grant missed Jumper.,35,56
14:44,2426,Tom Lacey Defensive Rebound.,35,56
14:25,2426,Bryce Dulin missed Three Point Jumper.,35,56
14:25,2378,Jairus Lyles Defensive Rebound.,35,56
14:17,2426,Foul on Edward Alade.,35,56
14:17,2378,Jairus Lyles missed Free Throw.,35,56
14:17,2378,UMBC Deadball Team Rebound.,35,56
14:17,2378,Jairus Lyles missed Free Throw.,35,56
14:17,2426,Bryce Dulin Defensive Rebound.,35,56
14:02,2378,Foul on Joe Sherburne.,35,56
14:02,2426,George Kiernan missed Free Throw.,35,56
14:02,2426,Navy Deadball Team Rebound.,35,56
14:02,2426,George Kiernan made Free Throw.,35,57
13:41,2378,Will Darley made Layup. Assisted by Jairus Lyles.,37,57
13:41,2426,Foul on George Kiernan.,37,57
13:41,2378,Will Darley made Free Throw.,38,57
13:26,2426,Zach Fong made Jumper.,38,59
13:13,2378,Rodney Elliott missed Jumper.,38,59
13:13,2378,UMBC Offensive Rebound.,38,59
13:12,2426,Foul on George Kiernan.,38,59
13:04,2378,Joe Sherburne made Jumper.,40,59
12:52,2426,Edward Alade missed Jumper.,40,59
12:52,2426,Edward Alade Offensive Rebound.,40,59
12:48,2426,Edward Alade missed Layup.,40,59
12:48,2426,Tom Lacey Offensive Rebound.,40,59
12:48,2378,Foul on Joe Sherburne.,40,59
12:31,2426,Bryce Dulin missed Jumper.,40,59
12:31,2378,Jourdan Grant Defensive Rebound.,40,59
12:22,2378,Jairus Lyles made Layup.,42,59
12:07,2426,Bryce Dulin made Dunk. Assisted by Tom Lacey.,42,61
11:49,2426,Official TV Timeout,42,61
11:48,2378,Will Darley Turnover.,42,61
11:48,2378,Foul on Will Darley.,42,61
11:43,2426,Evan Wieck made Layup. Assisted by Hasan Abdullah.,42,63
11:30,2378,Jairus Lyles missed Three Point Jumper.,42,63
11:30,2426,Zach Fong Defensive Rebound.,42,63
11:09,2426,Tom Lacey made Layup. Assisted by Zach Fong.,42,65
10:48,2378,Jourdan Grant missed Three Point Jumper.,42,65
10:48,2426,Bryce Dulin Defensive Rebound.,42,65
10:41,2426,Zach Fong missed Three Point Jumper.,42,65
10:41,2378,Rodney Elliott Defensive Rebound.,42,65
10:33,2378,Rodney Elliott missed Jumper.,42,65
10:33,2426,Evan Wieck Defensive Rebound.,42,65
10:14,2426,Hasan Abdullah Turnover.,42,65
10:13,2378,Jairus Lyles Steal.,42,65
10:13,2426,Foul on Zach Fong.,42,65
10:13,2378,Jairus Lyles missed Free Throw.,42,65
10:13,2378,UMBC Deadball Team Rebound.,42,65
10:13,2378,Jairus Lyles missed Free Throw.,42,65
10:13,2378,UMBC Deadball Team Rebound.,42,65
10:06,2378,Jourdan Grant made Layup.,44,65
10:06,2426,Foul on Grant Vermeer.,44,65
10:06,2378,Jourdan Grant missed Free Throw.,44,65
10:06,2378,Max Curran Offensive Rebound.,44,65
10:02,2378,K.J. Maura missed Three Point Jumper.,44,65
10:02,2426,Tom Lacey Defensive Rebound.,44,65
9:36,2426,Evan Wieck Turnover.,44,65
9:36,2426,Foul on Evan Wieck.,44,65
9:15,2378,Max Curran missed Three Point Jumper.,44,65
9:15,2426,Navy Defensive Rebound.,44,65
9:10,2426,Bryce Dulin Turnover.,44,65
8:54,2426,Foul on Hasan Abdullah.,44,65
8:54,2378,Jourdan Grant missed Free Throw.,44,65
8:54,2378,UMBC Deadball Team Rebound.,44,65
8:54,2378,Jourdan Grant made Free Throw.,45,65
8:36,2378,Foul on Joe Sherburne.,45,65
8:36,2426,Tom Lacey made Free Throw.,45,66
8:36,2426,Tom Lacey made Free Throw.,45,67
8:22,2426,Foul on Bryce Dulin.,45,67
8:22,2378,Jairus Lyles made Free Throw.,46,67
8:22,2378,Jairus Lyles made Free Throw.,47,67
7:54,2426,Nourse Fox missed Layup.,47,67
7:54,2426,Edward Alade Offensive Rebound.,47,67
7:54,2378,Foul on Jourdan Grant.,47,67
7:54,2426,Official TV Timeout,47,67
7:54,2426,Edward Alade missed Free Throw.,47,67
7:54,2378,Jourdan Grant Defensive Rebound.,47,67
7:50,2426,Foul on Nourse Fox.,47,67
7:50,2378,Jairus Lyles made Free Throw.,48,67
7:50,2378,Jairus Lyles made Free Throw.,49,67
7:34,2378,Foul on Jourdan Grant.,49,67
7:34,2426,Bryce Dulin missed Free Throw.,49,67
7:34,2378,Jourdan Grant Defensive Rebound.,49,67
7:14,2426,Foul on Bryce Dulin.,49,67
7:14,2378,Jourdan Grant made Free Throw.,50,67
7:14,2378,Jourdan Grant missed Free Throw.,50,67
7:14,2426,George Kiernan Defensive Rebound.,50,67
7:03,2378,Foul on K.J. Maura.,50,67
7:03,2426,Bryce Dulin missed Free Throw.,50,67
7:03,2426,Navy Deadball Team Rebound.,50,67
7:03,2426,Bryce Dulin made Free Throw.,50,68
6:50,2378,Max Curran made Three Point Jumper. Assisted by K.J. Maura.,53,68
6:37,2426,Nourse Fox Turnover.,53,68
6:36,2378,Max Curran Steal.,53,68
6:31,2378,Max Curran missed Three Point Jumper.,53,68
6:31,2426,George Kiernan Defensive Rebound.,53,68
6:29,2378,Foul on Arkel Lamar.,53,68
6:29,2426,George Kiernan made Free Throw.,53,69
6:29,2426,George Kiernan made Free Throw.,53,70
6:14,2378,Jourdan Grant Turnover.,53,70
6:13,2426,Hasan Abdullah Steal.,53,70
6:07,2426,George Kiernan made Three Point Jumper. Assisted by Zach Fong.,53,73
5:45,2378,Jairus Lyles made Layup.,55,73
5:45,2378,UMBC  Timeout,55,73
5:19,2378,Foul on Rodney Elliott.,55,73
5:19,2426,Tom Lacey missed Free Throw.,55,73
5:19,2426,Navy Deadball Team Rebound.,55,73
5:19,2426,Tom Lacey missed Free Throw.,55,73
5:19,2378,Max Curran Defensive Rebound.,55,73
5:06,2378,K.J. Maura Turnover.,55,73
4:44,2426,Tom Lacey missed Layup.,55,73
4:44,2426,Tom Lacey Offensive Rebound.,55,73
4:40,2426,Tom Lacey made Layup.,55,75
4:24,2378,Jairus Lyles Turnover.,55,75
3:56,2426,Hasan Abdullah Turnover.,55,75
3:56,2426,Official TV Timeout,55,75
3:47,2378,K.J. Maura made Three Point Jumper. Assisted by Rodney Elliott.,58,75
3:17,2378,Foul on K.J. Maura.,58,75
3:17,2426,Hasan Abdullah missed Free Throw.,58,75
3:17,2426,Navy Deadball Team Rebound.,58,75
3:17,2426,Hasan Abdullah missed Free Throw.,58,75
3:17,2378,Rodney Elliott Defensive Rebound.,58,75
3:05,2378,Rodney Elliott made Three Point Jumper. Assisted by Joel Wincowski.,61,75
3:01,2378,Foul on Rodney Elliott.,61,75
3:01,2426,Ryan Pearson missed Free Throw.,61,75
3:01,2426,Navy Deadball Team Rebound.,61,75
3:01,2426,Ryan Pearson made Free Throw.,61,76
2:40,2378,Ben Grace Turnover.,61,76
2:12,2426,Ryan Pearson missed Three Point Jumper.,61,76
2:12,2426,Tom Lacey Offensive Rebound.,61,76
1:49,2426,Ryan Pearson missed Three Point Jumper.,61,76
1:49,2378,Ben Grace Defensive Rebound.,61,76
1:40,2378,Will Darley made Three Point Jumper.,64,76
1:14,2426,Tom Lacey made Layup.,64,78
1:04,2378,K.J. Maura made Jumper.,66,78
0:27,2426,Bryce Dulin missed Three Point Jumper.,66,78
0:27,2378,Max Curran Defensive Rebound.,66,78
0:20,2378,K.J. Maura missed Three Point Jumper.,66,78
0:20,2426,Bryce Dulin Defensive Rebound.,66,78
0:00,2426,End of Game,66,78
