Idaho State,2885,NJIT,304
10:40,2885,Tim Coleman made Layup.,12,18
10:29,304,Geno Luzcando made Three Point Jumper.,15,18
10:05,2885,Rob Ukawuba made Layup. Assisted by Damon Lynn.,15,20
9:48,304,Brandon Boyd made Three Point Jumper. Assisted by Novak Topalovic.,18,20
9:25,2885,Damon Lynn missed Three Point Jumper.,18,20
9:25,304,Hayes Garrity Defensive Rebound.,18,20
9:14,304,Stephen Lennox missed Three Point Jumper.,18,20
9:14,2885,Damon Lynn Defensive Rebound.,18,20
9:02,304,Foul on Stephen Lennox.,18,20
8:47,2885,Abdul Lewis missed Jumper.,18,20
8:47,304,Novak Topalovic Defensive Rebound.,18,20
8:43,304,Novak Topalovic Turnover.,18,20
8:43,2885,Reilly Walsh Steal.,18,20
8:36,2885,Damon Lynn missed Three Point Jumper.,18,20
8:36,2885,Reilly Walsh Offensive Rebound.,18,20
8:29,2885,Damon Lynn missed Three Point Jumper.,18,20
8:29,2885,Abdul Lewis Offensive Rebound.,18,20
8:28,304,Foul on Robert Jones III.,18,20
8:28,2885,Abdul Lewis made Free Throw.,18,21
8:28,2885,Abdul Lewis made Free Throw.,18,22
8:01,304,Brandon Boyd missed Three Point Jumper.,18,22
8:01,2885,Chris Jenkins Defensive Rebound.,18,22
7:53,2885,Chris Jenkins missed Three Point Jumper.,18,22
7:53,304,Hayes Garrity Defensive Rebound.,18,22
7:44,2885,Foul on Tim Coleman.,18,22
7:44,2885,Official TV Timeout,18,22
7:44,304,Brandon Boyd made Free Throw.,19,22
7:44,304,Brandon Boyd missed Free Throw.,19,22
7:44,2885,Tim Coleman Defensive Rebound.,19,22
7:15,2885,Abdul Lewis Turnover.,19,22
7:15,304,Hayes Garrity Steal.,19,22
6:59,304,Gary Chivichyan made Three Point Jumper. Assisted by Brandon Boyd.,22,22
6:37,2885,Chris Jenkins made Three Point Jumper. Assisted by Abdul Lewis.,22,25
6:07,304,Hayes Garrity Turnover.,22,25
6:06,2885,Chris Jenkins Steal.,22,25
6:04,2885,Damon Lynn made Three Point Jumper. Assisted by Chris Jenkins.,22,28
5:41,304,Novak Topalovic missed Jumper.,22,28
5:41,2885,Tim Coleman Defensive Rebound.,22,28
5:30,2885,Tim Coleman missed Three Point Jumper.,22,28
5:30,2885,Abdul Lewis Offensive Rebound.,22,28
5:26,2885,Abdul Lewis made Layup.,22,30
5:07,2885,Foul on Tim Coleman.,22,30
5:07,304,Novak Topalovic made Free Throw.,23,30
5:07,304,Novak Topalovic made Free Throw.,24,30
4:49,2885,Tim Coleman missed Jumper.,24,30
4:49,304,Geno Luzcando Defensive Rebound.,24,30
4:37,304,Gary Chivichyan made Jumper.,26,30
4:15,304,Foul on Geno Luzcando.,26,30
4:15,2885,Rob Ukawuba missed Free Throw.,26,30
4:15,2885,NJIT Deadball Team Rebound.,26,30
4:15,2885,Rob Ukawuba missed Free Throw.,26,30
4:15,304,Gary Chivichyan Defensive Rebound.,26,30
3:54,304,Stephen Lennox missed Jumper.,26,30
3:54,2885,Abdul Lewis Block.,26,30
3:52,2885,Rob Ukawuba Defensive Rebound.,26,30
3:28,304,Foul on Brandon Boyd.,26,30
3:28,2885,Official TV Timeout,26,30
3:28,2885,Osa Izevbuwa missed Free Throw.,26,30
3:28,304,Geno Luzcando Defensive Rebound.,26,30
3:09,2885,Foul on Abdul Lewis.,26,30
3:09,304,Geno Luzcando made Free Throw.,27,30
3:09,304,Geno Luzcando made Free Throw.,28,30
2:53,2885,Abdul Lewis Turnover.,28,30
2:53,2885,Foul on Abdul Lewis.,28,30
2:42,304,Hayes Garrity made Three Point Jumper.,31,30
2:25,2885,Tim Coleman made Layup.,31,32
2:03,304,Erik Nakken missed Three Point Jumper.,31,32
2:03,2885,Tim Coleman Defensive Rebound.,31,32
1:42,2885,Damon Lynn missed Three Point Jumper.,31,32
1:42,304,Geno Luzcando Defensive Rebound.,31,32
1:34,304,Hayes Garrity missed Three Point Jumper.,31,32
1:34,2885,Mohamed Bendary Defensive Rebound.,31,32
1:06,2885,Osa Izevbuwa Turnover.,31,32
0:52,304,Geno Luzcando Turnover.,31,32
0:50,2885,Damon Lynn Steal.,31,32
0:50,2885,Anthony Tarke Turnover.,31,32
0:39,304,Hayes Garrity missed Jumper.,31,32
0:39,304,Geno Luzcando Offensive Rebound.,31,32
0:36,304,Geno Luzcando Turnover.,31,32
0:30,2885,NJIT  Timeout,31,32
0:25,2885,Rob Ukawuba missed Three Point Jumper.,31,32
0:25,2885,Osa Izevbuwa Offensive Rebound.,31,32
0:04,2885,Anthony Tarke missed Jumper.,31,32
0:04,304,Hayes Garrity Defensive Rebound.,31,32
0:00,2885,End of 1st half,31,32
19:48,304,Brandon Boyd made Layup.,33,32
19:28,2885,Rob Ukawuba missed Three Point Jumper.,33,32
19:28,304,Brandon Boyd Defensive Rebound.,33,32
19:22,304,Geno Luzcando Turnover.,33,32
19:12,2885,Rob Ukawuba made Layup.,33,34
18:51,304,Novak Topalovic made Layup.,35,34
18:29,2885,Abdul Lewis missed Jumper.,35,34
18:29,304,Novak Topalovic Defensive Rebound.,35,34
18:21,304,Brandon Boyd made Layup.,37,34
17:57,2885,Damon Lynn made Three Point Jumper. Assisted by Rob Ukawuba.,37,37
17:35,304,Brandon Boyd missed Three Point Jumper.,37,37
17:35,2885,Tim Coleman Defensive Rebound.,37,37
17:28,2885,Damon Lynn made Layup. Assisted by Tim Coleman.,37,39
17:12,304,Novak Topalovic made Jumper.,39,39
16:57,2885,Abdul Lewis missed Jumper.,39,39
16:57,304,Brandon Boyd Defensive Rebound.,39,39
16:43,304,Gary Chivichyan made Three Point Jumper. Assisted by Novak Topalovic.,42,39
16:23,2885,Damon Lynn missed Three Point Jumper.,42,39
16:23,2885,Abdul Lewis Offensive Rebound.,42,39
16:18,304,Foul on Robert Jones III.,42,39
16:18,2885,Rob Ukawuba made Free Throw.,42,40
16:03,304,Gary Chivichyan missed Three Point Jumper.,42,40
16:03,2885,Tim Coleman Defensive Rebound.,42,40
15:37,2885,Rob Ukawuba Turnover.,42,40
15:36,304,Geno Luzcando Steal.,42,40
15:33,2885,Foul on Damon Lynn.,42,40
15:33,2885,Official TV Timeout,42,40
15:33,304,Brandon Boyd made Free Throw.,43,40
15:33,304,Brandon Boyd made Free Throw.,44,40
15:23,2885,Rob Ukawuba made Layup. Assisted by Damon Lynn.,44,42
15:02,304,Novak Topalovic Turnover.,44,42
15:01,2885,Tim Coleman Steal.,44,42
14:45,2885,Damon Lynn made Three Point Jumper.,44,45
14:29,2885,Foul on Mohamed Bendary.,44,45
14:29,304,Foul on Novak Topalovic.,44,45
14:23,304,Stephen Lennox missed Three Point Jumper.,44,45
14:23,2885,Damon Lynn Defensive Rebound.,44,45
13:57,304,Foul on Stephen Lennox.,44,45
13:56,2885,Damon Lynn made Three Point Jumper. Assisted by Tim Coleman.,44,48
13:29,304,Brandon Boyd Turnover.,44,48
13:16,2885,Tim Coleman missed Jumper.,44,48
13:16,304,Stephen Lennox Defensive Rebound.,44,48
13:10,2885,Foul on Rob Ukawuba.,44,48
13:10,304,Brandon Boyd made Free Throw.,45,48
13:10,304,Brandon Boyd made Free Throw.,46,48
12:57,2885,Rob Ukawuba made Layup.,46,50
12:35,304,Brandon Boyd missed Jumper.,46,50
12:35,2885,Rob Ukawuba Defensive Rebound.,46,50
12:33,2885,Rob Ukawuba Turnover.,46,50
12:33,304,Brandon Boyd Steal.,46,50
12:18,2885,Foul on Chris Jenkins.,46,50
12:02,304,Geno Luzcando missed Layup.,46,50
12:02,2885,Tim Coleman Defensive Rebound.,46,50
11:36,2885,Tim Coleman made Three Point Jumper. Assisted by Osa Izevbuwa.,46,53
11:11,304,Stephen Lennox missed Jumper.,46,53
11:11,2885,Rob Ukawuba Defensive Rebound.,46,53
10:49,2885,Tim Coleman missed Jumper.,46,53
10:49,304,Geno Luzcando Defensive Rebound.,46,53
10:40,304,Hayes Garrity missed Three Point Jumper.,46,53
10:40,2885,NJIT Deadball Team Rebound.,46,53
10:37,304,Foul on Geno Luzcando.,46,53
10:37,2885,Official TV Timeout,46,53
10:28,304,Foul on Hayes Garrity.,46,53
10:16,2885,Damon Lynn Turnover.,46,53
10:15,304,Hayes Garrity Steal.,46,53
10:13,304,Hayes Garrity missed Layup.,46,53
10:13,2885,Tim Coleman Block.,46,53
10:13,304,Idaho State Offensive Rebound.,46,53
10:10,304,Novak Topalovic made Dunk.,48,53
9:54,2885,Damon Lynn made Three Point Jumper. Assisted by Abdul Lewis.,48,56
9:34,2885,Foul on Abdul Lewis.,48,56
9:17,304,Brandon Boyd made Three Point Jumper.,51,56
8:56,2885,Damon Lynn missed Three Point Jumper.,51,56
8:56,304,Idaho State Defensive Rebound.,51,56
8:35,304,Robert Jones III made Three Point Jumper. Assisted by Brandon Boyd.,54,56
8:11,2885,Damon Lynn Turnover.,54,56
8:11,304,Gary Chivichyan Steal.,54,56
8:01,304,Robert Jones III Turnover.,54,56
8:01,304,Foul on Robert Jones III.,54,56
7:49,2885,Tim Coleman missed Jumper.,54,56
7:49,304,Gary Chivichyan Defensive Rebound.,54,56
7:25,304,Brandon Boyd made Layup.,56,56
7:05,2885,Osa Izevbuwa Turnover.,56,56
7:05,304,Geno Luzcando Steal.,56,56
7:01,304,Gary Chivichyan missed Three Point Jumper.,56,56
7:01,304,Idaho State Deadball Team Rebound.,56,56
6:57,2885,Foul on Mohamed Bendary.,56,56
6:57,2885,Official TV Timeout,56,56
6:56,304,Brandon Boyd Turnover.,56,56
6:43,2885,Tim Coleman missed Jumper.,56,56
6:43,304,Hayes Garrity Defensive Rebound.,56,56
6:29,304,Gary Chivichyan Turnover.,56,56
6:28,2885,Damon Lynn Steal.,56,56
6:23,2885,Osa Izevbuwa made Layup.,56,58
6:12,304,Brandon Boyd missed Three Point Jumper.,56,58
6:12,2885,Tim Coleman Defensive Rebound.,56,58
5:51,2885,Mohamed Bendary missed Jumper.,56,58
5:51,304,Geno Luzcando Block.,56,58
5:49,304,Gary Chivichyan Defensive Rebound.,56,58
5:40,304,Geno Luzcando made Layup.,58,58
5:35,2885,NJIT  Timeout,58,58
5:14,2885,Tim Coleman missed Layup.,58,58
5:14,304,Stephen Lennox Defensive Rebound.,58,58
5:07,304,Brandon Boyd made Layup.,60,58
4:49,2885,Osa Izevbuwa missed Three Point Jumper.,60,58
4:49,2885,Tim Coleman Offensive Rebound.,60,58
4:45,304,Foul on Geno Luzcando.,60,58
4:45,2885,Tim Coleman made Free Throw.,60,59
4:45,2885,Tim Coleman made Free Throw.,60,60
4:24,2885,Foul on Abdul Lewis.,60,60
4:24,304,Robert Jones III missed Free Throw.,60,60
4:24,304,Idaho State Deadball Team Rebound.,60,60
4:24,304,Robert Jones III made Free Throw.,61,60
4:02,304,Foul on Novak Topalovic.,61,60
4:02,2885,Damon Lynn made Free Throw.,61,61
4:02,2885,Damon Lynn made Free Throw.,61,62
3:44,2885,Foul on Mohamed Bendary.,61,62
3:44,2885,Official TV Timeout,61,62
3:44,304,Brandon Boyd made Free Throw.,62,62
3:44,304,Brandon Boyd made Free Throw.,63,62
3:24,2885,Tim Coleman made Layup.,63,64
2:57,304,Brandon Boyd Turnover.,63,64
2:45,2885,Osa Izevbuwa Turnover.,63,64
2:44,304,Brandon Boyd Steal.,63,64
2:42,304,Brandon Boyd missed Layup.,63,64
2:42,2885,Rob Ukawuba Defensive Rebound.,63,64
2:23,2885,Osa Izevbuwa missed Three Point Jumper.,63,64
2:23,2885,Damon Lynn Offensive Rebound.,63,64
2:04,2885,Tim Coleman made Three Point Jumper. Assisted by Damon Lynn.,63,67
1:50,2885,Foul on Mohamed Bendary.,63,67
1:50,304,Novak Topalovic missed Free Throw.,63,67
1:50,2885,Tim Coleman Defensive Rebound.,63,67
1:30,2885,Tim Coleman Turnover.,63,67
1:23,2885,Foul on Mohamed Bendary.,63,67
1:23,304,Geno Luzcando made Free Throw.,64,67
1:23,304,Geno Luzcando made Free Throw.,65,67
1:02,2885,Rob Ukawuba Turnover.,65,67
1:01,304,Hayes Garrity Steal.,65,67
0:58,304,Brandon Boyd made Layup. Assisted by Hayes Garrity.,67,67
0:50,2885,NJIT  Timeout,67,67
0:31,2885,Tim Coleman made Jumper.,67,69
0:19,304,Idaho State  Timeout,67,69
0:08,304,Brandon Boyd missed Layup.,67,69
0:08,2885,Rob Ukawuba Defensive Rebound.,67,69
0:05,304,Foul on Hayes Garrity.,67,69
0:05,304,Idaho State  Timeout,67,69
0:05,2885,Damon Lynn made Free Throw.,67,70
0:05,2885,Damon Lynn made Free Throw.,67,71
0:01,304,Hayes Garrity missed Three Point Jumper.,67,71
0:01,2885,Reilly Walsh Defensive Rebound.,67,71
0:00,2885,End of Game,67,71
