Boise State,2483,Oregon,68
6:57,68,Nick Duncan missed Three Point Jumper.,29,18
6:57,2483,Jordan Bell Defensive Rebound.,29,18
6:48,2483,Payton Pritchard Turnover.,29,18
6:32,68,Justinian Jessup Turnover.,29,18
6:31,2483,Chris Boucher Steal.,29,18
6:09,2483,Chris Boucher made Jumper.,29,20
6:09,68,Foul on Chandler Hutchison.,29,20
6:09,2483,Chris Boucher missed Free Throw.,29,20
6:09,68,Justinian Jessup Defensive Rebound.,29,20
6:04,68,James Reid missed Three Point Jumper.,29,20
6:04,2483,Chris Boucher Defensive Rebound.,29,20
5:46,2483,Dylan Ennis made Jumper.,29,22
5:26,68,Nick Duncan missed Three Point Jumper.,29,22
5:26,2483,Chris Boucher Defensive Rebound.,29,22
5:12,2483,Tyler Dorsey made Layup. Assisted by Jordan Bell.,29,24
5:09,68,Boise State  Timeout,29,24
4:50,68,Paris Austin missed Jumper.,29,24
4:50,2483,Dylan Ennis Defensive Rebound.,29,24
4:37,68,Foul on James Reid.,29,24
4:37,2483,Chris Boucher missed Free Throw.,29,24
4:37,68,Justinian Jessup Defensive Rebound.,29,24
4:19,68,Justinian Jessup made Three Point Jumper. Assisted by Paris Austin.,32,24
3:55,2483,Payton Pritchard missed Three Point Jumper.,32,24
3:55,68,David Wacker Defensive Rebound.,32,24
3:23,2483,Foul on Chris Boucher.,32,24
3:23,2483,Official TV Timeout,32,24
3:23,68,David Wacker missed Free Throw.,32,24
3:23,68,Boise State Deadball Team Rebound.,32,24
3:23,68,David Wacker missed Free Throw.,32,24
3:23,2483,Jordan Bell Defensive Rebound.,32,24
3:01,68,Foul on Alex Hobbs.,32,24
3:01,2483,Dylan Ennis made Free Throw.,32,25
3:01,2483,Dylan Ennis made Free Throw.,32,26
2:35,68,Zach Haney Turnover.,32,26
2:11,2483,Dillon Brooks missed Three Point Jumper.,32,26
2:11,68,Zach Haney Defensive Rebound.,32,26
1:56,2483,Foul on Dillon Brooks.,32,26
1:56,68,Nick Duncan missed Free Throw.,32,26
1:56,2483,Payton Pritchard Defensive Rebound.,32,26
1:41,2483,Dillon Brooks missed Layup.,32,26
1:41,2483,Dillon Brooks Offensive Rebound.,32,26
1:39,2483,Dillon Brooks missed Layup.,32,26
1:39,68,Paris Austin Defensive Rebound.,32,26
1:07,68,Nick Duncan missed Three Point Jumper.,32,26
1:07,2483,Oregon Deadball Team Rebound.,32,26
1:00,2483,Tyler Dorsey made Three Point Jumper. Assisted by Casey Benson.,32,29
0:49,68,Nick Duncan Turnover.,32,29
0:36,2483,Dylan Ennis Turnover.,32,29
0:35,68,Alex Hobbs Steal.,32,29
0:32,68,Paris Austin missed Layup.,32,29
0:32,2483,Jordan Bell Block.,32,29
0:28,2483,Payton Pritchard Defensive Rebound.,32,29
0:03,2483,Tyler Dorsey missed Three Point Jumper.,32,29
0:03,68,Alex Hobbs Defensive Rebound.,32,29
0:00,2483,End of 1st half,32,29
19:50,68,Foul on Justinian Jessup.,32,29
19:50,2483,Dylan Ennis made Free Throw.,32,30
19:50,2483,Dylan Ennis made Free Throw.,32,31
19:35,68,Chandler Hutchison Turnover.,32,31
19:34,2483,Chris Boucher Steal.,32,31
19:22,68,Foul on Paris Austin.,32,31
19:04,2483,Jordan Bell missed Layup.,32,31
19:04,68,Chandler Hutchison Defensive Rebound.,32,31
18:51,68,Justinian Jessup made Three Point Jumper.,35,31
18:32,2483,Dylan Ennis Turnover.,35,31
18:31,68,Nick Duncan Steal.,35,31
18:25,68,Nick Duncan made Three Point Jumper. Assisted by Paris Austin.,38,31
18:07,2483,Jordan Bell made Dunk.,38,33
17:52,2483,Foul on Payton Pritchard.,38,33
17:47,68,Nick Duncan Turnover.,38,33
17:47,68,Foul on Nick Duncan.,38,33
17:36,2483,Tyler Dorsey missed Three Point Jumper.,38,33
17:36,68,Nick Duncan Defensive Rebound.,38,33
17:20,68,Paris Austin Turnover.,38,33
17:15,2483,Chris Boucher missed Layup.,38,33
17:15,2483,Jordan Bell Offensive Rebound.,38,33
17:13,2483,Jordan Bell made Two Point Tip Shot.,38,35
16:41,68,Paris Austin missed Three Point Jumper.,38,35
16:41,68,Nick Duncan Offensive Rebound.,38,35
16:32,68,Paris Austin made Three Point Jumper. Assisted by Chandler Hutchison.,41,35
16:19,68,Foul on Nick Duncan.,41,35
16:07,2483,Chris Boucher Turnover.,41,35
15:51,68,Chandler Hutchison Turnover.,41,35
15:47,68,Foul on James Reid.,41,35
15:47,2483,Official TV Timeout,41,35
15:47,2483,Tyler Dorsey Turnover.,41,35
15:47,2483,Foul on Tyler Dorsey.,41,35
15:46,68,Justinian Jessup Turnover.,41,35
15:36,2483,Dillon Brooks missed Jumper.,41,35
15:36,68,Zach Haney Defensive Rebound.,41,35
15:05,68,Paris Austin missed Jumper.,41,35
15:05,68,Chandler Hutchison Offensive Rebound.,41,35
15:01,68,Chandler Hutchison missed Two Point Tip Shot.,41,35
15:01,68,Zach Haney Offensive Rebound.,41,35
14:56,68,Zach Haney made Two Point Tip Shot.,43,35
14:28,2483,Casey Benson made Three Point Jumper. Assisted by Dylan Ennis.,43,38
14:06,2483,Foul on Kavell Bigby-Williams.,43,38
14:06,68,Paris Austin made Free Throw.,44,38
14:06,68,Paris Austin made Free Throw.,45,38
13:49,2483,Casey Benson made Three Point Jumper. Assisted by Jordan Bell.,45,41
13:25,68,Justinian Jessup made Three Point Jumper. Assisted by Zach Haney.,48,41
13:16,2483,Dillon Brooks Turnover.,48,41
13:14,68,Justinian Jessup Steal.,48,41
12:57,68,Justinian Jessup missed Three Point Jumper.,48,41
12:57,2483,Jordan Bell Defensive Rebound.,48,41
12:49,2483,Jordan Bell Turnover.,48,41
12:22,2483,Foul on Chris Boucher.,48,41
12:22,68,Zach Haney made Free Throw.,49,41
12:22,68,Zach Haney missed Free Throw.,49,41
12:22,2483,Chris Boucher Defensive Rebound.,49,41
12:13,2483,Tyler Dorsey missed Jumper.,49,41
12:13,2483,Tyler Dorsey Offensive Rebound.,49,41
12:09,68,Foul on Zach Haney.,49,41
12:09,2483,Tyler Dorsey made Free Throw.,49,42
12:09,2483,Tyler Dorsey missed Free Throw.,49,42
12:09,2483,Tyler Dorsey Offensive Rebound.,49,42
12:06,2483,Tyler Dorsey missed Layup.,49,42
12:06,2483,Tyler Dorsey Offensive Rebound.,49,42
12:04,2483,Tyler Dorsey made Two Point Tip Shot.,49,44
11:39,68,Justinian Jessup made Layup. Assisted by Chandler Hutchison.,51,44
11:15,2483,Jordan Bell Turnover.,51,44
11:15,2483,Official TV Timeout,51,44
10:58,68,Chandler Hutchison missed Jumper.,51,44
10:58,2483,Tyler Dorsey Defensive Rebound.,51,44
10:31,68,Foul on Nick Duncan.,51,44
10:31,2483,Dylan Ennis made Free Throw.,51,45
10:31,2483,Dylan Ennis made Free Throw.,51,46
10:17,68,Paris Austin missed Layup.,51,46
10:17,2483,Chris Boucher Block.,51,46
10:16,2483,Oregon Defensive Rebound.,51,46
10:03,2483,Chris Boucher missed Three Point Jumper.,51,46
10:03,68,Nick Duncan Defensive Rebound.,51,46
9:54,2483,Foul on Casey Benson.,51,46
9:42,68,Nick Duncan missed Three Point Jumper.,51,46
9:42,2483,Payton Pritchard Defensive Rebound.,51,46
9:30,2483,Casey Benson missed Three Point Jumper.,51,46
9:30,68,Chandler Hutchison Defensive Rebound.,51,46
9:17,68,Paris Austin Turnover.,51,46
9:11,2483,Dillon Brooks missed Three Point Jumper.,51,46
9:11,2483,Casey Benson Offensive Rebound.,51,46
9:03,68,Foul on Alex Hobbs.,51,46
9:03,2483,Dillon Brooks missed Free Throw.,51,46
9:03,68,Chandler Hutchison Defensive Rebound.,51,46
8:46,68,Chandler Hutchison missed Layup.,51,46
8:46,2483,Chris Boucher Block.,51,46
8:42,2483,Dylan Ennis Defensive Rebound.,51,46
8:37,2483,Dylan Ennis missed Layup.,51,46
8:37,2483,Dillon Brooks Offensive Rebound.,51,46
8:35,2483,Dillon Brooks missed Two Point Tip Shot.,51,46
8:35,2483,Oregon Offensive Rebound.,51,46
8:34,68,Foul on Alex Hobbs.,51,46
8:34,2483,Dylan Ennis made Free Throw.,51,47
8:34,2483,Dylan Ennis missed Free Throw.,51,47
8:34,68,David Wacker Defensive Rebound.,51,47
8:17,68,David Wacker missed Layup.,51,47
8:17,68,Robin Jorch Offensive Rebound.,51,47
8:08,2483,Foul on Chris Boucher.,51,47
8:08,68,Paris Austin missed Free Throw.,51,47
8:08,68,Boise State Deadball Team Rebound.,51,47
8:08,68,Paris Austin made Free Throw.,52,47
8:08,68,Paris Austin made Free Throw.,53,47
7:50,68,Foul on Robin Jorch.,53,47
7:50,2483,Official TV Timeout,53,47
7:50,2483,Dillon Brooks missed Free Throw.,53,47
7:50,2483,Oregon Deadball Team Rebound.,53,47
7:50,2483,Dillon Brooks made Free Throw.,53,48
7:43,68,Nick Duncan made Three Point Jumper. Assisted by Chandler Hutchison.,56,48
7:22,2483,Jordan Bell made Jumper.,56,50
6:55,68,Paris Austin made Layup.,58,50
6:36,2483,Dillon Brooks made Layup.,58,52
6:15,68,Robin Jorch missed Layup.,58,52
6:15,2483,Dillon Brooks Block.,58,52
6:13,2483,Jordan Bell Defensive Rebound.,58,52
6:00,68,Foul on James Reid.,58,52
6:00,2483,Dylan Ennis made Free Throw.,58,53
6:00,2483,Dylan Ennis made Free Throw.,58,54
5:34,68,Zach Haney missed Layup.,58,54
5:34,2483,Jordan Bell Block.,58,54
5:32,2483,Payton Pritchard Defensive Rebound.,58,54
5:28,2483,Tyler Dorsey made Three Point Jumper.,58,57
5:24,68,Boise State  Timeout,58,57
5:24,2483,Official TV Timeout,58,57
5:13,68,Nick Duncan missed Three Point Jumper.,58,57
5:13,2483,Dylan Ennis Defensive Rebound.,58,57
4:52,2483,Dillon Brooks Turnover.,58,57
4:42,68,Nick Duncan Turnover.,58,57
4:40,2483,Jordan Bell Steal.,58,57
4:28,2483,Dillon Brooks missed Three Point Jumper.,58,57
4:28,68,Chandler Hutchison Defensive Rebound.,58,57
3:53,68,Chandler Hutchison missed Three Point Jumper.,58,57
3:53,2483,Dylan Ennis Defensive Rebound.,58,57
3:33,2483,Dylan Ennis made Three Point Jumper. Assisted by Payton Pritchard.,58,60
3:03,2483,Foul on Jordan Bell.,58,60
3:03,2483,Official TV Timeout,58,60
3:03,68,Chandler Hutchison made Free Throw.,59,60
3:03,68,Chandler Hutchison made Free Throw.,60,60
2:52,68,Foul on Paris Austin.,60,60
2:52,2483,Chris Boucher made Free Throw.,60,61
2:52,2483,Chris Boucher missed Free Throw.,60,61
2:52,68,Chandler Hutchison Defensive Rebound.,60,61
2:34,68,Chandler Hutchison missed Layup.,60,61
2:34,2483,Chris Boucher Block.,60,61
2:32,2483,Jordan Bell Defensive Rebound.,60,61
2:04,2483,Payton Pritchard missed Three Point Jumper.,60,61
2:04,2483,Jordan Bell Offensive Rebound.,60,61
1:44,2483,Tyler Dorsey missed Three Point Jumper.,60,61
1:44,68,Justinian Jessup Block.,60,61
1:42,68,Chandler Hutchison Defensive Rebound.,60,61
1:37,68,Nick Duncan missed Three Point Jumper.,60,61
1:37,2483,Chris Boucher Defensive Rebound.,60,61
1:22,2483,Oregon  Timeout,60,61
1:09,2483,Tyler Dorsey made Layup.,60,63
0:54,68,Nick Duncan missed Three Point Jumper.,60,63
0:54,2483,Dylan Ennis Defensive Rebound.,60,63
0:22,2483,Payton Pritchard made Jumper.,60,65
0:18,68,Paris Austin made Layup.,62,65
0:18,2483,Foul on Payton Pritchard.,62,65
0:18,2483,Oregon  Timeout,62,65
0:18,68,Paris Austin made Free Throw.,63,65
0:12,68,Foul on Nick Duncan.,63,65
0:12,2483,Tyler Dorsey missed Free Throw.,63,65
0:12,2483,Oregon Deadball Team Rebound.,63,65
0:12,2483,Tyler Dorsey made Free Throw.,63,66
0:07,68,Paris Austin Turnover.,63,66
0:07,2483,Oregon  Timeout,63,66
0:02,68,Foul on Marcus Dickinson.,63,66
0:02,2483,Dillon Brooks made Free Throw.,63,67
0:02,2483,Dillon Brooks made Free Throw.,63,68
0:00,68,Zach Haney missed Three Point Jumper.,63,68
0:00,68,Boise State Deadball Team Rebound.,63,68
0:00,2483,End of Game,63,68
