Bryant,225,Brown,2803
6:56,225,Chris Sullivan missed Three Point Jumper.,17,28
6:56,2803,Marcel Pettway Defensive Rebound.,17,28
6:54,225,Foul on Travis Fuller.,17,28
6:36,2803,Adam Grant missed Jumper.,17,28
6:36,2803,Marcel Pettway Offensive Rebound.,17,28
6:33,2803,Marcel Pettway missed Layup.,17,28
6:33,225,Travis Fuller Block.,17,28
6:32,225,Chris Sullivan Defensive Rebound.,17,28
6:20,225,Tavon Blackmon missed Three Point Jumper.,17,28
6:20,2803,Sabastian Townes Defensive Rebound.,17,28
5:59,2803,Nisre Zouzoua made Three Point Jumper. Assisted by Ikenna Ndugba.,20,28
5:45,225,Joshua Howard made Layup. Assisted by Tavon Blackmon.,20,30
5:35,2803,Nisre Zouzoua made Three Point Jumper. Assisted by Gus Riley.,23,30
5:12,225,Obi Okolie missed Three Point Jumper.,23,30
5:12,2803,Gus Riley Defensive Rebound.,23,30
4:58,2803,Nisre Zouzoua missed Three Point Jumper.,23,30
4:58,225,Brown Defensive Rebound.,23,30
4:39,225,Steven Spieth missed Layup.,23,30
4:39,2803,Sabastian Townes Defensive Rebound.,23,30
4:39,225,Foul on Steven Spieth.,23,30
4:39,2803,Sabastian Townes made Free Throw.,24,30
4:39,2803,Sabastian Townes made Free Throw.,25,30
4:27,225,Obi Okolie missed Three Point Jumper.,25,30
4:27,2803,Nisre Zouzoua Defensive Rebound.,25,30
4:13,2803,Adam Grant made Layup.,27,30
4:13,225,Foul on Corey Daugherty.,27,30
4:13,2803,Adam Grant made Free Throw.,28,30
3:59,225,JR Hobbie made Three Point Jumper. Assisted by Obi Okolie.,28,33
3:47,2803,Adam Grant made Layup.,30,33
3:46,225,Brown  Timeout,30,33
3:46,225,Official TV Timeout,30,33
3:21,225,Steven Spieth Turnover.,30,33
3:10,2803,Adam Grant made Jumper.,32,33
2:55,225,JR Hobbie made Three Point Jumper. Assisted by Steven Spieth.,32,36
2:41,2803,Adam Grant made Jumper.,34,36
2:22,225,Obi Okolie missed Jumper.,34,36
2:22,2803,Nisre Zouzoua Defensive Rebound.,34,36
2:14,2803,Adam Grant missed Three Point Jumper.,34,36
2:14,225,JR Hobbie Defensive Rebound.,34,36
1:54,225,Steven Spieth made Layup. Assisted by Tavon Blackmon.,34,38
1:36,225,Foul on Steven Spieth.,34,38
1:36,2803,Sabastian Townes made Free Throw.,35,38
1:36,2803,Sabastian Townes missed Free Throw.,35,38
1:36,225,Obi Okolie Defensive Rebound.,35,38
1:15,225,Corey Daugherty made Three Point Jumper. Assisted by Tavon Blackmon.,35,41
0:57,2803,Bosko Kostur made Layup.,37,41
0:30,225,Corey Daugherty missed Three Point Jumper.,37,41
0:30,225,Travis Fuller Offensive Rebound.,37,41
0:26,225,Travis Fuller made Layup.,37,43
0:03,2803,Sabastian Townes made Layup.,39,43
0:00,225,End of 1st half,39,43
19:50,225,Corey Daugherty missed Three Point Jumper.,39,43
19:50,225,Steven Spieth Offensive Rebound.,39,43
19:47,225,Steven Spieth Turnover.,39,43
19:34,2803,Marcel Pettway Turnover.,39,43
19:34,2803,Foul on Marcel Pettway.,39,43
19:25,225,Joshua Howard made Layup. Assisted by Steven Spieth.,39,45
19:05,2803,Ikenna Ndugba made Jumper.,41,45
18:49,225,Joshua Howard made Layup. Assisted by Tavon Blackmon.,41,47
18:49,2803,Foul on Sabastian Townes.,41,47
18:49,225,Joshua Howard missed Free Throw.,41,47
18:49,225,Steven Spieth Offensive Rebound.,41,47
18:41,225,Obi Okolie missed Three Point Jumper.,41,47
18:41,2803,Bosko Kostur Defensive Rebound.,41,47
18:33,2803,Nisre Zouzoua missed Three Point Jumper.,41,47
18:33,225,Obi Okolie Defensive Rebound.,41,47
18:14,225,Corey Daugherty made Three Point Jumper. Assisted by Obi Okolie.,41,50
17:55,2803,Adam Grant missed Three Point Jumper.,41,50
17:55,2803,Ikenna Ndugba Offensive Rebound.,41,50
17:52,225,Foul on Joshua Howard.,41,50
17:52,2803,Nisre Zouzoua made Free Throw.,42,50
17:52,2803,Nisre Zouzoua made Free Throw.,43,50
17:39,225,Steven Spieth missed Layup.,43,50
17:39,225,Steven Spieth Offensive Rebound.,43,50
17:35,225,Steven Spieth Turnover.,43,50
17:34,2803,Nisre Zouzoua Steal.,43,50
17:32,225,Foul on Corey Daugherty.,43,50
17:32,2803,Nisre Zouzoua made Free Throw.,44,50
17:32,2803,Nisre Zouzoua made Free Throw.,45,50
17:20,225,Obi Okolie Turnover.,45,50
17:19,2803,Nisre Zouzoua Steal.,45,50
17:15,2803,Adam Grant made Jumper.,47,50
16:55,225,Tavon Blackmon Turnover.,47,50
16:54,2803,Marcel Pettway Steal.,47,50
16:46,2803,Bosko Kostur missed Three Point Jumper.,47,50
16:46,225,Steven Spieth Defensive Rebound.,47,50
16:30,2803,Foul on Bosko Kostur.,47,50
16:30,2803,Foul on Hunter Ware.,47,50
16:21,225,Obi Okolie made Layup.,47,52
16:09,2803,Marcel Pettway made Layup. Assisted by Ikenna Ndugba.,49,52
15:49,225,Joshua Howard missed Layup.,49,52
15:49,2803,Marcel Pettway Defensive Rebound.,49,52
15:37,2803,Bosko Kostur Turnover.,49,52
15:36,225,Tavon Blackmon Steal.,49,52
15:32,2803,Foul on Nisre Zouzoua.,49,52
15:32,225,Official TV Timeout,49,52
15:15,225,JR Hobbie missed Three Point Jumper.,49,52
15:15,2803,Bosko Kostur Defensive Rebound.,49,52
15:08,2803,Nisre Zouzoua missed Three Point Jumper.,49,52
15:08,2803,Adam Grant Offensive Rebound.,49,52
15:06,225,Foul on JR Hobbie.,49,52
15:06,2803,Adam Grant made Free Throw.,50,52
15:06,2803,Adam Grant made Free Throw.,51,52
14:44,225,Travis Fuller Turnover.,51,52
14:43,2803,Marcel Pettway Steal.,51,52
14:40,2803,Nisre Zouzoua made Layup.,53,52
14:40,225,Foul on Steven Spieth.,53,52
14:40,2803,Nisre Zouzoua made Free Throw.,54,52
14:30,225,Brandon Anderson made Layup.,54,54
14:13,2803,Marcel Pettway Turnover.,54,54
14:08,225,Steven Spieth missed Three Point Jumper.,54,54
14:08,2803,Nisre Zouzoua Defensive Rebound.,54,54
13:57,2803,Nisre Zouzoua Turnover.,54,54
13:30,225,Steven Spieth missed Layup.,54,54
13:30,225,Travis Fuller Offensive Rebound.,54,54
13:29,225,Travis Fuller made Layup.,54,56
13:12,2803,Ikenna Ndugba made Layup.,56,56
13:12,225,Foul on Brandon Anderson.,56,56
13:12,2803,Ikenna Ndugba made Free Throw.,57,56
13:06,2803,Foul on Adam Grant.,57,56
12:59,225,Brandon Anderson missed Three Point Jumper.,57,56
12:59,2803,Marcel Pettway Defensive Rebound.,57,56
12:49,2803,Ikenna Ndugba Turnover.,57,56
12:48,225,Steven Spieth Steal.,57,56
12:44,225,Brandon Anderson made Layup.,57,58
12:30,2803,Ikenna Ndugba Turnover.,57,58
12:29,225,JR Hobbie Steal.,57,58
12:27,225,Steven Spieth made Layup. Assisted by JR Hobbie.,57,60
12:09,2803,Adam Grant missed Layup.,57,60
12:09,225,Travis Fuller Defensive Rebound.,57,60
12:01,225,JR Hobbie made Three Point Jumper. Assisted by Steven Spieth.,57,63
11:57,2803,Bryant  Timeout,57,63
11:51,2803,Nisre Zouzoua missed Three Point Jumper.,57,63
11:51,2803,Bryant Offensive Rebound.,57,63
11:48,225,Official TV Timeout,57,63
11:32,2803,Nisre Zouzoua missed Layup.,57,63
11:32,2803,Bosko Kostur Offensive Rebound.,57,63
11:29,2803,Bosko Kostur made Layup.,59,63
11:16,2803,Foul on Marcel Pettway.,59,63
11:16,225,Travis Fuller made Free Throw.,59,64
11:16,225,Travis Fuller made Free Throw.,59,65
11:05,2803,Adam Grant missed Three Point Jumper.,59,65
11:05,225,Brandon Anderson Defensive Rebound.,59,65
10:58,225,Brandon Anderson made Layup.,59,67
10:43,2803,Nisre Zouzoua missed Three Point Jumper.,59,67
10:43,2803,Sabastian Townes Offensive Rebound.,59,67
10:40,225,Foul on Obi Okolie.,59,67
10:28,225,Foul on Travis Fuller.,59,67
10:28,2803,Sabastian Townes made Free Throw.,60,67
10:28,2803,Sabastian Townes missed Free Throw.,60,67
10:28,225,Chris Sullivan Defensive Rebound.,60,67
10:13,225,Steven Spieth missed Jumper.,60,67
10:13,2803,Bosko Kostur Defensive Rebound.,60,67
10:11,225,Foul on Obi Okolie.,60,67
10:11,2803,Bosko Kostur made Free Throw.,61,67
10:11,2803,Bosko Kostur made Free Throw.,62,67
9:50,225,Joshua Howard made Layup. Assisted by Brandon Anderson.,62,69
9:38,2803,Ikenna Ndugba Turnover.,62,69
9:37,225,Brandon Anderson Steal.,62,69
9:35,225,Brandon Anderson Turnover.,62,69
9:34,2803,Ikenna Ndugba Steal.,62,69
9:29,2803,Adam Grant made Layup. Assisted by Bosko Kostur.,64,69
9:04,225,Steven Spieth Turnover.,64,69
9:03,2803,Nisre Zouzoua Steal.,64,69
8:59,2803,Adam Grant Turnover.,64,69
8:59,2803,Foul on Adam Grant.,64,69
8:53,225,JR Hobbie made Three Point Jumper. Assisted by Chris Sullivan.,64,72
8:26,2803,Nisre Zouzoua made Three Point Jumper. Assisted by Adam Grant.,67,72
8:26,225,Foul on Tavon Blackmon.,67,72
8:26,2803,Nisre Zouzoua made Free Throw.,68,72
8:15,225,Steven Spieth Turnover.,68,72
8:14,2803,Sabastian Townes Steal.,68,72
8:07,2803,Adam Grant made Layup. Assisted by Nisre Zouzoua.,70,72
7:53,2803,Foul on Bosko Kostur.,70,72
7:53,225,Official TV Timeout,70,72
7:53,225,Joshua Howard made Free Throw.,70,73
7:53,225,Joshua Howard made Free Throw.,70,74
7:31,2803,Adam Grant made Layup.,72,74
7:13,225,Joshua Howard missed Jumper.,72,74
7:13,2803,Bosko Kostur Defensive Rebound.,72,74
6:55,2803,Nisre Zouzoua Turnover.,72,74
6:55,2803,Foul on Nisre Zouzoua.,72,74
6:46,225,Steven Spieth made Jumper. Assisted by Obi Okolie.,72,76
6:33,2803,Sabastian Townes missed Jumper.,72,76
6:33,225,Obi Okolie Defensive Rebound.,72,76
6:24,225,Joshua Howard made Layup. Assisted by Tavon Blackmon.,72,78
6:09,225,Foul on Obi Okolie.,72,78
6:09,2803,Nisre Zouzoua missed Free Throw.,72,78
6:09,2803,Bryant Deadball Team Rebound.,72,78
6:09,2803,Nisre Zouzoua made Free Throw.,73,78
5:58,225,Joshua Howard made Layup. Assisted by Steven Spieth.,73,80
5:47,2803,Bosko Kostur made Three Point Jumper. Assisted by Ikenna Ndugba.,76,80
5:45,2803,Bryant  Timeout,76,80
5:35,225,Tavon Blackmon made Layup. Assisted by Steven Spieth.,76,82
5:26,2803,Bosko Kostur made Three Point Jumper. Assisted by Ikenna Ndugba.,79,82
5:08,225,JR Hobbie missed Three Point Jumper.,79,82
5:08,2803,Nisre Zouzoua Defensive Rebound.,79,82
4:50,2803,Adam Grant Turnover.,79,82
4:49,225,JR Hobbie Steal.,79,82
4:45,2803,Foul on Ikenna Ndugba.,79,82
4:45,225,Steven Spieth made Free Throw.,79,83
4:45,225,Steven Spieth made Free Throw.,79,84
4:27,2803,Nisre Zouzoua made Jumper. Assisted by Bosko Kostur.,81,84
4:16,225,Tavon Blackmon missed Layup.,81,84
4:16,2803,Nisre Zouzoua Block.,81,84
4:15,2803,Ikenna Ndugba Defensive Rebound.,81,84
4:10,2803,Adam Grant missed Jumper.,81,84
4:10,2803,Nisre Zouzoua Offensive Rebound.,81,84
4:05,2803,Nisre Zouzoua missed Jumper.,81,84
4:05,225,Brandon Anderson Defensive Rebound.,81,84
4:01,2803,Foul on Nisre Zouzoua.,81,84
4:01,225,Brandon Anderson missed Free Throw.,81,84
4:01,225,Brown Deadball Team Rebound.,81,84
4:01,225,Brandon Anderson made Free Throw.,81,85
3:44,225,Foul on Steven Spieth.,81,85
3:44,225,Official TV Timeout,81,85
3:44,2803,Bosko Kostur made Free Throw.,82,85
3:44,2803,Bosko Kostur made Free Throw.,83,85
3:22,225,Steven Spieth made Layup.,83,87
2:58,2803,Nisre Zouzoua missed Three Point Jumper.,83,87
2:58,225,Tavon Blackmon Defensive Rebound.,83,87
2:47,225,Steven Spieth made Layup.,83,89
2:47,225,Brown  Timeout,83,89
2:36,2803,Bosko Kostur missed Three Point Jumper.,83,89
2:36,225,Obi Okolie Defensive Rebound.,83,89
2:10,225,Tavon Blackmon missed Layup.,83,89
2:10,2803,Ikenna Ndugba Defensive Rebound.,83,89
2:01,2803,Adam Grant missed Three Point Jumper.,83,89
2:01,2803,Bryant Offensive Rebound.,83,89
1:51,2803,Ikenna Ndugba made Layup.,85,89
1:27,225,Brandon Anderson Turnover.,85,89
1:26,2803,Ikenna Ndugba Steal.,85,89
1:11,225,Foul on Joshua Howard.,85,89
1:11,2803,Marcel Pettway missed Free Throw.,85,89
1:11,2803,Bryant Deadball Team Rebound.,85,89
1:11,2803,Marcel Pettway missed Free Throw.,85,89
1:11,2803,Ikenna Ndugba Offensive Rebound.,85,89
1:08,2803,Nisre Zouzoua missed Three Point Jumper.,85,89
1:08,2803,Marcel Pettway Offensive Rebound.,85,89
1:02,2803,Marcel Pettway made Layup.,87,89
0:51,225,Brown  Timeout,87,89
0:29,225,Tavon Blackmon missed Jumper.,87,89
0:29,2803,Adam Grant Defensive Rebound.,87,89
0:22,2803,Bryant  Timeout,87,89
0:12,2803,Nisre Zouzoua made Three Point Jumper.,90,89
0:04,225,Tavon Blackmon made Layup.,90,91
0:00,225,End of Game,90,91
