Hiwassee College,Error,Tennessee Tech,2635
12:43,2635,Tennessee Tech Offensive Rebound.,28,54
12:37,2635,Aleksa Jugovic Turnover.,28,54
12:29,2635,Foul on Courtney Alexander II.,28,54
12:17,-1,Jay Johnson missed Three Point Jumper.,28,54
12:17,2635,Savonte Frazier Defensive Rebound.,28,54
12:11,2635,Savonte Frazier Turnover.,28,54
11:56,2635,Foul on Markell Henderson.,28,54
11:56,2635,Official TV Timeout,28,54
11:56,-1,Ben Snider made Free Throw.,29,54
11:56,-1,Ben Snider made Free Throw.,30,54
11:46,2635,Markell Henderson made Dunk. Assisted by Savonte Frazier.,30,56
11:28,-1,Jay Johnson Turnover.,30,56
11:12,2635,Stephaun Adams missed Jumper.,30,56
11:12,-1,Tevin Henry Defensive Rebound.,30,56
11:05,-1,Tevin Henry made Layup.,32,56
10:33,-1,Foul on Jeulian High.,32,56
10:33,2635,Savonte Frazier made Free Throw.,32,57
10:33,2635,Savonte Frazier made Free Throw.,32,58
10:20,-1,Tevin Henry missed Layup.,32,58
10:20,2635,Micaiah Henry Block.,32,58
10:19,-1,Hiwassee Offensive Rebound.,32,58
10:08,-1,Jeulian High made Jumper. Assisted by Chris Sumpter.,34,58
9:59,-1,Foul on Ben Snider.,34,58
9:59,2635,Savonte Frazier missed Free Throw.,34,58
9:59,2635,Savonte Frazier Offensive Rebound.,34,58
9:51,2635,Hakeem Rogers missed Three Point Jumper.,34,58
9:51,-1,Hiwassee Defensive Rebound.,34,58
9:26,-1,Tevin Henry missed Three Point Jumper.,34,58
9:26,2635,Tennessee Tech Defensive Rebound.,34,58
9:07,2635,Foul on Courtney Alexander II.,34,58
9:07,2635,Courtney Alexander II Turnover.,34,58
8:53,2635,Foul on Stephaun Adams.,34,58
8:53,2635,Tennessee Tech  Timeout,34,58
8:53,2635,Official TV Timeout,34,58
8:53,-1,Jeulian High made Free Throw.,35,58
8:53,-1,Jeulian High made Free Throw.,36,58
8:40,2635,Hakeem Rogers made Three Point Jumper. Assisted by Stephaun Adams.,36,61
8:26,-1,Ben Snider missed Jumper.,36,61
8:26,2635,Micaiah Henry Defensive Rebound.,36,61
8:19,2635,Courtney Alexander II missed Jumper.,36,61
8:19,2635,Courtney Alexander II Offensive Rebound.,36,61
8:18,2635,Courtney Alexander II missed Two Point Tip Shot.,36,61
8:18,-1,Hiwassee Defensive Rebound.,36,61
7:50,-1,Daniel Graves Turnover.,36,61
7:49,2635,Stephaun Adams Steal.,36,61
7:44,2635,Savonte Frazier missed Layup.,36,61
7:44,2635,Micaiah Henry Offensive Rebound.,36,61
7:42,2635,Micaiah Henry missed Two Point Tip Shot.,36,61
7:42,2635,Micaiah Henry Offensive Rebound.,36,61
7:40,2635,Micaiah Henry made Layup.,36,63
7:22,-1,Dess Culpepper missed Three Point Jumper.,36,63
7:22,-1,Jeulian High Offensive Rebound.,36,63
7:19,-1,Jeulian High made Layup.,38,63
7:15,2635,Official TV Timeout,38,63
7:03,2635,Savonte Frazier Turnover.,38,63
6:53,2635,Foul on Savonte Frazier.,38,63
6:53,-1,Dess Culpepper missed Free Throw.,38,63
6:53,-1,Hiwassee Deadball Team Rebound.,38,63
6:53,-1,Dess Culpepper made Free Throw.,39,63
6:34,2635,Stephaun Adams Turnover.,39,63
6:22,-1,Kobe Clisby Turnover.,39,63
6:14,2635,Hakeem Rogers made Three Point Jumper. Assisted by Savonte Frazier.,39,66
5:56,-1,Jay Cade missed Layup.,39,66
5:56,2635,Courtney Alexander II Block.,39,66
5:54,-1,Jay Cade Offensive Rebound.,39,66
5:53,-1,Jay Cade missed Layup.,39,66
5:53,2635,Courtney Alexander II Defensive Rebound.,39,66
5:48,2635,Hakeem Rogers made Layup. Assisted by Courtney Alexander II.,39,68
5:34,2635,Foul on Courtney Alexander II.,39,68
5:34,-1,Dess Culpepper made Free Throw.,40,68
5:34,-1,Dess Culpepper made Free Throw.,41,68
5:13,2635,Markell Henderson missed Three Point Jumper.,41,68
5:13,-1,Jeulian High Defensive Rebound.,41,68
5:04,-1,Naequon Newman Turnover.,41,68
4:42,2635,Colton Blevins missed Layup.,41,68
4:42,2635,Tennessee Tech Offensive Rebound.,41,68
4:36,2635,Aleksa Jugovic Turnover.,41,68
4:22,-1,Dess Culpepper missed Jumper.,41,68
4:22,2635,Tennessee Tech Defensive Rebound.,41,68
4:22,-1,Foul on Tevin Henry.,41,68
4:22,2635,Colton Blevins made Free Throw.,41,69
4:22,2635,Colton Blevins made Free Throw.,41,70
4:04,-1,Daniel Graves made Jumper. Assisted by Naequon Newman.,43,70
3:40,2635,Markell Henderson missed Three Point Jumper.,43,70
3:40,2635,Savonte Frazier Offensive Rebound.,43,70
3:35,-1,Foul on Tevin Henry.,43,70
3:35,2635,Official TV Timeout,43,70
3:35,2635,Markell Henderson missed Free Throw.,43,70
3:35,2635,Tennessee Tech Deadball Team Rebound.,43,70
3:35,2635,Markell Henderson missed Free Throw.,43,70
3:35,-1,Kobe Clisby Defensive Rebound.,43,70
3:32,2635,Foul on Stephaun Adams.,43,70
3:32,-1,Kobe Clisby missed Free Throw.,43,70
3:32,-1,Hiwassee Deadball Team Rebound.,43,70
3:32,-1,Kobe Clisby made Free Throw.,44,70
3:13,2635,Colton Blevins made Jumper. Assisted by Courtney Alexander II.,44,72
2:46,2635,Foul on Colton Blevins.,44,72
2:46,-1,Kobe Clisby missed Free Throw.,44,72
2:46,-1,Hiwassee Deadball Team Rebound.,44,72
2:46,-1,Kobe Clisby made Free Throw.,45,72
2:36,2635,Stephaun Adams missed Three Point Jumper.,45,72
2:36,-1,Toure Fudge Defensive Rebound.,45,72
2:30,-1,Daniel Graves Turnover.,45,72
2:27,2635,Savonte Frazier Steal.,45,72
2:20,2635,Hakeem Rogers missed Three Point Jumper.,45,72
2:20,2635,Stephaun Adams Offensive Rebound.,45,72
2:10,2635,Courtney Alexander II made Dunk. Assisted by Savonte Frazier.,45,74
1:54,-1,Toure Fudge missed Jumper.,45,74
1:54,2635,Stephaun Adams Defensive Rebound.,45,74
1:46,2635,Hakeem Rogers made Three Point Jumper. Assisted by Savonte Frazier.,45,77
1:27,-1,Dess Culpepper missed Layup.,45,77
1:27,-1,Hiwassee Offensive Rebound.,45,77
1:19,-1,Foul on Daniel Graves.,45,77
1:19,-1,Daniel Graves Turnover.,45,77
1:10,-1,Foul on Kobe Clisby.,45,77
1:10,2635,Colton Blevins missed Free Throw.,45,77
1:10,2635,Tennessee Tech Deadball Team Rebound.,45,77
1:10,2635,Colton Blevins made Free Throw.,45,78
1:00,-1,Jay Cade missed Jumper.,45,78
1:00,2635,Courtney Alexander II Defensive Rebound.,45,78
0:41,2635,Savonte Frazier Turnover.,45,78
0:40,-1,Toure Fudge Steal.,45,78
0:36,2635,Foul on Courtney Alexander II.,45,78
0:36,-1,Daniel Graves made Free Throw.,46,78
0:36,-1,Daniel Graves made Free Throw.,47,78
0:13,2635,Colton Blevins made Jumper. Assisted by Hakeem Rogers.,47,80
0:01,-1,Jay Cade missed Layup.,47,80
0:01,2635,Colton Blevins Defensive Rebound.,47,80
0:00,2635,End of Game,47,80
