Butler,254,Utah,2086
14:00,2086,Andrew Chrabascz Defensive Rebound.,9,3
13:44,2086,Kelan Martin missed Layup.,9,3
13:44,254,Tyler Rawson Block.,9,3
13:44,254,Gabe Bealer Defensive Rebound.,9,3
13:36,254,Gabe Bealer missed Three Point Jumper.,9,3
13:36,254,Jayce Johnson Offensive Rebound.,9,3
13:30,254,Jayce Johnson missed Layup.,9,3
13:30,2086,Kamar Baldwin Defensive Rebound.,9,3
13:16,2086,Andrew Chrabascz made Jumper.,11,3
12:49,254,Lorenzo Bonam made Layup.,11,5
12:24,2086,Avery Woodson missed Three Point Jumper.,11,5
12:24,254,Lorenzo Bonam Defensive Rebound.,11,5
12:00,254,Lorenzo Bonam made Three Point Jumper.,11,8
11:50,2086,Andrew Chrabascz Turnover.,11,8
11:50,254,Official TV Timeout,11,8
11:41,254,Lorenzo Bonam missed Three Point Jumper.,11,8
11:41,2086,Butler Defensive Rebound.,11,8
11:38,254,Foul on Jayce Johnson.,11,8
11:21,2086,Tyler Wideman made Layup.,13,8
11:03,2086,Foul on Sean McDermott.,13,8
11:03,254,Kyle Kuzma missed Free Throw.,13,8
11:03,254,Utah Deadball Team Rebound.,13,8
11:03,254,Kyle Kuzma made Free Throw.,13,9
10:51,2086,Avery Woodson made Three Point Jumper. Assisted by Tyler Lewis.,16,9
10:29,2086,Foul on Sean McDermott.,16,9
10:11,254,Tyler Rawson missed Three Point Jumper.,16,9
10:11,254,Kyle Kuzma Offensive Rebound.,16,9
10:08,254,Kyle Kuzma made Layup.,16,11
10:08,2086,Foul on Kelan Martin.,16,11
10:08,254,Kyle Kuzma made Free Throw.,16,12
9:59,2086,Kelan Martin missed Three Point Jumper.,16,12
9:59,254,Utah Defensive Rebound.,16,12
9:29,254,Kyle Kuzma missed Jumper.,16,12
9:29,2086,Tyler Lewis Defensive Rebound.,16,12
9:23,254,Foul on Parker Van Dyke.,16,12
9:23,2086,Tyler Wideman missed Free Throw.,16,12
9:23,2086,Butler Deadball Team Rebound.,16,12
9:23,2086,Tyler Wideman made Free Throw.,17,12
8:58,254,Kyle Kuzma made Jumper.,17,14
8:39,2086,Tyler Wideman Turnover.,17,14
8:39,254,Lorenzo Bonam Steal.,17,14
8:34,2086,Foul on Tyler Lewis.,17,14
8:25,254,Devon Daniels made Jumper.,17,16
8:09,2086,Nate Fowler made Layup. Assisted by Kelan Martin.,19,16
7:57,254,Tyler Rawson missed Three Point Jumper.,19,16
7:57,254,Utah Offensive Rebound.,19,16
7:55,2086,Foul on Andrew Chrabascz.,19,16
7:55,254,Official TV Timeout,19,16
7:52,254,Lorenzo Bonam made Layup. Assisted by Kyle Kuzma.,19,18
7:52,2086,Foul on Nate Fowler.,19,18
7:52,254,Lorenzo Bonam made Free Throw.,19,19
7:35,2086,Kelan Martin missed Jumper.,19,19
7:35,254,Kyle Kuzma Defensive Rebound.,19,19
7:18,254,Kyle Kuzma missed Three Point Jumper.,19,19
7:18,2086,Butler Defensive Rebound.,19,19
7:16,254,Foul on Gabe Bealer.,19,19
6:51,2086,Kamar Baldwin missed Three Point Jumper.,19,19
6:51,254,Utah Defensive Rebound.,19,19
6:34,254,Tyler Rawson missed Layup.,19,19
6:34,254,Utah Offensive Rebound.,19,19
6:16,254,JoJo Zamora missed Three Point Jumper.,19,19
6:16,2086,Avery Woodson Defensive Rebound.,19,19
5:57,2086,Kamar Baldwin missed Jumper.,19,19
5:57,254,Devon Daniels Defensive Rebound.,19,19
5:47,2086,Foul on Avery Woodson.,19,19
5:47,254,Devon Daniels made Free Throw.,19,20
5:47,254,Kyle Kuzma Turnover.,19,20
5:32,2086,Foul on Sean McDermott.,19,20
5:32,2086,Sean McDermott Turnover.,19,20
5:08,254,Devon Daniels Turnover.,19,20
5:08,2086,Avery Woodson Steal.,19,20
5:03,2086,Jump Ball won by Butler,19,20
4:46,2086,Henry Baddley Turnover.,19,20
4:46,254,Kyle Kuzma Steal.,19,20
4:38,254,Gabe Bealer Turnover.,19,20
4:38,2086,Kamar Baldwin Steal.,19,20
4:33,2086,Kamar Baldwin made Layup.,21,20
4:23,254,Utah  Timeout,21,20
4:23,254,Official TV Timeout,21,20
4:07,254,Kyle Kuzma Turnover.,21,20
4:07,2086,Henry Baddley Steal.,21,20
3:56,2086,Tyler Lewis made Jumper.,23,20
3:22,254,JoJo Zamora missed Three Point Jumper.,23,20
3:22,254,Kyle Kuzma Offensive Rebound.,23,20
3:20,2086,Foul on Tyler Wideman.,23,20
3:20,254,Kyle Kuzma missed Free Throw.,23,20
3:20,254,Utah Deadball Team Rebound.,23,20
3:20,254,Kyle Kuzma made Free Throw.,23,21
3:06,2086,Tyler Wideman made Layup. Assisted by Tyler Lewis.,25,21
2:44,254,Tyler Rawson Turnover.,25,21
2:44,2086,Kamar Baldwin Steal.,25,21
2:24,2086,Kelan Martin made Three Point Jumper. Assisted by Tyler Lewis.,28,21
1:53,254,JoJo Zamora Turnover.,28,21
1:53,2086,Tyler Wideman Steal.,28,21
1:48,2086,Kelan Martin made Layup. Assisted by Tyler Lewis.,30,21
1:48,254,Foul on Parker Van Dyke.,30,21
1:48,2086,Kelan Martin made Free Throw.,31,21
1:38,2086,Foul on Kamar Baldwin.,31,21
1:38,254,Lorenzo Bonam made Free Throw.,31,22
1:38,254,Lorenzo Bonam made Free Throw.,31,23
1:29,2086,Tyler Wideman made Layup. Assisted by Tyler Lewis.,33,23
1:09,254,Lorenzo Bonam missed Jumper.,33,23
1:09,254,Kyle Kuzma Offensive Rebound.,33,23
1:09,254,Kyle Kuzma made Two Point Tip Shot.,33,25
0:49,2086,Kelan Martin missed Three Point Jumper.,33,25
0:49,254,Lorenzo Bonam Defensive Rebound.,33,25
0:38,2086,Foul on Tyler Wideman.,33,25
0:38,254,Lorenzo Bonam made Free Throw.,33,26
0:38,254,Lorenzo Bonam made Free Throw.,33,27
0:38,2086,Butler  Timeout,33,27
0:10,2086,Andrew Chrabascz missed Jumper.,33,27
0:10,254,Devon Daniels Defensive Rebound.,33,27
0:03,254,Devon Daniels missed Three Point Jumper.,33,27
0:03,254,JoJo Zamora Offensive Rebound.,33,27
0:00,254,End of 1st half,33,27
20:00,254,Jump Ball won by Utah,33,27
19:44,254,Kyle Kuzma missed Layup.,33,27
19:44,254,Kyle Kuzma Offensive Rebound.,33,27
19:39,254,Kyle Kuzma made Jumper.,33,29
19:11,2086,Kelan Martin missed Layup.,33,29
19:11,254,Jayce Johnson Block.,33,29
19:11,2086,Tyler Wideman Offensive Rebound.,33,29
19:09,254,Foul on Devon Daniels.,33,29
19:09,2086,Tyler Wideman missed Free Throw.,33,29
19:09,2086,Butler Deadball Team Rebound.,33,29
19:09,2086,Tyler Wideman made Free Throw.,34,29
18:58,254,Devon Daniels Turnover.,34,29
18:58,2086,Andrew Chrabascz Steal.,34,29
18:54,2086,Kelan Martin made Dunk.,36,29
18:35,254,Lorenzo Bonam Turnover.,36,29
18:35,2086,Kamar Baldwin Steal.,36,29
18:28,2086,Kamar Baldwin missed Three Point Jumper.,36,29
18:28,2086,Butler Offensive Rebound.,36,29
18:20,2086,Kelan Martin missed Jumper.,36,29
18:20,254,Parker Van Dyke Defensive Rebound.,36,29
18:17,2086,Foul on Tyler Wideman.,36,29
18:02,254,Kyle Kuzma made Jumper.,36,31
17:48,254,Foul on Jayce Johnson.,36,31
17:48,2086,Tyler Wideman missed Free Throw.,36,31
17:48,2086,Butler Deadball Team Rebound.,36,31
17:48,2086,Tyler Wideman made Free Throw.,37,31
17:31,254,Parker Van Dyke missed Jumper.,37,31
17:31,2086,Kelan Martin Defensive Rebound.,37,31
17:04,2086,Nate Fowler missed Layup.,37,31
17:04,254,Tyler Rawson Block.,37,31
17:04,2086,Butler Offensive Rebound.,37,31
17:00,2086,Kelan Martin Turnover.,37,31
17:00,254,Parker Van Dyke Steal.,37,31
16:57,254,Parker Van Dyke made Layup.,37,33
16:34,2086,Tyler Lewis made Jumper.,39,33
16:05,254,Tyler Rawson Turnover.,39,33
15:48,2086,Andrew Chrabascz made Layup.,41,33
15:31,254,Kyle Kuzma missed Jumper.,41,33
15:31,2086,Kelan Martin Defensive Rebound.,41,33
15:19,2086,Kelan Martin Turnover.,41,33
15:19,254,Tyler Rawson Steal.,41,33
15:14,254,Parker Van Dyke missed Three Point Jumper.,41,33
15:14,2086,Nate Fowler Defensive Rebound.,41,33
15:10,2086,Jump Ball won by Butler,41,33
15:10,254,Official TV Timeout,41,33
14:46,2086,Kamar Baldwin missed Three Point Jumper.,41,33
14:46,2086,Butler Offensive Rebound.,41,33
14:44,254,Foul on Kyle Kuzma.,41,33
14:27,2086,Tyler Lewis made Three Point Jumper. Assisted by Andrew Chrabascz.,44,33
14:05,254,Tyler Rawson missed Jumper.,44,33
14:05,2086,Tyler Lewis Defensive Rebound.,44,33
13:52,2086,Tyler Lewis made Layup.,46,33
13:43,254,Utah  Timeout,46,33
13:38,254,Lorenzo Bonam missed Layup.,46,33
13:38,2086,Kamar Baldwin Defensive Rebound.,46,33
13:19,2086,Foul on Nate Fowler.,46,33
13:19,2086,Nate Fowler Turnover.,46,33
13:06,254,Kyle Kuzma made Jumper.,46,35
12:36,2086,Kamar Baldwin made Jumper.,48,35
12:21,254,Tyler Rawson Turnover.,48,35
12:21,2086,Kamar Baldwin Steal.,48,35
12:11,2086,Kamar Baldwin missed Layup.,48,35
12:11,2086,Butler Offensive Rebound.,48,35
12:06,2086,Kethan Savage missed Three Point Jumper.,48,35
12:06,2086,Sean McDermott Offensive Rebound.,48,35
11:59,2086,Sean McDermott missed Layup.,48,35
11:59,254,Kyle Kuzma Defensive Rebound.,48,35
11:58,2086,Foul on Nate Fowler.,48,35
11:58,254,Official TV Timeout,48,35
11:58,254,Kyle Kuzma made Free Throw.,48,36
11:58,254,Kyle Kuzma missed Free Throw.,48,36
11:58,2086,Sean McDermott Defensive Rebound.,48,36
11:41,2086,Kelan Martin made Jumper.,50,36
11:29,254,Kyle Kuzma missed Three Point Jumper.,50,36
11:29,254,Jayce Johnson Offensive Rebound.,50,36
11:23,254,Jayce Johnson made Layup.,50,38
10:57,2086,Avery Woodson made Jumper.,52,38
10:31,254,Jayce Johnson Turnover.,52,38
10:18,2086,Tyler Wideman Turnover.,52,38
10:18,254,JoJo Zamora Steal.,52,38
10:12,254,Devon Daniels made Layup. Assisted by JoJo Zamora.,52,40
9:51,2086,Tyler Wideman made Layup.,54,40
9:28,254,Kyle Kuzma missed Layup.,54,40
9:28,2086,Andrew Chrabascz Defensive Rebound.,54,40
9:21,2086,Kelan Martin made Jumper. Assisted by Tyler Lewis.,56,40
9:03,254,JoJo Zamora missed Jumper.,56,40
9:03,2086,Butler Defensive Rebound.,56,40
9:02,254,Foul on Jayce Johnson.,56,40
8:53,2086,Tyler Lewis missed Jumper.,56,40
8:53,254,Tyler Rawson Defensive Rebound.,56,40
8:43,254,Lorenzo Bonam made Layup.,56,42
8:28,2086,Andrew Chrabascz missed Jumper.,56,42
8:28,254,Utah Defensive Rebound.,56,42
8:11,254,Lorenzo Bonam missed Three Point Jumper.,56,42
8:11,2086,Tyler Wideman Defensive Rebound.,56,42
7:57,2086,Avery Woodson missed Three Point Jumper.,56,42
7:57,254,Parker Van Dyke Defensive Rebound.,56,42
7:46,254,Tyler Rawson Turnover.,56,42
7:46,254,Official TV Timeout,56,42
7:30,2086,Tyler Wideman made Layup. Assisted by Kelan Martin.,58,42
7:05,2086,Foul on Andrew Chrabascz.,58,42
7:05,254,Tyler Rawson made Free Throw.,58,43
7:05,254,Tyler Rawson made Free Throw.,58,44
6:54,2086,Avery Woodson missed Layup.,58,44
6:54,2086,Tyler Wideman Offensive Rebound.,58,44
6:48,2086,Kelan Martin made Three Point Jumper. Assisted by Andrew Chrabascz.,61,44
6:25,254,Kyle Kuzma missed Jumper.,61,44
6:25,254,Tyler Rawson Offensive Rebound.,61,44
6:24,2086,Foul on Avery Woodson.,61,44
6:24,254,Tyler Rawson made Free Throw.,61,45
6:24,254,Tyler Rawson made Free Throw.,61,46
6:07,2086,Kelan Martin missed Three Point Jumper.,61,46
6:07,254,Kyle Kuzma Defensive Rebound.,61,46
5:57,254,Kyle Kuzma made Layup.,61,48
5:57,2086,Foul on Andrew Chrabascz.,61,48
5:57,254,Kyle Kuzma made Free Throw.,61,49
5:34,2086,Andrew Chrabascz made Jumper.,63,49
5:14,2086,Foul on Tyler Lewis.,63,49
5:14,254,Parker Van Dyke made Free Throw.,63,50
5:14,254,Parker Van Dyke missed Free Throw.,63,50
5:14,2086,Tyler Wideman Defensive Rebound.,63,50
4:53,2086,Kelan Martin missed Jumper.,63,50
4:53,254,Lorenzo Bonam Defensive Rebound.,63,50
4:38,254,Lorenzo Bonam Turnover.,63,50
4:38,2086,Tyler Wideman Steal.,63,50
4:37,254,Foul on Lorenzo Bonam.,63,50
4:11,254,Foul on Jayce Johnson.,63,50
3:55,2086,Kelan Martin Turnover.,63,50
3:55,254,Devon Daniels Steal.,63,50
3:50,254,Official TV Timeout,63,50
3:50,254,Lorenzo Bonam Turnover.,63,50
3:25,2086,Tyler Wideman Turnover.,63,50
3:10,254,Kyle Kuzma missed Jumper.,63,50
3:10,254,Tyler Rawson Offensive Rebound.,63,50
2:54,254,Devon Daniels made Layup.,63,52
2:28,2086,Andrew Chrabascz made Layup.,65,52
2:18,254,Tyler Rawson made Three Point Jumper. Assisted by Lorenzo Bonam.,65,55
1:49,254,Foul on Devon Daniels.,65,55
1:49,2086,Kelan Martin missed Free Throw.,65,55
1:49,254,Tyler Rawson Defensive Rebound.,65,55
1:37,2086,Foul on Tyler Wideman.,65,55
1:37,254,Kyle Kuzma made Free Throw.,65,56
1:37,254,Kyle Kuzma made Free Throw.,65,57
1:37,254,Utah  Timeout,65,57
1:34,2086,Butler  Timeout,65,57
1:12,254,Foul on Kyle Kuzma.,65,57
1:12,2086,Tyler Lewis missed Free Throw.,65,57
1:12,2086,Tyler Lewis Offensive Rebound.,65,57
1:00,254,Foul on Devon Daniels.,65,57
1:00,2086,Tyler Lewis made Free Throw.,66,57
1:00,2086,Tyler Lewis missed Free Throw.,66,57
1:00,254,Kyle Kuzma Defensive Rebound.,66,57
0:55,254,Kyle Kuzma missed Three Point Jumper.,66,57
0:55,2086,Andrew Chrabascz Defensive Rebound.,66,57
0:51,254,Foul on Tyler Rawson.,66,57
0:51,2086,Andrew Chrabascz made Free Throw.,67,57
0:51,2086,Andrew Chrabascz missed Free Throw.,67,57
0:51,254,Tyler Rawson Defensive Rebound.,67,57
0:43,254,Devon Daniels missed Three Point Jumper.,67,57
0:43,254,Utah Offensive Rebound.,67,57
0:32,254,Devon Daniels made Layup.,67,59
0:31,2086,Butler  Timeout,67,59
0:30,254,Foul on Devon Daniels.,67,59
0:30,2086,Kelan Martin missed Free Throw.,67,59
0:30,2086,Butler Deadball Team Rebound.,67,59
0:30,2086,Kelan Martin made Free Throw.,68,59
0:27,254,Lorenzo Bonam missed Three Point Jumper.,68,59
0:27,2086,Kelan Martin Defensive Rebound.,68,59
0:00,254,End of Game,68,59
