Bethesda,Error,CSU Northridge,2463
8:46,2463,Reggie Theus Jr. missed Layup.,29,25
8:46,-1,Alex Smith Defensive Rebound.,29,25
8:35,-1,Alex Smith missed Jumper.,29,25
8:35,2463,Darin Johnson Defensive Rebound.,29,25
8:26,2463,Micheal Warren made Layup. Assisted by Kendall Smith.,29,27
8:07,-1,Jarrell Tate missed Jumper.,29,27
8:07,2463,Darin Johnson Defensive Rebound.,29,27
7:51,2463,Kendall Smith Turnover.,29,27
7:50,-1,Michael Walker Steal.,29,27
7:45,-1,Jarrell Tate Turnover.,29,27
7:45,-1,Foul on Jarrell Tate.,29,27
7:45,2463,CSU Northridge  Timeout,29,27
7:36,-1,Foul on Michael Walker.,29,27
7:36,2463,Tavrion Dawson missed Free Throw.,29,27
7:36,-1,Buddha Boyd Defensive Rebound.,29,27
7:23,2463,Foul on Micheal Warren.,29,27
7:23,-1,Jarrell Tate missed Free Throw.,29,27
7:23,-1,Bethesda University Deadball Team Rebound.,29,27
7:23,-1,Jarrell Tate missed Free Throw.,29,27
7:23,2463,Darin Johnson Defensive Rebound.,29,27
7:11,-1,Foul on Dock Gooch.,29,27
7:11,2463,Tavrion Dawson made Free Throw.,29,28
7:11,2463,Tavrion Dawson made Free Throw.,29,29
7:00,-1,Jarrell Tate made Layup.,31,29
6:53,2463,Darin Johnson missed Three Point Jumper.,31,29
6:53,2463,Tavrion Dawson Offensive Rebound.,31,29
6:43,2463,Reggie Theus Jr. missed Jumper.,31,29
6:43,-1,Alex Reynolds Defensive Rebound.,31,29
6:37,-1,Jarrell Tate Turnover.,31,29
6:22,2463,Tavrion Dawson made Jumper. Assisted by Darin Johnson.,31,31
6:05,-1,Buddha Boyd made Layup. Assisted by Jarrell Tate.,33,31
5:54,-1,Foul on Dock Gooch.,33,31
5:54,2463,Reggie Theus Jr. missed Free Throw.,33,31
5:54,2463,CSU Northridge Deadball Team Rebound.,33,31
5:54,2463,Reggie Theus Jr. made Free Throw.,33,32
5:44,-1,Alex Reynolds missed Three Point Jumper.,33,32
5:44,2463,Tavrion Dawson Defensive Rebound.,33,32
5:30,2463,Darin Johnson made Three Point Jumper. Assisted by Reggie Theus Jr..,33,35
5:08,-1,Jesse Henderson Turnover.,33,35
5:08,-1,Foul on Jesse Henderson.,33,35
5:02,2463,Kendall Smith missed Three Point Jumper.,33,35
5:02,2463,Tavrion Dawson Offensive Rebound.,33,35
4:55,2463,Kendall Smith missed Three Point Jumper.,33,35
4:55,-1,Jarrell Tate Defensive Rebound.,33,35
4:48,-1,Buddha Boyd made Layup. Assisted by Jarrell Tate.,35,35
4:37,2463,CSU Northridge  Timeout,35,35
4:27,-1,Foul on Buddha Boyd.,35,35
4:27,2463,Jerron Wilbut made Free Throw.,35,36
4:27,2463,Jerron Wilbut made Free Throw.,35,37
4:13,-1,Buddha Boyd made Three Point Jumper. Assisted by Alex Reynolds.,38,37
3:56,2463,Darin Johnson missed Three Point Jumper.,38,37
3:56,2463,Darin Johnson Offensive Rebound.,38,37
3:50,2463,Micheal Warren missed Layup.,38,37
3:50,-1,Travis Divita Block.,38,37
3:50,2463,CSU Northridge Offensive Rebound.,38,37
3:50,2463,CSU Northridge  Timeout,38,37
3:28,2463,Darin Johnson Turnover.,38,37
3:15,-1,Buddha Boyd missed Three Point Jumper.,38,37
3:15,2463,Rakim Lubin Defensive Rebound.,38,37
2:55,2463,Rakim Lubin missed Jumper.,38,37
2:55,-1,Jesse Henderson Defensive Rebound.,38,37
2:47,-1,Jesse Henderson missed Layup.,38,37
2:47,2463,Tavrion Dawson Defensive Rebound.,38,37
2:40,2463,Jerron Wilbut made Layup.,38,39
2:16,-1,Jesse Henderson made Three Point Jumper. Assisted by Travis Divita.,41,39
1:54,2463,Jerron Wilbut Turnover.,41,39
1:41,-1,Alex Smith made Layup.,43,39
1:29,2463,Tavrion Dawson missed Three Point Jumper.,43,39
1:29,-1,Alex Reynolds Defensive Rebound.,43,39
1:24,-1,Travis Divita made Layup. Assisted by Alex Reynolds.,45,39
1:05,2463,Kendall Smith missed Layup.,45,39
1:05,-1,Alex Smith Defensive Rebound.,45,39
1:02,-1,Jarrell Tate Turnover.,45,39
0:42,2463,Rakim Lubin made Layup. Assisted by Darin Johnson.,45,41
0:23,-1,Alex Smith made Three Point Jumper.,48,41
0:03,2463,Kendall Smith made Layup.,48,43
0:00,2463,End of 1st half,48,43
19:39,-1,Jarrell Tate made Three Point Jumper.,51,43
19:25,-1,Foul on Khalfani Williams.,51,43
19:25,2463,Darin Johnson made Free Throw.,51,44
19:25,2463,Darin Johnson made Free Throw.,51,45
19:06,-1,Jarrell Tate made Layup. Assisted by Khalfani Williams.,53,45
18:48,2463,Tavrion Dawson made Jumper. Assisted by Micheal Warren.,53,47
18:30,-1,Alex Smith missed Layup.,53,47
18:30,2463,Tavrion Dawson Defensive Rebound.,53,47
18:24,2463,Kendall Smith missed Layup.,53,47
18:24,2463,Tavrion Dawson Offensive Rebound.,53,47
18:18,2463,Tavrion Dawson made Dunk.,53,49
18:08,-1,Jarrell Tate Turnover.,53,49
17:54,2463,Jerron Wilbut missed Three Point Jumper.,53,49
17:54,2463,Tavrion Dawson Offensive Rebound.,53,49
17:47,2463,Rakim Lubin Turnover.,53,49
17:47,2463,Foul on Rakim Lubin.,53,49
17:29,-1,Alex Smith made Three Point Jumper. Assisted by Michael Walker.,56,49
17:15,-1,Foul on Alex Smith.,56,49
17:15,2463,Rakim Lubin made Free Throw.,56,50
17:15,2463,Rakim Lubin made Free Throw.,56,51
16:58,-1,Jarrell Tate missed Layup.,56,51
16:58,2463,Tavrion Dawson Block.,56,51
16:56,2463,Jerron Wilbut Defensive Rebound.,56,51
16:56,-1,Foul on Alex Smith.,56,51
16:46,2463,Darin Johnson made Jumper. Assisted by Tavrion Dawson.,56,53
16:28,-1,Jarrell Tate Turnover.,56,53
16:27,2463,Tavrion Dawson Steal.,56,53
16:21,-1,Foul on Khalfani Williams.,56,53
16:21,2463,Darin Johnson missed Free Throw.,56,53
16:21,2463,CSU Northridge Deadball Team Rebound.,56,53
16:21,2463,Darin Johnson made Free Throw.,56,54
16:07,-1,Gabriel Adersteg made Layup. Assisted by Jarrell Tate.,58,54
15:50,-1,Foul on Gabriel Adersteg.,58,54
15:50,2463,CSU Northridge  Timeout,58,54
15:43,2463,Darin Johnson missed Layup.,58,54
15:43,2463,Tavrion Dawson Offensive Rebound.,58,54
15:40,2463,Tavrion Dawson missed Jumper.,58,54
15:40,-1,Buddha Boyd Defensive Rebound.,58,54
15:33,-1,Gabriel Adersteg missed Jumper.,58,54
15:33,2463,Tavrion Dawson Block.,58,54
15:33,-1,Bethesda University Offensive Rebound.,58,54
15:21,2463,Foul on Darin Johnson.,58,54
15:14,-1,Gabriel Adersteg Turnover.,58,54
15:13,2463,Kendall Smith Steal.,58,54
15:09,2463,Kendall Smith made Dunk. Assisted by Darin Johnson.,58,56
15:01,-1,Buddha Boyd made Layup. Assisted by Jarrell Tate.,60,56
14:51,2463,Tavrion Dawson Turnover.,60,56
14:51,2463,Foul on Tavrion Dawson.,60,56
14:40,2463,Foul on Darin Johnson.,60,56
14:40,-1,Jarrell Tate made Free Throw.,61,56
14:40,-1,Jarrell Tate missed Free Throw.,61,56
14:40,2463,Tavrion Dawson Defensive Rebound.,61,56
14:16,2463,Kendall Smith made Three Point Jumper. Assisted by Rakim Lubin.,61,59
13:59,2463,Foul on Micheal Warren.,61,59
13:59,-1,Buddha Boyd made Free Throw.,62,59
13:59,-1,Buddha Boyd made Free Throw.,63,59
13:43,2463,Reggie Theus Jr. made Layup. Assisted by Tavrion Dawson.,63,61
13:30,-1,Jarrell Tate missed Layup.,63,61
13:30,2463,Rakim Lubin Defensive Rebound.,63,61
13:21,2463,Jerron Wilbut missed Jumper.,63,61
13:21,-1,Michael Walker Defensive Rebound.,63,61
13:07,-1,Jarrell Tate missed Three Point Jumper.,63,61
13:07,2463,Rakim Lubin Defensive Rebound.,63,61
13:00,2463,Kendall Smith Turnover.,63,61
12:59,-1,Jarrell Tate Steal.,63,61
12:53,-1,Alex Smith made Three Point Jumper. Assisted by Michael Walker.,66,61
12:27,2463,Jerron Wilbut missed Three Point Jumper.,66,61
12:27,-1,Buddha Boyd Defensive Rebound.,66,61
12:21,-1,Jarrell Tate Turnover.,66,61
12:09,-1,Foul on Buddha Boyd.,66,61
12:09,2463,Tavrion Dawson made Free Throw.,66,62
12:09,2463,Tavrion Dawson made Free Throw.,66,63
11:54,-1,Alex Smith missed Three Point Jumper.,66,63
11:54,2463,Rakim Lubin Defensive Rebound.,66,63
11:43,2463,Kendall Smith Turnover.,66,63
11:42,-1,Michael Walker Steal.,66,63
11:40,2463,Foul on Rakim Lubin.,66,63
11:40,-1,Bethesda University  Timeout,66,63
11:40,-1,Jarrell Tate made Free Throw.,67,63
11:40,-1,Jarrell Tate missed Free Throw.,67,63
11:40,2463,Micheal Warren Defensive Rebound.,67,63
11:31,2463,Rakim Lubin made Layup. Assisted by Tavrion Dawson.,67,65
11:17,-1,Jarrell Tate made Layup.,69,65
11:02,2463,Darin Johnson missed Three Point Jumper.,69,65
11:01,2463,Reggie Theus Jr. Offensive Rebound.,69,65
10:56,2463,Reggie Theus Jr. made Two Point Tip Shot.,69,67
10:42,-1,Jarrell Tate missed Jumper.,69,67
10:33,-1,Buddha Boyd Offensive Rebound.,69,67
10:30,-1,Jarrell Tate made Layup.,71,67
10:25,2463,Tavrion Dawson made Layup.,71,69
9:55,-1,Jarrell Tate missed Layup.,71,69
9:55,-1,Jarrell Tate Offensive Rebound.,71,69
9:52,-1,Jarrell Tate missed Layup.,71,69
9:52,2463,Darin Johnson Block.,71,69
9:50,2463,Reggie Theus Jr. Defensive Rebound.,71,69
9:41,-1,Foul on Buddha Boyd.,71,69
9:41,2463,Rakim Lubin missed Free Throw.,71,69
9:41,-1,Alex Reynolds Defensive Rebound.,71,69
9:25,-1,Buddha Boyd made Jumper. Assisted by Alex Reynolds.,73,69
9:00,2463,Micheal Warren missed Layup.,73,69
9:00,-1,Alex Smith Defensive Rebound.,73,69
8:55,2463,Foul on Tavrion Dawson.,73,69
8:55,-1,Travis Divita missed Free Throw.,73,69
8:55,-1,Bethesda University Deadball Team Rebound.,73,69
8:55,-1,Travis Divita missed Free Throw.,73,69
8:55,2463,Micheal Warren Defensive Rebound.,73,69
8:50,2463,Kendall Smith Turnover.,73,69
8:39,-1,Travis Divita made Three Point Jumper. Assisted by Alex Reynolds.,76,69
8:13,2463,Rakim Lubin missed Jumper.,76,69
8:13,2463,Tavrion Dawson Offensive Rebound.,76,69
8:07,2463,Tavrion Dawson missed Layup.,76,69
8:07,-1,Michael Walker Defensive Rebound.,76,69
7:45,-1,Travis Divita made Three Point Jumper. Assisted by Michael Walker.,79,69
7:30,2463,Micheal Warren Turnover.,79,69
7:29,-1,Michael Walker Steal.,79,69
7:27,-1,Alex Reynolds missed Three Point Jumper.,79,69
7:27,2463,Micheal Warren Defensive Rebound.,79,69
7:15,2463,Micheal Warren made Three Point Jumper. Assisted by Darin Johnson.,79,72
6:57,-1,Buddha Boyd missed Three Point Jumper.,79,72
6:57,2463,Jerron Wilbut Defensive Rebound.,79,72
6:47,2463,CSU Northridge  Timeout,79,72
6:46,2463,Rakim Lubin made Dunk. Assisted by Kendall Smith.,79,74
6:22,-1,Jarrell Tate missed Jumper.,79,74
6:22,-1,Jarrell Tate Offensive Rebound.,79,74
6:02,2463,Foul on Jerron Wilbut.,79,74
6:02,-1,Bethesda University  Timeout,79,74
6:02,-1,Michael Walker made Free Throw.,80,74
6:02,-1,Michael Walker made Free Throw.,81,74
5:52,2463,Kendall Smith made Layup.,81,76
5:40,-1,Alex Smith made Three Point Jumper. Assisted by Jarrell Tate.,84,76
5:25,2463,Rakim Lubin made Dunk. Assisted by Kendall Smith.,84,78
5:07,-1,Jarrell Tate made Layup.,86,78
5:07,2463,Foul on Darin Johnson.,86,78
5:07,-1,Jarrell Tate missed Free Throw.,86,78
5:07,2463,Micheal Warren Defensive Rebound.,86,78
4:58,-1,Foul on Dock Gooch.,86,78
4:58,2463,Rakim Lubin missed Free Throw.,86,78
4:58,-1,Alex Smith Defensive Rebound.,86,78
4:46,-1,Alex Smith missed Three Point Jumper.,86,78
4:46,-1,Travis Divita Offensive Rebound.,86,78
4:26,-1,Jarrell Tate missed Jumper.,86,78
4:26,2463,Micheal Warren Block.,86,78
4:26,2463,Micheal Warren Defensive Rebound.,86,78
4:26,2463,Micheal Warren made Free Throw.,86,79
4:26,-1,Foul on Jarrell Tate.,86,79
4:26,2463,Micheal Warren missed Free Throw.,86,79
4:26,-1,Alex Smith Defensive Rebound.,86,79
4:00,-1,Travis Divita missed Three Point Jumper.,86,79
4:00,2463,Rakim Lubin Defensive Rebound.,86,79
3:53,2463,Kendall Smith Turnover.,86,79
3:52,-1,Michael Walker Steal.,86,79
3:44,-1,Gabriel Adersteg missed Layup.,86,79
3:44,2463,Tavrion Dawson Block.,86,79
3:40,2463,Rakim Lubin Defensive Rebound.,86,79
3:39,-1,Foul on Gabriel Adersteg.,86,79
3:39,2463,CSU Northridge  Timeout,86,79
3:39,2463,Tavrion Dawson made Free Throw.,86,80
3:39,2463,Tavrion Dawson missed Free Throw.,86,80
3:39,2463,Kendall Smith Offensive Rebound.,86,80
3:37,2463,Kendall Smith missed Jumper.,86,80
3:37,-1,Buddha Boyd Defensive Rebound.,86,80
3:22,2463,Foul on Rakim Lubin.,86,80
3:22,-1,Dock Gooch missed Free Throw.,86,80
3:22,-1,Bethesda University Deadball Team Rebound.,86,80
3:20,-1,Dock Gooch made Free Throw.,87,80
3:20,-1,Dock Gooch made Free Throw.,88,80
3:11,2463,Tavrion Dawson made Layup. Assisted by Kendall Smith.,88,82
3:11,-1,Foul on Michael Walker.,88,82
3:11,2463,Tavrion Dawson made Free Throw.,88,83
2:56,-1,Travis Divita missed Three Point Jumper.,88,83
2:56,2463,Kendall Smith Block.,88,83
2:55,-1,Jarrell Tate Offensive Rebound.,88,83
2:52,-1,Jarrell Tate missed Jumper.,88,83
2:52,-1,Bethesda University Offensive Rebound.,88,83
2:43,-1,Buddha Boyd missed Layup.,88,83
2:43,-1,Jarrell Tate Offensive Rebound.,88,83
2:40,-1,Jarrell Tate missed Layup.,88,83
2:40,2463,Micheal Warren Defensive Rebound.,88,83
2:31,-1,Foul on Buddha Boyd.,88,83
2:31,2463,CSU Northridge  Timeout,88,83
2:31,2463,Jerron Wilbut missed Free Throw.,88,83
2:31,2463,CSU Northridge Deadball Team Rebound.,88,83
2:31,2463,Jerron Wilbut made Free Throw.,88,84
2:15,2463,Foul on Kendall Smith.,88,84
2:15,-1,Michael Walker made Free Throw.,89,84
2:15,-1,Michael Walker missed Free Throw.,89,84
2:15,2463,Micheal Warren Defensive Rebound.,89,84
2:04,-1,Foul on Dock Gooch.,89,84
2:04,2463,Darin Johnson missed Free Throw.,89,84
2:04,2463,CSU Northridge Deadball Team Rebound.,89,84
2:04,2463,Darin Johnson made Free Throw.,89,85
1:57,-1,Dock Gooch made Layup. Assisted by Alex Smith.,91,85
1:44,2463,Tavrion Dawson made Layup. Assisted by Kendall Smith.,91,87
1:34,-1,Jarrell Tate missed Layup.,91,87
1:34,-1,Buddha Boyd Offensive Rebound.,91,87
1:29,-1,Buddha Boyd made Layup.,93,87
1:22,-1,Foul on Buddha Boyd.,93,87
1:22,2463,CSU Northridge  Timeout,93,87
1:22,2463,Kendall Smith missed Free Throw.,93,87
1:22,2463,CSU Northridge Deadball Team Rebound.,93,87
1:22,2463,Kendall Smith missed Free Throw.,93,87
1:22,2463,Tavrion Dawson Offensive Rebound.,93,87
1:11,-1,Foul on Jarrell Tate.,93,87
1:11,2463,Tavrion Dawson missed Free Throw.,93,87
1:11,2463,CSU Northridge Deadball Team Rebound.,93,87
1:11,2463,Tavrion Dawson made Free Throw.,93,88
0:44,-1,Alex Smith made Jumper. Assisted by Dock Gooch.,95,88
0:34,2463,Kendall Smith missed Jumper.,95,88
0:34,-1,Dock Gooch Defensive Rebound.,95,88
0:21,2463,Foul on Tavrion Dawson.,95,88
0:21,-1,Dock Gooch missed Free Throw.,95,88
0:21,-1,Bethesda University Deadball Team Rebound.,95,88
0:21,-1,Dock Gooch made Free Throw.,96,88
0:17,-1,Foul on Travis Divita.,96,88
0:17,-1,Bethesda University  Timeout,96,88
0:17,2463,Darin Johnson made Free Throw.,96,89
0:17,2463,Darin Johnson made Free Throw.,96,90
0:15,2463,Foul on Kendall Smith.,96,90
0:15,-1,Travis Divita made Free Throw.,97,90
0:15,-1,Travis Divita missed Free Throw.,97,90
0:15,2463,Rakim Lubin Defensive Rebound.,97,90
0:10,2463,Kendall Smith made Layup.,97,92
0:09,2463,Foul on Kendall Smith.,97,92
0:09,-1,Travis Divita made Free Throw.,98,92
0:09,-1,Travis Divita missed Free Throw.,98,92
0:09,2463,Rakim Lubin Defensive Rebound.,98,92
0:03,2463,Kendall Smith made Three Point Jumper.,98,95
0:01,2463,Foul on Kendall Smith.,98,95
0:01,-1,Alex Smith made Free Throw.,99,95
0:01,-1,Alex Smith made Free Throw.,100,95
0:00,2463,End of Game,100,95
