NC Wesleyan,Error,High Point,2272
12:28,2272,Jamal Wright missed Three Point Jumper.,12,11
12:28,-1,Malique Judd Defensive Rebound.,12,11
12:14,-1,Justin Tankelewicz missed Three Point Jumper.,12,11
12:14,2272,Ricky Madison Defensive Rebound.,12,11
11:59,2272,Ricky Madison Turnover.,12,11
11:58,-1,Chris Braswell Steal.,12,11
11:55,2272,Foul on Andre Fox.,12,11
11:55,-1,NC Wesleyan  Timeout,12,11
11:55,-1,Chris Braswell made Free Throw.,13,11
11:55,-1,Chris Braswell made Free Throw.,14,11
11:34,2272,Andre Fox Turnover.,14,11
11:10,-1,Adrian Moore missed Jumper.,14,11
11:10,2272,Austin White Defensive Rebound.,14,11
10:57,2272,Ricky Madison Turnover.,14,11
10:56,-1,Greg Joseph Steal.,14,11
10:50,-1,Adrian Moore missed Layup.,14,11
10:50,2272,Miles Bowman Jr. Block.,14,11
10:47,2272,Jamal Wright Defensive Rebound.,14,11
10:41,2272,Andre Fox missed Layup.,14,11
10:41,-1,Greg Joseph Block.,14,11
10:41,2272,High Point Offensive Rebound.,14,11
10:16,2272,Andre Fox made Jumper.,14,13
9:51,-1,Foul on Malique Judd.,14,13
9:51,-1,Malique Judd Turnover.,14,13
9:33,2272,Austin White Turnover.,14,13
9:28,-1,Adrian Moore Steal.,14,13
9:22,-1,Mitch Layton Turnover.,14,13
9:20,2272,Tarique Thompson Steal.,14,13
9:15,2272,Austin White missed Jumper.,14,13
9:15,-1,Greg Joseph Defensive Rebound.,14,13
9:06,-1,Justin Tankelewicz missed Three Point Jumper.,14,13
9:06,2272,Jamal Wright Defensive Rebound.,14,13
8:58,2272,Jamal Wright missed Layup.,14,13
8:58,-1,Adrian Moore Defensive Rebound.,14,13
8:53,-1,Adrian Moore made Jumper.,16,13
8:19,2272,Austin White made Jumper.,16,15
8:01,-1,Mitch Layton Turnover.,16,15
7:45,2272,High Point  Timeout,16,15
7:38,-1,Foul on Adrian Moore.,16,15
7:38,2272,Tarique Thompson made Free Throw.,16,16
7:38,2272,Tarique Thompson made Free Throw.,16,17
7:22,-1,Cameron Martin made Three Point Jumper. Assisted by Robert Wilson.,19,17
6:57,2272,Luke Vargo made Jumper. Assisted by Jamal Wright.,19,19
6:38,-1,Greg Joseph missed Jumper.,19,19
6:38,2272,Anthony Lindauer Defensive Rebound.,19,19
6:30,2272,Jamal Wright missed Three Point Jumper.,19,19
6:30,-1,A.J. Frye Defensive Rebound.,19,19
6:12,2272,Foul on Jalen Williams.,19,19
6:08,-1,Greg Joseph made Jumper.,21,19
5:51,2272,Anthony Lindauer made Three Point Jumper. Assisted by Andre Fox.,21,22
5:32,-1,Cameron Martin missed Three Point Jumper.,21,22
5:32,2272,Luke Vargo Defensive Rebound.,21,22
5:15,2272,Anthony Lindauer made Three Point Jumper. Assisted by Jalen Williams.,21,25
5:06,-1,Robert Wilson missed Jumper.,21,25
5:06,2272,Miles Bowman Jr. Defensive Rebound.,21,25
4:53,2272,Anthony Lindauer missed Three Point Jumper.,21,25
4:53,-1,Greg Joseph Defensive Rebound.,21,25
4:32,-1,Chris Braswell missed Three Point Jumper.,21,25
4:32,2272,Anthony Lindauer Defensive Rebound.,21,25
4:24,2272,Anthony Lindauer missed Layup.,21,25
4:24,2272,Jalen Williams Offensive Rebound.,21,25
3:55,2272,Andre Fox missed Jumper.,21,25
3:55,-1,A.J. Frye Defensive Rebound.,21,25
3:39,-1,Robert Wilson missed Jumper.,21,25
3:39,2272,Luke Vargo Defensive Rebound.,21,25
3:34,-1,Foul on Robert Wilson.,21,25
3:34,2272,High Point  Timeout,21,25
3:34,2272,Luke Vargo missed Free Throw.,21,25
3:34,-1,A.J. Frye Defensive Rebound.,21,25
3:10,-1,A.J. Frye made Layup. Assisted by Malique Judd.,23,25
2:46,2272,Anthony Lindauer missed Jumper.,23,25
2:46,-1,A.J. Frye Defensive Rebound.,23,25
2:29,-1,Cameron Martin made Three Point Jumper. Assisted by Greg Joseph.,26,25
2:25,2272,High Point  Timeout,26,25
2:14,2272,Austin White missed Three Point Jumper.,26,25
2:14,2272,High Point Offensive Rebound.,26,25
2:04,-1,Foul on Greg Joseph.,26,25
2:04,2272,Andre Fox made Free Throw.,26,26
2:04,2272,Andre Fox made Free Throw.,26,27
1:58,-1,Cameron Martin Turnover.,26,27
1:57,2272,Jamal Wright Steal.,26,27
1:55,2272,Ricky Madison made Layup. Assisted by Austin White.,26,29
1:45,-1,Justin Tankelewicz made Three Point Jumper. Assisted by Cameron Martin.,29,29
1:34,2272,Miles Bowman Jr. made Layup. Assisted by Andre Fox.,29,31
1:22,-1,Cameron Martin Turnover.,29,31
1:07,2272,Austin White made Jumper.,29,33
0:44,-1,Cameron Martin Turnover.,29,33
0:37,2272,Austin White Turnover.,29,33
0:34,-1,Greg Joseph Steal.,29,33
0:06,-1,A.J. Frye missed Layup.,29,33
0:06,2272,Miles Bowman Jr. Block.,29,33
0:03,2272,Andre Fox Defensive Rebound.,29,33
0:03,-1,Foul on Greg Joseph.,29,33
0:03,2272,Andre Fox made Free Throw.,29,34
0:03,2272,Andre Fox made Free Throw.,29,35
0:00,2272,End of 1st half,29,35
19:45,-1,Foul on Justin Tankelewicz.,29,35
19:45,2272,Jamal Wright missed Free Throw.,29,35
19:45,2272,High Point Deadball Team Rebound.,29,35
19:45,2272,Jamal Wright made Free Throw.,29,36
19:26,-1,Adrian Moore missed Three Point Jumper.,29,36
19:26,2272,Ricky Madison Defensive Rebound.,29,36
19:16,2272,Jamal Wright made Layup.,29,38
18:51,-1,Robert Wilson missed Layup.,29,38
18:51,2272,High Point Defensive Rebound.,29,38
18:29,2272,Ricky Madison made Layup. Assisted by Jamal Wright.,29,40
18:04,2272,Foul on Austin White.,29,40
17:44,-1,Adrian Moore missed Layup.,29,40
17:44,2272,Andre Fox Block.,29,40
17:41,-1,Adrian Moore Offensive Rebound.,29,40
17:38,2272,Foul on Tarique Thompson.,29,40
17:38,-1,Adrian Moore made Free Throw.,30,40
17:38,-1,Adrian Moore made Free Throw.,31,40
17:29,2272,Tarique Thompson made Layup. Assisted by Andre Fox.,31,42
17:07,-1,Adrian Moore missed Jumper.,31,42
17:07,2272,Tarique Thompson Defensive Rebound.,31,42
16:59,2272,Ricky Madison made Layup. Assisted by Jalen Williams.,31,44
16:59,-1,Foul on A.J. Frye.,31,44
16:59,2272,Ricky Madison made Free Throw.,31,45
16:36,-1,Chris Braswell made Three Point Jumper. Assisted by Adrian Moore.,34,45
16:12,2272,Andre Fox missed Three Point Jumper.,34,45
16:12,2272,Tarique Thompson Offensive Rebound.,34,45
16:09,-1,Foul on Adrian Moore.,34,45
15:57,2272,Tarique Thompson made Layup. Assisted by Anthony Lindauer.,34,47
15:45,-1,A.J. Frye made Layup. Assisted by Chris Braswell.,36,47
15:19,2272,Ricky Madison missed Layup.,36,47
15:19,2272,Ricky Madison Offensive Rebound.,36,47
15:16,2272,Ricky Madison made Layup.,36,49
15:06,-1,Chris Braswell Turnover.,36,49
15:06,2272,Jalen Williams Steal.,36,49
15:06,2272,High Point  Timeout,36,49
14:44,2272,Anthony Lindauer missed Three Point Jumper.,36,49
14:44,-1,Adrian Moore Defensive Rebound.,36,49
14:22,-1,Robert Wilson missed Layup.,36,49
14:22,2272,Tarique Thompson Block.,36,49
14:20,2272,Anthony Lindauer Defensive Rebound.,36,49
14:17,-1,Foul on Chris Braswell.,36,49
14:17,2272,Austin White missed Free Throw.,36,49
14:17,2272,High Point Deadball Team Rebound.,36,49
14:17,2272,Austin White missed Free Throw.,36,49
14:17,2272,Tarique Thompson Offensive Rebound.,36,49
14:14,2272,Anthony Lindauer missed Three Point Jumper.,36,49
14:14,-1,Justin Tankelewicz Defensive Rebound.,36,49
14:05,-1,Justin Tankelewicz made Three Point Jumper. Assisted by Adrian Moore.,39,49
13:37,2272,Luke Vargo missed Layup.,39,49
13:37,-1,Adrian Moore Defensive Rebound.,39,49
13:35,2272,Foul on Tarique Thompson.,39,49
13:32,-1,Chris Braswell Turnover.,39,49
13:27,2272,Anthony Lindauer Turnover.,39,49
13:16,-1,Justin Tankelewicz missed Three Point Jumper.,39,49
13:16,2272,Ricky Madison Defensive Rebound.,39,49
13:07,-1,Foul on Chris Braswell.,39,49
13:00,2272,Andre Fox missed Three Point Jumper.,39,49
13:00,-1,Justin Tankelewicz Defensive Rebound.,39,49
12:41,-1,A.J. Frye made Layup. Assisted by Justin Tankelewicz.,41,49
12:25,2272,Anthony Lindauer made Three Point Jumper. Assisted by Andre Fox.,41,52
12:05,-1,Cameron Martin missed Three Point Jumper.,41,52
12:05,2272,Miles Bowman Jr. Defensive Rebound.,41,52
11:49,-1,Foul on Robert Wilson.,41,52
11:49,2272,High Point  Timeout,41,52
11:49,2272,Andre Fox made Free Throw.,41,53
11:49,2272,Andre Fox made Free Throw.,41,54
11:41,-1,Cameron Martin Turnover.,41,54
11:32,-1,Foul on Cameron Martin.,41,54
11:32,2272,Ricky Madison made Free Throw.,41,55
11:32,2272,Ricky Madison missed Free Throw.,41,55
11:32,-1,Greg Joseph Defensive Rebound.,41,55
11:14,-1,Chris Sause missed Layup.,41,55
11:14,2272,Andre Fox Block.,41,55
11:13,2272,Ricky Madison Defensive Rebound.,41,55
11:00,2272,Jamal Wright Turnover.,41,55
10:59,-1,Cameron Martin Steal.,41,55
10:57,2272,Foul on Jamal Wright.,41,55
10:46,-1,Justin Tankelewicz missed Three Point Jumper.,41,55
10:46,2272,Andre Fox Defensive Rebound.,41,55
10:38,2272,Jamal Wright made Layup.,41,57
10:00,2272,Foul on Jamal Wright.,41,57
10:00,-1,Justin Tankelewicz made Free Throw.,42,57
10:00,-1,Justin Tankelewicz missed Free Throw.,42,57
10:00,2272,Miles Bowman Jr. Defensive Rebound.,42,57
9:55,2272,Andre Fox made Three Point Jumper. Assisted by Jamal Wright.,42,60
9:48,-1,Chris Sause made Layup. Assisted by Chris Braswell.,44,60
9:21,2272,Andre Fox made Three Point Jumper. Assisted by Jamal Wright.,44,63
9:03,2272,Foul on Miles Bowman Jr..,44,63
8:47,-1,Chris Sause made Jumper.,46,63
8:24,-1,Foul on Malique Judd.,46,63
8:24,2272,Tarique Thompson made Free Throw.,46,64
8:24,2272,Tarique Thompson made Free Throw.,46,65
8:09,2272,Foul on Luke Vargo.,46,65
8:09,-1,Chris Sause made Free Throw.,47,65
8:09,-1,Chris Sause made Free Throw.,48,65
7:54,2272,Austin White made Jumper. Assisted by Anthony Lindauer.,48,67
7:35,2272,Foul on Jalen Williams.,48,67
7:35,-1,NC Wesleyan  Timeout,48,67
7:35,-1,Jahziah Dyer made Free Throw.,49,67
7:35,-1,Jahziah Dyer made Free Throw.,50,67
7:09,2272,Tarique Thompson made Layup.,50,69
7:01,-1,Justin Tankelewicz made Three Point Jumper.,53,69
6:31,2272,Anthony Lindauer missed Jumper.,53,69
6:31,-1,Adrian Moore Defensive Rebound.,53,69
6:20,-1,Justin Tankelewicz missed Three Point Jumper.,53,69
6:20,2272,Luke Vargo Defensive Rebound.,53,69
6:04,2272,Austin White missed Jumper.,53,69
6:04,-1,Chris Sause Defensive Rebound.,53,69
5:54,-1,Adrian Moore Turnover.,53,69
5:39,2272,Jamal Wright missed Jumper.,53,69
5:39,-1,Mitch Layton Defensive Rebound.,53,69
5:18,-1,Jahziah Dyer Turnover.,53,69
5:16,2272,Andre Fox Steal.,53,69
5:14,2272,Andre Fox made Dunk.,53,71
4:59,-1,Mitch Layton made Layup. Assisted by Johnathan Pickler.,55,71
4:51,2272,Anthony Lindauer made Three Point Jumper. Assisted by Jamal Wright.,55,74
4:28,-1,Jahziah Dyer missed Three Point Jumper.,55,74
4:28,2272,Andre Fox Defensive Rebound.,55,74
4:19,2272,Anthony Lindauer made Three Point Jumper. Assisted by Andre Fox.,55,77
3:49,-1,Kaymon Mitchell missed Jumper.,55,77
3:49,2272,Andre Fox Defensive Rebound.,55,77
3:43,2272,Jamal Wright Turnover.,55,77
3:40,-1,Mitch Layton Steal.,55,77
3:27,-1,Kaymon Mitchell Turnover.,55,77
3:24,2272,Andre Fox Steal.,55,77
3:19,-1,Foul on Kaymon Mitchell.,55,77
3:19,2272,High Point  Timeout,55,77
3:19,2272,Tarique Thompson missed Free Throw.,55,77
3:19,2272,High Point Deadball Team Rebound.,55,77
3:17,2272,Tarique Thompson made Free Throw.,55,78
3:08,-1,Johnathan Pickler Turnover.,55,78
2:54,-1,Foul on Johnathan Pickler.,55,78
2:54,2272,Cliff Thomas Jr. missed Free Throw.,55,78
2:54,2272,High Point Deadball Team Rebound.,55,78
2:54,2272,Cliff Thomas Jr. missed Free Throw.,55,78
2:54,-1,Jahziah Dyer Defensive Rebound.,55,78
2:38,-1,Kaymon Mitchell missed Layup.,55,78
2:38,2272,Jordan Whitehead Defensive Rebound.,55,78
2:27,-1,Foul on Kaymon Mitchell.,55,78
2:27,2272,Cliff Thomas Jr. missed Free Throw.,55,78
2:27,2272,High Point Deadball Team Rebound.,55,78
2:27,2272,Cliff Thomas Jr. made Free Throw.,55,79
2:10,2272,Foul on Cliff Thomas Jr..,55,79
2:10,-1,Mitch Layton missed Free Throw.,55,79
2:10,2272,Cliff Thomas Jr. Defensive Rebound.,55,79
1:59,2272,Jordan Whitehead Turnover.,55,79
1:58,-1,Johnathan Pickler Steal.,55,79
1:49,-1,NC Wesleyan  Timeout,55,79
1:36,-1,Johnathan Pickler Turnover.,55,79
1:12,2272,Luke Vargo Turnover.,55,79
1:11,-1,Mitch Layton Steal.,55,79
1:02,-1,Johnathan Pickler made Three Point Jumper. Assisted by Cameron Martin.,58,79
0:41,2272,Jordan Whitehead Turnover.,58,79
0:39,-1,Johnathan Pickler Steal.,58,79
0:26,-1,Cameron Martin made Three Point Jumper.,61,79
0:10,2272,Jalen Williams missed Layup.,61,79
0:10,2272,Cliff Thomas Jr. Offensive Rebound.,61,79
0:06,2272,Cliff Thomas Jr. missed Layup.,61,79
0:06,-1,Kaymon Mitchell Defensive Rebound.,61,79
0:00,-1,Cameron Martin missed Jumper.,61,79
0:00,2272,Dexter Gooding Defensive Rebound.,61,79
0:00,2272,End of Game,61,79
