Lamar,292,UT Rio Grande Valley,2320
2:29,2320,Zjori Bosha Offensive Rebound.,27,33
2:24,2320,Zjori Bosha made Layup.,29,33
2:17,292,Lesley Varner Jr. made Layup. Assisted by Adonis Rwabigwi.,29,35
1:55,2320,Zjori Bosha made Three Point Jumper. Assisted by Joey Frenchwood.,32,35
1:49,292,UT Rio Grande Valley  Timeout,32,35
1:37,292,Antonio Green missed Three Point Jumper.,32,35
1:37,292,Adonis Rwabigwi Offensive Rebound.,32,35
1:33,292,Adonis Rwabigwi made Layup.,32,37
1:14,292,Foul on Adonis Rwabigwi.,32,37
1:14,2320,Joey Frenchwood made Free Throw.,33,37
1:14,2320,Joey Frenchwood missed Free Throw.,33,37
1:14,292,Antonio Green Defensive Rebound.,33,37
0:53,292,Foul on Moe McDonald.,33,37
0:53,292,Moe McDonald Turnover.,33,37
0:45,292,Foul on Lew Stallworth.,33,37
0:45,2320,Torey Noel made Free Throw.,34,37
0:45,2320,Torey Noel made Free Throw.,35,37
0:34,2320,Foul on Torey Noel.,35,37
0:34,292,Adonis Rwabigwi missed Free Throw.,35,37
0:34,2320,Zjori Bosha Defensive Rebound.,35,37
0:14,2320,Joey Frenchwood made Three Point Jumper. Assisted by Torey Noel.,38,37
0:03,2320,Foul on Zjori Bosha.,38,37
0:03,292,Lew Stallworth made Free Throw.,38,38
0:03,292,Lew Stallworth missed Free Throw.,38,38
0:03,2320,Colton Weisbrod Defensive Rebound.,38,38
0:00,2320,Joey Frenchwood missed Three Point Jumper.,38,38
0:00,2320,Lamar Offensive Rebound.,38,38
0:00,292,End of 1st half,38,38
19:42,292,Foul on Dan Kimasa.,38,38
19:42,292,Dan Kimasa Turnover.,38,38
19:33,2320,Colton Weisbrod Turnover.,38,38
19:23,2320,Foul on Torey Noel.,38,38
19:23,292,Foul on Gage Loy.,38,38
19:23,292,Gage Loy Turnover.,38,38
19:03,2320,Joey Frenchwood made Jumper.,40,38
18:55,292,Antonio Green missed Three Point Jumper.,40,38
18:55,292,Dan Kimasa Offensive Rebound.,40,38
18:49,292,Dan Kimasa Turnover.,40,38
18:39,2320,Zjori Bosha missed Three Point Jumper.,40,38
18:39,292,Antonio Green Defensive Rebound.,40,38
18:31,292,Gage Loy missed Jumper.,40,38
18:31,292,Lew Stallworth Offensive Rebound.,40,38
18:24,292,Nick Dixon made Layup. Assisted by Lew Stallworth.,40,40
18:24,2320,Foul on Torey Noel.,40,40
18:24,292,Nick Dixon made Free Throw.,40,41
17:53,2320,Dorian Chatman made Jumper.,42,41
17:44,292,Dan Kimasa Turnover.,42,41
17:30,2320,Zjori Bosha made Layup.,44,41
17:14,292,Lew Stallworth made Layup.,44,43
16:59,2320,Joey Frenchwood Turnover.,44,43
16:57,292,Nick Dixon Steal.,44,43
16:54,292,Antonio Green made Layup. Assisted by Nick Dixon.,44,45
16:45,2320,Dorian Chatman made Layup. Assisted by Nick Garth.,46,45
16:45,292,Foul on Gage Loy.,46,45
16:45,2320,Dorian Chatman made Free Throw.,47,45
16:33,292,Lew Stallworth missed Layup.,47,45
16:33,2320,Dorian Chatman Defensive Rebound.,47,45
16:27,2320,Dorian Chatman Turnover.,47,45
16:09,292,Mike Hoffman missed Three Point Jumper.,47,45
16:09,292,Antonio Green Offensive Rebound.,47,45
15:56,292,Lew Stallworth made Jumper.,47,47
15:41,2320,Nick Garth made Three Point Jumper. Assisted by Colton Weisbrod.,50,47
15:22,2320,Foul on Dorian Chatman.,50,47
15:22,292,Official TV Timeout,50,47
15:20,2320,Foul on Nick Garth.,50,47
15:18,292,Xavier McDaniel Jr. Turnover.,50,47
15:11,2320,Marcus Owens Turnover.,50,47
15:09,292,Lesley Varner Jr. Steal.,50,47
15:07,292,Xavier McDaniel Jr. made Three Point Jumper. Assisted by Lesley Varner Jr..,50,50
14:53,2320,Joey Frenchwood Turnover.,50,50
14:41,292,Mike Hoffman made Jumper. Assisted by Xavier McDaniel Jr..,50,52
14:33,292,Foul on Lesley Varner Jr..,50,52
14:11,2320,Joey Frenchwood missed Three Point Jumper.,50,52
14:11,292,Moe McDonald Defensive Rebound.,50,52
14:06,2320,Foul on Marcus Owens.,50,52
13:56,292,Lew Stallworth missed Jumper.,50,52
13:56,2320,Colton Weisbrod Defensive Rebound.,50,52
13:51,2320,Joey Frenchwood Turnover.,50,52
13:49,292,Lesley Varner Jr. Steal.,50,52
13:47,292,Lesley Varner Jr. made Jumper.,50,54
13:26,2320,Dorian Chatman missed Layup.,50,54
13:26,292,Xavier McDaniel Jr. Block.,50,54
13:25,292,Foul on Xavier McDaniel Jr..,50,54
13:25,2320,Colton Weisbrod made Free Throw.,51,54
13:25,2320,Colton Weisbrod Offensive Rebound.,50,54
13:25,2320,Colton Weisbrod missed Free Throw.,51,54
13:25,292,Xavier McDaniel Jr. Defensive Rebound.,51,54
13:24,2320,Colton Weisbrod Offensive Rebound.,51,54
13:15,292,Nick Dixon made Layup.,51,56
13:01,2320,Zjori Bosha missed Layup.,51,56
13:01,292,Xavier McDaniel Jr. Defensive Rebound.,51,56
12:54,292,Lesley Varner Jr. made Layup. Assisted by Nick Dixon.,51,58
12:54,2320,Foul on Joey Frenchwood.,51,58
12:54,292,Lesley Varner Jr. made Free Throw.,51,59
12:29,2320,Zjori Bosha missed Three Point Jumper.,51,59
12:29,2320,Lamar Offensive Rebound.,51,59
12:19,292,Foul on Xavier McDaniel Jr..,51,59
12:15,2320,Joey Frenchwood missed Three Point Jumper.,51,59
12:15,292,Lesley Varner Jr. Defensive Rebound.,51,59
12:04,292,Nick Dixon missed Three Point Jumper.,51,59
12:04,292,Lesley Varner Jr. Offensive Rebound.,51,59
11:58,292,Lesley Varner Jr. made Jumper.,51,61
11:45,2320,Christian Albright made Layup. Assisted by Cameron McGee.,53,61
11:32,292,Mike Hoffman made Layup. Assisted by Nick Dixon.,53,63
11:14,2320,Colton Weisbrod missed Layup.,53,63
11:14,292,Antonio Green Block.,53,63
11:13,292,Antonio Green Defensive Rebound.,53,63
11:08,292,Moe McDonald made Layup. Assisted by Lesley Varner Jr..,53,65
11:00,292,Official TV Timeout,53,65
10:53,2320,Cameron McGee Turnover.,53,65
10:53,292,Official TV Timeout,53,65
10:52,292,Nick Dixon Turnover.,53,65
10:31,292,Foul on Lesley Varner Jr..,53,65
10:31,2320,Zjori Bosha missed Free Throw.,53,65
10:31,2320,Lamar Deadball Team Rebound.,53,65
10:31,2320,Zjori Bosha missed Free Throw.,53,65
